lucerna	lucerna	Ncfsn
vrsta	vrsta	Ncfpg
najviše	mnogo	Rgs
0,8	0,8	Mdc
mS	mS	Y
/	/	Z
cm	cm	Y
–	–	Z
medljikovac	medljikovac	Ncmsan
i	i	Cc
med	med	Ncmsan
od	od	Sg
kestena	kesten	Ncmpg
i	i	Cc
njihove	njihov	Ps3fsg
mješavine	mješavina	Ncfsg
,	,	Z
osim	osim	Sg
dolje	dolje	Rgp
navedenih	naveden	Agpfpgy
vrsta	vrsta	Ncfpg
najmanje	malo	Rgs
0,8	0,8	Mdc
mS	mS	Y
/	/	Z
cm	cm	Y
–	–	Z
iznimke	iznimka	Ncfsg
:	:	Z
planika	planika	Ncfsn
(	(	Z
Arbutus	Arbutus	Xf
unedo	unedo	Xf
)	)	Z
,	,	Z
vrijes	vrijes	Ncmsn
(	(	Z
Erica	Erica	Npfsn
spp	spp	Ncmsn
.	.	Z
)	)	Z
,	,	Z
eukaliptus	eukaliptus	Ncmsn
(	(	Z
Eucalyptus	Eucalyptus	Xf
spp	spp	Xf
.	.	Z
)	)	Z
,	,	Z
lipa	lipa	Ncfsn
(	(	Z
Tilia	Tilia	Npfsn
spp	spp	Ncmsn
.	.	Z
)	)	Z
,	,	Z
vrijesak	vrijesak	Ncmsn
(	(	Z
Calluna	Calluna	Npfsn
vulgaris	vulgaris	Xf
)	)	Z
,	,	Z
manuka	manuka	Ncfsn
(	(	Z
Leptospermum	Leptospermum	Npmsn
scoparium	scoparium	Ncmsn
)	)	Z
,	,	Z
čajevac	čajevac	Ncmsn
(	(	Z
Melaleuca	Melaleuca	Npfsn
spp	spp	Xf
.	.	Z
)	)	Z
5.	5.	Mdo
slobodne	slobodan	Agpfsgy
kiseline	kiselina	Ncfsg
–	–	Z
općenito	preopćenito	Rgp
najviše	mnogo	Rgs
50	50	Mdc
mEq	mei	Agpfsgy
kiseline	kiselina	Ncfsg
na	na	Sa
1000	1000	Mdc
g	g	Y
–	–	Z
pekarski	pekarski	Agpmsny
med	med	Ncmsn
najviše	mnogo	Rgs
80	80	Mdc
mEq	mei	Agpfsgy
kiseline	kiselina	Ncfsg
na	na	Sa
1000	1000	Mdc
g	g	Y
6.	6.	Mdo
aktivnost	aktivnost	Ncfsn
dijastaze	dijastaza	Ncfsg
i	i	Cc
količina	količina	Ncfsn
hidroksimetilfurfurala	hidroksimetilfurfural	Ncmpg
(	(	Z
HMF	HMF	Npmsn
)	)	Z
,	,	Z
određene	određen	Agpfpny
nakon	nakon	Sg
prerade	prerada	Ncfsg
i	i	Cc
miješanja	miješanje	Ncnsg
a	a	Cc
)	)	Z
aktivnost	aktivnost	Ncfsa
dijastaze	dijastaza	Ncfsg
(	(	Z
po	po	Sl
Schadeu	Schade	Npmsl
)	)	Z
–	–	Z
općenito	preopćenito	Rgp
,	,	Z
osim	osim	Sg
pekarskog	pekarski	Agpmsgy
meda	med	Ncmsg
najmanje	malo	Rgs
8	8	Mdc
–	–	Z
vrste	vrsta	Ncfsg
meda	med	Ncmsg
s	sa	Si
niskom	nizak	Agpfsiy
prirodnom	prirodan	Agpfsiy
količinom	količina	Ncfsi
enzima	enzim	Ncmsg
(	(	Z
npr.	npr.	Y
medovi	med	Ncmpn
od	od	Sg
citrusa	citrus	Ncmsg
)	)	Z
i	i	Cc
količinom	količina	Ncfsi
HMF	HMF	Npmsn
ne	ne	Qz
većom	velik	Vmr1s
od	od	Sg
15	15	Mdc
mg	mg	Y
/	/	Z
kg	kg	Y
najmanje	malo	Rgs
3	3	Mdc
b	b	X
)	)	Z
HMF	HM	Npmsg
–	–	Z
općenito	preopćenito	Rgp
,	,	Z
osim	osim	Sg
pekarskog	pekarski	Agpmsgy
meda	med	Ncmsg
najviše	mnogo	Rgs
40	40	Mdc
mg	mg	Y
/	/	Z
kg	kg	Y
(	(	Z
uzevši	uzeti	Rr
u	u	Sa
obzir	obzir	Ncmsan
odredbe	odredba	Ncfsg
pod	pod	Si
a	a	Cc
)	)	Z
druga	drugi	Mlofsn
alineja	alineja	Ncfsn
)	)	Z
–	–	Agpmpny
medovi	med	Ncmpn
s	sa	Si
označenim	označiti	Agpnsiy
podrijetlom	podrijetlo	Ncnsi
iz	iz	Sg
regija	regija	Ncfpg
tropske	tropski	Agpfsgy
klime	klima	Ncfsg
i	i	Cc
mješavine	mješavina	Ncfsg
takvih	takav	Pd-mpg
medova	med	Ncmpg
najviše	mnogo	Rgs
80	80	Mdc
mg	mg	Y
/	/	Z
kg	kg	I

