administrativne	administrativan	Agpfpny
5	5	Mdc
)	)	Z
Zahtjev	zahtjev	Ncmsn
za	za	Sa
odustajanje	odustajanje	Ncnsa
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
dostavlja	dostavljati	Vmr3s
se	sebe	Px--sa
Upravljačkom	upravljački	Agpnsly
tijelu	tijelo	Ncnsl
preporučenom	preporučiti	Agpfsiy
poštom	pošta	Ncfsi
s	sa	Si
povratnicom	povratnica	Ncfsi
na	na	Sa
adresu	adresa	Ncfsa
Ministarstvo	ministarstvo	Ncnsa
poljoprivrede	poljoprivreda	Ncfsg
,	,	Z
Uprava	uprava	Ncfsn
ribarstva	ribarstvo	Ncnsg
,	,	Z
Planinska	planinski	Agpfsny
2	2	Mdc
a	a	Cc
,	,	Z
10	10	Mdc
000	000	Mdc
Zagreb	Zagreb	Npmsn
,	,	Z
uz	uz	Sa
naznaku	naznaka	Ncfsa
:	:	Z
»	»	Z
Zahtjev	zahtjev	Ncmsn
za	za	Sa
odustajanje	odustajanje	Ncnsa
u	u	Sl
okviru	okvir	Ncmsl
mjere	mjera	Ncfsg
IV	IV	Mrc
.	.	Z
4.	4.	Mdo
Prerada	prerada	Ncfsn
proizvoda	proizvod	Ncmpg
ribarstva	ribarstvo	Ncnsg
i	i	Cc
akvakulture	akvakultura	Ncfsg
«	«	Z
.	.	Z

VI	VI	Mrc
.	.	Z

ZAHTJEV	zahtjev	Ncmsn
ZA	za	Sa
ISPLATU	isplata	Ncfsa
,	,	Z
POSTUPAK	postupak	Ncmsan
OBRADE	obrada	Ncfsg
,	,	Z
DONOŠENJE	donošenje	Ncnsn
ODLUKE	odluka	Ncfsg
I	i	Cc
ISPLATA	isplata	Ncfsn

Članak	članak	Ncmsn
18.	18.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Potpora	potpora	Ncfsn
se	sebe	Px--sa
korisniku	korisnik	Ncmsd
dodjeljuje	dodjeljivati	Vmr3s
na	na	Sl
temelju	temelj	Ncmsl
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
isplatu	isplata	Ncfsa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Zahtjev	zahtjev	Ncmsan
za	za	Sa
isplatu	isplata	Ncfsa
podnosi	podnositi	Vmr3s
se	sebe	Px--sa
Upravljačkom	upravljački	Agpnsly
tijelu	tijelo	Ncnsl
na	na	Sa
način	način	Ncmsan
kako	kako	Cs
je	biti	Var3s
propisano	propisati	Appnsny
Natječajem	natječaj	Ncmsi
,	,	Z
uključujući	uključivati	Rr
i	i	Qo
propisanu	propisati	Agpfsay
popratnu	popratni	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
.	.	Z

Članak	članak	Ncmsn
19.	19.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Zahtjev	zahtjev	Ncmsan
za	za	Sa
isplatu	isplata	Ncfsa
treba	trebati	Vmr3s
sadržavati	sadržavati	Vmn
sve	sav	Agpmpay
plaćene	platiti	Agpmpay
račune	račun	Ncmpa
sukladno	sukladno	Rgp
prihvatljivim	prihvatljiv	Agpmpiy
troškovima	trošak	Ncmpi
iz	iz	Sg
članka	članak	Ncmsg
5.	5.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
a	a	Cc
svi	sav	Agpmpny
priloženi	priložen	Agpmpny
računi	račun	Ncmpn
moraju	morati	Vmr3p
biti	biti	Van
u	u	Sl
cijelosti	cijelost	Ncfsl
plaćeni	platiti	Appmpny
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Korisniku	korisnik	Ncmsd
se	sebe	Px--sa
ne	ne	Qz
može	moći	Vmr3s
isplatiti	isplatiti	Vmn
potpora	potpora	Ncfsn
u	u	Sl
iznosu	iznos	Ncmsl
višem	visok	Agcmsly
od	od	Sg
iznosa	iznos	Ncmsg
navedenoga	naveden	Agpmsgy
u	u	Sl
Odluci	odluka	Ncfsl
o	o	Sl
dodjeli	dodjela	Ncfsl
sredstava	sredstvo	Ncnpg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Za	za	Sa
nepotpun	nepotpun	Agpmsann
Zahtjev	zahtjev	Ncmsan
za	za	Sa
isplatu	isplata	Ncfsa
Upravljačko	upravljački	Agpnsny
tijelo	tijelo	Ncnsn
će	htjeti	Var3s
izdati	izdati	Vmn
Zahtjev	zahtjev	Ncmsan
za	za	Sa
dopunu	dopuna	Ncfsa
/	/	Z
obrazloženje	obrazloženje	Ncnsa
/	/	Z
ispravak	ispravak	Ncmsan
kojim	koji	Pi-msi
će	htjeti	Var3s
od	od	Sg
korisnika	korisnik	Ncmpg
tražiti	tražiti	Vmn
dostavljanje	dostavljanje	Ncnsa
dokumentacije	dokumentacija	Ncfsg
koja	koji	Pi-fsn
nedostaje	nedostajati	Vmr3s
.	.	Z

Korisnik	korisnik	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
dostaviti	dostaviti	Vmn
traženu	tražen	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
preporučenom	preporučiti	Agpfsiy
pošiljkom	pošiljka	Ncfsi
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
deset	deset	Mlc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
zaprimanja	zaprimanje	Ncnsg
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
dopunu	dopuna	Ncfsa
/	/	Z
obrazloženje	obrazloženje	Ncnsa
/	/	Z
ispravak	ispravak	Ncmsan
.	.	Z

Ukoliko	ukoliko	Cs
tražena	tražiti	Appfsny
dokumentacija	dokumentacija	Ncfsn
ne	ne	Qz
bude	biti	Var3s
poslana	poslati	Appfsny
u	u	Sl
zadanom	zadati	Agpmsly
roku	rok	Ncmsl
smatrat	smatrati	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
da	da	Cs
je	biti	Var3s
korisnik	korisnik	Ncmsn
odustao	odustati	Vmp-sm
od	od	Sg
cijeloga	cijel	Ncmsg
ili	ili	Cc
od	od	Sg
dijela	dio	Ncmsg
iznosa	iznos	Ncmsg
potpore	potpora	Ncfsg
za	za	Sa
koji	koji	Pi-msan
dokumentacija	dokumentacija	Ncfsn
nije	biti	Var3s
dostavljena	dostaviti	Appfsny
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Vremenom	vrijeme	Ncnsi
zaprimanja	zaprimanje	Ncnsg
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
dopunu	dopuna	Ncfsa
/	/	Z
obrazloženje	obrazloženje	Ncnsa
/	/	Z
ispravak	ispravak	Ncmsn
smatra	smatrati	Vmr3s
se	sebe	Px--sa
datum	datum	Ncmsn
kada	kada	Cs
korisnik	korisnik	Ncmsn
zaprimi	zaprimiti	Vmr3s
preporučenu	preporučiti	Agpfsay
pošiljku	pošiljka	Ncfsa
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Za	za	Sa
plaćanja	plaćanje	Ncnpa
izvršena	izvršen	Agpnpay
u	u	Sl
stranoj	stran	Agpfsly
valuti	valuta	Ncfsl
obračunat	obračunati	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
:	:	Z

a	a	Cc
)	)	Z
protuvrijednost	protuvrijednost	Ncfsn
u	u	Sl
kunama	kuna	Ncfpl
po	po	Sl
tečaju	tečaj	Ncmsl
Europske	europski	Agpfsgy
komisije	komisija	Ncfsg
(	(	Z
ECB	ECB	Npmsn
)	)	Z
,	,	Z
u	u	Sl
mjesecu	mjesec	Ncmsl
zaprimanja	zaprimanje	Ncnsg
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
isplatu	isplata	Ncfsa
u	u	Sl
Upravljačkom	upravljački	Agpnsly
tijelu	tijelo	Ncnsl
iskazanom	iskazati	Appnsly
na	na	Sa
šest	šest	Mlc
decimala	decimala	Ncfpg
(	(	Z
navedeni	naveden	Agpmsny
tečaj	tečaj	Ncmsn
se	sebe	Px--sa
može	moći	Vmr3s
dobiti	dobiti	Vmn
na	na	Sl
http://ec.europa.eu/budget/inforeuro/	http://ec.europa.eu/budget/inforeuroa	Ncfsl
)	)	Z
,	,	Z

b	b	Npmsn
)	)	Z
u	u	Sl
slučaju	slučaj	Ncmsl
da	da	Cs
je	biti	Var3s
korisnik	korisnik	Ncmsn
kupio	kupiti	Vmp-sm
strana	stran	Agpnpay
sredstva	sredstvo	Ncnpa
plaćanja	plaćanje	Ncnsg
po	po	Sl
nižem	nizak	Agpmsly
tečaju	tečaj	Ncmsl
od	od	Sg
ECB	ECB	Npmsn
u	u	Sl
mjesecu	mjesec	Ncmsl
zaprimanja	zaprimanje	Ncnsg
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
isplatu	isplata	Ncfsa
iskazanom	iskazati	Ncfsi
na	na	Sa
šest	šest	Mlc
decimala	decimala	Ncfpg
,	,	Z
isplata	isplata	Ncfsn
potpore	potpora	Ncfsg
temeljit	temeljiti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
na	na	Sl
ostvarenom	ostvariti	Agpmsly
tečaju	tečaj	Ncmsl
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
se	sebe	Px--sa
tijekom	tijekom	Sg
obrade	obrada	Ncfsg
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
isplatu	isplata	Ncfsa
utvrdi	utvrditi	Vmr3s
nepravilnost	nepravilnost	Ncfsa
,	,	Z
a	a	Cc
koja	koji	Pi-fsn
ne	ne	Qz
prelazi	prelaziti	Vmr3s
iznos	iznos	Ncmsan
od	od	Sg
50	50	Mdc
posto	posto	Rgp
ukupnih	ukupan	Agpmpgy
prihvatljivih	prihvatljiv	Agpmpgy
troškova	trošak	Ncmpg
,	,	Z
Upravljačko	upravljački	Agpnsny
tijelo	tijelo	Ncnsn
će	htjeti	Var3s
odbiti	odbiti	Vmn
iznos	iznos	Ncmsan
nepravilnog	nepravilan	Agpmsgy
troška	trošak	Ncmsg
od	od	Sg
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
isplatu	isplata	Ncfsa
i	i	Cc
izdati	izdati	Vmn
Odluku	odluka	Ncfsa
o	o	Sl
isplati	isplata	Ncfsl
u	u	Sl
kojoj	koji	Pi-fsl
će	htjeti	Var3s
ukupan	ukupan	Agpmsnn
iznos	iznos	Ncmsn
biti	biti	Van
umanjen	umanjiti	Appmsnn
za	za	Sa
iznos	iznos	Ncmsan
nepravilnog	nepravilan	Agpmsgy
troška	trošak	Ncmsg
.	.	Z

Članak	članak	Ncmsn
20.	20.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Nakon	nakon	Sg
provedene	provesti	Agpfsgy
administrativne	administrativan	Agpfsgy
kontrole	kontrola	Ncfsg
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
isplatu	isplata	Ncfsa
i	i	Cc
kontrole	kontrola	Ncfpa
na	na	Sl
terenu	teren	Ncmsl
,	,	Z
Upravljačko	upravljački	Agpnsny
tijelo	tijelo	Ncnsn
će	htjeti	Var3s
donijeti	donijeti	Vmn
:	:	Z

a	a	Cc
)	)	Z
Odluku	odluka	Ncfsa
o	o	Sl
isplati	isplata	Ncfsl
,	,	Z
ili	ili	Cc

b	b	Npmsn
)	)	Z
Odluku	odluka	Ncfsa
o	o	Sl
odbijanju	odbijanje	Ncnsl
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
isplatu	isplata	Ncfsa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Odluka	odluka	Ncfsn
o	o	Sl
odbijanju	odbijanje	Ncnsl
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
isplatu	isplata	Ncfsa
izdaje	izdavati	Vmr3s
se	sebe	Px--sa
zbog	zbog	Sg
:	:	Z

a	a	Cc
)	)	Z
neispunjavanja	neispunjavanje	Ncnsg
uvjeta	uvjet	Ncmpg
propisanih	propisati	Appmpgy
ovim	ovaj	Pd-msi
Pravilnikom	pravilnik	Ncmsi
i	i	Cc
Natječajem	natječaj	Ncmsi
;	;	Z

b	b	Npmsn
)	)	Z
neprihvatljivosti	neprihvatljivost	Ncfsl
svih	sav	Agpmpgy
troškova	trošak	Ncmpg
navedenih	naveden	Agpmpgy
u	u	Sl
Zahtjevu	zahtjev	Ncmsl
za	za	Sa
isplatu	isplata	Ncfsa
;	;	Z

c	C	Npmsn
)	)	Z
onemogućavanja	onemogućavanje	Ncnsg
obavljanja	obavljanje	Ncnsg
kontrole	kontrola	Ncfsg
na	na	Sl
terenu	teren	Ncmsl
ili	ili	Cc
negativnog	negativan	Agpmsgy
nalaza	nalaz	Ncmsg
kontrole	kontrola	Ncfsg
na	na	Sl
terenu	teren	Ncmsl
;	;	Z

d	d	Ncnsn
)	)	Z
utvrđene	utvrditi	Agpfpay
nepravilnosti	nepravilnost	Ncfpa
prije	prije	Sg
isplate	isplata	Ncfsg
potpore	potpora	Ncfsg
ukoliko	ukoliko	Cs
utvrđeni	utvrditi	Appmsayn
nepravilni	nepravilan	Agpmsayn
iznos	iznos	Ncmsan
prelazi	prelaziti	Vmr3s
50	50	Mdc
posto	posto	Rgp
ukupnih	ukupan	Agpmpgy
prihvatljivih	prihvatljiv	Agpmpgy
troškova	trošak	Ncmpg
;	;	Z

e	e	I
)	)	Z
utvrđene	utvrditi	Agpfpay
nepravilnosti	nepravilnost	Ncfpa
kod	kod	Sg
koje	koji	Pi-fsg
je	biti	Var3s
utvrđena	utvrditi	Appfsny
i	i	Cc
sumnja	sumnja	Ncfsn
na	na	Sa
prijevaru	prijevara	Ncfsa
,	,	Z
a	a	Cc
sredstva	sredstvo	Ncnpn
potpore	potpora	Ncfsg
nisu	biti	Var3p
isplaćena	isplatiti	Appfsny
korisniku	korisnik	Ncmsd
.	.	Z

Upravljačko	upravljački	Agpnsny
tijelo	tijelo	Ncnsn
će	htjeti	Var3s
zbog	zbog	Sg
sumnje	sumnja	Ncfsg
na	na	Sa
prijevaru	prijevara	Ncfsa
izvijestiti	izvijestiti	Vmn
Državno	državni	Agpnsay
odvjetništvo	odvjetništvo	Ncnsa

