bilančnim	bilančni	Agpmsiy
njihovim	njihov	Agpfpiy
ovlastima	ovlast	Ncfpi
kako	kako	Cs
bi	biti	Vaa3p
donijeli	donijeti	Vmp-pm
zajedničku	zajednički	Agpfsay
odluku	odluka	Ncfsa
o	o	Sl
izboru	izbor	Ncmsl
nadzornog	nadzorni	Agpnsgy
tijela	tijelo	Ncnsg
grupe	grupa	Ncfsg
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
tri	tri	Mlc
mjeseca	mjesec	Ncmsg
od	od	Sg
podnošenja	podnošenje	Ncnsg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
raspravu	rasprava	Ncfsa
.	.	Z

Prije	prija	Cs
nego	nego	Cs
što	što	Cs
donesu	donijeti	Vmr3p
odluku	odluka	Ncfsa
nadležna	nadležan	Agpnpay
nadzorna	nadzorni	Agpnpay
tijela	tijelo	Ncnpa
daju	dati	Vmr3p
priliku	prilika	Ncfsa
grupi	grupa	Ncfsl
da	da	Cs
iznese	iznijeti	Vmr3s
svoje	svoj	Px-nsa
mišljenje	mišljenje	Ncnsa
.	.	Z

Imenovano	imenovati	Agpnsny
nadzorno	nadzorni	Agpnsny
tijelo	tijelo	Ncnsn
grupe	grupa	Ncfsg
dostavlja	dostavljati	Vmr3s
grupi	grupa	Ncfsd
zajedničku	zajednički	Agpfsay
odluku	odluka	Ncfsa
u	u	Sl
kojoj	koji	Pi-fsl
se	sebe	Px--sa
navode	navoditi	Vmr3p
svi	sav	Agpmpny
razlozi	razlog	Ncmpn
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Ako	ako	Cs
tijekom	tijekom	Sg
tromjesečnog	tromjesečan	Agpnsgy
razdoblja	razdoblje	Ncnsg
iz	iz	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-nsg
članka	članak	Ncmsg
bilo	bilo	Qo
koje	koji	Pi-nsa
od	od	Sg
nadležnih	nadležan	Agpnpgy
nadzornih	nadzorni	Agpnpgy
tijela	tijelo	Ncnpg
uputi	uputiti	Vmr3s
predmet	predmet	Ncmsan
EIOPA-i	eiop	Ncmpd
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
19.	19.	Mdo

Uredbe	uredba	Ncfpn
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
1094/2010	1094/2010	Mdc
,	,	Z
nadležna	nadležan	Agpnpay
nadzorna	nadzorni	Agpnpay
tijela	tijelo	Ncnpa
odgađaju	odgađati	Vmr3p
svoje	svoj	Px-fpa
odluke	odluka	Ncfpa
i	i	Cc
čekaju	čekati	Vmr3p
bilo	bilo	Qo
koju	koji	Pi-fsa
odluku	odluka	Ncfsa
koju	koji	Pi-fsa
može	moći	Vmr3s
donijeti	donijeti	Vmn
EIOPA	EIOP	Npmsay
te	te	Cc
donose	donositi	Vmr3p
zajedničku	zajednički	Agpfsay
odluku	odluka	Ncfsa
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odlukom	odluka	Ncfsi
EIOPA-e	EIOPA-a	Npfsg
.	.	Z

Ta	taj	Pd-fsn
se	sebe	Px--sa
zajednička	zajednički	Agpfsny
odluka	odluka	Ncfsn
smatra	smatrati	Vmr3s
konačnom	konačan	Agpfsiy
i	i	Cc
nadležna	nadležan	Agpnpay
nadzorna	nadzorni	Agpnpay
tijela	tijelo	Ncnpa
je	biti	Var3s
provode	provod	Ncmpa
.	.	Z

Imenovano	imenovati	Agpnsny
nadzorno	nadzorni	Agpnsny
tijelo	tijelo	Ncnsn
grupe	grupa	Ncfsg
dostavlja	dostavljati	Vmr3s
grupi	grupa	Ncfsl
i	i	Cc
kolegiju	kolegij	Ncmsl
nadzornih	nadzorni	Agpnpgy
tijela	tijelo	Ncnpg
zajedničku	zajednički	Agpfsay
odluku	odluka	Ncfsa
u	u	Sl
kojoj	koji	Pi-fsl
se	sebe	Px--sa
navode	navoditi	Vmr3p
svi	sav	Agpmpny
razlozi	razlog	Ncmpn
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Predmet	predmet	Ncmsn
se	sebe	Px--sa
ne	ne	Qz
može	moći	Vmr3s
uputiti	uputiti	Vmn
EIOPA-i	EIOPA-i	Qo
nakon	nakon	Sg
isteka	istek	Ncmsg
tromjesečnog	tromjesečan	Agpnsgy
razdoblja	razdoblje	Ncnsg
ili	ili	Cc
nakon	nakon	Cs
što	što	Cs
je	biti	Var3s
donesena	donijeti	Appfsny
zajednička	zajednički	Agpfsny
odluka	odluka	Ncfsn
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Ako	ako	Cs
se	sebe	Px--sa
ne	ne	Qz
donese	donijeti	Vmr3s
zajednička	zajednički	Agpfsny
odluka	odluka	Ncfsn
u	u	Sl
skladu	sklad	Ncmsl
sa	sa	Si
stavkom	stavka	Ncfsi
3.	3.	Mdo
ili	ili	Cc
4.	4.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
nadzorno	nadzorni	Agpnsny
tijelo	tijelo	Ncnsn
grupe	grupa	Ncfsg
je	biti	Var3s
nadzorno	nadzorni	Agpnsny
tijelo	tijelo	Ncnsn
utvrđeno	utvrditi	Appnsny
u	u	Sl
skladu	sklad	Ncmsl
sa	sa	Si
stavkom	stavak	Ncmsi
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

Prava	prav	Agpfsny
i	i	Cc
dužnosti	dužnost	Ncfsg
nadzornog	nadzorni	Agpnsgy
tijela	tijelo	Ncnsg
grupe	grupa	Ncfsg
i	i	Cc
drugih	drugi	Mlompg
nadzornih	nadzorni	Agpnpgy
tijela	tijelo	Ncnpg
na	na	Sl
kolegiju	kolegij	Ncmsl
nadzornih	nadzorni	Agpnpgy
tijela	tijelo	Ncnpg

Članak	članak	Ncmsn
330.	330.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Prava	prav	Agpfsny
i	i	Cc
dužnosti	dužnost	Ncfsg
dodijeljeni	dodijeliti	Appmpny
nadzornom	nadzorni	Agpnsly
tijelu	tijelo	Ncnsl
grupe	grupa	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
329.	329.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
s	sa	Si
obzirom	obzir	Ncmsi
na	na	Sa
nadzor	nadzor	Ncmsan
grupe	grupa	Ncfsg
obuhvaćaju	obuhvaćati	Vmr3p
sljedeće	sljedeći	Agpnsay
:	:	Z

1.	1.	Mdo
koordiniranje	koordiniranje	Ncnsa
prikupljanja	prikupljanje	Ncnsg
i	i	Cc
razmjene	razmjena	Ncfsg
informacija	informacija	Ncfpg
u	u	Sl
okviru	okvir	Ncmsl
redovitog	redovit	Agpnsgy
poslovanja	poslovanje	Ncnsg
i	i	Cc
u	u	Sl
izvanrednim	izvanredan	Agpfply
situacijama	situacija	Ncfpl
,	,	Z
uključujući	uključivati	Rr
razmjenu	razmjena	Ncfsa
informacija	informacija	Ncfpg
koje	koji	Pi-fpn
su	biti	Var3p
važne	važan	Agpfpny
za	za	Sa
obavljanje	obavljanje	Ncnsa
nadzornih	nadzorni	Agpmpgy
zadataka	zadatak	Ncmpg
nadležnih	nadležan	Agpnpgy
nadzornih	nadzorni	Agpnpgy
tijela	tijelo	Ncnpg
država	država	Ncfpg
članica	članica	Ncfpg

2.	2.	Mdo
nadzorni	nadzorni	Agpmsayn
pregled	pregled	Ncmsan
i	i	Cc
procjenu	procjena	Ncfsa
financijskog	financijski	Agpnsgy
stanja	stanje	Ncnsg
grupe	grupa	Ncfsg

3.	3.	Mdo
procjenu	procjena	Ncfsa
usklađenosti	usklađenost	Ncfsg
grupe	grupa	Ncfsg
s	sa	Si
pravilima	pravilo	Ncmpi
o	o	Sl
solventnosti	solventnost	Ncfsl
,	,	Z
koncentraciji	koncentracija	Ncfsl
rizika	rizik	Ncmsg
i	i	Cc
unutargrupnim	unutargrupni	Agpfpiy
transakcijama	transakcija	Ncfpi
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člancima	članak	Ncmpi
303.	303.	Mdo
–	–	Z
327.	327.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

4.	4.	Mdo
procjenu	procjena	Ncfsa
sustava	sustav	Ncmsg
upravljanja	upravljanje	Ncnsg
grupe	grupa	Ncfsg
,	,	Z
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
328.	328.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
te	te	Cc
ispunjavanje	ispunjavanje	Ncnsa
uvjeta	uvjet	Ncmpg
vezanih	vezan	Agpmpgy
uz	uz	Sa
poslovno	poslovan	Agpnsay
iskustvo	iskustvo	Ncnsa
i	i	Cc
ugled	ugled	Ncmsan
članova	član	Ncmpg
uprave	uprava	Ncfsg
i	i	Cc
nadzornog	nadzorni	Agpmsgy
odbora	odbor	Ncmsg
sudjelujućeg	sudjelujući	Agpnsgy
društva	društvo	Ncnsg
te	te	Cc
drugih	drugi	Agpfpgy
osoba	osoba	Ncfpg
koje	koji	Pi-fpn
upravljaju	upravljati	Vmr3p
sudjelujućim	sudjelujući	Agpnsiy
društvom	društvo	Ncnsi
ili	ili	Cc
imaju	imati	Vmr3p
druge	drugi	Agpfpay
ključne	ključan	Agpfpay
funkcije	funkcija	Ncfpa
kako	kako	Cs
je	biti	Var3s
određeno	odrediti	Appnsny
u	u	Sl
člancima	članak	Ncmpl
51.	51.	Mdo
,	,	Z
59.	59.	Mdo
i	i	Cc
93.	93.	Mdo
te	te	Cc
članku	članak	Ncmsl
338.	338.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

5.	5.	Mdo
planiranje	planiranje	Ncnsa
i	i	Cc
koordiniranje	koordiniranje	Ncnsa
nadzornih	nadzorni	Agpfpgy
aktivnosti	aktivnost	Ncfpg
u	u	Sl
redovitom	redovit	Agpnsly
poslovanju	poslovanje	Ncnsl
i	i	Cc
u	u	Sl
izvanrednim	izvanredan	Agpfply
situacijama	situacija	Ncfpl
putem	put	Sg
redovitih	redovit	Agpmpgy
sastanaka	sastanak	Ncmpg
koji	koji	Pi-mpn
se	sebe	Px--sa
održavaju	održavati	Vmr3p
barem	barem	Qo
jednom	jednom	Rgp
godišnje	godišnje	Rgp
ili	ili	Cc
putem	put	Sg
drugih	drugi	Mlofpg
odgovarajućih	odgovarajući	Agpnpgy
sredstava	sredstvo	Ncnpg
,	,	Z
u	u	Sl
suradnji	suradnja	Ncfsl
s	sa	Si
nadležnim	nadležan	Agpmsiy
nadzornim	nadzorni	Agpmsiy
tijelima	tijelo	Agpfpgy
država	država	Ncfpg
članica	članica	Ncfpg
i	i	Cc
uzimajući	uzimati	Rr
u	u	Sa
obzir	obzir	Ncmsan
prirodu	priroda	Ncfsa
,	,	Z
opseg	opseg	Ncmsan
i	i	Cc
složenost	složenost	Ncfsn
rizika	rizik	Ncmsg
prisutnih	prisutan	Agpmpgy
u	u	Sl
poslovanju	poslovanje	Ncnsl
svih	sav	Agpnpgy
društava	društvo	Ncnpg
koja	koji	Pi-npn
su	biti	Var3p
dio	dio	Ncmsan
grupe	grupa	Ncfsg

6.	6.	Mdo
ostale	ostali	Agpmpay
zadatke	zadatak	Ncmpa
,	,	Z
mjere	mjera	Ncfpa
i	i	Cc
odluke	odluka	Ncfpa
koji	koji	Pi-mpn
su	biti	Var3p
dodijeljeni	dodijeliti	Appmpny
nadzornom	nadzorni	Agpnsly
tijelu	tijelo	Ncnsl
grupe	grupa	Ncfsg
ovim	ovaj	Pd-msi
Zakonom	zakon	Ncmsi
ili	ili	Cc
proizlaze	proizlaziti	Vmr3p
iz	iz	Sg
primjene	primjena	Ncfsg
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
posebno	posebno	Rgp
postupak	postupak	Ncmsan
validacije	validacija	Ncfsg
svakog	svaki	Pi-msg
unutarnjeg	unutarnji	Agpmsgy
modela	model	Ncmsg
na	na	Sl
razini	razina	Ncfsl
grupe	grupa	Ncfsg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člancima	članak	Ncmpi
316.	316.	Mdo
i	i	Cc
318.	318.	Mdo
ovoga	ovaj	Pd-nsg
Zakona	zakon	Ncmsg
i	i	Cc
postupak	postupak	Ncmsan
za	za	Sa
primjenu	primjena	Ncfsa
sustava	sustav	Ncmsg
iz	iz	Sg
članaka	članak	Ncmpg
321.	321.	Mdo
–	–	Z
324.	324.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Nadzorno	nadzorni	Agpnsny
tijelo	tijelo	Ncnsn
grupe	grupa	Ncfsg
predsjeda	predsjedati	Vmr3s
kolegiju	kolegij	Ncmsd
nadzornih	nadzorni	Agpnpgy
tijela	tijelo	Ncnpg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Ako	ako	Cs
nadzorno	nadzorni	Agpnsny
tijelo	tijelo	Ncnsn
grupe	grupa	Ncfsg
ne	ne	Qz
izvrši	izvršiti	Vmr3s
zadatke	zadatak	Ncmpa
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
ili	ili	Cc
ako	ako	Cs
članovi	član	Ncmpn
kolegija	kolegij	Ncmpg
nadzornih	nadzorni	Agpnpgy
tijela	tijelo	Ncnpg
ne	ne	Qz
surađuju	surađivati	Vmr3p
u	u	Sl
mjeri	mjera	Ncfsl
u	u	Sl
kojoj	koji	Pi-fsl
se	sebe	Px--sa
zahtijeva	zahtijevati	Vmr3s
stavcima	stavak	Ncmpi
2.	2.	Mdo
i	i	Cc
5.	5.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
bilo	bilo	Qo
koje	koji	Pi-nsn
nadležno	nadležan	Agpnsny
nadzorno	nadzorni	Agpnsny
tijelo	tijelo	Ncnsn
može	moći	Vmr3s
uputiti	uputiti	Vmn
predmet	predmet	Ncmsan
EIOPA-i	eiopa-	Ncfsg
i	i	Cc
zatražiti	zatražiti	Vmn
njezinu	njezin	Ps3fsa
pomoć	pomoć	Ncfsa
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
19.	19.	Mdo

Uredbe	uredba	Ncfpn
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
1094/2010.	1094/2010.	Mds

(	(	Z
4	4	Mdc
)	)	Z
Članstvo	članstvo	Ncnsn
kolegija	kolegij	Ncmpg
nadzornih	nadzorni	Agpnpgy
tijela	tijelo	Ncnpg
obuhvaća	obuhvaćati	Vmr3s
nadzorno	nadzorni	Agpnsay
tijelo	tijelo	Ncnsa
grupe	grupa	Ncfsg
,	,	Z

