kočenja	kočenje	Ncnsg
lokomotivi	lokomotiva	Ncfsl
,	,	Z
postavljaju	postavljati	Vmr3p
se	sebe	Px--sa
u	u	Sa
položaj	položaj	Ncmsan
najjačeg	jak	Agpnsgy
djelovanja	djelovanje	Ncnsg
,	,	Z
brzači	brzači	Agpnsgy
pražnjenja	pražnjenje	Ncnsg
glavnog	glavni	Agpmsgy
zračnog	zračan	Agpmsgy
voda	vod	Ncmsg
moraju	morati	Vmr3p
biti	biti	Van
uključeni	uključiti	Appmpny
,	,	Z
a	a	Cc
na	na	Sl
vagonima	vagon	Ncmpl
s	sa	Si
Mg	mg	Agpfsiy
kočnicom	kočnica	Ncfsi
mjenjač	mjenjač	Ncmsn
se	sebe	Px--sa
postavlja	postavljati	Vmr3s
u	u	Sa
položaj	položaj	Ncmsan
R	a	Ncfsl
+	+	Z
Mg	mg	Y
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Kod	kod	Sg
vlaka	vlak	Ncmsg
s	sa	Si
više	mnogo	Rgc
od	od	Sg
80	80	Mdc
osovina	osovina	Ncfpg
koji	koji	Pi-msn
je	biti	Var3s
sastavljen	sastaviti	Appmsnn
od	od	Sg
praznih	prazan	Agpmpgy
putničkih	putnički	Agpmpgy
vagona	vagon	Ncmpg
i	i	Cc
vagona	vagon	Ncmpg
za	za	Sa
prijevoz	prijevoz	Ncmsan
automobila	automobil	Ncmpg
,	,	Z
mjenjač	mjenjač	Ncmsn
vrste	vrsta	Ncfsg
kočnice	kočnica	Ncfsg
vagona	vagon	Ncmpg
postavlja	postavljati	Vmr3s
se	sebe	Px--sa
u	u	Sa
položaj	položaj	Ncmsan
P.	P.	Y

(	(	Z
6	6	Mdc
)	)	Z
Mjenjač	mjenjač	Ncmsn
vrste	vrsta	Ncfsg
kočnice	kočnica	Ncfsg
lokomotive	lokomotiva	Ncfsg
postavlja	postavljati	Vmr3s
se	sebe	Px--sa
u	u	Sa
sljedeći	sljedeći	Agpmsayn
položaj	položaj	Ncmsan
:	:	Z

–	–	Agpmsny
položaj	položaj	Ncmsn
G	g	Y
u	u	Sl
vlakovima	vlak	Ncmpl
sastavljenima	sastaviti	Ncmpl
od	od	Sg
praznih	prazan	Agpmpgy
putničkih	putnički	Agpmpgy
vagona	vagon	Ncmpg
i	i	Cc
vagona	vagon	Ncmpg
za	za	Sa
prijevoz	prijevoz	Ncmsan
automobila	automobil	Ncmpg
s	sa	Sg
ukupno	ukupno	Rgp
više	mnogo	Rgc
od	od	Sg
80	80	Mdc
osovina	osovina	Ncfpg
.	.	Z

–	–	Agpmsny
položaj	položaj	Ncmsn
P	P	Pp3-pg
odnosno	odnosno	Rgp
R	i	Agpnsny
/	/	Z
P	P	X
na	na	Sl
lokomotivama	lokomotiva	Ncfpl
koje	koji	Pi-fpn
nemaju	nemati	Vmr3p
posebnu	poseban	Agpfsay
oznaku	oznaka	Ncfsa
za	za	Sa
P	p	Ncmsan
(	(	Z
za	za	Sa
uračunavanje	uračunavanje	Ncnsa
u	u	Sl
SKM	SK	Npmsl
uzima	uzimati	Vmr3s
se	sebe	Px--sa
kočna	kočni	Agpfsny
masa	masa	Ncfsn
za	za	Sa
P	P	Pd-fsa
kočnicu	kočnica	Ncfsa
)	)	Z
:	:	Z

a	a	Cc
)	)	Z
u	u	Sl
vlakovima	vlak	Ncmpl
sastavljenima	sastaviti	Ncmpl
od	od	Sg
praznih	prazan	Agpmpgy
putničkih	putnički	Agpmpgy
vagona	vagon	Ncmpg
i	i	Cc
vagona	vagon	Ncmpg
za	za	Sa
prijevoz	prijevoz	Ncmsan
automobila	automobil	Ncmpg
koji	koji	Pi-mpn
nemaju	nemati	Vmr3p
više	mnogo	Rgc
od	od	Sg
80	80	Mdc
osovina	osovina	Ncfpg
i	i	Cc

b	b	Npmsn
)	)	Z
u	u	Sl
vlakovima	vlak	Ncmpl
za	za	Sa
prijevoz	prijevoz	Ncmsan
putnika	putnik	Ncmpg
koji	koji	Pi-mpn
voze	voziti	Vmr3p
brzinama	brzina	Ncfpi
manjima	mali	Agcmpiy
od	od	Sg
100	100	Mdc
km	km	Y
/	/	Z
h.	h.	Y

–	–	Agpmsny
položaj	položaj	Ncmsn
R	R	Y
odnosno	odnosno	Rgp
R	i	Agpnsny
/	/	Z
P	P	X
na	na	Sl
lokomotivama	lokomotiva	Ncfpl
koje	koji	Pi-fpn
nemaju	nemati	Vmr3p
posebnu	poseban	Agpfsay
oznaku	oznaka	Ncfsa
za	za	Sa
R	r	Ncmsan
(	(	Z
za	za	Sa
uračunavanje	uračunavanje	Ncnsa
u	u	Sl
SKM	SK	Npmsl
uzima	uzimati	Vmr3s
se	sebe	Px--sa
kočna	kočni	Agpfsny
masa	masa	Ncfsn
za	za	Sa
R	R	Pd-fsa
kočnicu	kočnica	Ncfsa
)	)	Z
u	u	Sl
vlakovima	vlak	Ncmpl
za	za	Sa
prijevoz	prijevoz	Ncmsan
putnika	putnik	Ncmpg
koji	koji	Pi-mpn
voze	voziti	Vmr3p
brzinama	brzina	Ncfpi
od	od	Sg
100	100	Mdc
do	do	Sg
160	160	Mdc
km	km	Y
/	/	Z
h.	h.	Y

(	(	Z
7	7	Mdc
)	)	Z
Putnički	putnički	Agpmsny
vagon	vagon	Ncmsn
s	sa	Si
neispravnom	neispravan	Agpfsiy
zračnom	zračan	Agpfsiy
kočnicom	kočnica	Ncfsi
se	sebe	Px--sa
u	u	Sl
domovnom	domovan	Agpmsly
kolodvoru	kolodvor	Ncmsl
ne	ne	Qz
smije	smjeti	Vmr3s
uvrstiti	uvrstiti	Vmn
u	u	Sa
vlak	vlak	Ncmsan
za	za	Sa
prijevoz	prijevoz	Ncmsan
putnika	putnik	Ncmpg
.	.	Z

Uvrštavanje	uvrštavanje	Ncnsn
vagona	vagon	Ncmsg
i	i	Cc
izbor	izbor	Ncmsn
vrste	vrsta	Ncfsg
kočnice	kočnica	Ncfsg
u	u	Sl
teretnim	teretan	Agpmply
vlakovima	vlak	Ncmpl

Članak	članak	Ncmsn
58.	58.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Teretni	teretan	Agpmpny
vlakovi	vlak	Ncmpn
koče	kočiti	Vmr3p
se	sebe	Px--sa
kočnicama	kočnica	Ncfpl
brzog	brz	Agpnsgy
djelovanja	djelovanje	Ncnsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
U	u	Sa
teretni	teretan	Agpmsayn
vlak	vlak	Ncmsan
brzine	brzina	Ncfsg
do	do	Sg
100	100	Mdc
km	km	Y
/	/	Z
h	h	Y
kočen	kočiti	Appmsnn
kočnicama	kočnica	Ncfpi
P	P	Pi-fpn
,	,	Z
mogu	moći	Vmr3p
se	sebe	Px--sa
iznimno	iznimno	Rgp
dodavati	dodavati	Vmn
vagoni	vagon	Ncmpn
s	sa	Si
kočnicama	kočnica	Ncfpi
G	g	Agpfpiy
,	,	Z
i	i	Cc
to	to	Qo
do	do	Sg
trećine	trećina	Ncfsg
broja	broj	Ncmsg
vagona	vagon	Ncmpg
s	sa	Si
kočnicama	kočnica	Ncfpi
P.		Agpfpiy

(	(	Z
3	3	Mdc
)	)	Z
U	u	Sa
teretni	teretan	Agpmsayn
vlak	vlak	Ncmsan
mogu	moći	Vmr3p
se	sebe	Px--sa
dodati	dodati	Vmn
vagoni	vagon	Ncmpn
bez	bez	Sg
kočnica	kočnica	Ncfpg
koji	koji	Pi-mpn
imaju	imati	Vmr3p
samo	samo	Rgp
glavni	glavni	Agpmsayn
zračni	zračan	Agpmsayn
vod	vod	Ncmsan
,	,	Z
ali	ali	Cc
ukupno	ukupno	Rgp
do	do	Sg
najviše	mnogo	Rgs
8	8	Mdc
osovina	osovina	Ncfpg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Kao	kao	Cs
kočna	kočni	Agpfsny
masa	masa	Ncfsn
teretnih	teretan	Agpmpgy
vagona	vagon	Ncmpg
sposobnih	sposoban	Agpmpgy
za	za	Sa
brzine	brzina	Ncfpa
do	do	Sg
120	120	Mdc
km	km	Y
/	/	Z
h	h	Y
s	sa	Si
automatskom	automatski	Agpfsiy
kontinuiranom	kontinuiran	Agpfsiy
promjenom	promjena	Ncfsi
kočne	kočni	Agpfsgy
sile	sila	Ncfsg
uzima	uzimati	Vmr3s
se	sebe	Px--sa
njihova	njihov	Ps3fsn
ukupna	ukupan	Agpfsny
masa	masa	Ncfsn
,	,	Z
ali	ali	Cc
ne	ne	Qz
više	mnogo	Rgc
od	od	Sg
napisane	napisati	Agpfsgy
vrijednosti	vrijednost	Ncfsg
kočne	kočni	Agpfsgy
mase	masa	Ncfsg
na	na	Sl
vagonima	vagon	Ncmpl
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Mjenjač	mjenjač	Ncmsn
vrste	vrsta	Ncfsg
kočnice	kočnica	Ncfsg
lokomotive	lokomotiva	Ncfsg
postavlja	postavljati	Vmr3s
se	sebe	Px--sa
u	u	Sa
sljedeći	sljedeći	Agpmsayn
položaj	položaj	Ncmsan
:	:	Z

–	–	Agpmsny
položaj	položaj	Ncmsn
G	g	Y
u	u	Sl
teretnim	teretan	Agpmply
vlakovima	vlak	Ncmpl
kočenima	kočiti	Ncmpl
P		Agpfpiy
kočnicama	kočnica	Ncfpi
koji	koji	Pi-mpn
voze	voziti	Vmr3p
brzinama	brzina	Ncfpi
manjima	mali	Agcmpiy
od	od	Sg
100	100	Mdc
km	km	Y
/	/	Z
h	h	Y
,	,	Z
a	a	Cc
ukupna	ukupan	Agpfsny
masa	masa	Ncfsn
im	oni	Pp3-pd
je	biti	Var3s
veća	velik	Agcfsny
od	od	Sg
500	500	Mdc
tona	tona	Ncfpg

–	–	Agpmsny
položaj	položaj	Ncmsn
P	P	Pp3-pg
odnosno	odnosno	Rgp
R	i	Agpnsny
/	/	Z
P	P	X
na	na	Sl
lokomotivama	lokomotiva	Ncfpl
koje	koji	Pi-fpn
nemaju	nemati	Vmr3p
posebnu	poseban	Agpfsay
oznaku	oznaka	Ncfsa
za	za	Sa
R	r	Ncmsan
(	(	Z
za	za	Sa
uračunavanje	uračunavanje	Ncnsa
u	u	Sl
SKM	SK	Npmsl
uzima	uzimati	Vmr3s
se	sebe	Px--sa
kočna	kočni	Agpfsny
masa	masa	Ncfsn
za	za	Sa
P	P	Pd-fsa
kočnicu	kočnica	Ncfsa
)	)	Z
:	:	Z

a	a	Cc
)	)	Z
u	u	Sl
teretnim	teretan	Agpmply
vlakovima	vlak	Ncmpl
ukupne	ukupan	Agpfsgy
mase	masa	Ncfsg
do	do	Sg
najviše	mnogo	Rgs
500	500	Mdc
tona	tona	Ncfpg
koji	koji	Pi-mpn
su	biti	Var3p
kočeni	kočiti	Appmpny
P		Agpfpiy
kočnicama	kočnica	Ncfpi
,	,	Z
bez	bez	Sg
obzira	obzir	Ncmsg
na	na	Sa
brzinu	brzina	Ncfsa

b	b	Npmsn
)	)	Z
u	u	Sl
teretnim	teretan	Agpmply
vlakovima	vlak	Ncmpl
koji	koji	Pi-mpn
voze	voziti	Vmr3p
brzinom	brzina	Ncfsi
od	od	Sg
100	100	Mdc
do	do	Sg
120	120	Mdc
km	km	Y
/	/	Z
h	h	Y
i	i	Cc

c	C	Npmsn
)	)	Z
na	na	Sl
potiskivalici	potiskivalica	Ncfsl
.	.	Z

Kočenje	kočenje	Ncnsn
lokomotivskog	lokomotivski	Agpmsgy
vlaka	vlak	Ncmsg

Članak	članak	Ncmsn
59.	59.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Mjenjač	mjenjač	Ncmsn
vrste	vrsta	Ncfsg
kočnice	kočnica	Ncfsg
na	na	Sl
lokomotivskom	lokomotivski	Agpmsly
vlaku	vlak	Ncmsl
mora	morati	Vmr3s
biti	biti	Van
u	u	Sl
položaju	položaj	Ncmsl
najjačeg	jak	Agpnsgy
djelovanja	djelovanje	Ncnsg
na	na	Sl
svim	sav	Agpnply
vučnim	vučni	Agpnply
vozilima	vozilo	Ncnpl
koja	koji	Pi-npn
se	sebe	Px--sa
nalaze	nalaziti	Vmr3p
u	u	Sl
vlaku	vlak	Ncmsl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Kod	kod	Sg
vučnih	vučni	Agpnpgy
vozila	vozilo	Ncnpg
s	sa	Si
mjenjačem	mjenjač	Ncmsi
vrste	vrsta	Ncfsg
kočnice	kočnica	Ncfsg
u	u	Sl
položaju	položaj	Ncmsl
R	i	Agpmsly
/	/	Z
P	P	X
smatra	smatrati	Vmr3s
se	sebe	Px--sa
da	da	Cs
je	biti	Var3s
mjenjač	mjenjač	Ncmsn
vrste	vrsta	Ncfsg
kočnice	kočnica	Ncfsg
u	u	Sl
položaju	položaj	Ncmsl
R.	R.	Y

(	(	Z
3	3	Mdc
)	)	Z
Na	na	Sl
lokomotivskim	lokomotivski	Agpmply
vlakovima	vlak	Ncmpl
sastavljenima	sastaviti	Ncmpl
od	od	Sg
više	mnogo	Rgc
vučnih	vučni	Agpnpgy
vozila	vozilo	Ncnpg
svaki	svaki	Pi-msn
strojovođa	strojovođa	Ncmsn
odgovara	odgovarati	Vmr3s
za	za	Sa
ispravnost	ispravnost	Ncfsa
kočnica	kočnica	Ncfpg
na	na	Sl
vučnom	vučni	Agpnsly
vozilu	vozilo	Ncnsl
na	na	Sl
kojem	koji	Pi-nsl
se	sebe	Px--sa
nalazi	nalaziti	Vmr3s
.	.	Z

Nakon	nakon	Sg
svake	svaki	Pi-fsg
promjene	promjena	Ncfsg
položaja	položaj	Ncmsg
mjenjača	mjenjač	Ncmsg
vrste	vrsta	Ncfsg
kočnice	kočnica	Ncfsg
strojovođa	strojovođa	Ncmsn
provjerava	provjeravati	Vmr3s
ispravnost	ispravnost	Ncfsa
kočnica	kočnica	Ncfpg
na	na	Sl
vučnom	vučni	Agpnsly
vozilu	vozilo	Ncnsl
preko	preko	Sg
manometara	manometar	Ncmpg
i	i	Cc
to	taj	Pd-nsn
evidentira	evidentirati	Vmr3s
u	u	Sl
primopredajnoj	primopredajni	Agpfsly
knjizi	knjiga	Ncfsl
vučnog	vučni	Agpnsgy
vozila	vozilo	Ncnsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Ako	ako	Cs
se	sebe	Px--sa
utvrdi	utvrditi	Vmr3s
da	da	Cs
su	biti	Var3p
kočnice	kočnica	Ncfpn
na	na	Sl
vučnom	vučni	Agpnsly
vozilu	vozilo	Ncnsl
neispravne	neispravan	Agpfsgy
,	,	Z
takvo	takav	Pd-nsn
vučno	vučni	Agpnsny
vozilo	vozilo	Ncnsn
ne	ne	Qz
može	moći	Vmr3s
se	sebe	Px--sa
otpremiti	otpremiti	Vmn
u	u	Sl
sastavu	sastav	Ncmsl
lokomotivskog	lokomotivski	Agpmsgy
vlaka	vlak	Ncmsg
,	,	Z
nego	nego	Cc
se	sebe	Px--sa
otprema	otpremati	Vmr3s
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbama	odredba	Ncfpi
iz	iz	Sg
članka	članak	Ncmsg
82.	82.	Mdo
ovog	ovaj	Pd-msg

