vodeći	vodeći	Agpmsny
Oružanih	oružan	Agpfpgy
snaga	snaga	Ncfpg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
.	.	Z

(	(	Z
c	C	Npmsn
)	)	Z
u	u	Sl
slučaju	slučaj	Ncmsl
opravdanih	opravdati	Appfpgy
okolnosti	okolnost	Ncfpg
granične	graničan	Agpfsgy
vrijednosti	vrijednost	Ncfsg
izloženosti	izloženost	Ncfsg
mogu	moći	Vmr3p
se	sebe	Px--sa
privremeno	privremeno	Rgp
prekoračiti	prekoračiti	Vmn
toliko	toliko	Rgp
dugo	dugo	Rgp
dok	dok	Cs
su	biti	Var3p
okolnosti	okolnost	Ncfpn
i	i	Cc
dalje	daleko	Rgc
u	u	Sl
potpunosti	potpunost	Ncfsl
opravdane	opravdati	Appfpny
,	,	Z
u	u	Sl
posebnim	poseban	Agpmply
sektorima	sektor	Ncmpl
i	i	Cc
za	za	Sa
posebne	poseban	Agpfpay
aktivnosti	aktivnost	Ncfpa
izvan	izvan	Sg
područja	područje	Ncnsg
uporabe	uporaba	Ncfsg
iz	iz	Sg
točke	točka	Ncfsg
(	(	Z
a	a	Cc
)	)	Z
ovoga	ovaj	Pd-nsg
članka	članak	Ncmsg
.	.	Z

U	u	Sl
smislu	smisao	Ncmsl
ove	ovaj	Pd-fsg
točke	točka	Ncfsg
»	»	Z
u	u	Sl
potpunosti	potpunost	Ncfsl
opravdane	opravdati	Agpfsgy
okolnosti	okolnost	Ncfsg
«	«	Z
znači	značiti	Vmr3s
okolnosti	okolnost	Ncfpa
u	u	Sl
kojima	koji	Pi-fpl
su	biti	Var3p
zadovoljeni	zadovoljiti	Appmpny
sljedeći	sljedeći	Agpmpny
uvjeti	uvjet	Ncmpn
:	:	Z

1.	1.	Mdo
procjena	procjena	Ncfsn
rizika	rizik	Ncmsg
provedena	provesti	Appfsny
sukladno	sukladno	Rgp
članku	članak	Ncmsd
5.	5.	Mdo
pokazala	pokazati	Vmp-sf
je	biti	Var3s
da	da	Cs
su	biti	Var3p
granične	graničan	Agpfpny
vrijednosti	vrijednost	Ncfpn
izloženosti	izloženost	Ncfsg
prekoračene	prekoračiti	Appfpny
;	;	Z

2.	2.	Mdo
s	sa	Si
obzirom	obzir	Ncmsi
na	na	Sa
razvoj	razvoj	Ncmsan
tehnologije	tehnologija	Ncfsg
,	,	Z
primijenjene	primijeniti	Appfpny
su	biti	Var3p
sve	sav	Agpfpny
tehničke	tehnički	Agpfpny
i	i	Cc
/	/	Z
ili	ili	Cc
organizacijske	organizacijski	Agpfsgy
mjere	mjera	Ncfsg
;	;	Z

3.	3.	Mdo
u	u	Sa
obzir	obzir	Ncmsan
su	biti	Var3p
uzeta	uzeti	Appnpny
posebna	poseban	Agpnpny
obilježja	obilježje	Ncnpn
mjesta	mjesto	Ncnsg
rada	rad	Ncmsg
,	,	Z
radne	radni	Agpfsgy
opreme	oprema	Ncfsg
ili	ili	Cc
radne	radni	Agpfsgy
prakse	praksa	Ncfsg
;	;	Z
i	i	Cc

4.	4.	Mdo
poslodavac	poslodavac	Ncmsn
dokazuje	dokazivati	Vmr3s
da	da	Cs
su	biti	Var3p
radnici	radnik	Ncmpn
još	još	Rgp
uvijek	uvijek	Rgp
zaštićeni	zaštititi	Appmpny
od	od	Sg
štetnih	štetan	Agpmpgy
učinaka	učinak	Ncmpg
na	na	Sa
zdravlje	zdravlje	Ncnsa
i	i	Cc
sigurnosnih	sigurnosni	Agpmpgy
rizika	rizik	Ncmpg
,	,	Z
uključujući	uključivati	Rr
i	i	Cc
uporabu	uporaba	Ncfsa
usporedivih	usporediv	Agpmpgy
,	,	Z
specifičnijih	specifičan	Agcmpgy
i	i	Cc
međunarodno	međunarodno	Rgp
priznatih	priznati	Appfpgy
normi	norma	Ncfpg
i	i	Cc
smjernica	smjernica	Ncfpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ministarstvo	ministarstvo	Ncnsn
zdravlja	zdravlje	Ncnsg
obavješćuje	obavješćivati	Vmr3s
Europsku	europski	Agpfsay
komisiju	komisija	Ncfsa
o	o	Sl
svim	sav	Agpnply
odstupanjima	odstupanje	Ncnpl
na	na	Sl
temelju	temelj	Ncmsl
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
b	b	X
)	)	Z
i	i	Cc
c	C	Npmsn
)	)	Z
i	i	Cc
navodi	navoditi	Vmr3s
razloge	razlog	Ncmpa
koji	koji	Pi-mpn
opravdavaju	opravdavati	Vmr3p
ta	taj	Pd-npn
odstupanja	odstupanje	Ncnpn
u	u	Sl
postupku	postupak	Ncmsl
revizije	revizija	Ncfsg
i	i	Cc
izvješćivanja	izvješćivanje	Ncnsg
Europske	europski	Agpfsgy
komisije	komisija	Ncfsg
.	.	Z

Stupanje	stupanje	Ncnsn
na	na	Sa
snagu	snaga	Ncfsa

Članak	članak	Ncmsn
11.	11.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Danom	dan	Agpnsly
stupanja	stupanje	Ncnsg
na	na	Sa
snagu	snaga	Ncfsa
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
prestaje	prestajati	Vmr3s
važiti	važiti	Vmn
Pravilnik	pravilnik	Ncmsan
o	o	Sl
minimalnim	minimalan	Agpfply
zdravstvenim	zdravstven	Agpfply
i	i	Cc
sigurnosnim	sigurnosni	Agpmply
zahtjevima	zahtjev	Ncmpl
koji	koji	Pi-mpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
izloženost	izloženost	Ncfsa
radnika	radnik	Ncmpg
rizicima	rizik	Ncmpd
koji	koji	Pi-mpn
potječu	potjecati	Vmr3p
od	od	Sg
elektromagnetskih	elektromagnetski	Agpnpgy
polja	polje	Ncnpg
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
38/08	38/08	Mds
)	)	Z
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Danom	dan	Agpnsly
stupanja	stupanje	Ncnsg
na	na	Sa
snagu	snaga	Ncfsa
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
prestaju	prestajati	Vmr3p
važiti	važiti	Vmn
odredbe	odredba	Ncfpa
članka	članak	Ncmsg
2.	2.	Mdo
točke	točka	Ncfsg
23.	23.	Mdo
,	,	Z
članka	članak	Ncmsg
5.	5.	Mdo
,	,	Z
7.	7.	Mdo
,	,	Z
8	8	Mdc
i	i	Cc
9.	9.	Mdo
Pravilnika	pravilnik	Ncmsg
o	o	Sl
zaštiti	zaštita	Ncfsl
od	od	Sg
elektromagnetskih	elektromagnetski	Agpnpgy
polja	polje	Ncnpg
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
146/14	146/14	Mds
)	)	Z
.	.	Z

Članak	članak	Ncmsn
12.	12.	Mdo

Ovaj	ovaj	Pd-msn
Pravilnik	pravilnik	Ncmsn
objavit	objaviti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
u	u	Sl
»		Agpfply
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
,	,	Z
a	a	Cc
stupa	stupati	Vmr3s
na	na	Sa
snagu	snaga	Ncfsa
1.	1.	Mdo
srpnja	srpanj	Ncmsg
2016.	2016.	Mdo
godine	godina	Ncfsg
.	.	Z

Klasa	klasa	Ncfsn
:	:	Z
011	011	Mdc
-	-	Z
02/16	02/16	Mdc
-	-	Z
04/23	04/23	Mdc

Urbroj	urbroj	Ncmsn
:	:	Z
534	534	Mdc
-	-	Z
02	02	Mdc
-	-	Z
1	1	Mdc
-	-	Z
1/3	1/3	Mdc
-	-	Z
16	16	Mdc
-	-	Z
1	1	Mdc

Zagreb	Zagreb	Npmsn
,	,	Z
16.	16.	Mdo
lipnja	lipanj	Ncmsg
2016.	2016.	Mdo

Ministar	ministar	Ncmsn
doc.	doc.	Y
dr.	dr.	Y
sc.	sc.	Y
Dario	Dario	Npmsn
Nakić	Nakić	Npmsn
,	,	Z
dr.	dr.	Y
med	med	Ncmsan
.	.	Z
,	,	Z
v.	v.	Y
r.	r.	Y

PRILOG	prilog	Ncmsn
I.	I.	Mro

FIZIKALNE	fizikalan	Agpfpny
VELIČINE	veličina	Ncfpn
ZA	za	Sa
IZLAGANJE	izlaganje	Ncnsa
ELEKTROMAGNETSKIM	elektromagnetski	Agpnply
POLJIMA	polje	Ncnpl

Sljedeće	sljedeći	Agpfsgy
se	sebe	Px--sa
fizikalne	fizikalan	Agpfpny
veličine	veličina	Ncfpn
koriste	koristiti	Vmr3p
za	za	Sa
opisivanje	opisivanje	Ncnsa
izlaganja	izlaganje	Ncnsg
elektromagnetskim	elektromagnetski	Agpnpiy
poljima	polje	Ncnpi
:	:	Z

Jakost	jakost	Ncfsn
električnog	električan	Agpnsgy
polja	polje	Ncnsg
(	(	Z
E	E	Npmsn
)	)	Z
je	biti	Var3s
vektorska	vektorski	Agpfsny
veličina	veličina	Ncfsn
koja	koji	Pi-fsn
je	biti	Var3s
jednaka	jednak	Agpfsny
sili	sila	Ncfsd
koja	koji	Pi-fsn
djeluje	djelovati	Vmr3s
na	na	Sa
nabijenu	nabijen	Agpfsay
česticu	čestica	Ncfsa
bez	bez	Sg
obzira	obzir	Ncmsg
na	na	Sa
njezino	njezin	Agpnsay
gibanje	gibanje	Ncnsa
u	u	Sl
prostoru	prostor	Ncmsl
.	.	Z

