zapovjedništava	zapovjedništvo	Ncnpg
prilikom	prilikom	Sg
prijave	prijava	Ncfsg
u	u	Sl
nadležnoj	nadležan	Agpfsly
ustrojstvenoj	ustrojstven	Agpfsly
jedinici	jedinica	Ncfsl
Ministarstva	ministarstvo	Ncnsg
obrane	obrana	Ncfsg
popunjava	popunjavati	Vmr3s
i	i	Cc
Upitnik	upitnik	Ncmsn
za	za	Sa
sigurnosnu	sigurnosni	Agpfsay
provjeru	provjera	Ncfsa
III	III	Mrc
.	.	Z
stupnja	stupanj	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Kandidat	kandidat	Ncmsn
je	biti	Var3s
uz	uz	Sa
prijavnicu	prijavnica	Ncfsa
obvezan	obvezan	Agpmsnn
priložiti	priložiti	Vmn
sljedeću	sljedeći	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
:	:	Z

–	–	Sa
presliku	preslika	Ncfsa
osobne	osoban	Agpfsgy
iskaznice	iskaznica	Ncfsg
(	(	Z
izvornik	izvornik	Ncmsn
na	na	Sa
uvid	uvid	Ncmsan
)	)	Z

–	–	Sa
presliku	preslika	Ncfsa
svjedodžbe	svjedodžba	Ncfsg
o	o	Sl
stečenoj	steći	Agpfsly
stručnoj	stručan	Agpfsly
spremi	sprema	Ncfsl
(	(	Z
izvornik	izvornik	Ncmsn
na	na	Sa
uvid	uvid	Ncmsan
)	)	Z

–	i	Agpnsny
uvjerenje	uvjerenje	Ncnsn
o	o	Sl
zaposlenju	zaposlenje	Ncnsl
,	,	Z
ako	ako	Cs
je	biti	Var3s
u	u	Sl
radnom	radni	Agpmsly
odnosu	odnos	Ncmsl

–	–	Agpmsny
dokaz	dokaz	Ncmsn
o	o	Sl
stečenoj	steći	Agpfsly
dodatnoj	dodatan	Agpfsly
izobrazbi	izobrazba	Ncfsl
i	i	Cc
osposobljenosti	osposobljenost	Ncfsl
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Na	na	Sa
zahtjev	zahtjev	Ncmsan
nadležne	nadležan	Agpfsgy
ustrojstvene	ustrojstven	Agpfsgy
jedinice	jedinica	Ncfsg
Ministarstva	ministarstvo	Ncnsg
obrane	obrana	Ncfsg
kandidat	kandidat	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
priložiti	priložiti	Vmn
i	i	Cc
dodatnu	dodatan	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Nadležna	nadležan	Agpfsny
ustrojstvena	ustrojstven	Agpfsny
jedinica	jedinica	Ncfsn
Ministarstva	ministarstvo	Ncnsg
obrane	obrana	Ncfsg
po	po	Sl
službenoj	služben	Agpfsly
dužnosti	dužnost	Ncfsl
pribavlja	pribavljati	Vmr3s
za	za	Sa
kandidata	kandidat	Ncmsay
uvjerenje	uvjerenje	Ncnsa
o	o	Sl
nekažnjavanju	nekažnjavanje	Ncnsl
i	i	Cc
uvjerenje	uvjerenje	Ncnsn
da	da	Cs
se	sebe	Px--sa
protiv	protiv	Sg
njega	on	Pp3msg
ne	ne	Qz
vodi	voditi	Vmr3s
kazneni	kazneni	Agpmsayn
postupak	postupak	Ncmsan
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Iznimno	iznimno	Rgp
od	od	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
Ministarstvo	ministarstvo	Ncnsn
obrane	obrana	Ncfsg
može	moći	Vmr3s
vojnom	vojni	Agpmsdy
obvezniku	obveznik	Ncmsd
ponuditi	ponuditi	Vmn
sklapanje	sklapanje	Ncnsa
ugovora	ugovor	Ncmsg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
iskazanim	iskazati	Agpfpiy
potrebama	potreba	Ncfpi
i	i	Cc
prioritetima	prioritet	Ncmpl
.	.	Z

Članak	članak	Ncmsn
9.	9.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Na	na	Sl
temelju	temelj	Ncmsl
zaprimljene	zaprimiti	Agpfsgy
dokumentacije	dokumentacija	Ncfsg
i	i	Cc
podataka	podatak	Ncmpg
iz	iz	Sg
službene	služben	Agpfsgy
evidencije	evidencija	Ncfsg
,	,	Z
ovisno	ovisno	Rgp
o	o	Sl
iskazanim	iskazati	Agpfply
potrebama	potreba	Ncfpl
i	i	Cc
prioritetima	prioritet	Ncmpl
za	za	Sa
popunu	popuna	Ncfsa
ugovornom	ugovoran	Agpfsiy
pričuvom	pričuva	Ncfsi
Oružanih	oružan	Agpfpgy
snaga	snaga	Ncfpg
,	,	Z
nadležna	nadležan	Agpfsny
ustrojstvena	ustrojstven	Agpfsny
jedinica	jedinica	Ncfsn
Ministarstva	ministarstvo	Ncnsg
obrane	obrana	Ncfsg
kandidate	kandidat	Ncmpa
upućuje	upućivati	Vmr3s
na	na	Sa
utvrđivanje	utvrđivanje	Ncnsa
zdravstvenih	zdravstven	Agpmpgy
,	,	Z
psihičkih	psihički	Agpmpgy
,	,	Z
tjelesnih	tjelesni	Agpmpgy
i	i	Cc
sigurnosnih	sigurnosni	Agpmpgy
uvjeta	uvjet	Ncmpg
za	za	Sa
prijam	prijam	Ncmsan
u	u	Sa
službu	služba	Ncfsa
u	u	Sl
ugovornoj	ugovoran	Agpfsly
pričuvi	pričuva	Ncfsl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Utvrđivanje	utvrđivanje	Ncnsn
zdravstvenih	zdravstven	Agpmpgy
,	,	Z
psihičkih	psihički	Agpmpgy
,	,	Z
tjelesnih	tjelesni	Agpmpgy
i	i	Cc
sigurnosnih	sigurnosni	Agpmpgy
uvjeta	uvjet	Ncmpg
kandidata	kandidat	Ncmpg
za	za	Sa
službu	služba	Ncfsa
u	u	Sl
ugovornoj	ugovoran	Agpfsly
pričuvi	pričuva	Ncfsl
obavlja	obavljati	Vmr3s
se	sebe	Px--sa
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
pravilnikom	pravilnik	Ncmsi
kojim	koji	Pi-msi
se	sebe	Px--sa
uređuju	uređivati	Vmr3p
kriteriji	kriterij	Ncmpn
i	i	Cc
postupak	postupak	Ncmsan
za	za	Sa
utvrđivanje	utvrđivanje	Ncnsa
zdravstvenih	zdravstven	Agpmpgy
,	,	Z
psihičkih	psihički	Agpmpgy
,	,	Z
tjelesnih	tjelesni	Agpmpgy
i	i	Cc
sigurnosnih	sigurnosni	Agpmpgy
uvjeta	uvjet	Ncmpg
za	za	Sa
prijam	prijam	Ncmsan
u	u	Sa
službu	služba	Ncfsa
u	u	Sa
Oružane	oružan	Agpfpay
snage	snaga	Ncfpa
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Vrijednosti	vrijednost	Ncfsg
tjelesne	tjelesni	Agpfsgy
spremnosti	spremnost	Ncfsg
i	i	Cc
poznavanja	poznavanje	Ncnsg
stranog	stran	Agpmsgy
jezika	jezik	Ncmsg
kandidata	kandidat	Ncmpg
iskazuju	iskazivati	Vmr3p
se	sebe	Px--sa
na	na	Sl
tiskanici	tiskanica	Ncfsl
Kriteriji	Kriterija	Npfsl
i	i	Cc
vrijednosti	vrijednost	Ncfsl
kandidata	kandidat	Ncmpg
za	za	Sa
ugovornu	ugovoran	Agpfsay
pričuvu	pričuva	Ncfsa
(	(	Z
Prilog	prilog	Ncmsn
3	3	Mdc
)	)	Z
,	,	Z
koja	koji	Pi-fsn
je	biti	Var3s
sastavni	sastavan	Agpmsny
dio	dio	Ncmsn
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

Članak	članak	Ncmsn
10.	10.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Kandidati	kandidat	Ncmpn
koji	koji	Pi-mpn
su	biti	Var3p
ispunili	ispuniti	Vmp-pm
kriterije	kriterij	Ncmpa
iz	iz	Sg
članka	članak	Ncmsg
9.	9.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
uvrštavaju	uvrštavati	Vmr3p
se	sebe	Px--sa
na	na	Sa
listu	lista	Ncfsa
kandidata	kandidat	Ncmpg
za	za	Sa
ugovornu	ugovoran	Agpfsay
pričuvu	pričuva	Ncfsa
,	,	Z
vojnike	vojnik	Ncmpa
/	/	Z
dočasnike	dočasnik	Ncmpa
/	/	Z
časnike	časnik	Ncmpa
(	(	Z
Prilog	prilog	Ncmsn
4	4	Mdc
)	)	Z
,	,	Z
koji	koji	Pi-msn
je	biti	Var3s
sastavni	sastavan	Agpmsny
dio	dio	Ncmsn
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Redoslijed	redoslijed	Ncmsn
kandidata	kandidat	Ncmpg
se	sebe	Px--sa
određuje	određivati	Vmr3s
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
kriterijima	kriterij	Ncmpi
iz	iz	Sg
članka	članak	Ncmsg
5.	5.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Nadležna	nadležan	Agpfsny
ustrojstvena	ustrojstven	Agpfsny
jedinica	jedinica	Ncfsn
Ministarstva	ministarstvo	Ncnsg
obrane	obrana	Ncfsg
ovjerava	ovjeravati	Vmr3s
liste	lista	Ncfpa
kandidata	kandidat	Ncmpg
za	za	Sa
vojnike	vojnik	Ncmpa
/	/	Z
dočasnike	dočasnik	Ncmpa
/	/	Z
časnike	časnik	Ncmpa
i	i	Cc
primjerak	primjerak	Ncmsn
liste	lista	Ncfsg
dostavlja	dostavljati	Vmr3s
nadležnoj	nadležan	Agpfsly
ustrojstvenoj	ustrojstven	Agpfsly
jedinici	jedinica	Ncfsl
Oružanih	oružan	Agpfpgy
snaga	snaga	Ncfpg
.	.	Z

IV	IV	Mrc
.	.	Z

SKLAPANJE	sklapanje	Ncnsn
UGOVORA	ugovor	Ncmsg

Članak	članak	Ncmsn
11.	11.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Ministarsvo	ministarsvo	Agpfpny
obrane	obrana	Ncfpn
će	htjeti	Var3p
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
30	30	Mdc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
dostave	dostava	Ncfsg
lista	list	Ncmsg
nadležnoj	nadležan	Agpfsly
ustrojstvenoj	ustrojstven	Agpfsly
jedinici	jedinica	Ncfsl
Oružanih	oružan	Agpfpgy
snaga	snaga	Ncfpg
sklopiti	sklopiti	Vmn
ugovor	ugovor	Ncmsan
s	sa	Si
odabranim	odabrati	Agpmpiy
kandidatima	kandidat	Ncmpi
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ugovor	ugovor	Ncmsn
sadrži	sadržati	Vmr3s
rok	rok	Ncmsan
na	na	Sa
koji	koji	Pi-msan
se	sebe	Px--sa
sklapa	sklapati	Vmr3s
,	,	Z
raspored	raspored	Ncmsn
na	na	Sa
dužnost	dužnost	Ncfsa
u	u	Sl
slučaju	slučaj	Ncmsl
pozivanja	pozivanje	Ncnsg
,	,	Z
međusobna	međusoban	Agpnpay
prava	pravo	Ncnpa
i	i	Cc
obveze	obveza	Ncfsg
,	,	Z
novčane	novčan	Agpfsgy
naknade	naknada	Ncfsg
,	,	Z
druge	drugi	Mlofpn
pogodnosti	pogodnost	Ncfpa
te	te	Cc
uvjete	uvjet	Ncmpa
i	i	Cc
posljedice	posljedica	Ncfpa
raskida	raskid	Ncmsg
ugovora	ugovor	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Ugovor	ugovor	Ncmsn
u	u	Sa
ime	ime	Ncnsa
Ministarstva	ministarstvo	Ncnsg
obrane	obrana	Ncfsg
potpisuje	potpisivati	Vmr3s
osoba	osoba	Ncfsn
koju	koji	Agpfsgy
ovlasti	ovlast	Ncfsg
ministar	ministar	Ncmsn
obrane	obrana	Ncfsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Ugovor	ugovor	Ncmsn
se	sebe	Px--sa
sklapa	sklapati	Vmr3s
na	na	Sa
rok	rok	Ncmsan
do	do	Sg
tri	tri	Mlc
godine	godina	Ncfsg
i	i	Cc
može	moći	Vmr3s
se	sebe	Px--sa
produljivati	produljivati	Vmn
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
potrebama	potreba	Ncfpi
Oružanih	oružan	Agpfpgy
snaga	snaga	Ncfpg
s	sa	Si
tim	taj	Pd-nsi
da	da	Cs
trajanje	trajanje	Ncnsn
posljednjega	posljednji	Agpmsgy
ugovora	ugovor	Ncmsg
ne	ne	Qz
može	moći	Vmr3s
biti	biti	Van
dulje	dugo	Rgc
od	od	Sg
kraja	kraj	Ncmsg
kalendarske	kalendarski	Agpfsgy
godine	godina	Ncfsg
u	u	Sl
kojoj	koji	Pi-fsl
ugovorni	ugovoran	Agpmsny
pričuvnik	pričuvnik	Ncmsn
navršava	navršavati	Vmr3s
55	55	Mdc
godina	godina	Ncfpg
(	(	Z
muškarac	muškarac	Ncmsn
)	)	Z
odnosno	odnosno	Rgp
50	50	Mdc
godina	godina	Ncfpg
(	(	Z
žene	žena	Ncfpn
)	)	Z
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Iznimno	iznimno	Rgp
od	od	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
posebnom	poseban	Agpfsiy
odlukom	odluka	Ncfsi
ministra	ministar	Ncmsg
obrane	obrana	Ncfsg
,	,	Z
ugovor	ugovor	Ncmsn
se	sebe	Px--sa
može	moći	Vmr3s
sklopiti	sklopiti	Vmn
s	sa	Si
višim	visok	Agcmsiy
časnikom	časnik	Ncmsi
tako	tako	Cs
da	da	Cs
traje	trajati	Vmr3s
do	do	Sg
60.	60.	Mdo
godine	godina	Ncfsg
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
O	o	Sl
sklapanju	sklapanje	Ncnsl
ugovora	ugovor	Ncmsg
iz	iz	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-nsg

