šesteročlanom	šesteročlan	Agpmsly
alkyl	alkyl	Xf
or	or	Xf
alkenyl	alkenyl	Xf
group	group	Xf
;	;	Z
•	•	Z
by	by	Xf
substitution	substitution	Xf
at	at	Xf
six-membered	six-membered	Xf
ring	ring	Xf
with	with	Xf
substituent	substituent	Xf
or	or	Xf
substituents	substituents	Xf
from	from	Xf
the	the	Xf
group	group	Xf
consisting	consisting	Xf
of	of	Xf
alkyl	alkyl	Xf
,	,	Z
alkyloxy	alkyloxi	Agpnsny
,	,	Z
haloalkyl	haloalky	Ncmsl
,	,	Z
alkylthio	alkylthii	Agpnsny
,	,	Z
alkylenedioxy	alkylenedioxi	Agpnsny
,	,	Z
halogen	halogen	Agpmsnn
,	,	Z
hydroxy	hydroxy	Xf
or	or	Xf
substituted	substituted	Xf
hydroxy	hydroxy	Xf
group	group	Xf
;	;	Z
•	•	Z
by	by	Xf
substitution	substitution	Xf
at	at	Xf
2-position	2-position	Xf
of	of	Xf
tryptamine	tryptamine	Xf
ring	ring	Xf
by	by	Xf
an	an	Xf
alkyl	alkyl	Xf
group	group	Xf
.	.	Z

Odjeljak	odjeljak	Ncmsn
2.	2.	Mdo
Psihotropne	psihotropni	Agpfpny
tvari	tvar	Ncfpn
sukladno	sukladno	Rgp
Popisu	popis	Ncmsl
2.	2.	Mdo
Konvencije	konvencija	Ncfsg
UN-a	UN	Npmsg
o	o	Sl
psihotropnim	psihotropni	Agpfply
tvarima	tvar	Ncfpl
iz	iz	Sg
1971.	1971.	Mdo

Psihotropna	psihotropni	Agpfsny
tvar	tvar	Ncfsn
(	(	Z
INN	INN	Xf
masnim	mastan	Agpnply
slovima	slovo	Ncnpl
)	)	Z
(	(	Z
alternativni	alternativan	Agpmsny
naziv	naziv	Ncmsn
)	)	Z
Psihotropna	psihotropni	Agpfsny
tvar	tvar	Ncfsn
,	,	Z
engleski	engleski	Agpmsny
(	(	Z
INN	INN	Npmsn
masnim	mastan	Agpnply
slovima	slovo	Ncnpl
)	)	Z
(	(	Z
alternativni	alternativan	Agpmsny
naziv	naziv	Ncmsn
)	)	Z
Kemijsko	kemijski	Agpnsny
ime	ime	Ncnsn
Kemijsko	kemijski	Agpnsny
ime	ime	Ncnsn
,	,	Z
engleski	engleski	Agpmsny
amfetamin	amfetamin	Ncmsn
Amfetamine	Amfetamina	Npfsg
(	(	Z
Amphetamine	Amphetamine	Npfsn
)	)	Z
(±)	(±i	Agpnsny
-	-	Z
α-metilfenetilamin	α-metilfenetilamin	Ncmsn
(±)	(±)	Z
-	-	Z
α-methylphenethylamine	α-methylphenethylamina	Ncfpn
amineptin	amineptin	Ncmsn
Amineptine	Amineptina	Npfsg
7	7	Mdc
-	-	Z
[	[	Z
(	(	Z
10,11-dihidro	10,11-dihidro	Xf
-5	-5	Xf
H-dibenzo	H-dibenzo	Xf
[	[	Z
a	a	Cc
,	,	Z
d	a	Ncfpn
]	]	Z
ciklohepten-5-il	ciklohepten-5-il	Npmsn
)	)	Z
amino	amino	Ncmsn
]	]	Z
heptanska	heptanski	Agpfsny
kiselina	kiselina	Ncfsn
7	7	Mdc
-	-	Z
[	[	Z
(	(	Z
10,11-dihydro	10,11-dihydro	Xf
-5	-5	Xf
H-dibenzo	H-dibenzo	Xf
[	[	Z
a	a	Cc
,	,	Z
d	a	Ncfpn
]	]	Z
cyclohepten-5-yl	cyclohepten-5-yl	Npmsn
)	)	Z
amino	amino	Ncmsn
]	]	Z
heptanoic	heptanoiti	Vmp-sm
acid	acid	Ncmsan
deksamfetamin	deksamfetamin	Ncmsn
Dexamfetamine	Dexamfetamina	Npfsg
(	(	Z
Dexamphetamine	Dexamphetamine	Npfsn
)	)	Z
(+)	(+i	Agpnsny
-	-	Z
α-metilfenetilamin	α-metilfenetilamin	Ncmsn
(+)	(+)	Z
-	-	Z
α-methylphenethylamine	α-methylphenethylamin	Agpfpay
dronabinol	dronabinoa	Ncfpa
(	(	Z
delta-9-tetrahidrokanabinol	delta-9-tetrahidrokanabinol	Npmsn
i	i	Cc
njegove	njegov	Ps3fsg
stereokemijske	stereokemijski	Agpfsgy
varijante	varijanta	Ncfsg
)	)	Z
Dronabinol	Dronabinol	Npmsn
(	(	Z
delta-9-tetrahydrocannabinol	delta-9-tetrahydrocannabinol	Xf
and	and	Xf
its	its	Xf
stereochemical	stereochemical	Xf
variants	variants	Xf
)	)	Z
(	(	Z
6	6	Mdc
aR	ar	Ncmsn
,	,	Z
10	10	Mdc
aR	ar	Ncmsan
)	)	Z
-6	-6	Ncmsan
a	a	Cc
,	,	Z
7,8,10	7,8,10	Mdc
a-tetrahidro-6	a-tetrahidro-6	Npfpg
,	,	Z
6,9-trimetil	6,9-trimetil	Npmsn
-3-pentil	-3-pentil	Npmsn
-6	-6	Npmsn
H-dibenzo	H-dibenzo	Npmsn
[	[	Z
b	b	X
,	,	Z
d	d	Y
]	]	Z
piran-1-ol	piran-1-ol	Agpnsny
(	(	Z
6	6	Mdc
aR	ar	Ncmsn
,	,	Z
10	10	Mdc
aR	ar	Ncmsan
)	)	Z
-6	-6	Ncmsan
a	a	Cc
,	,	Z
7,8,10	7,8,10	Mdc
a-tetrahydro-6	a-tetrahydro-6	Npfpg
,	,	Z
6,9-trimethyl	6,9-trimethyl	Xf
-3-pentyl	-3-pentyl	Xf
-6	-6	Xf
H-dibenzo	H-dibenzo	Xf
[	[	Z
b	b	X
,	,	Z
d	d	Cc
]	]	Z
pyran-1-ol	pyran-1-ol	Agpmsayn
fenciklidin	fenciklidin	Ncmsan
(	(	Z
PCP	PCP	Npmsn
)	)	Z
Phencyclidine	phencyclidin	Ncmsv
(	(	Z
PCP	PCP	Npmsn
)	)	Z
1	1	Mdc
-	-	Z
(	(	Z
1-fenilcikloheksil	1-fenilcikloheksil	Npmsn
)	)	Z
piperidin	piperidin	Ncmsan
1	1	Mdc
-	-	Z
(	(	Z
1-phenylcyclohexyl	1-phenylcyclohexyl	Npmsn
)	)	Z
piperidine	piperidina	Ncfsg
fenetilin	fenetilin	Ncmsn
Fenethylline	Fenethyllina	Npfsg
7	7	Mdc
-	-	Z
[	[	Z
2	2	Mdc
-	-	Z
[	[	Z
(	(	Z
α-metilfenetil	α-metilfenetil	Npmsn
)	)	Z
amino	amino	Ncmsn
]	]	Z
etil	etil	Ncmsan
]	]	Z
teofilin	teofilin	Ncmsn
7	7	Mdc
-	-	Z
[	[	Z
2	2	Mdc
-	-	Z
[	[	Z
(	(	Z
α-methylphenethyl	α-methylphenethyl	Npmsn
)	)	Z
amino	amino	Ncmsn
]	]	Z
ethyl	ethyl	Cc
]	]	Z
theophylline	theophylline	Ncfpg
fenmetrazin	fenmetrazin	Ncmsn
Phenmetrazine	Phenmetrazina	Npfsg
3-metil	3-metil	Npfsg
-2-fenilmorfolin	-2-fenilmorfolin	Npfsg
3-methyl	3-methyl	Npfsg
-2-phenylmorpholine	-2-phenylmorpholina	Npfsg
3-fluorfenmetrazin	3-fluorfenmetrazin	Npfsg
(	(	Z
3-FPM	3-fpi	Agpnsny
,	,	Z
PAL-593	PAL-593	Mds
)	)	Z
3-fluorophenmetrazine	3-fluorophenmetrazina	Ncfpa
(	(	Z
3-FPM	3-fpi	Agpnsny
,	,	Z
PAL-593	PAL-593	Mds
)	)	Z
2	2	Mdc
-	-	Z
(	(	Z
3-fluorfenil	3-fluorfenil	Npmsn
)	)	Z
-3-metilmorfolin	-3-metilmorfolin	Ncmsn
2	2	Mdc
-	-	Z
(	(	Z
3-fluorophenyl	3-fluorophenyl	Npmsn
)	)	Z
-3-methylmorpholine	-3-methylmorpholin	Agpfpny
GHB	GHB	Npmsn
GHB	GHB	Npmsn
γ-hidroksimaslačna	γ-hidroksimaslačan	Agpfsny
kiselina	kiselina	Ncfsn
γ-hydroxybutyric	γ-hydroxybutyrti	Appfsny
acid	acid	Agpmpny
pripravci	pripravak	Ncmpn
kanabinoida	kanabinoid	Ncmpg
za	za	Sa
medicinsku	medicinski	Agpfsay
primjenu	primjena	Ncfsa
Cannabinoids	Cannabinoids	Xf
for	for	Xf
medical	medical	Xf
use	use	Xf
ketamin	ketamin	Ncmsn
Ketamine	Ketamina	Npfsg
2	2	Mdc
-	-	Z
(	(	Z
o-klorfenil	o-klorfenil	Npmsn
)	)	Z
-2-metilamino	-2-metilamin	Agpnsny
)	)	Z
cikloheksanon	cikloheksanon	Ncmsan
2	2	Mdc
-	-	Z
(	(	Z
o-chlorophenyl	o-chlorophenyl	Npmsn
)	)	Z
-2-methylamino	-2-methylamin	Agpnsny
)	)	Z
cyclohexanone	cyclohexanone	Agpmsny
levamfetamin	levamfetamin	Ncmsn
Levamfetamine	Levamfetamina	Npfsg
(	(	Z
Levamphetamine	Levamphetamine	Npfsn
)	)	Z
(−)	(−)	Ncmsan
-	-	Z
(	(	Z
R	R	Npmsn
)	)	Z
-	-	Z
α-metilfenetilamin	α-metilfenetilamin	Npmsn
(−)	(−)	Npmsn
-	-	Z
(	(	Z
R	R	Npmsn
)	)	Z
-	-	Z
α-methylphenethylamine	α-methylphenethylamine	Agpmsny
levometamfetamin	levometamfetamin	Ncmsn
Levomethamphetamine	Levomethamphetamina	Npfsg
(−)	(−)	Npfsg
-	-	Z
N	i	Agpnsny
,	,	Z
α-dimetilfenetilamin	α-dimetilfenetilamin	Ncmsn
(−)	(−)	Z
-	-	Z
N	i	Agpnsny
,	,	Z
α-dimethylphenethylamine	α-dimethylphenethylamina	Npfsg
meklokvalon	meklokvalon	Npfsg
Mecloqualone	Mecloqualona	Npfsg
3	3	Mdc
-	-	Z
(	(	Z
o-klorfenil	o-klorfenil	Npmsn
)	)	Z
-2-metil	-2-metil	Y
-4	-	Npmsg
(	(	Z
3	3	Mdc
H	h	Y
)	)	Z
-	-	Z
kinazolinon	kinazolinon	Ncmsn
3	3	Mdc
-	-	Z
(	(	Z
o-chlorophenyl	o-chlorophenyl	Npmsn
)	)	Z
-2-methyl	-2-methyl	Ncmsan
-4	-	Npmsg
(	(	Z
3	3	Mdc
H	h	Y
)	)	Z
-	-	Z
quinazolinone	quinazolinone	Agpmsny
metamfetamin	metamfetamin	Ncmsn
Metamfetamine	Metamfetamina	Npfsg
(	(	Z
Methamphetamine	Methamphetamine	Npfsn
)	)	Z
(+)	(+)	Ncmsan
-	-	Z
(	(	Z
S	sa	X
)	)	Z
-	-	Z
N	i	Agpnsny
,	,	Z
α-dimetilfenetilamin	α-dimetilfenetilamin	Ncmsn
(+)	(+)	Z
-	-	Z
(	(	Z
S	sa	X
)	)	Z
-	-	Z
N	i	Agpnsny
,	,	Z
α-dimethylphenethylamine	α-dimethylphenethylamin	Agpmpay
metamfetamin-racemat	metamfetamin-racemai	Agpmpay
Metamfetamine	metamfetamin	Ncmpa
racemate	racemati	Vmr2p
(	(	Z
Methamphetamine	methamphetamin	Agpfpny
racemate	racemata	Ncfpn
)	)	Z
(±)	(±i	Agpnsny
-	-	Z
N	i	Agpnsny
,	,	Z
α-dimetilfenetilamin	α-dimetilfenetilamin	Ncmsn
(±)	(±)	Z
-	-	Z
N	i	Agpnsny
,	,	Z
α-dimethylphenethylamine	α-dimethylphenethylamina	Npfsg
metakvalon	metakvalon	Npfsg
Methaqualone	Methaqualona	Npfsg
2-metil	2-metil	Npmsn
-3-o	-3-o	Npmsn
-	-	Z
tolil-4	tolil-4	Mdc
(	(	Z
3	3	Mdc
H	h	Y
)	)	Z
-	-	Z
kinazolinon	kinazolinon	Ncmsn
2-methyl	2-methyl	Npmsn
-3-o	-3-o	Npmsn
-	-	Z
tolyl-4	tolyl-4	Mdc
(	(	Z
3	3	Mdc
H	h	Y
)	)	Z
-	-	Z
quinazolinone	quinazolinone	Agpmsny
metilfenidat	metilfenidat	Ncmsn
Methylphenidate	Methylphenidata	Npfsg
metil-2-fenil-2	metil-2-fenil-2	Npfsg
-	-	Z
(	(	Z
2-piperidil	2-piperidil	Npmsn
)	)	Z
acetat	acetat	Ncmsan
methyl	methyi	Agpfsgy
2-phenyl	2-phenyi	Agpfsgy
-2	-a	Ncfsg
-	-	Z
(	(	Z
2-piperidyl	2-piperidyl	Qr
)	)	Z
acetate	acetat	Ncmpa
nabilon	nabilo	Ncfsg
Nabilone	Nabilona	Npfsg
(	(	Z
6	6	Mdc
aR	ar	Ncmsn
*	*	Z
,	,	Z
10	10	Mdc
aR	ar	Ncmsan
*	*	Z
)	)	Z
-3	-3	Mds
-	-	Z
(	(	Z
1,1-dimetilheptil	1,1-dimetilheptil	Npmsn
)	)	Z
-6,6	-6,6	Mdc
a	a	Cc
,	,	Z
7,8,10,10	7,8,10,10	Mdc
a-heksahidro-1-hidroksi-6	a-heksahidro-1-hidroksi-6	Npfpg
,	,	Z
6-dimetil	6-dimetil	Npmsn
-9	-9	Npmsn
H-dibenzo	H-dibenzo	Npmsn
[	[	Z
b	b	X
,	,	Z
d	d	Y
]	]	Z
piran-9-on	piran-9-oi	Agpnsny
(	(	Z
6	6	Mdc
aR	ar	Ncmsn
*	*	Z
,	,	Z
10	10	Mdc
aR	ar	Ncmsan
*	*	Z
)	)	Z
-3	-3	Mds
-	-	Z
(	(	Z
1,1-dimethylheptyl	1,1-dimethylheptyl	Npmsn
)	)	Z
-6,6	-6,6	Mdc
a	a	Cc
,	,	Z
7,8,10,10	7,8,10,10	Mdc
a-hexahydro-1-hydroxy-6	a-hexahydro-1-hydroxy-6	Npfpg
,	,	Z
6-dimethyl	6-dimethyi	Agpnsny
-9	-9	Ncnsn
H-dibenzo	h-dibenz	Agpnsny
[	[	Z
b	b	X
,	,	Z
d	d	Cc
]	]	Z
pyran-9-on	pyran-9-on	Xf
sekobarbital	sekobarbital	Xf
Secobarbital	Secobarbital	Xf
5-alil	5-alil	Xf
-5	-5	Xf
-	-	Z
(	(	Z
1-metilbutil	1-metilbutil	Npmsn
)	)	Z
barbiturna	barbituran	Agpfsny
kiselina	kiselina	Ncfsn
5-allyl	5-allyi	Agpfsgy
-5	-a	Ncfsg
-	-	Z
(	(	Z
1-methylbutyl	1-methylbutyl	Npmsn
)	)	Z
barbituric	barbituric	Ncmsan
acid	acid	Ncmsan
zipeprol	zipeprol	Cc
Zipeprol	Zipeprol	Npmsn
α	α	Npmsn
-	-	Z
(	(	Z
α-metoksibenzil	α-metoksibenzil	Ncmsn
)	)	Z
-4	-4	Mds
-	-	Z
(	(	Z
β-metoksifenetil	β-metoksifenetil	Npmsn
)	)	Z
-1-piperazinetanol	-1-piperazinetanol	Y
α	α	X
-	-	Z
(	(	Z
α-methoxybenzyl	α-methoxybenzyl	Ncmsn
)	)	Z
-4	-4	Mds
-	-	Z
(	(	Z
β-methoxyphenethyl	β-methoxyphenethyl	Npmsn
)	)	Z
-1-piperazineethanol	-1-piperazineethanoa	Ncfpn

Odjeljak	odjeljak	Ncmsn
3.	3.	Mdo
Psihotropne	psihotropni	Agpfpny
tvari	tvar	Ncfpn
sukladno	sukladno	Rgp
Popisu	popis	Ncmsl
3.	3.	Mdo
Konvencije	konvencija	Ncfsg
UN-a	UN	Npmsg
o	o	Sl
psihotropnim	psihotropni	Agpfply
tvarima	tvar	Ncfpl
iz	iz	Sg
1971.	1971.	Mdo

Psihotropna	psihotropni	Agpfsny
tvar	tvar	Ncfsn
(	(	Z
INN	INN	Xf
masnim	mastan	Agpnply
slovima	slovo	Ncnpl
)	)	Z
(	(	Z
alternativni	alternativan	Agpmsny
naziv	naziv	Ncmsn
)	)	Z
Psihotropna	psihotropni	Agpfsny
tvar	tvar	Ncfsn
,	,	Z
engleski	engleski	Agpmsny
(	(	Z
INN	INN	Npmsn
masnim	mastan	Agpnply
slovima	slovo	Ncnpl
)	)	Z
(	(	Z
alternativni	alternativan	Agpmsny
naziv	naziv	Ncmsn
)	)	Z
Kemijsko	kemijski	Agpnsny
ime	ime	Ncnsn
Kemijsko	kemijski	Agpnsny
ime	ime	Ncnsn
,	,	Z
engleski	engleski	Agpmsny

