19.8.	19.8.	Mdo
točki	točka	Ncfsl
18.	18.	Mdo
koja	koji	Pi-fsn
postaje	postajati	Vmr3s
točka	točka	Ncfsn
20.	20.	Mdo
iza	iza	Sg
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
imovinskih	imovinski	Agpnpgy
prava	pravo	Ncnpg
«	«	Z
dodaju	dodati	Vmr3p
se	sebe	Px--sa
riječi	riječ	Ncfpn
:	:	Z
»	»	Z
te	te	Cc
posebnih	poseban	Agpfpgy
vrsta	vrsta	Ncfpg
imovine	imovina	Ncfsg
«	«	Z
,	,	Z
a	a	Cc
iza	iza	Sg
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
i	i	Cc
izdataka	izdatak	Ncmpg
,	,	Z
«	«	Z
dodaju	dodati	Vmr3p
se	sebe	Px--sa
riječi	riječ	Ncfpn
:	:	Z
»	»	Z
računima	račun	Ncmpi
i	i	Cc
«	«	Z
.	.	Z

Dosadašnja	dosadašnji	Agpfsny
točka	točka	Ncfsn
19.	19.	Mdo
postaje	postajati	Vmr3s
točka	točka	Ncfsn
21.	21.	Mdo

U	u	Sl
dosadašnjoj	dosadašnji	Agpfsly
točki	točka	Ncfsl
20.	20.	Mdo
koja	koji	Pi-fsn
postaje	postajati	Vmr3s
točka	točka	Ncfsn
22.	22.	Mdo
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
o	o	Sl
neoporezivom	neoporeziv	Agpmsly
iznosu	iznos	Ncmsl
prema	prema	Sl
članku	članak	Ncmsl
10.	10.	Mdo
točki	točka	Ncfsl
19.	19.	Mdo

Zakona	zakon	Ncmsg
,	,	Z
«	«	Z
brišu	brisati	Vmr3p
se	sebe	Px--sa
.	.	Z

Dosadašnje	dosadašnji	Agpfpny
točke	točka	Ncfpn
21.	21.	Mdo
i	i	Cc
22.	22.	Mdo
postaju	postaja	Ncfsa
točke	točka	Ncfsg
23.	23.	Mdo
i	i	Cc
24.	24.	Mdo

Iza	iza	Sg
dosadašnje	dosadašnji	Agpfsgy
točke	točka	Ncfsg
23.	23.	Mdo
koja	koji	Pi-fsn
postaje	postajati	Vmr3s
točka	točka	Ncfsn
25.	25.	Mdo
dodaje	dodavati	Vmr3s
se	sebe	Px--sa
točka	točka	Ncfsn
26.	26.	Mdo
koja	koji	Pi-fsn
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
26.	26.	Mdo
pod	pod	Si
4.4.5.	4.4.5.	Mdo
podaci	podatak	Ncmpn
o	o	Sl
ostvarenim	ostvariti	Agpmply
primicima	primitak	Ncmpl
odnosno	odnosno	Rgp
dohotku	dohodak	Ncmsd
od	od	Sg
kapitala	kapital	Ncmsg
po	po	Sl
osnovi	osnova	Ncfsl
kapitalnih	kapitalan	Agpmpgy
dobitaka	dobitak	Ncmpg
i	i	Cc
uplaćenom	uplatiti	Appmsly
predujmu	predujam	Ncmsl
poreza	porez	Ncmsg
i	i	Cc
prireza	prirez	Ncmsg
,	,	Z
prema	prema	Sl
potvrdama	potvrda	Ncfpl
isplatitelja	isplatitelj	Ncmpg
«	«	Z
.	.	Z

Dosadašnje	dosadašnji	Agpfpny
točke	točka	Ncfpn
24.	24.	Mdo
do	do	Sg
31.	31.	Mdo
postaju	postaja	Ncfsa
točke	točka	Ncfsg
27.	27.	Mdo
do	do	Sg
34.	34.	Mdo

Iza	iza	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
dodaje	dodavati	Vmr3s
se	sebe	Px--sa
novi	nov	Agpmsny
stavak	stavak	Ncmsn
4.	4.	Mdo
koji	koji	Pi-msn
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
(	(	Z
4	4	Mdc
)	)	Z
Godišnju	godišnji	Agpfsay
poreznu	porezni	Agpfsay
prijavu	prijava	Ncfsa
–	–	Z
Obrazac	Obrazac	Npmsn
DOH	DOH	Npmsn
s	sa	Si
popunjenim	popuniti	Agpmpiy
podacima	podatak	Ncmpi
pod	pod	Ncmsan
4.2.8.	4.2.8.	Mdo
–	–	Z
utvrđivanje	utvrđivanje	Ncnsn
obveze	obveza	Ncfsg
doprinosa	doprinos	Ncmsg
po	po	Sl
osnovi	osnova	Ncfsl
druge	drugi	Mlofsg
djelatnosti	djelatnost	Ncfsg
,	,	Z
prema	prema	Sl
članku	članak	Ncmsl
187.	187.	Mdo
stavku	stavak	Ncmsl
1.	1.	Mdo
Zakona	zakon	Ncmsg
o	o	Sl
doprinosima	doprinos	Ncmpl
popunjava	popunjavati	Vmr3s
obveznik	obveznik	Ncmsn
doprinosa	doprinos	Ncmsg
te	te	Cc
obveznik	obveznik	Ncmsn
obračunavanja	obračunavanje	Ncnsg
i	i	Cc
obveznik	obveznik	Ncmsn
plaćanja	plaćanje	Ncnsg
doprinosa	doprinos	Ncmsg
po	po	Sl
osnovi	osnova	Ncfsl
obavljanja	obavljanje	Ncnsg
druge	drugi	Mlofsg
djelatnosti	djelatnost	Ncfsg
koji	koji	Pi-msn
od	od	Sg
te	taj	Pd-fsg
djelatnosti	djelatnost	Ncfsg
utvrđuje	utvrđivati	Vmr3s
dohodak	dohodak	Ncmsan
iz	iz	Sg
članka	članak	Ncmsg
183.	183.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
Zakona	zakon	Ncmsg
o	o	Sl
doprinosima	doprinos	Ncmpl
,	,	Z
a	a	Cc
koji	koji	Pi-msn
je	biti	Var3s
pod	pod	Sa
4.2.1.	4.2.1.	Agpmsayn
stupac	stupac	Ncmsan
2	2	Mdc
iskazao	iskazati	Vmp-sm
dohodak	dohodak	Ncmsan
.	.	Z
«	«	Z
.	.	Z

Dosadašnji	dosadašnji	Agpmpny
stavci	stavak	Ncmpn
4.	4.	Mdo
,	,	Z
5.	5.	Mdo
i	i	Cc
6.	6.	Mdo
postaju	postati	Vmr3p
stavci	stavak	Ncmpn
5.	5.	Mdo
,	,	Z
6.	6.	Mdo
i	i	Cc
7.	7.	Mdo

Članak	članak	Ncmsn
23.	23.	Mdo

U	u	Sl
članku	članak	Ncmsl
89.	89.	Mdo
stavku	stavak	Ncmsl
1.	1.	Mdo
točki	točka	Ncfsl
2.	2.	Mdo
podtočki	podtočka	Ncfsl
2.1.	2.1i	Agpfpay
riječi	riječ	Ncfpa
:	:	Z
»	»	Z
pri	pri	Sl
čemu	što	Pi3n-l
se	sebe	Px--sa
posebno	posebno	Rgp
iskazuju	iskazivati	Vmr3p
podaci	podatak	Ncmpn
o	o	Sl
iznosu	iznos	Ncmsl
otpisa	otpis	Ncmsg
,	,	Z
te	te	Cc
porezno	porezno	Rgp
priznatim	priznati	Agpmpiy
izdacima	izdatak	Ncmpi
reprezentacije	reprezentacija	Ncfsg
,	,	Z
a	a	Cc
i	i	Qo
podatak	podatak	Ncmsn
o	o	Sl
broju	broj	Ncmsl
zaposlenih	zaposlen	Agpmpgy
sa	sa	Ncmpg
stanjem	stanje	Ncnsi
na	na	Sa
dan	dan	Ncmsan
31.	31.	Mdo
prosinca	prosinac	Ncmsg
,	,	Z
«	«	Z
brišu	brisati	Vmr3p
se	sebe	Px--sa
.	.	Z

U	u	Sl
točki	točka	Ncfsl
6.	6.	Mdo
iza	iza	Sg
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
i	i	Cc
ugovora	ugovor	Ncmsg
«	«	Z
dodaju	dodati	Vmr3p
se	sebe	Px--sa
riječi	riječ	Ncfpn
:	:	Z
»	»	Z
odnosno	odnosno	Rgp
potvrda	potvrda	Ncfpg
«	«	Z
.	.	Z

Iza	iza	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
dodaje	dodavati	Vmr3s
se	sebe	Px--sa
stavak	stavak	Ncmsn
3.	3.	Mdo
koji	koji	Pi-msn
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
(	(	Z
3	3	Mdc
)	)	Z
Popis	popis	Ncmsn
dugotrajne	dugotrajan	Agpfsgy
imovine	imovina	Ncfsg
,	,	Z
ako	ako	Cs
je	biti	Var3s
porezni	porezni	Agpmsny
obveznik	obveznik	Ncmsn
(	(	Z
podnositelj	podnositelj	Ncmsn
)	)	Z
korisnik	korisnik	Ncmsn
sustava	sustav	Ncmsg
elektroničkog	elektronički	Agpmsgy
servisa	servis	Ncmsg
Porezne	porezni	Agpfsgy
uprave	uprava	Ncfsg
ePorezna	ePorezn	Npmsg
,	,	Z
obvezno	obvezno	Rgp
se	sebe	Px--sa
podnosi	podnositi	Vmr3s
elektroničkim	elektronički	Agpmsiy
putem	put	Ncmsi
u	u	Sl
okviru	okvir	Ncmsl
sustava	sustav	Ncmsg
ePorezna	ePorezn	Npmsg
na	na	Sa
način	način	Ncmsan
propisan	propisan	Agpmsann
posebnim	poseban	Agpmpiy
propisima	propis	Ncmpi
,	,	Z
te	te	Cc
tehničkim	tehnički	Agpmsiy
i	i	Cc
ostalim	ostali	Agpfply
uputama	uputa	Ncfpl
.	.	Z
«	«	Z
.	.	Z

Članak	članak	Ncmsn
24.	24.	Mdo

Iza	iza	Sg
članka	članak	Ncmsg
89.	89.	Mdo
dodaje	dodavati	Vmr3s
se	sebe	Px--sa
članak	članak	Ncmsn
89.	89.	Mdo
a	a	Cc
te	te	Cc
podnaslov	podnaslov	Ncmsn
3.2.5.	3.2.5.	Mdo
i	i	Cc
članci	članak	Ncmpn
89.	89.	Mdo
b	b	Cc
i	i	Qo
89.	89.	Mdo
c.	ci	Agpmpay
koji	koji	Pi-mpn
glase	glasiti	Vmr3p
:	:	Z

»	»	Z
Članak	članak	Ncmsn
89.	89.	Mdo
a	a	Cc

(	(	Z
1	1	Mdc
)	)	Z
Izvadak	izvadak	Ncmsn
iz	iz	Sg
poslovnih	poslovan	Agpfpgy
knjiga	knjiga	Ncfpg
iz	iz	Sg
članka	članak	Ncmsg
89.	89.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
2.	2.	Mdo
podtočke	podtočka	Ncmsg
2.1.	2.1.	Mds
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
podnosi	podnositi	Vmr3s
se	sebe	Px--sa
na	na	Sl
Obrascu	obrazac	Ncmsl
P-PPI	P-PPI	Npfsl
te	te	Cc
obvezno	obvezno	Rgp
sadrži	sadržati	Vmr3s
sljedeće	sljedeći	Agpmpay
podatke	podatak	Ncmpa
:	:	Z

1.	1.	Mdo
pod	pod	Sa
I.	ii	Agpmpay
opće	opći	Agpmpay
podatke	podatak	Ncmpa
o	o	Sl
poreznom	porezni	Agpmsly
obvezniku	obveznik	Ncmsl
(	(	Z
ime	ime	Ncnsn
i	i	Cc
prezime	prezime	Ncnsa
,	,	Z
adresu	adresa	Ncfsa
prebivališta	prebivalište	Ncnsg
ili	ili	Cc
uobičajenog	uobičajen	Agpnsgy
boravišta	boravište	Ncnsg
,	,	Z
osobni	osoban	Agpmsny
identifikacijski	identifikacijski	Agpmsny
broj	broj	Ncmsn
)	)	Z

2.	2.	Mdo
pod	pod	Ncmsan
II	ii	Mrc
.	.	Z
podatak	podatak	Ncmsn
o	o	Sl
iznosu	iznos	Ncmsl
ukupno	ukupno	Rgp
ostvarenih	ostvariti	Appmpgy
primitaka	primitak	Ncmpg
i	i	Cc
porezu	porez	Ncmsl
na	na	Sa
dodanu	dodati	Ncmsl
vrijednost	vrijednost	Ncfsa
sadržanom	sadržan	Agpmsly
u	u	Sl
primicima	primitak	Ncmpl
te	te	Cc
posebno	posebno	Rgp
podatke	podatak	Ncmpa
o	o	Sl
iznosu	iznos	Ncmsl
ukupno	ukupno	Rgp
ostvarenih	ostvariti	Agpmpgy
primitaka	primitak	Ncmpg
:	:	Z

–	–	Z
u	u	Sl
gotovini	gotovina	Ncfsl

–	–	Z
putem	put	Sg
žiroračuna	žiroračun	Ncmsg

–	–	Z
u	u	Sl
naravi	narav	Ncfsl

–	–	Z
u	u	Sl
svezi	sveza	Ncfsl
otuđenja	otuđenje	Ncnsg
materijalne	materijalan	Agpfsgy
i	i	Cc
nematerijalne	nematerijalan	Agpfsgy
imovine	imovina	Ncfsg
te	te	Cc

–	i	Agpnsgy
poreznog	porezni	Agpnsgy
razdoblja	razdoblje	Ncnsg
u	u	Sl
visini	visina	Ncfsl
iznosa	iznos	Ncmpg
evidentiranih	evidentirati	Agpmpgy
izdataka	izdatak	Ncmpg
nastalih	nastao	Agpmpgy
temeljem	temelj	Ncmsi
amortizacije	amortizacija	Ncfsg
dugotrajne	dugotrajan	Agpfsgy
imovine	imovina	Ncfsg
prema	prema	Sl
članku	članak	Ncmsl
20.	20.	Mdo
stavku	stavak	Ncmsl
7.	7.	Mdo
Zakona	zakon	Ncmsg
,	,	Z

3.	3.	Mdo
pod	pod	Ncmsan
III	III	Mrc
.	.	Z
podatak	podatak	Ncmsn
o	o	Sl
iznosu	iznos	Ncmsl
ukupno	ukupno	Rgp
ostvarenih	ostvariti	Appmpgy
izdataka	izdatak	Ncmpg
i	i	Cc
porezu	porez	Ncmsl
na	na	Sa
dodanu	dodati	Ncmsl
vrijednost	vrijednost	Ncfsa

