kojima	koji	Pi-fpl
kakvoća	kakvoća	Ncfsn
obroka	obrok	Ncmpg
te	te	Cc
način	način	Ncmsn
posluživanja	posluživanje	Ncnsg
moraju	morati	Vmr3p
biti	biti	Van
primjereni	primjeriti	Appmpny
potrebama	potreba	Ncfpd
i	i	Cc
zdravstvenom	zdravstven	Agpnsly
stanju	stanje	Ncnsl
korisnika	korisnik	Ncmpg
sukladno	sukladno	Rgp
planu	plan	Ncmsl
prehrane	prehrana	Ncfsg
(	(	Z
jelovnik	jelovnik	Ncmsn
)	)	Z
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Tjedni	tjedni	Agpmsny
jelovnik	jelovnik	Ncmsn
objavljuje	objavljivati	Vmr3s
se	sebe	Px--sa
na	na	Sl
oglasnoj	oglasni	Agpfsly
ploči	ploča	Ncfsl
Ustanove	ustanova	Ncfsg
,	,	Z
a	a	Cc
utvrđuje	utvrđivati	Vmr3s
ga	on	Pp3msa
Ustanova	ustanova	Ncfsn
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Kod	kod	Sg
korisnika	korisnik	Ncmpg
čije	čiji	Pi-nsn
zdravstveno	zdravstven	Agpnsny
stanje	stanje	Ncnsn
zahtijeva	zahtijevati	Vmr3s
poseban	poseban	Agpmsann
način	način	Ncmsan
prehrane	prehrana	Ncfsg
,	,	Z
jelovnik	jelovnik	Ncmsan
i	i	Cc
broj	broj	Ncmsan
dnevnih	dnevni	Agpmpgy
obroka	obrok	Ncmpg
će	htjeti	Var3s
se	sebe	Px--sa
utvrđivati	utvrđivati	Vmn
u	u	Sl
dogovoru	dogovor	Ncmsl
s	sa	Si
nadležnim	nadležan	Agpmsiy
liječnikom	liječnik	Ncmsi
primarne	primaran	Agpfsgy
zdravstvene	zdravstven	Agpfsgy
zaštite	zaštita	Ncfsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Posluživanje	posluživanje	Ncnsn
hrane	hrana	Ncfsg
u	u	Sl
pravilu	pravilo	Ncnsl
se	sebe	Px--sa
osigurava	osiguravati	Vmr3s
sustavom	sustav	Ncmsi
samousluge	samousluga	Ncfsg
,	,	Z
odnosno	odnosno	Rgp
drugim	drugi	Agpmsiy
načinom	način	Ncmsi
primjereno	primjereno	Rgp
raspoloživim	raspoloživ	Agpmpiy
uvjetima	uvjet	Ncmpi
.	.	Z

ODJELJAK	odjeljak	Ncmsn
B	b	X

Minimalni	minimalan	Agpmpny
uvjeti	uvjet	Ncmpn
održavanja	održavanje	Ncnsg
i	i	Cc
higijene	higijena	Ncfsg

Članak	članak	Ncmsn
32.	32.	Mdo

Ustanova	ustanova	Ncfsn
je	biti	Var3s
obvezna	obvezan	Agpfsny
osigurati	osigurati	Vmn
održavanje	održavanje	Ncnsa
i	i	Cc
higijenu	higijena	Ncfsa
prostora	prostor	Ncmsg
i	i	Cc
opreme	oprema	Ncfsg
,	,	Z
te	te	Cc
odjeće	odjeća	Ncfsg
i	i	Cc
obuće	obuća	Ncfsg
korisnika	korisnik	Ncmpg
,	,	Z
ovisno	ovisno	Rgp
o	o	Sl
vrsti	vrsta	Ncfsl
usluge	usluga	Ncfsg
koja	koji	Pi-fsn
se	sebe	Px--sa
pruža	pružati	Vmr3s
korisniku	korisnik	Ncmsd
.	.	Z

Članak	članak	Ncmsn
33.	33.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Ustanova	ustanova	Ncfsn
je	biti	Var3s
obvezna	obvezan	Agpfsny
osigurati	osigurati	Vmn
opremljen	opremiti	Appmsnn
prostor	prostor	Ncmsan
za	za	Sa
mogućnost	mogućnost	Ncfsa
individualnog	individualan	Agpnsgy
pranja	pranje	Ncnsg
,	,	Z
sušenja	sušenje	Ncnsg
i	i	Cc
glačanja	glačanje	Ncnsg
za	za	Sa
osobne	osoban	Agpfpay
potrebe	potreba	Ncfpa
korisnika	korisnik	Ncmpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ustanova	ustanova	Ncfsn
je	biti	Var3s
obvezna	obvezan	Agpfsny
osigurati	osigurati	Vmn
pranje	pranje	Ncnsa
posteljnog	posteljni	Agpmsgy
rublja	rubalj	Ncmsg
korisnika	korisnik	Ncmpg
jednom	jednom	Rgp
tjedno	tjedno	Rgp
,	,	Z
a	a	Cc
za	za	Sa
HRVI	hrvi	Ncnsa
prema	prema	Sl
potrebi	potreba	Ncfsl
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Ustanova	ustanova	Ncfsn
je	biti	Var3s
obvezna	obvezan	Agpfsny
osigurati	osigurati	Vmn
uvjete	uvjet	Ncmpa
za	za	Sa
pranje	pranje	Ncnsa
osobnog	osoban	Agpmsgy
rublja	rubalj	Ncmsg
korisnika	korisnik	Ncmpg
jednom	jednom	Rgp
tjedno	tjedno	Rgp
,	,	Z
a	a	Cc
za	za	Sa
HRVI	hrvi	Ncnsa
prema	prema	Sl
potrebi	potreba	Ncfsl
.	.	Z

Članak	članak	Ncmsn
34.	34.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Čišćenje	čišćenje	Ncnsn
smještajnih	smještajan	Agpfpgy
jedinica	jedinica	Ncfpg
Ustanova	ustanova	Ncfsn
je	biti	Var3s
obvezna	obvezan	Agpfsny
osigurati	osigurati	Vmn
najmanje	malo	Rgs
jednom	jednom	Rgp
tjedno	tjedno	Rgp
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Čišćenje	čišćenje	Ncnsn
sanitarnih	sanitaran	Agpfpgy
prostorija	prostorija	Ncfpg
uz	uz	Sa
smještajne	smještajan	Agpfpay
jedinice	jedinica	Ncfpa
Ustanova	ustanova	Ncfsn
je	biti	Var3s
obvezna	obvezan	Agpfsny
osigurati	osigurati	Vmn
minimalno	minimalno	Rgp
jednom	jednom	Rgp
dnevno	dnevno	Rgp
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Čišćenje	čišćenje	Ncnsn
zajedničkih	zajednički	Agpfpgy
prostorija	prostorija	Ncfpg
(	(	Z
dnevni	dnevni	Agpmsny
boravak	boravak	Ncmsn
,	,	Z
blagovaonica	blagovaonica	Ncfsn
,	,	Z
sanitarni	sanitaran	Agpmpny
čvorovi	čvor	Ncmpn
,	,	Z
čajne	čajni	Agpfpny
kuhinje	kuhinja	Ncfpn
i	i	Cc
hodnici	hodnik	Ncmpn
)	)	Z
Ustanova	ustanova	Ncfsn
je	biti	Var3s
obvezna	obvezan	Agpfsny
osigurati	osigurati	Vmn
minimalno	minimalno	Rgp
jednom	jednom	Rgp
dnevno	dnevno	Rgp
.	.	Z

DIO	dio	Ncmsn
ČETVRTI	četvrt	Ncfsg

Povjerenstvo	povjerenstvo	Ncnsn
za	za	Sa
ispitivanje	ispitivanje	Ncnsa
minimalnih	minimalan	Agpmpgy
uvjeta	uvjet	Ncmpg
za	za	Sa
početak	početak	Ncmsan
rada	rad	Ncmsg
i	i	Cc
pružanje	pružanje	Ncnsa
usluga	usluga	Ncfpg
Ustanove	ustanova	Ncfsg

Članak	članak	Ncmsn
35.	35.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Postojanje	postojanje	Ncnsn
minimalnih	minimalan	Agpmpgy
uvjeta	uvjet	Ncmpg
za	za	Sa
početak	početak	Ncmsan
rada	rad	Ncmsg
i	i	Cc
pružanje	pružanje	Ncnsa
usluga	usluga	Ncfpg
Ustanove	ustanova	Ncfsg
ispituje	ispitivati	Vmr3s
Povjerenstvo	povjerenstvo	Ncnsa
za	za	Sa
ispitivanje	ispitivanje	Ncnsa
minimalnih	minimalan	Agpmpgy
uvjeta	uvjet	Ncmpg
za	za	Sa
početak	početak	Ncmsan
rada	rad	Ncmsg
i	i	Cc
pružanje	pružanje	Ncnsa
usluga	usluga	Ncfpg
Ustanove	ustanova	Ncfsg
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
Povjerenstvo	povjerenstvo	Ncnsn
)	)	Z
,	,	Z
nakon	nakon	Sg
provedenog	provesti	Agpmsgy
tehničkog	tehnički	Agpmsgy
pregleda	pregled	Ncmsg
i	i	Cc
dobivene	dobiven	Agpfpay
uporabne	uporaban	Agpfpay
dozvole	dozvola	Ncfpa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Povjerenstvo	povjerenstvo	Ncnsn
ima	imati	Vmr3s
predsjednika	predsjednik	Ncmsay
i	i	Cc
četiri	četiri	Mlc

