dostupne	dostupan	Agpfpay
pripaja	pripajati	Vmr3s
za	za	Sa
posljednje	posljednji	Agpfpay
dvije	dva	Ncfpa
godine	godina	Ncfsg
prije	prije	Sg
dana	dan	Ncmpg
podnošenja	podnošenje	Ncnsg
zahtjeva	zahtjev	Ncmpg
,	,	Z
odnosno	odnosno	Rgp
ako	ako	Cs
je	biti	Var3s
pravna	pravni	Agpfsny
osoba	osoba	Ncfsn
osnovana	osnovati	Appfsny
unutar	unutar	Sg
protekle	protekao	Agpfsgy
dvije	dva	Ncfsg
godine	godina	Ncfsg
,	,	Z
financijske	financijski	Agpmpay
izvještaje	izvještaj	Ncmpa
za	za	Sa
svaku	svaki	Pi-fsa
godinu	godina	Ncfsa
od	od	Sg
osnivanja	osnivanje	Ncnsg
,	,	Z
a	a	Cc
kada	kada	Cs
navedeni	navesti	Appmpny
financijski	financijski	Agpmpny
izvještaji	izvještaj	Ncmpn
podliježu	podlijegati	Vmr3p
obvezi	obveza	Ncfsl
revizije	revizija	Ncfsg
,	,	Z
prilažu	prilagati	Vmr3p
se	sebe	Px--sa
revidirani	revidirati	Appmpny
financijski	financijski	Agpmpny
izvještaji	izvještaj	Ncmpn
,	,	Z
a	a	Cc
ako	ako	Cs
je	biti	Var3s
član	član	Ncmsn
te	taj	Pd-fsg
pravne	pravni	Agpfsgy
osobe	osoba	Ncfsg
matično	matičan	Agpnsny
društvo	društvo	Ncnsn
odnosno	odnosno	Rgp
nadređena	nadrediti	Appfsny
osoba	osoba	Ncfsn
u	u	Sl
grupi	grupa	Ncfsl
,	,	Z
navedena	navesti	Appfsny
dokumentacija	dokumentacija	Ncfsn
dostavlja	dostavljati	Vmr3s
se	sebe	Px--sa
na	na	Sl
konsolidiranoj	konsolidirati	Agpfsly
osnovi	osnova	Ncfsl
,	,	Z

3.	3.	Mdo
druge	drugi	Mlompa
podatke	podatak	Ncmpa
na	na	Sa
zahtjev	zahtjev	Ncmsan
Agencije	agencija	Ncfsg
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Zahtjev	zahtjev	Ncmsn
za	za	Sa
izdavanje	izdavanje	Ncnsa
odobrenja	odobrenje	Ncnsg
za	za	Sa
pripajanje	pripajanje	Ncnsa
koji	koji	Pi-msn
Agenciji	agencija	Ncfsl
podnosi	podnositi	Vmr3s
Društvo	društvo	Ncnsa
preuzimatelj	preuzimatelj	Ncmsn
u	u	Sl
slučaju	slučaj	Ncmsl
pripajanja	pripajanje	Ncnsg
druge	drugi	Agpfsgy
pravne	pravni	Agpfsgy
osobe	osoba	Ncfsg
izvan	izvan	Sg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
mora	morati	Vmr3s
sadržavati	sadržavati	Vmn
predmet	predmet	Ncmsan
zahtjeva	zahtjev	Ncmpg
s	sa	Si
naznakom	naznaka	Ncfsi
tvrtke	tvrtka	Ncfsg
,	,	Z
sjedišta	sjedište	Ncnsg
i	i	Cc
OIB-a	OIB	Npmsg
podnositelja	podnositelj	Ncmpg
zahtjeva	zahtjev	Ncmpg
,	,	Z
potpisan	potpisati	Appmsnn
od	od	Sg
strane	strana	Ncfsg
ovlaštenih	ovlašten	Agpfpgy
osoba	osoba	Ncfpg
za	za	Sa
zastupanje	zastupanje	Ncnsa
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbama	odredba	Ncfpl
Zakona	zakon	Ncmsg
koje	koji	Pi-fpn
uređuju	uređivati	Vmr3p
zastupanje	zastupanje	Ncnsa
Društva	društvo	Ncnsg
prema	prema	Sl
Agenciji	agencija	Ncfsl
,	,	Z
u	u	Sl
kojem	koji	Pi-msl
će	htjeti	Var3s
se	sebe	Px--sa
obrazložiti	obrazložiti	Vmn
razlozi	razlog	Ncmpn
za	za	Sa
pripajanje	pripajanje	Ncnsa
te	te	Cc
ciljevi	cilj	Ncmpn
koji	koji	Pi-mpn
se	sebe	Px--sa
namjeravaju	namjeravati	Vmr3p
postići	postići	Vmn
pripajanjem	pripajanje	Ncnsi
.	.	Z

(	(	Z
8	8	Mdc
)	)	Z
Uz	uz	Sa
zahtjev	zahtjev	Ncmsan
iz	iz	Sg
stavka	stavak	Ncmsg
7.	7.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
Društvo	društvo	Ncnsn
preuzimatelj	preuzimatelj	Ncmsn
dužno	dužan	Agpnsny
je	biti	Var3s
dostaviti	dostaviti	Vmn
:	:	Z

1.	1.	Mdo
dokumentaciju	dokumentacija	Ncfsa
propisanu	propisati	Appfsay
stavkom	stavka	Ncfsi
2.	2.	Mdo
ovog	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z

2.	2.	Mdo
financijske	financijski	Agpmpay
izvještaje	izvještaj	Ncmpa
pravne	pravni	Agpfsgy
osobe	osoba	Ncfsg
koja	koji	Pi-fsn
se	sebe	Px--sa
pripaja	pripajati	Vmr3s
za	za	Sa
posljednje	posljednji	Agpfpay
dvije	dva	Ncfpa
godine	godina	Ncfsg
prije	prije	Sg
dana	dan	Ncmpg
podnošenja	podnošenje	Ncnsg
zahtjeva	zahtjev	Ncmpg
,	,	Z
odnosno	odnosno	Rgp
ako	ako	Cs
je	biti	Var3s
pravna	pravni	Agpfsny
osoba	osoba	Ncfsn
osnovana	osnovati	Appfsny
unutar	unutar	Sg
protekle	protekao	Agpfsgy
dvije	dva	Ncfsg
godine	godina	Ncfsg
,	,	Z
financijske	financijski	Agpmpay
izvještaje	izvještaj	Ncmpa
za	za	Sa
svaku	svaki	Pi-fsa
godinu	godina	Ncfsa
od	od	Sg
osnivanja	osnivanje	Ncnsg
,	,	Z
a	a	Cc

