4743882.74	4743882.74	Mds
školjaka	školjka	Ncfpg
36	36	Mdc
37	37	Mdc
38	38	Mdc
39	39	Mdc
6476671.00	6476671.00	Mdc
6476695.00	6476695.00	Mdc
6476756.00	6476756.00	Mdc
6476736.00	6476736.00	Mdc
4748019.00	4748019.00	Mdc
4747999.00	4747999.00	Mdc
4748089.00	4748089.00	Mdc
4748105.00	4748105.00	Mdc
3070	3070	Mdc
2	2	Mdc
511	511	Mdc
Mare	mar	Agpmsny
Zec	zec	Ncmsn
,	,	Z
vl	v	Mlompg
.	.	Z
obrta	obrt	Ncmsg
Zec	zec	Ncmsn
Uzgoj	uzgoj	Ncmsn
školjaka	školjka	Ncfpg
40	40	Mdc
40	40	Mdc
A	a	Cc
41	41	Mdc
41	41	Mdc
A	a	Cc
6476932.00	6476932.00	Mdc
6476940.00	6476940.00	Mdc
6476855.00	6476855.00	Mdc
6476863.00	6476863.00	Mdc
4748056.00	4748056.00	Mdc
4748050.00	4748050.00	Mdc
4747945.00	4747945.00	Mdc
4747939.00	4747939.00	Mdc
1350	1350	Mdc
2	2	Mdc
513	513	Mdc
Nikša	Nikša	Npmsn
Matković	Matković	Npmsn
,	,	Z
vl	v	Mlompg
.	.	Z
obrta	obrt	Ncmsg
Makoć	Makoć	Npmsn
Uzgoj	uzgoj	Ncmsn
školjaka	školjka	Ncfpg
46	46	Mdc
47	47	Mdc
48	48	Mdc
49	49	Mdc
6476516.00	6476516.00	Mdc
6476568.00	6476568.00	Mdc
6476548.00	6476548.00	Mdc
6476495.00	6476495.00	Mdc
4747902.00	4747902.00	Mdc
4747982.00	4747982.00	Mdc
4747996.00	4747996.00	Mdc
4747920.00	4747920.00	Mdc
2439	2439	Mdc
2	2	Mdc
515	515	Mdc
Stijepo	Stijepo	Npmsn
Grljević	Grljević	Npmsn
,	,	Z
vl	v	Mlompg
.	.	Z
obrta	obrt	Ncmsg
Šotro	Šotro	Npmsn
Uzgoj	uzgoj	Ncmsn
školjaka	školjka	Ncfpg
54	54	Mdc
55	55	Mdc
56	56	Mdc
57	57	Mdc
6476405.00	6476405.00	Mdc
6476439.00	6476439.00	Mdc
6476369.00	6476369.00	Mdc
6476340.00	6476340.00	Mdc
4747785.00	4747785.00	Mdc
4747757.00	4747757.00	Mdc
4747665.00	4747665.00	Mdc
4747689.00	4747689.00	Mdc
4716	4716	Mdc
2	2	Mdc
516	516	Mdc
Nikša	Nikš	Npmsg
Vatović	Vatovi	Npmsg
,	,	Z
vl	v	Mlompg
.	.	Z
obrta	obrt	Ncmsg
Pergolar	Pergolar	Npmsn
Uzgoj	uzgoj	Ncmsn
školjaka	školjka	Ncfpg
58	58	Mdc
59	59	Mdc
60	60	Mdc
61	61	Mdc
6476400.00	6476400.00	Mdc
6476393.00	6476393.00	Mdc
6476341.00	6476341.00	Mdc
6476343.00	6476343.00	Mdc
4748119.00	4748119.00	Mdc
4748120.00	4748120.00	Mdc
4748047.00	4748047.00	Mdc
4748041.00	4748041.00	Mdc
530	530	Mdc
2	2	Mdc
520	520	Mdc
Ante	Ante	Npmsn
Butigan	Butigan	Npmsn
,	,	Z
vl	v	Mlompg
.	.	Z
obrta	obrt	Ncmsg
Kazerma	Kazerm	Npmsg
Uzgoj	uzgoj	Ncmsn
školjaka	školjka	Ncfpg
74	74	Mdc
75	75	Mdc
76	76	Mdc
77	77	Mdc
6476454.00	6476454.00	Mdc
6476540.00	6476540.00	Mdc
6476481.00	6476481.00	Mdc
6476398.00	6476398.00	Mdc
4748458.00	4748458.00	Mdc
4748534.00	4748534.00	Mdc
4748591.00	4748591.00	Mdc
4748523.00	4748523.00	Mdc
9294	9294	Mdc
2	2	Mdc
521	521	Mdc
Nikša	Nikš	Npmsg
Vatović	Vatovi	Npmsg
,	,	Z
vl	v	Mlompg
.	.	Z
obrta	obrt	Ncmsg
Pergolar	Pergolar	Npmsn
Uzgoj	uzgoj	Ncmsn
školjaka	školjka	Ncfpg
78	78	Mdc
79	79	Mdc
80	80	Mdc
81	81	Mdc
6476432.00	6476432.00	Mdc
6476374.00	6476374.00	Mdc
6476302.00	6476302.00	Mdc
6476370.00	6476370.00	Mdc
4748424.00	4748424.00	Mdc
4748363.00	4748363.00	Mdc
4748436.00	4748436.00	Mdc
4748513.00	4748513.00	Mdc
9726	9726	Mdc
2	2	Mdc
523	523	Mdc
Andro	Andro	Npmsn
Miljević	Miljević	Npmsn
,	,	Z
vl	v	Mlompg
.	.	Z
obrta	obrt	Ncmsg
Miljević	Miljević	Npmsn
Uzgoj	Uzgoj	Npmsn
školjaka	školjka	Vmr3s
87	87	Mdc
88	88	Mdc
89	89	Mdc
90	90	Mdc
6476195.00	6476195.00	Mdc
6476157.00	6476157.00	Mdc
6476064.00	6476064.00	Mdc
6476109.00	6476109.00	Mdc
4748228.00	4748228.00	Mdc
4748146.00	4748146.00	Mdc
4748221.00	4748221.00	Mdc
4748296.00	4748296.00	Mdc
9993	9993	Mdc
2	2	Mdc
525	525	Mdc
Vlaho	Vlaho	Npfsi
Čikato	Čikato	Npfsi
,	,	Z
vl	v	Mlompg
.	.	Z
obrta	obrt	Ncmsg
Čikato	Čikato	Npmsn
Uzgoj	uzgoj	Ncmsn
školjaka	školjka	Ncfpg
95	95	Mdc
96	96	Mdc
97	97	Mdc
98	98	Mdc
6476171.00	6476171.00	Mdc
6476207.00	6476207.00	Mdc
6476261.00	6476261.00	Mdc
6476219.00	6476219.00	Mdc
4748133.00	4748133.00	Mdc
4748106.00	4748106.00	Mdc
4748199.00	4748199.00	Mdc
4748221.00	4748221.00	Mdc
4779	4779	Mdc
2	2	Mdc
526	526	Mdc
Andro	Andro	Npmsn
Miljević	Miljević	Npmsn
,	,	Z
vl	v	Mlompg
.	.	Z
obrta	obrt	Ncmsg
Miljević	Miljević	Npmsn
Uzgoj	uzgoj	Ncmsn
školjaka	školjka	Ncfpg
100	100	Mdc
101	101	Mdc
102	102	Mdc
103	103	Mdc
6476007.00	6476007.00	Mdc
6475998.00	6475998.00	Mdc
6475984.00	6475984.00	Mdc
6475996.00	6475996.00	Mdc
4747982.00	4747982.00	Mdc
4747903.00	4747903.00	Mdc
4747902.00	4747902.00	Mdc
4747983.00	4747983.00	Mdc
1000	1000	Mdc
2	2	Mdc
531	531	Mdc
Maro	Maro	Npmsn
Franušić	Franušić	Npmsn
,	,	Z
vl	v	Mlompg
.	.	Z
obrta	obrt	Ncmsg
Meri	mer	Agpmsny
Uzgoj	uzgoj	Ncmsn
školjaka	školjka	Ncfpg
122	122	Mdc
123	123	Mdc
124	124	Mdc
125	125	Mdc
6474593.00	6474593.00	Mdc
6474633.00	6474633.00	Mdc
6474550.00	6474550.00	Mdc
6474509.00	6474509.00	Mdc
4747181.00	4747181.00	Mdc
4747239.00	4747239.00	Mdc
4747311.00	4747311.00	Mdc
4747251.00	4747251.00	Mdc
7802	7802	Mdc
2	2	Mdc
2	2	Mdc
Ponta	ponta	Ncfpg
luke	luka	Ncfsg
d.o.o.	d.o.oa	Ncfsg

Uzgoj	uzgoj	Ncmsn
bijele	bijel	Agpfsgy
ribe	riba	Ncfsg
A	a	Cc
B	b	Xf
C	C	Xf
D	D	Xf
6472754.00	6472754.00	Mdc
6472804.00	6472804.00	Mdc
6472731.00	6472731.00	Mdc
6472781.00	6472781.00	Mdc
4747455.00	4747455.00	Mdc
4747432.00	4747432.00	Mdc
4747406.00	4747406.00	Mdc
4747383.00	4747383.00	Mdc
2979	2979	Mdc
2	2	Mdc
14	14	Mdc
A	a	Cc
Ante	Ante	Npmsn
Mihovčević	Mihovčević	Npmsn
,	,	Z
vl	v	Mlompg
.	.	Z
obrta	obrt	Ncmsg
Mihočević	Mihočević	Npmsn
Uzgoj	uzgoj	Ncmsn
školjaka	školjka	Ncfpg
1	1	Mdc
2	2	Mdc
3	3	Mdc
4	4	Mdc
6471641.00	6471641.00	Mdc
6471769.00	6471769.00	Mdc
6471692.00	6471692.00	Mdc
6471584.00	6471584.00	Mdc
4747823.00	4747823.00	Mdc
4747756.00	4747756.00	Mdc
4747628.00	4747628.00	Mdc
4747684.00	4747684.00	Mdc
19874	19874	Mdc
2	2	Mdc
94	94	Mdc
A	a	Cc
Jelka	jelka	Ncfsn
Balović	Balović	Npfsg
,	,	Z
vl	v	Mlompg
.	.	Z
obrta	obrt	Ncmsg
Balović	Balović	Npmsn
Uzgoj	uzgoj	Ncmsn
školjaka	školjka	Ncfpg
1	1	Mdc
2	2	Mdc
3	3	Mdc
4	4	Mdc
6471940.00	6471940.00	Mdc
6471948.00	6471948.00	Mdc
6471930.00	6471930.00	Mdc
6471847.00	6471847.00	Mdc
4747559.00	4747559.00	Mdc
4747514.00	4747514.00	Mdc
4747492.00	4747492.00	Mdc
4747531.00	4747531.00	Mdc
3469	3469	Mdc
2	2	Mdc
44	44	Mdc
A1	A1	Y
Mario	Mario	Npmsn
Franušić	Franušić	Npmsn
,	,	Z
vl	v	Mlompg
.	.	Z
obrta	obrt	Ncmsg
Banja	Banja	Npfsn
Uzgoj	Uzgoj	Npfsn
školjaka	školjka	Ncfpg
1	1	Mdc
2	2	Mdc
3	3	Mdc
4	4	Mdc
6474871.00	6474871.00	Mdc
6474854.00	6474854.00	Mdc
6474779.27	6474779.27	Mdc
6474811.98	6474811.98	Mdc
4746910.00	4746910.00	Mdc
4746851.28	4746851.28	Mdc
4746898.05	4746898.05	Mdc
4746953.18	4746953.18	Mdc
4925	4925	Mdc
2	2	Mdc
44	44	Mdc
A2	A2	Y
Mario	Mario	Npmsn
Franušić	Franušić	Npmsn
,	,	Z
vl	v	Mlompg
.	.	Z
obrta	obrt	Ncmsg
Banja	Banja	Npfsn
Uzgoj	uzgoj	Ncmsn
školjaka	školjka	Ncfpg

