svim	sav	Agpfpiy
udaljenosti	udaljenost	Ncfsl
1	1	Mdc
m	m	Y
od	od	Sg
izvora	izvor	Ncmsg
zvuka	zvuk	Ncmsg
,	,	Z
te	te	Cc
mora	morati	Vmr3s
imati	imati	Vmn
mogućnost	mogućnost	Ncfsa
prilagođavanja	prilagođavanje	Ncnsg
razine	razina	Ncfsg
emitiranog	emitirati	Agpmsgy
akustičnog	akustičan	Agpmsgy
signala	signal	Ncmsg
ovisno	ovisno	Rgp
o	o	Sl
razini	razina	Ncfsl
zvuka	zvuk	Ncmsg
okoline	okolina	Ncfsg
u	u	Sl
dnevnim	dnevni	Agpfply
ili	ili	Cc
noćnim	noćni	Agpmply
uvjetima	uvjet	Ncmpl
.	.	Z

–	–	Pi-nsn
u	u	Sl
kombinaciji	kombinacija	Ncfsl
s	sa	Si
polubranicima	polubranik	Ncmpi
zvučna	zvučan	Agpfsny
signalizacija	signalizacija	Ncfsn
prestaje	prestajati	Vmr3s
kada	kada	Cs
je	biti	Var3s
motka	motka	Ncfsn
polubranika	polubranik	Ncmsg
u	u	Sl
krajnjem	krajnji	Agpmsly
donjem	donji	Agpmsly
položaju	položaj	Ncmsl
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Polubranici	polubranik	Ncmpn
zatvaraju	zatvarati	Vmr3p
promet	promet	Ncmsan
po	po	Sl
desnoj	desni	Agpfsly
kolničkoj	kolnički	Agpfsly
traci	traca	Ncfsl
ispred	ispred	Sg
ŽCP-a	ŽCP	Npmsg
,	,	Z
a	a	Cc
ugrađuju	ugrađivati	Vmr3p
se	sebe	Px--sa
u	u	Sl
kombinaciji	kombinacija	Ncfsl
sa	sa	Si
svjetlosno-zvučnom	svjetlosno-zvučan	Agpfsiy
signalizacijom	signalizacija	Ncfsi
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
Pravilnikom	pravilnik	Ncmsi
o	o	Sl
načinu	način	Ncmsl
osiguravanja	osiguravanje	Ncnsg
prometa	promet	Ncmsg
na	na	Sl
željezničko-cestovnim	željezničko-cestovan	Agpmply
prijelazima	prijelaz	Ncmpl
i	i	Cc
pješačkim	pješački	Agpmpiy
prijelazima	prijelaz	Ncmpi
preko	preko	Sg
pruge	pruga	Ncfsg
i	i	Cc
Pravilnikom	pravilnik	Ncmsi
o	o	Sl
prometnim	prometan	Agpmply
znakovima	znak	Ncmpl
,	,	Z
signalizaciji	signalizacija	Ncfsl
i	i	Cc
opremi	oprema	Ncfsl
na	na	Sl
cestama	cesta	Ncfpl
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Potrebno	potreban	Agpnsny
je	biti	Var3s
ostvariti	ostvariti	Vmn
kontrolu	kontrola	Ncfsa
stanja	stanje	Ncnsg
polubranika	polubranik	Ncmsg
:	:	Z

–	–	Agpmsny
lom	lom	Ncmsn
prerezivog	prereziv	Agpnsgy
mjesta	mjesto	Ncnsg
motke	motka	Ncfsg

–	–	Sa
gornji	gornji	Agpmsayn
otvoreni	otvoren	Agpmsayn
položaj	položaj	Ncmsan

–	–	Sa
donji	donji	Agpmsayn
zatvoreni	zatvoren	Agpmsayn
položaj	položaj	Ncmsan

–	i	Agpnsay
vrijeme	vrijeme	Ncnsa
spuštanja	spuštanje	Ncnsg
i	i	Cc
podizanja	podizanje	Ncnsg
motki	motka	Ncfpg
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Kvar	kvar	Ncmsn
postavljača	postavljač	Ncmpg
javlja	javljati	Vmr3s
se	sebe	Px--sa
u	u	Sl
sljedećim	sljedeći	Agpmply
slučajevima	slučaj	Ncmpl
:	:	Z

–		Aspfsny
motka	motka	Ncfsn
nije	biti	Var3s
u	u	Sl
krajnjem	krajnji	Agpmsly
položaju	položaj	Ncmsl
3	3	Mdc
sekunde	sekunda	Ncfsg
nakon	nakon	Sg
isteka	istek	Ncmsg
vremena	vrijeme	Ncnsg
postavljanja	postavljanje	Ncnsg

–	–	Agpmsny
gubitak	gubitak	Ncmsn
kontrole	kontrola	Ncfsg
krajnjeg	krajnji	Agpmsgy
položaja	položaj	Ncmsg

–	–	Z
lom	lom	Ncmsn
motke	motka	Ncfsg
.	.	Z

(	(	Z
8	8	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
da	da	Cs
uređaj	uređaj	Ncmsn
ŽCP-a	ŽCP	Npmsg
nije	biti	Var3s
uključen	uključiti	Appmsnn
i	i	Cc
nema	nemati	Vmr3s
uvjet	uvjet	Ncmsan
za	za	Sa
uključenje	uključenje	Ncnsa
s	sa	Sg
pruge	pruga	Ncfsg
,	,	Z
lom	lom	Ncmsn
motke	motka	Ncfsg
u	u	Sl
gornjem	gornji	Agpmsly
položaju	položaj	Ncmsl
ne	ne	Qz
smije	smjeti	Vmr3s
dovesti	dovesti	Vmn
do	do	Sg
uključenja	uključenje	Ncnsg
cestovnih	cestovan	Agpmpgy
svjetlosnih	svjetlosni	Agpmpgy
signala	signal	Ncmpg
.	.	Z

Uređaj	uređaj	Ncmsn
ŽCP-a	ŽCP	Npmsg
treba	trebati	Vmr3s
javiti	javiti	Vmn
kvar	kvar	Ncmsan
.	.	Z

(	(	Z
9	9	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
da	da	Cs
uređaj	uređaj	Ncmsn
ŽCP-a	ŽCP	Npmsg
nije	biti	Var3s
uključen	uključiti	Appmsnn
i	i	Cc
nema	nemati	Vmr3s
uvjet	uvjet	Ncmsan
za	za	Sa
uključenje	uključenje	Ncnsa
s	sa	Sg
pruge	pruga	Ncfsg
,	,	Z
nepravilan	nepravilan	Agpmsann
položaj	položaj	Ncmsan
motke	motka	Ncfsg
,	,	Z
odnosno	odnosno	Rgp
gubitak	gubitak	Ncmsan
kontrole	kontrola	Ncfsg
krajnjeg	krajnji	Agpmsgy
položaja	položaj	Ncmsg
treba	trebati	Vmr3s
dovesti	dovesti	Vmn
do	do	Sg
uključenja	uključenje	Ncnsg
cestovnih	cestovan	Agpmpgy
svjetlosnih	svjetlosni	Agpmpgy
signala	signal	Ncmpg
.	.	Z

Uređaj	uređaj	Ncmsn
ŽCP-a	ŽCP	Npmsg
treba	trebati	Vmr3s
javiti	javiti	Vmn
kvar	kvar	Ncmsan
.	.	Z

(	(	Z
10	10	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
da	da	Cs
uređaj	uređaj	Ncmsn
ŽCP-a	ŽCP	Npmsg
opremljen	opremiti	Appmsnn
kontrolnim	kontrolan	Agpmpiy
signalima	signal	Ncmpi
,	,	Z
kontrolni	kontrolan	Agpmpny
svjetlosni	svjetlosni	Agpmpny
signali	signal	Ncmpn
ugrađuju	ugrađivati	Vmr3p
se	sebe	Px--sa
na	na	Sl
udaljenosti	udaljenost	Ncfsl
zaustavnog	zaustavni	Agpmsgy
puta	put	Ncmsg
ispred	ispred	Sg
željezničko-cestovnog	željezničko-cestovan	Agpmsgy
prijelaza	prijelaz	Ncmsg
i	i	Cc
moraju	morati	Vmr3p
se	sebe	Px--sa
vidjeti	vidjeti	Vmn
s	sa	Sg
mjesta	mjesto	Ncnpg
gdje	gdje	Cs
je	biti	Var3s
ugrađen	ugraditi	Appmsnn
signal	signal	Ncmsn
uključne	uključan	Agpfsgy
točke	točka	Ncfsg
.	.	Z

(	(	Z
11	11	Mdc
)	)	Z
Ako	ako	Cs
se	sebe	Px--sa
na	na	Sl
uređaju	uređaj	Ncmsl
ŽCP-a	ŽCP	Npmsg
s	sa	Si
kontrolnim	kontrolan	Agpmpiy
signalima	signal	Ncmpi
pojavi	pojaviti	Vmr3s
bilo	bilo	Qo
kakav	kakav	Pi-msan
kvar	kvar	Ncmsan
koji	koji	Pi-msn
bi	biti	Vaa3s
mogao	moći	Vmp-sm
ugroziti	ugroziti	Vmn
sigurnost	sigurnost	Ncfsa
željezničkog	željeznički	Agpmsgy
i	i	Cc
cestovnog	cestovan	Agpmsgy
prometa	promet	Ncmsg
,	,	Z
bijela	bijel	Agpfsny
svjetlost	svjetlost	Ncfsn
na	na	Sl
kontrolnom	kontrolan	Agpmsly
svjetlosnom	svjetlosni	Agpmsly
signalu	signal	Ncmsl
ne	ne	Qz
smije	smjeti	Vmr3s
se	sebe	Px--sa
paliti	paliti	Vmn
.	.	Z

Na	na	Sa
taj	taj	Pd-msan
način	način	Ncmsan
se	sebe	Px--sa
strojovođa	strojovođa	Ncmsn
upozorava	upozoravati	Vmr3s
da	da	Cs
željezničko-cestovni	željezničko-cestovan	Agpmsny
prijelaz	prijelaz	Ncmsn
nije	biti	Var3s
osiguran	osigurati	Appmsnn
.	.	Z

(	(	Z
12	12	Mdc
)	)	Z
Pomoćni	pomoćan	Agpmsny
kontrolni	kontrolan	Agpmsny
svjetlosni	svjetlosni	Agpmsny
signal	signal	Ncmsn
ugrađuje	ugrađivati	Vmr3s
se	sebe	Px--sa
između	između	Sg
kontrolnoga	kontrolan	Agpmsgy
svjetlosnog	svjetlosni	Agpmsgy
signala	signal	Ncmsg
i	i	Cc
prijelaza	prijelaz	Ncmsg
na	na	Sl
pružnoj	pružni	Agpfsly
dionici	dionica	Ncfsl
na	na	Sl
kojoj	koji	Pi-fsl
vlak	vlak	Ncmsan
ima	imati	Vmr3s
zadržavanje	zadržavanje	Ncnsa
između	između	Sg
kontrolnoga	kontrolan	Agpmsgy
svjetlosnog	svjetlosni	Agpmsgy
signala	signal	Ncmsg
i	i	Cc
prijelaza	prijelaz	Ncmpg
.	.	Z

Prije	prije	Sg
polaska	polazak	Ncmsg
vlaka	vlak	Ncmsg
pomoćni	pomoćan	Agpmsny
kontrolni	kontrolan	Agpmsny
svjetlosni	svjetlosni	Agpmsny
signal	signal	Ncmsn
mora	morati	Vmr3s
biti	biti	Van
uključen	uključiti	Appmsnn
.	.	Z

(	(	Z
13	13	Mdc
)	)	Z
Pomoćni	pomoćan	Agpmsny
kontrolni	kontrolan	Agpmsny
svjetlosni	svjetlosni	Agpmsny
signal	signal	Ncmsn
signalizira	signalizirati	Vmr3s
iste	isti	Agpmpay
signalne	signalni	Agpmpay
znakove	znak	Ncmpa
kao	kao	Cs

