manje	malo	Rgc
Ugovorom	ugovor	Ncmsi
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
potrošač	potrošač	Ncmsn
stječe	stjecati	Vmr3s
vlastito	vlastit	Agpnsay
i	i	Cc
neposredno	neposredan	Agpnsay
pravo	pravo	Ncnsa
prema	prema	Sl
vjerovniku	vjerovnik	Ncmsl
kao	kao	Cs
da	da	Cs
je	biti	Var3s
prihvatio	prihvatiti	Vmp-sm
izračun	izračun	Ncmsan
konverzije	konverzija	Ncfsg
,	,	Z
a	a	Cc
ugovaratelj	ugovaratelj	Ncmsn
ima	imati	Vmr3s
pravo	pravo	Ncnsa
zahtijevati	zahtijevati	Vmn
da	da	Cs
vjerovnik	vjerovnik	Ncmsn
ispuni	ispuniti	Vmr3s
prema	prema	Sl
potrošaču	potrošač	Ncmsl
što	što	Pi3n-n
je	biti	Var3s
ugovoreno	ugovoriti	Appnsny
u	u	Sa
korist	korist	Ncfsa
tog	taj	Pd-msg
potrošača	potrošač	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Ako	ako	Cs
potrošač	potrošač	Ncmsn
izjavi	izjaviti	Vmr3s
da	da	Cs
ne	ne	Qz
prihvaća	prihvaćati	Vmr3s
ili	ili	Cc
odbije	odbiti	Vmr3s
korist	korist	Ncfsn
koja	koji	Pi-fsn
je	biti	Var3s
ugovorena	ugovoriti	Appfsny
za	za	Sa
njega	on	Pp3msa
,	,	Z
korist	korist	Ncfsn
pripada	pripadati	Vmr3s
ugovaratelju	ugovaratelj	Ncmsd
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Vjerovnik	vjerovnik	Ncmsn
može	moći	Vmr3s
isticati	isticati	Vmn
potrošaču	potrošač	Ncmsd
sve	sav	Agpmpay
prigovore	prigovor	Ncmpa
koje	koji	Pi-mpa
ima	imati	Vmr3s
prema	prema	Sl
ugovaratelju	ugovaratelj	Ncmsl
po	po	Sl
osnovi	osnova	Ncfsl
ugovora	ugovor	Ncmsg
kojim	koji	Pi-msi
je	biti	Var3s
ugovorena	ugovoriti	Appfsny
korist	korist	Ncfsn
za	za	Sa
potrošača	potrošač	Ncmsan
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Ugovorom	ugovor	Ncmsi
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
vjerovnik	vjerovnik	Ncmsn
pristaje	pristajati	Vmr3s
umanjiti	umanjiti	Vmn
tražbinu	tražbina	Ncfsa
prema	prema	Sl
potrošaču	potrošač	Ncmsl
odgovarajućom	odgovarajući	Agpfsiy
primjenom	primjena	Ncfsi
načela	načelo	Ncnsg
i	i	Cc
pravila	pravilo	Ncnpg
iz	iz	Sg
članaka	članak	Ncmsg
19.	19.	Mdo
b	b	Cc
do	do	Sg
19.	19.	Mdo
f	a	Ncfsg
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

Porezni	porezni	Agpmsny
tretman	tretman	Ncmsn
učinka	učinak	Ncmsg
konverzije	konverzija	Ncfsg

Članak	članak	Ncmsn
19.	19.	Mdo
h	h	Ncfsg

(	(	Z
1	1	Mdc
)	)	Z
Učinak	učinak	Ncmsn
konverzije	konverzija	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
19.	19.	Mdo
e	e	Ncfsg
stavka	stavak	Ncmsg
7.	7.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
koji	koji	Pi-msn
rezultira	rezultirati	Vmr3s
rashodom	rashod	Ncfsi
u	u	Sl
poslovnim	poslovan	Agpfply
knjigama	knjiga	Ncfpl
vjerovnika	vjerovnik	Ncmpg
,	,	Z
porezno	porezni	Agpnsny
je	biti	Var3s
priznati	priznati	Vmn
rashod	rashod	Ncmsan
vjerovnika	vjerovnik	Ncmpg
u	u	Sl
smislu	smisao	Ncmsl
posebnog	poseban	Agpmsgy
propisa	propis	Ncmsg
o	o	Sl
porezu	porez	Ncmsl
na	na	Sa
dobit	dobit	Ncfsa
,	,	Z
vodeći	vodeći	Agpmsny
se	sebe	Px--sa
načelom	načelo	Ncnsi
izbjegavanja	izbjegavanje	Ncnsg
dvostrukog	dvostruk	Agpnsgy
oporezivanja	oporezivanje	Ncnsg
i	i	Cc
načelom	načelo	Ncnsi
izbjegavanja	izbjegavanje	Ncnsg
dvostrukog	dvostruk	Agpnsgy
umanjenja	umanjenje	Ncnsg
porezne	porezni	Agpfsgy
osnovice	osnovica	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Vjerovnik	vjerovnik	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
uz	uz	Sa
poreznu	porezni	Agpfsay
prijavu	prijava	Ncfsa
poreza	porez	Ncmsg
na	na	Sa
dobit	dobit	Ncfsa
za	za	Sa
razdoblje	razdoblje	Ncnsa
u	u	Sl
kojem	koji	Pi-nsl
je	biti	Var3s
u	u	Sl
poslovnim	poslovan	Agpfply
knjigama	knjiga	Ncfpl
evidentiran	evidentirati	Appmsnn
rashod	rashod	Ncmsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
dostaviti	dostaviti	Vmn
kumulativni	kumulativan	Agpmsayn
sažetak	sažetak	Ncmsan
izračuna	izračun	Ncmsg
konverzija	konverzija	Ncfsn
iz	iz	Sg
članka	članak	Ncmsg
19.	19.	Mdo
e	e	Ncfsg
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
temeljem	temelj	Ncmsi
kojeg	koji	Pi-msay
je	biti	Var3s
evidentirao	evidentirati	Vmp-sm
rashod	rashod	Ncmsan
u	u	Sl
poslovnim	poslovan	Agpfply
knjigama	knjiga	Ncfpl
,	,	Z
kao	kao	Cs
i	i	Qo
dokaz	dokaz	Ncmsn
iz	iz	Sg
kojeg	koji	Pi-msg
nedvojbeno	nedvojbeno	Rgp
proizlazi	proizlaziti	Vmr3s
da	da	Cs
je	biti	Var3s
rashod	rashod	Ncmsn
porezno	porezno	Rgp
tretiran	tretirati	Appmsnn
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbama	odredba	Ncfpl
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Odredbe	odredba	Ncfpn
stavka	stavak	Ncmsg
1.	1.	Mdo
i	i	Cc
2.	2.	Mdo
ovoga	ovaj	Pd-nsg
članka	članak	Ncmsg
na	na	Sa
odgovarajući	odgovarajući	Agpmsayn
se	sebe	Px--sa
način	način	Ncmsan
primjenjuju	primjenjivati	Vmr3p
na	na	Sa
oporezivanje	oporezivanje	Ncnsa
učinka	učinak	Ncmsg
konverzije	konverzija	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
19.	19.	Mdo
e	e	Ncfsg
stavka	stavak	Ncmsg
7.	7.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
ako	ako	Cs
vjerovnik	vjerovnik	Ncmsn
podliježe	podlijegati	Vmr3s
oporezivanju	oporezivanje	Ncnsd
porezom	porez	Ncmsi
na	na	Sa
dohodak	dohodak	Ncmsan
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Učinak	učinak	Ncmsn
konverzije	konverzija	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
19.	19.	Mdo
e	e	Ncfsg
stavka	stavak	Ncmsg
7.	7.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
ne	ne	Qz
smatra	smatrati	Vmr3s
se	sebe	Px--sa
dohotkom	dohodak	Ncmsi
potrošača	potrošač	Ncmpg
u	u	Sl
smislu	smisao	Ncmsl
posebnog	poseban	Agpmsgy
propisa	propis	Ncmsg
o	o	Sl
porezu	porez	Ncmsl
na	na	Sa
dohodak	dohodak	Ncmsan
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Odredbe	odredba	Ncfpn
stavaka	stavak	Ncmpg
1.	1.	Mdo
do	do	Sg
4.	4.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
na	na	Sa
odgovarajući	odgovarajući	Agpmsayn
se	sebe	Px--sa
način	način	Ncmsan
primjenjuju	primjenjivati	Vmr3p
i	i	Cc
na	na	Sa
rashod	rashod	Ncmsan
temeljem	temelj	Sg
povrata	povrat	Ncmsg
preplate	preplata	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
19.	19.	Mdo
c	C	Xf
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
5.	5.	Mdo
podtočaka	podtočak	Ncmsg
1.	1.	Mdo
i	i	Cc
2.	2.	Mdo
ovoga	ovaj	Pd-nsg
Zakona	zakon	Ncmsg
i	i	Cc
povrata	povrat	Ncmpg
iz	iz	Sg
članka	članak	Ncmsg
19.	19.	Mdo
c	C	Xf
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

Izvješće	izvješće	Ncnsn
o	o	Sl
provedbi	provedba	Ncfsl
konverzije	konverzija	Ncfsg
kredita	kredit	Ncmpg

Članak	članak	Ncmsn
19.	19.	Mdo
i	i	Cc

Vjerovnik	vjerovnik	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
dostaviti	dostaviti	Vmn
Ministarstvu	ministarstvo	Ncnsd
financija	financije	Ncfpg
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
šest	šest	Mlc
mjeseci	mjesec	Ncmpg
od	od	Sg
dana	dan	Ncmpg
stupanja	stupanje	Ncnsg
na	na	Sa
snagu	snaga	Ncfsa
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
izvješće	izvješće	Ncnsn
o	o	Sl
rezultatima	rezultat	Ncmpl
provedbe	provedba	Ncfsg
konverzije	konverzija	Ncfsg
kredita	kredit	Ncmpg
,	,	Z
koje	koji	Pi3n-n
sadrži	sadržati	Vmr3s
najmanje	malo	Rgs
sljedeće	sljedeći	Agpmpay
podatke	podatak	Ncmpa
:	:	Z

–	–	Z
broj	broj	Ncmsn
potrošača	potrošač	Ncmpg
koji	koji	Pi-mpn
su	biti	Var3p
prihvatili	prihvatiti	Vmp-pm
,	,	Z
odnosno	odnosno	Rgp
nisu	biti	Var3p
prihvatili	prihvatiti	Vmp-pm
konverziju	konverzija	Ncfsa
kredita	kredit	Ncmpg
denominiranih	denominirati	Appmpgy
u	u	Sl
CHF	cha	Ncfsl
u	u	Sa
kredite	kredit	Ncmpa
denominirane	denominirati	Vmr3s
u	u	Sa
EUR	EUR	Ncmsan
,	,	Z

–	–	Z
broj	broj	Ncmsn
potrošača	potrošač	Ncmpg
koji	koji	Pi-mpn
su	biti	Var3p
prihvatili	prihvatiti	Vmp-pm
,	,	Z
odnosno	odnosno	Rgp
nisu	biti	Var3p
prihvatili	prihvatiti	Vmp-pm
konverziju	konverzija	Ncfsa
kredita	kredit	Ncmpg
denominiranih	denominirati	Appmpgy
u	u	Sl
kunama	kuna	Ncfpl
s	sa	Si
valutnom	valutni	Agpfsiy
klauzulom	klauzula	Ncfsi
u	u	Sa
CHF	ch	Ncmpa
u	u	Sa
kredite	kredit	Ncmpa
denominirane	denominirati	Appmpay
u	u	Sl
kunama	kuna	Ncfpl
s	sa	Si
valutnom	valutni	Agpfsiy
klauzulom	klauzula	Ncfsi
u	u	Sa
EUR	EUR	Npmsan
,	,	Z

–	–	Z
broj	broj	Ncmsn
potrošača	potrošač	Ncmpg
koji	koji	Pi-mpn
su	biti	Var3p
prihvatili	prihvatiti	Vmp-pm
,	,	Z
odnosno	odnosno	Rgp
nisu	biti	Var3p
prihvatili	prihvatiti	Vmp-pm
konverziju	konverzija	Ncfsa
tražbine	tražbina	Ncfsg
nastale	nastao	Agpfsgy
zbog	zbog	Sg
prestanka	prestanak	Ncmsg
ugovora	ugovor	Ncmsg
o	o	Sl
kreditu	kredit	Ncmsl
denominiranih	denominirati	Appmpgy
u	u	Sl
CHF	cha	Ncfsl
i	i	Cc
kredita	kredit	Ncmpg
denominiranih	denominirati	Appmpgy
u	u	Sl
kunama	kuna	Ncfpl
s	sa	Si
valutnom	valutni	Agpfsiy
klauzulom	klauzula	Ncfsi
u	u	Sl
CHF	CH	Npmsl
,	,	Z

–	i	Agpnsny
stanje	stanje	Ncnsn
kredita	kredit	Ncmpg
denominiranih	denominirati	Appmpgy
u	u	Sl
CHF	cha	Ncfsl
i	i	Cc
kredita	kredit	Ncmpg
denominiranih	denominirati	Appmpgy
u	u	Sl
kunama	kuna	Ncfpl
s	sa	Si
valutnom	valutni	Agpfsiy
klauzulom	klauzula	Ncfsi
u	u	Sl
CHF	c	Agpfply
po	po	Sl
vrstama	vrsta	Ncfpl
kredita	kredit	Ncmsg
,	,	Z
odnosno	odnosno	Rgp
tražbina	tražbina	Ncfsn
nastalih	nastao	Agpmpgy
zbog	zbog	Sg
prestanka	prestanak	Ncmsg
ugovora	ugovor	Ncmsg
o	o	Sl
kreditu	kredit	Ncmsl
denominiranih	denominirati	Appmpgy
u	u	Sl
CHF	cha	Ncfsl
odnosno	odnosno	Rgp
kredita	kredit	Ncmpg
denominiranih	denominirati	Appmpgy
u	u	Sl
kunama	kuna	Ncfpl
s	sa	Si
valutnom	valutni	Agpfsiy
klauzulom	klauzula	Ncfsi
u	u	Sa
CHF	CHF	Npmsan
,	,	Z
na	na	Sa
dan	dan	Ncmsan
prije	prije	Sg
konverzije	konverzija	Ncfsg
i	i	Cc
nakon	nakon	Sg
konverzije	konverzija	Ncfsg
,	,	Z
zajedno	zajedno	Rgp
s	sa	Si
iznosima	iznos	Ncmpi
učinka	učinak	Ncmsg
konverzije	konverzija	Ncfsg
.	.	Z

IV	IV	Mrc
.	.	Z
b	b	Agpfsny
NIŠTETNOST	ništetnost	Ncfsn
I	i	Cc
SUDSKI	sudski	Agpmpny
POSTUPCI	postupak	Ncmpn

Ništetnost	ništetnost	Ncfsn
ugovora	ugovor	Ncmsg
i	i	Cc
posljedice	posljedica	Ncfsg
ništetnosti	ništetnost	Ncfsg

Članak	članak	Ncmsn
19.	19.	Mdo
j	j	Ncfsg

(	(	Z
1	1	Mdc
)	)	Z
Ako	ako	Cs
je	biti	Var3s
ugovor	ugovor	Ncmsn
o	o	Sl
kreditu	kredit	Ncmsl
sklopio	sklopiti	Vmp-sm
vjerovnik	vjerovnik	Ncmsn
,	,	Z
odnosno	odnosno	Rgp
kreditni	kreditan	Agpmsny
posrednik	posrednik	Ncmsn
koji	koji	Pi-msn
nema	nemati	Vmr3s
odobrenje	odobrenje	Ncnsa
za	za	Sa
pružanje	pružanje	Ncnsa
usluga	usluga	Ncfpg
potrošačkog	potrošački	Agpnsgy
kreditiranja	kreditiranje	Ncnsg
,	,	Z
odnosno	odnosno	Rgp
za	za	Sa
posredovanje	posredovanje	Ncnsa
pri	pri	Sl
potrošačkom	potrošački	Agpnsly
kreditiranju	kreditiranje	Ncnsl
,	,	Z
ugovor	ugovor	Ncmsn
je	biti	Var3s
ništetan	ništetan	Agpmsnn
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
postojanja	postojanje	Ncnsg

