provedeno	provesti	Appnsny
uplate	uplata	Ncfpn
i	i	Cc
isplate	isplata	Ncfpa
(	(	Z
Kartica	kartica	Ncfsn
predmeta	predmet	Ncmsg
,	,	Z
obrazac	obrazac	Ncmsn
broj	broj	Ncmsn
1	1	Mdc
)	)	Z
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Uz	uz	Sa
karticu	kartica	Ncfsa
predmeta	predmet	Ncmpg
vodi	voditi	Vmr3s
se	sebe	Px--sa
i	i	Qo
Dnevnik	dnevnik	Ncmsn
knjiženja	knjiženje	Ncnsg
,	,	Z
koji	koji	Pi-msn
sadrži	sadržati	Vmr3s
sve	sav	Agpmpay
podatke	podatak	Ncmpa
kao	kao	Cs
i	i	Qo
Kartica	kartica	Ncfsn
predmeta	predmet	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Po	po	Sl
proteku	protek	Ncmsl
poslovne	poslovan	Agpfsgy
godine	godina	Ncfsg
Dnevnik	dnevnik	Ncmsn
knjiženja	knjiženje	Ncnsg
i	i	Cc
saldo	saldo	Ncmsan
kartica	kartica	Ncfpg
predmeta	predmet	Ncmpg
se	sebe	Px--sa
ispisuju	ispisivati	Vmr3p
te	te	Cc
ih	oni	Pp3-pa
ovjeravaju	ovjeravati	Vmr3p
predsjednik	predsjednik	Ncmsn
suda	sud	Ncmsg
i	i	Cc
ovlašteni	ovlašten	Agpmsny
službenik	službenik	Ncmsn
.	.	Z

Članak	članak	Ncmsn
26.	26.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Za	za	Sa
evidenciju	evidencija	Ncfsa
primanja	primanje	Ncnsg
i	i	Cc
izdavanja	izdavanje	Ncnsg
vrijednosti	vrijednost	Ncfsg
i	i	Cc
drugih	drugi	Mlofpg
stvari	stvar	Ncfpg
vodi	voditi	Vmr3s
se	sebe	Px--sa
Evidencija	evidencija	Ncfsn
negotovinskih	negotovinski	Agpmpgy
pologa	polog	Ncmpg
(	(	Z
obrazac	obrazac	Ncmsn
broj	broj	Ncmsn
2	2	Mdc
)	)	Z
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Primanja	primanje	Ncnsg
i	i	Cc
izdavanja	izdavanje	Ncnsg
negotovinskih	negotovinski	Agpmpgy
pologa	polog	Ncmpg
upisuju	upisivati	Vmr3p
se	sebe	Px--sa
na	na	Sl
temelju	temelj	Ncmsl
zapisnika	zapisnik	Ncmsg
o	o	Sl
primanju	primanje	Ncnsl
i	i	Cc
naredbe	naredba	Ncfpa
suca	sudac	Ncmsay
odnosno	odnosno	Rgp
sudskog	sudski	Agpmsgy
savjetnika	savjetnik	Ncmsg
o	o	Sl
izdavanju	izdavanje	Ncnsl
te	te	Cc
se	sebe	Px--sa
knjiže	knjižiti	Vmr3p
u	u	Sa
Evidenciju	evidencija	Ncfsa
negotovinskih	negotovinski	Agpmpgy
pologa	polog	Ncmpg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Po	po	Sl
proteku	protek	Ncmsl
poslovne	poslovan	Agpfsgy
godine	godina	Ncfsg
Evidenciju	evidencija	Ncfsa
negotovinskih	negotovinski	Agpmpgy
pologa	polog	Ncmpg
ovjeravaju	ovjeravati	Vmr3p
predsjednik	predsjednik	Ncmsn
suda	sud	Ncmsg
i	i	Cc
ovlašteni	ovlašten	Agpmsny
službenik	službenik	Ncmsn
.	.	Z

Članak	članak	Ncmsn
27.	27.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Primitak	primitak	Ncmsn
pologa	polog	Ncmsg
na	na	Sa
čuvanje	čuvanje	Ncnsa
kod	kod	Sg
čuvara	čuvar	Ncmpg
upisuje	upisivati	Vmr3s
se	sebe	Px--sa
u	u	Sa
Evidenciju	evidencija	Ncfsa
pologa	polog	Ncmsg
na	na	Sl
čuvanju	čuvanje	Ncnsl
kod	kod	Sg
drugih	drugi	Mlofpg
osoba	osoba	Ncfpg
(	(	Z
obrazac	obrazac	Ncmsn
broj	broj	Ncmsn
3	3	Mdc
)	)	Z
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Po	po	Sl
proteku	protek	Ncmsl
poslovne	poslovan	Agpfsgy
godine	godina	Ncfsg
Evidenciju	evidencija	Ncfsa
pologa	polog	Ncmsg
na	na	Sl
čuvanju	čuvanje	Ncnsl
kod	kod	Sg
drugih	drugi	Mlofpg
osoba	osoba	Ncfpg
ovjeravaju	ovjeravati	Vmr3p
predsjednik	predsjednik	Ncmsn
suda	sud	Ncmsg
i	i	Cc
ovlašteni	ovlašten	Agpmsny
službenik	službenik	Ncmsn
.	.	Z

IV	IV	Mrc
.	.	Z

Evidencija	evidencija	Ncfsn
naplate	naplata	Ncfsg
novčane	novčan	Agpfsgy
kazne	kazna	Ncfsg
,	,	Z
troškova	trošak	Ncmpg
kaznenog	kazneni	Agpmsgy
postupka	postupak	Ncmsg
i	i	Cc
oduzete	oduzeti	Appfsgy
imovinske	imovinski	Agpfsgy
koristi	korist	Ncfsg

Članak	članak	Ncmsn
28.	28.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Novčane	novčan	Agpfpny
kazne	kazna	Ncfpn
,	,	Z
troškovi	trošak	Ncmpn
kaznenog	kazneni	Agpmsgy
postupka	postupak	Ncmsg
i	i	Cc
oduzeta	oduzeti	Appfsny
imovinska	imovinski	Agpfsny
korist	korist	Ncfsn
uplaćuju	uplaćivati	Vmr3p
se	sebe	Px--sa
na	na	Sa
račun	račun	Ncmsan
državnog	državni	Agpmsgy
proračuna	proračun	Ncmsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Pravomoćna	pravomoćan	Agpfsny
sudska	sudski	Agpfsny
odluka	odluka	Ncfsn
kojom	koji	Pi-fsi
je	biti	Var3s
pojedinim	pojedini	Agpfpdy
osobama	osoba	Ncfpd
naloženo	naložiti	Agpnsny
plaćanje	plaćanje	Ncnsn
novčane	novčan	Agpfsgy
kazne	kazna	Ncfsg
,	,	Z
troškova	trošak	Ncmpg
kaznenog	kazneni	Agpmsgy
postupka	postupak	Ncmsg
ili	ili	Cc
određenog	određen	Agpmsgy
iznosa	iznos	Ncmsg
na	na	Sa
ime	ime	Ncnsa
oduzimanja	oduzimanje	Ncnsg
imovinske	imovinski	Agpfsgy
koristi	korist	Ncfsg
evidentira	evidentirati	Vmr3s
se	sebe	Px--sa
u	u	Sl
Evidenciji	evidencija	Ncfsl
novčanih	novčan	Agpfpgy
kazni	kazna	Ncfpg
,	,	Z
troškova	trošak	Ncmpg
kaznenog	kazneni	Agpmsgy
postupka	postupak	Ncmsg
i	i	Cc
oduzete	oduzeti	Appfsgy
imovinske	imovinski	Agpfsgy
koristi	korist	Ncfsg
(	(	Z
dalje	daleko	Rgc
u	u	Sl
tekstu	tekst	Ncmsl
:	:	Z
Evidencija	evidencija	Ncfsn
)	)	Z
(	(	Z
obrazac	obrazac	Ncmsn
broj	broj	Ncmsn
4	4	Mdc
)	)	Z
odnosno	odnosno	Rgp
u	u	Sl
informacijskom	informacijski	Agpmsly
sustavu	sustav	Ncmsl
koji	koji	Pi-msn
se	sebe	Px--sa
koristi	koristiti	Vmr3s
u	u	Sl
poslovanju	poslovanje	Ncnsl
suda	sud	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Nakon	nakon	Sg
upisa	upis	Ncmsg
zaduženja	zaduženje	Ncnsg
i	i	Cc
roka	rok	Ncmsg
do	do	Sg
kojeg	koji	Pi-msg
treba	trebati	Vmr3s
izvršiti	izvršiti	Vmn
uplatu	uplata	Ncfsa
,	,	Z
ispod	ispod	Sg
odluke	odluka	Ncfsg
suca	sudac	Ncmsg
kojom	koji	Pi-fsi
se	sebe	Px--sa
naređuje	naređivati	Vmr3s
zaduženje	zaduženje	Ncnsa
i	i	Cc
na	na	Sl
omotu	omot	Ncmsl
spisa	spis	Ncmsg
predmeta	predmet	Ncmsg
službenik	službenik	Ncmsn
sudske	sudski	Agpfsgy
pisarnice	pisarnica	Ncfsg
bilježi	bilježiti	Vmr3s
redni	redni	Agpmsny
broj	broj	Ncmsn
Evidencije	evidencija	Ncfsg
pod	pod	Si
kojim	koji	Pi-msi
je	biti	Var3s
zaduženje	zaduženje	Ncnsn
upisano	upisati	Appnsny
.	.	Z

U	u	Sa
odgovarajuću	odgovarajući	Agpfsay
rubriku	rubrika	Ncfsa
kaznenog	kazneni	Agpmsgy
upisnika	upisnik	Ncmsg
također	također	Rgp
se	sebe	Px--sa
upisuje	upisivati	Vmr3s
broj	broj	Ncmsn
Evidencije	evidencija	Ncfsg
pod	pod	Si
kojim	koji	Pi-msi
je	biti	Var3s
zaduženje	zaduženje	Ncnsn
upisano	upisati	Appnsny
.	.	Z

Članak	članak	Ncmsn
29.	29.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Neposredno	neposredno	Rgp
nakon	nakon	Sg
upisivanja	upisivanje	Ncnsg
potrebnih	potreban	Agpmpgy
podataka	podatak	Ncmpg
u	u	Sa
Evidenciju	evidencija	Ncfsa
službenik	službenik	Ncmsn
sudske	sudski	Agpfsgy
pisarnice	pisarnica	Ncfsg
ispisuje	ispisivati	Vmr3s
nalog	nalog	Ncmsan
za	za	Sa
plaćanje	plaćanje	Ncnsa
novčane	novčan	Agpfsgy
kazne	kazna	Ncfsg
,	,	Z
troškova	trošak	Ncmpg
kaznenog	kazneni	Agpmsgy
postupka	postupak	Ncmsg
i	i	Cc
iznosa	iznos	Ncmsg
na	na	Sa
ime	ime	Ncnsa
oduzete	oduzeti	Appfsgy
imovinske	imovinski	Agpfsgy
koristi	korist	Ncfsg
te	te	Cc
ga	on	Pp3msa
dostavlja	dostavljati	Vmr3s
obvezniku	obveznik	Ncmsd
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Nakon	nakon	Sg
izvršene	izvršen	Agpfsgy
dostave	dostava	Ncfsg
naloga	nalog	Ncmsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovog	ovaj	Pd-msg
članka	članak	Ncmsg
službenik	službenik	Ncmsn
sudske	sudski	Agpfsgy
pisarnice	pisarnica	Ncfsg
u	u	Sa
Evidenciju	evidencija	Ncfsa
upisuje	upisivati	Vmr3s
datum	datum	Ncmsan
uručenja	uručenje	Ncnsg
naloga	nalog	Ncmsg
za	za	Sa
plaćanje	plaćanje	Ncnsa
.	.	Z

Članak	članak	Ncmsn
30.	30.	Mdo

Nakon	nakon	Sg
izvršene	izvršen	Agpfsgy
uplate	uplata	Ncfsg
novčane	novčan	Agpfsgy
kazne	kazna	Ncfsg
,	,	Z
troškova	trošak	Ncmpg
kaznenog	kazneni	Agpmsgy
postupka	postupak	Ncmsg
ili	ili	Cc
oduzete	oduzeti	Appfsgy
imovinske	imovinski	Agpfsgy
koristi	koristiti	Vmr3s
ovlašteni	ovlašten	Agpmsny
službenik	službenik	Ncmsn
sudske	sudski	Agpfsgy
pisarnice	pisarnica	Ncfsg
u	u	Sa
spis	spis	Ncmsan
predmeta	predmet	Ncmpg
dostavlja	dostavljati	Vmr3s
Obavijest	obavijest	Ncfsn
o	o	Sl
naplati	naplata	Ncfsl
novčane	novčan	Agpfsgy
kazne	kazna	Ncfsg
,	,	Z
troškova	trošak	Ncmpg
kaznenog	kazneni	Agpmsgy
postupka	postupak	Ncmsg
i	i	Cc
oduzete	oduzeti	Appfsgy
imovinske	imovinski	Agpfsgy
koristi	korist	Ncfsg
(	(	Z
obrazac	obrazac	Ncmsn
broj	broj	Ncmsn
5	5	Mdc
)	)	Z
.	.	Z

Članak	članak	Ncmsn
31.	31.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Ovlašteni	ovlašten	Agpmsny
službenik	službenik	Ncmsn
sudske	sudski	Agpfsgy
pisarnice	pisarnica	Ncfsg
dužan	dužan	Agpmsnn
je	biti	Var3s
svakodnevno	svakodnevno	Rgp
provjeravati	provjeravati	Vmn
naplatu	naplata	Ncfsa
i	i	Cc
poduzimati	poduzimati	Vmn
druge	drugi	Mlofsg
radnje	radnja	Ncfsg
radi	radi	Sg
provjere	provjera	Ncfsg
rokova	rok	Ncmpg
za	za	Sa
plaćanje	plaćanje	Ncnsa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Na	na	Sl
kraju	kraj	Ncmsl
svakog	svaki	Pi-msg
tjedna	tjedan	Ncmsg
ovlašteni	ovlašten	Agpmsny
službenik	službenik	Ncmsn
sudske	sudski	Agpfsgy
pisarnice	pisarnica	Ncfsg
dužan	dužan	Agpmsnn
je	biti	Var3s
pregledati	pregledati	Vmn
sve	sav	Agpfpay
otvorene	otvoren	Agpfpay
stavke	stavka	Ncfpa
i	i	Cc
o	o	Sl
proteku	protek	Ncmsl
roka	rok	Ncmsg
uplate	uplatiti	Vmr3p
obavijestiti	obavijestiti	Vmn
suca	sudac	Ncmsay
koji	koji	Pi-msn
postupa	postupati	Vmr3s
u	u	Sl
predmetu	predmet	Ncmsl
da	da	Cs
je	biti	Var3s
rok	rok	Ncmsn
za	za	Sa
naplatu	naplata	Ncfsa
bezuspješno	bezuspješno	Rgp
protekao	proteći	Vmp-sm
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Ako	ako	Cs
novčana	novčan	Agpfsny
kazna	kazna	Ncfsn
nije	biti	Var3s
u	u	Sl
cijelosti	cijelost	Ncfsl
ili	ili	Cc
djelomično	djelomično	Rgp
plaćena	platiti	Appfsny
u	u	Sl
roku	rok	Ncmsl
koji	koji	Pi-msn
je	biti	Var3s
određen	odrediti	Appmsnn
sudskom	sudski	Agpfsiy
odlukom	odluka	Ncfsi
,	,	Z
naplatit	naplatiti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
prisilno	prisilan	Agpnsny
,	,	Z
sukladno	sukladno	Rgp
posebnom	poseban	Agpmsly
zakonu	zakon	Ncmsl
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Ako	ako	Cs
trošak	trošak	Ncmsn
kaznenog	kazneni	Agpmsgy
postupka	postupak	Ncmsg
ili	ili	Cc
iznos	iznos	Ncmsn
oduzete	oduzeti	Agpfsgy
imovinske	imovinski	Agpfsgy
koristi	korist	Ncfsg
ne	ne	Qz
bude	biti	Var3s
plaćen	platiti	Appmsnn
,	,	Z
sud	sud	Ncmsn
koji	koji	Pi-msn
je	biti	Var3s
izrekao	izreći	Vmp-sm
prvostupanjsku	prvostupanjski	Agpfsay
presudu	presuda	Ncfsa
s	sa	Si
nalogom	nalog	Ncmsi
za	za	Sa
plaćanje	plaćanje	Ncnsa
troškova	trošak	Ncmpg
postupka	postupak	Ncmsg
ili	ili	Cc
isplatu	isplata	Ncfsa
iznosa	iznos	Ncmsg
oduzete	oduzeti	Appfsgy
imovinske	imovinski	Agpfsgy
koristi	korist	Ncfsg
,	,	Z

