distribuirana	distribuirati	Appfsny
pružatelju	pružatelj	Ncmsd
usluga	usluga	Ncfpg
u	u	Sl
zračnom	zračan	Agpmsly
prometu	promet	Ncmsl
koji	koji	Pi-msn
ih	oni	Pp3-pa
objavljuje	objavljivati	Vmr3s
na	na	Sa
način	način	Ncmsan
uobičajen	uobičajiti	Appmsnn
u	u	Sl
zračnom	zračan	Agpmsly
prometu	promet	Ncmsl
.	.	Z

Vojna	vojni	Agpfsny
letačka	letački	Agpfsny
dokumentacija	dokumentacija	Ncfsn
letača	letač	Ncmpg
i	i	Cc
postrojbi	postrojba	Ncfpg
Oružanih	oružan	Agpfpgy
snaga	snaga	Ncfpg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg

Članak	članak	Ncmsn
5.	5.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Vojni	vojni	Agpmpny
letači	letač	Ncmpn
vode	voditi	Vmr3p
sljedeću	sljedeći	Agpfsay
osobnu	osoban	Agpfsay
letačku	letački	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
:	:	Z

–	–	Sa
knjižicu	knjižica	Ncfsa
letenja	letenje	Ncnsg

–	–	Sa
knjižicu	knjižica	Ncfsa
evidencije	evidencija	Ncfsg
naleta	nalet	Ncmsg

–	i	Agpfsay
radnu	radni	Agpfsay
bilježnicu	bilježnica	Ncfsa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
U	u	Sl
letačkim	letački	Agpfply
postrojbama	postrojba	Ncfpl
Oružanih	oružan	Agpfpgy
snaga	snaga	Ncfpg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
Oružane	oružan	Agpfsgy
snage	snaga	Ncfsg
)	)	Z
koristi	koristiti	Vmr3s
se	sebe	Px--sa
sljedeća	sljedeći	Agpfsny
opća	opći	Agpfsny
letačka	letački	Agpfsny
dokumentacija	dokumentacija	Ncfsn
:	:	Z

–	–	Z
knjiga	knjiga	Ncfsn
pripreme	priprema	Ncfsg
i	i	Cc
raščlambe	raščlamba	Ncfpa
letenja	letenje	Ncnsg

–	–	Agpmsayn
plan	plan	Ncmsan
vojnog	vojni	Agpnsgy
letenja	letenje	Ncnsg

–	–	Z
knjiga	knjiga	Ncfsn
voditelja	voditelj	Ncmpg
letenja	letenje	Ncnsg

–	–	Z
knjiga	knjiga	Ncfsn
pomoćnika	pomoćnik	Ncmpg
voditelja	voditelj	Ncmpg
letenja	letenje	Ncnsg

–	–	Agpmsny
individualni	individualan	Agpmsny
plan	plan	Ncmsn
letačke	letački	Agpfsgy
obuke	obuka	Ncfsg

–	–	Agpmsny
godišnji	godišnji	Agpmsny
plan	plan	Ncmsn
teorijske	teorijski	Agpfsgy
i	i	Cc
praktične	praktičan	Agpfpay
provjere	provjera	Ncfpa
pilota	pilot	Ncmsg

–	i	Agpfsny
evidencija	evidencija	Ncfsn
kategorije	kategorija	Ncfsg
spremnosti	spremnost	Ncfsg
letačkog	letački	Agpmsgy
sastava	sastav	Ncmsg

–	–	Z
evidencija	evidencija	Ncfsn
ugrožavanja	ugrožavanje	Ncnsg
sigurnosti	sigurnost	Ncfsg
letenja	letenje	Ncnsg

–	–	Pd-mpn
podaci	podatak	Ncmpn
o	o	Sl
obavljenim	obaviti	Agpmply
letovima	let	Ncmpl

–		Agpfpgy
evidencija	evidencija	Ncfpg
zdravstvene	zdravstven	Agpfsgy
sposobnosti	sposobnost	Ncfsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
U	u	Sl
postrojbama	postrojba	Ncfpl
Hrvatskog	hrvatski	Agpnsgy
ratnog	ratni	Agpnsgy
zrakoplovstva	zrakoplovstvo	Ncnsg
i	i	Cc
protuzračne	protuzračan	Agpfsgy
obrane	obrana	Ncfsg
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
HRZ	HRZ	Npmsn
i	i	Cc
PZO	PZO	Npmsn
)	)	Z
,	,	Z
ovisno	ovisno	Rgp
o	o	Sl
njihovoj	njihov	Ps3fsl
misiji	misija	Ncfsl
,	,	Z
po	po	Sl
potrebi	potreba	Ncfsl
se	sebe	Px--sa
koristi	koristiti	Vmr3s
i	i	Cc
sljedeća	sljedeći	Agpfsny
opća	opći	Agpfsny
letačka	letački	Agpfsny
dokumentacija	dokumentacija	Ncfsn
:	:	Z

–	–	Agpmsny
dnevnik	dnevnik	Ncmsn
GRB-a	GRB	Npmsg

–	–	Z
knjiga	knjiga	Ncfsn
prevoženja	prevoženje	Ncnsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
U	u	Sl
postrojbama	postrojba	Ncfpl
HRZ-a	HRZ	Npmsg
i	i	Cc
PZO-a	PZO	Npmsg
koje	koji	Pi-fpn
provode	provoditi	Vmr3p
izobrazbu	izobrazba	Ncfsa
učenika	učenik	Ncmpg
letača	letač	Ncmpg
i	i	Cc
polaznika	polaznik	Ncmpg
Specijalizacije	specijalizacija	Ncfsg
za	za	Sa
nastavnika	nastavnik	Ncmpg
letenja	letenje	Ncnsg
,	,	Z
uz	uz	Sa
opću	opći	Agpfsay
letačku	letački	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
obvezno	obvezno	Rgp
se	sebe	Px--sa
vodi	voditi	Vmr3s
i	i	Cc
posebna	poseban	Agpfsny
letačka	letački	Agpfsny
dokumentacija	dokumentacija	Ncfsn
:	:	Z

–		Agpfpgy
knjiga	knjiga	Ncfpg
metodičkih	metodički	Agpnpgy
savjetovanja	savjetovanje	Ncnpg

–	–	Z
knjiga	knjiga	Ncfsn
praćenja	praćenje	Ncnsg
obuke	obuka	Ncfsg
letača	letač	Ncmpg

–	–	Sa
plan	plan	Ncmsan
i	i	Cc
sadržaj	sadržaj	Ncmsn
nastavnog	nastavni	Agpmsgy
sata	sat	Ncmsg
za	za	Sa
letačku	letački	Agpfsay
obuku	obuka	Ncfsa

–	–	Sa
plan	plan	Ncmsan
i	i	Cc
sadržaj	sadržaj	Ncmsn
nastavnog	nastavni	Agpmsgy
sata	sat	Ncmsg
za	za	Sa
primijenjenu	primijeniti	Agpfsay
teoriju	teorija	Ncfsa
.	.	Z

Pričuva	pričuva	Ncfsn
goriva	gorivo	Ncnsg

Članak	članak	Ncmsn
6.	6.	Mdo

Prilikom	prilikom	Sg
planiranja	planiranje	Ncnsg
letenja	letenje	Ncnsg
primjenjuju	primjenjivati	Vmr3p
se	sebe	Px--sa
uvjeti	uvjet	Ncmpn
o	o	Sl
minimalnim	minimalan	Agpfply
količinama	količina	Ncfpl
pričuve	pričuva	Ncfsg
goriva	gorivo	Ncnsg
utvrđene	utvrditi	Appfpny
Priručnikom	priručnik	Ncmsi
za	za	Sa
uporabu	uporaba	Ncfsa
određenog	određen	Agpmsgy
tipa	tip	Ncmsg
vojnog	vojni	Agpmsgy
zrakoplova	zrakoplov	Ncmsg
i	i	Cc
/	/	Z
ili	ili	Cc
Uputom	uputa	Ncfsi
za	za	Sa
provedbu	provedba	Ncfsa
namjenskih	namjenski	Agpfpgy
zadaća	zadaća	Ncfpg
određenog	određen	Agpmsgy
tipa	tip	Ncmsg
vojnog	vojni	Agpmsgy
zrakoplova	zrakoplov	Ncmsg
.	.	Z

Mjerne	mjerni	Agpfpny
jedinice	jedinica	Ncfpn

Članak	članak	Ncmsn
7.	7.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
U	u	Sl
vojnom	vojni	Agpnsly
letenju	letenje	Ncnsl
primjenjuju	primjenjivati	Vmr3p
se	sebe	Px--sa
sljedeće	sljedeći	Agpfsgy
mjerne	mjerni	Agpfsgy
jedinice	jedinica	Ncfsg
za	za	Sa
:	:	Z

–	–	Sa
navigaciju	navigacija	Ncfsa
:	:	Z
nautička	nautički	Agpfsny
milja	milja	Ncfsn
(	(	Z
NM	NM	Npmsn
)	)	Z
i	i	Cc
desetice	desetica	Ncfpa
i	i	Cc
/	/	Z
ili	ili	Cc
kilometri	kilometar	Ncmpn
(	(	Z
km	km	Ncfpn
)	)	Z
i	i	Cc
desetice	desetica	Ncfpn

–	–	Qo
kraće	kratak	Agcfsgy
udaljenosti	udaljenost	Ncfsg
(	(	Z
do	do	Sg
4	4	Mdc
000	000	Mdc
m	m	Y
)	)	Z
,	,	Z
posebno	poseban	Agpnsny
za	za	Sa
mjerenje	mjerenje	Ncnsa
udaljenosti	udaljenost	Ncfsg
na	na	Sl
aerodromima	aerodrom	Ncmpl
:	:	Z
metar	metar	Ncmsn
(	(	Z
m	m	Xf
)	)	Z

–	–	Pd-fsa
apsolutnu	apsolutan	Agpfsay
visinu	visina	Ncfsa
(	(	Z
altitude	altituda	Ncfpn
)	)	Z
i	i	Cc
relativnu	relativan	Agpfsay
visinu	visina	Ncfsa
(	(	Z
height	height	Xf
)	)	Z
:	:	Z
stopa	stopa	Ncfsn
(	(	Z
ft	ft	Xf
)	)	Z
ili	ili	Cc
metri	metar	Ncmpn
(	(	Z
m	m	Npmsn
)	)	Z

–	i	Agpfsay
nadmorsku	nadmorski	Agpfsay
visinu	visina	Ncfsa
(	(	Z
elevation	elevation	Xf
)	)	Z
:	:	Z
stopa	stopa	Ncfsn
(	(	Z
ft	ft	Xf
)	)	Z
ili	ili	Cc
metri	metar	Ncmpn
(	(	Z
m	m	Npmsn
)	)	Z

–	–	Pd-fsa
horizontalnu	horizontalan	Agpfsay
brzinu	brzina	Ncfsa
,	,	Z
uključujući	uključivati	Rr
brzinu	brzina	Ncfsa
vjetra	vjetar	Ncmsg
:	:	Z
kilometara	kilometar	Ncmpg
na	na	Sa
sat	sat	Ncmsan
(	(	Z
km	km	Y
/	/	Z
h	h	Y
)	)	Z
,	,	Z
metara	metar	Ncmpg
u	u	Sl
sekundi	sekunda	Ncfsl
(	(	Z
m	m	Ncfsl
/	/	Z
s	sa	Si
)	)	Z
,	,	Z
čvor	čvor	Ncmsn
(	(	Z
kt	kt	Ncmsn
)	)	Z
,	,	Z
Mach	Mach	Npmsn
(	(	Z
M	M	Npmsn
)	)	Z

–	–	Pd-fsa
vertikalnu	vertikalan	Agpfsay
brzinu	brzina	Ncfsa
:	:	Z
metara	metar	Ncmpg
u	u	Sl
sekundi	sekunda	Ncfsl
(	(	Z
m	m	Ncfsl
/	/	Z
s	sa	Si
)	)	Z
,	,	Z
stopa	stopa	Ncfsn
u	u	Sl
minuti	minuta	Ncfsl
(	(	Z
ft	fa	Ncfsl
/	/	Z
min	min	Y
)	)	Z

–	–	Z
smjer	smjer	Ncmsan
vjetra	vjetar	Ncmsg
kod	kod	Sg
uzlijetanja	uzlijetanje	Ncnsg
i	i	Cc
slijetanja	slijetanje	Ncnsg
:	:	Z
stupanj	stupanj	Ncmsn
(°)	(°)	Ncfpg
prema	prema	Sl
magnetskom	magnetski	Agpmsly
sjeveru	sjever	Ncmsl

–	–	Sa
smjer	smjer	Ncmsan
vjetra	vjetar	Ncmsg
:	:	Z
stupanj	stupanj	Ncmsn
(°)	(°)	Ncfpg
prema	prema	Sl
geografskom	geografski	Agpmsly
sjeveru	sjever	Ncmsl

–	–	Sa
vidljivost	vidljivost	Ncfsa
u	u	Sl
letu	let	Ncmsl
,	,	Z
pri	pri	Sl
tlu	tlo	Ncnsl
i	i	Cc
uzduž	uzduž	Sg
uzletno-sletne	uzletno-sletan	Agpfsgy
staze	staza	Ncfsg
:	:	Z
kilometar	kilometar	Ncmsn
ili	ili	Cc
metar	metar	Ncmsn
(	(	Z
km	km	Y
ili	ili	Cc
m	m	Y
)	)	Z

–	–	Sa
tlak	tlak	Ncmsan
zraka	zrak	Ncmsg
za	za	Sa
postavljanje	postavljanje	Ncnsa
barometarskog	barometarski	Agpmsgy
visinomjera	visinomjer	Ncmsg
:	:	Z
hektopascal	hektopascal	Ncmsn
(	(	Z
hPa	hPa	Npfsn
)	)	Z
,	,	Z
milimetara	milimetar	Ncmpg
žive	živa	Ncfsg
(	(	Z
mmHg	mmHg	Npmsn
)	)	Z
,	,	Z
inča	inč	Ncmsg
žive	živa	Ncfsg
(	(	Z
inHg	inHg	Npmsn
)	)	Z

–	–	Sa
temperaturu	temperatura	Ncfsa
:	:	Z
stupanj	stupanj	Ncmsn
Celsiusa	Celsius	Npmsg
(	(	Z
°	°	Z
C	C	X
)	)	Z

–	–	Sa
masu	masa	Ncfsa
ili	ili	Cc
težinu	težina	Ncfsa
:	:	Z
tone	tona	Ncfpa
(	(	Z
t	t	X
)	)	Z
,	,	Z
kilogrami	kilogram	Ncmpn
(	(	Z
kg	kg	Agpmpgy
)	)	Z
ili	ili	Cc
libre	libra	Ncfpa
(	(	Z
lbs	lba	Ncfpa
)	)	Z

–	i	Agpnsay
vrijeme	vrijeme	Ncnsa
:	:	Z
sat	sat	Ncmsn
,	,	Z
minuta	minuta	Ncfsn
,	,	Z
sekunda	sekunda	Ncfsn

–	–	Agpmsny
volumen	volumen	Ncmsn
:	:	Z
litre	litra	Ncfpn
(	(	Z
l	l	Qr
)	)	Z
i	i	Cc
američki	američki	Agpmpny
galoni	galon	Ncmpn
(	(	Z
US	US	Npmsn
gal	gal	Xf
)	)	Z
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
U	u	Sl
vojnom	vojni	Agpmsly
zračnom	zračan	Agpmsly
prometu	promet	Ncmsl
vrijeme	vrijeme	Ncnsn
se	sebe	Px--sa
mjeri	mjeriti	Vmr3s
i	i	Cc
određuje	određivati	Vmr3s
primjenom	primjena	Ncfsi
jedinstvenog	jedinstven	Agpnsgy
koordiniranog	koordinirati	Agpnsgy
vremena	vrijeme	Ncnsg
(	(	Z
Universal	Universal	Xf
Time	taj	Xf
Co-ordinated	Co-ordinated	Xf
–	–	Z
UTC	UTC	Npmsn
)	)	Z
ili	ili	Cc
lokalnog	lokalan	Agpnsgy
vremena	vrijeme	Ncnsg
(	(	Z
Local	Local	Xf
Time	taj	Xf
Co-ordinated	Co-ordinated	Xf
–	–	Z
LTC	LTC	Npmsn

II	ii	Mrc
.	.	Z

HRVATSKI	hrvatski	Agpmsny
ZRAČNI	zračan	Agpmsny
PROSTOR	prostor	Ncmsn

Pojmovi	pojam	Ncmpn
zračnog	zračan	Agpmsgy
prostora	prostor	Ncmsg

Članak	članak	Ncmsn
8.	8.	Mdo

