intervencija	intervencija	Ncfsn
psihoterapiju	psihoterapija	Ncfsa
,	,	Z
savjetovanje	savjetovanje	Ncnsa
4,16	4,16	Mdc
915,20	915,20	Mdc
PP004	PP004	Mdc
Ponovna	ponovan	Agpfsny
ambulantna	ambulantan	Agpfsny
psihijatrijska	psihijatrijski	Agpfsny
obrada	obrada	Ncfsn
djeteta	dijete	Ncnsg
/	/	Z
adolescenta	adolescent	Ncmsg
Provodi	provod	Agpmsny
doktor	doktor	Ncmsn
specijalist	specijalist	Ncmsn
ili	ili	Cc
subspec	subspec	Ncmsan
.	.	Z
dječje	dječji	Agpfpay
i	i	Cc
adolescentne	adolescentni	Agpfsgy
psihijatrije	psihijatrija	Ncfsg
,	,	Z
iznimno	iznimno	Rgp
psihijatar	psihijatar	Ncmsn
.	.	Z

Uključuje	uključivati	Vmr3s
intervju	intervju	Ncmsan
s	sa	Si
roditeljima	roditelj	Ncmpi
i	i	Cc
suportivnu	suportivan	Agpfsay
psihoterapiju	psihoterapija	Ncfsa
2,42	2,42	Mdc
532,40	532,40	Mdc
PP005	PP005	Mdc
Prva	prvi	Mlofsn
ambulantna	ambulantan	Agpfsny
psihijatrijska	psihijatrijski	Agpfsny
obrada	obrada	Ncfsn
djeteta	dijete	Ncnsg
/	/	Z
adolescenta	adolescent	Ncmsg
kod	kod	Sg
sumnje	sumnja	Ncfsg
na	na	Sa
kompleksnu	kompleksan	Agpfsay
psihičku	psihički	Agpfsay
traumu	trauma	Ncfsa
Samo	samo	Rgp
u	u	Sl
specijaliziranim	specijaliziran	Agpfply
ustanovama	ustanova	Ncfpl
i	i	Cc
klinikama	klinika	Ncfpl
.	.	Z

Provode	provod	Agpmsny
doktor	doktor	Ncmsn
specijalist	specijalist	Ncmsn
ili	ili	Cc
subspec	subspec	Ncmsan
.	.	Z
dječje	dječji	Agpfpay
i	i	Cc
adolescentne	adolescentni	Agpfsgy
psihijatrije	psihijatrija	Ncfsg
,	,	Z
iznimno	iznimno	Rgp
psihijatar	psihijatar	Ncmsn
.	.	Z

Uključuje	uključivati	Vmr3s
forenzični	forenzičan	Agpmsayn
intervju	intervju	Ncmsan
,	,	Z
opažanje	opažanje	Ncnsa
ponašanja	ponašanje	Ncnsg
,	,	Z
procjenu	procjena	Ncfsa
emocionalnog	emocionalan	Agpmsgy
i	i	Cc
socijalog	socijali	Agpmsgy
razvoja	razvoj	Ncmsg
,	,	Z
procjenu	procjena	Ncfsa
traumatiziranosti	traumatiziranost	Ncfsg
i	i	Cc
daljnjih	daljnji	Agpfpgy
intervencija	intervencija	Ncfpg
.	.	Z

Može	moći	Vmr3s
se	sebe	Px--sa
evidentirati	evidentirati	Vmn
pri	pri	Sl
prvom	prvi	Mlomsl
intervjuu	intervju	Ncmsl
.	.	Z

Uključuje	uključivati	Vmr3s
pisani	pisan	Agpmsayn
nalaz	nalaz	Ncmsan
5,57	5,57	Mdc
1.225,40	1.225,40	Mdc
PP006	PP006	Mdo
Konzultacija	konzultacija	Ncfsn
u	u	Sl
djelatnosti	djelatnost	Ncfsl
psihijatrije	psihijatrija	Ncfsg
Konzultacija	konzultacija	Ncfsn
na	na	Sa
traženje	traženje	Ncnsa
CZSS	CZSS	Npfsg
,	,	Z
odgojne	odgojni	Agpfsgy
ustanove	ustanova	Ncfsg
,	,	Z
sudova	sud	Ncmpg
osnovom	osnova	Ncfsi
uputnice	uputnica	Ncfsg
izabranog	izabran	Agpmsgy
doktora	doktor	Ncmsg
.	.	Z

Provodi	provoditi	Vmr3s
doktor	doktor	Ncmsn
specijalist	specijalist	Ncmsn
psihijatar	psihijatar	Ncmsn
u	u	Sl
suradnji	suradnja	Ncfsl
s	sa	Si
kliničkim	klinički	Agpmsiy
psiholog	psiholog	Ncmsn
/	/	Z
psiholog	psiholog	Ncmsn
,	,	Z
radni	radni	Agpmsny
terapeut	terapeut	Ncmsn
,	,	Z
socijalni	socijalan	Agpmsny
pedagog	pedagog	Ncmsn
,	,	Z
edukacijski	edukacijski	Agpmsny
rehabilitator	rehabilitator	Ncmsn
,	,	Z
socijalni	socijalan	Agpmsny
radnik	radnik	Ncmsn
.	.	Z

Isključuje	isključivati	Vmr3s
konzultaciju	konzultacija	Ncfsa
na	na	Sa
traženje	traženje	Ncnsa
drugog	drugi	Mlomsg
spcijalista	spcijalist	Ncmsg
.	.	Z
2,60	2,60	Mdc
572,00	572,00	Mdc
PP007	PP007	Mdc
Timska	timski	Agpfsny
konzultacija	konzultacija	Ncfsn
proširena	proširiti	Appfsny
(	(	Z
9	9	Mdc
)	)	Z
Provodi	provoditi	Vmr3s
dr.	dr.	Y
specijalist	specijalist	Ncmsn
ili	ili	Cc
subspec	subspec	Ncmsan
.	.	Z
i	i	Cc
suradnici	suradnik	Ncmpn
:	:	Z
klinički	klinički	Agpmsny
psiholog	psiholog	Ncmsn
/	/	Z
psiholog	psiholog	Ncmsn
,	,	Z
radni	radni	Agpmsny
terapeut	terapeut	Ncmsn
,	,	Z
socijalni	socijalan	Agpmsny
pedagog	pedagog	Ncmsn
,	,	Z
logoped	logoped	Ncmsn
,	,	Z
ed	ed	Ncmsan
.	.	Z
rehabilitator	rehabilitator	Ncmsn
,	,	Z
socijalni	socijalan	Agpmsny
radnik	radnik	Ncmsn
i	i	Cc
medicinska	medicinski	Agpfsny
sestra	sestra	Ncfsn
.	.	Z

Uključuje	uključivati	Vmr3s
pisani	pisan	Agpmsayn
nalaz	nalaz	Ncmsan
konzultacije	konzultacija	Ncfsg
.	.	Z

Samo	samo	Rgp
u	u	Sl
visokospecijaliziranim	visokospecijaliziran	Agpfply
ustanovama	ustanova	Ncfpl
i	i	Cc
klinikama	klinika	Ncfpl
.	.	Z

Najmanje	malo	Rgs
tri	tri	Mlc
VSS	vsi	Agpfsgy
i	i	Cc
dr.	dr.	Y
spec.	spec.	Y
2,50	2,50	Mdc
550,00	550,00	Mdc
PP008	PP008	Mdc
Timska	timski	Agpfsny
konzultacija	konzultacija	Ncfsn
više	mnogo	Rgc
psihijatara	psihijatar	Ncmpg
i	i	Cc
suradnika	suradnik	Ncmpg
,	,	Z
proširena	proširiti	Appfsny
(	(	Z
9	9	Mdc
)	)	Z
Uključuje	uključivati	Vmr3s
više	mnogo	Rgc
psihijatara	psihijatar	Ncmpg
,	,	Z
psihologa	psiholog	Ncmpg
,	,	Z
radnog	radni	Agpmsgy
terapeuta	terapeut	Ncmsg
,	,	Z
socijalnog	socijalan	Agpmsgy
pedagoga	pedagog	Ncmsg
,	,	Z
logopeda	logoped	Ncmpg
,	,	Z
edukacijskog	edukacijski	Agpmsgy
rehabilitatora	rehabilitator	Ncmsg
,	,	Z
socijalnog	socijalan	Agpmsayy
radnika	radnik	Ncmsay
.	.	Z

Samo	samo	Rgp
za	za	Sa
potrebe	potreba	Ncfpa
vještačenja	vještačenje	Ncnsg
i	i	Cc
odluke	odluka	Ncfsg
o	o	Sl
daljnjem	daljnji	Agpnsly
liječenju	liječenje	Ncnsl
.	.	Z

Uključuje	uključivati	Vmr3s
pisanu	pisan	Agpfsay
ekspertizu	ekspertiza	Ncfsa
.	.	Z

Samo	samo	Rgp
u	u	Sl
visokospecijaliziranim	visokospecijaliziran	Agpfply
ustanovama	ustanova	Ncfpl
i	i	Cc
klinikama	klinika	Ncfpl
.	.	Z

Obračunava	obračunavati	Vmr3s
se	sebe	Px--sa
po	po	Sl
pacijentu	pacijent	Ncmsl
.	.	Z

