propisane	propisati	Appfpny
sadržati	sadržati	Vmn
uputu	uputa	Ncfsa
djetetu	dijete	Ncnsd
da	da	Cs
zatraži	zatražiti	Vmr3s
odgovarajuće	odgovarajući	Agpnsay
liječenje	liječenje	Ncnsa
,	,	Z
kao	kao	Cs
i	i	Cc
da	da	Cs
se	sebe	Px--sa
uključi	uključiti	Vmr3s
u	u	Sa
druge	drugi	Mlofpa
zdravstvene	zdravstven	Agpfpay
,	,	Z
obrazovne	obrazovni	Agpfsgy
ili	ili	Cc
psihosocijalne	psihosocijalan	Agpmpay
programe	program	Ncmpa
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Rješenjem	rješenje	Ncnsi
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
sud	sud	Ncmsan
će	htjeti	Var3s
odlučiti	odlučiti	Vmn
i	i	Cc
o	o	Sl
uzdržavanju	uzdržavanje	Ncnsl
djeteta	dijete	Ncnsg
od	od	Sg
strane	strana	Ncfsg
roditelja	roditelj	Ncmpg
ako	ako	Cs
je	biti	Var3s
to	taj	Pd-nsn
posebni	poseban	Agpmsny
skrbnik	skrbnik	Ncmsn
djeteta	dijete	Ncnsg
ili	ili	Cc
centar	centar	Ncmsn
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
u	u	Sa
ime	ime	Ncnsa
djeteta	dijete	Ncnsg
zahtijevao	zahtijevati	Vmp-sm
.	.	Z

Na	na	Sa
određivanje	određivanje	Ncnsa
uzdržavanja	uzdržavanje	Ncnsg
na	na	Sa
odgovarajući	odgovarajući	Agpmsayn
se	sebe	Px--sa
način	način	Ncmsan
primjenjuju	primjenjivati	Vmr3p
odredbe	odredba	Ncfpn
članaka	članak	Ncmpg
474.	474.	Mdo
do	do	Sg
477.	477.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

Trajanje	trajanje	Ncnsn
mjere	mjera	Ncfsg
i	i	Cc
izmjena	izmjena	Ncfsn
rješenja	rješenje	Ncnsg

Članak	članak	Ncmsn
167.	167.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Mjera	mjera	Ncfsn
povjeravanja	povjeravanje	Ncnsg
djeteta	dijete	Ncnsg
s	sa	Si
problemima	problem	Ncmpi
u	u	Sl
ponašanju	ponašanje	Ncnsl
određuje	određivati	Vmr3s
se	sebe	Px--sa
u	u	Sl
trajanju	trajanje	Ncnsl
od	od	Sg
jedne	jedan	Agpfsgy
godine	godina	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Sud	sud	Ncmsn
može	moći	Vmr3s
u	u	Sl
posebno	posebno	Rgp
opravdanim	opravdati	Agpmply
slučajevima	slučaj	Ncmpl
produljiti	produljiti	Vmn
trajanje	trajanje	Ncnsa
ove	ovaj	Pd-fsg
mjere	mjera	Ncfsg
u	u	Sl
izvanparničnom	izvanparnični	Agpmsly
postupku	postupak	Ncmsl
na	na	Sa
prijedlog	prijedlog	Ncmsan
djeteta	dijete	Ncnsg
,	,	Z
roditelja	roditelj	Ncmpg
,	,	Z
centra	centar	Ncmsg
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
ili	ili	Cc
državnog	državni	Agpmsgy
odvjetnika	odvjetnik	Ncmsg
za	za	Sa
mladež	mladež	Ncfsa
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Centar	centar	Ncmsn
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
dužan	dužan	Agpmsnn
je	biti	Var3s
najkasnije	kasno	Rgs
trideset	trideset	Mlc
dana	dan	Ncmpg
prije	prije	Sg
isteka	istek	Ncmsg
roka	rok	Ncmsg
iz	iz	Sg
stavaka	stavak	Ncmpg
1.	1.	Mdo
i	i	Cc
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
podnijeti	podnijeti	Vmn
sudu	sud	Ncmsd
završno	završan	Agpnsny
izvješće	izvješće	Ncnsn
o	o	Sl
djetetu	dijete	Ncnsl
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Sud	sud	Ncmsn
može	moći	Vmr3s
u	u	Sl
izvanparničnom	izvanparnični	Agpmsly
postupku	postupak	Ncmsl
na	na	Sa
prijedlog	prijedlog	Ncmsan
centra	centar	Ncmsg
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
ili	ili	Cc
drugih	drugi	Mlofpg
osoba	osoba	Ncfpg
iz	iz	Sg
članka	članak	Ncmsg
167.	167.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
ukinuti	ukinuti	Vmn
mjeru	mjera	Ncfsa
povjeravanja	povjeravanje	Ncnsg
djeteta	dijete	Ncnsg
s	sa	Si
problemima	problem	Ncmpi
u	u	Sl
ponašanju	ponašanje	Ncnsl
radi	raditi	Vmr3s
pomoći	pomoći	Vmn
u	u	Sl
odgoju	odgoj	Ncmsl
i	i	Cc
prije	prije	Sg
isteka	istek	Ncmsg
vremena	vrijeme	Ncnsg
iz	iz	Sg
stavaka	stavak	Ncmpg
1.	1.	Mdo
i	i	Cc
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
ako	ako	Cs
prema	prema	Sl
izvješću	izvješće	Ncnsl
o	o	Sl
djetetu	dijete	Ncnsl
i	i	Cc
roditeljima	roditelj	Ncmpl
prestanu	prestati	Vmr3p
postojati	postojati	Vmn
razlozi	razlog	Ncmpn
zbog	zbog	Sg
kojih	koji	Pi-mpg
je	biti	Var3s
mjera	mjera	Ncfsn
određena	odrediti	Appfsny
.	.	Z

Prava	prav	Agpfsny
i	i	Cc
dužnosti	dužnost	Ncfsg
roditelja	roditelj	Ncmpg
i	i	Cc
djeteta	dijete	Ncnsg

Članak	članak	Ncmsn
168.	168.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Dok	dok	Cs
traje	trajati	Vmr3s
mjera	mjera	Ncfsn
povjeravanja	povjeravanje	Ncnsg
djeteta	dijete	Ncnsg
s	sa	Si
problemima	problem	Ncmpi
u	u	Sl
ponašanju	ponašanje	Ncnsl
,	,	Z
roditelji	roditelj	Ncmpn
imaju	imati	Vmr3p
sva	sav	Agpnpay
prava	pravo	Ncnpa
i	i	Cc
dužnosti	dužnost	Ncfsl
u	u	Sl
ostvarivanju	ostvarivanje	Ncnsl
roditeljske	roditeljski	Agpfsgy
skrbi	skrb	Ncfsg
o	o	Sl
djetetu	dijete	Ncnsl
,	,	Z
osim	osim	Sg
prava	pravo	Ncnsg
na	na	Sa
stanovanje	stanovanje	Ncnsa
s	sa	Si
djetetom	dijete	Ncnsi
i	i	Cc
s	sa	Si
tim	taj	Pd-nsi
u	u	Sl
vezi	veza	Ncfsl
na	na	Sa
svakodnevnu	svakodnevan	Agpfsay
skrb	skrb	Ncfsa
o	o	Sl
djetetu	dijete	Ncnsl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Dok	dok	Cs
traje	trajati	Vmr3s
mjera	mjera	Ncfsn
povjeravanja	povjeravanje	Ncnsg
djeteta	dijete	Ncnsg
s	sa	Si
problemima	problem	Ncmpi
u	u	Sl
ponašanju	ponašanje	Ncnsl
,	,	Z
roditelji	roditelj	Ncmpn
imaju	imati	Vmr3p
pravo	pravo	Ncnsa
i	i	Cc
dužnost	dužnost	Ncfsn
ostvarivati	ostvarivati	Vmn
osobne	osoban	Agpmpay
odnose	odnos	Ncmpa
s	sa	Si
djetetom	dijete	Ncnsi
i	i	Cc
plaćati	plaćati	Vmn
uzdržavanje	uzdržavanje	Ncnsa
za	za	Sa
dijete	dijete	Ncnsa
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Dok	dok	Cs
traje	trajati	Vmr3s
mjera	mjera	Ncfsn
povjeravanja	povjeravanje	Ncnsg
djeteta	dijete	Ncnsg
s	sa	Si
problemima	problem	Ncmpi
u	u	Sl
ponašanju	ponašanje	Ncnsl
,	,	Z
dijete	dijete	Ncnsn
ima	imati	Vmr3s
dužnost	dužnost	Ncfsa
ponašati	ponašati	Vmn
se	sebe	Px--sa
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odlukom	odluka	Ncfsi
suda	sud	Ncmsg
i	i	Cc
uputama	uputa	Ncfpi
osoba	osoba	Ncfpg
kojima	koji	Pi-fpl
je	biti	Var3s
povjerena	povjeriti	Appfsny
svakodnevna	svakodnevan	Agpfsny
skrb	skrb	Ncfsn
,	,	Z
odgoj	odgoj	Ncmsn
i	i	Cc
liječenje	liječenje	Ncnsa
djeteta	dijete	Ncnsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Dok	dok	Cs
traje	trajati	Vmr3s
mjera	mjera	Ncfsn
povjeravanja	povjeravanje	Ncnsg
djeteta	dijete	Ncnsg
s	sa	Si
problemima	problem	Ncmpi
u	u	Sl
ponašanju	ponašanje	Ncnsl
,	,	Z
dijete	dijete	Ncnsn
ima	imati	Vmr3s
pravo	pravo	Ncnsa
na	na	Sa
ostvarivanje	ostvarivanje	Ncnsa
osobnih	osoban	Agpmpgy
odnosa	odnos	Ncmpg
s	sa	Si
roditeljima	roditelj	Ncmpi
i	i	Cc
drugim	drugi	Mlofpl
bliskim	blizak	Agpfply
osobama	osoba	Ncfpl
sukladno	sukladno	Rgp
odluci	odluka	Ncfsl
suda	sud	Ncmsg
i	i	Cc
uputama	uputa	Ncfpi
osoba	osoba	Ncfpg
kojima	koji	Pi-fpl
je	biti	Var3s
povjerena	povjeriti	Appfsny
svakodnevna	svakodnevan	Agpfsny
skrb	skrb	Ncfsn
,	,	Z
odgoj	odgoj	Ncmsn
i	i	Cc
liječenje	liječenje	Ncnsa
djeteta	dijete	Ncnsg
.	.	Z

Dužnosti	dužnost	Ncfpn
centra	centar	Ncmsg
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
,	,	Z
izvješće	izvješće	Ncnsn
o	o	Sl
djetetu	dijete	Ncnsl
i	i	Cc
prijedlozi	prijedlog	Ncmpn

Članak	članak	Ncmsn
169.	169.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Centar	centar	Ncmsn
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
će	htjeti	Var3s
trideset	trideset	Mlc
dana	dan	Ncmpg
prije	prije	Sg
isteka	istek	Ncmsg
roka	rok	Ncmsg
na	na	Sa
koji	koji	Pi-msan
je	biti	Var3s
mjera	mjera	Ncfsn
povjeravanja	povjeravanje	Ncnsg
djeteta	dijete	Ncnsg
s	sa	Si
problemima	problem	Ncmpi
u	u	Sl
ponašanju	ponašanje	Ncnsl
određena	odrediti	Appfsny
izraditi	izraditi	Vmn
izvješće	izvješće	Ncnsa
o	o	Sl
djetetu	dijete	Ncnsl
,	,	Z
a	a	Cc
po	po	Sl
potrebi	potreba	Ncfsl
i	i	Cc
o	o	Sl
roditeljima	roditelj	Ncmpl
,	,	Z
te	te	Cc
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
rezultatima	rezultat	Ncmpi
izvješća	izvješće	Ncnsg
predložiti	predložiti	Vmn
sudu	sud	Ncmsd
povratak	povratak	Ncmsan
djeteta	dijete	Ncnsg
u	u	Sa
obitelj	obitelj	Ncfsa
ili	ili	Cc
produljenje	produljenje	Ncnsa
mjere	mjera	Ncfsg
za	za	Sa
iduću	idući	Agpfsay
godinu	godina	Ncfsa
dana	dan	Ncmpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Izvješće	izvješće	Ncnsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
centar	centar	Ncmsan
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
dostavlja	dostavljati	Vmr3s
,	,	Z
osim	osim	Cs
sudu	sud	Ncmsl
,	,	Z
roditeljima	roditelj	Ncmpl
,	,	Z
posebnom	poseban	Agpmsly
skrbniku	skrbnik	Ncmsl
djeteta	dijete	Ncnsg
i	i	Cc
državnom	državni	Agpmsly
odvjetniku	odvjetnik	Ncmsl
za	za	Sa
mladež	mladež	Ncfsa
ako	ako	Cs
je	biti	Var3s
postupak	postupak	Ncmsn
bio	biti	Vap-sm
pokrenut	pokrenuti	Appmsnn
na	na	Sa
njegov	njegov	Ps3msan
prijedlog	prijedlog	Ncmsan
.	.	Z

e	e	I
)	)	Z
Lišenje	lišenje	Ncnsn
prava	pravo	Ncnsg
na	na	Sa
roditeljsku	roditeljski	Agpfsay
skrb	skrb	Ncfsa

Opća	opći	Agpfsny
pretpostavka	pretpostavka	Ncfsn
za	za	Sa
određivanje	određivanje	Ncnsa
mjere	mjera	Ncfsg

Članak	članak	Ncmsn
170.	170.	Mdo

Sud	sud	Ncmsn
će	htjeti	Var3s
roditelja	roditelj	Ncmpg
lišiti	lišiti	Vmn
prava	pravo	Ncnpa
na	na	Sa
roditeljsku	roditeljski	Agpfsay
skrb	skrb	Ncfsa
u	u	Sl
izvanparničnom	izvanparnični	Agpmsly
postupku	postupak	Ncmsl
kad	kad	Cs
utvrdi	utvrditi	Vmr3s
da	da	Cs
roditelj	roditelj	Ncmsn
zloupotrebljava	zloupotrebljavati	Vmr3s
ili	ili	Cc
grubo	grubo	Rgp
krši	kršiti	Vmr3s
roditeljsku	roditeljski	Agpfsay
odgovornost	odgovornost	Ncfsa
,	,	Z
dužnost	dužnost	Ncfsn
i	i	Cc
prava	prav	Agpfsny
.	.	Z

Posebne	poseban	Agpfpny
pretpostavke	pretpostavka	Ncfpn
za	za	Sa
određivanje	određivanje	Ncnsa
mjere	mjera	Ncfsg

Članak	članak	Ncmsn
171.	171.	Mdo

Osim	osim	Cs
u	u	Sl
slučaju	slučaj	Ncmsl
iz	iz	Sg
članka	članak	Ncmsg
170.	170.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
sud	sud	Ncmsn
u	u	Sl
izvanparničnom	izvanparnični	Agpmsly
postupku	postupak	Ncmsl
roditelja	roditelj	Ncmpg
može	moći	Vmr3s
lišiti	lišiti	Vmn
prava	pravo	Ncnpa
na	na	Sa
roditeljsku	roditeljski	Agpfsay
skrb	skrb	Ncfsa
:	:	Z

1.	1.	Mdo
ako	ako	Cs
je	biti	Var3s
napustio	napustiti	Vmp-sm
dijete	dijete	Ncnsa

2.	2.	Mdo

