Porezne	porezni	Agpfpny
sposobnosti	sposobnost	Ncfsl
broda	brod	Ncmsg
za	za	Sa
plovidbu	plovidba	Ncfsa
;	;	Z

v.	v.	Sg
preslike	preslika	Ncfsg
računa	račun	Ncmpg
(	(	Z
izdanih	izdan	Agpmpgy
od	od	Sg
strane	strana	Ncfsg
registrirane	registrirati	Appfsgy
pravne	pravni	Agpfsgy
ili	ili	Cc
fizičke	fizički	Agpfpay
osobe	osoba	Ncfpa
za	za	Sa
djelatnost	djelatnost	Ncfsa
trgovine	trgovina	Ncfsg
,	,	Z
odnosno	odnosno	Rgp
od	od	Sg
proizvođača	proizvođač	Ncmsg
)	)	Z
za	za	Sa
nove	nov	Agpmpay
ribolovne	ribolovan	Agpmpay
alate	alat	Ncmpa
ili	ili	Cc
novu	nov	Agpfsay
opremu	oprema	Ncfsa
ili	ili	Cc
nove	nov	Agpmpay
pogonske	pogonski	Agpmpay
strojeve	stroj	Ncmpa
izdani	izdati	Appmpny
u	u	Sl
periodu	period	Ncmsl
kako	kako	Cs
je	biti	Var3s
definirano	definirati	Appnsny
u	u	Sl
članku	članak	Ncmsl
2.	2.	Mdo
stavcima	stavak	Ncmpl
4.	4.	Mdo
i	i	Cc
5.	5.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
do	do	Sg
dana	dan	Ncmpg
podnošenja	podnošenje	Ncnsg
Zahtjeva	zahtjev	Ncmsg
.	.	Z

Na	na	Sl
preslikama	preslika	Ncfpl
računa	račun	Ncmsg
mora	morati	Vmr3s
biti	biti	Van
jasno	jasno	Rgp
navedena	navesti	Appfsny
specifikacija	specifikacija	Ncfsn
ulaganja	ulaganje	Ncnsg
(	(	Z
primjerice	primjerice	Rgp
vrsta	vrsta	Ncfsn
mreže	mreža	Ncfsg
,	,	Z
vrsta	vrsta	Ncfsn
mrežnog	mrežni	Agpmsgy
tega	teg	Ncmsg
,	,	Z
debljina	debljina	Ncfsn
konca	konac	Ncmsg
,	,	Z
veličina	veličina	Ncfsn
oka	oko	Ncnsg
,	,	Z
snaga	snaga	Ncfsn
i	i	Cc
broj	broj	Ncmsn
okretaja	okretaj	Ncmpg
motora	motor	Ncmpg
)	)	Z
.	.	Z

Ako	ako	Cs
se	sebe	Px--sa
radi	raditi	Vmr3s
o	o	Sl
dobavljaču	dobavljač	Ncmsl
iz	iz	Sg
inozemstva	inozemstvo	Ncnsg
,	,	Z
preslike	preslika	Ncfsg
računa	račun	Ncmsg
moraju	morati	Vmr3p
biti	biti	Van
prevedene	prevesti	Appfpny
na	na	Sa
hrvatski	hrvatski	Agpmsayn
jezik	jezik	Ncmsan
,	,	Z
odnosno	odnosno	Rgp
mora	morati	Vmr3s
se	sebe	Px--sa
dostaviti	dostaviti	Vmn
kratak	kratak	Agpmsann
opis	opis	Ncmsan
stavaka	stavak	Ncmpg
sa	sa	Sg
preslika	preslika	Ncfpg
računa	račun	Ncmsg
na	na	Sl
hrvatskom	hrvatski	Agpmsly
jeziku	jezik	Ncmsl
;	;	Z

vi	vi	Pp2-pn
.	.	Z
bankovne	bankovan	Agpmpay
dnevne	dnevni	Agpmpay
informativne	informativan	Agpmpay
izvatke	izvadak	Ncmpa
o	o	Sl
prometu	promet	Ncmsl
i	i	Cc
stanju	stanje	Ncnsl
računa	račun	Ncmsg
za	za	Sa
tuzemna	tuzeman	Agpnpay
plaćanja	plaćanje	Ncnpa
;	;	Z

vii	vii	Mrc
.	.	Z
dokument	dokument	Ncmsn
/	/	Z
potvrda	potvrda	Ncfsn
banke	banka	Ncfsg
koja	koji	Pi-fsn
dokazuje	dokazivati	Vmr3s
plaćanje	plaćanje	Ncnsa
u	u	Sa
inozemstvo	inozemstvo	Ncnsa
u	u	Sl
stranoj	stran	Agpfsly
valuti	valuta	Ncfsl
(	(	Z
SWIFT	Swift	Npmsn
)	)	Z
.	.	Z

Svi	sav	Agpmpny
iznosi	iznos	Ncmpn
iskazani	iskazati	Appmpny
u	u	Sl
stranoj	stran	Agpfsly
valuti	valuta	Ncfsl
trebaju	trebati	Vmr3p
se	sebe	Px--sa
preračunati	preračunati	Vmn
u	u	Sa
kune	kuna	Ncfpa
na	na	Sa
dan	dan	Ncmsan
izdavanja	izdavanje	Ncnsg
računa	račun	Ncmsg
po	po	Sl
srednjem	srednji	Agpmsly
tečaju	tečaj	Ncmsl
Hrvatske	hrvatski	Agpfsgy
narodne	narodni	Agpfsgy
banke	banka	Ncfsg
;	;	Z

viii	viii	Mrc
.	.	Z
karton	karton	Ncmsn
deponiranih	deponirati	Agpmpgy
potpisa	potpis	Ncmpg
/	/	Z
bankovna	bankovan	Agpfsny
potvrda	potvrda	Ncfsn
za	za	Sa
žiro-račun	žiro-račun	Ncmsan
na	na	Sa
koji	koji	Pi-msan
će	htjeti	Var3s
se	sebe	Px--sa
uplatiti	uplatiti	Vmn
potpora	potpora	Ncfsn
,	,	Z
te	te	Cc
za	za	Sa
sve	sav	Agpmpay
žiro-račune	žiro-račun	Ncmpa
s	sa	Sg
kojih	koji	Pi-mpg
su	biti	Var3p
vršena	vršiti	Appnpny
plaćanja	plaćanje	Ncnpn
;	;	Z

ix	IX	Mrc
.	.	Z
izjavu	izjava	Ncfsa
banke	banka	Ncfsg
o	o	Sl
plaćenim	platiti	Agpmply
računima	račun	Ncmpl
ako	ako	Cs
su	biti	Var3p
plaćanja	plaćanje	Ncnpn
izvršena	izvršiti	Appnpny
putem	put	Sg
kredita	kredit	Ncmsg
,	,	Z
ne	ne	Qz
starija	star	Agcfsny
od	od	Sg
30	30	Mdc
dana	dan	Ncmpg
na	na	Sa
dan	dan	Ncmsan
podnošenja	podnošenje	Ncnsg
potpunog	potpun	Agpmsgy
Zahtjeva	zahtjev	Ncmsg
;	;	Z

x.	xi	Agpfsny
preslika	preslika	Ncfsn
ugovora	ugovor	Ncmsg
o	o	Sl
kreditu	kredit	Ncmsl
vezanih	vezan	Agpmpgy
uz	uz	Sa
plaćanje	plaćanje	Ncnsa
(	(	Z
ako	ako	Cs
je	biti	Var3s
plaćanje	plaćanje	Ncnsn
izvršeno	izvršiti	Appnsny
putem	put	Sg
kredita	kredit	Ncmsg
)	)	Z
.	.	Z

b	b	Npfsn
)	)	Z
Dodatna	dodatan	Agpfsny
dokumentacija	dokumentacija	Ncfsn
:	:	Z

–	–	Sg
druga	drugi	Mlofsn
odgovarajuća	odgovarajući	Agpfsny
dokumentacija	dokumentacija	Ncfsn
kojom	koji	Pi-fsi
se	sebe	Px--sa
nedvojbeno	nedvojbeno	Rgp
dokazuju	dokazivati	Vmr3p
događaji	događaj	Ncmpn
iz	iz	Sg
članka	članak	Ncmsg
10.	10.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
točke	točka	Ncfsg
b	b	X
)	)	Z
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Dokumentacija	dokumentacija	Ncfsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
podnosi	podnositi	Vmr3s
se	sebe	Px--sa
u	u	Sl
originalu	original	Ncmsl
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Iznimno	iznimno	Rgp
od	od	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
ukoliko	ukoliko	Cs
podnositelj	podnositelj	Ncmsn
podnosi	podnositi	Vmr3s
više	mnogo	Rgc
Zahtjeva	zahtjev	Ncmpg
,	,	Z
uz	uz	Sa
jedan	jedan	Mlcmsan
Zahtjev	zahtjev	Ncmsan
uz	uz	Sa
napomenu	napomena	Ncfsa
,	,	Z
može	moći	Vmr3s
podnijeti	podnijeti	Vmn
preslike	preslika	Ncfpa
dokumentacije	dokumentacija	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
točki	točka	Ncfpg
ii	ii	Mrc
,	,	Z
vii	vii	Mrc
,	,	Z
viii	viii	Mrc
,	,	Z
ix	IX	Mrc
i	i	Cc
x		Npmsg
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Uprava	uprava	Ncfsn
ribarstva	ribarstvo	Ncnsg
može	moći	Vmr3s
Zahtjevom	zahtjev	Ncmsi
za	za	Sa
dopunu	dopuna	Ncfsa
od	od	Sg
podnositelja	podnositelj	Ncmpg
tražiti	tražiti	Vmn
dostavljanje	dostavljanje	Ncnsa
dodatne	dodatan	Agpfsgy
dokumentacije	dokumentacija	Ncfsg
,	,	Z
obrazloženje	obrazloženje	Ncnsn
,	,	Z
tumačenje	tumačenje	Ncnsn
ili	ili	Cc
ispravak	ispravak	Ncmsan
podataka	podatak	Ncmpg
potrebnih	potreban	Agpmpgy
za	za	Sa
dovršenje	dovršenje	Ncnsa
obrade	obrada	Ncfsg
Zahtjeva	zahtjev	Ncmpg
.	.	Z

Zaprimanje	zaprimanje	Ncnsn
i	i	Cc
obrada	obrada	Ncfsn
Zahtjeva	zahtjev	Ncmpg

Članak	članak	Ncmsn
14.	14.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Prilikom	prilikom	Sg
započinjanja	započinjanje	Ncnsg
obrade	obrada	Ncfsg
zaprimljenih	zaprimiti	Agpmpgy
Zahtjeva	zahtjev	Ncmpg
obavlja	obavljati	Vmr3s
se	sebe	Px--sa
administrativna	administrativan	Agpfsny
kontrola	kontrola	Ncfsn
kojom	koji	Pi-fsi
se	sebe	Px--sa
utvrđuje	utvrđivati	Vmr3s
pravovremenost	pravovremenost	Ncfsn
,	,	Z
potpunost	potpunost	Ncfsa
i	i	Cc
udovoljavanje	udovoljavanje	Ncnsa
Zahtjeva	zahtjev	Ncmpg
uvjetima	uvjet	Ncmpi
propisanim	propisati	Agpmsiy
Zakonom	zakon	Ncmsi
i	i	Cc
ovim	ovaj	Pd-msi
Pravilnikom	pravilnik	Ncmsi
uvidom	uvid	Ncmsi
u	u	Sa
Zahtjev	zahtjev	Ncmsan
i	i	Cc
prateću	prateći	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
te	te	Cc
uvidom	uvid	Ncmsi
u	u	Sa
službene	služben	Agpfpay
evidencije	evidencija	Ncfpa
Ministarstva	ministarstvo	Ncnsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Za	za	Sa
nepotpune	nepotpun	Agpmpay
,	,	Z
ali	ali	Cc
pravovremeno	pravovremeno	Rgp
podnesene	podnesen	Agpmpay
Zahtjeve	zahtjev	Ncmpa
izdaje	izdavati	Vmr3s
se	sebe	Px--sa
Zahtjev	zahtjev	Ncmsn
za	za	Sa
dopunu	dopuna	Ncfsa
kojim	koji	Pi-msi
se	sebe	Px--sa
od	od	Sg
podnositelja	podnositelj	Ncmsg
traži	tražiti	Vmr3s
dostavljanje	dostavljanje	Ncnsa
dodatne	dodatan	Agpfsgy
dokumentacije	dokumentacija	Ncfsg
,	,	Z
obrazloženje	obrazloženje	Ncnsn
,	,	Z
tumačenje	tumačenje	Ncnsn
ili	ili	Cc
ispravak	ispravak	Ncmsan
podataka	podatak	Ncmpg
potrebnih	potreban	Agpmpgy
za	za	Sa
dovršenje	dovršenje	Ncnsa
obrade	obrada	Ncfsg
Zahtjeva	zahtjev	Ncmpg
.	.	Z

Podnositelj	podnositelj	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
dostaviti	dostaviti	Vmn
dopunu	dopuna	Ncfsa
preporučenom	preporučiti	Agpfsiy
poštom	pošta	Ncfsi
s	sa	Si
povratnicom	povratnica	Ncfsi
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
sedam	sedam	Mlc
kalendarskih	kalendarski	Agpmpgy
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
zaprimanja	zaprimanje	Ncnsg
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
dopunu	dopuna	Ncfsa
preporučenom	preporučiti	Agpfsiy
poštom	pošta	Ncfsi
s	sa	Si
povratnicom	povratnica	Ncfsi
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Potpuni	potpun	Agpmpny
i	i	Cc
pravovremeno	pravovremeno	Rgp
dopunjeni	dopuniti	Appmpny
Zahtjevi	zahtjev	Ncmpn
ulaze	ulaziti	Vmr3p
u	u	Sa
daljnju	daljnji	Agpfsay
obradu	obrada	Ncfsa
.	.	Z

Rangiranje	rangiranje	Ncnsn
Zahtjeva	zahtjev	Ncmpg

Članak	članak	Ncmsn
15.	15.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Nakon	nakon	Sg
administrativne	administrativan	Agpfsgy
kontrole	kontrola	Ncfsg
pristiglih	pristigao	Agpmpgy
Zahtjeva	zahtjev	Ncmpg
,	,	Z
svim	sav	Agpmpdy
Zahtjevima	zahtjev	Ncmpd
za	za	Sa
potporu	potpora	Ncfsa
dodijelit	dodijeliti	Vmn
će	htjeti	Var3p
se	sebe	Px--sa
bodovi	bod	Ncmpn
temeljem	temelj	Ncmsi
kriterija	kriterij	Ncmsg
za	za	Sa
odabir	odabir	Ncmsan
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Bodovi	bod	Ncmpn
za	za	Sa
rangiranje	rangiranje	Ncnsa
temeljem	temelj	Sg
kriterija	kriterij	Ncmsg
za	za	Sa
odabir	odabir	Ncmsan
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
su	biti	Var3p
:	:	Z

Korisnik	korisnik	Ncmsn
kojemu	koji	Pi-msd
nisu	biti	Var3p
dodijeljena	dodijeliti	Appnpny
sredstva	sredstvo	Ncnpn
temeljem	temelj	Sg
Pravilnika	pravilnik	Ncmsg
o	o	Sl
uvjetima	uvjet	Ncmpl
,	,	Z
kriterijima	kriterij	Ncmpl
i	i	Cc
načinu	način	Ncmsl
dodjele	dodjela	Ncfsg
potpore	potpora	Ncfsg
kroz	kroz	Sa
sufinanciranje	sufinanciranje	Ncnsa
troškova	trošak	Ncmpg
kupnje	kupnja	Ncfsg
ribolovnih	ribolovan	Agpmpgy
alata	alat	Ncmpg
,	,	Z
opreme	oprema	Ncfsg
i	i	Cc
pogonskih	pogonski	Agpmpgy
strojeva	stroj	Ncmpg
za	za	Sa
obavljanje	obavljanje	Ncnsa
gospodarskog	gospodarski	Agpmsgy
ribolova	ribolov	Ncmsg
na	na	Sl
moru	more	Ncnsl
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
94/2014	94/2014	Mds
)	)	Z
20	20	Mdc
Vrsta	vrsta	Ncfsn
ulaganja	ulaganje	Ncnsg
Kupnja	kupnja	Ncfsn
ribolovnog	ribolovan	Agpmsgy
alata	alat	Ncmsg
ili	ili	Cc
opreme	oprema	Ncfsg
8	8	Mdc
Kupnja	kupnja	Ncfpg
pogonskog	pogonski	Agpmsgy
stroja	stroj	Ncmsg
10	10	Mdc

