materijalnih	materijalan	Agpmpgy
Ministarstvu	ministarstvo	Ncnsd
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
dva	dva	Mlc
dana	dan	Ncmsg
od	od	Sg
dana	dan	Ncmsg
promjene	promjena	Ncfsg

10.	10.	Mdo
pridržavati	pridržavati	Vmn
se	sebe	Px--sa
uputa	uputa	Ncfsn
i	i	Cc
mjera	mjera	Ncfsn
Ministarstva	ministarstvo	Ncnsg
o	o	Sl
ograničenju	ograničenje	Ncnsl
slobode	sloboda	Ncfsg
kretanja	kretanje	Ncnsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Tražitelj	tražitelj	Ncmsn
koji	koji	Pi-msn
nema	nemati	Vmr3s
pravo	pravo	Ncnsa
na	na	Sa
boravak	boravak	Ncmsan
sukladno	sukladan	Agpnsay
članku	članak	Ncmsl
53.	53.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
ne	ne	Qz
ostvaruje	ostvarivati	Vmr3s
prava	pravo	Ncnpa
iz	iz	Sg
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
osim	osim	Sg
prava	pravo	Ncnsg
na	na	Sa
besplatnu	besplatan	Agpfsay
pravnu	pravni	Agpfsay
pomoć	pomoć	Ncfsa
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Stranac	stranac	Ncmsn
u	u	Sl
transferu	transfer	Ncmsl
ima	imati	Vmr3s
prava	prav	Agpfsny
i	i	Cc
obveze	obveza	Ncfpa
iz	iz	Sg
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
do	do	Sg
izvršenja	izvršenje	Ncnsg
primopredaje	primopredaja	Ncfsg
odgovornoj	odgovoran	Agpfsly
državi	država	Ncfsl
članici	članica	Ncfsl
Europskoga	europski	Agpmsgy
gospodarskog	gospodarski	Agpmsgy
prostora	prostor	Ncmsg
.	.	Z

Pravo	pravo	Ncnsn
na	na	Sa
boravak	boravak	Ncmsan

Članak	članak	Ncmsn
53.	53.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Tražitelj	tražitelj	Ncmsn
ima	imati	Vmr3s
pravo	pravo	Ncnsa
na	na	Sa
boravak	boravak	Ncmsan
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
od	od	Sg
dana	dan	Ncmpg
izražene	izraziti	Agpfsgy
namjere	namjera	Ncfsg
do	do	Sg
izvršnosti	izvršnost	Ncfsg
odluke	odluka	Ncfsg
o	o	Sl
zahtjevu	zahtjev	Ncmsl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ako	ako	Cs
je	biti	Var3s
tražitelj	tražitelj	Ncmsn
podnio	podnijeti	Vmp-sm
tužbu	tužba	Ncfsa
koja	koji	Pi-fsn
sadržava	sadržavati	Vmr3s
zahtjev	zahtjev	Ncmsan
za	za	Sa
odgodnim	odgodan	Agpmsiy
učinkom	učinak	Ncmsi
sukladno	sukladno	Rgp
članku	članak	Ncmsd
51.	51.	Mdo
stavku	stavak	Ncmsl
2.	2.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
ima	imati	Vmr3s
pravo	pravo	Ncnsa
na	na	Sa
boravak	boravak	Ncmsan
do	do	Sg
dostave	dostava	Ncfsg
presude	presuda	Ncfsg
o	o	Sl
odgodnom	odgodan	Agpmsly
učinku	učinak	Ncmsl
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Ako	ako	Cs
tražitelj	tražitelj	Ncmsn
podnese	podnijeti	Vmr3s
naknadni	naknadan	Agpmsayn
zahtjev	zahtjev	Ncmsan
s	sa	Si
namjerom	namjera	Ncfsi
da	da	Cs
odgodi	odgoditi	Vmr3s
ili	ili	Cc
spriječi	spriječiti	Vmr3s
izvršenje	izvršenje	Ncnsa
odluke	odluka	Ncfsg
o	o	Sl
prisilnom	prisilan	Agpnsly
udaljenju	udaljenje	Ncnsl
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
,	,	Z
a	a	Cc
koji	koji	Pi-msn
je	biti	Var3s
odbačen	odbaciti	Appmsnn
kao	kao	Cs
nedopušten	nedopušten	Agpmsnn
sukladno	sukladno	Rgp
članku	članak	Ncmsd
47.	47.	Mdo
stavku	stavak	Ncmsl
6.	6.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
ima	imati	Vmr3s
pravo	pravo	Ncnsa
na	na	Sa
boravak	boravak	Ncmsan
do	do	Sg
izvršnosti	izvršnost	Ncfsg
odluke	odluka	Ncfsg
o	o	Sl
naknadnom	naknadan	Agpmsly
zahtjevu	zahtjev	Ncmsl
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Tražitelj	tražitelj	Ncmsn
koji	koji	Pi-msn
podnese	podnijeti	Vmr3s
novi	nov	Agpmsayn
naknadni	naknadan	Agpmsayn
zahtjev	zahtjev	Ncmsan
nakon	nakon	Cs
što	što	Cs
je	biti	Var3s
o	o	Sl
ranijem	raniji	Agpmsly
naknadnom	naknadan	Agpmsly
zahtjevu	zahtjev	Ncmsl
već	već	Rgp
donesena	donijeti	Appfsny
odluka	odluka	Ncfsn
sukladno	sukladno	Rgp
članku	članak	Ncmsd
47.	47.	Mdo
stavku	stavak	Ncmsl
6.	6.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
nema	nemati	Vmr3s
pravo	pravo	Ncnsa
na	na	Sa
boravak	boravak	Ncmsan
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Tražitelj	tražitelj	Ncmsn
koji	koji	Pi-msn
se	sebe	Px--sa
nalazi	nalaziti	Vmr3s
u	u	Sl
postupku	postupak	Ncmsl
predaje	predaja	Ncfsg
ili	ili	Cc
izručenja	izručenje	Ncnsg
sukladno	sukladno	Rgp
članku	članak	Ncmsd
7.	7.	Mdo
stavcima	stavak	Ncmpi
1.	1.	Mdo
i	i	Cc
2.	2.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
nema	nemati	Vmr3s
pravo	pravo	Ncnsa
na	na	Sa
boravak	boravak	Ncmsan
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Članovi	član	Ncmpn
obitelji	obitelj	Ncfsg
,	,	Z
koji	koji	Pi-mpn
su	biti	Var3p
došli	doći	Vmp-pm
zajedno	zajedno	Rgp
s	sa	Si
tražiteljem	tražitelj	Ncmsi
,	,	Z
imaju	imati	Vmr3p
pravo	pravo	Ncnsa
na	na	Sa
boravak	boravak	Ncmsan
sukladno	sukladan	Agpnsay
stavku	stavak	Ncmsl
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Stranac	stranac	Ncmsn
u	u	Sl
transferu	transfer	Ncmsl
ima	imati	Vmr3s
pravo	pravo	Ncnsa
na	na	Sa
boravak	boravak	Ncmsan
do	do	Sg
izvršenja	izvršenje	Ncnsg
transfera	transfer	Ncmpg
u	u	Sa
drugu	drugi	Mlofsa
državu	država	Ncfsa
članicu	članica	Ncfsa
Europskoga	europski	Agpmsgy
gospodarskog	gospodarski	Agpmsgy
prostora	prostor	Ncmsg
.	.	Z

Sloboda	sloboda	Ncfsn
kretanja	kretanje	Ncnsg
tražitelja	tražitelj	Ncmpg

Članak	članak	Ncmsn
54.	54.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Tražitelj	tražitelj	Ncmsn
i	i	Cc
stranac	stranac	Ncmsn
u	u	Sl
transferu	transfer	Ncmsl
ima	imati	Vmr3s
slobodu	sloboda	Ncfsa
kretanja	kretanje	Ncnsg
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Tražitelju	tražitelj	Ncmsd
se	sebe	Px--sa
može	moći	Vmr3s
ograničiti	ograničiti	Vmn
sloboda	sloboda	Ncfsn
kretanja	kretanje	Ncnsg
ako	ako	Cs
se	sebe	Px--sa
na	na	Sl
temelju	temelj	Ncmsl
svih	sav	Agpfpgy
činjenica	činjenica	Ncfpg
i	i	Cc
okolnosti	okolnost	Ncfsg
konkretnog	konkretan	Agpmsgy
slučaja	slučaj	Ncmsg
procijeni	procijeniti	Vmr3s
da	da	Cs
je	biti	Var3s
to	taj	Pd-nsn
potrebno	potreban	Agpnsny
radi	raditi	Vmr3s
:	:	Z

1.	1.	Mdo
utvrđivanja	utvrđivanje	Ncnsg
činjenica	činjenica	Ncfpg
i	i	Cc
okolnosti	okolnost	Ncfpg
na	na	Sl
kojima	koji	Pi-fpl
temelji	temeljiti	Vmr3s
zahtjev	zahtjev	Ncmsan
za	za	Sa
međunarodnu	međunarodni	Agpfsay
zaštitu	zaštita	Ncfsa
,	,	Z
a	a	Cc
koje	koji	Pi-fpn
se	sebe	Px--sa
ne	ne	Qz
mogu	moći	Vmr3p
utvrditi	utvrditi	Vmn
bez	bez	Sg
ograničenja	ograničenje	Ncnsg
kretanja	kretanje	Ncnsg
,	,	Z
osobito	osobito	Rgp
ako	ako	Cs
se	sebe	Px--sa
ocijeni	ocijeniti	Vmr3s
da	da	Cs
postoji	postojati	Vmr3s
rizik	rizik	Ncmsan
od	od	Sg
bijega	bijeg	Ncmsg

2.	2.	Mdo
utvrđivanja	utvrđivanje	Ncnsg
i	i	Cc
provjere	provjera	Ncfsg
identiteta	identitet	Ncmsg
ili	ili	Cc
državljanstva	državljanstvo	Ncnsg

3.	3.	Mdo
zaštite	zaštita	Ncfsg
nacionalne	nacionalan	Agpfsgy
sigurnosti	sigurnost	Ncfsg
ili	ili	Cc
javnog	javan	Agpmsgy
poretka	poredak	Ncmsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg

4.	4.	Mdo
sprječavanja	sprječavanje	Ncnsg
zloupotrebe	zloupotreba	Ncfsg
postupka	postupak	Ncmsg
ako	ako	Cs
se	sebe	Px--sa
na	na	Sl
temelju	temelj	Ncmsl
objektivnih	objektivan	Agpmpgy
kriterija	kriterij	Ncmpg
,	,	Z
koji	koji	Pi-mpn
uključuju	uključivati	Vmr3p
i	i	Cc
mogućnost	mogućnost	Ncfsa
pristupa	pristup	Ncmsg
postupku	postupak	Ncmsd
odobrenja	odobrenje	Ncnsg
međunarodne	međunarodni	Agpfsgy
zaštite	zaštita	Ncfsg
,	,	Z
osnovano	osnovati	Appnsny
sumnja	sumnjati	Vmr3s
da	da	Cs
je	biti	Var3s
namjera	namjera	Ncfsn
izražena	izraziti	Appfsny
tijekom	tijekom	Sg
postupka	postupak	Ncmsg
prisilnog	prisilan	Agpnsgy
udaljenja	udaljenje	Ncnsg
radi	radi	Sg
onemogućavanja	onemogućavanje	Ncnsg
daljnjeg	daljnji	Agpnsgy
postupanja	postupanje	Ncnsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Strancu	stranac	Ncmsl
u	u	Sl
transferu	transfer	Ncmsl
može	moći	Vmr3s
se	sebe	Px--sa
ograničiti	ograničiti	Vmn
sloboda	sloboda	Ncfsn
kretanja	kretanje	Ncnsg
samo	samo	Rgp
u	u	Sa
svrhu	svrha	Ncfsa
osiguranja	osiguranje	Ncnsg
provedbe	provedba	Ncfsg
primopredaje	primopredaja	Ncfsg
drugoj	drugi	Mlofsl
državi	država	Ncfsl
članici	članica	Ncfsl
Europskoga	europski	Agpmsgy
gospodarskog	gospodarski	Agpmsgy
prostora	prostor	Ncmsg
ako	ako	Cs
se	sebe	Px--sa
ocijeni	ocijeniti	Vmr3s
da	da	Cs
postoji	postojati	Vmr3s
rizik	rizik	Ncmsan
od	od	Sg
bijega	bijeg	Ncmsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Rizik	rizik	Ncmsn
od	od	Sg
bijega	bijeg	Ncmsg
procjenjuje	procjenjivati	Vmr3s
se	sebe	Px--sa
na	na	Sa
temeljeu	temeljeu	Pi-msan
svih	sav	Agpfpgy
činjenica	činjenica	Ncfpg
i	i	Cc
okolnosti	okolnost	Ncfsg
konkretnog	konkretan	Agpmsgy
slučaja	slučaj	Ncmsg
osobito	osobito	Rgp
s	sa	Si
obzirom	obzir	Ncmsi
na	na	Sa
ranije	raniji	Agpmpay
pokušaje	pokušaj	Ncmpa
samovoljnog	samovoljan	Agpnsgy
napuštanja	napuštanje	Ncnsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
,	,	Z
odbijanja	odbijanje	Ncnpn
podvrgnuti	podvrgnuti	Vmn
se	sebe	Px--sa
provjeri	provjera	Ncfsl
i	i	Cc
utvrđivanju	utvrđivanje	Ncnsl
identiteta	identitet	Ncmsg
,	,	Z
prikrivanja	prikrivanje	Ncnsg
ili	ili	Cc
pružanja	pružanje	Ncnsg
lažnih	lažan	Agpmpgy
podataka	podatak	Ncmpg
o	o	Sl
identitetu	identitet	Ncmsl
i	i	Cc
/	/	Z
ili	ili	Cc
državljanstvu	državljanstvo	Ncnsl
,	,	Z
kršenja	kršenje	Ncnsg
odredbi	odredba	Ncfpg
Kućnog	kućni	Agpmsgy

