sredstva	sredstvo	Ncnpa
gubitka	gubitak	Ncmsg
koji	koji	Pi-msn
bi	biti	Vaa3s
teretio	teretiti	Vmp-sm
Fond	fond	Ncmsan
osiguranja	osiguranje	Ncnsg
depozita	depozit	Ncmsg
i	i	Cc
druge	drugi	Mlompa
sustave	sustav	Ncmpa
osiguranja	osiguranje	Ncnsg
depozita	depozit	Ncmsg
kojima	koji	Ncmsg
članice	članica	Ncfpn
grupe	grupa	Ncfsg
pripadaju	pripadati	Vmr3p
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
123.	123.	Mdo
stavkom	stavak	Ncmsi
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

e	e	I
)	)	Z
ukupni	ukupan	Agpmsny
iznos	iznos	Ncmsn
potrebnih	potreban	Agpnpgy
sredstava	sredstvo	Ncnpg
sanacijskog	sanacijski	Agpmsgy
fonda	fond	Ncmsg
i	i	Cc
drugih	drugi	Mlompg
sustava	sustav	Ncmpg
financiranja	financiranje	Ncnsg
uključenih	uključen	Agpmpgy
u	u	Sa
sanaciju	sanacija	Ncfsa
grupe	grupa	Ncfsg
te	te	Cc
svrhu	svrha	Ncfsa
i	i	Cc
oblik	oblik	Ncmsan
financiranja	financiranje	Ncnsg

f	f	Qr
)	)	Z
kriterij	kriterij	Ncmsan
za	za	Sa
izračunavanje	izračunavanje	Ncnsa
udjela	udjel	Ncmsg
sanacijskog	sanacijski	Agpmsgy
fonda	fond	Ncmsg
i	i	Cc
drugih	drugi	Mlompg
sustava	sustav	Ncmpg
financiranja	financiranje	Ncnsg
država	država	Ncfpg
članica	članica	Ncfpg
u	u	Sl
kojima	koji	Pi-fpl
se	sebe	Px--sa
nalaze	nalaziti	Vmr3p
članice	članica	Ncfpn
grupe	grupa	Ncfsg
u	u	Sl
sanaciji	sanacija	Ncfsl
u	u	Sl
ukupnom	ukupan	Agpmsly
iznosu	iznos	Ncmsl
sredstava	sredstvo	Ncnpg
iz	iz	Sg
točke	točka	Ncfsg
e	e	Npmsn
)	)	Z
ovoga	ovaj	Pd-msg
stavka	stavak	Ncmsg

g	g	Npmsn
)	)	Z
iznos	iznos	Ncmsan
udjela	udjel	Ncmsg
sanacijskog	sanacijski	Agpmsgy
fonda	fond	Ncmsg
i	i	Cc
drugih	drugi	Mlompg
sustava	sustav	Ncmpg
financiranja	financiranje	Ncnsg
države	država	Ncfsg
članice	članica	Ncfsg
u	u	Sl
kojoj	koji	Pi-fsl
se	sebe	Px--sa
nalaze	nalaziti	Vmr3p
članice	članica	Ncfpn
grupe	grupa	Ncfsg
u	u	Sl
sanaciji	sanacija	Ncfsl
u	u	Sl
ukupnom	ukupan	Agpmsly
iznosu	iznos	Ncmsl
sredstava	sredstvo	Ncnpg
iz	iz	Sg
točke	točka	Ncfsg
e	e	Npmsn
)	)	Z
ovoga	ovaj	Pd-msg
stavka	stavak	Ncmsg

h		Npmpn
)	)	Z
iznose	iznositi	Vmr3p
koje	koji	Pi-mpa
će	htjeti	Var3s
sanacijski	sanacijski	Agpmsny
fond	fond	Ncmsn
i	i	Cc
drugi	drugi	Mlompn
sustavi	sustav	Ncmpn
financiranja	financiranje	Ncnsg
uključeni	uključiti	Appmpny
u	u	Sa
sanaciju	sanacija	Ncfsa
grupe	grupa	Ncfsg
pozajmiti	pozajmiti	Vmn
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
121.	121.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

i	i	Cc
)	)	Z
predviđeni	predvidjeti	Agpmsny
rok	rok	Ncmsn
korištenja	korištenje	Ncnsg
sredstava	sredstvo	Ncnpg
sanacijskog	sanacijski	Agpmsgy
fonda	fond	Ncmsg
i	i	Cc
sustava	sustav	Ncmsg
financiranja	financiranje	Ncnsg
država	država	Ncfpg
članica	članica	Ncfpg
uključenih	uključiti	Appfpgy
u	u	Sa
sanaciju	sanacija	Ncfsa
grupe	grupa	Ncfsg
koji	koji	Pi-msn
se	sebe	Px--sa
po	po	Sl
potrebi	potreba	Ncfsl
može	moći	Vmr3s
produljiti	produljiti	Vmn
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Kriterij	kriterij	Ncmsn
za	za	Sa
izračunavanje	izračunavanje	Ncnsa
udjela	udjel	Ncmsg
sanacijskog	sanacijski	Agpmsgy
fonda	fond	Ncmsg
i	i	Cc
drugih	drugi	Mlompg
sustava	sustav	Ncmpg
financiranja	financiranje	Ncnsg
država	država	Ncfpg
članica	članica	Ncfpg
uključenih	uključiti	Appfpgy
u	u	Sa
sanaciju	sanacija	Ncfsa
grupe	grupa	Ncfsg
u	u	Sl
ukupnom	ukupan	Agpmsly
iznosu	iznos	Ncmsl
iz	iz	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
točke	točka	Ncfsg
e	e	I
)	)	Z
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
usklađen	uskladiti	Appmsnn
je	biti	Var3s
s	sa	Si
stavkom	stavka	Ncfsi
5.	5.	Mdo
ovoga	ovaj	Pd-nsg
članka	članak	Ncmsg
i	i	Cc
načelima	načelo	Ncnpi
plana	plan	Ncmsg
sanacije	sanacija	Ncfsg

