Ustavom	ustav	Ncmsi
instrument	instrument	Ncmsan
neposredne	neposredan	Agpfsgy
demokracije	demokracija	Ncfsg
.	.	Z

Ako	ako	Cs
bi	biti	Vaa3s
se	sebe	Px--sa
smatralo	smatrati	Vmp-sn
da	da	Cs
je	biti	Var3s
javni	javan	Agpmsny
sektor	sektor	Ncmsn
prostor	prostor	Ncmsn
tržišnog	tržišni	Agpnsgy
nadmetanja	nadmetanje	Ncnsg
,	,	Z
pod	pod	Si
istim	isti	Agpfpiy
tržišnim	tržišni	Agpfpiy
zakonitostima	zakonitost	Ncfpi
i	i	Cc
pravilima	pravilo	Ncnpi
kao	kao	Cs
i	i	Qo
u	u	Sl
gospodarstvu	gospodarstvo	Ncnsl
,	,	Z
onda	onda	Rgp
bi	biti	Vaa3s
se	sebe	Px--sa
konzekventno	konzekventno	Rgp
tome	taj	Pd-nsd
moglo	moći	Vmp-sn
provoditi	provoditi	Vmn
izdvajanje	izdvajanje	Ncnsa
i	i	Cc
zaposlenika	zaposlenik	Ncmpg
koji	koji	Pi-mpn
u	u	Sl
javnom	javan	Agpmsly
sektoru	sektor	Ncmsl
predstavljaju	predstavljati	Vmr3p
nositelje	nositelj	Ncmpa
pojedinih	pojedini	Agpfpgy
djelatnosti	djelatnost	Ncfpg
(	(	Z
redoviti	redovit	Agpmpny
sveučilišni	sveučilišni	Agpmpny
profesori	profesor	Ncmpn
,	,	Z
učitelji	učitelj	Ncmpn
i	i	Cc
nastavnici	nastavnik	Ncmpn
,	,	Z
liječnici	liječnik	Ncmpn
...	...	Z
)	)	Z
.	.	Z

Ne	ne	Qz
tvrdimo	tvrditi	Vmr1p
da	da	Cs
to	taj	Pd-nsn
nije	biti	Var3s
moguće	moguć	Agpnsny
,	,	Z
odnosno	odnosno	Rgp
da	da	Cs
Vlada	Vlada	Npfsn
ne	ne	Qz
može	moći	Vmr3s
imati	imati	Vmn
takvu	takav	Pd-fsa
volju	volja	Ncfsa
,	,	Z
ali	ali	Cc
takvu	takav	Pd-fsa
volju	volja	Ncfsa
građani	građanin	Ncmpn
moraju	morati	Vmr3p
moći	moći	Vmn
preispitivati	preispitivati	Vmn
na	na	Sl
referendumu	referendum	Ncmsl
.	.	Z

Dakle	dakle	Cc
,	,	Z
usvajanje	usvajanje	Ncnsa
predloženog	predložen	Agpmsgy
Zakona	zakon	Ncmsg
ni	ni	Cc
na	na	Sa
koji	koji	Pi-msan
način	način	Ncmsan
ne	ne	Qz
predstavlja	predstavljati	Vmr3s
povredu	povreda	Ncfsa
poduzetničkih	poduzetnički	Agpmpgy
i	i	Cc
tržišnih	tržišni	Agpfpgy
sloboda	sloboda	Ncfpg
.	.	Z

Štoviše	štoviše	Rgp
,	,	Z
promicanjem	promicanje	Ncnsi
navedenih	naveden	Agpfpgy
sloboda	sloboda	Ncfpg
bez	bez	Sg
postavljanja	postavljanje	Ncnsg
ikakvih	ikakav	Pi-fpg
granica	granica	Ncfpg
(	(	Z
pa	pa	Cc
ni	ni	Qo
u	u	Sl
javnom	javan	Agpmsly
sektoru	sektor	Ncmsl
)	)	Z
dovest	dovesti	Vmn
će	htjeti	Var3s
do	do	Sg
povrede	povreda	Ncfsg
i	i	Cc
ograničavanja	ograničavanje	Ncnsg
drugih	drugi	Mlompg
,	,	Z
Ustavom	ustav	Ncmsi
zajamčenih	zajamčiti	Appnpgy
,	,	Z
prava	prav	Agpfsny
i	i	Cc
sloboda	sloboda	Ncfsn
.	.	Z

Svrha	svrha	Ncfsn
je	biti	Var3s
,	,	Z
donošenja	donošenje	Ncnsg
predloženog	predložen	Agpmsgy
Zakona	zakon	Ncmsg
o	o	Sl
obavljanju	obavljanje	Ncnsl
pratećih	prateći	Agpfpgy
i	i	Cc
neosnovnih	neosnovni	Agpfpgy
djelatnosti	djelatnost	Ncfpg
u	u	Sl
javnom	javan	Agpmsly
sektoru	sektor	Ncmsl
,	,	Z
zaštititi	zaštititi	Vmn
ustavne	ustavan	Agpfsgy
kategorije	kategorija	Ncfsg
prava	pravo	Ncnsg
na	na	Sa
rad	rad	Ncmsan
,	,	Z
koja	koji	Pi-fsn
bi	biti	Vaa3s
provođenjem	provođenje	Ncnsi
izdvajanja	izdvajanje	Ncnsg
dijela	dio	Ncmsg
zaposlenika	zaposlenik	Ncmpg
u	u	Sl
javnom	javan	Agpmsly
i	i	Cc
državnom	državni	Agpmsly
sektoru	sektor	Ncmsl
bila	biti	Vap-sf
povrijeđena	povrijediti	Appfsny
bez	bez	Sg
legitimnog	legitiman	Agpmsgy
cilja	cilj	Ncmsg
odnosno	odnosno	Rgp
bez	bez	Sg
postojanja	postojanje	Ncnsg
ustavom	ustav	Ncmsi
propisanih	propisati	Appmpgy
razloga	razlog	Ncmpg
za	za	Sa
ograničenje	ograničenje	Ncnsa
prava	pravo	Ncnsg
na	na	Sa
rad	rad	Ncmsan
.	.	Z

Temeljem	temelj	Ncmsi
članka	članak	Ncmsg
16.	16.	Mdo

Ustava	ustava	Ncfsn
RH	ri	Agpfsgy
slobode	sloboda	Ncfsg
i	i	Cc
prava	prav	Agpfsny
mogu	moći	Vmr3p
se	sebe	Px--sa
ograničiti	ograničiti	Vmn
samo	samo	Rgp
zakonom	zakon	Ncmsi
(	(	Z
ne	ne	Qz
i	i	Cc
odlukom	odluka	Ncfsi
Vlade	vlada	Ncfsg
)	)	Z
i	i	Cc
to	to	Qo
samo	samo	Rgp
da	da	Cs
bi	biti	Vaa3s
se	sebe	Px--sa
zaštitila	zaštititi	Vmp-sf
sloboda	sloboda	Ncfsn
i	i	Cc
prava	pravo	Ncnpg
drugih	drugi	Mlompg
ljudi	čovjek	Ncmpg
te	te	Cc
pravni	pravni	Agpmsny
poredak	poredak	Ncmsn
,	,	Z
javni	javan	Agpmsny
moral	moral	Ncmsn
i	i	Cc
zdravlje	zdravlje	Ncnsa
,	,	Z
a	a	Cc
svako	svaki	Agpnsny
ograničenje	ograničenje	Ncnsn
slobode	sloboda	Ncfsg
i	i	Cc
prava	pravo	Ncnsg
mora	morati	Vmr3s
biti	biti	Van
razmjerno	razmjeran	Agpnsny
naravi	narav	Ncfsg
potrebe	potreba	Ncfsg
za	za	Sa
ograničenjem	ograničenje	Ncnsi
u	u	Sl
svakom	svaki	Pi-msl
pojedinom	pojedini	Agpmsly
slučaju	slučaj	Ncmsl
.	.	Z

Vlada	vlada	Ncfsn
nikada	nikada	Rgp
nije	biti	Var3s
obrazložila	obrazložiti	Vmp-sf
niti	niti	Qo
navela	navesti	Vmp-sf
legitimne	legitiman	Agpmpay
razloge	razlog	Ncmpa
za	za	Sa
provođenje	provođenje	Ncnsa
izdvajanja	izdvajanje	Ncnsg
,	,	Z
odnosno	odnosno	Rgp
za	za	Sa
povredu	povreda	Ncfsa
i	i	Cc
ograničavanje	ograničavanje	Ncnsa
prava	pravo	Ncnsg
na	na	Sa
rad	rad	Ncmsan
velikog	velik	Agpmsgy
broja	broj	Ncmsg
zaposlenika	zaposlenik	Ncmpg
u	u	Sl
javnom	javan	Agpmsly
i	i	Cc
državnom	državni	Agpmsly
sektoru	sektor	Ncmsl
.	.	Z

Vlada	vlada	Ncfsn
građanima	građanin	Ncmpd
ni	ni	Cc
na	na	Sa
koji	koji	Pi-msan
način	način	Ncmsan
nije	biti	Var3s
opravdala	opravdati	Vmp-sf
ograničavanje	ograničavanje	Ncnsa
prava	pravo	Ncnsg
na	na	Sa
rad	rad	Ncmsan
i	i	Cc
slobode	sloboda	Ncfsg
rada	rad	Ncmsg
niti	niti	Cc
je	biti	Var3s
pokazala	pokazati	Vmp-sf
razmjernost	razmjernost	Ncfsn
između	između	Sg
ograničenja	ograničenje	Ncnsg
,	,	Z
kao	kao	Cs
što	što	Cs
nije	biti	Var3s
obrazložila	obrazložiti	Vmp-sf
ni	ni	Qo
stvarnu	stvaran	Agpfsay

