oglasnu	oglasni	Agpfsay
raspoloživih	raspoloživ	Agpnpgy
sredstava	sredstvo	Ncnpg
za	za	Sa
sve	sav	Agpmpay
korisnike	korisnik	Ncmpa
u	u	Sl
natječaju	natječaj	Ncmsl
,	,	Z
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
će	htjeti	Var3s
,	,	Z
nakon	nakon	Sg
završetka	završetak	Ncmsg
administrativne	administrativan	Agpfsgy
kontrole	kontrola	Ncfsg
svakog	svaki	Pi-msg
pojedinačnog	pojedinačan	Agpmsgy
zahtjeva	zahtjev	Ncmsg
za	za	Sa
potporu	potpora	Ncfsa
,	,	Z
donijeti	donijeti	Vmn
odluke	odluka	Ncfpa
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
će	htjeti	Var3s
u	u	Sl
slučaju	slučaj	Ncmsl
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
donijeti	donijeti	Vmn
:	:	Z

1.	1.	Mdo
Odluku	odluka	Ncfsa
o	o	Sl
prihvatljivosti	prihvatljivost	Ncfsl
zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
u	u	Sl
slučaju	slučaj	Ncmsl
ispunjavanja	ispunjavanje	Ncnsg
uvjeta	uvjet	Ncmpg
i	i	Cc
kriterija	kriterij	Ncmpg
propisanih	propisati	Appmpgy
ovim	ovaj	Pd-msi
Pravilnikom	pravilnik	Ncmsi
i	i	Cc
natječajem	natječaj	Ncmsi
.	.	Z

2.	2.	Mdo
Odluku	odluka	Ncfsa
o	o	Sl
odbijanju	odbijanje	Ncnsl
,	,	Z
u	u	Sl
slučaju	slučaj	Ncmsl
:	:	Z

–	–	Sg
neispunjavanja	neispunjavanje	Ncnsg
uvjeta	uvjet	Ncmpg
i	i	Cc
kriterija	kriterij	Ncmpg
propisanih	propisati	Appmpgy
Pravilnikom	pravilnik	Ncmsi
i	i	Cc
natječajem	natječaj	Ncmsi

–	–	Z
nepravovremeno	nepravovremeno	Rgp
podnesenih	podnesen	Agpmpgy
zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa

–	–	Z
nepotpunih	nepotpun	Agpmpgy
zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa

–	–	Z
nepravovremenosti	nepravovremenost	Ncfsl
i	i	Cc
/	/	Z
ili	ili	Cc
nepotpunosti	nepotpunost	Ncfsl
odgovora	odgovor	Ncmsg
na	na	Sa
zahtjev	zahtjev	Ncmsan
za	za	Sa
obrazloženje	obrazloženje	Ncnsa
/	/	Z
ispravak	ispravak	Ncmsan

–	–	Z
da	da	Cs
je	biti	Var3s
korisnik	korisnik	Ncmsn
započeo	započeti	Vmp-sm
ulaganje	ulaganje	Ncnsa
prije	prije	Sg
podnošenja	podnošenje	Ncnsg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa

–	–	Z

