podpostrojenjima	podpostrojenj	Ncmpd
preliminarnu	preliminaran	Agpfsay
godišnju	godišnji	Agpfsay
količinu	količina	Ncfsa
besplatnih	besplatan	Agpfpgy
emisijskih	emisijski	Agpfpgy
jedinica	jedinica	Ncfpg
te	te	Cc
popis	popis	Ncmsn
dostavlja	dostavljati	Vmr3s
Europskoj	europski	Agpfsly
komisiji	komisija	Ncfsl
sukladno	sukladan	Agpnsny
članku	članak	Ncmsl
16.	16.	Mdo

Odluke	odluka	Ncfpn
Komisije	komisija	Ncfsg
2011/278	2011/278	Mdc
/	/	Z
EU	E	Npmsg
;	;	Z

22.	22.	Mdo
za	za	Sa
nove	nov	Agpmpay
sudionike	sudionik	Ncmpa
objavljuje	objavljivati	Vmr3s
na	na	Sl
svojim	svoj	Px-fpl
internetskim	internetski	Agpfply
stranicama	stranica	Ncfpl
Obrazac	obrazac	Ncmsn
za	za	Sa
nove	nov	Agpmpay
sudionike	sudionik	Ncmpa
i	i	Cc
zatvaranje	zatvaranje	Ncnsa
postrojenja	postrojenje	Ncnsg
.	.	Z

23.	23.	Mdo
zaprima	zaprimati	Vmr3s
zahtjev	zahtjev	Ncmsan
operatera	operater	Ncmpg
novog	nov	Agpnsgy
postrojenja	postrojenje	Ncnsg
za	za	Sa
besplatnu	besplatan	Agpfsay
dodjelu	dodjela	Ncfsa
emisijskih	emisijski	Agpfpgy
jedinica	jedinica	Ncfpg
sukladno	sukladno	Rgp
članku	članak	Ncmsd
17.	17.	Mdo
stavcima	stavak	Ncmpi
1.	1.	Mdo
i	i	Cc
2.	2.	Mdo
Odluke	odluka	Ncfsg
Komisije	komisija	Ncfsg
2011/278	2011/278	Mdc
/	/	Z
EU	E	Npmsg
;	;	Z

24.	24.	Mdo
putem	put	Sg
Povjerenstva	povjerenstvo	Ncnsg
provodi	provoditi	Vmr3s
podjelu	podjela	Ncfsa
novih	nov	Agpnpgy
postrojenja	postrojenje	Ncnpg
na	na	Sa
podpostrojenja	podpostrojenji	Agpnsay
za	za	Sa
besplatnu	besplatan	Agpfsay
dodjelu	dodjela	Ncfsa
emisijskih	emisijski	Agpfpgy
jedinica	jedinica	Ncfpg
i	i	Cc
prema	prema	Sl
potrebi	potreba	Ncfsl
zahtijeva	zahtijevati	Vmr3s
da	da	Cs
operater	operater	Ncmsn
postrojenja	postrojenje	Ncnsg
postupi	postupiti	Vmr3s
sukladno	sukladno	Rgp
članku	članak	Ncmsd
17.	17.	Mdo
stavku	stavak	Ncmsl
3.	3.	Mdo
Odluke	odluka	Ncfsg
Komisije	komisija	Ncfsg
2011/278	2011/278	Mdc
/	/	Z
EU	E	Npmsg
;	;	Z

25.	25.	Mdo
zahtijeva	zahtijevati	Vmr3s
da	da	Cs
operater	operater	Ncmsn
utvrdi	utvrditi	Vmr3s
početni	početan	Agpmsayn
instalirani	instaliran	Agpmsayn
kapacitet	kapacitet	Ncmsan
i	i	Cc
ishodi	ishoditi	Vmr3s
odobrenje	odobrenje	Ncnsa
o	o	Sl
istome	isti	Agpmsly
za	za	Sa
svako	svaki	Pi-nsa
podpostrojenje	podpostrojenje	Ncnsa
sukladno	sukladan	Agpnsay
članku	članak	Ncmsl
17.	17.	Mdo
stavku	stavak	Ncmsl
4.	4.	Mdo
Odluke	odluka	Ncfsg
Komisije	komisija	Ncfsg
2011/278	2011/278	Mdc
/	/	Z
EU	E	Npmsg
;	;	Z

26.	26.	Mdo
prihvaća	prihvaćati	Vmr3s
podatke	podatak	Ncmpa
koji	koji	Pi-mpn
se	sebe	Px--sa
dostavljaju	dostavljati	Vmr3p
sukladno	sukladno	Rgp
članku	članak	Ncmsd
17.	17.	Mdo
stavku	stavak	Ncmsl
5.	5.	Mdo
Odluke	odluka	Ncfsg
Komisije	komisija	Ncfsg
2011/278	2011/278	Mdc
/	/	Z
EU	E	Npmsg
;	;	Z

27.	27.	Mdo
putem	put	Sg
Povjerenstva	povjerenstvo	Ncnsg
određuje	određivati	Vmr3s
razinu	razina	Ncfsa
aktivnosti	aktivnost	Ncfsg
postrojenja	postrojenje	Ncnsg
sukladno	sukladno	Rgp
članku	članak	Ncmsd
18.	18.	Mdo
stavku	stavak	Ncmsl
1.	1.	Mdo
Odluke	odluka	Ncfsg
Komisije	komisija	Ncfsg
2011/278	2011/278	Mdc
/	/	Z
EU	E	Npmsg
;	;	Z

28.	28.	Mdo
putem	put	Sg
Povjerenstva	povjerenstvo	Ncnsg
određuje	određivati	Vmr3s
relevantni	relevantan	Agpmsny
faktor	faktor	Ncmsn
iskorištenja	iskorištenje	Ncnsg
kapaciteta	kapacitet	Ncmsg
iz	iz	Sg
članka	članak	Ncmsg
18.	18.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
točaka	točka	Ncfpg
(	(	Z
b	b	Npmsn
)	)	Z
do	do	Sg
(	(	Z
d	d	X
)	)	Z
sukladno	sukladno	Rgp
članku	članak	Ncmsl
18.	18.	Mdo
stavku	stavak	Ncmsl
2.	2.	Mdo
Odluke	odluka	Ncfsg
Komisije	komisija	Ncfsg
2011/278	2011/278	Mdc
/	/	Z
EU	E	Npmsg
;	;	Z

29.	29.	Mdo
putem	put	Sg
Povjerenstva	povjerenstvo	Ncnsg
određuje	određivati	Vmr3s
razinu	razina	Ncfsa
aktivnosti	aktivnost	Ncfsg
postrojenja	postrojenje	Ncnsg
za	za	Sa
značajno	značajan	Agpnsay
proširenje	proširenje	Ncnsa
kapaciteta	kapacitet	Ncmsg
nakon	nakon	Sg
30.	30.	Mdo
lipnja	lipanj	Ncmsg
2011.	2011.	Mdo
godine	godina	Ncfsg
,	,	Z
sukladno	sukladno	Rgp
članku	članak	Ncmsl
18.	18.	Mdo
stavcima	stavak	Ncmpi
1.	1.	Mdo
i	i	Cc
3.	3.	Mdo
Odluke	odluka	Ncfsg
Komisije	komisija	Ncfsg
2011/278	2011/278	Mdc
/	/	Z
EU	E	Npmsg
;	;	Z

30.	30.	Mdo
putem	put	Sg
Povjerenstva	povjerenstvo	Ncnsg
izračunava	izračunavati	Vmr3s
preliminarni	preliminaran	Agpmsny
godišnji	godišnji	Agpmsny
broj	broj	Ncmsn
emisijskih	emisijski	Agpfpgy
jedinica	jedinica	Ncfpg
koje	koji	Pi-fpn
se	sebe	Px--sa
besplatno	besplatno	Rgp
dodjeljuju	dodjeljivati	Vmr3p
novim	nov	Agpnpiy
postrojenjima	postrojenje	Ncnpi
sukladno	sukladno	Rgp
članku	članak	Ncmsd
19.	19.	Mdo
stavku	stavak	Ncmsl
1.	1.	Mdo
Odluke	odluka	Ncfsg
Komisije	komisija	Ncfsg
2011/278	2011/278	Mdc
/	/	Z
EU	E	Npmsg
,	,	Z

31.	31.	Mdo
dostavlja	dostavljati	Vmr3s
Europskoj	europski	Agpfsdy
komisiji	komisija	Ncfsd
preliminarnu	preliminaran	Agpfsay
ukupnu	ukupan	Agpfsay
godišnju	godišnji	Agpfsay
količinu	količina	Ncfsa
besplatno	besplatno	Rgp
dodijeljenih	dodijeljen	Agpfpgy
emisijskih	emisijski	Agpfpgy
jedinica	jedinica	Ncfpg
za	za	Sa
novo	nov	Agpnsay
postrojenje	postrojenje	Ncnsa
sukladno	sukladan	Agpnsay
članku	članak	Ncmsd
19.	19.	Mdo
stavku	stavak	Ncmsl
4.	4.	Mdo
Odluke	odluka	Ncfsg
Komisije	komisija	Ncfsg
2011/278	2011/278	Mdc
/	/	Z
EU	E	Npmsg
;	;	Z

32.	32.	Mdo
putem	put	Sg
Povjerenstva	povjerenstvo	Ncnsg
nastavlja	nastavljati	Vmr3s
s	sa	Si
određivanjem	određivanje	Ncnsi
konačne	konačan	Agpfsgy
godišnje	godišnji	Agpfsgy
količine	količina	Ncfsg
besplatno	besplatno	Rgp
dodijeljenih	dodijeljen	Agpfpgy
emisijskih	emisijski	Agpfpgy
jedinica	jedinica	Ncfpg
,	,	Z
ako	ako	Cs
Europska	europski	Agpfsny
komisija	komisija	Ncfsn
ne	ne	Qz
odbije	odbiti	Vmr3s
preliminarnu	preliminaran	Agpfsay
ukupnu	ukupan	Agpfsay
godišnju	godišnji	Agpfsay
količinu	količina	Ncfsa
besplatnih	besplatan	Agpfpgy
emisijskih	emisijski	Agpfpgy
jedinica	jedinica	Ncfpg
za	za	Sa
pojedino	pojedini	Agpnsay
postrojenje	postrojenje	Ncnsa
sukladno	sukladan	Agpnsay
članku	članak	Ncmsd
19.	19.	Mdo
stavku	stavak	Ncmsl
4.	4.	Mdo
Odluke	odluka	Ncfsg
Komisije	komisija	Ncfsg
2011/278	2011/278	Mdc
/	/	Z
EU	E	Npmsg
;	;	Z

33.	33.	Mdo
zaprima	zaprimati	Vmr3s
zahtjev	zahtjev	Ncmsan
operatera	operater	Ncmpg
o	o	Sl
značajnom	značajan	Agpnsly
proširenju	proširenje	Ncnsl
kapaciteta	kapacitet	Ncmsg
sukladno	sukladan	Agpnsny
članku	članak	Ncmsl
20.	20.	Mdo
stavku	stavak	Ncmsl
1.	1.	Mdo
i	i	Cc
2.	2.	Mdo
Odluke	odluka	Ncfsg
Komisije	komisija	Ncfsg
2011/278	2011/278	Mdc
/	/	Z
EU	E	Npmsg
;	;	Z

34.	34.	Mdo
putem	put	Sg
Povjerenstva	povjerenstvo	Ncnsg
na	na	Sa
zahtjev	zahtjev	Ncmsan
operatera	operater	Ncmpg
postrojenja	postrojenje	Ncnsg
određuje	određivati	Vmr3s
broj	broj	Ncmsan
besplatnih	besplatan	Agpfpgy
emisijskih	emisijski	Agpfpgy
jedinica	jedinica	Ncfpg
koje	koji	Pi-fpn
treba	trebati	Vmr3s
dodijeliti	dodijeliti	Vmn
s	sa	Si
obzirom	obzir	Ncmsi
na	na	Sa
značajno	značajan	Agpnsay
proširenje	proširenje	Ncnsa
kapaciteta	kapacitet	Ncmsg
sukladno	sukladan	Agpnsny
članku	članak	Ncmsl
20.	20.	Mdo
stavku	stavak	Ncmsl
1.	1.	Mdo
Odluke	odluka	Ncfsg
Komisije	komisija	Ncfsg
2011/278	2011/278	Mdc
/	/	Z
EU	E	Npmsg
;	;	Z

35.	35.	Mdo
zahtjeva	zahtjev	Ncmpg
da	da	Cs
operater	operater	Ncmsn
postrojenja	postrojenje	Ncnsg
uz	uz	Sa
zahtjev	zahtjev	Ncmsan
dostavi	dostaviti	Vmr3s
dokaze	dokaz	Ncmpa
o	o	Sl
ispunjenju	ispunjenje	Ncnsl
kriterija	kriterij	Ncmsg
za	za	Sa
značajno	značajan	Agpnsay
proširenje	proširenje	Ncnsa
kapaciteta	kapacitet	Ncmsg
te	te	Cc
prošireni	proširiti	Agpmsayn
kapacitet	kapacitet	Ncmsan
i	i	Cc
instalirani	instaliran	Agpmsayn
kapacitet	kapacitet	Ncmsan
dijela	dio	Ncmsg
postrojenja	postrojenje	Ncnsg
nakon	nakon	Sg
značajnog	značajan	Agpnsgy
proširenja	proširenje	Ncnsg
kapaciteta	kapacitet	Ncmsg
sukladno	sukladno	Rgp
članku	članak	Ncmsl
20.	20.	Mdo
stavku	stavak	Ncmsl
2.	2.	Mdo
Odluke	odluka	Ncfsg
Komisije	komisija	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
2011/278	2011/278	Mdc
/	/	Z
EU	E	Npmsg
;	;	Z

36.	36.	Mdo
putem	put	Sg
Povjerenstva	povjerenstvo	Ncnsg
kod	kod	Sg
procjene	procjena	Ncfsg
bilo	biti	Vap-sn
kakve	kakav	Pi-fsg
naknadne	naknadan	Agpfsgy
značajne	značajan	Agpfsgy
promjene	promjena	Ncfsg
kapaciteta	kapacitet	Ncmsg
uzima	uzimati	Vmr3s
instalirani	instaliran	Agpmsayn
kapacitet	kapacitet	Ncmsan
dijela	dio	Ncmsg
postrojenja	postrojenje	Ncnsg
nakon	nakon	Sg
značajnog	značajan	Agpnsgy
proširenja	proširenje	Ncnsg
ili	ili	Cc
smanjenja	smanjenje	Ncnsg
kao	kao	Cs
početni	početan	Agpmsny
instalirani	instaliran	Agpmsny
kapacitet	kapacitet	Ncmsn
postrojenja	postrojenje	Ncnsg
sukladno	sukladno	Rgp
članku	članak	Ncmsd
20.	20.	Mdo
stavku	stavak	Ncmsl
2.	2.	Mdo
i	i	Cc
članku	članak	Ncmsl
21.	21.	Mdo
stavku	stavak	Ncmsl
1.	1.	Mdo
Odluke	odluka	Ncfsg
Komisije	komisija	Ncfsg
2011/278	2011/278	Mdc
/	/	Z
EU	E	Npmsg
;	;	Z

37.	37.	Mdo
zaprima	zaprimati	Vmr3s
obavijest	obavijest	Ncfsn
operatera	operater	Ncmpg
o	o	Sl
umanjenom	umanjiti	Ncfsl

