IZVJEŠĆIVANJE	izvješćivanje	Ncnsn
Statističko	statistički	Agpnsny
izvješće	izvješće	Ncnsn
o	o	Sl
dospjelim	dospjeli	Agpfply
,	,	Z
a	a	Cc
nenaplaćenim	nenaplaćen	Agpmpiy
računima	račun	Ncmpi
na	na	Sa
dan	dan	Ncmsan
|	|	Z
__	__	Z
|	|	Z
__	__	Z
|	|	Z
|	|	Z
__	__	Z
|	|	Z
__	__	Z
|	|	Z
god.	god.	Y
|	|	Z
__	__	Z
|	|	Z
__	__	Z
|	|	Z
__	__	Z
|	|	Z
__	_a	Ncfpn
|	|	Z
koji	koji	Pi-mpn
nisu	biti	Var3p
naplaćeni	naplatiti	Appmpny
do	do	Sg
|	|	Pi-fsg
__	_a	Ncfsg
|	|	Z
__	__	Z
|	|	Z
|	|	Z
__	__	Z
|	|	Z
__	__	Z
|	|	Z
god.	god.	Y
|	|	Z
__	__	Z
|	|	Z
__	__	Z
|	|	Z
__	__	Z
|	|	Z
__	__	Z
|	|	Z
«	«	Z
–	–	Z
Obrazac	obrazac	Ncmsn
OPZ-STAT-1	OPZ-STAT-1	Qr
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Obrazac	obrazac	Ncmsn
OPZ-STAT-1	opz-stat-	Aspmpny
obveznici	obveznik	Ncmpn
iz	iz	Sg
članka	članak	Ncmsg
19.	19.	Mdo
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
dužni	dužan	Agpmpny
su	biti	Var3p
dostaviti	dostaviti	Vmn
Poreznoj	porezni	Agpfsly
upravi	uprava	Ncfsl
elektroničkim	elektronički	Agpmsiy
putem	put	Ncmsi
,	,	Z
korištenjem	korištenje	Ncnsi
sustava	sustav	Ncmsg
ePorezna	ePorezn	Npmsg
na	na	Sa
način	način	Ncmsan
propisan	propisan	Agpmsann
posebnim	poseban	Agpmpiy
propisima	propis	Ncmpi
te	te	Cc
tehničkim	tehnički	Agpmsiy
i	i	Cc
ostalim	ostali	Agpfply
uputama	uputa	Ncfpl
,	,	Z
i	i	Qo
to	to	Qo
:	:	Z

1.	1.	Mdo
do	do	Sg
20.	20.	Mdo
svibnja	svibanj	Ncmsg
tekuće	tekući	Agpfsgy
godine	godina	Ncfsg
za	za	Sa
sve	sav	Agpmpay
dospjele	dospjeli	Agpmpay
,	,	Z
a	a	Cc
neplaćene	neplaćen	Agpmpay
račune	račun	Ncmpa
sa	sa	Si
stanjem	stanje	Ncnsi
na	na	Sa
dan	dan	Ncmsan
31.	31.	Mdo
ožujka	ožujak	Ncmsg
tekuće	tekući	Agpfsgy
godine	godina	Ncfsg
,	,	Z
a	a	Cc
koji	koji	Pi-mpn
nisu	biti	Var3p
naplaćeni	naplatiti	Appmpny
do	do	Sg
30.	30.	Mdo
travnja	travanj	Ncmsg
tekuće	tekući	Agpfsgy
godine	godina	Ncfsg
,	,	Z

2.	2.	Mdo
do	do	Sg
20.	20.	Mdo
kolovoza	kolovoz	Ncmsg
tekuće	tekući	Agpfsgy
godine	godina	Ncfsg
za	za	Sa
sve	sav	Agpmpay
dospjele	dospjeli	Agpmpay
,	,	Z
a	a	Cc
neplaćene	neplaćen	Agpmpay
račune	račun	Ncmpa
sa	sa	Si
stanjem	stanje	Ncnsi
na	na	Sa
dan	dan	Ncmsan
30.	30.	Mdo
lipnja	lipanj	Ncmsg
tekuće	tekući	Agpfsgy
godine	godina	Ncfsg
,	,	Z
a	a	Cc
koji	koji	Pi-mpn
nisu	biti	Var3p
naplaćeni	naplatiti	Appmpny
do	do	Sg
31.	31.	Mdo
srpnja	srpanj	Ncmsg
tekuće	tekući	Agpfsgy
godine	godina	Ncfsg
,	,	Z

3.	3.	Mdo
do	do	Sg
20.	20.	Mdo
studenoga	studeni	Ncmsg
tekuće	tekući	Agpfsgy
godine	godina	Ncfsg
za	za	Sa
sve	sav	Agpmpay
dospjele	dospjeli	Agpmpay
,	,	Z
a	a	Cc
neplaćene	neplaćen	Agpmpay
račune	račun	Ncmpa
sa	sa	Si
stanjem	stanje	Ncnsi
na	na	Sa
dan	dan	Ncmsan
30.	30.	Mdo
rujna	rujan	Ncmsg
tekuće	tekući	Agpfsgy
godine	godina	Ncfsg
,	,	Z
a	a	Cc
koji	koji	Pi-mpn
nisu	biti	Var3p
naplaćeni	naplatiti	Appmpny
do	do	Sg
31.	31.	Mdo
listopada	listopad	Ncmsg
tekuće	tekući	Agpfsgy
godine	godina	Ncfsg
,	,	Z

4.	4.	Mdo
do	do	Sg
20.	20.	Mdo
veljače	veljača	Ncfsg
tekuće	tekući	Agpfsgy
godine	godina	Ncfsg
za	za	Sa
sve	sav	Agpmpay
dospjele	dospjeli	Agpmpay
,	,	Z
a	a	Cc
neplaćene	neplaćen	Agpmpay
račune	račun	Ncmpa
sa	sa	Si
stanjem	stanje	Ncnsi
na	na	Sa
dan	dan	Ncmsan
31.	31.	Mdo
prosinca	prosinac	Ncmsg
prošle	prošli	Agpfsgy
godine	godina	Ncfsg
,	,	Z
a	a	Cc
koji	koji	Pi-mpn
nisu	biti	Var3p
naplaćeni	naplatiti	Appmpny
do	do	Sg
31.	31.	Mdo
siječnja	siječanj	Ncmsg
tekuće	tekući	Agpfsgy
godine	godina	Ncfsg
.	.	Z

4.	4.	Mdo
Sadržaj	sadržaj	Ncmsn
obrasca	obrazac	Ncmsg

Članak	članak	Ncmsn
22.	22.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Obrazac	obrazac	Ncmsn
OPZ-STAT-1	opz-stat-e	Ncnsg
sadrži	sadržati	Vmr3s
podatke	podatak	Ncmpa
o	o	Sl
:	:	Z

1.	1.	Mdo
danu	dan	Ncmsl
,	,	Z
mjesecu	mjesec	Ncmsd
i	i	Cc
godini	godina	Ncfsl
na	na	Sa
koju	koji	Pi-fsa
se	sebe	Px--sa
izvješće	izvješće	Ncnsn
odnosi	odnositi	Vmr3s
i	i	Qo
danu	dan	Agpfsay
mjesecu	mjesec	Ncfsa
i	i	Cc
godini	godina	Ncfsl
do	do	Sg
kojega	koji	Pi-msg
računi	račun	Ncmpn
nisu	biti	Var3p
naplaćeni	naplatiti	Appmpny
,	,	Z

2.	2.	Mdo
poreznom	porezni	Agpmsly
obvezniku	obveznik	Ncmsl
/	/	Z
podnositelju	podnositelj	Ncmsl
izvješća	izvješće	Ncnsg
(	(	Z
pod	pod	Si
I.	I.	Mro
)	)	Z
i	i	Cc
to	taj	Pd-nsn
:	:	Z

–	–	Agpmsny
naziv	naziv	Ncmsn
/	/	Z
ime	ime	Ncnsa
i	i	Cc
prezime	prezime	Ncnsa
,	,	Z

–	–	Npmsn
OIB	OIB	Npmsn
,	,	Z

–	–	Z
adresa	adresa	Ncfsn
sjedišta	sjedište	Ncnsg
ili	ili	Cc
prebivališta	prebivalište	Ncnsg
odnosno	odnosno	Rgp
uobičajenog	uobičajen	Agpnsgy
boravišta	boravište	Ncnsg
,	,	Z

3.	3.	Mdo
dospjelim	dospjeli	Agpmsiy
,	,	Z
a	a	Cc
nenaplaćenim	nenaplaćen	Agpmpiy
računima	račun	Ncmpi
koji	koji	Pi-mpn
su	biti	Var3p
izdani	izdati	Appmpny
sukladno	sukladno	Rgp
odredbama	odredba	Ncfpi
Zakona	zakon	Ncmsg
o	o	Sl
PDV-u	PDV	Npmsl
(	(	Z
pod	pod	Si
II	ii	Mro
.	.	Z
)	)	Z
i	i	Cc
to	taj	Pd-nsn
:	:	Z

3.1.	3.1.	Mdo
dospjelom	dospjeli	Agpfsiy
,	,	Z
a	a	Cc
nenaplaćenom	nenaplaćen	Agpmsly
računu	račun	Ncmsl
za	za	Sa
pojedinog	pojedini	Agpmsayy
kupca	kupac	Ncmsay
prema	prema	Sl
datumu	datum	Ncmsl
izdavanja	izdavanje	Ncnsg
računa	račun	Ncmsg
:	:	Z

–	–	Agpmsny
redni	redni	Agpmsny
broj	broj	Ncmsn
kupca	kupac	Ncmsg
(	(	Z
pod	pod	Si
II	ii	Mro
.	.	Z
1	1	Mdc
)	)	Z
,	,	Z

–	–	Z
oznaka	oznaka	Ncfsn
broja	broj	Ncmsg
–	–	Z
unosi	unositi	Vmr3s
se	sebe	Px--sa
oznaka	oznaka	Ncfsn
1	1	Mdc
ukoliko	ukoliko	Cs
se	sebe	Px--sa
upisuje	upisivati	Vmr3s
OIB	OIB	Npmsn
kupca	kupac	Ncmsg
,	,	Z
oznaka	oznaka	Ncfsn
2	2	Mdc
ukoliko	ukoliko	Cs
se	sebe	Px--sa
unosi	unositi	Vmr3s
PDV	PDV	Npmsn
identifikacijski	identifikacijski	Agpmsny
broj	broj	Ncmsn
,	,	Z
oznaka	oznaka	Ncfsn
3	3	Mdc
ukoliko	ukoliko	Cs
se	sebe	Px--sa
unose	unositi	Vmr3p
ostali	ostali	Agpmpny
porezni	porezni	Agpmpny
brojevi	broj	Ncmpn
(	(	Z
pod	pod	Si
II	ii	Mro
.	.	Z
2.	2.	Mdo
)	)	Z
,	,	Z

–	–	Agpmsny
porezni	porezni	Agpmsny
broj	broj	Ncmsn
–	–	Z
PDV	PDV	Npmsn
identifikacijski	identifikacijski	Agpmsny
broj	broj	Ncmsn
ili	ili	Cc
porezni	porezni	Agpmsny
broj	broj	Ncmsn
ili	ili	Cc
OIB	oi	Aspmsgn
kupca	kupac	Ncmsg
–	–	Z
ukoliko	ukoliko	Cs
pojedini	pojedini	Agpmsny
kupac	kupac	Ncmsn
koji	koji	Pi-msn
se	sebe	Px--sa
vodi	voditi	Vmr3s
pod	pod	Si
jednim	jedan	Agpmsiy
poreznim	porezni	Agpmsiy
brojem	broj	Ncmsi
nije	biti	Var3s
podmirio	podmiriti	Vmp-sm
više	mnogo	Rgc
od	od	Sg
jednog	jedan	Mlcmsg
dospjelog	dospjeli	Agpmsgy
računa	račun	Ncmsg
,	,	Z
porezni	porezni	Agpmsny
broj	broj	Ncmsn
se	sebe	Px--sa
upisuje	upisivati	Vmr3s
jedanput	jedanput	Rgp
za	za	Sa
sve	sav	Agpmpay
račune	račun	Ncmpa
(	(	Z
pod	pod	Si
II	ii	Mro
.	.	Z
3.	3.	Mdo
)	)	Z
,	,	Z

–	–	Agpmsny
naziv	naziv	Ncmsn
/	/	Z
ime	ime	Ncnsa
i	i	Cc
prezime	prezime	Ncnsa
kupca	kupac	Ncmsg
–	–	Z
ukoliko	ukoliko	Cs
pojedini	pojedini	Agpmsny
kupac	kupac	Ncmsn
nije	biti	Var3s
podmirio	podmiriti	Vmp-sm
više	mnogo	Rgc
od	od	Sg
jednog	jedan	Mlcmsg
dospjelog	dospjeli	Agpmsgy
računa	račun	Ncmsg
,	,	Z
naziv	naziv	Ncmsn
/	/	Z
ime	ime	Ncnsa
i	i	Cc
prezime	prezime	Ncnsa
upisuje	upisivati	Vmr3s
se	sebe	Px--sa
jedanput	jedanput	Rgp
za	za	Sa
sve	sav	Agpmpay
račune	račun	Ncmpa
(	(	Z
pod	pod	Si
II	ii	Mro
.	.	Z
4.	4.	Mdo
)	)	Z
,	,	Z

–	–	Agpmsny
redni	redni	Agpmsny
broj	broj	Ncmsn
računa	račun	Ncmsg
(	(	Z
pod	pod	Si
II	ii	Mro
.	.	Z
5.	5.	Mdo
)	)	Z
,	,	Z

–	–	Agpmsny
broj	broj	Ncmsn
izdanog	izdan	Agpmsgy
računa	račun	Ncmsg
(	(	Z
pod	pod	Si
II	ii	Mro
.	.	Z
6.	6.	Mdo
)	)	Z
,	,	Z

–	–	Agpmsny
datum	datum	Ncmsn
izdanog	izdan	Agpmsgy
računa	račun	Ncmsg
(	(	Z
pod	pod	Si
II	ii	Mro
.	.	Z
7.	7.	Mdo
)	)	Z
,	,	Z

–	–	Z
valuta	valuta	Ncfsn
plaćanja	plaćanje	Ncnsg
računa	račun	Ncmsg
–	–	Z
upisuje	upisivati	Vmr3s
se	sebe	Px--sa
datum	datum	Ncmsn
dospijeća	dospijeće	Ncnsg
plaćanja	plaćanje	Ncnsg
računa	račun	Ncmsg
(	(	Z
pod	pod	Si
II	ii	Mro
.	.	Z
8	8	Mdc
)	)	Z
,	,	Z

–	–	Sa
broj	broj	Ncmsan
dana	dan	Ncmpg
kašnjenja	kašnjenje	Ncnsg
u	u	Sl
plaćanju	plaćanje	Ncnsl
–	–	Z
upisuje	upisivati	Vmr3s
se	sebe	Px--sa
broj	broj	Ncmsn
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
valute	valuta	Ncfsg
plaćanja	plaćanje	Ncnsg
do	do	Sg
zadnjeg	zadnji	Agpmsgy
dana	dan	Ncmsg
u	u	Sl
mjesecu	mjesec	Ncmsl
koji	koji	Pi-msn
prethodi	prethoditi	Vmr3s
mjesecu	mjesec	Ncmsd
podnošenja	podnošenje	Ncnsg
statističkog	statistički	Agpnsgy
izvješća	izvješće	Ncnsg
(	(	Z
uključujući	uključivati	Rr
i	i	Qo
taj	taj	Pd-msan
dan	dan	Ncmsan
)	)	Z
(	(	Z
pod	pod	Si
II	ii	Mro
.	.	Z
9	9	Mdc
)	)	Z
,	,	Z

–	–	Agpmsny
iznos	iznos	Ncmsn
računa	račun	Ncmsg
bez	bez	Sg
PDV-a	PDV	Npmsg
(	(	Z
pod	pod	Si
II	ii	Mro
.	.	Z
10.	10.	Mdo
)	)	Z
,	,	Z

–	–	Agpmsny
iznos	iznos	Ncmsn
PDV-a	PDV	Npmsg
ili	ili	Cc
0,00	0,00	Mdc
ukoliko	ukoliko	Cs
na	na	Sa

