intersticija	interstican	Agpnpgy
s	sa	Si
vrlo	vrlo	Rgp
teškim	težak	Agpmpiy
ili	ili	Cc
teškim	težak	Agpmpiy
KK	KK	Npmsan
11,83	11,83	Mdc
221.812,50	221.812,50	Mdc
F01B	f01i	Agpnsny
Umetanje	umetanje	Ncnsn
ili	ili	Cc
zamjena	zamjena	Ncfsn
automatskog	automatski	Agpmsgy
kardioverter-defibrilatora	kardioverter-defibrilator	Ncmsg
,	,	Z
potpuni	potpun	Agpmsny
sustav	sustav	Ncmsn
,	,	Z
bez	bez	Sg
vrlo	vrlo	Rgp
teških	težak	Agpfpgy
ili	ili	Cc
teških	težak	Agpmpgy
KK	k	Ncmpg
9,48	9,48	Mdc
177.750,00	177.750,00	Mdc
F02Z	f02i	Agpnsny
Umetanje	umetanje	Ncnsn
ili	ili	Cc
zamjena	zamjena	Ncfsn
dijela	dio	Ncmsg
automatskog	automatski	Agpmsgy
kardioverter-defibrilatora	kardioverter-defibrilator	Ncmsg
4,68	4,68	Mdc
87.750,00	87.750,00	Mdc
F03Z	f03z	Agpmpny
Postupci	postupak	Ncmpn
na	na	Sl
zalisku	zalizak	Ncmsl
srca	srce	Ncnsg
s	sa	Si
primjenom	primjena	Ncfsi
crpke	crpka	Ncfsg
za	za	Sa
kardiopulmonalno	kardiopulmonalni	Agpnsay
premoštenje	premoštenje	Ncnsa
,	,	Z
s	sa	Si
invazivnom	invazivan	Agpfsiy
dijagnostikom	dijagnostika	Ncfsi
na	na	Sl
srcu	srce	Ncnsl
10,09	10,09	Mdc
189.187,50	189.187,50	Mdc
F04A	f04a	Mlompn
Postupci	postupak	Ncmpn
na	na	Sl
zalisku	zalizak	Ncmsl
srca	srce	Ncnsg
s	sa	Si
primjenom	primjena	Ncfsi
crpke	crpka	Ncfsg
za	za	Sa
kardiopulmonalno	kardiopulmonalni	Agpnsay
premoštenje	premoštenje	Ncnsa
,	,	Z
bez	bez	Sg
invazivne	invazivan	Agpfsgy
dijagnostike	dijagnostika	Ncfsg
na	na	Sl
srcu	srce	Ncnsl
,	,	Z
s	sa	Si
vrlo	vrlo	Rgp
teškim	težak	Agpmsiy
KK		Ncmsi
11,41	11,41	Mdc
213.937,50	213.937,50	Mdc
F04B	f04b	Agpmpny
Postupci	postupak	Ncmpn
na	na	Sl
zalisku	zalizak	Ncmsl
srca	srce	Ncnsg
s	sa	Si
primjenom	primjena	Ncfsi
crpke	crpka	Ncfsg
za	za	Sa
kardiopulmonalno	kardiopulmonalni	Agpnsay
premoštenje	premoštenje	Ncnsa
,	,	Z
bez	bez	Sg
invazivne	invazivan	Agpfsgy
dijagnostike	dijagnostika	Ncfsg
na	na	Sl
srcu	srce	Ncnsl
,	,	Z
bez	bez	Sg
vrlo	vrlo	Rgp
teških	težak	Agpmpgy
KK	k	Ncmpg
9,38	9,38	Mdc
175.875,00	175.875,00	Mdc
F05A	F05A	Sa
Koronarno	koronarni	Agpnsay
premoštenje	premoštenje	Ncnsa
s	sa	Si
invazivnom	invazivan	Agpfsiy
dijagnostikom	dijagnostika	Ncfsi
na	na	Sl
srcu	srce	Ncnsl
s	sa	Si
vrlo	vrlo	Rgp
teškim	težak	Agpmsiy
KK		Ncmsi
7,94	7,94	Mdc
148.875,00	148.875,00	Mdc
F05B	f05i	Agpnsny
Koronarno	koronarni	Agpnsny
premoštenje	premoštenje	Ncnsn
s	sa	Si
invazivnom	invazivan	Agpfsiy
dijagnostikom	dijagnostika	Ncfsi
na	na	Sl
srcu	srce	Ncnsl
bez	bez	Sg
vrlo	vrlo	Rgp
teških	težak	Agpmpgy
KK	k	Ncmpg
5,73	5,73	Mdc
107.437,50	107.437,50	Mdc
F06A	F06A	Sa
Koronarno	koronarni	Agpnsay
premoštenje	premoštenje	Ncnsa
bez	bez	Sg
invazivne	invazivan	Agpfsgy
dijagnostike	dijagnostika	Ncfsg
na	na	Sl
srcu	srce	Ncnsl
s	sa	Si
vrlo	vrlo	Rgp
teškim	težak	Agpfpiy
ili	ili	Cc
teškim	težak	Agpmpiy
KK	KK	Npmsan
5,64	5,64	Mdc
105.750,00	105.750,00	Mdc
F06B	f06i	Agpnsny
Koronarno	koronarni	Agpnsny
premoštenje	premoštenje	Ncnsn
bez	bez	Sg
invazivne	invazivan	Agpfsgy
dijagnostike	dijagnostika	Ncfsg
na	na	Sl
srcu	srce	Ncnsl
bez	bez	Sg
vrlo	vrlo	Rgp
teških	težak	Agpfpgy
ili	ili	Cc
teških	težak	Agpmpgy
KK	k	Ncmpg
4,96	4,96	Mdc
93.000,00	93.000,00	Mdc
F07A	F07	Npmsg
Ostali	ostali	Agpmpny
kardiotorakalni	kardiotorakaln	Ncmpn
/	/	Z
krvožilni	krvožilni	Agpmpny
postupci	postupak	Ncmpn
s	sa	Si
primjenom	primjena	Ncfsi
crpke	crpka	Ncfsg
za	za	Sa
kardiopulmonalno	kardiopulmonalni	Agpnsay
premoštenje	premoštenje	Ncnsa
(	(	Z
CPB	CPB	Npmsn
pumpa	pumpati	Vmr3s
)	)	Z
s	sa	Si
vrlo	vrlo	Rgp
teškim	težak	Agpmsiy
KK		Ncmsi
9,25	9,25	Mdc
173.437,50	173.437,50	Mdc
F07B	F07B	Y
Ostali	ostali	Agpmsny
kardiotorakalni	kardiotorakalan	Agpmsny
/	/	Z
krvožilni	krvožilni	Agpmpny
postupci	postupak	Ncmpn
s	sa	Si
primjenom	primjena	Ncfsi
crpke	crpka	Ncfsg
za	za	Sa
kardiopulmonalno	kardiopulmonalni	Agpnsay
premoštenje	premoštenje	Ncnsa
(	(	Z
CPB	CPB	Npmsn
pumpa	pumpati	Vmr3s
)	)	Z
bez	bez	Sg
vrlo	vrlo	Rgp
teških	težak	Agpmpgy
KK	k	Ncmpg
5,97	5,97	Mdc
111.937,50	111.937,50	Mdc
F08A	F08	Npmsg
Veliki	velik	Agpmpny
rekonstrukcijski	rekonstrukcijski	Agpmpny
postupci	postupak	Ncmpn
na	na	Sl
krvožilnom	krvožilni	Agpmsly
sustavu	sustav	Ncmsl
bez	bez	Sg
primjene	primjena	Ncfsg
crpke	crpka	Ncfsg
za	za	Sa
kardiopulmonalno	kardiopulmonalni	Agpnsay
premoštenje	premoštenje	Ncnsa
(	(	Z
CPB	CPB	Npmsn
pumpa	pumpati	Vmr3s
)	)	Z
s	sa	Si
vrlo	vrlo	Rgp
teškim	težak	Agpmsiy
KK		Ncmsi
8,39	8,39	Mdc
157.312,50	157.312,50	Mdc
F08B	F08B	Pd-mpn
Veliki	velik	Agpmpny
rekonstrukcijski	rekonstrukcijski	Agpmpny
postupci	postupak	Ncmpn
na	na	Sl
krvožilnom	krvožilni	Agpmsly
sustavu	sustav	Ncmsl
bez	bez	Sg
primjene	primjena	Ncfsg
crpke	crpka	Ncfsg
za	za	Sa
kardiopulmonalno	kardiopulmonalni	Agpnsay
premoštenje	premoštenje	Ncnsa
(	(	Z
CPB	CPB	Npmsn
pumpa	pumpati	Vmr3s
)	)	Z
bez	bez	Sg
vrlo	vrlo	Rgp
teških	težak	Agpmpgy
KK	k	Ncmpg
4,1	4,1	Mdc
76.875,00	76.875,00	Mdc
F09A	F09	Npmsg
Ostali	ostali	Agpmpny
kardiotorakalni	kardiotorakalan	Agpmpny
postupci	postupak	Ncmpn
bez	bez	Sg
primjene	primjena	Ncfsg
crpke	crpka	Ncfsg
za	za	Sa
kardiopulmonalno	kardiopulmonalni	Agpnsay
premoštenje	premoštenje	Ncnsa
(	(	Z
CPB	CPB	Npmsn
pumpa	pumpati	Vmr3s
)	)	Z
s	sa	Si
vrlo	vrlo	Rgp
teškim	težak	Agpmsiy
KK		Ncmsi
6,22	6,22	Mdc
116.625,00	116.625,00	Mdc
F09B	F09B	Pd-mpn
Ostali	ostali	Agpmpny
kardiotorakalni	kardiotorakalan	Agpmpny
postupci	postupak	Ncmpn
bez	bez	Sg
primjene	primjena	Ncfsg
crpke	crpka	Ncfsg
za	za	Sa
kardiopulmonalno	kardiopulmonalni	Agpnsay
premoštenje	premoštenje	Ncnsa
(	(	Z
CPB	CPB	Npmsn
pumpa	pumpati	Vmr3s
)	)	Z
bez	bez	Sg
vrlo	vrlo	Rgp
teških	težak	Agpmpgy
KK	k	Ncmpg
3,71	3,71	Mdc
69.562,50	69.562,50	Mdc
F10Z	F10Z	Sg
Perkutana	Perkutan	Npmsg
koronarna	koronarni	Agpfsny
intervencija	intervencija	Ncfsn
s	sa	Si
akutnim	akutan	Agpmsiy
infarktom	infarkt	Ncmsi
miokarda	miokard	Ncmsg
2,75	2,75	Mdc
51.562,50	51.562,50	Ncfpg
F11A	f11i	Agpfsny
Amputacija	amputacija	Ncfsn
zbog	zbog	Sg
poremećaja	poremećaj	Ncmsg
cirkulacijskog	cirkulacijski	Agpmsgy
sustava	sustav	Ncmsg
,	,	Z
osim	osim	Sg
gornje	gornji	Agpfsgy
okrajine	okrajina	Ncfsg
i	i	Cc
prsta	prst	Ncmsg
na	na	Sl
nozi	noga	Ncfsl
,	,	Z
s	sa	Si
vrlo	vrlo	Rgp
teškim	težak	Agpmsiy
KK		Ncmsi
4,44	4,44	Mdc
83.250,00	83.250,00	Mdc
F11B	F11B	Pi-fsn
Amputacija	amputacija	Ncfsn
zbog	zbog	Sg
poremećaja	poremećaj	Ncmsg
cirkulacijskog	cirkulacijski	Agpmsgy
sustava	sustav	Ncmsg
,	,	Z
osim	osim	Sg
gornje	gornji	Agpfsgy
okrajine	okrajina	Ncfsg
i	i	Cc
prsta	prst	Ncmsg
na	na	Sl
nozi	noga	Ncfsl
,	,	Z
bez	bez	Sg
vrlo	vrlo	Rgp
teških	težak	Agpmpgy
KK	k	Ncmpg
2,2	2,2	Mdc
41.250,00	41.250,00	Mdc
F12Z	f12i	Agpnsny
Umetanje	umetanje	Ncnsn
elektrostimulatora	elektrostimulator	Ncmsg
srca	srce	Ncnsg
2,28	2,28	Mdc
42.750,00	42.750,00	Mdc
F13Z	F13Z	Pi-fsn
Amputacija	amputacija	Ncfsn
gornje	gornji	Agpfsgy
okrajine	okrajina	Ncfsg
i	i	Cc
prsta	prst	Ncmsg
na	na	Sl
nozi	noga	Ncfsl
zbog	zbog	Sg
poremećaja	poremećaj	Ncmsg
cirkulacijskog	cirkulacijski	Agpmsgy
sustava	sustav	Ncmsg
1,72	1,72	Mdc
32.250,00	32.250,00	Mdc
F14A	f14a	Mlompn
Postupci	postupak	Ncmpn
na	na	Sl
krvožilnom	krvožilni	Agpmsly
sustavu	sustav	Ncmsl
,	,	Z
osim	osim	Sg
velike	velik	Agpfsgy
rekonstr	rekonsta	Ncfsg
,,	,,	Z
bez	bez	Sg
primjene	primjena	Ncfsg
crpke	crpka	Ncfsg
za	za	Sa
kardiopulmonalno	kardiopulmonalni	Agpnsay
premoštenje	premoštenje	Ncnsa
(	(	Z
CPB	CPB	Npmsn
pumpa	pumpati	Vmr3s
)	)	Z
,	,	Z
s	sa	Si
vrlo	vrlo	Rgp
teškim	težak	Agpmsiy
KK		Ncmsi
2,84	2,84	Mdc
53.250,00	53.250,00	Mdc
F14B	f14b	Agpmpny
Postupci	postupak	Ncmpn
na	na	Sl
krvožil	krvoži	Ncmsl
,	,	Z
sustavu	sustav	Ncmsl
,	,	Z
osim	osim	Sg
velike	velik	Agpfsgy
rekonstr	rekonsta	Ncfsg
,	,	Z
bez	bez	Sg
primjene	primjena	Ncfsg
crpke	crpka	Ncfsg
za	za	Sa
kardiopulmon	kardiopulmon	Ncmsan
,	,	Z
premoštenje	premoštenje	Ncnsa
(	(	Z
CPB	CPB	Npmsn
pumpa	pumpati	Vmr3s
)	)	Z
,	,	Z
s	sa	Si
teškim	težak	Agpmpiy
KK	k	Ncmpi
2,21	2,21	Mdc
41.437,50	41.437,50	Mdc
F14C	f14c	Agpmpny
Postupci	postupak	Ncmpn
na	na	Sl
krvožil	krvoži	Ncmsl
,	,	Z
sustavu	sustav	Ncmsl
,	,	Z
osim	osim	Sg
velike	velik	Agpfsgy
rekonstr	rekonsta	Ncfsg
,	,	Z
bez	bez	Sg
primjene	primjena	Ncfsg
crpke	crpka	Ncfsg
za	za	Sa
kardiopulmon	kardiopulmoi	Agpnsay
premoštenje	premoštenje	Ncnsa
(	(	Z
CPB	CPB	Npmsn
pump	pump	Ncmsn
)	)	Z
,	,	Z
bez	bez	Sg
vrlo	vrlo	Rgp
teških	težak	Agpfpgy
ili	ili	Cc
teških	težak	Agpmpgy
KK	k	Ncmpg
1,62	1,62	Mdc
30.375,00	30.375,00	Mdc
F15Z	F15Z	Sg
Perkutana	Perkutan	Npmsg
koronarna	koronarni	Agpfsny
intervencija	intervencija	Ncfsn
,	,	Z
bez	bez	Sg
akutnog	akutan	Agpmsgy
infarkta	infarkt	Ncmsg
miokarda	miokard	Ncmsg
,	,	Z
s	sa	Si
umetanjem	umetanje	Ncnsi
stenta	stent	Ncmsg
2,65	2,65	Mdc
49.687,50	49.687,50	Mdc
F16Z	F16Z	Sg
Perkutana	Perkutan	Npmsg
koronarna	koronarni	Agpfsny
intervencija	intervencija	Ncfsn
,	,	Z
bez	bez	Sg
akutnog	akutan	Agpmsgy
infarkta	infarkt	Ncmsg
miokarda	miokarda	Ncfpg
,	,	Z
bez	bez	Sg
umetanja	umetanje	Ncnsg
stenta	stent	Ncmsg
1,8	1,8	Mdc
33.750,00	33.750,00	Mdc
F17Z	f17	Ncmpg
Zamjena	zamjena	Ncfsn
elektrostimulatora	elektrostimulator	Ncmsg
srca	srce	Ncnsg
2,79	2,79	Mdc
52.312,50	52.312,50	Mdc
F18Z	F18Z	Pi-fsn
Revizija	revizija	Ncfsn
elektrostimulatora	elektrostimulator	Ncmsg
srca	srce	Ncnsg
,	,	Z
osim	osim	Sg
zamjene	zamjena	Ncfsg
uređaja	uređaj	Ncmpg
1,76	1,76	Mdc
33.000,00	33.000,00	Mdc
F19Z	f19i	Agpfpny
Ostale	ostali	Agpfpny
transvaskularne	transvaskularna	Ncfpn
perkutane	perkutan	Agpfpay
intervencije	intervencija	Ncfpa
na	na	Sl
srcu	srce	Ncnsl
3,79	3,79	Mdc
71.062,50	71.062,50	Mdc
F20Z	f20i	Agpnsny
Postavljanje	postavljanje	Ncnsn
ligature	ligatura	Ncfsg
na	na	Sa
venu	vena	Ncfsa
i	i	Cc
njezino	njezin	Ps3nsa
uklanjanje	uklanjanje	Ncnsa
(	(	Z
stripping	stripping	Xf
)	)	Z
0,39	0,39	Mdc
7.312,50	7.312,50	Mdc
F21A	f21	Ncmpg
Ostali	ostali	Agpmpny
operativni	operativan	Agpmpny
postupci	postupak	Ncmpn
na	na	Sl
cirkulacijskom	cirkulacijski	Agpmsly
sustavu	sustav	Ncmsl
s	sa	Si
vrlo	vrlo	Rgp
teškim	težak	Agpmsiy
KK		Ncmsi
1,51	1,51	Mdc
28.312,50	28.312,50	Mdc

