jedna	jedan	Mlcfsn
pribavile	pribaviti	Vmp-pf
kod	kod	Sg
otvaranja	otvaranje	Ncnsg
računa	račun	Ncmsg
,	,	Z
uključujući	uključivati	Rr
svu	sav	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
prikupljenu	prikupiti	Appfsay
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
propisima	propis	Ncmpi
koji	koji	Pi-mpn
uređuju	uređivati	Vmr3p
područje	područje	Ncnsa
sprječavanja	sprječavanje	Ncnsg
pranja	pranje	Ncnsg
novca	novac	Ncmsg
i	i	Cc
financiranja	financiranje	Ncnsg
terorizma	terorizam	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Izjava	izjava	Ncfsn
o	o	Sl
rezidentnosti	rezidentnost	Ncfsl
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
podrazumijeva	podrazumijevati	Vmr3s
izjavu	izjava	Ncfsa
imatelja	imatelj	Ncmpg
računa	račun	Ncmsg
kojom	koji	Pi-fsi
izjavljuje	izjavljivati	Vmr3s
svoju	svoj	Px-fsa
rezidentnost	rezidentnost	Ncfsa
u	u	Sa
svrhu	svrha	Ncfsa
oporezivanja	oporezivanje	Ncnsg
.	.	Z

3.1.2.	3.1.2.	Mdo

Pojam	pojam	Ncmsn
rezidentnosti	rezidentnost	Ncfsg
u	u	Sl
državi	država	Ncfsl
članici	članica	Ncfsl
i	i	Cc
drugoj	drugi	Mlofsl
jurisdikciji	jurisdikcija	Ncfsl

Članak	članak	Ncmsn
31.	31.	Mdo

Ako	ako	Cs
se	sebe	Px--sa
na	na	Sl
temelju	temelj	Ncmsl
izjave	izjava	Ncfsg
o	o	Sl
rezidentnosti	rezidentnost	Ncfsl
utvrdi	utvrditi	Vmr3s
da	da	Cs
je	biti	Var3s
imatelj	imatelj	Ncmsn
računa	račun	Ncmsg
rezident	rezidentti	Vmr3s
u	u	Sa
svrhu	svrha	Ncfsa
oporezivanja	oporezivanje	Ncnsg
u	u	Sl
državi	država	Ncfsl
članici	članica	Ncfsl
i	i	Cc
drugoj	drugi	Mlofsl
jurisdikciji	jurisdikcija	Ncfsl
,	,	Z
izvještajne	izvještajni	Agpfpny
financijske	financijski	Agpfpny
institucije	institucija	Ncfpn
obvezne	obvezan	Agpfsgy
su	biti	Var3p
račun	račun	Ncmsan
smatrati	smatrati	Vmn
računom	račun	Ncmsi
o	o	Sl
kojem	koji	Pi-msl
se	sebe	Px--sa
izvješćuje	izvješćivati	Vmr3s
,	,	Z
a	a	Cc
izjava	izjava	Ncfsn
o	o	Sl
rezidentnosti	rezidentnost	Ncfsl
imatelja	imatelj	Ncmpg
računa	račun	Ncmsg
mora	morati	Vmr3s
sadržavati	sadržavati	Vmn
porezni	porezni	Agpmsayn
identifikacijski	identifikacijski	Agpmsayn
broj	broj	Ncmsan
imatelja	imatelj	Ncmpg
računa	račun	Ncmsg
s	sa	Si
obzirom	obzir	Ncmsi
na	na	Sa
tu	taj	Pd-fsa
državu	država	Ncfsa
članicu	članica	Ncfsa
i	i	Cc
drugu	drugi	Mlofsa
jurisdikciju	jurisdikcija	Ncfsa
,	,	Z
osim	osim	Cs
u	u	Sl
slučaju	slučaj	Ncmsl
da	da	Cs
dotična	dotičan	Agpfsny
država	država	Ncfsn
članica	članica	Ncfsn
i	i	Cc
druga	drugi	Mlofsn
jurisdikcija	jurisdikcija	Ncfsn
rezidentnosti	rezidentnost	Ncfsg
ne	ne	Qz
izdaje	izdavati	Vmr3s
porezni	porezni	Agpmsayn
identifikacijski	identifikacijski	Agpmsayn
broj	broj	Ncmsan
,	,	Z
te	te	Cc
mora	morati	Vmr3s
sadržavati	sadržavati	Vmn
datum	datum	Ncmsan
rođenja	rođenje	Ncnsg
.	.	Z

3.1.3.	3.1.3.	Mdo

Promjena	promjena	Ncfsn
okolnosti	okolnost	Ncfsg

Članak	članak	Ncmsn
32.	32.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Ako	ako	Cs
se	sebe	Px--sa
promijene	promijeniti	Agpfsgy
okolnosti	okolnost	Ncfsg
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
novi	nov	Agpmsayn
račun	račun	Ncmsan
fizičke	fizički	Agpfsgy
osobe	osoba	Ncfsg
na	na	Sl
osnovi	osnova	Ncfsl
kojih	koji	Pi-mpg
izvještajne	izvještajni	Agpfpny
financijske	financijski	Agpfpny
institucije	institucija	Ncfpn
imaju	imati	Vmr3p
saznanja	saznanje	Ncnsg
ili	ili	Cc
razloga	razlog	Ncmsg
vjerovati	vjerovati	Vmn
da	da	Cs
je	biti	Var3s
izvorna	izvoran	Agpfsny
izjava	izjava	Ncfsn
o	o	Sl
rezidentnosti	rezidentnost	Ncfsl
netočna	netočan	Agpfsny
ili	ili	Cc
nepouzdana	nepouzdan	Agpfsny
,	,	Z
izvještajne	izvještajni	Agpfpny
financijske	financijski	Agpfpny
institucije	institucija	Ncfpn
se	sebe	Px--sa
u	u	Sl
tom	taj	Pd-msl
slučaju	slučaj	Ncmsl
ne	ne	Qz
mogu	moći	Vmr3p
osloniti	osloniti	Vmn
na	na	Sa
izvornu	izvoran	Agpfsay
izjavu	izjava	Ncfsa
o	o	Sl
rezidentnosti	rezidentnost	Ncfsl
i	i	Cc
obvezne	obvezan	Agpfpny
su	biti	Var3p
pribaviti	pribaviti	Vmn
valjanu	valjan	Agpfsay
izjavu	izjava	Ncfsa
o	o	Sl
rezidentnosti	rezidentnost	Ncfsl
imatelja	imatelj	Ncmpg
računa	račun	Ncmsg
kojom	koji	Pi-fsi
se	sebe	Px--sa
utvrđuje	utvrđivati	Vmr3s
rezidentnost	rezidentnost	Ncfsn
imatelja	imatelj	Ncmpg
računa	račun	Ncmsg
u	u	Sa
svrhu	svrha	Ncfsa
oporezivanja	oporezivanje	Ncnsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Izvještajne	izvještajni	Agpfpny
financijske	financijski	Agpfpny
institucije	institucija	Ncfpn
obvezne	obvezan	Agpfpny
su	biti	Var3p
u	u	Sl
roku	rok	Ncmsl
90	90	Mdc
dana	dan	Ncmpg
od	od	Sg
promjene	promjena	Ncfsg
okolnosti	okolnost	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
pribaviti	pribaviti	Vmn
valjanu	valjan	Agpfsay
izjavu	izjava	Ncfsa
o	o	Sl
rezidentnosti	rezidentnost	Ncfsl
imatelja	imatelj	Ncmpg
računa	račun	Ncmsg
kojom	koji	Pi-fsi
se	sebe	Px--sa
utvrđuje	utvrđivati	Vmr3s
rezidentnost	rezidentnost	Ncfsn
imatelja	imatelj	Ncmpg
računa	račun	Ncmsg
u	u	Sa
svrhu	svrha	Ncfsa
oporezivanja	oporezivanje	Ncnsg
.	.	Z

4.	4.	Mdo
Dubinska	dubinski	Agpfsny
analiza	analiza	Ncfsn
postojećih	postojeći	Agpmpgy
računa	račun	Ncmpg
subjekata	subjekt	Ncmpg

4.1.	4.1.	Mdo

Utvrđivanje	utvrđivanje	Ncnsn
računa	račun	Ncmpg
o	o	Sl
kojima	koji	Pi-mpl
se	sebe	Px--sa
izvješćuje	izvješćivati	Vmr3s

4.1.1.	4.1.1.	Mdo

Utvrđivanje	utvrđivanje	Ncnsn
iznosa	iznos	Ncmsg
na	na	Sl
računima	račun	Ncmpl

Članak	članak	Ncmsn
33.	33.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Ako	ako	Cs
agregirano	agregirati	Agpnsny
stanje	stanje	Ncnsn
ili	ili	Cc
vrijednost	vrijednost	Ncfsn
postojećeg	postojeći	Agpmsgy
računa	račun	Ncmsg
subjekta	subjekt	Ncmsg
na	na	Sa
dan	dan	Ncmsan
31.	31.	Mdo
prosinca	prosinac	Ncmsg
2015.	2015.	Mdo
ne	ne	Qz
premašuje	premašivati	Vmr3s
kunski	kunski	Agpmsny
iznos	iznos	Ncmsn
koji	koji	Pi-msn
odgovara	odgovarati	Vmr3s
iznosu	iznos	Ncmsd
od	od	Sg
250.000	250.000	Mdc
USD	USD	Ncmpg
,	,	Z
tada	tada	Rgp
financijske	financijski	Agpfpny
institucije	institucija	Ncfpn
nisu	biti	Var3p
obvezne	obvezan	Agpfpny
provjeravati	provjeravati	Vmn
taj	taj	Pd-msan
račun	račun	Ncmsan
,	,	Z
utvrđivati	utvrđivati	Vmn
ili	ili	Cc
prijavljivati	prijavljivati	Vmn
isti	isti	Agpmsayn
kao	kao	Cs
račun	račun	Ncmsan
o	o	Sl
kojem	koji	Pi-msl
se	sebe	Px--sa
izvješćuje	izvješćivati	Vmr3s
,	,	Z
sve	sve	Qo
dok	dok	Cs
agregirano	agregirati	Agpnsny
stanje	stanje	Ncnsn
računa	račun	Ncmsg
ili	ili	Cc
vrijednost	vrijednost	Ncfsn
ne	ne	Qz
bude	biti	Var3s
veća	velik	Agcfsny
od	od	Sg
tog	taj	Pd-msg
iznosa	iznos	Ncmsg
na	na	Sa
posljednji	posljednji	Agpmsayn
dan	dan	Ncmsan
u	u	Sa
bilo	biti	Vap-sn

