relevantan	relevantan	Agpmsnn
ovog	ovaj	Pd-msg
Kodeksa	kodeks	Ncmsg
razmatraju	razmatrati	Vmr3p
se	sebe	Px--sa
sukobi	sukob	Ncmpn
interesa	interes	Ncmsg
za	za	Sa
profesionalne	profesionalan	Agpmpay
računovođe	računovođa	Ncmpa
u	u	Sl
javnoj	javan	Agpfsly
praksi	praksa	Ncfsl
,	,	Z
odnosno	odnosno	Rgp
za	za	Sa
profesionalne	profesionalan	Agpmpay
računovođe	računovođa	Ncmpa
u	u	Sl
gospodarstvu	gospodarstvo	Ncnsl
.	.	Z

Rješavanje	rješavanje	Ncnsn
etičkih	etički	Agpmpgy
sukoba	sukob	Ncmpg

100.19	100.19	Mds
Od	od	Sg
profesionalnog	profesionalan	Agpmsgy
računovođe	računovođa	Ncmsg
može	moći	Vmr3s
se	sebe	Px--sa
zahtijevati	zahtijevati	Vmn
da	da	Cs
riješi	riješiti	Vmr3s
sukob	sukob	Ncmsan
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
postupanjem	postupanje	Ncnsi
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
temeljnim	temeljan	Agpnpiy
načelima	načelo	Ncnpi
.	.	Z

100.20	100.20	Mds
Kada	kada	Cs
započinje	započinjati	Vmr3s
službeni	služben	Agpmsny
ili	ili	Cc
neslužbeni	neslužben	Agpmsny
postupak	postupak	Ncmsn
rješavanja	rješavanje	Ncnsg
sukoba	sukob	Ncmpg
,	,	Z
sljedeći	sljedeći	Agpmpny
čimbenici	čimbenik	Ncmpn
,	,	Z
pojedinačno	pojedinačno	Rgp
ili	ili	Cc
zajedno	zajedno	Rgp
s	sa	Si
drugim	drugi	Mlompi
čimbenicima	čimbenik	Ncmpi
,	,	Z
mogu	moći	Vmr3p
biti	biti	Van
relevantni	relevantan	Agpmpny
za	za	Sa
taj	taj	Pd-msan
postupak	postupak	Ncmsan
:	:	Z

(	(	Z
a	a	Cc
)	)	Z
relevantne	relevantan	Agpfsgy
činjenice	činjenica	Ncfsg
;	;	Z

(	(	Z
b	b	X
)	)	Z
etička	etički	Agpnpny
pitanja	pitanje	Ncnpn
o	o	Sl
kojima	koji	Pi-npl
je	biti	Var3s
riječ	riječ	Ncfsn
;	;	Z

(	(	Z
c	C	X
)	)	Z
temeljna	temeljan	Agpnpny
načela	načelo	Ncnpn
povezana	povezan	Agpfsny
s	sa	Si
problematikom	problematika	Ncfsi
o	o	Sl
kojoj	koji	Pi-fsl
se	sebe	Px--sa
radi	raditi	Vmr3s
;	;	Z

(	(	Z
d	i	Agpnsny
)	)	Z
ustanovljeni	ustanoviti	Appmpny
interni	interni	Agpmpny
postupci	postupak	Ncmpn
;	;	Z
i	i	Cc

(	(	Z
e	e	Npmsn
)	)	Z
alternativni	alternativan	Agpmpny
postupci	postupak	Ncmpn
djelovanja	djelovanje	Ncnsg
.	.	Z

Nakon	nakon	Cs
što	što	Cs
je	biti	Var3s
razmotrio	razmotriti	Vmp-sm
relevantne	relevantan	Agpmpay
čimbenike	čimbenik	Ncmpa
,	,	Z
profesionalni	profesionalan	Agpmsny
računovođa	računovođa	Ncmsn
će	htjeti	Var3s
odrediti	odrediti	Vmn
prikladno	prikladan	Agpnsay
postupanje	postupanje	Ncnsa
,	,	Z
sagledavajući	sagledavati	Rr
posljedice	posljedica	Ncfpa
svakog	svaki	Pi-msg
mogućeg	moguć	Agpmsgy
pravca	pravac	Ncmsg
djelovanja	djelovanje	Ncnsg
.	.	Z

Ako	ako	Cs
je	biti	Var3s
problem	problem	Ncmsn
i	i	Cc
dalje	daleko	Rgc
nerazriješen	nerazriješen	Agpmsnn
,	,	Z
profesionalni	profesionalan	Agpmsny
računovođa	računovođa	Ncmsn
može	moći	Vmr3s
poželjeti	poželjeti	Vmn
posavjetovati	posavjetovati	Vmn
se	sebe	Px--sa
s	sa	Si
odgovarajućim	odgovarajući	Agpfpiy
osobama	osoba	Ncfpi
u	u	Sl
revizorskom	revizorski	Agpnsly
društvu	društvo	Ncnsl
ili	ili	Cc
poslodavčevoj	poslodavčev	Agpfsly
organizaciji	organizacija	Ncfsl
radi	radi	Sg
dobivanja	dobivanje	Ncnsg
pomoći	pomoć	Ncfsg
u	u	Sl
postizanju	postizanje	Ncnsl
rješenja	rješenje	Ncnsg
.	.	Z

100.21	100.21	Mds
Gdje	gdje	Cs
problem	problem	Ncmsn
uključuje	uključivati	Vmr3s
sukob	sukob	Ncmsan
s	sa	Si
nekom	neki	Pi-fsi
organizacijom	organizacija	Ncfsi
ili	ili	Cc
unutar	unutar	Sg
nje	on	Pp3fsg
,	,	Z
profesionalni	profesionalan	Agpmsny
računovođa	računovođa	Ncmsn
će	htjeti	Var3s
odrediti	odrediti	Vmn
hoće	htjeti	Vmr3s
li	li	Cs
se	sebe	Px--sa
posavjetovati	posavjetovati	Vmn
s	sa	Si
onima	onaj	Pd-mpd
koji	koji	Pi-mpn
su	biti	Var3p
zaduženi	zadužiti	Appmpny
za	za	Sa
upravljanje	upravljanje	Ncnsa
organizacijom	organizacija	Ncfsi
,	,	Z
kao	kao	Cs
što	što	Cs
su	biti	Var3p
odbor	odbor	Ncmsn
direktora	direktor	Ncmsg
ili	ili	Cc
revizijski	revizijski	Agpmsny
odbor	odbor	Ncmsn
.	.	Z

100.22	100.22	Ncmsn
U	u	Sl
najboljem	dobar	Agsmsly
interesu	interes	Ncmsl
profesionalnog	profesionalan	Agpmsgy
računovođe	računovođa	Ncmsg
može	moći	Vmr3s
biti	biti	Van
da	da	Cs
dokumentira	dokumentirati	Vmr3s
suštinu	suština	Ncfsa
problema	problem	Ncmpg
,	,	Z
pojedinosti	pojedinost	Ncfsg
svake	svaki	Pi-fsg
održane	održan	Agpfsgy
rasprave	rasprava	Ncfsg
i	i	Cc
odluke	odluka	Ncfpa
koje	koji	Pi-fpn
su	biti	Var3p
donesene	donijeti	Appfpny
u	u	Sl
vezi	veza	Ncfsl
tog	taj	Pd-msg
problema	problem	Ncmsg
.	.	Z

100.23	100.23	Mds
Ako	ako	Cs
se	sebe	Px--sa
značajan	značajan	Agpmsnn
sukob	sukob	Ncmsn
ne	ne	Qz
može	moći	Vmr3s
riješiti	riješiti	Vmn
,	,	Z
profesionalni	profesionalan	Agpmsny
računovođa	računovođa	Ncmsn
može	moći	Vmr3s
razmotriti	razmotriti	Vmn
dobivanje	dobivanje	Ncnsa
profesionalnog	profesionalan	Agpmsgy
savjeta	savjet	Ncmsg
od	od	Sg
relevantnog	relevantan	Agpnsgy
profesionalnog	profesionalan	Agpnsgy
tijela	tijelo	Ncnsg
ili	ili	Cc
pravnog	pravni	Agpmsgy
savjetnika	savjetnik	Ncmsg
.	.	Z

Profesionalni	profesionalan	Agpmsny
računovođa	računovođa	Ncmsn
u	u	Sl
načelu	načelo	Ncnsl
može	moći	Vmr3s
dobiti	dobiti	Vmn
upute	uputa	Ncfpa
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
etičkim	etički	Agpnsiy
pitanjem	pitanje	Ncnsi
bez	bez	Sg
kršenja	kršenje	Ncnsg
temeljnog	temeljan	Agpnsgy
načela	načelo	Ncnsg
povjerljivost	povjerljivost	Ncfsn
ako	ako	Cs
se	sebe	Px--sa
problem	problem	Ncmsn
razmatra	razmatrati	Vmr3s
s	sa	Si
relevantnim	relevantan	Agpmsiy
profesionalnim	profesionalan	Agpnsiy
tijelom	tijelo	Ncnsi
bez	bez	Sg

