definiranim	definirati	Agpfpiy
UCITS	ucits	Agpmpny
fondovi	fond	Ncmpn
izloženi	izložiti	Appmpny
ili	ili	Cc
bi	biti	Vaa3p
mogli	moći	Vmp-pm
biti	biti	Van
izloženi	izložiti	Appmpny
u	u	Sl
svom	svoj	Px-msl
poslovanju	poslovanje	Ncnsl
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Društvo	društvo	Ncnsn
za	za	Sa
upravljanje	upravljanje	Ncnsa
dužno	dužan	Agpnsny
je	biti	Var3s
u	u	Sl
okviru	okvir	Ncmsl
procesa	proces	Ncmsg
upravljanja	upravljanje	Ncnsg
rizicima	rizik	Ncmpd
,	,	Z
a	a	Cc
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
vrstom	vrsta	Ncfsi
,	,	Z
opsegom	opseg	Ncmsi
i	i	Cc
složenosti	složenost	Ncfsg
svoga	svoj	Px-nsg
poslovanja	poslovanje	Ncnsg
,	,	Z
uspostaviti	uspostaviti	Vmn
sveobuhvatan	sveobuhvatan	Agpmsann
i	i	Cc
učinkovit	učinkovit	Agpmsann
proces	proces	Ncmsan
procjene	procjena	Ncfsg
kreditne	kreditan	Agpfsgy
sposobnosti	sposobnost	Ncfsg
izdavatelja	izdavatelj	Ncmsg
u	u	Sa
koje	koji	Pi-mpa
namjerava	namjeravati	Vmr3s
ulagati	ulagati	Vmn
ili	ili	Cc
ulaže	ulagati	Vmr3s
svoju	svoj	Px-fsa
imovinu	imovina	Ncfsa
i	i	Cc
imovinu	imovina	Ncfsa
UCITS	UCIT	Npmpg
fondova	fond	Ncmpg
.	.	Z

Za	za	Sa
procjenu	procjena	Ncfsa
kreditne	kreditan	Agpfsgy
sposobnosti	sposobnost	Ncfsg
izdavatelja	izdavatelj	Ncmpg
u	u	Sa
koje	koji	Pi-mpa
se	sebe	Px--sa
ulaže	ulagati	Vmr3s
imovina	imovina	Ncfsn
UCITS	UCITS	Npmsn
fonda	fond	Ncmsg
i	i	Cc
društva	društvo	Ncnsg
za	za	Sa
upravljanje	upravljanje	Ncnsa
,	,	Z
društvo	društvo	Ncnsa
za	za	Sa
upravljanje	upravljanje	Ncnsa
ne	ne	Qz
smije	smjeti	Vmr3s
se	sebe	Px--sa
automatski	automatski	Rgp
ili	ili	Cc
isključivo	isključivo	Rgp
oslanjati	oslanjati	Vmn
na	na	Sa
kreditne	kreditan	Agpmpay
rejtinge	rejting	Ncmpa
koje	koji	Pi-mpa
su	biti	Var3p
dodijelile	dodijeliti	Vmp-pf
agencije	agencija	Ncfpn
za	za	Sa
kreditni	kreditan	Agpmsayn
rejting	rejting	Ncmsan
kako	kako	Cs
je	biti	Var3s
propisano	propisati	Appnsny
u	u	Sl
članku	članak	Ncmsl
3.	3.	Mdo
stavku	stavak	Ncmsl
1.	1.	Mdo
točki	točka	Ncfsl
(	(	Z
b	b	Npmsn
)	)	Z
Uredbe	uredba	Ncfpn
(	(	Z
EZ	EZ	Npmsn
)	)	Z
br.	br.	Y
1060/2009	1060/2009	Mdc
Europskog	europski	Agpmsgy
parlamenta	parlament	Ncmsg
i	i	Cc
Vijeća	vijeće	Ncnsg
od	od	Sg
16.	16.	Mdo
rujna	rujan	Ncmsg
2009.	2009.	Mdo
o	o	Sl
agencijama	agencija	Ncfpl
za	za	Sa
kreditni	kreditan	Agpmsayn
rejting	rejting	Ncmsan
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Društvo	društvo	Ncnsn
za	za	Sa
upravljanje	upravljanje	Ncnsa
dužno	dužan	Agpnsny
je	biti	Var3s
nadzirati	nadzirati	Vmn
,	,	Z
ocjenjivati	ocjenjivati	Vmn
,	,	Z
preispitivati	preispitivati	Vmn
i	i	Cc
ažurirati	ažurirati	Vmn
primjerenost	primjerenost	Ncfsa
,	,	Z
sveobuhvatnost	sveobuhvatnost	Ncfsa
i	i	Cc
učinkovitost	učinkovitost	Ncfsa
donesenih	donesen	Agpfpgy
strategija	strategija	Ncfpg
,	,	Z
politika	politika	Ncfsn
,	,	Z
postupaka	postupak	Ncmpg
upravljanja	upravljanje	Ncnsg
rizicima	rizik	Ncmpi
i	i	Cc
tehnika	tehnika	Ncfsn
mjerenja	mjerenje	Ncnsg
rizika	rizik	Ncmpg
te	te	Cc
primjerenost	primjerenost	Ncfsa
i	i	Cc
učinkovitost	učinkovitost	Ncfsa
predviđenih	predvidjeti	Appfpgy
mjera	mjera	Ncfpg
u	u	Sa
svrhu	svrha	Ncfsa
otklanjanja	otklanjanje	Ncnsg
mogućih	moguć	Agpmpgy
nedostataka	nedostatak	Ncmpg
u	u	Sl
strategijama	strategija	Ncfpl
,	,	Z
politikama	politika	Ncfpl
i	i	Cc
postupcima	postupak	Ncmpi
upravljanja	upravljanje	Ncnsg
rizicima	rizik	Ncmpi
.	.	Z

(	(	Z
8	8	Mdc
)	)	Z
Uspostavljenu	uspostaviti	Appfsay
strategiju	strategija	Ncfsa
i	i	Cc
politike	politika	Ncfsg
upravljanja	upravljanje	Ncnsg
rizicima	rizik	Ncmpd
društvo	društvo	Ncnsn
za	za	Sa
upravljanje	upravljanje	Ncnsa
dužno	dužan	Agpnsny
je	biti	Var3s
dokumentirati	dokumentirati	Vmn
i	i	Qo
na	na	Sa
zahtjev	zahtjev	Ncmsan
Agencije	agencija	Ncfsg
dostaviti	dostaviti	Vmn
bez	bez	Sg
odgode	odgoda	Ncfsg
.	.	Z

(	(	Z
9	9	Mdc
)	)	Z
Ako	ako	Cs
je	biti	Var3s
društvo	društvo	Ncnsn
za	za	Sa
upravljanje	upravljanje	Ncnsa
u	u	Sl
skladu	sklad	Ncmsl
sa	sa	Si
stavkom	stavak	Ncmsi
8.	8.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
Agenciji	agencija	Ncfsl
dostavilo	dostaviti	Vmp-sn
uspostavljene	uspostaviti	Agpfpay
strategije	strategija	Ncfpa
i	i	Cc
politike	politika	Ncfsg
upravljanja	upravljanje	Ncnsg
rizicima	rizik	Ncmpi
,	,	Z
dužno	dužno	Rgp
je	biti	Var3s
bez	bez	Sg
odgode	odgoda	Ncfsg
obavijestiti	obavijestiti	Vmn
Agenciju	agencija	Ncfsa
o	o	Sl
svim	sav	Agpfply
bitnim	bitan	Agpfply
promjenama	promjena	Ncfpl
uspostavljenih	uspostaviti	Agpfpgy
strategija	strategija	Ncfpg
i	i	Cc
politika	politika	Ncfsn
upravljanja	upravljanje	Ncnsg
rizicima	rizik	Ncmpi
,	,	Z
kao	kao	Cs
i	i	Cc
svim	sav	Agpfply
bitnim	bitan	Agpfply
promjenama	promjena	Ncfpl
izloženosti	izloženost	Ncfsg
rizicima	rizik	Ncmpd
i	i	Cc
visine	visina	Ncfsg
regulatornog	regulatoran	Agpmsgy
kapitala	kapital	Ncmsg
društva	društvo	Ncnsg
za	za	Sa
upravljanje	upravljanje	Ncnsa
.	.	Z

(	(	Z
10	10	Mdc
)	)	Z
Uprava	uprava	Ncfsn
društva	društvo	Ncnsg
za	za	Sa
upravljanje	upravljanje	Ncnsa
sudjeluje	sudjelovati	Vmr3s
u	u	Sl
procesu	proces	Ncmsl
upravljanja	upravljanje	Ncnsg
rizicima	rizik	Ncmpd
i	i	Cc
odgovorna	odgovoran	Agpfsny
je	biti	Var3s
za	za	Sa
njegovu	njegov	Ps3fsa
prikladnost	prikladnost	Ncfsa
i	i	Cc
učinkovitost	učinkovitost	Ncfsa
,	,	Z
kao	kao	Cs
i	i	Qo
za	za	Sa
uspostavljanje	uspostavljanje	Ncnsa
,	,	Z
primjenu	primjena	Ncfsa
i	i	Cc
promicanje	promicanje	Ncnsa
takve	takav	Pd-fsg
kulture	kultura	Ncfsg
u	u	Sl
kojoj	koji	Pi-fsl
upravljanje	upravljanje	Ncnsa
rizicima	rizik	Ncmpi
čini	činiti	Vmr3s
sastavni	sastavan	Agpmsny
dio	dio	Ncmsn
poslovanja	poslovanje	Ncnsg
na	na	Sl
svim	sav	Agpfply
razinama	razina	Ncfpl
društva	društvo	Ncnsg
za	za	Sa
upravljanje	upravljanje	Ncnsa
.	.	Z

(	(	Z
11	11	Mdc
)	)	Z
Društvo	društvo	Ncnsn
za	za	Sa
upravljanje	upravljanje	Ncnsa
dužno	dužan	Agpnsny
je	biti	Var3s
u	u	Sl
procesu	proces	Ncmsl
upravljanja	upravljanje	Ncnsg
rizicima	rizik	Ncmpl
odrediti	odrediti	Vmn
profil	profil	Ncmsan
rizičnosti	rizičnost	Ncfsg
društva	društvo	Ncnsg
za	za	Sa
upravljanje	upravljanje	Ncnsa
i	i	Cc
UCITS	UCITS	Npmsn
fondova	fond	Ncmpg
kojima	koji	Pi-mpi
upravlja	upravljati	Vmr3s
,	,	Z
doprinose	doprinositi	Vmr3p
pojedinih	pojedini	Agpmpgy
rizika	rizik	Ncmpg
cjelokupnom	cjelokupan	Agpmsly
profilu	profil	Ncmsl
rizičnosti	rizičnost	Ncfsg
pojedinog	pojedini	Agpmsgy
UCITS	UCITS	Npmsn

