kulturni	kulturan	Agpmsayn
stranicama	stranica	Ncfpl
Ministarstva	ministarstvo	Ncnsg
kulture	kultura	Ncfsg
.	.	Z

III	III	Mrc
.	.	Z

UTVRĐIVANJE	utvrđivanje	Ncnsn
PROGRAMA	program	Ncmpg
JAVNIH	javan	Agpfpgy
POTREBA	potreba	Ncfpg
U	u	Sl
KULTURI	kultura	Ncfsl

Članak	članak	Ncmsn
8.	8.	Mdo

Nakon	nakon	Sg
provedenog	provesti	Agpmsgy
postupka	postupak	Ncmsg
vrednovanja	vrednovanje	Ncnsg
prijedloga	prijedlog	Ncmsg
,	,	Z
vijeća	vijeće	Ncnsg
i	i	Cc
povjerenstva	povjerenstvo	Ncnsg
dostavljaju	dostavljati	Vmr3p
ministru	ministar	Ncmsd
kulture	kultura	Ncfsg
svoj	svoj	Px-msan
prijedlog	prijedlog	Ncmsan
.	.	Z

Prijedlog	prijedlog	Ncmsn
mora	morati	Vmr3s
sadržavati	sadržavati	Vmn
popis	popis	Ncmsan
programa	program	Ncmpg
čije	čiji	Pi-nsn
se	sebe	Px--sa
financiranje	financiranje	Ncnsa
predlaže	predlagati	Vmr3s
s	sa	Si
prijedlogom	prijedlog	Ncmsi
iznosa	iznos	Ncmsg
financijske	financijski	Agpfsgy
potpore	potpora	Ncfsg
,	,	Z
kao	kao	Cs
i	i	Qo
popis	popis	Ncmsn
programa	program	Ncmsg
koji	koji	Pi-msan
su	biti	Var3p
odbijeni	odbiti	Appmpny
.	.	Z

Članak	članak	Ncmsn
9.	9.	Mdo

Ministar	ministar	Ncmsn
kulture	kultura	Ncfsg
razmotrit	razmotriti	Vmn
će	htjeti	Var3s
prijedloge	prijedlog	Ncmpa
iz	iz	Sg
članka	članak	Ncmsg
8.	8.	Mdo
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
te	te	Cc
donijeti	donijeti	Vmn
o	o	Sl
njima	oni	Pp3-pl
odluku	odluka	Ncfsa
.	.	Z

Podnositelji	podnositelj	Ncmpn
prijedloga	prijedlog	Ncmsg
programa	program	Ncmsg
bit	biti	Van
će	htjeti	Var3p
obaviješteni	obavijestiti	Appmpny
o	o	Sl
donesenoj	donesen	Agpfsly
odluci	odluka	Ncfsl
.	.	Z

IV	IV	Mrc
.	.	Z

DODJELA	dodjela	Ncfsn
SREDSTAVA	sredstvo	Ncnpg
ZA	za	Sa
PROGRAME	program	Ncmpa
I	i	Cc
NAČIN	način	Ncmsan
PRAĆENJA	praćenje	Ncnsg
NJIHOVA	njihov	Ps3nsg
KORIŠTENJA	korištenje	Ncnsg

Članak	članak	Ncmsn
10.	10.	Mdo

Na	na	Sl
temelju	temelj	Ncmsl
odluke	odluka	Ncfsg
ministra	ministar	Ncmsg
kulture	kultura	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
9.	9.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
s	sa	Si
podnositeljem	podnositelj	Ncmsi
programa	program	Ncmsg
za	za	Sa
koji	koji	Pi-msan
je	biti	Var3s
dodijeljena	dodijeliti	Appfsny
financijska	financijski	Agpfsny
potpora	potpora	Ncfsn
sklapa	sklapati	Vmr3s
se	sebe	Px--sa
ugovor	ugovor	Ncmsn
o	o	Sl
korištenju	korištenje	Ncnsl
sredstava	sredstvo	Ncnpg
Ministarstva	ministarstvo	Ncnsg
kulture	kultura	Ncfsg
kojim	koji	Pi-msi
se	sebe	Px--sa
pobliže	pobliže	Rgp
uređuju	uređivati	Vmr3p
rokovi	rok	Ncmpn
i	i	Cc
uvjeti	uvjet	Ncmpn
osiguranja	osiguranje	Ncnsg
sredstava	sredstvo	Ncnpg
te	te	Cc
izvršenja	izvršenje	Ncnsg
programa	program	Ncmsg
,	,	Z
kao	kao	Cs
i	i	Qo
dostavljanje	dostavljanje	Ncnsa
programskog	programski	Agpmsgy
i	i	Cc
financijskog	financijski	Agpnsgy
izvješća	izvješće	Ncnsg
o	o	Sl
izvršenju	izvršenje	Ncnsl
programa	program	Ncmsg
.	.	Z

Ministarstvo	ministarstvo	Ncnsn
kulture	kultura	Ncfsg
ovlašteno	ovlastiti	Appnsny
je	biti	Var3s
pratiti	pratiti	Vmn
izvršenje	izvršenje	Ncnsa
programa	program	Ncmsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
te	te	Cc
preispitati	preispitati	Vmn
način	način	Ncmsan
trošenja	trošenje	Ncnsg
sredstava	sredstvo	Ncnpg
za	za	Sa
vrijeme	vrijeme	Ncnsa
trajanja	trajanje	Ncnsg
financijske	financijski	Agpfsgy
potpore	potpora	Ncfsg
i	i	Cc
nakon	nakon	Sg
završetka	završetak	Ncmsg
programa	program	Ncmsg
.	.	Z

Ako	ako	Cs
korisnik	korisnik	Ncmsn
sredstava	sredstvo	Ncnpg
nenamjenski	nenamjenski	Rgp
koristi	koristiti	Vmr3s
sredstva	sredstvo	Ncnpa
,	,	Z
ne	ne	Qz
izvrši	izvršiti	Vmr3s
program	program	Ncmsan
ili	ili	Cc
ne	ne	Qz
podnese	podnijeti	Vmr3s
programsko	programski	Agpnsay
i	i	Cc
financijsko	financijski	Agpnsny
izvješće	izvješće	Ncnsn
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
ugovorom	ugovor	Ncmsi
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
dužan	dužan	Agpmsnn
je	biti	Var3s
vratiti	vratiti	Vmn
primljena	primljen	Agpnpay
sredstva	sredstvo	Ncnpa
s	sa	Si
pripadajućom	pripadajući	Agpfsiy
zakonskom	zakonski	Agpfsiy
kamatom	kamata	Ncfsi
.	.	Z

V.	V.	Y
PRIJELAZNE	prijelazan	Agpfpny
I	i	Cc
ZAVRŠNE	završan	Agpfpay
ODREDBE	odredba	Ncfpa

Članak	članak	Ncmsn
11.	11.	Mdo

Stupanjem	stupanje	Ncnsi
na	na	Sa
snagu	snaga	Ncfsa
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
prestaje	prestajati	Vmr3s
važiti	važiti	Vmn
Pravilnik	pravilnik	Ncmsan
o	o	Sl
izboru	izbor	Ncmsl
i	i	Cc
utvrđivanju	utvrđivanje	Ncnsl
programa	program	Ncmsg
javnih	javan	Agpfpgy
potreba	potreba	Ncfpg
u	u	Sl
kulturi	kultura	Ncfsl
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
69/12	69/12	Mdc
,	,	Z
44/13	44/13	Mdc
,	,	Z
91/13	91/13	Mdc
,	,	Z
72/15	72/15	Mdc
)	)	Z
.	.	Z

Članak	članak	Ncmsn
12.	12.	Mdo

Ovaj	ovaj	Pd-msn
Pravilnik	pravilnik	Ncmsn
stupa	stupati	Vmr3s
na	na	Sa
snagu	snaga	Ncfsa
osmoga	osmi	Mlomsg
dana	dan	Ncmsg
od	od	Sg
dana	dan	Ncmsg
objave	objava	Ncfsg
u	u	Sl
»	»	Z
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
.	.	Z

Klasa	klasa	Ncfsn
:	:	Z
023	023	Mdc
-	-	Z
03/16	03/16	Mdc
-	-	Z
01/0129	01/0129	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
532	532	Mdc
-	-	Z
06	06	Mdc
-	-	Z
01	01	Mdc
-	-	Z
02/6	02/6	Mdc
-	-	Z
16	16	Mdc
-	-	Z
3	3	Mdc
Zagreb	Zagreb	Npmsn
,	,	Z
14.	14.	Mdo
lipnja	lipanj	Ncmsg
2016.	2016.	Mdo

Ministar	ministar	Ncmsn
dr.	dr.	Y
sc.	sc.	Y
Zlatko	Zlatko	Npmsn
Hasanbegović	Hasanbegović	Npmsn
,	,	Z
v.	v.	Y
r.	r.	Y

