invalidskim	invalidski	Agpnply
uvjetima	uvjet	Ncmpl
iz	iz	Sg
članka	članak	Ncmsg
33.	33.	Mdo
i	i	Cc
34.	34.	Mdo
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Briga	briga	Ncfsn
o	o	Sl
prehrani	prehrana	Ncfsl
obuhvaća	obuhvaćati	Vmr3s
obvezu	obveza	Ncfsa
Ustanove	ustanova	Ncfsg
da	da	Cs
korisnicima	korisnik	Ncmpi
osigura	osigurati	Vmr3s
primjerenu	primjeren	Agpfsay
prehranu	prehrana	Ncfsa
sukladno	sukladno	Rgp
propisanim	propisati	Agpmpiy
standardima	standard	Ncmpi
prehrane	prehrana	Ncfsg
i	i	Cc
minimalnim	minimalan	Agpmpiy
uvjetima	uvjet	Ncmpi
iz	iz	Sg
članka	članak	Ncmsg
30.	30.	Mdo
i	i	Cc
31.	31.	Mdo
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

POGLAVLJE	poglavlje	Ncnsn
II	ii	Mrc
.	.	Z

Način	način	Ncmsn
pružanja	pružanje	Ncnsg
usluga	usluga	Ncfpg

Članak	članak	Ncmsn
8.	8.	Mdo

Ustanova	ustanova	Ncfsn
korisniku	korisnik	Ncmsd
pruža	pružati	Vmr3s
usluge	usluga	Ncfpa
iz	iz	Sg
članka	članak	Ncmsg
3.	3.	Mdo
kroz	kroz	Sa
program	program	Ncmsan
:	:	Z

a	a	Cc
)	)	Z
smještaja	smještaj	Ncmsg
ili	ili	Cc

b	b	Npmsn
)	)	Z
boravka	boravak	Ncmsg
.	.	Z

Članak	članak	Ncmsn
9.	9.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Program	program	Ncmsn
smještaja	smještaj	Ncmsg
podrazumijeva	podrazumijevati	Vmr3s
korištenje	korištenje	Ncnsa
usluga	usluga	Ncfpg
za	za	Sa
vrijeme	vrijeme	Ncnsa
osiguranog	osigurati	Agpmsgy
smještaja	smještaj	Ncmsg
u	u	Sl
Ustanovi	ustanova	Ncfsl
24	24	Mdc
sata	sat	Ncmsg
dnevno	dnevno	Rgp
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Program	program	Ncmsn
smještaja	smještaj	Ncmsg
obuhvaća	obuhvaćati	Vmr3s
noćenje	noćenje	Ncnsa
u	u	Sl
Ustanovi	ustanova	Ncfsl
.	.	Z

Članak	članak	Ncmsn
10.	10.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Smještaj	smještaj	Ncmsn
se	sebe	Px--sa
osigurava	osiguravati	Vmr3s
u	u	Sl
smještajnim	smještajan	Agpfply
jedinicama	jedinica	Ncfpl
koje	koji	Pi-fpn
mogu	moći	Vmr3p
biti	biti	Van
:	:	Z

a	a	Cc
)	)	Z
jednokrevetne	jednokrevetni	Agpfsgy
sobe	soba	Ncfsg
,	,	Z

b	b	Npmsn
)	)	Z
jednokrevetne	jednokrevetni	Agpfpny
sobe	soba	Ncfpn
prilagođene	prilagoditi	Appfpny
potrebama	potreba	Ncfpd
hrvatskog	hrvatski	Agpmsgy
ratnog	ratni	Agpmsgy
vojnog	vojni	Agpmsgy
invalida	invalid	Ncmsg
iz	iz	Sg
Domovinskog	domovinski	Agpmsgy
rata	rat	Ncmsg
I.	ii	Agpfsgy
skupine	skupina	Ncfsg
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
HRVI	HRVI	Mro
)	)	Z
,	,	Z
koji	koji	Pi-msn
koristi	koristiti	Vmr3s
usluge	usluga	Ncfpa
osobe	osoba	Ncfsg
za	za	Sa
pružanje	pružanje	Ncnsa
njege	njega	Ncfsg
i	i	Cc
pomoći	pomoć	Ncfsg
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
njegovatelj	njegovatelj	Ncmsn
)	)	Z
ili	ili	Cc

c	C	Npmsn
)	)	Z
dvokrevetne	dvokrevetan	Agpfpay
sobe	soba	Ncfpa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Za	za	Sa
smještaj	smještaj	Ncmsan
u	u	Sl
jednokrevetnim	jednokrevetni	Agpfply
sobama	soba	Ncfpl
potrebno	potreban	Agpnsny
je	biti	Var3s
osigurati	osigurati	Vmn
5	5	Mdc
%	%	Z
do	do	Sg
20	20	Mdc
%	%	Z
od	od	Sg
ukupnog	ukupan	Agpmsgy
smještajnog	smještajan	Agpmsgy
kapaciteta	kapacitet	Ncmsg
Ustanove	ustanova	Ncfsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Za	za	Sa
smještaj	smještaj	Ncmsan
u	u	Sl
jednokrevetnim	jednokrevetni	Agpfply
sobama	soba	Ncfpl
prilagođenim	prilagoditi	Agpfply
potrebama	potreba	Ncfpl
HRVI	hrva	Ncfsg
potrebno	potreban	Agpnsny
je	biti	Var3s
osigurati	osigurati	Vmn
najmanje	malo	Rgs
3	3	Mdc
%	%	Z
od	od	Sg
ukupnog	ukupan	Agpmsgy
smještajnog	smještajan	Agpmsgy
kapaciteta	kapacitet	Ncmsg
Ustanove	ustanova	Ncfsg
,	,	Z
odnosno	odnosno	Rgp
isti	isti	Agpmsny
broj	broj	Ncmsn
jednokrevetnih	jednokrevetni	Agpfpgy
soba	soba	Ncfpg
za	za	Sa
njegovog	njegov	Ps3msg
njegovatelja	njegovatelj	Ncmsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
U	u	Sl
svakoj	svaki	Pi-fsl
smještajnoj	smještajan	Agpfsly
jedinici	jedinica	Ncfsl
predviđen	predvidjeti	Appmsnn
je	biti	Var3s
sanitarni	sanitaran	Agpmsny
čvor	čvor	Ncmsn
za	za	Sa
osobnu	osoban	Agpfsay
higijenu	higijena	Ncfsa
korisnika	korisnik	Ncmpg
.	.	Z

Članak	članak	Ncmsn
11.	11.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Program	program	Ncmsn
boravka	boravak	Ncmsg
podrazumijeva	podrazumijevati	Vmr3s
korištenje	korištenje	Ncnsa
usluga	usluga	Ncfpg
Ustanove	ustanova	Ncfsg
za	za	Sa
vrijeme	vrijeme	Ncnsa
cjelodnevnog	cjelodnevan	Agpmsgy
ili	ili	Cc
poludnevnog	poludnevni	Agpmsgy
boravka	boravak	Ncmsg
u	u	Sl
Ustanovi	ustanova	Ncfsl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Poludnevni	poludnevni	Agpmsny
boravak	boravak	Ncmsn
u	u	Sl
Ustanovi	ustanova	Ncfsl
može	moći	Vmr3s
trajati	trajati	Vmn
do	do	Sg
6	6	Mdc
sati	sat	Ncmpg
dnevno	dnevno	Rgp
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Cjelodnevni	cjelodnevan	Agpmsny
boravak	boravak	Ncmsn
u	u	Sl
Ustanovi	ustanova	Ncfsl
može	moći	Vmr3s
trajati	trajati	Vmn
od	od	Sg
6	6	Mdc
do	do	Sg
10	10	Mdc
sati	sat	Ncmpg
dnevno	dnevno	Rgp
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Programom	program	Ncmsi
boravka	boravak	Ncmsg
nije	biti	Var3s
obuhvaćeno	obuhvatiti	Appnsny
noćenje	noćenje	Ncnsn
u	u	Sl
Ustanovi	ustanova	Ncfsl
.	.	Z

Članak	članak	Ncmsn
12.	12.	Mdo

Usluge	usluga	Ncfpn
iz	iz	Sg
članka	članak	Ncmsg
3.	3.	Mdo
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
kroz	kroz	Sa
program	program	Ncmsan
smještaja	smještaj	Ncmsg
ili	ili	Cc
boravka	boravak	Ncmsg
,	,	Z
pružaju	pružati	Vmr3p
se	sebe	Px--sa
korisniku	korisnik	Ncmsd
prema	prema	Sl
individualnom	individualan	Agpmsly
planu	plan	Ncmsl
rada	rad	Ncmsg
,	,	Z
sastavljenom	sastaviti	Appnsly
sukladno	sukladno	Rgp
Stručnom	stručan	Agpmsly
programu	program	Ncmsl
Ustanove	ustanova	Ncfsg
,	,	Z
ovisno	ovisno	Rgp
o	o	Sl
procijenjenim	procijeniti	Agpfply
potrebama	potreba	Ncfpl
,	,	Z
zdravstvenom	zdravstven	Agpnsly
stanju	stanje	Ncnsl
,	,	Z
interesima	interes	Ncmpl
korisnika	korisnik	Ncmpg
i	i	Cc
raspoloživim	raspoloživ	Agpmply
kapacitetima	kapacitet	Ncmpl
i	i	Cc
uvjetima	uvjet	Ncmpi
Ustanove	ustanova	Ncfsg
.	.	Z

Članak	članak	Ncmsn
13.	13.	Mdo

Uvjeti	uvjet	Ncmpn
,	,	Z
način	način	Ncmsan
i	i	Cc
postupak	postupak	Ncmsan
ostvarivanja	ostvarivanje	Ncnsg
te	te	Cc
ostalo	ostali	Agpnsny
vezano	vezan	Agpnsny
uz	uz	Sa
korištenje	korištenje	Ncnsa
usluga	usluga	Ncfpg
Ustanove	ustanova	Ncfsg
određeni	odrediti	Appmpny
su	biti	Var3p
pravilnikom	pravilnik	Ncmsi
koji	koji	Pi-msn
donosi	donositi	Vmr3s
Upravno	upravan	Agpnsny
vijeće	vijeće	Ncnsn
Ustanove	ustanova	Ncfsg
.	.	Z

DIO	dio	Ncmsn
TREĆI	treći	Mlompn
MINIMALNI	minimalan	Agpmpny
UVJETI	uvjet	Ncmpn
ZA	za	Sa
PRUŽANJE	pružanje	Ncnsa
USLUGA	usluga	Ncfpg

POGLAVLJE	poglavlje	Ncnsn
I.	ia	Ncfsg

Minimalni	minimalan	Agpmpny
uvjeti	uvjet	Ncmpn
prostora	prostor	Ncmsg

Članak	članak	Ncmsn
14.	14.	Mdo

Građevinski	građevinski	Agpmsny
objekt	objekt	Ncmsn
u	u	Sl
kojemu	koji	Pi-nsl
Ustanova	ustanova	Ncfsn
pruža	pružati	Vmr3s
usluge	usluga	Ncfpa
iz	iz	Sg
članka	članak	Ncmsg
3.	3.	Mdo
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
je	biti	Var3s
funkcionalna	funkcionalan	Agpfsny
cjelina	cjelina	Ncfsn
koju	koji	Pi-fsa
u	u	Sl
pravilu	pravilo	Ncnsl
čini	činiti	Vmr3s
jedna	jedan	Mlcfsn
građevina	građevina	Ncfsn
,	,	Z
dio	dio	Ncmsn
građevine	građevina	Ncfsg
ili	ili	Cc
iznimno	iznimno	Rgp
i	i	Cc
nekoliko	nekoliko	Rgp
građevina	građevina	Ncfpg
,	,	Z
a	a	Cc
organizirana	organizirati	Appfsny
je	biti	Var3s
i	i	Cc
dovodi	dovoditi	Vmr3s
se	sebe	Px--sa
u	u	Sa
funkciju	funkcija	Ncfsa
u	u	Sl
novim	nov	Ncfsl
ili	ili	Cc
postojećim	postojeći	Agpmply
objektima	objekt	Ncmpl
.	.	Z

Članak	članak	Ncmsn
15.	15.	Mdo

Za	za	Sa
lokaciju	lokacija	Ncfsa
građevinskog	građevinski	Agpmsgy
objekta	objekt	Ncmsg
Ustanove	ustanova	Ncfsg
potrebno	potreban	Agpnsny
je	biti	Var3s
odabrati	odabrati	Vmn
naselje	naselje	Ncnsa
ili	ili	Cc
njegovu	njegov	Ps3fsa
neposrednu	neposredan	Agpfsay
blizinu	blizina	Ncfsa
,	,	Z
a	a	Cc
do	do	Sg
lokacije	lokacija	Ncfsg
osigurati	osigurati	Vmn
kolni	kolni	Agpmpny
i	i	Cc
pješački	pješački	Agpmsayn
pristup	pristup	Ncmsan
s	sa	Sg
javno-prometne	javno-prometan	Agpfsgy
površine	površina	Ncfsg
.	.	Z

Članak	članak	Ncmsn
16.	16.	Mdo

Građevinski	građevinski	Agpmsny
objekt	objekt	Ncmsn
u	u	Sl
kojemu	koji	Pi-nsl
Ustanova	ustanova	Ncfsn
pruža	pružati	Vmr3s
usluge	usluga	Ncfpa
iz	iz	Sg
članka	članak	Ncmsg
3.	3.	Mdo
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
mora	morati	Vmr3s
ispunjavati	ispunjavati	Vmn
urbanističke	urbanistički	Agpmpay
uvjete	uvjet	Ncmpa
iz	iz	Sg
važeće	važeći	Agpfsgy
prostorno-planske	prostorno-planski	Agpfsgy
dokumentacije	dokumentacija	Ncfsg
te	te	Cc
građevinske	građevinski	Agpfsgy
,	,	Z
sanitarno-tehničke	sanitarno-tehnički	Agpfpay
i	i	Cc
higijenske	higijenski	Agpmpay
uvjete	uvjet	Ncmpa
,	,	Z
uvjete	uvjet	Ncmpa
mehaničke	mehanički	Agpfsgy
otpornosti	otpornost	Ncfsg
i	i	Cc
stabilnosti	stabilnost	Ncfsg
te	te	Cc
požarno-preventivne	požarno-preventivan	Agpmpay
uvjete	uvjet	Ncmpa
utvrđene	utvrditi	Appmpay
posebnim	poseban	Agpmpiy
propisima	propis	Ncmpi
.	.	Z

Članak	članak	Ncmsn
17.	17.	Mdo

Za	za	Sa
građevinski	građevinski	Agpmsayn
objekt	objekt	Ncmsan
u	u	Sl
kojemu	koji	Pi-nsl
Ustanova	ustanova	Ncfsn
pruža	pružati	Vmr3s
usluge	usluga	Ncfpa
iz	iz	Sg
članka	članak	Ncmsg
3.	3.	Mdo
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
primjenjuju	primjenjivati	Vmr3p
se	sebe	Px--sa
također	također	Rgp
propisi	propis	Ncmpn
kojima	koji	Pi-fpi
se	sebe	Px--sa
osobama	osoba	Ncfpl
s	sa	Si
invaliditetom	invaliditet	Ncmsi
i	i	Cc
smanjenom	smanjiti	Agpfsiy
pokretljivošću	pokretljivost	Ncfsi
osigurava	osiguravati	Vmr3s
nesmetan	nesmetan	Agpmsann
pristup	pristup	Ncmsan
,	,	Z
kretanje	kretanje	Ncnsa
,	,	Z
boravak	boravak	Ncmsan
i	i	Cc
rad	rad	Ncmsan
.	.	Z

Članak	članak	Ncmsn
18.	18.	Mdo

Za	za	Sa
građevinski	građevinski	Agpmsayn
objekt	objekt	Ncmsan
u	u	Sl
kojem	koji	Pi-msl
Ustanova	ustanova	Ncfsn
pruža	pružati	Vmr3s
usluge	usluga	Ncfpa
iz	iz	Sg
članka	članak	Ncmsg
3.	3.	Mdo
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
primjenjuju	primjenjivati	Vmr3p
se	sebe	Px--sa
također	također	Rgp
propisi	propis	Ncmpn
za	za	Sa
radne	radni	Agpmpay
i	i	Cc
pomoćne	pomoćan	Agpfpay
prostorije	prostorija	Ncfpa
glede	glede	Sg
sigurnosti	sigurnost	Ncfsg
i	i	Cc
zaštite	zaštita	Ncfsg
zdravlja	zdravlje	Ncnsg
radnika	radnik	Ncmpg
za	za	Sa
sve	sav	Agpmpay
radne	radni	Agpmpay
i	i	Cc
pomoćne	pomoćan	Agpfpay
prostorije	prostorija	Ncfpa
kao	kao	Cs
i	i	Cc
prostore	prostor	Ncmpa
u	u	Sl
kojima	koji	Pi-fpl
se	sebe	Px--sa

