odobravanju	odobravanje	Ncnsl
ograničavanju	ograničavanje	Ncnsl
ili	ili	Cc
zabrani	zabrana	Ncfsl
ostvarivanja	ostvarivanje	Ncnsg
osobnih	osoban	Agpmpgy
odnosa	odnos	Ncmpg
s	sa	Si
djetetom	dijete	Ncnsi
sukladno	sukladno	Rgp
člancima	članak	Ncmpi
119.	119.	Mdo
,	,	Z
120.	120.	Mdo
i	i	Cc
123.	123.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
U	u	Sl
postupku	postupak	Ncmsl
obveznog	obvezan	Agpnsgy
savjetovanja	savjetovanje	Ncnsg
djetetu	dijete	Ncnsd
se	sebe	Px--sa
može	moći	Vmr3s
,	,	Z
uz	uz	Sa
pristanak	pristanak	Ncmsan
njegovih	njegov	Ps3mpg
roditelja	roditelj	Ncmpg
,	,	Z
omogućiti	omogućiti	Vmn
izražavanje	izražavanje	Ncnsa
mišljenja	mišljenje	Ncnsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Osobe	osoba	Ncfpn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
moraju	morati	Vmr3p
pokrenuti	pokrenuti	Vmn
i	i	Cc
sudjelovati	sudjelovati	Vmn
u	u	Sl
postupku	postupak	Ncmsl
obveznog	obvezan	Agpnsgy
savjetovanja	savjetovanje	Ncnsg
prije	prije	Sg
pokretanja	pokretanje	Ncnsg
sudskog	sudski	Agpmsgy
postupka	postupak	Ncmsg
radi	radi	Sg
izmjene	izmjena	Ncfsg
sudske	sudski	Agpfsgy
odluke	odluka	Ncfsg
ili	ili	Cc
sporazuma	sporazum	Ncmsg
o	o	Sl
ostvarivanju	ostvarivanje	Ncnsl
roditeljske	roditeljski	Agpfsgy
skrbi	skrb	Ncfsg
ili	ili	Cc
osobnih	osoban	Agpmpgy
odnosa	odnos	Ncmpg
s	sa	Si
djetetom	dijete	Ncnsi
samo	samo	Rgp
ako	ako	Cs
nisu	biti	Var3p
postigle	postići	Vmp-pf
sporazum	sporazum	Ncmsan
o	o	Sl
pitanju	pitanje	Ncnsl
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
kojim	koji	Pi-msi
namjeravaju	namjeravati	Vmr3p
pokrenuti	pokrenuti	Vmn
sudski	sudski	Agpmsayn
postupak	postupak	Ncmsan
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Obvezno	obvezan	Agpnsny
savjetovanje	savjetovanje	Ncnsn
ne	ne	Qz
provodi	provoditi	Vmr3s
se	sebe	Px--sa
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
osobe	osoba	Ncfpa
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
:	:	Z

1.	1.	Mdo
koje	koji	Pi-fpn
su	biti	Var3p
lišene	lišiti	Appfpny
poslovne	poslovan	Agpfpny
sposobnosti	sposobnost	Ncfpn
,	,	Z
a	a	Cc
nisu	biti	Var3p
u	u	Sl
stanju	stanje	Ncnsl
shvatiti	shvatiti	Vmn
značenje	značenje	Ncnsa
i	i	Cc
posljedice	posljedica	Ncfpa
postupka	postupak	Ncmsg
niti	niti	Cc
uz	uz	Sa
stručnu	stručan	Agpfsay
pomoć	pomoć	Ncfsa

2.	2.	Mdo
koje	koji	Pi-fpn
su	biti	Var3p
nesposobne	nesposoban	Agpfpny
za	za	Sa
rasuđivanje	rasuđivanje	Ncnsa
ili	ili	Cc

3.	3.	Mdo
koje	koji	Pi-fpn
su	biti	Var3p
nepoznatog	nepoznat	Agpnsgy
prebivališta	prebivalište	Ncnsg
i	i	Cc
boravišta	boravište	Ncnsg
.	.	Z

Posebni	poseban	Agpmpny
ciljevi	cilj	Ncmpn
obveznog	obvezan	Agpnsgy
savjetovanja	savjetovanje	Ncnsg
prije	prije	Sg
sudskog	sudski	Agpmsgy
postupka	postupak	Ncmsg
pokretanja	pokretanje	Ncnsg
ostalih	ostali	Agpmpgy
sudskih	sudski	Agpmpgy
postupaka	postupak	Ncmpg
o	o	Sl
ostvarivanju	ostvarivanje	Ncnsl
roditeljske	roditeljski	Agpfsgy
skrbi	skrb	Ncfsg
i	i	Cc
osobnih	osoban	Agpmpgy
odnosa	odnos	Ncmpg
s	sa	Si
djetetom	dijete	Ncnsi

Članak	članak	Ncmsn
330.	330.	Mdo

Posebni	poseban	Agpmpny
ciljevi	cilj	Ncmpn
obveznog	obvezan	Agpnsgy
savjetovanja	savjetovanje	Ncnsg
prije	prije	Sg
pokretanja	pokretanje	Ncnsg
sudskih	sudski	Agpmpgy
postupaka	postupak	Ncmpg
o	o	Sl
ostvarivanju	ostvarivanje	Ncnsl
roditeljske	roditeljski	Agpfsgy
skrbi	skrb	Ncfsg
i	i	Cc
osobnih	osoban	Agpmpgy
odnosa	odnos	Ncmpg
s	sa	Si
djetetom	dijete	Ncnsi
su	biti	Var3p
:	:	Z

1.	1.	Mdo
upoznati	upoznati	Vmn
sudionike	sudionik	Ncmpa
savjetovanja	savjetovanje	Ncnsg
na	na	Sa
to	taj	Pd-nsa
da	da	Cs
su	biti	Var3p
dužni	dužan	Agpmpny
voditi	voditi	Vmn
računa	račun	Ncmsg
o	o	Sl
djetetovoj	djetetov	Agpfsly
dobrobiti	dobrobit	Ncfsl
prigodom	prigoda	Sg
uređenja	uređenje	Ncnsg
spornih	sporan	Agpmpgy
obiteljskih	obiteljski	Agpmpgy
odnosa	odnos	Ncmpg

2.	2.	Mdo
upoznati	upoznati	Vmn
sudionike	sudionik	Ncmpa
o	o	Sl
negativnim	negativan	Agpmply
učincima	učinak	Ncmpl
sukoba	sukob	Ncmpg
u	u	Sl
obitelji	obitelj	Ncfsl
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
dijete	dijete	Ncnsa
i	i	Cc
prednostima	prednost	Ncfpl
sporazumnog	sporazuman	Agpnsgy
uređenja	uređenje	Ncnsg
obiteljskih	obiteljski	Agpmpgy
odnosa	odnos	Ncmpg
te	taj	Pd-fsg
dužnosti	dužnost	Ncfsg
članova	član	Ncmpg
obitelji	obitelj	Ncfsg
da	da	Cs
razgovaraju	razgovarati	Vmr3p
s	sa	Si
djetetom	dijete	Ncnsi
i	i	Cc
uzmu	uzeti	Vmr3p
u	u	Sa
obzir	obzir	Ncmsan
njegovo	njegov	Ps3nsa
mišljenje	mišljenje	Ncnsa
i	i	Cc

3.	3.	Mdo
upoznati	upoznati	Vmn
sudionike	sudionik	Ncmpa
o	o	Sl
mogućnosti	mogućnost	Ncfsl
rješavanja	rješavanje	Ncnsg
spora	spor	Ncmsg
u	u	Sl
obiteljskoj	obiteljski	Agpfsly
medijaciji	medijacija	Ncfsl
.	.	Z

II	ii	Mrc
.	.	Z

OBITELJSKA	obiteljski	Agpfsny
MEDIJACIJA	medijacija	Ncfsn

Temeljni	temeljan	Agpmpny
pojmovi	pojam	Ncmpn

Članak	članak	Ncmsn
331.	331.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Obiteljska	obiteljski	Agpfsny
medijacija	medijacija	Ncfsn
je	biti	Var3s
postupak	postupak	Ncmsn
u	u	Sl
kojem	koji	Pi-msl
stranke	stranka	Ncfsg
nastoje	nastojati	Vmr3p
sporazumno	sporazumno	Rgp
riješiti	riješiti	Vmn
spor	spor	Ncmsan
iz	iz	Sg
obiteljskih	obiteljski	Agpmpgy
odnosa	odnos	Ncmpg
uz	uz	Sa
pomoć	pomoć	Ncfsa
jednog	jedan	Mlcmsg
ili	ili	Cc
više	mnogo	Rgc
obiteljskih	obiteljski	Agpmpgy
medijatora	medijator	Ncmpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Obiteljski	obiteljski	Agpmsny
medijator	medijator	Ncmsn
je	biti	Var3s
nepristrana	nepristran	Agpfsny
i	i	Cc
posebno	posebno	Rgp
educirana	educiran	Agpfsny
osoba	osoba	Ncfsn
koja	koji	Pi-fsn
je	biti	Var3s
upisana	upisati	Appfsny
u	u	Sa
registar	registar	Ncmsan
obiteljskih	obiteljski	Agpmpgy
medijatora	medijator	Ncmpg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Glavna	glavni	Agpfsny
svrha	svrha	Ncfsn
postupka	postupak	Ncmsg
obiteljske	obiteljski	Agpfsgy
medijacije	medijacija	Ncfsg
je	biti	Var3s
postizanje	postizanje	Ncnsn
plana	plan	Ncmsg
o	o	Sl
zajedničkoj	zajednički	Agpfsly
roditeljskoj	roditeljski	Agpfsly
skrbi	skrb	Ncfsl
i	i	Cc
drugih	drugi	Mlompg
sporazuma	sporazum	Ncmpg
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
djetetom	dijete	Ncnsi
.	.	Z

Uz	uz	Sa
ostvarenje	ostvarenje	Ncnsa
te	taj	Pd-fsg
svrhe	svrha	Ncfsg
,	,	Z
u	u	Sl
postupku	postupak	Ncmsl
obiteljske	obiteljski	Agpfsgy
medijacije	medijacija	Ncfsg
stranke	stranka	Ncfsg
se	sebe	Px--sa
mogu	moći	Vmr3p
sporazumjeti	sporazumjeti	Vmn
i	i	Qo
o	o	Sl
svim	sav	Agpfply
drugim	drugi	Mlofpl
spornim	sporan	Agpnply
pitanjima	pitanje	Ncnpl
imovinske	imovinski	Agpfsgy
i	i	Cc
neimovinske	neimovinski	Agpfsgy
naravi	narav	Ncfsg
.	.	Z

Neprovođenje	neprovođenje	Ncnsn
obiteljske	obiteljski	Agpfsgy
medijacije	medijacija	Ncfsg

Članak	članak	Ncmsn
332.	332.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Obiteljska	obiteljski	Agpfsny
medijacija	medijacija	Ncfsn
se	sebe	Px--sa
ne	ne	Qz
provodi	provoditi	Vmr3s
:	:	Z

1.	1.	Mdo
u	u	Sl
slučajevima	slučaj	Ncmpl
kada	kada	Cs
prema	prema	Sl
procjeni	procjena	Ncfsl
stručnog	stručan	Agpmsgy
tima	tim	Ncmsg
centra	centar	Ncmsg
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
ili	ili	Cc
obiteljskog	obiteljski	Agpmsgy
medijatora	medijator	Ncmsg
zbog	zbog	Sg
obiteljskog	obiteljski	Agpnsgy
nasilja	nasilje	Ncnsg
nije	biti	Var3s
moguće	moguć	Agpnsny
ravnopravno	ravnopravan	Agpnsny
sudjelovanje	sudjelovanje	Ncnsn
bračnih	bračni	Agpmpgy
drugova	drug	Ncmpg
u	u	Sl
postupku	postupak	Ncmsl
medijacije	medijacija	Ncfsg

2.	2.	Mdo
ako	ako	Cs
su	biti	Var3p
jedan	jedan	Mlcmsn
ili	ili	Cc
oba	oba	Mlsm-n
bračna	bračni	Agpmsgn
druga	drugi	Mlofsn
lišeni	lišiti	Appmpny
poslovne	poslovan	Agpfsgy
sposobnosti	sposobnost	Ncfsg
,	,	Z
a	a	Cc
nisu	biti	Var3p
u	u	Sl
stanju	stanje	Ncnsl
shvatiti	shvatiti	Vmn
značenje	značenje	Ncnsa
i	i	Cc
pravne	pravni	Agpfpay
posljedice	posljedica	Ncfpa
postupka	postupak	Ncmsg
ni	ni	Cc
uz	uz	Sa
stručnu	stručan	Agpfsay
pomoć	pomoć	Ncfsa

3.	3.	Mdo
ako	ako	Cs
su	biti	Var3p
jedan	jedan	Mlcmsn
ili	ili	Cc
oba	oba	Mlsm-n
bračna	bračni	Agpmsgn
druga	drug	Ncmsg
nesposobni	nesposoban	Agpmpny
za	za	Sa
rasuđivanje	rasuđivanje	Ncnsa
i	i	Cc

4.	4.	Mdo
ako	ako	Cs
bračni	bračni	Agpmsny
drug	drug	Ncmsn
ima	imati	Vmr3s
nepoznato	nepoznat	Agpnsay
prebivalište	prebivalište	Ncnsa
i	i	Cc
boravište	boravište	Ncnsa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Odredba	odredba	Ncfsn
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
na	na	Sa
odgovarajući	odgovarajući	Agpmsayn
način	način	Ncmsan
primjenjuje	primjenjivati	Vmr3s
se	sebe	Px--sa
i	i	Qo
na	na	Sa
ostale	ostali	Agpmpay
članove	član	Ncmpa
obitelji	obitelj	Ncfsg
koji	koji	Pi-mpn
sudjeluju	sudjelovati	Vmr3p
u	u	Sl
postupku	postupak	Ncmsl
medijacije	medijacija	Ncfsg
.	.	Z

Primjena	primjena	Ncfsn
drugog	drugi	Mlomsg
propisa	propis	Ncmsg

Članak	članak	Ncmsn
333.	333.	Mdo

U	u	Sl
postupcima	postupak	Ncmpl
obiteljske	obiteljski	Agpfsgy

