Dodatku	dodatak	Ncmsl
u	u	Sl
svezi	sveza	Ncfsl
s	sa	Si
pravima	prav	Agpfpiy
i	i	Cc
obvezama	obveza	Ncfpi
korisnika	korisnik	Ncmpg
iz	iz	Sg
članka	članak	Ncmsg
13.	13.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
sukladno	sukladno	Rgp
načinu	način	Ncmsl
i	i	Cc
uvjetima	uvjet	Ncmpl
utvrđenim	utvrditi	Agpmsiy
člankom	članak	Ncmsi
10.	10.	Mdo
stavkom	stavka	Ncfsi
9.	9.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Odluke	odluka	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
nisu	biti	Var3p
upravni	upravan	Agpmpny
akti	akt	Ncmpn
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Na	na	Sa
odluke	odluka	Ncfpa
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
korisnik	korisnik	Ncmsn
ima	imati	Vmr3s
pravo	pravo	Ncnsa
podnijeti	podnijeti	Vmn
prigovor	prigovor	Ncmsan
Povjerenstvu	povjerenstvo	Ncnsd
za	za	Sa
prigovore	prigovor	Ncmpa
u	u	Sl
Ministarstvu	ministarstvo	Ncnsl
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
osam	osam	Mlc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
dostave	dostava	Ncfsg
odluke	odluka	Ncfsg
.	.	Z

Danom	dan	Ncmsi
dostave	dostava	Ncfsg
odluke	odluka	Ncfsg
smatra	smatrati	Vmr3s
se	sebe	Px--sa
dan	dan	Ncmsn
preuzimanja	preuzimanje	Ncnsg
odluke	odluka	Ncfsg
sa	sa	Sg
zaštićene	zaštititi	Agpfsgy
mrežne	mrežni	Agpfsgy
aplikacije	aplikacija	Ncfsg
–	–	Z
Agronet	Agronet	Npmsn
sustava	sustav	Ncmsg
.	.	Z

GLAVA	glava	Ncfsn
III	III	Mrc
.	.	Z

IZRAVNA	izravan	Agpfsny
POTPORA	potpora	Ncfsn

Poglavlje	poglavlje	Ncnsn
A.	ai	Agpfsgy
Opće	opći	Agpfsgy
odredbe	odredba	Ncfsg

Obuhvat	obuhvat	Ncmsn
izravne	izravan	Agpfsgy
potpore	potpora	Ncfsg

Članak	članak	Ncmsn
15.	15.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Izravna	izravan	Agpfsny
potpora	potpora	Ncfsn
u	u	Sl
smislu	smisao	Ncmsl
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
sastoji	sastojati	Vmr3s
se	sebe	Px--sa
od	od	Sg
:	:	Z

1.	1.	Mdo
programa	program	Ncmsg
izravnih	izravan	Agpnpgy
plaćanja	plaćanje	Ncnpg
i	i	Cc

2.	2.	Mdo
plaćanja	plaćanje	Ncnsg
u	u	Sl
iznimno	iznimno	Rgp
osjetljivim	osjetljiv	Agpmply
sektorima	sektor	Ncmpl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Odredbe	odredba	Ncfpn
ovoga	ovaj	Pd-nsg
poglavlja	poglavlje	Ncnsg
,	,	Z
kao	kao	Cs
i	i	Qo
ostale	ostali	Agpfpny
odredbe	odredba	Ncfpn
koje	koji	Pi-fpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
izravnu	izravan	Agpfsay
potporu	potpora	Ncfsa
u	u	Sl
okviru	okvir	Ncmsl
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
primjenjuju	primjenjivati	Vmr3p
se	sebe	Px--sa
odgovarajuće	odgovarajući	Agpnsny
i	i	Cc
na	na	Sa
IAKS	iaki	Agpfpay
mjere	mjera	Ncfpa
ruralnoga	ruralan	Agpmsgy
razvoja	razvoj	Ncmsg
iz	iz	Sg
članka	članak	Ncmsg
10.	10.	Mdo
stavka	stavak	Ncmsg
5.	5.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

Zadaće	zadaća	Ncfpn
nadležnog	nadležan	Agpnsgy
tijela	tijelo	Ncnsg

Članak	članak	Ncmsn
16.	16.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Ministarstvo	ministarstvo	Ncnsn
utvrđuje	utvrđivati	Vmr3s
mjere	mjera	Ncfpa
i	i	Cc
detaljne	detaljan	Agpmpay
kriterije	kriterij	Ncmpa
za	za	Sa
provedbu	provedba	Ncfsa
izravne	izravan	Agpfsgy
potpore	potpora	Ncfsg
na	na	Sl
temelju	temelj	Ncmsl
provedbenih	provedbeni	Agpmpgy
propisa	propis	Ncmpg
koje	koji	Pi-mpa
donosi	donositi	Vmr3s
ministar	ministar	Ncmsn
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
O	o	Sl
provedbi	provedba	Ncfsl
programa	program	Ncmsg
izravnih	izravan	Agpnpgy
plaćanja	plaćanje	Ncnpg
Ministarstvo	ministarstvo	Ncnsn
izvještava	izvještavati	Vmr3s
Europsku	europski	Agpfsay
komisiju	komisija	Ncfsa
sukladno	sukladno	Rgp
zahtjevima	zahtjev	Ncmpi
Uredbe	uredba	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
1307/2013	1307/2013	Mdc
i	i	Cc
Uredbe	uredba	Ncfpn
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
1306/2013.	1306/2013.	Mds

Zadaće	zadaća	Ncfpn
provedbenog	provedbeni	Agpnsgy
tijela	tijelo	Ncnsg

Članak	članak	Ncmsn
17.	17.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
zaprima	zaprimati	Vmr3s
i	i	Cc
obrađuje	obrađivati	Vmr3s
zahtjeve	zahtjev	Ncmpa
za	za	Si
potporom	potpora	Ncfsi
,	,	Z
kontrolira	kontrolirati	Vmr3s
zadovoljenje	zadovoljenje	Ncnsa
uvjeta	uvjet	Ncmpg
za	za	Sa
ostvarivanje	ostvarivanje	Ncnsa
potpore	potpora	Ncfsg
te	te	Cc
isplaćuje	isplaćivati	Vmr3s
izravnu	izravan	Agpfsay
potporu	potpora	Ncfsa
koristeći	koristiti	Rr
integrirani	integrirati	Agpmsayn
administrativni	administrativan	Agpmsayn
kontrolni	kontrolan	Agpmsayn
sustav	sustav	Ncmsan
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
IAKS	IAKS	Npmsn
)	)	Z
iz	iz	Sg
članka	članak	Ncmsg
20.	20.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
dostavlja	dostavljati	Vmr3s
podatke	podatak	Ncmpa
Ministarstvu	ministarstvo	Ncnsl
o	o	Sl
aktivnostima	aktivnost	Ncfpl
vezanim	vezan	Agpfply
uz	uz	Sa
provedbu	provedba	Ncfsa
izravne	izravan	Agpfsgy
potpore	potpora	Ncfsg
iz	iz	Sg
ove	ovaj	Pd-fsg
glave	glava	Ncfsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
dostavlja	dostavljati	Vmr3s
potrebna	potreban	Agpnpay
izvješća	izvješće	Ncnpa
i	i	Cc
informacije	informacija	Ncfpa
Europskoj	europski	Agpfsdy
komisiji	komisija	Ncfsd
o	o	Sl
provedbi	provedba	Ncfsl
programa	program	Ncmsg
izravnih	izravan	Agpnpgy
plaćanja	plaćanje	Ncnpg
sukladno	sukladno	Rgp
Uredbi	uredba	Ncfsl
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
1307/2013	1307/2013	Mdc
i	i	Cc
Uredbi	uredba	Ncfsl
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
1306/2013	1306/2013	Mdc
te	te	Cc
provedbenim	provedbeni	Agpfply
i	i	Cc
delegiranim	delegiran	Agpfply
uredbama	uredba	Ncfpl
donesenim	donijeti	Appfply
na	na	Sl
temelju	temelj	Ncmsl
njih	oni	Pp3-pg
.	.	Z

Financiranje	financiranje	Ncnsn

Članak	članak	Ncmsn
18.	18.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Program	program	Ncmsn
izravnih	izravan	Agpnpgy
plaćanja	plaćanje	Ncnpg
u	u	Sl
okviru	okvir	Ncmsl
Zajedničke	zajednički	Agpfsgy
poljoprivredne	poljoprivredni	Agpfsgy
politike	politika	Ncfsg
provodi	provoditi	Vmr3s
se	sebe	Px--sa
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbama	odredba	Ncfpi
o	o	Sl
financiranju	financiranje	Ncnsl
Uredbe	uredba	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
1306/2013.	1306/2013.	Mds

(	(	Z
2	2	Mdc
)	)	Z
Program	program	Ncmsn
izravnih	izravan	Agpnpgy
plaćanja	plaćanje	Ncnpg
financira	financirati	Vmr3s
se	sebe	Px--sa
sredstvima	sredstvo	Ncnpi
iz	iz	Sg
EFJP-a	EFJP	Npmsg
sukladno	sukladan	Agpnsny
članku	članak	Ncmsl
17.	17.	Mdo

Uredbe	uredba	Ncfpn
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
1307/2013	1307/2013	Mdc
,	,	Z
te	te	Cc
sredstvima	sredstvo	Ncnpi
državnog	državni	Agpmsgy
proračuna	proračun	Ncmsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
za	za	Sa
dopunska	dopunski	Agpnpay
nacionalna	nacionalan	Agpnpay
izravna	izravan	Agpnpay
plaćanja	plaćanje	Ncnpa
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbama	odredba	Ncfpi
o	o	Sl
financiranju	financiranje	Ncnsl
Uredbe	uredba	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
1306/2013.	1306/2013.	Mds

(	(	Z
3	3	Mdc
)	)	Z
Godišnja	godišnji	Agpfsny
nacionalna	nacionalan	Agpfsny
gornja	gornji	Agpfsny
granica	granica	Ncfsn
za	za	Sa
financiranje	financiranje	Ncnsa
programa	program	Ncmsg
izravnih	izravan	Agpnpgy
plaćanja	plaćanje	Ncnpg
iz	iz	Sg
sredstava	sredstvo	Ncmsg
EFJP-a	EFJP	Npmsg
utvrđena	utvrditi	Appfsny
je	biti	Var3s
sukladno	sukladan	Agpnsny
članku	članak	Ncmsl
6.	6.	Mdo
i	i	Cc
Prilogu	Prilogu	Npmsn
II	ii	Mrc
.	.	Z

Uredbe	uredba	Ncfpn
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
1307/2013.	1307/2013.	Mds

(	(	Z
4	4	Mdc
)	)	Z
Godišnja	godišnji	Agpfsny
nacionalna	nacionalan	Agpfsny
gornja	gornji	Agpfsny
granica	granica	Ncfsn
za	za	Sa
financiranje	financiranje	Ncnsa
dopunskih	dopunski	Agpnpgy
nacionalnih	nacionalan	Agpnpgy
izravnih	izravan	Agpnpgy
plaćanja	plaćanje	Ncnpg
iz	iz	Sg
sredstava	sredstvo	Ncmsg
državnog	državni	Agpmsgy
proračuna	proračun	Ncmsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
utvrđena	utvrditi	Appfsny
je	biti	Var3s
sukladno	sukladan	Agpnsny
članku	članak	Ncmsl
19.	19.	Mdo
i	i	Cc
Prilogu	prilog	Ncmsl
VI	VI	Mrc
.	.	Z

Uredbe	uredba	Ncfpn
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
1307/2013.	1307/2013.	Mds

(	(	Z
5	5	Mdc
)	)	Z
Dopunska	dopunski	Agpfsny
nacionalna	nacionalan	Agpfsny
izravna	izravan	Agpnpay
plaćanja	plaćanje	Ncnpa
iz	iz	Sg
stavka	stavak	Ncmsg
4.	4.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
financirat	financirati	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
dodatno	dodatno	Rgp
i	i	Cc
iz	iz	Sg
EPFRR-a	EPFRR	Npmsg
sukladno	sukladan	Agpnsny
članku	članak	Ncmsl
40.	40.	Mdo

Uredbe	uredba	Ncfpn

