koristiti	koristiti	Vmn
kućanstvo	kućanstvo	Ncnsa
ne	ne	Qz
može	moći	Vmr3s
biti	biti	Van
veći	velik	Agcmsny
od	od	Sg
bruto	bruan	Agpmsgn
iznosa	iznos	Ncmsg
minimalne	minimalan	Agpfsgy
plaće	plaća	Ncfsg
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
.	.	Z
«	«	Z
.	.	Z

Članak	članak	Ncmsn
9.	9.	Mdo

U	u	Sl
članku	članak	Ncmsl
31.	31.	Mdo
stavcima	stavak	Ncmpi
1.	1.	Mdo
,	,	Z
2.	2.	Mdo
i	i	Cc
3.	3.	Mdo
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
članka	članak	Ncmsg
30.	30.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
«	«	Z
zamjenjuju	zamjenjivati	Vmr3p
se	sebe	Px--sa
riječima	riječ	Ncfpi
:	:	Z
»	»	Z
članka	članak	Ncmsg
30.	30.	Mdo
stavka	stavak	Ncmsg
3.	3.	Mdo
«	«	Z
.	.	Z

Članak	članak	Ncmsn
10.	10.	Mdo

U	u	Sl
članku	članak	Ncmsl
32.	32.	Mdo
stavku	stavak	Ncmsl
1.	1.	Mdo
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
članka	članak	Ncmsg
30.	30.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
«	«	Z
zamjenjuju	zamjenjivati	Vmr3p
se	sebe	Px--sa
riječima	riječ	Ncfpi
:	:	Z
»	»	Z
članka	članak	Ncmsg
30.	30.	Mdo
stavka	stavak	Ncmsg
3.	3.	Mdo
«	«	Z
.	.	Z

Članak	članak	Ncmsn
11.	11.	Mdo

U	u	Sl
članku	članak	Ncmsl
33.	33.	Mdo
a	a	Cc
riječi	riječ	Ncfpa
:	:	Z
»	»	Z
podnošenja	podnošenje	Ncnsg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
priznavanje	priznavanje	Ncnsa
prava	pravo	Ncnpg
«	«	Z
zamjenjuju	zamjenjivati	Vmr3p
se	sebe	Px--sa
riječima	riječ	Ncfpi
:	:	Z
»	»	Z
u	u	Sl
kojem	koji	Pi-msl
je	biti	Var3s
priznato	priznati	Agpnsny
pravo	pravo	Ncnsn
«	i	Agpnsny
.	.	Z

Članak	članak	Ncmsn
12.	12.	Mdo

Članak	članak	Ncmsn
34.	34.	Mdo
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
Ako	ako	Cs
centar	centar	Ncmsn
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
procijeni	procijeniti	Vmr3s
da	da	Cs
postoji	postojati	Vmr3s
vjerojatnost	vjerojatnost	Ncfsn
da	da	Cs
korisnik	korisnik	Ncmsn
zajamčenu	zajamčiti	Vmr3s
minimalnu	minimalan	Agpfsay

