mlađih	mlad	Agcmpgy
provođenja	provođenje	Ncnsg
mjera	mjera	Ncfpg
iz	iz	Sg
stavka	stavka	Ncfpg
1.	1.	Mdo
i	i	Cc
8.	8.	Mdo
ove	ovaj	Pd-fsg
podtočke	podtočke	Pi-fpn
podmiruju	podmirivati	Vmr3p
se	sebe	Px--sa
iz	iz	Sg
državnog	državni	Agpmsgy
proračuna	proračun	Ncmsg
,	,	Z
a	a	Cc
troškove	trošak	Ncmpa
provođenja	provođenje	Ncnsg
mjera	mjera	Ncfpg
iz	iz	Sg
stavka	stavka	Ncfpg
3.	3.	Mdo
i	i	Cc
4.	4.	Mdo
ove	ovaj	Pd-fsg
podtočke	podtočka	Ncfsg
snosi	snositi	Vmr3s
posjednik	posjednik	Ncmsn
životinja	životinja	Ncfpg
.	.	Z

9.2.	9.2.	Mdo

Tuberkuloza	tuberkuloza	Ncfsn
svinja	svinja	Ncfpg

(	(	Z
1	1	Mdc
)	)	Z
Ovlašteni	ovlašten	Agpmsny
veterinar	veterinar	Ncmsn
kontrolnog	kontrolan	Agpnsgy
tijela	tijelo	Ncnsg
ili	ili	Cc
veterinarski	veterinarski	Agpmsny
inspektor	inspektor	Ncmsn
u	u	Sl
klaonici	klaonica	Ncfsl
mora	morati	Vmr3s
voditi	voditi	Vmn
posebnu	poseban	Agpfsay
evidenciju	evidencija	Ncfsa
o	o	Sl
svakom	svaki	Pi-msl
utvrđenom	utvrditi	Agpmsly
slučaju	slučaj	Ncmsl
tuberkuloze	tuberkuloza	Ncfsg
svinja	svinja	Ncfpg
te	te	Cc
o	o	Sl
nalazu	nalaz	Ncmsl
izvijestiti	izvijestiti	Vmn
nadležnog	nadležan	Agpmsgy
veterinarskog	veterinarski	Agpmsgy
inspektora	inspektor	Ncmsg
nadležnog	nadležan	Agpmsgy
veterinarskog	veterinarski	Agpmsgy
ureda	ured	Ncmsg
i	i	Cc
nadležnog	nadležan	Agpmsgy
veterinarskog	veterinarski	Agpmsgy
inspektora	inspektor	Ncmsg
u	u	Sl
mjestu	mjesto	Ncnsl
podrijetla	podrijetlo	Ncnsg
tuberkulozne	tuberkulozan	Agpfsgy
životinje	životinja	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
nalaza	nalaz	Ncmsg
patoanatomskih	patoanatomski	Agpfpgy
promjena	promjena	Ncfpg
na	na	Sl
liniji	linija	Ncfsl
klanja	klanje	Ncnsg
,	,	Z
koje	koji	Pi-fpn
upućuju	upućivati	Vmr3p
na	na	Sa
tuberkulozu	tuberkuloza	Ncfsa
veterinarski	veterinarski	Agpmsny
inspektor	inspektor	Ncmsn
ili	ili	Cc
ovlašteni	ovlašten	Agpmsny
veterinar	veterinar	Ncmsn
kontrolnog	kontrolan	Agpnsgy
tijela	tijelo	Ncnsg
moraju	morati	Vmr3p
dostaviti	dostaviti	Vmn
promijenjene	promijeniti	Agpmpay
limfne	limfni	Agpmpay
čvorove	čvor	Ncmpa
i	i	Cc
/	/	Z
ili	ili	Cc
promijenjene	promijeniti	Agpmpay
parenhimske	parenhimski	Agpmpay
organe	organ	Ncmpa
(	(	Z
slezena	slezena	Ncfpg
,	,	Z
pluća	pluća	Ncnpg
,	,	Z
jetra	jetra	Ncfsn
)	)	Z
radi	raditi	Vmr3s
potvrde	potvrda	Ncfpa
ili	ili	Cc
isključivanja	isključivanje	Ncnsg
tuberkuloze	tuberkuloza	Ncfsg
u	u	Sa
službeni	služben	Agpmsayn
laboratorij	laboratorij	Ncmsan
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Troškovi	trošak	Ncmpn
provođenja	provođenje	Ncnsg
mjera	mjera	Ncfpg
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ove	ovaj	Pd-fsg
podtočke	podtočka	Ncfsg
podmiruju	podmirivati	Vmr3p
se	sebe	Px--sa
iz	iz	Sg
državnog	državni	Agpmsgy
proračuna	proračun	Ncmsg
.	.	Z

10.	10.	Mdo

Paratuberkuloza	paratuberkuloza	Ncfsn

(	(	Z
1	1	Mdc
)	)	Z
Na	na	Sl
paratuberkulozu	paratuberkuloz	Ncmsl
moraju	morati	Vmr3p
biti	biti	Van
pretražena	pretražiti	Appnpny
rasplodna	rasplodni	Agpfsny
goveda	govedo	Ncfsn
starija	star	Agcfsny
od	od	Sg
24	24	Mdc
mjeseca	mjesec	Ncmsg
te	te	Cc
rasplodne	rasplodni	Agpfsgy
ovce	ovca	Ncfsg
i	i	Cc
koze	koza	Ncfsg
starije	staro	Rgc
od	od	Sg
12	12	Mdc
mjeseci	mjesec	Ncmpg
,	,	Z
ako	ako	Cs
pokazuju	pokazivati	Vmr3p
kliničke	klinički	Agpmpay
znakove	znak	Ncmpa
paratuberkuloze	paratuberkuloza	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Uzorkovanje	uzorkovanje	Ncnsn
,	,	Z
laboratorijsko	laboratorijski	Agpnsny
pretraživanje	pretraživanje	Ncnsn
i	i	Cc
mjere	mjera	Ncfsg
koje	koji	Pi-fpn
se	sebe	Px--sa
provode	provoditi	Vmr3p
u	u	Sl
slučaju	slučaj	Ncmsl
pozitivnoga	pozitivan	Agpmsgy
nalaza	nalaz	Ncmsg
na	na	Sa
paratuberkulozu	paratuberkuloz	Ncmsl
provode	provoditi	Vmr3p
se	sebe	Px--sa
sukladno	sukladno	Rgp
uputi	uputiti	Vmr3s
Uprave	uprava	Ncfsg
za	za	Sa
veterinarstvo	veterinarstvo	Ncnsa
i	i	Cc
sigurnost	sigurnost	Ncfsa
hrane	hrana	Ncfsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Troškovi	trošak	Ncmpn
provođenja	provođenje	Ncnsg
mjera	mjera	Ncfpg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ove	ovaj	Pd-fsg
točke	točka	Ncfsg
podmiruju	podmirivati	Vmr3p
se	sebe	Px--sa
iz	iz	Sg
državnog	državni	Agpmsgy
proračuna	proračun	Ncmsg
,	,	Z
a	a	Cc
troškove	trošak	Ncmpa
provedbe	provedba	Ncfsg
mjera	mjera	Ncfsn
is	is	Pi-fsn
stavka	stavka	Ncfsn
2.	2.	Mdo
ove	ovaj	Pd-fsg
točke	točka	Ncfsg
snosi	snositi	Vmr3s
posjednik	posjednik	Ncmsn
životinje	životinja	Ncfpa
.	.	Z

11.	11.	Mdo

Enzootska	Enzootska	Npfsn
leukoza	leuki	Agpnsgy
goveda	govedo	Ncnsg

(	(	Z
1	1	Mdc
)	)	Z
Sva	sav	Agpnpay
rasplodna	rasplodni	Agpnpay
goveda	govedo	Ncnpa
starija	star	Agcfsny
od	od	Sg
24	24	Mdc
mjeseca	mjesec	Ncmsg
potrebno	potreban	Agpnsny
je	biti	Var3s
pretražiti	pretražiti	Vmn
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
Dodatkom	dodatak	Ncmsi
D		Agpnsiy
Poglavljem	poglavlje	Ncnsi
II	ii	Mrc
Pravilnika	pravilnik	Ncmsg
o	o	Sl
veterinarskim	veterinarski	Agpmply
uvjetima	uvjet	Ncmpl
za	za	Sa
stavljanje	stavljanje	Ncnsa
u	u	Sa
promet	promet	Ncmsan
goveda	govedo	Ncnsg
i	i	Cc
svinja	svinja	Ncfsn
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
5/2016	5/2016	Mds
)	)	Z
,	,	Z
na	na	Sl
svim	sav	Agpnply
gospodarstvima	gospodarstvo	Ncnpl
sa	sa	Si
statusom	status	Ncmsi
stada	stado	Ncnsg
goveda	govedo	Ncnsg
službeno	službeno	Rgp
slobodnog	slobodan	Agpmsgy
od	od	Sg
enzootske	enzootski	Agpfsgy
leukoze	leukoza	Ncfsg
goveda	govedo	Ncnsg
,	,	Z
u	u	Sa
svrhu	svrha	Ncfsa
održavanja	održavanje	Ncnsg
statusa	status	Ncmsg
,	,	Z
na	na	Sl
području	područje	Ncnsl
jedinica	jedinica	Ncfpg
lokalne	lokalan	Agpfsgy
samouprave	samouprava	Ncfsg
u	u	Sl
:	:	Z

–	–	Sl
Zagrebačkoj	zagrebački	Agpfsly
županiji	županija	Ncfsl
:	:	Z
Dubrava	dubrava	Ncfsn
,	,	Z
Ivanić	Ivanić	Npmsn
Grad	grad	Ncmsn
,	,	Z
Klinča	klinč	Ncmsg
sela	selo	Ncnsg
,	,	Z
Kloštar	Kloštar	Npmsn
Ivanić	Ivanić	Npmsn
,	,	Z
Križ	Križ	Npmsn
i	i	Cc
Velika	velik	Agpfsny
Gorica	gorica	Ncfsn
;	;	Z

–	–	Sl
Sisačko-moslavačkoj	sisačko-moslavački	Agpfsly
županiji	županija	Ncfsl
:	:	Z
Glina	glina	Ncfsn
,	,	Z
Kutina	Kutina	Npfsn
,	,	Z
Lekenik	Lekenik	Npmsn
,	,	Z
Lipovljani	Lipovljan	Npmpn
,	,	Z
Majur	Majur	Npmsn
,	,	Z
Martinska	Martinska	Npfsn
Ves	Ves	Npfsn
,	,	Z
Novska	novski	Agpfsny
,	,	Z
Petrinja	Petrinja	Npfsn
,	,	Z
Popovača	Popovača	Npfsn
,	,	Z
Sisak	Sisak	Npmsn
,	,	Z
Sunja	Sunja	Npfsn
i	i	Cc
Velika	velik	Agpfsny
Ludina	Ludina	Npfsn
;	;	Z

–	–	Sl
Karlovačkoj	karlovački	Agpfsly
županiji	županija	Ncfsl
:	:	Z
Karlovac	Karlovac	Npmsn
i	i	Cc
Slunj	Slunj	Npmsn
;	;	Z

–	–	Sl
Varaždinskoj	varaždinski	Agpfsly
županiji	županija	Ncfsl
:	:	Z
Petrijanec	Petrijanec	Npmsn
;	;	Z

–	–	Z
Koprivničko	koprivnički	Agpnsny
križevačkoj	križevački	Agpfsly
županiji	županija	Ncfsl
:	:	Z
Drnje	Drnj	Npmsv
,	,	Z
Križevci	Križevc	Npmpn
,	,	Z
Virje	Virje	Npmsn
i	i	Cc
Sveti	svet	Agpmsny
Petar	Petar	Npmsn
Orehovec	Orehovec	Npmsn
;	;	Z

–	–	Z
Bjelovarsko	bjelovarski	Agpnsny
bilogorskoj	bilogorski	Agpfsly
županiji	županija	Ncfsl
:	:	Z
Berek	Berek	Npmsn
,	,	Z
Čazma	Čazma	Npfsn
,	,	Z
Dežanovac	Dežanovac	Npmsn
,	,	Z
Grubišno	grubišan	Agpnsny
polje	polje	Ncnsn
,	,	Z
Ivanska	Ivanska	Npfsn
,	,	Z
Kapela	kapela	Ncfsn
,	,	Z
Rovišće	Rovišće	Npnsn
Veliki	velik	Agpmsny
Grđevac	Grđevac	Npmsn
,	,	Z
Veliko	velik	Agpnsny
Trojstvo	trojstvo	Ncnsn
,	,	Z
Zrinski	Zrinski	Npmsn
Topolovac	Topolovac	Npmsn
i	i	Cc
Garešnica	Garešnica	Npfsn
;	;	Z

–	–	Sl
Ličko-senjskoj	ličko-senjski	Agpfsly
županiji	županija	Ncfsl
:	:	Z
Gospić	Gospić	Npmsn
,	,	Z
Vrhovine	Vrhovina	Npfsg
i	i	Cc
Udbina	Udbin	Npmsg
;	;	Z

–	–	Z
Virovitičko-podravskoj	virovitičko-podravski	Agpfsly

