JESENJE	jesenji	Agpnsny
VARAŽDINSKA	varaždinski	Agpfsny
ŽUPANIJA	županija	Ncfsn
HR2023400091800005007	HR2023400091800005007	Mds
472	472	Mdc
VARAŽDINSKE	varaždinski	Agpfpny
TOPLICE	toplice	Ncfpn
HR2623600001847300009	HR2623600001847300009	Var3p
473	473	Mdc
NOVI	nov	Agpmsny
MAROF	MAROF	Npmsn
VI	VI	Mrc
.	.	Z

KOPRIVNIČKO-KRIŽEVAČKA	koprivničko-križevački	Agpfsny
ŽUPANIJA	županija	Ncfsn
(	(	Z
sjedište	sjedište	Ncnsn
u	u	Sl
Koprivnici	Koprivnica	Npfsl
)	)	Z
ĐURĐEVAC	ĐURĐEVAC	Npmsn
HR3224020061810700004	HR3224020061810700004	Mdc
107	107	Mdc
ĐURĐEVAC	ĐURĐEVA	Npmsg
MOLVE	MOLV	Npmsg
HR0924020061827000007	HR092402006182700000	Npmsg
270	270	Mdc
ĐURĐEVAC	ĐURĐEVAC	Npmsan
XII	xii	Mrc
.	.	Z

BRODSKO-POSAVSKA	brodsko-posavski	Agpfsny
ŽUPANIJA	županija	Ncfsn
(	(	Z
sjedište	sjedište	Ncnsn
u	u	Sl
Slavonskom	slavonski	Agpmsly
Brodu	Brod	Npmsl
)	)	Z
BRODSKO-POSAVSKA	brodsko-posavski	Agpfsny
ŽUPANIJA	županija	Ncfsn
HR5723400091800012004	HR5723400091800012004	Mdc
396	396	Mdc
XIII	XIII	Y
.	.	Z

ZADARSKA	zadarski	Agpfsny
ŽUPANIJA	županija	Ncfsn
(	(	Z
sjedište	sjedište	Ncnsn
u	u	Sl
Zadru	Zadar	Npmsl
)	)	Z
POLAĆA	POLAĆ	Npmsg
HR0924850031834400009	HR092485003183440000	Npmsg
344	344	Mdc
BENKOVAC	BENKOVA	Npmsg
POSEDARJE	POSEDARJ	Npmsg
HR1523900011834900004	HR1523900011834900004	X
349	349	Mdc
ZADAR	Zadar	Y
JASENICE	JASENICE	Npfsg
HR6823900011816700007	HR6823900011816700007	X
167	167	Mdc
OBROVAC	OBROVAC	Npmsan
ZEMUNIK	ZEMUNIK	Npmsan
DONJI	donji	Agpmsny
HR0823900011852500004	HR0823900011852500004	X
525	525	Mdc
ZADAR	Zadar	Npmsn
XIV	XIV	Npmsn
.	.	Z

OSJEČKO-BARANJSKA	osječko-baranjski	Agpfsny
ŽUPANIJA	županija	Ncfsn
(	(	Z
sjedište	sjedište	Ncnsn
u	u	Sl
Osijeku	Osijek	Npmsl
)	)	Z
ĐAKOVO	ĐAKOV	Npmsl
HR5823400091810300000	HR5823400091810300000	X
103	103	Mdc
ĐAKOVO	đakov	Y
JAGODNJAK	jagodnjak	Ncmsn
HR2924070001860900008	HR2924070001860900008	X
609	609	Mdc
BELI	beli	Agpmsny
MANASTIR	manastir	Ncmsn
XV	XV	Npfsg
.	.	Z

ŠIBENSKO-KNINSKA	šibensko-kninski	Agpfsny
ŽUPANIJA	županija	Ncfsn
(	(	Z
sjedište	sjedište	Ncnsn
u	u	Sl
Šibeniku	Šibenik	Npmsl
)	)	Z
PROMINA	PROMIN	Npmsg
HR5323400091829800000	HR532340009182980000	Npmsg
298	298	Mdc
DRNIŠ	DRNIŠ	Y
XVII	XVII	Qr
.	.	Z

SPLITSKO-DALMATINSKA	splitsko-dalmatinski	Agpfsny
ŽUPANIJA	županija	Ncfsn
(	(	Z
sjedište	sjedište	Ncnsn
u	u	Sl
Splitu	Split	Npmsl
)	)	Z
OTOK	otok	Ncmsan
(	(	Z
Sinj	Sinj	Npmsn
)	)	Z
HR9323900011831400004	HR9323900011831400004	X
314	314	Mdc
SINJ	sinji	Y
STARI	star	Agpmsny
GRAD	grad	Ncmsn
HR2923900011841300006	HR2923900011841300006	X
413	413	Mdc
HVAR	HVAR	Y
XVIII	XVIII	Qr
.	.	Z

ISTARSKA	istarski	Agpfsny
ŽUPANIJA	županija	Ncfsn
(	(	Z
sjedište	sjedište	Ncnsn
u	u	Sl
Pazinu	Pazin	Npmsl
)	)	Z
CEROVLJE	CEROVLJ	Npmsl
HR0324020061804700009	HR0324020061804700009	X
047	047	Mdc
PAZIN	PAZIN	Y
XX	XX	Npfsg
.	.	Z

MEĐIMURSKA	međimurski	Agpfsny
ŽUPANIJA	županija	Ncfsn
(	(	Z
sjedište	sjedište	Ncnsn
u	u	Sl
Čakovcu	Čakovc	Npmsl
)	)	Z
ŠENKOVEC	ŠENKOVEC	Npmsn
HR0224840081860800007	HR0224840081860800007	Mdc
608	608	Mdc
ČAKOVEC	ČAKOVEC	Y

PRILOG	prilog	Ncmsn
3.	3.	Mdo

POPIS	popis	Ncmsn
VRSTA	vrsta	Ncfpg
PRIHODA	prihod	Ncmpg
I	i	Cc
DOPUŠTENIH	dopustiti	Appmpgy
MODELA	model	Ncmpg
ZA	za	Sa
VLASTITE	vlastit	Agpmpay
PRIHODE	prihod	Ncmpa
(	(	Z
državnog	državni	Agpmsgy
,	,	Z
županijskih	županijski	Agpfpgy
i	i	Cc
gradskih	gradski	Agpmpgy
/	/	Z
općinskih	općinski	Agpmpgy
proračuna	proračun	Ncmpg
i	i	Cc
Hrvatskog	hrvatski	Agpmsgy
zavoda	zavod	Ncmsg
za	za	Sa
zdravstveno	zdravstven	Agpnsay
osiguranje	osiguranje	Ncnsa
)	)	Z

Brojčana	brojčani	Agpfsny
oznaka	oznaka	Ncfsn
vrste	vrsta	Ncfsg
prihoda	prihod	Ncmpg
Model	model	Ncmsn
HR23	HR23	X
HR24	HR24	X
HR26	HR26	X
HR27	HR27	X
HR28	HR28	X
HR29	HR29	X
HR62	HR62	X
HR63	HR63	X
HR64	HR64	X
HR65	HR65	X
HR68	HR68	X
A.	A.	Pd-mpn
Vlastiti	vlastit	Agpmpny
prihodi	prihod	Ncmpn

