dovršene	dovršiti	Appfpny
13	13	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
korisnik	korisnik	Ncmsn
nije	biti	Var3s
obveznik	obveznik	Ncmsn
provedbe	provedba	Ncfsg
nabave	nabava	Ncfsg
sukladno	sukladno	Rgp
Zakonu	Zakon	Npmsd
o	o	Sl
javnoj	javan	Agpfsly
nabavi	nabava	Ncfsl
ili	ili	Cc
ukoliko	ukoliko	Cs
je	biti	Var3s
obveznik	obveznik	Ncmsn
javne	javan	Agpfsgy
nabave	nabava	Ncfsg
,	,	Z
ali	ali	Cc
ima	imati	Vmr3s
nabavu	nabava	Ncfsa
ispod	ispod	Sg
pragova	prag	Ncmpg
propisanih	propisati	Appmpgy
Zakonom	zakon	Ncmsi
o	o	Sl
javnoj	javan	Agpfsly
nabavi	nabava	Ncfsl
,	,	Z
obvezan	obvezan	Agpmsnn
je	biti	Var3s
postupati	postupati	Vmn
sukladno	sukladno	Rgp
postupcima	postupak	Ncmpd
definiranim	definirati	Agpmsiy
Natječajem	natječaj	Ncmsi
.	.	Z

(	(	Z
14	14	Mdc
)	)	Z
Korisnik	korisnik	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
obavijestiti	obavijestiti	Vmn
Ministarstvo	ministarstvo	Ncnsa
poljoprivrede	poljoprivreda	Ncfsg
,	,	Z
Upravu	uprava	Ncfsa
ribarstva	ribarstvo	Ncnsg
o	o	Sl
primopredaji	primopredaja	Ncfsl
opreme	oprema	Ncfsg
od	od	Sg
dobavljača	dobavljač	Ncmpg
ukoliko	ukoliko	Cs
istu	isti	Agpfsay
nije	biti	Var3s
moguće	moguć	Agpnsny
provjeriti	provjeriti	Vmn
u	u	Sl
kasnijoj	kasan	Agcfsly
fazi	faza	Ncfsl
kontrole	kontrola	Ncfsg
i	i	Cc
o	o	Sl
provođenju	provođenje	Ncnsl
»	»	Z
skrivenih	skriti	Agpmpgy
radova	rad	Ncmpg
«	«	Z
,	,	Z
odnosno	odnosno	Rgp
radova	rad	Ncmpg
koji	koji	Pi-mpn
ne	ne	Qz
mogu	moći	Vmr3p
biti	biti	Van
provjereni	provjeriti	Appmpny
u	u	Sl
kasnijoj	kasan	Agcfsly
fazi	faza	Ncfsl
,	,	Z
najkasnije	kasno	Rgs
sedam	sedam	Sg
radnih	radni	Agpmpgy
dana	dan	Ncmpg
prije	prije	Sg
provođenja	provođenje	Ncnsg
navedenih	naveden	Agpmpgy
radova	rad	Ncmpg
odnosno	odnosno	Rgp
datuma	datum	Ncmsg
isporuke	isporuka	Ncfsg
opreme	oprema	Ncfsg
,	,	Z
putem	put	Sg
elektroničke	elektronički	Agpfsgy
pošte	pošta	Ncfsg
:	:	Z
eufondovi.ribarstvo@mps.hr	eufondovi.ribarstvo@mps.hr	X
.	.	Z

(	(	Z
15	15	Mdc
)	)	Z
Korisnik	korisnik	Ncmsn
za	za	Sa
kojeg	koji	Pi-msay
je	biti	Var3s
utvrđeno	utvrditi	Appnsny
da	da	Cs
je	biti	Var3s
sredstva	sredstvo	Ncnpa
potpore	potpora	Ncfsg
ostvario	ostvariti	Vmp-sm
na	na	Sl
temelju	temelj	Ncmsl
lažnih	lažan	Agpmpgy
podataka	podatak	Ncmpg
i	i	Cc
/	/	Z
ili	ili	Cc
izjava	izjava	Ncfsn
ili	ili	Cc
da	da	Cs
nije	biti	Var3s
postupao	postupati	Vmp-sm
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbama	odredba	Ncfpi
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
i	i	Cc
uvjetima	uvjet	Ncmpl
Natječaja	natječaj	Ncmsg
,	,	Z
dužan	dužan	Agpmsnn
je	biti	Var3s
sva	sav	Agpnpay
primljena	primljen	Agpnpay
sredstva	sredstvo	Ncnpa
vratiti	vratiti	Vmn
u	u	Sa
državni	državni	Agpmsayn
proračun	proračun	Ncmsan
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
uključujući	uključivati	Rr
zakonske	zakonski	Agpfsgy
zatezne	zatezni	Agpfsgy
kamate	kamata	Ncfsg
od	od	Sg
dana	dan	Ncmpg
kada	kada	Cs
je	biti	Var3s
ta	taj	Pd-npn
sredstva	sredstvo	Ncnpn
primio	primiti	Vmp-sm
.	.	Z

III	III	Mrc
.	.	Z

PRIHVATLJIVI	prihvatljiv	Agpmpny
I	i	Cc
NEPRIHVATLJIVI	neprihvatljiv	Agpmpny
TROŠKOVI	trošak	Ncmpn

Prihvatljivi	prihvatljiv	Agpmpny
troškovi	trošak	Ncmpn
u	u	Sl
području	područje	Ncnsl
sigurnosti	sigurnost	Ncfsg

Članak	članak	Ncmsn
6.	6.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Za	za	Sa
operacije	operacija	Ncfpa
u	u	Sl
cilju	cilj	Ncmsl
poboljšanja	poboljšanje	Ncnsg
sigurnosnih	sigurnosni	Agpmpgy
uvjeta	uvjet	Ncmpg
na	na	Sl
ribarskim	ribarski	Agpnply
plovilima	plovilo	Ncnpl
,	,	Z
prihvatljivi	prihvatljiv	Agpmpny
su	biti	Var3p
troškovi	trošak	Ncmpn
nabave	nabava	Ncfsg
:	:	Z

a	a	Cc
)	)	Z
čamaca	čamac	Ncmpg
za	za	Sa
spašavanje	spašavanje	Ncnsa
i	i	Cc
/	/	Z
ili	ili	Cc
hidrostatskog	hidrostatski	Agpmsgy
uređaja	uređaj	Ncmsg
za	za	Sa
otpuštanje	otpuštanje	Ncnsa
čamaca	čamac	Ncmpg
za	za	Sa
spašavanje	spašavanje	Ncnsa
;	;	Z

b	b	Npmsn
)	)	Z
osobnih	osoban	Agpmpgy
lokacijskih	lokacijski	Agpmpgy
uređaja	uređaj	Ncmpg
koji	koji	Pi-mpn
mogu	moći	Vmr3p
biti	biti	Van
ugrađeni	ugraditi	Appmpny
u	u	Sa
prsluk	prsluk	Ncmsan
za	za	Sa
spašavanje	spašavanje	Ncnsa
i	i	Cc
radnu	radni	Agpfsay
odjeću	odjeća	Ncfsa
ribara	ribar	Ncmpg
;	;	Z

c	C	Npmsn
)	)	Z
osobne	osoban	Agpfpay
opreme	oprema	Ncfpa
za	za	Sa
plutanje	plutanje	Ncnsa
,	,	Z
a	a	Cc
posebno	posebno	Rgp
hidro-termo	hidro-termo	Agpnsgy
odijela	odijelo	Ncnsg
ili	ili	Cc
odijela	odijelo	Ncnsg
za	za	Sa
preživljavanje	preživljavanje	Ncnsa
,	,	Z
koluta	kolut	Ncmsg
i	i	Cc
prsluka	prsluk	Ncmsg
za	za	Sa
spašavanje	spašavanje	Ncnsa
;	;	Z

d		Agpnpgy
)	)	Z
signalnih	signalni	Agpfpgy
baklji	baklja	Ncfpg
i	i	Cc
raketa	raketa	Ncfpg
;	;	Z

e	e	I
)	)	Z
sprava	sprava	Ncfsn
za	za	Sa
dobacivanje	dobacivanje	Ncnsa
konopa	konop	Ncmpg
;	;	Z

f		Mlompg
)	)	Z
sustava	sustav	Ncmsg
za	za	Sa
spašavanje	spašavanje	Ncnsa
čovjeka	čovjek	Ncmsg
u	u	Sl
moru	more	Ncnsl
(	(	Z
MOB	mob	Ncmsn
)	)	Z
;	;	Z

g	g	Y
)	)	Z
opreme	oprema	Ncfsg
za	za	Sa
gašenje	gašenje	Ncnsa
požara	požar	Ncmpg
kao	kao	Cs
što	što	Cs
su	biti	Var3p
aparati	aparat	Ncmpn
za	za	Sa
gašenje	gašenje	Ncnsa
požara	požar	Ncmsg
,	,	Z
vatrogasni	vatrogasan	Agpmpny
pokrivači	pokrivač	Ncmpn
,	,	Z
detektori	detektor	Ncmpn
požara	požar	Ncmsg
i	i	Cc
dima	dim	Ncmsg
,	,	Z
aparati	aparat	Ncmpn
za	za	Sa
disanje	disanje	Ncnsa
;	;	Z

h	h	Npmsn
)	)	Z
protupožarnih	protupožarni	Agpnpgy
vrata	vrata	Ncnpg
;	;	Z

i	i	Cc
)	)	Z
zapornih	zaporni	Agpmpgy
ventila	ventil	Ncmpg
na	na	Sl
spremniku	spremnik	Ncmsl
za	za	Sa
gorivo	gorivo	Ncnsa
;	;	Z

j	j	Npmsn
)	)	Z
detektora	detektor	Ncmsg
plinova	plin	Ncmpg
i	i	Cc
alarmnih	alarmni	Agpmpgy
sustava	sustav	Ncmpg
za	za	Sa
plin	plin	Ncmsan
;	;	Z

k	k	Sd
)	)	Z
kaljužnih	kaljužan	Agpfpgy
pumpi	pumpa	Ncfpg
i	i	Cc
alarma	alarm	Ncmpg
;	;	Z

l	l	Y
)	)	Z
opreme	oprema	Ncfpa
za	za	Sa
radiovezu	radioveza	Ncfsa
ili	ili	Cc
satelitsku	satelitski	Agpfsay
komunikaciju	komunikacija	Ncfsa
;	;	Z

m	m	Npmsn
)	)	Z
vodonepropusnih	vodonepropustan	Agpmpgy
poklopaca	poklopac	Ncmpg
grotala	grotlo	Ncmpg
i	i	Cc
vrata	vrata	Ncnpa
;	;	Z

n		Mlompg
)	)	Z
osigurača	osigurač	Ncmpg
na	na	Sl
strojevima	stroj	Ncmpl
kao	kao	Cs
što	što	Cs
su	biti	Var3p
vitla	vitao	Ncmsg
ili	ili	Cc
mrežna	mrežni	Agpmsgy
vitla	vitao	Ncmsg
;	;	Z

o	o	Sl
)	)	Z
prolaza	prolaz	Ncmsg
i	i	Cc
pristupnih	pristupni	Agpfpgy
ljestvi	ljestve	Ncfpg
;	;	Z

p	p	Npmsn
)	)	Z
rasvjete	rasvjeta	Ncfpa
za	za	Sa
potragu	potraga	Ncfsa
,	,	Z
rasvjete	rasvjeta	Ncfpa
na	na	Sl
palubi	paluba	Ncfsl
ili	ili	Cc
rasvjete	rasvjeta	Ncfsg
za	za	Sa
nuždu	nužda	Ncfsa
;	;	Z

q		Agpnpgy
)	)	Z
sigurnosnih	sigurnosni	Agpmpgy
uređaja	uređaj	Ncmpg
za	za	Sa
otpuštanje	otpuštanje	Ncnsa
u	u	Sl
slučaju	slučaj	Ncmsl
zapinjanja	zapinjanje	Ncnsg
ribolovnog	ribolovan	Agpmsgy
alata	alat	Ncmsg
za	za	Sa
podvodne	podvodan	Agpfpay
prepreke	prepreka	Ncfpa
;	;	Z

r		Agpnpgy
)	)	Z
sigurnosnih	sigurnosni	Agpfpgy
kamera	kamera	Ncfpg
i	i	Cc
monitora	monitor	Ncmpg
;	;	Z

s	sa	Sg
)	)	Z
opreme	oprema	Ncfsg
i	i	Cc
dijelova	dio	Ncmpg
potrebnih	potreban	Agpmpgy
za	za	Sa
poboljšanje	poboljšanje	Ncnsa
sigurnosti	sigurnost	Ncfsg
na	na	Sl
palubi	paluba	Ncfsl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Prihvatljivi	prihvatljiv	Agpmpny
su	biti	Var3p
i	i	Cc
troškovi	trošak	Ncmpn
koji	koji	Pi-mpn
su	biti	Var3p
nužni	nužan	Agpmpny
i	i	Cc
izravno	izravno	Rgp
povezani	povezati	Appmpny
s	sa	Si
ugradnjom	ugradnja	Ncfsi
/	/	Z
postavljanjem	postavljanje	Ncnsi
predmeta	predmet	Ncmsg
/	/	Z
opreme	oprema	Ncfsg
/	/	Z
sustava	sustav	Ncmsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

Prihvatljivi	prihvatljiv	Agpmpny
troškovi	trošak	Ncmpn
u	u	Sl
području	područje	Ncnsl
zdravlja	zdravlje	Ncnsg

Članak	članak	Ncmsn
7.	7.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Za	za	Sa
operacije	operacija	Ncfpa
u	u	Sl
cilju	cilj	Ncmsl
poboljšanja	poboljšanje	Ncnsg
zdravstvenih	zdravstven	Agpmpgy
uvjeta	uvjet	Ncmpg
na	na	Sl
ribarskim	ribarski	Agpnply
plovilima	plovilo	Ncnpl
,	,	Z
prihvatljivi	prihvatljiv	Agpmpny
su	biti	Var3p
sljedeći	sljedeći	Agpmpny
troškovi	trošak	Ncmpn
:	:	Z

a	a	Cc
)	)	Z
nabava	nabava	Ncfsn
i	i	Cc
postavljanje	postavljanje	Ncnsa
pribora	pribor	Ncmpg
za	za	Sa
prvu	prvi	Mlofsa
pomoć	pomoć	Ncfsa
;	;	Z

b	b	Npmsn
)	)	Z
nabava	nabava	Ncfsn
lijekova	lijek	Ncmpg
i	i	Cc
uređaja	uređaj	Ncmpg
za	za	Sa
hitno	hitan	Agpnsay
liječenje	liječenje	Ncnsa
na	na	Sl
plovilu	plovilo	Ncnsl
;	;	Z

c	C	Npmsn
)	)	Z
nabava	nabava	Ncfsn
usluga	usluga	Ncfpg
telemedicine	telemedicina	Ncfsg
uključujući	uključivati	Rr
elektronske	elektronski	Agpfsgy
tehnologije	tehnologija	Ncfsg
,	,	Z
opremu	oprema	Ncfsa
i	i	Cc
medicinsko	medicinski	Agpnsay
snimanje	snimanje	Ncnsa
koje	koji	Pi-nsn
se	sebe	Px--sa
na	na	Sl
plovilu	plovilo	Ncnsl
upotrebljavaju	upotrebljavati	Vmr3p
za	za	Sa
savjetovanje	savjetovanje	Ncnsa
na	na	Sa
daljinu	daljina	Ncfsa
;	;	Z

d	d	Npmsn
)	)	Z
nabava	nabava	Ncfsn
vodiča	vodič	Ncmpg
i	i	Cc
priručnika	priručnik	Ncmpg
za	za	Sa
poboljšanje	poboljšanje	Ncnsa
zdravlja	zdravlje	Ncnsg
na	na	Sl
plovilu	plovilo	Ncnsl
;	;	Z

e	e	I
)	)	Z
provedba	provedba	Ncfsn
informativnih	informativan	Agpfpgy
kampanja	kampanja	Ncfpg
za	za	Sa
poboljšanje	poboljšanje	Ncnsa

