pojedinosti	pojedinost	Ncfpa
gospodarskih	gospodarski	Agpmpgy
subjekata	subjekt	Ncmpg

Članak	članak	Ncmsn
14.	14.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Svaki	svaki	Pi-msn
gospodarski	gospodarski	Agpmsny
subjekti	subjekt	Ncmpn
mora	morati	Vmr3s
na	na	Sa
zahtjev	zahtjev	Ncmsan
mjeriteljske	mjeriteljski	Agpfsgy
inspekcije	inspekcija	Ncfsg
središnjeg	središnji	Agpnsgy
tijela	tijelo	Ncnsg
državne	državni	Agpfsgy
uprave	uprava	Ncfsg
nadležnog	nadležan	Agpmsgy
za	za	Sa
mjeriteljstvo	mjeriteljstvo	Ncnsa
dati	dati	Vmn
podatke	podatak	Ncmpa
o	o	Sl
identitetu	identitet	Ncmsl
:	:	Z

–	–	Sg
svakog	svaki	Pi-msg
gospodarskog	gospodarski	Agpmsgy
subjekta	subjekt	Ncmsg
koji	koji	Pi-msn
mu	on	Pp3msd
je	biti	Var3s
isporučio	isporučiti	Vmp-sm
mjerilo	mjeriti	Vap-sn
;	;	Z

–	–	Sg
svakog	svaki	Pi-msg
gospodarskog	gospodarski	Agpmsgy
subjekta	subjekt	Ncmsg
kojem	koji	Pi-msd
je	biti	Var3s
isporučeno	isporučiti	Appnsny
mjerilo	mjerilo	Ncnsn
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Gospodarski	gospodarski	Agpmpny
subjekti	subjekt	Ncmpn
su	biti	Var3p
obvezni	obvezan	Agpmpny
podatke	podatak	Ncmpa
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
predočiti	predočiti	Vmn
,	,	Z
na	na	Sa
zahtjev	zahtjev	Ncmsan
,	,	Z
središnjem	središnji	Agpnsly
tijelu	tijelo	Ncnsl
državne	državni	Agpfsgy
uprave	uprava	Ncfsg
nadležnom	nadležan	Agpmsdy
za	za	Sa
mjeriteljstvo	mjeriteljstvo	Ncnsa
u	u	Sl
razdoblju	razdoblje	Ncnsl
od	od	Sg
deset	deset	Mlc
(	(	Z
10	10	Mdc
)	)	Z
godina	godina	Ncfpg
nakon	nakon	Cs
što	što	Cs
im	oni	Pp3-pd
je	biti	Var3s
isporučeno	isporučiti	Appnsny
mjerilo	mjeriti	Vap-sn
odnosno	odnosno	Rgp
tijekom	tijekom	Sg
deset	deset	Mlc
(	(	Z
10	10	Mdc
)	)	Z
godina	godina	Ncfpg
nakon	nakon	Cs
što	što	Cs
su	biti	Var3p
isporučili	isporučiti	Vmp-pm
mjerilo	mjerilo	Ncnsa
.	.	Z

III	III	Mrc
.	.	Z

SUKLADNOST	sukladnost	Ncfsn
MJERILA	mjeriti	Vmp-sf

Pretpostavka	pretpostavka	Ncfsn
o	o	Sl
sukladnosti	sukladnost	Ncfsl
mjerila	mjerilo	Ncnsg

Članak	članak	Ncmsn
15.	15.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Pretpostavlja	pretpostavljati	Vmr3s
se	sebe	Px--sa
sukladnost	sukladnost	Ncfsn
mjerila	mjerilo	Ncnsg
s	sa	Si
temeljnim	temeljan	Agpmpiy
zahtjevima	zahtjev	Ncmpi
iz	iz	Sg
Dodatka	dodatak	Ncmsg
I.	I.	Sg
ovoga	ovaj	Pd-nsg
Pravilnika	pravilnik	Ncmsg
i	i	Cc
s	sa	Si
odgovarajućim	odgovarajući	Agpmpiy
posebnim	poseban	Agpmpiy
dodacima	dodatak	Ncmpi
koji	koji	Pi-mpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
pojedinu	pojedini	Agpfsay
vrstu	vrsta	Ncfsa
mjerila	mjerilo	Ncnsg
,	,	Z
za	za	Sa
ona	onaj	Pd-npa
mjerila	mjerilo	Ncnpa
koja	koji	Pi-npn
su	biti	Var3p
proizvedena	proizvesti	Appnpny
prema	prema	Sl
usklađenim	uskladiti	Agpfply
normama	norma	Ncfpl
ili	ili	Cc
njihovim	njihov	Agpmpdy
dijelovima	dio	Ncmpd
,	,	Z
a	a	Cc
čiji	čiji	Pi-msn
je	biti	Var3s
popis	popis	Ncmsn
oznaka	oznaka	Ncfsn
objavljen	objaviti	Appmsnn
u	u	Sl
»	»	Z
Službenom	služben	Agpmsly
listu	list	Ncmsl
Europske	europski	Agpfsgy
unije	unija	Ncfsg
«	«	Z
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Pretpostavlja	pretpostavljati	Vmr3s
se	sebe	Px--sa
sukladnost	sukladnost	Ncfsn
mjerila	mjerilo	Ncnsg
s	sa	Si
temeljnim	temeljan	Agpmpiy
zahtjevima	zahtjev	Ncmpi
iz	iz	Sg
Dodatka	dodatak	Ncmsg
I.	I.	Sg
ovoga	ovaj	Pd-nsg
Pravilnika	pravilnik	Ncmsg
i	i	Cc
s	sa	Si
odgovarajućim	odgovarajući	Agpmpiy
posebnim	poseban	Agpmpiy
dodacima	dodatak	Ncmpi
koji	koji	Pi-mpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
pojedinu	pojedini	Agpfsay
vrstu	vrsta	Ncfsa
mjerila	mjerilo	Ncnsg
,	,	Z
za	za	Sa
ona	onaj	Pd-npa
mjerila	mjerilo	Ncnpa
koja	koji	Pi-npn
su	biti	Var3p
proizvedena	proizvesti	Appnpny
prema	prema	Sl
dijelovima	dio	Ncmpl
normativnih	normativan	Agpmpgy
dokumenata	dokument	Ncmpg
,	,	Z
a	a	Cc
čiji	čiji	Pi-msn
je	biti	Var3s
popis	popis	Ncmsn
oznaka	oznaka	Ncfsn
objavljen	objaviti	Appmsnn
u	u	Sl
»	»	Z
Službenom	služben	Agpmsly
listu	list	Ncmsl
Europske	europski	Agpfsgy
unije	unija	Ncfsg
«	«	Z
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Proizvođač	proizvođač	Ncmsn
može	moći	Vmr3s
odabrati	odabrati	Vmn
bilo	bilo	Qo
koje	koji	Pi-nsn
tehničko	tehnički	Agpnsny
rješenje	rješenje	Ncnsn
koje	koji	Pi-nsn
zadovoljava	zadovoljavati	Vmr3s
temeljne	temeljan	Agpmpay
zahtjeve	zahtjev	Ncmpa
iz	iz	Sg
Dodatka	dodatak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-nsg
Pravilnika	pravilnik	Ncmsg
i	i	Cc
odgovarajućim	odgovarajući	Agpmply
posebnim	poseban	Agpmply
dodacima	dodatak	Ncmpl
koji	koji	Pi-mpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
pojedinu	pojedini	Agpfsay
vrstu	vrsta	Ncfsa
mjerila	mjerilo	Ncnsg
.	.	Z

Međutim	međutim	Rgp
,	,	Z
da	da	Cs
bi	biti	Vaa3s
iskoristio	iskoristiti	Vmp-sm
pretpostavku	pretpostavka	Ncfsa
o	o	Sl
sukladnosti	sukladnost	Ncfsl
,	,	Z
proizvođač	proizvođač	Ncmsn
mora	morati	Vmr3s
ispravno	ispravno	Rgp
primijeniti	primijeniti	Vmn
rješenja	rješenje	Ncnpa
navedena	navesti	Appfsny
u	u	Sl
odgovarajućim	odgovarajući	Agpmsiy
usklađenim	uskladiti	Agpfply
normama	norma	Ncfpl
ili	ili	Cc
normativnim	normativan	Agpmpiy
dokumentima	dokument	Ncmpi
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
i	i	Cc
2.	2.	Mdo
ovoga	ovaj	Pd-nsg
članka	članak	Ncmsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Pretpostavlja	pretpostavljati	Vmr3s
se	sebe	Px--sa
sukladnost	sukladnost	Ncfsn
s	sa	Si
odgovarajućim	odgovarajući	Agpmpiy
ispitivanjima	ispitivanje	Ncmpi
navedenima	naveden	Agpmpiy
u	u	Sl
članku	članak	Ncmsl
19.	19.	Mdo
stavku	stavak	Ncmsl
3.	3.	Mdo
točki	točka	Ncfpg
i.	i.	Y
ako	ako	Cs
je	biti	Var3s
odgovarajući	odgovarajući	Agpmsny
program	program	Ncmsn
ispitivanja	ispitivanje	Ncnsg
proveden	provesti	Appmsnn
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odgovarajućim	odgovarajući	Agpmpiy
dokumentima	dokument	Ncmpi
navedenima	naveden	Agpmpiy
u	u	Sl
stavcima	stavak	Ncmpl
1.	1.	Mdo
,	,	Z
2.	2.	Mdo
i	i	Cc
3.	3.	Mdo
ovoga	ovaj	Pd-nsg
članka	članak	Ncmsg
i	i	Cc
ako	ako	Cs
rezultati	rezultat	Ncmpn
ispitivanja	ispitivanje	Ncnsg
osiguravaju	osiguravati	Vmr3p
sukladnost	sukladnost	Ncfsa
s	sa	Si
temeljnim	temeljan	Agpmpiy
zahtjevima	zahtjev	Ncmpi
.	.	Z

Objavljivanje	objavljivanje	Ncnsn
upućivanja	upućivanje	Ncnsg
na	na	Sa
normativne	normativan	Agpmpay
dokumente	dokument	Ncmpa

Članak	članak	Ncmsn
16.	16.	Mdo

Na	na	Sa
zahtjev	zahtjev	Ncmsan
središnjeg	središnji	Agpnsgy
tijela	tijelo	Ncnsg
državne	državni	Agpfsgy
uprave	uprava	Ncfsg
nadležnog	nadležan	Agpmsgy
za	za	Sa
mjeriteljstvo	mjeriteljstvo	Ncnsa
ili	ili	Cc
na	na	Sa
vlastitu	vlastit	Agpfsay
inicijativu	inicijativa	Ncfsa
Europska	europski	Agpfsny
komisija	komisija	Ncfsn
,	,	Z
prema	prema	Sl
potrebi	potreba	Ncfsl
:	:	Z

a	a	Cc
)	)	Z
određuje	određivati	Vmr3s
normativne	normativan	Agpmpay
dokumente	dokument	Ncmpa
i	i	Cc
,	,	Z
u	u	Sl
popisu	popis	Ncmsl
,	,	Z
ukazuje	ukazivati	Vmr3s
na	na	Sa
one	onaj	Agpmpay
njihove	njihov	Agpmpay
dijelove	dio	Ncmpa
čije	čiji	Pi-nsn
zadovoljavanje	zadovoljavanje	Ncnsn
daje	davati	Vmr3s
pretpostavku	pretpostavka	Ncfsa
o	o	Sl
sukladnosti	sukladnost	Ncfsl
s	sa	Si
odgovarajućim	odgovarajući	Agpmpiy
temeljnim	temeljan	Agpmpiy
zahtjevima	zahtjev	Ncmpi
utvrđenim	utvrditi	Appmsiy
ovim	ovaj	Pd-msi
Pravilnikom	pravilnik	Ncmsi
u	u	Sl
Dodatku	dodatak	Ncmsl
I.	I.	Mro
i	i	Cc
odgovarajućim	odgovarajući	Agpmply
posebnim	poseban	Agpmply
dodacima	dodatak	Ncmpl
koji	koji	Pi-mpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
pojedinu	pojedini	Agpfsay
vrstu	vrsta	Ncfsa
mjerila	mjerilo	Ncnsg
;	;	Z

b	b	Npmsn
)	)	Z
objavljuje	objavljivati	Vmr3s
upućivanje	upućivanje	Ncnsa
na	na	Sa
normativne	normativan	Agpmpay
dokumente	dokument	Ncmpa
i	i	Cc
popis	popis	Ncmsan
iz	iz	Sg
točke	točka	Ncfsg
a	a	Cc
)	)	Z
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
u	u	Sl
»	»	Z
Službenom	služben	Agpmsly
listu	list	Ncmsl
Europske	europski	Agpfsgy
unije	unija	Ncfsg
«	«	Z
.	.	Z

Povlačenje	povlačenje	Ncnsn
upućivanja	upućivanje	Ncnsg
na	na	Sa
normativne	normativan	Agpmpay
dokumente	dokument	Ncmpa

Članak	članak	Ncmsn
17.	17.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Kada	kada	Rgp
središnje	središnji	Agpnsny
tijelo	tijelo	Ncnsn
državne	državni	Agpfsgy
uprave	uprava	Ncfsg
nadležno	nadležan	Agpnsny
za	za	Sa
mjeriteljstvo	mjeriteljstvo	Ncnsa
smatra	smatrati	Vmr3s
da	da	Cs
normativni	normativan	Agpmsny
dokument	dokument	Ncmsn
iz	iz	Sg
članka	članak	Ncmsg
16.	16.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
čija	čiji	Pi-fsn
je	biti	Var3s
oznaka	oznaka	Ncfsn
objavljena	objaviti	Appfsny
ili	ili	Cc
se	sebe	Px--sa
namjerava	namjeravati	Vmr3s
objaviti	objaviti	Vmn
u	u	Sl
»	»	Z
Službenom	služben	Agpmsly
listu	list	Ncmsl
Europske	europski	Agpfsgy
unije	unija	Ncfsg
«	«	Z
,	,	Z
ne	ne	Qz
zadovoljava	zadovoljavati	Vmr3s
u	u	Sl
potpunosti	potpunost	Ncfsl
temeljne	temeljan	Agpmpay
zahtjeve	zahtjev	Ncmpa
iz	iz	Sg
Dodatka	dodatak	Ncmsg
I.	I.	Mro
i	i	Cc
iz	iz	Sg

