opremljena	opremiti	Appfsny
u	u	Sl
prostoru	prostor	Ncmsl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Svornjak	svornjak	Ncmsn
uređaja	uređaj	Ncmpg
za	za	Sa
spajanje	spajanje	Ncnsa
vučnog	vučni	Agpmsgy
i	i	Cc
priključnog	priključni	Agpnsgy
vozila	vozilo	Ncnsg
pomoću	pomoć	Sg
kojeg	koji	Pi-nsg
se	sebe	Px--sa
spaja	spajati	Vmr3s
priključno	priključni	Agpnsny
vozilo	vozilo	Ncnsn
,	,	Z
mora	morati	Vmr3s
imati	imati	Vmn
osigurač	osigurač	Ncmsan
koji	koji	Pi-msn
onemogućuje	onemogućivati	Vmr3s
razdvajanje	razdvajanje	Ncnsa
spojenih	spojiti	Agpnpgy
vozila	vozilo	Ncnpg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Uređaj	uređaj	Ncmsn
za	za	Sa
spajanje	spajanje	Ncnsa
vučnog	vučni	Agpmsgy
i	i	Cc
priključnog	priključni	Agpnsgy
vozila	vozilo	Ncnsg
mora	morati	Vmr3s
biti	biti	Van
pričvršćen	pričvrstiti	Appmsnn
za	za	Sa
pojačani	pojačati	Agpmsayn
dio	dio	Ncmsan
vučnog	vučni	Agpnsgy
vozila	vozilo	Ncnsg
i	i	Cc
postavljen	postaviti	Appmsnn
sukladno	sukladno	Rgp
preporukama	preporuka	Ncfpi
proizvođača	proizvođač	Ncmsg
.	.	Z

11.	11.	Mdo

Ostali	ostali	Agpmpny
uređaji	uređaj	Ncmpn
i	i	Cc
dijelovi	dio	Ncmpn
vozila	vozilo	Ncnsg

Članak	članak	Ncmsn
136.	136.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Vozila	vozilo	Ncnpn
moraju	morati	Vmr3p
imati	imati	Vmn
ugrađene	ugraditi	Appfpny
i	i	Cc
izvedene	izvesti	Agpmpay
oslonce	oslonac	Ncmpa
za	za	Sa
noge	noga	Ncfpa
vozača	vozač	Ncmpg
s	sa	Sg
obje	oba	Pd-fsg
strane	strana	Ncfsg
vozila	vozilo	Ncnsg
,	,	Z
a	a	Cc
ako	ako	Cs
imaju	imati	Vmr3p
sjedalo	sjedalo	Ncnsa
za	za	Sa
putnika	putnik	Ncmsay
moraju	morati	Vmr3p
imati	imati	Vmn
ugrađen	ugraditi	Agpmsayn
rukohvat	rukohvat	Ncmsan
i	i	Cc
ugrađene	ugraditi	Agpmpay
oslonce	oslonac	Ncmpa
za	za	Sa
noge	noga	Ncfpa
putnika	putnik	Ncmpg
s	sa	Sg
obje	oba	Ncfsg
strane	strana	Ncfsg
vozila	vozilo	Ncnsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Vozilo	vozilo	Ncnsn
mora	morati	Vmr3s
na	na	Sl
svom	svoj	Px-msl
stražnjem	stražnji	Agpmsly
kraju	kraj	Ncmsl
imati	imati	Vmn
tvornički	tvornički	Agpmsayn
predviđen	predvidjeti	Appmsnn
prostor	prostor	Ncmsn
za	za	Sa
nosač	nosač	Ncmsan
registarske	registarski	Agpfsgy
pločice	pločica	Ncfsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Nosač	nosač	Ncmsn
registarske	registarski	Agpfsgy
pločice	pločica	Ncfsg
mora	morati	Vmr3s
biti	biti	Van
postavljen	postaviti	Appmsnn
sukladno	sukladno	Rgp
Direktivi	direktiva	Ncfsd
93/94	93/94	Mdc
/	/	Z
EEC	EEC	Npmsn
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Blatobrani	blatobran	Ncmpn
na	na	Sl
vozilima	vozilo	Ncnpl
koja	koji	Pi-npn
mogu	moći	Vmr3p
razviti	razviti	Vmn
brzinu	brzina	Ncfsa
kretanja	kretanje	Ncnsg
veću	velik	Agcfsay
od	od	Sg
30	30	Mdc
km	km	Y
/	/	Z
h	h	Y
moraju	morati	Vmr3p
biti	biti	Van
ugrađeni	ugraditi	Appmpny
i	i	Cc
izvedeni	izvesti	Appmpny
iznad	iznad	Sg
svih	sav	Agpmpgy
kotača	kotač	Ncmpg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Na	na	Sl
motornim	motoran	Agpnply
vozilima	vozilo	Ncnpl
koja	koji	Pi-npa
ostavljaju	ostavljati	Vmr3p
jedan	jedan	Agpmsann
trag	trag	Ncmsan
prednji	prednji	Agpmsny
blatobran	blatobran	Ncmsn
mora	morati	Vmr3s
pokrivati	pokrivati	Vmn
kotač	kotač	Ncmsan
u	u	Sa
luku	luka	Ncfsa
najmanje	malo	Rgs
od	od	Sg
15	15	Mdc
°	°	Z
ispred	ispred	Sg
okomice	okomica	Ncfsg
povučene	povući	Appfpny
kroz	kroz	Sa
osovinu	osovina	Ncfsa
prednjeg	prednji	Agpmsgy
kotača	kotač	Ncmsg
.	.	Z

12.	12.	Mdo

Uređaji	uređaj	Ncmpn
za	za	Sa
pogon	pogon	Ncmsan
plinom	plin	Ncmsi

Članak	članak	Ncmsn
137.	137.	Mdo

Uređaji	uređaj	Ncmpn
,	,	Z
oprema	oprema	Ncfsn
i	i	Cc
sustavi	sustav	Ncmpn
za	za	Sa
pogon	pogon	Ncmsan
motornih	motoran	Agpnpgy
vozila	vozilo	Ncnpg
plinom	plin	Ncmsi
,	,	Z
uređeni	urediti	Appmpny
se	sebe	Px--sa
propisom	propis	Ncmsi
kojim	koji	Pi-msi
se	sebe	Px--sa
uređuju	uređivati	Vmr3p
uređaji	uređaj	Ncmpn
,	,	Z
oprema	oprema	Ncfsn
i	i	Cc
sustavi	sustav	Ncmpn
za	za	Sa
pogon	pogon	Ncmsan
motornih	motoran	Agpnpgy
vozila	vozilo	Ncnpg
plinom	plin	Ncmsi
.	.	Z

V.	V.	Y
UREĐAJI	uređaj	Ncmpn
NA	na	Sl
VOZILIMA	vozilo	Ncnpl
KATEGORIJE	kategorija	Ncfsg
T	T	X
i	i	Cc
R	R	X

1.	1.	Mdo
Uređaj	uređaj	Ncmsn
za	za	Sa
upravljanje	upravljanje	Ncnsa

Članak	članak	Ncmsn
138.	138.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Uređaj	uređaj	Ncmsn
za	za	Sa
upravljanje	upravljanje	Ncnsa
na	na	Sl
vozilima	vozilo	Ncnpl
kategorije	kategorija	Ncfsg
T	T	X
i	i	Cc
R	R	Y
mora	morati	Vmr3s
biti	biti	Van
odobren	odobren	Agpmsnn
,	,	Z
te	te	Cc
ugrađen	ugraditi	Appmsnn
sukladno	sukladno	Rgp
Direktivi	direktiva	Ncfsd
75/321	75/321	Mdc
/	/	Z
EEZ	EEZ	Npmsn
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Vozila	vozilo	Ncnsg
za	za	Sa
čiji	čiji	Pi-msan
uređaj	uređaj	Ncmsan
za	za	Sa
upravljanje	upravljanje	Ncnsa
nisu	biti	Var3p
bili	biti	Vap-pm
propisani	propisati	Appmpny
uvjeti	uvjet	Ncmpn
za	za	Sa
odobravanje	odobravanje	Ncnsa
u	u	Sa
vrijeme	vrijeme	Ncnsa
njihovog	njihov	Ps3nsg
puštanja	puštanje	Ncnsg
u	u	Sa
promet	promet	Ncmsan
ili	ili	Cc
proizvodnje	proizvodnja	Ncfsg
,	,	Z
mora	morati	Vmr3s
udovoljiti	udovoljiti	Vmn
uvjetima	uvjet	Ncmpd
koji	koji	Pi-mpn
su	biti	Var3p
propisani	propisati	Appmpny
ovim	ovaj	Pd-msi
Pravilnikom	pravilnik	Ncmsi
.	.	Z

Članak	članak	Ncmsn
139.	139.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Uređaj	uređaj	Ncmsn
za	za	Sa
upravljanje	upravljanje	Ncnsa
mora	morati	Vmr3s
osigurati	osigurati	Vmn
jednostavno	jednostavno	Rgp
i	i	Cc
sigurno	siguran	Agpnsay
upravljanje	upravljanje	Ncnsa
vozilom	vozilo	Ncnsi

(	(	Z
2	2	Mdc
)	)	Z
Uređaj	uređaj	Ncmsn
za	za	Sa
upravljanje	upravljanje	Ncnsa
mora	morati	Vmr3s
omogućiti	omogućiti	Vmn
vozaču	vozač	Ncmsd
neometano	neometan	Agpnsay
zakretanje	zakretanje	Ncnsa
upravljača	upravljač	Ncmpg
u	u	Sa
oba	oba	Ncnsa
smjera	smjer	Ncmsg
do	do	Sg
graničnika	graničnik	Ncmsg
upravljača	upravljač	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Slobodan	slobodan	Agpmsnn
hod	hod	Ncmsn
kola	kolo	Ncnsg
upravljača	upravljač	Ncmsg
na	na	Sl
vozilu	vozilo	Ncnsl
ne	ne	Qz
smije	smjeti	Vmr3s
biti	biti	Van
veći	velik	Agcmsny
od	od	Sg
30	30	Mdc
°	°	Z
.	.	Z

2.	2.	Mdo
Uređaj	uređaj	Ncmsn
za	za	Sa
kočenje	kočenje	Ncnsa

Članak	članak	Ncmsn
140.	140.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Uređaj	uređaj	Ncmsn
za	za	Sa
kočenje	kočenje	Ncnsa
na	na	Sl
vozilima	vozilo	Ncnpl
kategorije	kategorija	Ncfsg
T	T	X
i	i	Cc
R	R	Y
mora	morati	Vmr3s
biti	biti	Van
odobren	odobriti	Appmsnn
i	i	Cc
ugrađen	ugraditi	Appmsnn
sukladno	sukladno	Rgp
Direktivi	direktiva	Ncfsd
76/432	76/432	Mdc
/	/	Z
EEC	EEC	Npmsn
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Vozila	vozilo	Ncnsg
za	za	Sa
čiji	čiji	Pi-msan
uređaj	uređaj	Ncmsan
za	za	Sa
kočenje	kočenje	Ncnsa
nisu	biti	Var3p
bili	biti	Vap-pm
propisani	propisati	Appmpny
uvjeti	uvjet	Ncmpn
za	za	Sa
odobravanje	odobravanje	Ncnsa
u	u	Sa
vrijeme	vrijeme	Ncnsa
njihovog	njihov	Ps3nsg
puštanja	puštanje	Ncnsg
u	u	Sa
promet	promet	Ncmsan
ili	ili	Cc
proizvodnje	proizvodnja	Ncfsg
,	,	Z
moraju	morati	Vmr3p
udovoljiti	udovoljiti	Vmn
uvjetima	uvjet	Ncmpd
koji	koji	Pi-mpn
su	biti	Var3p
propisani	propisati	Appmpny
ovim	ovaj	Pd-msi
Pravilnikom	pravilnik	Ncmsi
.	.	Z

Članak	članak	Ncmsn
141.	141.	Mdo

Na	na	Sa
uređaj	uređaj	Ncmsan
za	za	Sa
kočenje	kočenje	Ncnsa
na	na	Sl
vozilima	vozilo	Ncnpl
kategorije	kategorija	Ncfsg
T	T	X
i	i	Cc
R	a	Ncfsl
koja	koji	Pi-fsn
na	na	Sl
ravnoj	ravan	Agpfsly
cesti	cesta	Ncfsl
razvijaju	razvijati	Vmr3p
brzinu	brzina	Ncfsa
kretanja	kretanje	Ncnsg
veću	velik	Agcfsay
od	od	Sg
40	40	Mdc
km	km	Y
/	/	Z
h	h	Y
,	,	Z
odgovarajuće	odgovarajući	Agpnsny
se	sebe	Px--sa
primjenjuju	primjenjivati	Vmr3p
odredbe	odredba	Ncfpn
za	za	Sa
uređaje	uređaj	Ncmpa
za	za	Sa
kočenje	kočenje	Ncnsa
na	na	Sl
vozilima	vozilo	Ncnpl
kategorije	kategorija	Ncfsg
M	m	Xf
i	i	Cc
N		Ncmpg
propisane	propisati	Appfpny
ovim	ovaj	Pd-msi
Pravilnikom	pravilnik	Ncmsi
.	.	Z

Članak	članak	Ncmsn
142.	142.	Mdo

Sustav	sustav	Ncmsn
radnog	radni	Agpnsgy
kočenja	kočenje	Ncnsg
na	na	Sl
traktoru	traktor	Ncmsl
može	moći	Vmr3s
biti	biti	Van
ugrađen	ugraditi	Appmsnn
i	i	Cc
izveden	izvesti	Appmsnn
samo	samo	Rgp
na	na	Sl
jednoj	jedan	Agpfsly
osovini	osovina	Ncfsl
pod	pod	Si
uvjetom	uvjet	Ncmsi
da	da	Cs
je	biti	Var3s
sila	sila	Ncfsn
kočenja	kočenje	Ncnsg
podjednako	podjednako	Rgp
raspoređena	rasporediti	Appfsny
na	na	Sa
oba	oba	Ncmsan
kotača	kotač	Ncmsg
te	taj	Pd-fsg
osovine	osovina	Ncfsg
.	.	Z

Članak	članak	Ncmsn
143.	143.	Mdo

Sila	sila	Ncfsn
kojom	koji	Pi-fsi
se	sebe	Px--sa
djeluje	djelovati	Vmr3s
na	na	Sa
komandu	komanda	Ncfsa
sustava	sustav	Ncmsg
parkirne	parkirni	Agpfsgy
kočnice	kočnica	Ncfsg
traktora	traktor	Ncmsg
ne	ne	Qz
smije	smjeti	Vmr3s
biti	biti	Van
veća	velik	Agcfsny
od	od	Sg
40	40	Mdc
daN	dan	Ncmsan
.	.	Z

Članak	članak	Ncmsn
144.	144.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Traktorska	traktorski	Agpfsny
prikolica	prikolica	Ncfsn
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
prikolica	prikolica	Ncfsn
)	)	Z
mora	morati	Vmr3s
biti	biti	Van
opremljena	opremiti	Appfsny
sustavom	sustav	Ncmsi
radnog	radni	Agpnsgy
i	i	Cc
parkirnog	parkirni	Agpnsgy
kočenja	kočenje	Ncnsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Radna	radni	Agpfsny
kočnica	kočnica	Ncfsn
prikolice	prikolica	Ncfsg
,	,	Z
mora	morati	Vmr3s
se	sebe	Px--sa
aktivirati	aktivirati	Vmn
istovremeno	istovremeno	Rgp
i	i	Cc
s	sa	Si
istim	isti	Agpmsiy
uređajem	uređaj	Ncmsi
kao	kao	Cs
i	i	Qo
radna	radni	Agpfsny
kočnica	kočnica	Ncfsn
vučnog	vučni	Agpmsgy
traktora	traktor	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Prikolica	prikolica	Ncfsn
može	moći	Vmr3s
biti	biti	Van
opremljena	opremiti	Appfsny
naletnom	naletan	Agpfsiy
kočnicom	kočnica	Ncfsi
ako	ako	Cs
joj	on	Pp3fsd
najveća	velik	Agsfsny
dopuštena	dopustiti	Appfsny
masa	masa	Ncfsn
ne	ne	Qz
prelazi	prelaziti	Vmr3s
8	8	Mdc
t	t	Y
,	,	Z
a	a	Cc
brzina	brzina	Ncfsn
40	40	Mdc
km	km	Y
/	/	Z
h.	h.	Y

(	(	Z
4	4	Mdc
)	)	Z
Kada	kada	Rgp
najveća	velik	Agsfsny
dopuštena	dopustiti	Appfsny
brzina	brzina	Ncfsn
prikolice	prikolica	Ncfsg
ne	ne	Qz
prelazi	prelaziti	Vmr3s
25	25	Mdc
km	km	Y
/	/	Z
h	h	Y
mogu	moći	Vmr3p
se	sebe	Px--sa
vučnom	vučni	Agpmsdy
traktoru	traktor	Ncmsd
dodati	dodati	Vmn
najviše	mnogo	Rgs
dvije	dva	Mlcf-n
prikolice	prikolica	Ncfsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Kada	kada	Rgp
najveća	velik	Agsfsny
brzina	brzina	Ncfsn
prikolice	prikolica	Ncfsg
ne	ne	Qz
prelazi	prelaziti	Vmr3s
40	40	Mdc
km	km	Y
/	/	Z
h	h	Y
mogu	moći	Vmr3p
se	sebe	Px--sa
vučnom	vučni	Agpmsdy
traktoru	traktor	Ncmsd
dodati	dodati	Vmn

