kreditnih	kreditan	Agpfpgy
odobrenja	odobrenje	Ncnsg
za	za	Sa
sklapanje	sklapanje	Ncnsa
sporazuma	sporazum	Ncmsg
o	o	Sl
potpori	potpora	Ncfsl
u	u	Sl
RH	ra	Ncfsl
i	i	Cc
odluku	odluka	Ncfsa
o	o	Sl
odbijanju	odbijanje	Ncnsl
zahtjeva	zahtjev	Ncmpg
dostaviti	dostaviti	Vmn
podnositelju	podnositelj	Ncmsl
zahtjeva	zahtjev	Ncmpg
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Hrvatska	hrvatski	Agpfsny
narodna	narodni	Agpfsny
banka	banka	Ncfsn
može	moći	Vmr3s
u	u	Sl
postupku	postupak	Ncmsl
donošenja	donošenje	Ncnsg
zajedničke	zajednički	Agpfsgy
odluke	odluka	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
4.	4.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
zatražiti	zatražiti	Vmn
pomoć	pomoć	Ncfsa
Europskog	europski	Agpnsgy
nadzornog	nadzorni	Agpnsgy
tijela	tijelo	Ncnsg
za	za	Sa
bankarstvo	bankarstvo	Ncnsa
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
31.	31.	Mdo

Uredbe	uredba	Ncfpn
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
1093/2010.	1093/2010.	Mds

(	(	Z
8	8	Mdc
)	)	Z
Ako	ako	Cs
zajednička	zajednički	Agpfsny
odluka	odluka	Ncfsn
iz	iz	Sg
stavka	stavak	Ncmsg
4.	4.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
nije	biti	Var3s
donesena	donijeti	Appfsny
u	u	Sl
roku	rok	Ncmsl
,	,	Z
Hrvatska	hrvatski	Agpfsny
narodna	narodni	Agpfsny
banka	banka	Ncfsn
će	htjeti	Var3s
samostalno	samostalno	Rgp
odlučiti	odlučiti	Vmn
o	o	Sl
zahtjevu	zahtjev	Ncmsl
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
vodeći	vodeći	Agpmsny
računa	račun	Ncmpg
o	o	Sl
stavovima	stav	Ncmpl
i	i	Cc
izdvojenim	izdvojiti	Appnply
mišljenjima	mišljenje	Ncnpl
koje	koji	Pi-fpn
su	biti	Var3p
iznijela	iznijeti	Vmp-sf
druga	drugi	Mlofsn
nadležna	nadležan	Agpnpny
tijela	tijelo	Ncnsg
.	.	Z

Hrvatska	hrvatski	Agpfsny
narodna	narodni	Agpfsny
banka	banka	Ncfsn
ovu	ovaj	Pd-fsa
odluku	odluka	Ncfsa
dostavlja	dostavljati	Vmr3s
podnositelju	podnositelj	Ncfsa
zahtjeva	zahtjev	Ncmpg
i	i	Cc
nadležnim	nadležan	Agpnply
tijelima	tijelo	Ncnpl
država	država	Ncfsn
članica	članica	Ncfpg
u	u	Sl
kojima	koji	Pi-fpl
je	biti	Var3s
sjedište	sjedište	Ncnsn
društava	društvo	Ncnpg
kćeri	kći	Ncfpg
koje	koji	Pi-fpn
namjeravaju	namjeravati	Vmr3p
sklopiti	sklopiti	Vmn
sporazum	sporazum	Ncmsan
.	.	Z

(	(	Z
9	9	Mdc
)	)	Z
Hrvatska	hrvatski	Agpfsny
narodna	narodni	Agpfsny
banka	banka	Ncfsn
može	moći	Vmr3s
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
četiri	četiri	Mlc
mjeseca	mjesec	Ncmsg
od	od	Sg
dana	dan	Ncmpg
kada	kada	Cs
je	biti	Var3s
zaprimila	zaprimiti	Vmp-sf
zahtjev	zahtjev	Ncmsan
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
zatražiti	zatražiti	Vmn
posredovanje	posredovanje	Ncnsa
Europskog	europski	Agpnsgy
nadzornog	nadzorni	Agpnsgy
tijela	tijelo	Ncnsg
za	za	Sa
bankarstvo	bankarstvo	Ncnsa
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
19.	19.	Mdo
stavkom	stavka	Ncfsi
3.	3.	Mdo
Uredbe	uredba	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
1093/2010.	1093/2010.	Mds

(	(	Z
10	10	Mdc
)	)	Z
Iznimno	iznimno	Rgp
od	od	Sg
stavka	stavak	Ncmsg
8.	8.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
ako	ako	Cs
u	u	Sl
roku	rok	Ncmsl
četiri	četiri	Mlc
mjeseca	mjesec	Ncmsg
od	od	Sg
dana	dan	Ncmpg
kada	kada	Cs
je	biti	Var3s
Hrvatska	hrvatski	Agpfsny
narodna	narodni	Agpfsny
banka	banka	Ncfsn
primila	primiti	Vmp-sf
zahtjev	zahtjev	Ncmsan
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
Hrvatska	hrvatski	Agpfsny
narodna	narodni	Agpfsny
banka	banka	Ncfsn
ili	ili	Cc
bilo	bilo	Qo
koje	koji	Pi-nsn
nadležno	nadležan	Agpnsny
tijelo	tijelo	Ncnsn
drugih	drugi	Agpfpgy
država	država	Ncfpg
članica	članica	Ncfpg
zatraže	zatražiti	Vmr3p
posredovanje	posredovanje	Ncnsa
Europskog	europski	Agpnsgy
nadzornog	nadzorni	Agpnsgy
tijela	tijelo	Ncnsg
za	za	Sa
bankarstvo	bankarstvo	Ncnsa
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
19.	19.	Mdo
stavkom	stavka	Ncfsi
3.	3.	Mdo
Uredbe	uredba	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
1093/2010	1093/2010	Mdc
i	i	Cc
ako	ako	Cs
je	biti	Var3s
Europsko	europski	Agpnsny
nadzorno	nadzorni	Agpnsny
tijelo	tijelo	Ncnsn
za	za	Sa
bankarstvo	bankarstvo	Ncnsa
donijelo	donijeti	Vmp-sn
odluku	odluka	Ncfsa
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
mjesec	mjesec	Ncmsan
dana	dan	Ncmpg
,	,	Z
Hrvatska	hrvatski	Agpfsny
narodna	narodni	Agpfsny
banka	banka	Ncfsn
donijet	donijeti	Vmn
će	htjeti	Var3s
odluku	odluka	Ncfsa
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
tom	taj	Pd-fsi
odlukom	odluka	Ncfsi
.	.	Z

Rok	rok	Ncmsn
od	od	Sg
četiri	četiri	Mlc
mjeseca	mjesec	Ncmsg
smatra	smatrati	Vmr3s
se	sebe	Px--sa
rokom	rok	Ncmsi
za	za	Sa
mirenje	mirenje	Ncnsa
u	u	Sl
smislu	smisao	Ncmsl
Uredbe	uredba	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
1093/2010.	1093/2010.	Mds

(	(	Z
11	11	Mdc
)	)	Z
Kreditna	kreditan	Agpfsny
institucija	institucija	Ncfsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
ne	ne	Qz
smije	smjeti	Vmr3s
sklopiti	sklopiti	Vmn
sporazum	sporazum	Ncmsan
o	o	Sl
potpori	potpora	Ncfsl
u	u	Sl
RH	ra	Ncfsl
bez	bez	Sg
odobrenja	odobrenje	Ncnsg
Hrvatske	hrvatski	Agpfsgy
narodne	narodni	Agpfsgy
banke	banka	Ncfsg
.	.	Z

Provjera	provjera	Ncfsn
predloženog	predložen	Agpmsgy
sporazuma	sporazum	Ncmsg
kada	kada	Cs
Hrvatska	hrvatski	Agpfsny
narodna	narodni	Agpfsny
banka	banka	Ncfsn
nije	biti	Var3s
konsolidirajuće	konsolidirajući	Agpnsny
nadzorno	nadzorni	Agpnsny
tijelo	tijelo	Ncnsn

Članak	članak	Ncmsn
216.	216.	Mdo
c	C	X

(	(	Z
1	1	Mdc
)	)	Z
Ako	ako	Cs
je	biti	Var3s
nadležno	nadležan	Agpnsny
tijelo	tijelo	Ncnsn
druge	drugi	Mlofsg
države	država	Ncfsg
članice	članica	Ncfsg
ujedno	ujedno	Rgp
i	i	Cc
konsolidirajuće	konsolidirajući	Agpnsny
nadzorno	nadzorni	Agpnsny
tijelo	tijelo	Ncnsn
za	za	Sa
grupu	grupa	Ncfsa
kreditnih	kreditan	Agpfpgy
institucija	institucija	Ncfpg
u	u	Sl
EU-u	EU	Npmsl
,	,	Z
Hrvatska	hrvatski	Agpfsny
narodna	narodni	Agpfsny
banka	banka	Ncfsn
sudjelovat	sudjelovati	Vmn
će	htjeti	Var3s
na	na	Sa
zahtjev	zahtjev	Ncmsan
konsolidirajućeg	konsolidirajući	Agpnsgy
nadzornog	nadzorni	Agpnsgy
tijela	tijelo	Ncnsg
u	u	Sl
postupku	postupak	Ncmsl
donošenja	donošenje	Ncnsg
zajedničke	zajednički	Agpfsgy
odluke	odluka	Ncfsg
o	o	Sl
ispunjavanju	ispunjavanje	Ncnsl
uvjeta	uvjet	Ncmsg
iz	iz	Sg
članka	članak	Ncmsg
216.	216.	Mdo
f	a	Ncfsg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
za	za	Sa
sklapanje	sklapanje	Ncnsa
sporazuma	sporazum	Ncmsg
o	o	Sl
financijskoj	financijski	Agpfsly
potpori	potpora	Ncfsl
grupe	grupa	Ncfsg
kreditnih	kreditan	Agpfpgy
institucija	institucija	Ncfpg
u	u	Sl
EU-u	EU	Npmsl
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
sporazum	sporazum	Ncmsn
o	o	Sl
potpori	potpora	Ncfsl
u	u	Sl
EU-u	EU	Npmsl
)	)	Z
,	,	Z
uzimajući	uzimati	Rr
u	u	Sa
obzir	obzir	Ncmsan
mogući	moguć	Agpmsayn
utjecaj	utjecaj	Ncmsan
provedbe	provedba	Ncfsg
toga	toga	Ncfsn
sporazuma	sporazum	Ncmsg
u	u	Sl
svakoj	svaki	Pi-fsl
od	od	Sg
država	država	Ncfpg
članica	članica	Ncfpg
u	u	Sl
kojima	koji	Pi-fpl
je	biti	Var3s
sjedište	sjedište	Ncnsn
bilo	biti	Vap-sn
koje	koji	Pi-fpn
članice	članica	Ncfpn
grupe	grupa	Ncfsg
kreditnih	kreditan	Agpfpgy
institucija	institucija	Ncfpg
u	u	Sl
EU-u	EU	Npmsl
,	,	Z
uključujući	uključivati	Rr
njegove	njegov	Ps3fpa
fiskalne	fiskalan	Agpmpay
učinke	učinak	Ncmpa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Kreditna	kreditan	Agpfsny
institucija	institucija	Ncfsn
dužna	dužan	Agpfsny
je	biti	Var3s
o	o	Sl
namjeri	namjera	Ncfsl
sklapanja	sklapanje	Ncnsg
sporazuma	sporazum	Ncmsg
o	o	Sl
potpori	potpora	Ncfsl
u	u	Sl
EU-u	EU	Npmsl
obavijestiti	obavijestiti	Vmn
Hrvatsku	hrvatski	Agpfsay
narodnu	narodni	Agpfsay
banku	banka	Ncfsa
te	te	Cc
ne	ne	Qz
smije	smjeti	Vmr3s
sklopiti	sklopiti	Vmn
takav	takav	Pd-msan
sporazum	sporazum	Ncmsan
ako	ako	Cs
konsolidirajuće	konsolidirajući	Agpnsny
nadzorno	nadzorni	Agpnsny
tijelo	tijelo	Ncnsn
nije	biti	Var3s
njezinoj	njezin	Sl
matičnoj	matičan	Agpfsly
kreditnoj	kreditan	Agpfsly
instituciji	institucija	Ncfsl
izdalo	izdati	Vmp-sn
odobrenje	odobrenje	Ncnsn
za	za	Sa
sklapanje	sklapanje	Ncnsa
sporazuma	sporazum	Ncmsg
o	o	Sl
potpori	potpora	Ncfsl
u	u	Sl
EU-u	EU	Npmsl
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Hrvatska	hrvatski	Agpfsny
narodna	narodni	Agpfsny
banka	banka	Ncfsn
može	moći	Vmr3s
u	u	Sl
postupku	postupak	Ncmsl
donošenja	donošenje	Ncnsg
zajedničke	zajednički	Agpfsgy
odluke	odluka	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
zatražiti	zatražiti	Vmn
pomoć	pomoć	Ncfsa
Europskog	europski	Agpnsgy
nadzornog	nadzorni	Agpnsgy
tijela	tijelo	Ncnsg
za	za	Sa
bankarstvo	bankarstvo	Ncnsa
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
31.	31.	Mdo

Uredbe	uredba	Ncfpn
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
1093/2010.	1093/2010.	Mds

(	(	Z
4	4	Mdc
)	)	Z
Hrvatska	hrvatski	Agpfsny
narodna	narodni	Agpfsny
banka	banka	Ncfsn
može	moći	Vmr3s
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
četiri	četiri	Mlc
mjeseca	mjesec	Ncmsg
od	od	Sg
dana	dan	Ncmpg
kada	kada	Cs
je	biti	Var3s
konsolidirajuće	konsolidirajući	Agpnsny
nadzorno	nadzorni	Agpnsny
tijelo	tijelo	Ncnsn
primilo	primiti	Vmp-sn
zahtjev	zahtjev	Ncmsan
za	za	Sa
izdavanje	izdavanje	Ncnsa
odobrenja	odobrenje	Ncnsg
za	za	Sa
sklapanje	sklapanje	Ncnsa
sporazuma	sporazum	Ncmsg
o	o	Sl
potpori	potpora	Ncfsl
,	,	Z
zatražiti	zatražiti	Vmn
posredovanje	posredovanje	Ncnsa
Europskog	europski	Agpmsgy
nadzornog	nadzorni	Agpmsgy

