zaštićenog	zaštititi	Appmsgy
specifikacija	specifikacija	Ncfsn

Članak	članak	Ncmsn
24.	24.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Navigacijska	navigacijski	Agpfsny
specifikacija	specifikacija	Ncfsn
(	(	Z
navigation	navigation	Xf
specification	specification	Xf
)	)	Z
predstavlja	predstavljati	Vmr3s
skup	skup	Ncmsan
zahtjeva	zahtjev	Ncmpg
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
zrakoplove	zrakoplov	Ncmpa
i	i	Cc
letačku	letački	Agpfsay
posadu	posada	Ncfsa
zrakoplova	zrakoplov	Ncmpg
koji	koji	Pi-mpn
su	biti	Var3p
potrebni	potreban	Agpmpny
za	za	Sa
obavljanje	obavljanje	Ncnsa
navigacije	navigacija	Ncfsg
temeljene	temeljiti	Appfpny
na	na	Sl
letnim	letan	Agpfply
sposobnostima	sposobnost	Ncfpl
zrakoplova	zrakoplov	Ncmsg
unutar	unutar	Sg
nekog	neki	Pi-msg
definiranog	definirati	Agpmsgy
zračnog	zračan	Agpmsgy
prostora	prostor	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Vrste	vrsta	Ncfsg
navigacijskih	navigacijski	Agpfpgy
specifikacija	specifikacija	Ncfpg
su	biti	Var3p
sljedeće	sljedeći	Agpfsgy
:	:	Z

1.	1.	Mdo
RNAV	rnav	Ncmsn
specifikacija	specifikacija	Ncfsn
:	:	Z
navigacijska	navigacijski	Agpfsny
specifikacija	specifikacija	Ncfsn
temeljena	temeljiti	Appfsny
na	na	Sl
prostornoj	prostoran	Agpfsly
navigaciji	navigacija	Ncfsl
koja	koji	Pi-fsn
ne	ne	Qz
uključuje	uključivati	Vmr3s
zahtjev	zahtjev	Ncmsan
za	za	Sa
funkcije	funkcija	Ncfpa
nadzora	nadzor	Ncmpg
performansi	performansa	Ncfpg
i	i	Cc
uzbunjivanja	uzbunjivanje	Ncnsg
,	,	Z
označena	označiti	Appfsny
prefiksom	prefiks	Ncmsi
RNAV	RNAV	Npmsn
(	(	Z
npr.	npr.	Y
RNAV	RNAV	Npmsn
5	5	Mdc
,	,	Z
RNAV	RNAV	Npmsn
1	1	Mdc
)	)	Z

2.	2.	Mdo
RNP	rni	Agpfsny
specifikacija	specifikacija	Ncfsn
:	:	Z
navigacijska	navigacijski	Agpfsny
specifikacija	specifikacija	Ncfsn
temeljena	temeljiti	Appfsny
na	na	Sl
prostornoj	prostoran	Agpfsly
navigaciji	navigacija	Ncfsl
koja	koji	Pi-fsn
uključuje	uključivati	Vmr3s
zahtjev	zahtjev	Ncmsan
za	za	Sa
funkcije	funkcija	Ncfpa
nadzora	nadzor	Ncmpg
performansi	performansa	Ncfpg
i	i	Cc
uzbunjivanja	uzbunjivanje	Ncnsg
,	,	Z
označena	označiti	Appfsny
prefiksom	prefiks	Ncmsi
RNP	RNP	Npmsn
(	(	Z
npr.	npr.	Y
RNP	RNP	Npmsn
4	4	Mdc
,	,	Z
RNP	RNP	Npmsn
APCH	APCH	Npmsn
)	)	Z

(	(	Z
3	3	Mdc
)	)	Z
Prilikom	prilikom	Sg
oblikovanja	oblikovanje	Ncnsg
i	i	Cc
utvrđivanja	utvrđivanje	Ncnsg
instrumentalnih	instrumentalan	Agpfpgy
letnih	letan	Agpfpgy
procedura	procedura	Ncfpg
temeljenih	temeljiti	Appfpgy
na	na	Sl
letnim	letan	Agpfply
sposobnostima	sposobnost	Ncfpl
zrakoplova	zrakoplov	Ncmsg
isključivo	isključivo	Rgp
se	sebe	Px--sa
moraju	morati	Vmr3p
koristiti	koristiti	Vmn
navigacijske	navigacijski	Agpfpny
specifikacije	specifikacija	Ncfpn
navedene	navesti	Appfpny
u	u	Sl
Priručniku	priručnik	Ncmsl
ICAO	icati	Vmp-sm
o	o	Sl
navigaciji	navigacija	Ncfsl
temeljenoj	temeljiti	Appfsly
na	na	Sl
letnim	letan	Agpfply
sposobnostima	sposobnost	Ncfpl
zrakoplova	zrakoplov	Ncmsg
(	(	Z
Doc.	Doc.	Y
9613	9613	Mdc
)	)	Z
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
NON-RNAV	non-rnav	Agpmsann
postupak	postupak	Ncmsan
neuspjelog	neuspjel	Agpnsgy
prilaženja	prilaženje	Ncnsg
(	(	Z
gdje	gdje	Cs
se	sebe	Px--sa
primjenjuje	primjenjivati	Vmr3s
)	)	Z
je	biti	Var3s
konvencionalni	konvencionalan	Agpmsny
postupak	postupak	Ncmsn
,	,	Z
koji	koji	Pi-msn
koristi	koristiti	Vmr3s
konvencionalne	konvencionalan	Agpmpay
navigacijske	navigacijski	Agpmpay
uređaje	uređaj	Ncmpa
(	(	Z
VOR	VOR	Npmsn
,	,	Z
NDB	NDB	Npmsn
,	,	Z
DME	DME	Npfsg
)	)	Z
kao	kao	Cs
podršku	podrška	Ncfsa
za	za	Sa
RNP	RNP	Npmsan
APCH	APCH	Npmsan
u	u	Sl
slučaju	slučaj	Ncmsl
gubitka	gubitak	Ncmsg
GNSS	gnsi	Agpfsgy
navigacijske	navigacijski	Agpfsgy
sposobnosti	sposobnost	Ncfsg
za	za	Sa
vrijeme	vrijeme	Ncnsa
postupka	postupak	Ncmsg
prilaženja	prilaženje	Ncnsg
ili	ili	Cc
postupka	postupak	Ncmsg
neuspjelog	neuspjel	Agpnsgy
prilaženja	prilaženje	Ncnsg
.	.	Z

Zahtjevi	zahtjev	Ncmpn
ILP	ili	Agpnsny
za	za	Sa
prostornu	prostoran	Agpfsay
navigaciju	navigacija	Ncfsa
i	i	Cc
zahtijevanu	zahtijevati	Agpfsay
navigacijsku	navigacijski	Agpfsay
sposobnost	sposobnost	Ncfsa

Članak	članak	Ncmsn
25.	25.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Specifikacija	specifikacija	Ncfsn
prostorne	prostoran	Agpfsgy
navigacije	navigacija	Ncfsg
(	(	Z
RNAV	RNAV	Npmsn
)	)	Z
i	i	Cc
zahtijevana	zahtijevati	Appfsny
navigacijska	navigacijski	Agpfsny
sposobnost	sposobnost	Ncfsn
(	(	Z
RNP	RNP	Npmsn
)	)	Z
za	za	Sa
letenje	letenje	Ncnsa
u	u	Sl
odgovarajućem	odgovarajući	Agpmsly
zračnom	zračan	Agpmsly
prostoru	prostor	Ncmsl
ili	ili	Cc
na	na	Sl
odgovarajućoj	odgovarajući	Agpfsly
ruti	ruta	Ncfsl
mora	morati	Vmr3s
biti	biti	Van
naznačena	naznačen	Agpfsny
na	na	Sl
standardnim	standardan	Agpmply
dolaznim	dolazni	Agpmply
i	i	Cc
standardnim	standardan	Agpfply
odlaznim	odlazni	Agpfply
rutama	ruta	Ncfpl
ili	ili	Cc
objavljenim	objavljen	Agpfpiy
rutama	ruta	Ncfpi
za	za	Sa
prostornu	prostoran	Agpfsay
navigaciju	navigacija	Ncfsa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Rute	ruta	Ncfpn
za	za	Sa
osnovnu	osnovan	Agpfsay
prostornu	prostoran	Agpfsay
navigaciju	navigacija	Ncfsa
moraju	morati	Vmr3p
se	sebe	Px--sa
oblikovati	oblikovati	Vmn
na	na	Sa
način	način	Ncmsan
da	da	Cs
minimalno	minimalno	Rgp
udovoljavaju	udovoljavati	Vmr3p
zahtijevanoj	zahtijevati	Appfsly
navigacijskoj	navigacijski	Agpfsly
sposobnosti	sposobnost	Ncfsl
RNAV	rnaa	Ncfsg
5	5	Mdc
,	,	Z
što	što	Pi3n-n
će	htjeti	Var3s
za	za	Sa
operatore	operator	Ncmpa
zrakoplova	zrakoplov	Ncmpg
osiguravati	osiguravati	Vmn
da	da	Cs
bočno	bočno	Rgp
navigacijsko	navigacijski	Agpnsny
odstupanje	odstupanje	Ncnsn
od	od	Sg
željene	željeti	Agpfsgy
putanje	putanja	Ncfsg
leta	let	Ncmsg
ne	ne	Qz
iznosi	iznositi	Vmr3s
više	mnogo	Rgc
od	od	Sg
±	±	Z
5	5	Mdc
NM	NM	Y
tijekom	tijekom	Sg
95	95	Mdc
%	%	Z
trajanja	trajanje	Ncnsg
leta	let	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Rute	ruta	Ncfpn
za	za	Sa
preciznu	precizan	Agpfsay
prostornu	prostoran	Agpfsay
navigaciju	navigacija	Ncfsa
što	što	Cs
uključuju	uključivati	Vmr3p
prijelazne	prijelazan	Agpfpay
rute	ruta	Ncfpa
(	(	Z
feeder	feeder	Xf
routes	routes	Xf
)	)	Z
,	,	Z
standardne	standardan	Agpfpay
dolazne	dolazni	Agpfpay
(	(	Z
transitions	transitioni	Agpfsny
)	)	Z
i	i	Cc
standardne	standardan	Agpfpny
odlazne	odlazni	Agpfpny
rute	ruta	Ncfpn
moraju	morati	Vmr3p
se	sebe	Px--sa
oblikovati	oblikovati	Vmn
na	na	Sa
način	način	Ncmsan
da	da	Cs
minimalno	minimalno	Rgp
udovoljavaju	udovoljavati	Vmr3p
zahtijevanoj	zahtijevati	Appfsly
navigacijskoj	navigacijski	Agpfsly
sposobnosti	sposobnost	Ncfsl
RNAV	rnav	Agpmsnn
1	1	Mdc
što	što	Pi3n-n
će	htjeti	Var3s
za	za	Sa
operatore	operator	Ncmpa
zrakoplova	zrakoplov	Ncmpg
osiguravati	osiguravati	Vmn
da	da	Cs
bočno	bočno	Rgp
navigacijsko	navigacijski	Agpnsny
odstupanje	odstupanje	Ncnsn
od	od	Sg
željene	željeti	Agpfsgy
putanje	putanja	Ncfsg
leta	let	Ncmsg
ne	ne	Qz
iznosi	iznositi	Vmr3s
više	mnogo	Rgc
od	od	Sg
±	±	Z
1	1	Mdc
NM	NM	Y
tijekom	tijekom	Sg
95	95	Mdc
%	%	Z
trajanja	trajanje	Ncnsg
leta	let	Ncmsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Instrumentalne	instrumentalan	Agpfpny
letne	letan	Agpfpny
procedure	procedura	Ncfpn
za	za	Sa
završno	završan	Agpnsay
prilaženje	prilaženje	Ncnsa
bazirane	bazirati	Appfsgy
na	na	Sl
zahtijevanoj	zahtijevati	Ncfsl
navigacijskoj	navigacijski	Agpfsly
sposobnosti	sposobnost	Ncfsl
(	(	Z
RNP	RNP	Npmsn
APCH	APCH	Npmsn
)	)	Z
moraju	morati	Vmr3p
se	sebe	Px--sa
oblikovati	oblikovati	Vmn
na	na	Sa
način	način	Ncmsan
da	da	Cs
minimalno	minimalno	Rgp
udovoljavaju	udovoljavati	Vmr3p
zahtijevanoj	zahtijevati	Appfsly
navigacijskoj	navigacijski	Agpfsly
sposobnosti	sposobnost	Ncfsl
RNP	rnp	Agpmsnn
0.3	0.3	Mdc
što	što	Pi3n-n
će	htjeti	Var3s
za	za	Sa
operatore	operator	Ncmpa
zrakoplova	zrakoplov	Ncmpg
osiguravati	osiguravati	Vmn
da	da	Cs
bočno	bočno	Rgp
navigacijsko	navigacijski	Agpnsny
odstupanje	odstupanje	Ncnsn
od	od	Sg
željene	željeti	Agpfsgy
putanje	putanja	Ncfsg
leta	let	Ncmsg
ne	ne	Qz
iznosi	iznositi	Vmr3s
više	mnogo	Rgc
od	od	Sg
±	±	Z
0.3	0.3	Mdc
NM	NM	Y
tijekom	tijekom	Sg
95	95	Mdc
%	%	Z
trajanja	trajanje	Ncnsg
leta	let	Ncmsg
.	.	Z

Implementacija	implementacija	Ncfsn
ILP	ILP	Npmsn

