MALE	mali	Agpfpay
vremenom	vrijeme	Ncnsi
podnošenja	podnošenje	Ncnsg
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
,	,	Z
dok	dok	Cs
će	htjeti	Var3s
se	sebe	Px--sa
za	za	Sa
ostale	ostali	Agpmpay
Zahtjeve	zahtjev	Ncmpa
za	za	Sa
potporu	potpora	Ncfsa
izdati	izdati	Vmn
Odluka	odluka	Ncfsn
o	o	Sl
odbijanju	odbijanje	Ncnsl
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Javna	javan	Agpfsny
potpora	potpora	Ncfsn
može	moći	Vmr3s
se	sebe	Px--sa
isplatiti	isplatiti	Vmn
jednokratno	jednokratno	Rgp
ili	ili	Cc
u	u	Sa
najviše	mnogo	Rgs
tri	tri	Mlc
rate	rata	Ncfsg
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Visina	visina	Ncfsn
potpore	potpora	Ncfsg
:	:	Z

a	a	Cc
)	)	Z
najniži	nizak	Agsmsny
iznos	iznos	Ncmsn
prihvatljivih	prihvatljiv	Agpmpgy
troškova	trošak	Ncmpg
po	po	Sl
projektu	projekt	Ncmsl
/	/	Z
operaciji	operacija	Ncfsl
iznosi	iznositi	Vmr3s
30.000	30.000	Mdc
eura	euro	Ncmpg
u	u	Sl
protuvrijednosti	protuvrijednost	Ncfsl
u	u	Sl
kunama	kuna	Ncfpl
,	,	Z

b	b	Npmsn
)	)	Z
najviši	visok	Agsmsny
iznos	iznos	Ncmsn
prihvatljivih	prihvatljiv	Agpmpgy
troškova	trošak	Ncmpg
po	po	Sl
projektu	projekt	Ncmsl
/	/	Z
operaciji	operacija	Ncfsl
iznosi	iznositi	Vmr3s
1.000.000	1.000.000	Mdc
eura	euro	Ncmpg
u	u	Sl
protuvrijednosti	protuvrijednost	Ncfsl
u	u	Sl
kunama	kuna	Ncfpl
.	.	Z

Tip	tip	Ncmsn
operacije	operacija	Ncfsg
7.2.2.	7.2.2.	Mds

Ulaganja	ulaganje	Ncnpn
u	u	Sa
građenje	građenje	Ncnsa
nerazvrstanih	nerazvrstan	Agpfpgy
cesta	cesta	Ncfpg

Članak	članak	Ncmsn
16.	16.	Mdo

Korisnici	korisnik	Ncmpn
su	biti	Var3p
jedinice	jedinica	Ncfpn
lokalne	lokalan	Agpfsgy
samouprave	samouprava	Ncfsg
.	.	Z

Članak	članak	Ncmsn
17.	17.	Mdo

Prihvatljivo	prihvatljiv	Agpnsny
ulaganje	ulaganje	Ncnsn
je	biti	Var3s
građenje	građenje	Ncnsn
nerazvrstane	nerazvrstan	Agpfsgy
ceste	cesta	Ncfsg
.	.	Z

Članak	članak	Ncmsn
18.	18.	Mdo

Uvjeti	uvjet	Ncmpn
prihvatljivosti	prihvatljivost	Ncfsg
:	:	Z

a	a	Cc
)	)	Z
građenje	građenje	Ncnsn
nerazvrstane	nerazvrstan	Agpfsgy
ceste	cesta	Ncfsg
prihvatljivo	prihvatljiv	Agpnsny
je	biti	Var3s
u	u	Sl
naseljima	naselje	Ncnpl
s	sa	Sg
najviše	mnogo	Rgs
5	5	Mdc
000	000	Mdc

