isplaćuje	isplaćivati	Vmr3s
prema	prema	Sl
računovodstvenim	računovodstveni	Agpmply
propisima	propis	Ncmpl
osim	osim	Sg
matematičke	matematički	Agpfsgy
pričuve	pričuva	Ncfsg
,	,	Z
na	na	Sa
ime	ime	Ncnsa
naknade	naknada	Ncfsg
štete	šteta	Ncfsg
za	za	Sa
štetne	štetan	Agpmpay
događaje	događaj	Ncmpa
koji	koji	Pi-mpn
su	biti	Var3p
nastupili	nastupiti	Vmp-pm
prije	prije	Sg
prestanka	prestanak	Ncmsg
ugovora	ugovor	Ncmsg
o	o	Sl
osiguranju	osiguranje	Ncnsl
i	i	Cc
na	na	Sa
ime	ime	Ncnsa
povrata	povrat	Ncmsg
dijela	dio	Ncmsg
premije	premija	Ncfsg
plaćene	platiti	Appfpny
za	za	Sa
razdoblje	razdoblje	Ncnsa
nakon	nakon	Sg
prestanka	prestanak	Ncmsg
ugovora	ugovor	Ncmsg
o	o	Sl
osiguranju	osiguranje	Ncnsl

3.	3.	Mdo
tražbine	tražbina	Ncfsg
Hrvatskog	hrvatski	Agpmsgy
ureda	ured	Ncmsg
za	za	Sa
osiguranje	osiguranje	Ncnsa
za	za	Sa
izvršene	izvršen	Agpfpay
isplate	isplata	Ncfpa
iz	iz	Sg
Garancijskog	garancijski	Agpmsgy
fonda	fond	Ncmsg
,	,	Z
na	na	Sa
ime	ime	Ncnsa
naknade	naknada	Ncfsg
isplaćenog	isplatiti	Appmsgy
iznosa	iznos	Ncmsg
štete	šteta	Ncfsg
,	,	Z
koje	koji	Pi-fpn
oštećene	oštetiti	Agpfpny
osobe	osoba	Ncfpn
nisu	biti	Var3p
mogle	moći	Vmp-pf
naplatiti	naplatiti	Vmn
od	od	Sg
društva	društvo	Ncnsg
za	za	Sa
osiguranje	osiguranje	Ncnsa
zbog	zbog	Sg
otvaranja	otvaranje	Ncnsg
stečaja	stečaj	Ncmsg
nad	nad	Si
društvom	društvo	Ncnsi
za	za	Sa
osiguranje	osiguranje	Ncnsa
.	.	Z

Posebne	poseban	Agpfpny
odredbe	odredba	Ncfpn
za	za	Sa
isplatu	isplata	Ncfsa
tražbina	tražbina	Ncfpg
iz	iz	Sg
imovine	imovina	Ncfsg
za	za	Sa
pokriće	pokriće	Ncnsa
matematičke	matematički	Agpfsgy
pričuve	pričuva	Ncfsg

Članak	članak	Ncmsn
290.	290.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Vjerovnici	vjerovnik	Ncmpn
društva	društvo	Ncnsg
za	za	Sa
osiguranje	osiguranje	Ncnsa
iz	iz	Sg
ugovora	ugovor	Ncmsg
o	o	Sl
životnom	životan	Agpnsly
osiguranju	osiguranje	Ncnsl
i	i	Cc
ostalih	ostali	Agpmpgy
ugovora	ugovor	Ncmpg
o	o	Sl
osiguranju	osiguranje	Ncnsl
za	za	Sa
koja	koji	Pi-npn
se	sebe	Px--sa
primjenjuju	primjenjivati	Vmr3p
slične	sličan	Agpfpny
tablice	tablica	Ncfpn
vjerojatnosti	vjerojatnost	Ncfsg
i	i	Cc
izračuni	izračun	Ncmpn
kao	kao	Cs
i	i	Qo
za	za	Sa
životna	životan	Agpnpay
osiguranja	osiguranje	Ncnpa
za	za	Sa
obveze	obveza	Ncfpa
za	za	Sa
pokriće	pokriće	Ncnsa
kojih	koji	Pi-mpg
je	biti	Var3s
društvo	društvo	Ncnsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
dužno	dužno	Rgp
oblikovati	oblikovati	Vmn
matematičke	matematički	Agpfpny
pričuve	pričuva	Ncfpn
namiruju	namirivati	Vmr3p
se	sebe	Px--sa
iz	iz	Sg
imovine	imovina	Ncfsg
za	za	Sa
pokriće	pokriće	Ncnsa
matematičke	matematički	Agpfsgy
pričuve	pričuva	Ncfsg
,	,	Z
odnosno	odnosno	Rgp
iz	iz	Sg
sredstava	sredstvo	Ncnpg
prikupljenih	prikupiti	Appmpgy
unovčenjem	unovčenje	Ncnsi
imovine	imovina	Ncfsg
za	za	Sa
pokriće	pokriće	Ncnsa
matematičke	matematički	Agpfsgy
pričuve	pričuva	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Imovina	imovina	Ncfsn
za	za	Sa
pokriće	pokriće	Ncnsa
matematičke	matematički	Agpfsgy
pričuve	pričuva	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
180.	180.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
ne	ne	Qz
ulazi	ulaziti	Vmr3s
u	u	Sa
stečajnu	stečajni	Agpfsay
masu	masa	Ncfsa
i	i	Cc
isključivo	isključivo	Rgp
je	biti	Var3s
namijenjena	namijeniti	Appfsny
namirenju	namirenje	Ncnsd
vjerovnika	vjerovnik	Ncmpg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Imovina	imovina	Ncfsn
za	za	Sa
pokriće	pokriće	Ncnsa
matematičke	matematički	Agpfsgy
pričuve	pričuva	Ncfsg
je	biti	Var3s
imovina	imovina	Ncfsn
društva	društvo	Ncnsg
za	za	Sa
osiguranje	osiguranje	Ncnsa
odvojena	odvojiti	Appfsny
od	od	Sg
ostale	ostali	Agpfsgy
imovine	imovina	Ncfsg
društva	društvo	Ncnsg
za	za	Sa
osiguranje	osiguranje	Ncnsa
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člancima	članak	Ncmpi
182.	182.	Mdo
–	–	Z
185.	185.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Vjerovnici	vjerovnik	Ncmpn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
imaju	imati	Vmr3p
pravo	pravo	Ncnsa
da	da	Cs
se	sebe	Px--sa
iz	iz	Sg
imovine	imovina	Ncfsg
za	za	Sa
pokriće	pokriće	Ncnsa
matematičke	matematički	Agpfsgy
pričuve	pričuva	Ncfsg
isplate	isplata	Ncfsg
njihove	njihov	Ps3fsg
tražbine	tražbina	Ncfsg
u	u	Sl
visini	visina	Ncfsl
koja	koji	Pi-fsn
odgovara	odgovarati	Vmr3s
tehničkim	tehnički	Agpfpiy
pričuvama	pričuva	Ncfpi
prema	prema	Sl
računovodstvenim	računovodstveni	Agpmply
propisima	propis	Ncmpl
koje	koji	Pi-fpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
pokriće	pokriće	Ncnsa
obveza	obveza	Ncfpg
za	za	Sa
koje	koji	Pi-mpa
je	biti	Var3s
društvo	društvo	Ncnsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
dužno	dužno	Rgp
oblikovati	oblikovati	Vmn
matematičke	matematički	Agpfpay
pričuve	pričuva	Ncfpa
iz	iz	Sg
ugovora	ugovor	Ncmsg
o	o	Sl
osiguranju	osiguranje	Ncnsl
iz	iz	Sg
kojeg	koji	Pi-msg
proizlazi	proizlaziti	Vmr3s
ta	taj	Pd-fsn
tražbina	tražbina	Ncfsn
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Ako	ako	Cs
imovina	imovina	Ncfsn
za	za	Sa
pokriće	pokriće	Ncnsa
matematičke	matematički	Agpfsgy
pričuve	pričuva	Ncfsg
nije	biti	Var3s
dostatna	dostatan	Agpfsny
za	za	Sa
cjelokupnu	cjelokupan	Agpfsay
isplatu	isplata	Ncfsa
tražbina	tražbina	Ncfsn
vjerovnika	vjerovnik	Ncmpg
iz	iz	Sg
stavka	stavak	Ncmsg
4.	4.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
tražbine	tražbina	Ncfsg
se	sebe	Px--sa
isplaćuju	isplaćivati	Vmr3p
u	u	Sl
visini	visina	Ncfsl
koja	koji	Pi-fsn
je	biti	Var3s
u	u	Sl
jednakom	jednak	Agpmsly
omjeru	omjer	Ncmsl
s	sa	Si
tehničkim	tehnički	Agpfpiy
pričuvama	pričuva	Ncfpi
prema	prema	Sl
računovodstvenim	računovodstveni	Agpmply
propisima	propis	Ncmpl
koje	koji	Pi-fpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
pokriće	pokriće	Ncnsa
obveza	obveza	Ncfpg
za	za	Sa
koja	koji	Pi-fsn
je	biti	Var3s
društvo	društvo	Ncnsa
za	za	Sa
osiguranje	osiguranje	Ncnsa
dužno	dužno	Rgp
oblikovati	oblikovati	Vmn
matematičke	matematički	Agpfpay
pričuve	pričuva	Ncfpa
iz	iz	Sg
ugovora	ugovor	Ncmsg
o	o	Sl
osiguranju	osiguranje	Ncnsl
iz	iz	Sg
kojeg	koji	Pi-msg
proizlazi	proizlaziti	Vmr3s
tražbina	tražbina	Ncfsn
,	,	Z
kao	kao	Cs
što	što	Cs
je	biti	Var3s
omjer	omjer	Ncmsn
između	između	Sg
cjelokupne	cjelokupan	Agpfsgy
vrijednosti	vrijednost	Ncfsg
imovine	imovina	Ncfsg
za	za	Sa
pokriće	pokriće	Ncnsa
matematičke	matematički	Agpfsgy
pričuve	pričuva	Ncfsg
i	i	Cc
tehničkih	tehnički	Agpfpgy
pričuva	pričuva	Ncfpg
prema	prema	Sl
računovodstvenim	računovodstveni	Agpmply
propisima	propis	Ncmpl
namijenjenih	namijenjen	Agpfpgy
pokriću	pokriće	Ncfpg
svih	sav	Agpfpgy
obveza	obveza	Ncfpg
društva	društvo	Ncnsg
za	za	Sa
osiguranje	osiguranje	Ncnsa
za	za	Sa
koje	koji	Pi-nsa
je	biti	Var3s
dužno	dužan	Agpnsny
oblikovati	oblikovati	Vmn
matematičke	matematički	Agpfpay
pričuve	pričuva	Ncfpa
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Ostale	ostali	Agpfpny
tražbine	tražbina	Ncfpn
vjerovnika	vjerovnik	Ncmpg
iz	iz	Sg
stavka	stavak	Ncmsg
4.	4.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
isplaćuju	isplaćivati	Vmr3p
se	sebe	Px--sa
iz	iz	Sg
imovine	imovina	Ncfsg
za	za	Sa
pokriće	pokriće	Ncnsa
matematičke	matematički	Agpfsgy
pričuve	pričuva	Ncfsg
koja	koji	Pi-fsn
preostane	preostati	Vmr3s
nakon	nakon	Sg
isplate	isplata	Ncfsg
tražbina	tražbina	Ncfpg
iz	iz	Sg
stavka	stavak	Ncmsg
4.	4.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Ako	ako	Cs
imovina	imovina	Ncfsn
za	za	Sa
pokriće	pokriće	Ncnsa
matematičke	matematički	Agpfsgy
pričuve	pričuva	Ncfsg
nije	biti	Var3s
dostatna	dostatan	Agpfsny
za	za	Sa
cjelokupnu	cjelokupan	Agpfsay
isplatu	isplata	Ncfsa
ostalih	ostali	Agpfpgy
tražbina	tražbina	Ncfpg
iz	iz	Sg
stavka	stavak	Ncmsg
6.	6.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
te	te	Cc
se	sebe	Px--sa
tražbine	tražbina	Ncfpn
namiruju	namirivati	Vmr3p
razmjerno	razmjerno	Rgp
iz	iz	Sg
imovine	imovina	Ncfsg
za	za	Sa
pokriće	pokriće	Ncnsa
matematičke	matematički	Agpfsgy
pričuve	pričuva	Ncfsg
.	.	Z

(	(	Z
8	8	Mdc
)	)	Z
Za	za	Sa
utvrđivanja	utvrđivanje	Ncnpa
visine	visina	Ncfsg
tražbina	tražbina	Ncfpg
i	i	Cc
ukupne	ukupan	Agpfpny
visine	visina	Ncfpn
obveznog	obvezan	Agpnsgy
pokrića	pokriće	Ncnsg
mjerodavno	mjerodavan	Agpnsny
je	biti	Var3s
stanje	stanje	Ncnsn
na	na	Sa
dan	dan	Ncmsan
prestanka	prestanak	Ncmsg
ugovora	ugovor	Ncmsg
o	o	Sl
osiguranju	osiguranje	Ncnsl
.	.	Z

(	(	Z
9	9	Mdc
)	)	Z
Potraživanja	potraživanje	Ncnsg
vjerovnika	vjerovnik	Ncmpg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
koja	koji	Pi-npn
nisu	biti	Var3p
namirena	namiriti	Appnpny
u	u	Sl
skladu	sklad	Ncmsl
sa	sa	Si
stavkom	stavak	Ncmsi
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
namiruju	namirivati	Vmr3p
se	sebe	Px--sa
iz	iz	Sg
stečajne	stečajni	Agpfsgy
mase	masa	Ncfsg
društva	društvo	Ncnsg
za	za	Sa
osiguranje	osiguranje	Ncnsa
.	.	Z

(	(	Z
10	10	Mdc
)	)	Z
Iznimno	iznimno	Rgp
od	od	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
vjerovnici	vjerovnik	Ncmpn
koji	koji	Pi-mpn
na	na	Sl
imovini	imovina	Ncfsl
za	za	Sa
pokriće	pokriće	Ncnsa
matematičke	matematički	Agpfsgy
pričuve	pričuva	Ncfsg
imaju	imati	Vmr3p
osnovano	osnovati	Agpnsay
založno	založni	Agpnsay
pravo	pravo	Ncnsa
,	,	Z
imaju	imati	Vmr3p
pravo	pravo	Ncnsa
namirenja	namirenje	Ncnsg
,	,	Z
na	na	Sl
imovini	imovina	Ncfsl
za	za	Sa
pokriće	pokriće	Ncnsa
matematičke	matematički	Agpfsgy
pričuve	pričuva	Ncfsg
na	na	Sl
kojoj	koji	Pi-fsl
imaju	imati	Vmr3p
založno	založni	Agpnsay
pravo	pravo	Ncnsa
,	,	Z
prema	prema	Sl
odredbama	odredba	Ncfpl
Stečajnog	stečajni	Agpmsgy
zakona	zakon	Ncmsg
.	.	Z

(	(	Z
11	11	Mdc
)	)	Z
Kad	kad	Cs
je	biti	Var3s

