izraza	izraz	Ncmsg
420.	420.	Mdo
stavka	stavak	Ncmsg
3.	3.	Mdo
točke	točka	Ncfsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Vlasnik	vlasnik	Ncmsn
obrta	obrt	Ncmsg
za	za	Sa
zastupanje	zastupanje	Ncnsa
koji	koji	Pi-msn
nema	nemati	Vmr3s
ovlaštenje	ovlaštenje	Ncnsa
za	za	Sa
obavljanje	obavljanje	Ncnsa
poslova	posao	Ncmpg
zastupanja	zastupanje	Ncnsg
u	u	Sl
osiguranju	osiguranje	Ncnsl
izdano	izdati	Appnsny
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbama	odredba	Ncfpi
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
mora	morati	Vmr3s
imenovati	imenovati	Vmn
poslovođu	poslovođa	Ncmsay
,	,	Z
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbama	odredba	Ncfpl
Zakona	zakon	Ncmsg
o	o	Sl
obrtu	obrt	Ncmsl
,	,	Z
koji	koji	Pi-msn
ima	imati	Vmr3s
ovlaštenje	ovlaštenje	Ncnsa
za	za	Sa
zastupanje	zastupanje	Ncnsa
u	u	Sl
osiguranju	osiguranje	Ncnsl
.	.	Z

Osiguranje	osiguranje	Ncnsn
od	od	Sg
odgovornosti	odgovornost	Ncfsg
društva	društvo	Ncnsg
za	za	Sa
zastupanje	zastupanje	Ncnsa
u	u	Sl
osiguranju	osiguranje	Ncnsl

Članak	članak	Ncmsn
403.	403.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Društvo	društvo	Ncnsn
za	za	Sa
zastupanje	zastupanje	Ncnsa
u	u	Sl
osiguranju	osiguranje	Ncnsl
i	i	Cc
investicijsko	investicijski	Agpnsny
društvo	društvo	Ncnsn
koje	koji	Pi-nsn
obavlja	obavljati	Vmr3s
poslove	posao	Ncmpa
zastupanja	zastupanje	Ncnsg
u	u	Sl
osiguranju	osiguranje	Ncnsl
za	za	Sa
više	mnogo	Rgc
društava	društvo	Ncnpg
za	za	Sa
osiguranje	osiguranje	Ncnsa
mora	morati	Vmr3s
imati	imati	Vmn
osiguranu	osigurati	Agpfsay
odgovornost	odgovornost	Ncfsa
obavljanja	obavljanje	Ncnsg
djelatnosti	djelatnost	Ncfsg
ili	ili	Cc
odgovarajuće	odgovarajući	Agpfsgy
jamstvo	jamstvo	Ncnsa
u	u	Sl
iznosu	iznos	Ncmsl
koji	koji	Pi-msn
ne	ne	Qz
smije	smjeti	Vmr3s
biti	biti	Van
manji	mali	Agcmsny
od	od	Sg
9.700.000,00	9.700.000,00	Mdc
kuna	kuna	Ncfpg
po	po	Sl
svakom	svaki	Pi-msl
odštetnom	odštetni	Agpmsly
zahtjevu	zahtjev	Ncmsl
,	,	Z
odnosno	odnosno	Rgp
14.650.000,00	14.650.000,00	Mdc
kuna	kuna	Ncfpg
za	za	Sa
sve	sav	Agpmpay
odštetne	odštetni	Agpmpay
zahtjeve	zahtjev	Ncmpa
u	u	Sl
jednoj	jedan	Agpfsly
godini	godina	Ncfsl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Osiguranje	osiguranje	Ncnsn
ili	ili	Cc
jamstvo	jamstvo	Ncnsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-nsg
članka	članak	Ncmsg
mora	morati	Vmr3s
vrijediti	vrijediti	Vmn
za	za	Sa
područje	područje	Ncnsa
država	država	Ncfpg
članica	članica	Ncfpg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Iznimno	iznimno	Rgp
,	,	Z
stavak	stavak	Ncmsan
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
ne	ne	Qz
primjenjuje	primjenjivati	Vmr3s
se	sebe	Px--sa
ako	ako	Cs
je	biti	Var3s
društvo	društvo	Ncnsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
u	u	Sa
čije	čiji	Agpnsay
ime	ime	Ncnsa
društvo	društvo	Ncnsa
za	za	Sa
zastupanje	zastupanje	Ncnsa
u	u	Sl
osiguranju	osiguranje	Ncnsl
ili	ili	Cc
investicijsko	investicijski	Agpnsny
društvo	društvo	Ncnsn
ili	ili	Cc
je	biti	Var3s
ovlašteno	ovlastiti	Appnsny
djelovati	djelovati	Vmn
,	,	Z
već	već	Rgp
dalo	dati	Vmp-sn
takvo	takav	Pd-nsn
osiguranje	osiguranje	Ncnsn
ili	ili	Cc
odgovarajuće	odgovarajući	Agpnsay
jamstvo	jamstvo	Ncnsa
ili	ili	Cc
ako	ako	Cs
društvo	društvo	Ncnsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
preuzima	preuzimati	Vmr3s
punu	pun	Agpfsay
odgovornost	odgovornost	Ncfsa
za	za	Sa
djelovanje	djelovanje	Ncnsa
društva	društvo	Ncnsg
za	za	Sa
zastupanje	zastupanje	Ncnsa
u	u	Sl
osiguranju	osiguranje	Ncnsl
ili	ili	Cc
investicijskog	investicijski	Agpnsgy
društva	društvo	Ncnsg
.	.	Z

Obveze	obveza	Ncfpn
zastupnika	zastupnik	Ncmpg
u	u	Sl
osiguranju	osiguranje	Ncnsl
i	i	Cc
odgovornost	odgovornost	Ncfsa
društva	društvo	Ncnsg
za	za	Sa
osiguranje	osiguranje	Ncnsa

Članak	članak	Ncmsn
404.	404.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Za	za	Sa
postupke	postupak	Ncmpa
zastupnika	zastupnik	Ncmpg
u	u	Sl
osiguranju	osiguranje	Ncnsl
odgovara	odgovarati	Vmr3s
društvo	društvo	Ncnsa
za	za	Sa
zastupanje	zastupanje	Ncnsa
u	u	Sl
osiguranju	osiguranje	Ncnsl
i	i	Cc
društvo	društvo	Ncnsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Zastupnik	zastupnik	Ncmsn
u	u	Sl
osiguranju	osiguranje	Ncnsl
može	moći	Vmr3s
obavljati	obavljati	Vmn
samo	samo	Rgp
one	onaj	Pd-mpa
poslove	posao	Ncmpa
za	za	Sa
koje	koji	Pi-mpa
je	biti	Var3s
ovlašten	ovlastiti	Appmsnn
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbama	odredba	Ncfpi
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

Ograničenje	ograničenje	Ncnsn
ovlasti	ovlast	Ncfsg
zastupnika	zastupnik	Ncmpg
u	u	Sl
osiguranju	osiguranje	Ncnsl

Članak	članak	Ncmsn
405.	405.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Ako	ako	Cs
je	biti	Var3s
ovlast	ovlast	Ncfsn
zastupnika	zastupnik	Ncmpg
u	u	Sl
osiguranju	osiguranje	Ncnsl
ograničena	ograničiti	Appfsny
samo	samo	Rgp
na	na	Sa
određeno	određen	Agpnsay
područje	područje	Ncnsa
,	,	Z
zastupnik	zastupnik	Ncmsn
u	u	Sl
osiguranju	osiguranje	Ncnsl
ovlašten	ovlastiti	Appmsnn
je	biti	Var3s
za	za	Sa
poduzimanje	poduzimanje	Ncnsa
pravnih	pravni	Agpfpgy
radnji	radnja	Ncfpg
iz	iz	Sg
članka	članak	Ncmsg
400.	400.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
samo	samo	Rgp
u	u	Sl
svezi	sveza	Ncfsl
s	sa	Si
osiguranjima	osiguranje	Ncnpi
koja	koji	Pi-npn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
imovinu	imovina	Ncfsa
iz	iz	Sg
tog	taj	Pd-nsg
područja	područje	Ncnsg
,	,	Z
odnosno	odnosno	Rgp
osobe	osoba	Ncfpn
s	sa	Si
prebivalištem	prebivalište	Ncnsi
na	na	Sl
tom	taj	Pd-nsl
području	područje	Ncnsl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ako	ako	Cs
je	biti	Var3s
ovlast	ovlast	Ncfsn
zastupnika	zastupnik	Ncmpg
u	u	Sl
osiguranju	osiguranje	Ncnsl
ograničena	ograničiti	Appfsny
na	na	Sa
način	način	Ncmsan
da	da	Cs
zastupnik	zastupnik	Ncmsn
u	u	Sl
osiguranju	osiguranje	Ncnsl
nije	biti	Var3s
ovlašten	ovlastiti	Appmsnn
za	za	Sa
poduzimanje	poduzimanje	Ncnsa
svih	sav	Agpfpgy
pravnih	pravni	Agpfpgy
radnji	radnja	Ncfpg
iz	iz	Sg
članka	članak	Ncmsg
400.	400.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
ili	ili	Cc
na	na	Sa
način	način	Ncmsan
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
ograničenje	ograničenje	Ncnsa
ovlasti	ovlast	Ncfsg
nema	nemati	Vmr3s
učinak	učinak	Ncmsan
prema	prema	Sl
ugovaratelju	ugovaratelj	Ncmsl
osiguranja	osiguranje	Ncnsg
,	,	Z
osim	osim	Cs
ako	ako	Cs
mu	on	Pp3msd
je	biti	Var3s
to	taj	Pd-nsn
ograničenje	ograničenje	Ncnsn
bilo	biti	Vap-sn
poznato	poznat	Agpnsny
.	.	Z

POGLAVLJE	poglavlje	Ncnsn
II	ii	Mrc
.	.	Z

POSREDOVANJE	posredovanje	Ncnsn
U	u	Sl
OSIGURANJU	osiguranje	Ncnsl
I	i	Cc
REOSIGURANJU	reosiguranje	Ncnsl

Posredovanje	posredovanje	Ncnsn
u	u	Sl
osiguranju	osiguranje	Ncnsl
i	i	Cc
reosiguranju	reosiguranje	Ncnsl

Članak	članak	Ncmsn
406.	406.	Mdo

Posredovanje	posredovanje	Ncnsn
u	u	Sl
osiguranju	osiguranje	Ncnsl
i	i	Cc
reosiguranju	reosiguranje	Ncnsl
je	biti	Var3s
djelatnost	djelatnost	Ncfsn
pokretanja	pokretanje	Ncnsg
,	,	Z
predlaganja	predlaganje	Ncnsg
ili	ili	Cc
obavljanja	obavljanje	Ncnsg
poslova	posao	Ncmpg
pripreme	priprema	Ncfsg
za	za	Sa
sklapanje	sklapanje	Ncnsa
ugovora	ugovor	Ncmsg
o	o	Sl
osiguranju	osiguranje	Ncnsl
,	,	Z
odnosno	odnosno	Rgp
reosiguranju	reosiguranje	Ncnsd
,	,	Z
pomoć	pomoć	Ncfsn
pri	pri	Sl
izvršavanju	izvršavanje	Ncnsl
prava	pravo	Ncnsg
iz	iz	Sg
ugovora	ugovor	Ncmsg
o	o	Sl
osiguranju	osiguranje	Ncnsl
,	,	Z
odnosno	odnosno	Rgp
ugovora	ugovor	Ncmsg
o	o	Sl
reosiguranju	reosiguranje	Ncnsl
,	,	Z
a	a	Cc
posebno	posebno	Rgp
pri	pri	Sl
rješavanju	rješavanje	Ncnsl
odštetnih	odštetni	Agpmpgy
zahtjeva	zahtjev	Ncmpg
naslovljenih	naslovljen	Agpmpgy
na	na	Sa
društvo	društvo	Ncnsa
za	za	Sa
osiguranje	osiguranje	Ncnsa
,	,	Z
odnosno	odnosni	Agpnsny
društvo	društvo	Ncnsn
za	za	Sa
reosiguranje	reosiguranje	Ncnsa
.	.	Z

Posrednik	posrednik	Ncmsn
u	u	Sl
osiguranju	osiguranje	Ncnsl
i	i	Cc
reosiguranju	reosiguranje	Ncnsl

Članak	članak	Ncmsn
407.	407.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Posrednik	posrednik	Ncmsn
u	u	Sl
osiguranju	osiguranje	Ncnsl
i	i	Cc
reosiguranju	reosiguranje	Ncnsl
je	biti	Var3s
fizička	fizički	Agpfsny
osoba	osoba	Ncfsn
koja	koji	Pi-fsn
je	biti	Var3s
dobila	dobiti	Vmp-sf
ovlaštenje	ovlaštenje	Ncnsa
za	za	Sa
obavljanje	obavljanje	Ncnsa
poslova	posao	Ncmpg
posredovanja	posredovanje	Ncnsg
u	u	Sl
osiguranju	osiguranje	Ncnsl
i	i	Cc
reosiguranju	reosiguranje	Ncnsl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Poslovi	posao	Ncmpn
posrednika	posrednik	Ncmpg
u	u	Sl
osiguranju	osiguranje	Ncnsl
i	i	Cc
reosiguranju	reosiguranje	Ncnsl
su	biti	Var3p
poslovi	posao	Ncmpn
u	u	Sl
svezi	sveza	Ncfsl
s	sa	Si
pregovaranjem	pregovaranje	Ncnsi
s	sa	Si
društvom	društvo	Ncnsi
za	za	Sa
osiguranje	osiguranje	Ncnsa
,	,	Z
odnosno	odnosno	Rgp
društvom	društvo	Agpnsny
za	za	Sa
reosiguranje	reosiguranje	Ncnsa
čiji	čiji	Pi-msn
je	biti	Var3s
predmet	predmet	Ncmsn
nastojanje	nastojanje	Ncnsn
da	da	Cs
se	sebe	Px--sa
budućem	budući	Agpmsly
ugovaratelju	ugovaratelj	Ncmsl
osiguranja	osiguranje	Ncnsg
,	,	Z
odnosno	odnosno	Rgp
reosiguranja	reosiguranje	Ncnsg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
njegovim	njegov	Agpmpiy
zahtjevima	zahtjev	Ncmpi
,	,	Z
odnosno	odnosno	Rgp
potrebama	potreba	Ncfpi
,	,	Z
omogući	omogućiti	Vmr3s
sklapanje	sklapanje	Ncnsa
ugovora	ugovor	Ncmsg
o	o	Sl

