pravima	pravo	Ncnpi

Takva	takav	Pd-fsn
će	htjeti	Var3s
se	sebe	Px--sa
ročišta	ročište	Ncnsg
održati	održati	Vmn
izvan	izvan	Sg
mjesta	mjesto	Ncnsg
arbitraže	arbitraža	Ncfsg
samo	samo	Rgp
ako	ako	Cs
stranke	stranka	Ncfpn
,	,	Z
na	na	Sa
zahtjev	zahtjev	Ncmsan
tajnika	tajnik	Ncmpg
Sudišta	sudište	Ncnsg
,	,	Z
predujme	predujam	Ncmpa
dodatna	dodatan	Agpfsny
sredstava	sredstvo	Ncnpg
za	za	Sa
pokriće	pokriće	Ncnsa
troškova	trošak	Ncmpg
koji	koji	Pi-mpn
se	sebe	Px--sa
time	taj	Pd-nsi
izazivaju	izazivati	Vmr3p
.	.	Z

Ako	ako	Cs
stranke	stranka	Ncfpn
ne	ne	Qz
predujme	predujmiti	Vmr3p
zatražena	zatražiti	Agpnpay
sredstva	sredstvo	Ncnpa
u	u	Sl
određenom	određen	Agpmsly
roku	rok	Ncmsl
,	,	Z
ročište	ročište	Ncnsn
se	sebe	Px--sa
izvan	izvan	Sg
mjesta	mjesto	Ncnsg
arbitraže	arbitraža	Ncfsg
neće	htjeti	Var3s
održati	održati	Vmn
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Smatrat	smatrati	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
da	da	Cs
su	biti	Var3p
arbitražni	arbitražni	Agpmsny
pravorijek	pravorijek	Ncmsn
i	i	Cc
druge	drugi	Mlofsg
odluke	odluka	Ncfsg
arbitražnog	arbitražni	Agpmsgy
suda	sud	Ncmsg
donesene	donijeti	Appfpny
u	u	Sl
mjestu	mjesto	Ncnsl
arbitraže	arbitraža	Ncfsg
.	.	Z

Jezik	jezik	Ncmsn
arbitraže	arbitraža	Ncfsg

Članak	članak	Ncmsn
8.	8.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Stranke	stranka	Ncfpn
se	sebe	Px--sa
mogu	moći	Vmr3p
sporazumjeti	sporazumjeti	Vmn
o	o	Sl
jeziku	jezik	Ncmsl
ili	ili	Cc
o	o	Sl
jezicima	jezik	Ncmpl
na	na	Sl
kojima	koji	Ncmpl
će	htjeti	Var3s
se	sebe	Px--sa
provoditi	provoditi	Vmn
arbitraža	arbitraža	Ncfsn
.	.	Z

Ako	ako	Cs
takvog	takav	Pd-msg
sporazuma	sporazum	Ncmsg
nema	nemati	Vmr3s
,	,	Z
arbitražni	arbitražni	Agpmsny
sud	sud	Ncmsn
će	htjeti	Var3s
odlučiti	odlučiti	Vmn
na	na	Sl
kojem	koji	Pi-msl
će	htjeti	Var3s
se	sebe	Px--sa
jeziku	jezik	Ncmsl
ili	ili	Cc
jezicima	jezik	Ncmpi
provoditi	provoditi	Vmn
postupak	postupak	Ncmsan
.	.	Z

Sporazum	sporazum	Ncmsn
stranaka	stranka	Ncfpg
,	,	Z
odnosno	odnosno	Rgp
odluka	odluka	Ncfsn
arbitražnog	arbitražni	Agpmsgy
suda	sud	Ncmsg
o	o	Sl
jeziku	jezik	Ncmsl
arbitraže	arbitraža	Ncfsg
,	,	Z
ako	ako	Cs
u	u	Sl
njima	oni	Pp3-pl
nije	biti	Var3s
drukčije	drugačije	Rgp
određeno	odrediti	Appnsny
,	,	Z
primjenjivat	primjenjivati	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
na	na	Sa
sve	sav	Agpfpay
pismene	pismen	Agpfpay
izjave	izjava	Ncfpa
stranaka	stranka	Ncfpg
,	,	Z
na	na	Sa
usmeni	usmen	Agpmsayn
postupak	postupak	Ncmsan
te	te	Cc
na	na	Sa
sve	sav	Agpfpay
odluke	odluka	Ncfpa
ili	ili	Cc
druga	drugi	Agpnsgy
priopćenja	priopćenje	Ncnsg
arbitražnog	arbitražni	Agpmsgy
suda	sud	Ncmsg
kao	kao	Cs
i	i	Qo
na	na	Sa
priopćenja	priopćenje	Ncnpa
tajništva	tajništvo	Ncnsg
i	i	Cc
drugih	drugi	Agpnpgy
tijela	tijelo	Ncnpg
Sudišta	sudište	Ncnsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Arbitražni	arbitražni	Agpmsny
sud	sud	Ncmsn
može	moći	Vmr3s
odrediti	odrediti	Vmn
da	da	Cs
se	sebe	Px--sa
uz	uz	Sa
sve	sav	Agpmpay
pismene	pismen	Agpmpay
dokaze	dokaz	Ncmpa
priloži	priložiti	Vmr3s
prijevod	prijevod	Ncmsan
na	na	Sl
jeziku	jezik	Ncmsl
ili	ili	Cc
jezicima	jezik	Ncmpl
o	o	Sl
kojima	koji	Pi-fpl
su	biti	Var3p
se	sebe	Px--sa
stranke	stranka	Ncfpn
sporazumjele	sporazumjeti	Vmp-pf
ili	ili	Cc
ih	oni	Pp3-pg
je	biti	Var3s
odredio	odrediti	Vmp-sm
arbitražni	arbitražni	Agpmsny
sud	sud	Ncmsn
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Do	do	Sg
utvrđivanja	utvrđivanje	Ncnsg
jezika	jezik	Ncmsg
postupka	postupak	Ncmsg
,	,	Z
tužba	tužba	Ncfsn
,	,	Z
odgovor	odgovor	Ncmsan
na	na	Sa
tužbu	tužba	Ncfsa
i	i	Cc
ostali	ostali	Agpmpny
podnesci	podnesak	Ncmpn
mogu	moći	Vmr3p
se	sebe	Px--sa
podnijeti	podnijeti	Vmn
na	na	Sl
jeziku	jezik	Ncmsl
glavnog	glavni	Agpmsgy
ugovora	ugovor	Ncmsg
,	,	Z
jeziku	jezik	Ncmsl
ugovora	ugovor	Ncmsg
o	o	Sl
arbitraži	arbitraža	Ncfsl
ili	ili	Cc
na	na	Sl
hrvatskom	hrvatski	Agpmsly
jeziku	jezik	Ncmsl
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Podnesci	podnesak	Ncmpn
stranaka	stranka	Ncfpg
i	i	Cc
prilozi	prilog	Ncmpn
uz	uz	Sa
te	taj	Pd-mpa
podneske	podnesak	Ncmpa
koji	koji	Pi-mpn
nisu	biti	Var3p
prevedeni	prevesti	Appmpny
na	na	Sa
jezike	jezik	Ncmpa
na	na	Sl
kojima	koji	Pi-fpl
bi	biti	Vaa3s
prema	prema	Sl
odredbama	odredba	Ncfpl
prethodnih	prethodan	Agpmpgy
stavaka	stavak	Ncmpg
ovog	ovaj	Pd-msg
članka	članak	Ncmsg
trebali	trebati	Vmp-pm
biti	biti	Van
prevedeni	prevesti	Appmpny
neće	htjeti	Var3p
se	sebe	Px--sa
uzeti	uzeti	Vmn
u	u	Sa
obzir	obzir	Ncmsan
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Sredstva	sredstvo	Ncnpa
za	za	Sa
pokriće	pokriće	Ncnsa
troškova	trošak	Ncmpg
prevođenja	prevođenje	Ncnsg
na	na	Sl
ročištima	ročište	Ncnpl
pred	pred	Si
arbitražnim	arbitražni	Agpmsiy
sudom	sud	Ncmsi
,	,	Z
troškova	trošak	Ncmpg
prevođenja	prevođenje	Ncnsg
odluka	odluka	Ncfpg
i	i	Cc
drugih	drugi	Mlonpg
priopćenja	priopćenje	Ncnpg
arbitražnog	arbitražni	Agpmsgy
suda	sud	Ncmsg
kao	kao	Cs
i	i	Cc
troškovi	trošak	Ncmpn
prevođenja	prevođenje	Ncnsg
priopćenja	priopćenje	Ncnsg
tajništva	tajništvo	Ncnsg
i	i	Cc
drugih	drugi	Agpnpgy
tijela	tijelo	Ncnpg
Sudišta	sudište	Ncnsg
dužna	dužan	Agpfsny
je	biti	Var3s
,	,	Z
na	na	Sa
zahtjev	zahtjev	Ncmsan
tajništva	tajništvo	Ncnsg
Sudišta	sudište	Ncnsg
,	,	Z
predujmiti	predujmiti	Vmn
stranka	stranka	Ncfsn
koja	koji	Pi-fsn
je	biti	Var3s
dužna	dužan	Agpfsny
predujmiti	predujmiti	Vmn
troškove	trošak	Ncmpa
arbitražnog	arbitražni	Agpmsgy
postupka	postupak	Ncmsg
.	.	Z

Ako	ako	Cs
ta	taj	Pd-npn
sredstva	sredstvo	Ncnpn
ne	ne	Qz
budu	biti	Var3p
predujmljena	predujmiti	Appfsny
u	u	Sl
roku	rok	Ncmsl
koji	koji	Pi-msn
je	biti	Var3p
stranci	stranac	Ncmpn
za	za	Sa
to	taj	Pd-nsa
određen	određen	Agpmsnn
,	,	Z
stranke	stranka	Ncfsg
će	htjeti	Var3s
se	sebe	Px--sa
obavijestiti	obavijestiti	Vmn
da	da	Cs
se	sebe	Px--sa
postupak	postupak	Ncmsn
ne	ne	Qz
može	moći	Vmr3s
provesti	provesti	Vmn
,	,	Z
dok	dok	Cs
će	htjeti	Var3s
se	sebe	Px--sa
arbitrima	arbitar	Ncmpi
isplatiti	isplatiti	Vmn
iz	iz	Sg
položenog	položiti	Agpmsgy
predujma	predujam	Ncmsg
nagrada	nagrada	Ncfpg
za	za	Sa
do	do	Sg
tada	tada	Rgp
obavljeni	obaviti	Agpmsayn
rad	rad	Ncmsan
te	te	Cc
naknaditi	naknaditi	Vmn
troškovi	trošak	Ncmpn
koje	koji	Pi-mpa
su	biti	Var3p
imali	imati	Vmp-pm
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
time	taj	Pd-nsi
.	.	Z

Visinu	visina	Ncfsa
nagrade	nagrada	Ncfsg
i	i	Cc
naknade	naknada	Ncfpa
troškova	trošak	Ncmpg
određuje	određivati	Vmr3s
predsjednik	predsjednik	Ncmsn
Sudišta	sudište	Ncnsg
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Arbitražni	arbitražni	Agpmsny
sud	sud	Ncmsn
može	moći	Vmr3s
odlučiti	odlučiti	Vmn
da	da	Cs
se	sebe	Px--sa
ne	ne	Qz
primjenjuju	primjenjivati	Vmr3p
odredbe	odredba	Ncfpn
ugovora	ugovor	Ncmsg
o	o	Sl
arbitraži	arbitraža	Ncfsl
koje	koji	Pi-fpn
predviđaju	predviđati	Vmr3p
da	da	Cs
se	sebe	Px--sa
arbitraža	arbitraža	Ncfsn
provodi	provoditi	Vmr3s
na	na	Sa
dva	dva	Mlc
ili	ili	Cc
više	mnogo	Rgc
jezika	jezik	Ncmsg
ako	ako	Cs
s	sa	Si
obzirom	obzir	Ncmsi
na	na	Sa
državnu	državni	Agpfsay
pripadnost	pripadnost	Ncfsa
stranaka	stranka	Ncfpg
odnosno	odnosno	Rgp
njihovih	njihov	Ps3mpg
zastupnika	zastupnik	Ncmpg
ocijeni	ocijeniti	Vmr3s
da	da	Cs
bi	biti	Vaa3s
prevođenje	prevođenje	Ncnsn
na	na	Sa
sve	sav	Agpmpay
te	taj	Pd-mpa
jezike	jezik	Ncmpa
znatno	znatan	Agpnsny
povećalo	povećalo	Ncnsn
troškove	trošak	Ncmpa
postupka	postupak	Ncmsg
te	te	Cc
usporilo	usporiti	Vmp-sn
i	i	Cc
otežalo	otežati	Vmp-sn
njegovu	njegov	Ps3fsa
provedbu	provedba	Ncfsa
,	,	Z
a	a	Cc
da	da	Cs
zbog	zbog	Sg
toga	taj	Pd-nsg
prava	pravo	Ncnsg
stranaka	stranka	Ncfpg
da	da	Cs
sudjeluju	sudjelovati	Vmr3p
u	u	Sl
postupku	postupak	Ncmsl
ne	ne	Qz
bi	biti	Vaa3s
bila	biti	Vap-sf
bitno	bitno	Rgp
ugrožena	ugroziti	Appfsny
.	.	Z

O	o	Sl
prigovoru	prigovor	Ncmsl
stranke	stranka	Ncfsg
protiv	protiv	Sg
takve	takav	Pd-fsg
odluke	odluka	Ncfsg
arbitražnog	arbitražni	Agpmsgy
suda	sud	Ncmsg
,	,	Z
koji	koji	Pi-msn
može	moći	Vmr3s
biti	biti	Van
podnesen	podnijeti	Appmsnn
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
osam	osam	Mlc
dana	dan	Ncmpg
,	,	Z
odlučuje	odlučivati	Vmr3s
Predsjedništvo	predsjedništvo	Ncnsa
Sudišta	sudište	Ncnsg
.	.	Z

Zastupanje	zastupanje	Ncnsn
i	i	Cc
savjetovanje	savjetovanje	Ncnsa

Članak	članak	Ncmsn
9.	9.	Mdo

Stranke	stranka	Ncfpn
mogu	moći	Vmr3p
imenovati	imenovati	Vmn
zastupnike	zastupnik	Ncmpa
i	i	Cc
savjetnike	savjetnik	Ncmpa
po	po	Sl
svom	svoj	Px-msl
izboru	izbor	Ncmsl
.	.	Z

Imena	ime	Ncnpa
i	i	Cc
adrese	adresa	Ncfsg
,	,	Z

