komunikacije	komunikacija	Ncfpa
platiti	platiti	Vmn
tužitelju	tužitelj	Ncmsl
na	na	Sa
ime	ime	Ncnsa
naknade	naknada	Ncfsg
štete	šteta	Ncfsg
zbog	zbog	Sg
onemogućavanja	onemogućavanje	Ncnsg
prijenosa	prijenos	Ncmsg
broja	broj	Ncmsg
utvrđenog	utvrditi	Appmsgy
u	u	Sl
točki	točka	Ncfsl
II	ii	Mrc
.	.	Z
ove	ovaj	Pd-fsg
presude	presuda	Ncfsg
iznos	iznos	Ncmsan
od	od	Sg
10,00	10,00	Mdc
kuna	kuna	Ncfpg
za	za	Sa
svaki	svaki	Pi-msan
započeti	započeti	Vmn
sat	sat	Ncmsan
nepravovremenog	nepravovremen	Agpmsgy
prijenosa	prijenos	Ncmsg
broja	broj	Ncmsg
po	po	Sl
telefonskom	telefonski	Agpmsly
priključku	priključak	Ncmsl
051	051	Mdc
811288	811288	Mdc
počevši	početi	Rr
od	od	Sg
ponoći	ponoć	Ncfsg
5.	5.	Mdo
siječnja	siječanj	Ncmsg
2013.	2013.	Mdo
do	do	Sg
udovoljena	udovoljiti	Appfsny
zahtjevu	zahtjev	Ncmsl
za	za	Sa
zasnivanje	zasnivanje	Ncnsa
pretplatničkog	pretplatnički	Agpmsgy
odnosa	odnos	Ncmsg
tužitelja	tužitelj	Ncmsg
podnesenog	podnesen	Agpmsgy
operateru	operater	Ncmsl
VIPnet	vipnet	Ncfpg
d.o.o.	d.o.o.	Y

Zagreb	Zagreb	Npmsn
dana	dan	Ncmsg
29.	29.	Mdo
prosinca	prosinac	Ncmsg
2012.	2012.	Mdo
s	sa	Si
pripadajućom	pripadajući	Agpfsiy
zateznom	zatezni	Agpfsiy
kamatom	kamata	Ncfsi
koja	koji	Pi-fsn
teče	teći	Vmr3s
na	na	Sa
svaki	svaki	Pi-msan
dospjeli	dospjeli	Agpmsayn
dnevni	dnevni	Agpmsayn
iznos	iznos	Ncmsan
naknade	naknada	Ncfsg
štete	šteta	Ncfsg
u	u	Sl
iznosu	iznos	Ncmsl
od	od	Sg
240,00	240,00	Mdc
kuna	kuna	Ncfpg
počevši	početi	Rr
od	od	Sg
5.	5.	Mdo
siječnja	siječanj	Ncmsg
2013.	2013.	Mdo
do	do	Sg
isplate	isplata	Ncfsg
,	,	Z
po	po	Sl
stopi	stopa	Ncfsl
koja	koji	Pi-fsn
se	sebe	Px--sa
određuje	određivati	Vmr3s
za	za	Sa
svako	svaki	Agpnsay
polugodište	polugodište	Ncnsa
,	,	Z
uvećanjem	uvećanje	Ncnsi
eskontne	eskontni	Agpfsgy
stope	stopa	Ncfsg
Hrvatske	hrvatski	Agpfsgy
narodne	narodni	Agpfsgy
banke	banka	Ncfsg
koja	koji	Pi-fsn
je	biti	Var3s
vrijedila	vrijediti	Vmp-sf
zadnjeg	zadnji	Agpmsgy
dana	dan	Ncmsg
polugodišta	polugodište	Ncnsg
koje	koji	Pi-nsn
je	biti	Var3s
prethodilo	prethoditi	Vmp-sn
tekućem	tekući	Agpnsdy
polugodištu	polugodište	Ncnsd
za	za	Sa
5	5	Mdc
%	%	Z
poena	poen	Ncmsg
,	,	Z
dok	dok	Cs
je	biti	Var3s
tužitelj	tužitelj	Ncmsn
u	u	Sl
podnesku	podnesak	Ncmsl
zaprimljenom	zaprimiti	Appmsly
kod	kod	Sg
ovoga	ovaj	Pd-msg
Suda	sud	Ncmsg
24.	24.	Mdo
rujna	rujan	Ncmsg
2014.	2014.	Mdo
zatražio	zatražiti	Vmp-sm
nadoknadu	nadoknada	Ncfsa
troškova	trošak	Ncmpg
ovog	ovaj	Pd-msg
upravnog	upravan	Agpmsgy
spora	spor	Ncmsg
.	.	Z

U	u	Sl
odgovoru	odgovor	Ncmsl
na	na	Sa
tužbu	tužba	Ncfsa
zaprimljenom	zaprimiti	Appnsly
kod	kod	Sg
ovog	ovaj	Pd-msg
Suda	sud	Ncmsg
27.	27.	Mdo
svibnja	svibanj	Ncmsg
2014.	2014.	Mdo
tuženik	tuženik	Ncmsn
je	biti	Var3s
u	u	Sl
bitnome	bitan	Ncmsl
naveo	navesti	Vmp-sm
da	da	Cs
u	u	Sl
cijelosti	cijelost	Ncfsl
ostaje	ostajati	Vmr3s
kod	kod	Sg
navoda	navod	Ncmpg
iznesenih	iznijeti	Appmpgy
u	u	Sl
obrazloženju	obrazloženje	Ncnsl
osporavanog	osporavati	Agpnsgy
rješenja	rješenje	Ncnsg
,	,	Z
istaknuvši	istaknuti	Rr
da	da	Cs
je	biti	Var3s
inspektor	inspektor	Ncmsn
u	u	Sl
postupku	postupak	Ncmsl
utvrdio	utvrditi	Vmp-sm
da	da	Cs
je	biti	Var3s
operater	operater	Ncmsn
,	,	Z
pritom	pritom	Rgp
misleći	misliti	Rr
ovdje	ovdje	Rgp
zainteresirana	zainteresiran	Agpfsny
osoba	osoba	Ncfsn
,	,	Z
s	sa	Si
tužiteljem	tužitelj	Ncmsi
dogovorio	dogovoriti	Vmp-sm
realizaciju	realizacija	Ncfsa
zahtjeva	zahtjev	Ncmpg
prijenosa	prijenos	Ncmsg
pretplatničkog	pretplatnički	Agpmsgy
odnosa	odnos	Ncmsg
kao	kao	Cs
i	i	Cc
što	što	Pi3n-n
je	biti	Var3s
utvrdio	utvrditi	Vmp-sm
kako	kako	Cs
je	biti	Var3s
u	u	Sl
smislu	smisao	Ncmsl
propisa	propis	Ncmsg
zaštite	zaštita	Ncfsg
korisnika	korisnik	Ncmpg
u	u	Sl
svezi	sveza	Ncfsl
prijenosa	prijenos	Ncmsg
pretplatničkog	pretplatnički	Agpmsgy
odnosa	odnos	Ncmsg
,	,	Z
operater	operater	Ncmsn
pravilno	pravilno	Rgp
odbio	odbiti	Vmp-sm
zahtjev	zahtjev	Ncmsan
za	za	Sa
prijenos	prijenos	Ncmsan
broja	broj	Ncmsg
jer	jer	Cs
pretplatnički	pretplatnički	Agpmsny
broj	broj	Ncmsn
za	za	Sa
koji	koji	Pi-msan
se	sebe	Px--sa
traži	tražiti	Vmr3s
prijenos	prijenos	Ncmsn
nije	biti	Var3s
glasio	glasiti	Vmp-sm
na	na	Sa
ime	ime	Ncnsa
podnositelja	podnositelj	Ncmpg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
prijenos	prijenos	Ncmsan
broja	broj	Ncmsg
.	.	Z

Iz	iz	Sg
navedenog	naveden	Agpmsgy
razloga	razlog	Ncmsg
,	,	Z
tuženik	tuženik	Ncmsn
je	biti	Var3s
istaknuo	istaknuti	Vmp-sm
da	da	Cs
je	biti	Var3s
inspektor	inspektor	Ncmsn
sukladno	sukladan	Agpnsny
članku	članak	Ncmsl
46.	46.	Mdo
stavku	stavak	Ncmsl
5.	5.	Mdo
Zakona	zakon	Ncmsg
o	o	Sl
općem	opći	Agpmsly
upravnom	upravan	Agpmsly
postupku	postupak	Ncmsl
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
broj	broj	Ncmsn
47/09	47/09	Mds
,	,	Z
u	u	Sl
nastavku	nastavak	Ncmsl
teksta	tekst	Ncmsg
ZUP	ZUP	Npmsn
)	)	Z
u	u	Sl
smislu	smisao	Ncmsl
članka	članak	Ncmsg
111.	111.	Mdo

Zakona	zakon	Ncmsg
o	o	Sl
elektroničkim	elektronički	Agpfply
komunikacijama	komunikacija	Ncfpl
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
broj	broj	Ncmsn
73/08	73/08	Mds
,	,	Z
90/11	90/11	Mdc
,	,	Z
133/12	133/12	Mdc
,	,	Z
80/13	80/13	Mdc
,	,	Z
u	u	Sl
nastavku	nastavak	Ncmsl
teksta	tekst	Ncmsg
ZEK	ZEK	Npmsn
)	)	Z
donio	donijeti	Vmp-sm
osporavani	osporavati	Agpmsayn
upravni	upravan	Agpmsayn
akt	akt	Ncmsan
kojim	koji	Pi-msi
je	biti	Var3s
obustavio	obustaviti	Vmp-sm
postupak	postupak	Ncmsan
inspekcijskog	inspekcijski	Agpmsgy
nadzora	nadzor	Ncmsg
jer	jer	Cs
više	mnogo	Rgc
ne	ne	Qz
postoje	postojati	Vmr3p
pravne	pravni	Agpfpay
pretpostavke	pretpostavka	Ncfpa
za	za	Sa
vođenje	vođenje	Ncnsa
postupka	postupak	Ncmsg
.	.	Z

Tuženik	tuženik	Ncmsn
uz	uz	Sa
odgovor	odgovor	Ncmsan
na	na	Sa
tužbu	tužba	Ncfsa
do	do	Sg
dana	dan	Ncmsg
održavanja	održavanje	Ncnsg
ročišta	ročište	Ncnsg
nije	biti	Var3s
dostavio	dostaviti	Vmp-sm
sve	sav	Agpmpay
spise	spis	Ncmpa
koje	koji	Pi-mpa
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
predmet	predmet	Ncmsan
spora	spor	Ncmsg
,	,	Z
već	već	Cc
je	biti	Var3s
uz	uz	Sa
odgovor	odgovor	Ncmsan
na	na	Sa
tužbu	tužba	Ncfsa
dostavio	dostaviti	Vmp-sm
osporavani	osporavati	Agpmsayn
upravni	upravan	Agpmsayn
akt	akt	Ncmsan
od	od	Sg
9.	9.	Mdo
siječnja	siječanj	Ncmsg
2014.	2014.	Mdo
te	te	Cc
dostavnicu	dostavnica	Ncfsa
o	o	Sl
uručenju	uručenje	Ncnsl
navedenog	naveden	Agpmsgy
upravnog	upravan	Agpmsgy
akta	akt	Ncmsg
tužitelju	tužitelj	Ncmsd
,	,	Z
dopis	dopis	Ncmsn
HAKOM-a	HAKOM	Npmsg
od	od	Sg
30.	30.	Mdo
srpnja	srpanj	Ncmsg
2013.	2013.	Mdo
upućen	uputiti	Appmsnn
Hrvatskom	hrvatski	Agpmsdy
Telekomu	telekom	Ncmsd
d.	d.	Y
d.	d.	Y
Zagreb	Zagreb	Npmsn
kojim	koji	Pi-msi
HAKOM	hak	Ncmsi
traži	tražiti	Vmr3s
očitovanje	očitovanje	Ncnsa
od	od	Sg
Hrvatskog	hrvatski	Agpmsgy
Telekoma	telekom	Ncmsg
d.	d.	Y
d.	d.	Y
vezano	vezano	Rgp
uz	uz	Sa
zahtjev	zahtjev	Ncmsan
tužitelja	tužitelj	Ncmsg
upućenog	upućen	Agpmsgy
HAKOM-u	hakom-	Ncmsg
9.	9.	Mdo
svibnja	svibanj	Ncmsg
2013.	2013.	Mdo
te	te	Cc
podnesak	podnesak	Ncmsn
Hrvatskog	hrvatski	Agpmsgy
Telekoma	telekom	Ncmsg
d.	d.	Y
d.	d.	Y
od	od	Sg
2.	2.	Mdo
rujna	rujan	Ncmsg
2013.	2013.	Mdo
kojim	koji	Pi-msi
se	sebe	Px--sa
je	biti	Var3s
isti	isti	Agpmsny
očitovao	očitovati	Vmp-sm
na	na	Sa
dopis	dopis	Ncmsan
HAKOM-a	HAKOM	Npmsg
od	od	Sg
30.	30.	Mdo
srpnja	srpanj	Ncmsg
2013.	2013.	Mdo

U	u	Sl
podnesku	podnesak	Ncmsl
zaprimljenom	zaprimiti	Appmsly
kod	kod	Sg
ovog	ovaj	Pd-msg
Suda	sud	Ncmsg
24.	24.	Mdo
rujna	rujan	Ncmsg
2014.	2014.	Mdo
tužitelj	tužitelj	Ncmsn
je	biti	Var3s
,	,	Z
očitujući	očitovati	Rr
se	sebe	Px--sa
na	na	Sa
navode	navod	Ncmpa
tuženika	tuženik	Ncmpg
iz	iz	Sg
odgovora	odgovor	Ncmsg
na	na	Sa
tužbu	tužba	Ncfsa
u	u	Sl
bitnome	bitan	Ncmsl
naveo	navesti	Vmp-sm
da	da	Cs
je	biti	Var3s
osporavani	osporavati	Agpmsny
upravni	upravan	Agpmsny
akt	akt	Ncmsn
u	u	Sl
cijelosti	cijelost	Ncfsl
nezakonit	nezakonit	Agpmsnn
iz	iz	Sg
razloga	razlog	Ncmsg
što	što	Cs
do	do	Sg
danas	danas	Rgp
nije	biti	Var3s
realiziran	realizirati	Appmsnn
dogovor	dogovor	Ncmsn
vezan	vezati	Appmsnn
za	za	Sa
prijenos	prijenos	Ncmsan
pretplatničkog	pretplatnički	Agpmsgy
odnosa	odnos	Ncmsg
odnosno	odnosno	Rgp
realizaciju	realizacija	Ncfsa
prijenosa	prijenos	Ncmsg
pretplatničkog	pretplatnički	Agpmsgy
odnosa	odnos	Ncmsg
,	,	Z
pa	pa	Cc
tužitelju	tužitelj	Ncmsl
nije	biti	Var3s
jasno	jasan	Agpnsny
kako	kako	Cs
je	biti	Var3s
tuženik	tuženik	Ncmsn
utvrdio	utvrditi	Vmp-sm
da	da	Cs
je	biti	Var3s
operater	operater	Ncmsn
s	sa	Si
tužiteljem	tužitelj	Ncmsi
dogovorio	dogovoriti	Vmp-sm
realizaciju	realizacija	Ncfsa
pretplatničkog	pretplatnički	Agpmsgy
odnosa	odnos	Ncmsg
budući	budući	Cs
da	da	Cs
isti	isti	Agpmsayn
do	do	Sg
danas	danas	Rgp
nije	biti	Var3s
realiziran	realizirati	Appmsnn
,	,	Z
dok	dok	Cs
u	u	Sl
svezi	sveza	Ncfsl
navodnog	navodni	Agpnsgy
opravdanog	opravdati	Agpnsgy
odbijanja	odbijanje	Ncnsg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
prijenos	prijenos	Ncmsan
broja	broj	Ncmsg
,	,	Z
jer	jer	Cs
pretplatnički	pretplatnički	Rgp

