dvije	dva	Mlcf-n
igre	igra	Ncfpn
na	na	Sa
sreću	sreća	Ncfsa

4.	4.	Mdo
datum	datum	Ncmsan

5.	5.	Mdo
početno	početan	Agpnsay
stanje	stanje	Ncnsa

6.	6.	Mdo
iznos	iznos	Ncmsn
dotacije	dotacija	Ncfsg

7.	7.	Mdo
gotovina	gotovina	Ncfsn
iz	iz	Sg
automata	automat	Ncmsg

8.	8.	Mdo
završno	završan	Agpnsny
stanje	stanje	Ncnsn

9.	9.	Mdo
polog	polog	Ncmsn
(	(	Z
novac	novac	Ncmsn
od	od	Sg
prethodnog	prethodan	Agpmsgy
dana	dan	Ncmsg
)	)	Z
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Pod	pod	Si
početnim	početan	Agpnsiy
stanjem	stanje	Ncnsi
blagajne	blagajna	Ncfsg
podrazumijeva	podrazumijevati	Vmr3s
se	sebe	Px--sa
gotovina	gotovina	Ncfsn
kojom	koji	Pi-fsi
blagajnik	blagajnik	Ncmsn
raspolaže	raspolagati	Vmr3s
na	na	Sl
početku	početak	Ncmsl
radnog	radni	Agpmsgy
dana	dan	Ncmsg
za	za	Sa
potrebe	potreba	Ncfpa
neometanog	neometan	Agpnsgy
obavljanja	obavljanje	Ncnsg
djelatnosti	djelatnost	Ncfsg
igara	igra	Ncfpg
na	na	Sa
sreću	sreća	Ncfsa
na	na	Sl
automatima	automat	Ncmpl
.	.	Z

Pod	pod	Si
završnim	završan	Agpnsiy
stanjem	stanje	Ncnsi
blagajne	blagajna	Ncfsg
podrazumijeva	podrazumijevati	Vmr3s
se	sebe	Px--sa
gotovina	gotovina	Ncfsn
koja	koji	Pi-fsn
je	biti	Var3s
ostala	ostati	Vmp-sf
na	na	Sa
kraju	kraj	Ncmsl
dana	dan	Ncmpg
u	u	Sl
blagajni	blagajna	Ncfsl
uvećana	uvećati	Appfsny
za	za	Sa
gotovinu	gotovina	Ncfsa
prilikom	prilikom	Sg
pražnjenja	pražnjenje	Ncnsg
automata	automat	Ncmsg
za	za	Sa
igre	igra	Ncfpa
na	na	Sa
sreću	sreća	Ncfsa
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Obrazac	obrazac	Ncmsn
Blagajnički	blagajnički	Agpmsny
izvještaj	izvještaj	Ncmsn
mora	morati	Vmr3s
biti	biti	Van
numeriran	numerirati	Appmsnn
,	,	Z
a	a	Cc
potpisuje	potpisivati	Vmr3s
ga	on	Pp3msa
blagajnik	blagajnik	Ncmsn
.	.	Z

Obrazac	obrazac	Ncmsn
br.	br.	Y
12	12	Mdc
–	–	Z
Blagajnički	blagajnički	Agpmsny
izvještaj	izvještaj	Ncmsn

PODACI	podatak	Ncmpn
O	o	Sl
TVRTKI	tvrtka	Ncfsl
I	i	Cc
SJEDIŠTU	sjedište	Ncnsl
DRUŠTVA	društvo	Ncnsg
______	______	Agpmsny
DATUM	datum	Ncmsn
_____	_____	Z

OIB	oib	Mrc
PRIREĐIVAČA	priređivač	Ncmpg
___________________________________	___________________________________	Z

ADRESA	adresa	Ncfsn
___________________________________________	___________________________________________	Z

TEMELJNI	temeljan	Agpmsny
IZVJEŠTAJ	izvještaj	Ncmsn
BLAGAJNE	blagajna	Ncfsg
N	N	Xf
°	°	Z
______	_____i	Agpnsny
ZA	za	Sa
AUTOMATE	automat	Ncmpa
ZA	za	Sa
IGRE	igra	Ncfpa
NA	na	Sa
SREĆU	sreća	Ncfsa

POČETNO	početan	Agpnsny
STANJE	stanje	Ncnsn
DOTACIJA	dotacija	Ncfpg
GOTOVINA	gotovina	Ncfpg
IZ	iz	Sg
AUTOMATA	automat	Ncmpg
ZAVRŠNO	završan	Agpnsny
STANJE	stanje	Ncnsn
POLOG	polog	Ncmsn

__________________	__________________	Agpmsny
Blagajnik	blagajnik	Ncmsn

Članak	članak	Ncmsn
24.	24.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Dnevne	dnevni	Agpmpay
rezultate	rezultat	Ncmpa
po	po	Sl
pojedinom	pojedini	Agpmsly
automatu	automat	Ncmsl
za	za	Sa
igre	igra	Ncfpa
na	na	Sa
sreću	sreća	Ncfsa
priređivač	priređivač	Ncmsn
upisuje	upisivati	Vmr3s
u	u	Sa
obrazac	obrazac	Ncmsan
Skup	skup	Ncmsan
dnevnih	dnevni	Agpmpgy
rezultata	rezultat	Ncmpg
po	po	Sl
pojedinom	pojedini	Agpmsly
automatu	automat	Ncmsl
(	(	Z
obrazac	obrazac	Ncmsn
br.	br.	Y
13	13	Mdc
-	-	Z
Prilog	prilog	Ncmsn
1	1	Mdc
)	)	Z
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Obrazac	obrazac	Ncmsn
Skup	skup	Ncmsn
dnevnih	dnevni	Agpmpgy
rezultata	rezultat	Ncmpg
po	po	Sl
pojedinom	pojedini	Agpmsly
automatu	automat	Ncmsl
obvezno	obvezno	Rgp
mora	morati	Vmr3s
sadržavati	sadržavati	Vmn
sljedeće	sljedeći	Agpmpay
podatke	podatak	Ncmpa
:	:	Z

1.	1.	Mdo
podatke	podatak	Ncmpa
o	o	Sl
tvrtki	tvrtka	Ncfsl
i	i	Cc
sjedištu	sjedište	Ncnsl
društva	društvo	Ncnsg

2.	2.	Mdo
osobni	osoban	Agpmsayn
identifikacijski	identifikacijski	Agpmsayn
broj	broj	Ncmsan
priređivača	priređivač	Ncmpg
(	(	Z
OIB	OIB	Npmsn
)	)	Z

3.	3.	Mdo
oznaka	oznaka	Ncfsn
lokacije	lokacija	Ncfsg

4.	4.	Mdo
datum	datum	Ncmsan

5.	5.	Mdo
inventurni	inventurni	Agpmsayn
broj	broj	Ncmsan
automata	automat	Ncmpg

6.	6.	Mdo
serijski	serijski	Agpmsayn
broj	broj	Ncmsan
automata	automat	Ncmpg

7.	7.	Mdo
ukupan	ukupan	Agpmsann
ulaz	ulaz	Ncmsan
u	u	Sl
kunama	kuna	Ncfpl

8.	8.	Mdo
ukupan	ukupan	Agpmsann
izlaz	izlaz	Ncmsan
u	u	Sl
kunama	kuna	Ncfpl

9.	9.	Mdo
jack-pot	jack-pot	Ncmsn

10.	10.	Mdo
razliku	razlika	Ncfsa
(	(	Z
ulaz-izlaz-jack-pot	ulaz-izlaz-jack-pot	Npmsn
)	)	Z

11.	11.	Mdo
odgovorna	odgovoran	Agpfsny
osoba	osoba	Ncfsn
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Obrazac	obrazac	Ncmsn
Skup	skup	Ncmsn
dnevnih	dnevni	Agpmpgy
rezultata	rezultat	Ncmpg
po	po	Sl
pojedinom	pojedini	Agpmsly
automatu	automat	Ncmsl
za	za	Sa
igre	igra	Ncfpa
na	na	Sa
sreću	sreća	Ncfsa
(	(	Z
obrazac	obrazac	Ncmsan
br.	br.	Y
13	13	Mdc
-	-	Z
Prilog	prilog	Ncmsn
1	1	Mdc
)	)	Z
mora	morati	Vmr3s
biti	biti	Van
numeriran	numerirati	Appmsnn
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Skup	skup	Ncmsan
dnevnih	dnevni	Agpmpgy
rezultata	rezultat	Ncmpg
po	po	Sl
pojedinom	pojedini	Agpmsly
automatu	automat	Ncmsl
zbroj	zbroj	Ncmsn
je	biti	Var3s
dnevnih	dnevni	Agpmpgy
obračuna	obračun	Ncmpg
po	po	Sl
pojedinom	pojedini	Agpmsly
automatu	automat	Ncmsl
za	za	Sa
igre	igra	Ncfpa
na	na	Sa
sreću	sreća	Ncfsa
od	od	Sg
prvoga	prvi	Mlomsg
do	do	Sg
posljednjeg	posljednji	Agpmsgy
dana	dan	Ncmsg
u	u	Sl
mjesecu	mjesec	Ncmsl
za	za	Sa
koji	koji	Pi-msan
se	sebe	Px--sa
izrađuje	izrađivati	Vmr3s
obračun	obračun	Ncmsan
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Skup	skup	Ncmsan
dnevnih	dnevni	Agpmpgy
rezultata	rezultat	Ncmpg
za	za	Sa
automate	automat	Ncmpa
za	za	Sa
igre	igra	Ncfpa
na	na	Sa
sreću	sreća	Ncfsa
s	sa	Si
više	mnogo	Rgc
sjedećih	sjedeći	Agpnpgy
mjesta	mjesto	Ncnpg
zbroj	zbroj	Ncmsn
je	biti	Var3s
dnevnih	dnevni	Agpmpgy
obračuna	obračun	Ncmpg
od	od	Sg
prvoga	prvi	Mlomsg
do	do	Sg
posljednjega	posljednji	Agpmsgy
dana	dan	Ncmsg
u	u	Sl
mjesecu	mjesec	Ncmsl
za	za	Sa
koji	koji	Pi-msan
se	sebe	Px--sa
izrađuje	izrađivati	Vmr3s
obračun	obračun	Ncmsan
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Priređivač	priređivač	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
obrazac	obrazac	Ncmsn
Skup	skup	Ncmsn
dnevnih	dnevni	Agpmpgy
rezultata	rezultat	Ncmpg
po	po	Sl
pojedinom	pojedini	Agpmsly
automatu	automat	Ncmsl
(	(	Z
obrazac	obrazac	Ncmsn
br.	br.	Y
13	13	Mdc
–	–	Z
Prilog	prilog	Ncmsn
1	1	Mdc
)	)	Z
dostaviti	dostaviti	Vmn
Ministarstvu	ministarstvo	Ncnsl
financija	financije	Ncfpg
elektroničkim	elektronički	Agpmsiy
putem	put	Ncmsi
,	,	Z
korištenjem	korištenje	Ncnsi
sustava	sustav	Ncmsg
elektroničkog	elektronički	Agpmsgy
servisa	servis	Ncmsg
Porezne	porezni	Agpfsgy
uprave	uprava	Ncfsg
ePorezna	ePorezn	Npmsg
zaključno	zaključno	Rgp
dvadesetoga	dvadeseti	Mlomsg
dana	dan	Ncmsg
u	u	Sl
tekućem	tekući	Agpmsly
mjesecu	mjesec	Ncmsl
za	za	Sa
prethodni	prethodan	Agpmsayn
mjesec	mjesec	Ncmsan
.	.	Z

Obrazac	obrazac	Ncmsn
se	sebe	Px--sa
dostavlja	dostavljati	Vmr3s
u	u	Sl
PDF	PD	Npmsl
formatu	format	Ncmsl
,	,	Z
kao	kao	Cs
prilog	prilog	Ncmsn
obrascima	obrazac	Ncmpd
broj	broj	Ncmsan
19	19	Mdc
,	,	Z
broj	broj	Ncmsn
23	23	Mdc
i	i	Cc
broj	broj	Ncmsn
24.	24.	Mdo

Obrazac	obrazac	Ncmsn
br.	br.	Y
13	13	Mdc
–	–	Z
Prilog	prilog	Ncmsn
1	1	Mdc
Skup	skup	Ncmsn
dnevnih	dnevni	Agpmpgy
rezultata	rezultat	Ncmpg
po	po	Sl
pojedinom	pojedini	Agpmsly
automatu	automat	Ncmsl
i	i	Cc
roulettu	roulett	Ncmsl

PODACI	podatak	Ncmpn
O	o	Sl
TVRTKI	tvrtka	Ncfsl
I	i	Cc
SJEDIŠTU	sjedište	Ncnsl
DRUŠTVA	društvo	Ncnsg
:	:	Z
OIB	oib	Ncmsn
PRIREĐIVAČA	priređivač	Ncmpg
:	:	Z

OZNAKA	oznaka	Ncfsn
LOKACIJE	lokacija	Ncfsg
*	*	Z
:	:	Z

SKUP	skup	Ncmsn
DNEVNIH	dnevni	Agpmpgy
REZULTATA	rezultat	Ncmpg
PO	po	Sl
POJEDINOM	pojedini	Agpmsly
AUTOMATU	automat	Ncmsl
NA	na	Sa
DAN	dan	Ncmsan
N	N	Xf
°	°	Z
__	__	Z

R.	R.	Y
br.	br.	Y

OZNAKA	oznaka	Ncfsn
LOKACIJE**	LOKACIJE**	Var3s
INVENTURNI	inventurni	Agpmsny
BROJ	broj	Ncmsn
AUTOMATA	automat	Ncmpg
SERIJSKI	serijski	Agpmsny
BROJ	broj	Ncmsn
AUTOMATA	automat	Ncmpg
UKUPAN	ukupan	Agpmsnn
ULAZ	ulaz	Ncmsn
UKUPAN	ukupan	Agpmsnn
IZLAZ	izlaz	Ncmsn
JACK-POT	jack-pot	Ncmsn
RAZLIKA	razlika	Ncfsn
1	1	Mdc
2	2	Mdc
3	3	Mdc
4	4	Mdc
5	5	Mdc
6	6	Mdc
7	7	Mdc
8	8	Mdc
UKUPNO	ukupno	Rgp

________________	________________	Ncfsn

Odgovorna	odgovoran	Agpfsny
osoba	osoba	Ncfsn

*	*	Agpmsny
Podatak	podatak	Ncmsn
upisuju	upisivati	Vmr3p
priređivači	priređivač	Ncmpn
igara	igra	Ncfpg
na	na	Sa
sreću	sreća	Ncfsa
na	na	Sl
automatima	automat	Ncmpl
u	u	Sa
automat	automat	Ncmsan
klubovima	klub	Ncmpl
i	i	Cc
casinima	casino	Ncmpl

**Podatak	**podatak	Mls
upisuju	upisivati	Vmr3p
priređivači	priređivač	Ncmpn
igara	igra	Ncfpg
na	na	Sa
sreću	sreća	Ncfsa
na	na	Sl
automatima	automat	Ncmpl
u	u	Sl
uplatnim	uplatni	Agpnply
mjestima	mjesto	Ncnpl
kladionica	kladionica	Ncfsn

Članak	članak	Ncmsn
25.	25.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Priređivač	priređivač	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
na	na	Sl
kraju	kraj	Ncmsl
posljednjega	posljednji	Agpmsgy
dana	dan	Ncmsg
u	u	Sl
mjesecu	mjesec	Ncmsl
popisati	popisati	Vmn
stanje	stanje	Ncnsa

