ozljeđivanja	ozljeđivanje	Ncnpn
ugovorene	ugovoriti	Agpfpay
naknade	naknada	Ncfpa
koje	koji	Pi-fpn
su	biti	Var3p
nesporne	nesporan	Agpfpny
Poslodavcu	Poslodavc	Npmsd
.	.	Z

Prilikom	prilikom	Sg
donošenja	donošenje	Ncnsg
odluke	odluka	Ncfsg
o	o	Sl
isplati	isplata	Ncfsl
Poslodavac	poslodavac	Ncmsn
neće	htjeti	Var3s
tražiti	tražiti	Vmn
da	da	Cs
se	sebe	Px--sa
zahtjev	zahtjev	Ncmsn
za	za	Si
isplatom	isplata	Ncfsi
podmiri	podmiriti	Vmr3s
isplatom	isplata	Ncfsi
manjeg	mali	Agcmsgy
iznosa	iznos	Ncmsg
od	od	Sg
ugovorenih	ugovoriti	Appmpgy
.	.	Z

Kada	kada	Rgp
priroda	priroda	Ncfsn
ozljede	ozljeda	Ncfsg
stvara	stvarati	Vmr3s
poteškoće	poteškoća	Ncfpa
Poslodavcu	poslodavac	Ncmsd
da	da	Cs
izvrši	izvršiti	Vmr3s
plaćanje	plaćanje	Ncnsa
tražbine	tražbina	Ncfsg
u	u	Sl
cijelosti	cijelost	Ncfsl
,	,	Z
razmotrit	razmotriti	Vmn
će	htjeti	Var3s
isplatu	isplata	Ncfsa
privremenog	privremen	Agpmsgy
iznosa	iznos	Ncmsg
kako	kako	Cs
bi	biti	Vaa3s
se	sebe	Px--sa
izbjegle	izbjegao	Agpfpny
teškoće	teškoća	Ncfpn
.	.	Z

7.	7.	Mdo
Isplate	isplata	Ncfsg
prema	prema	Sl
stavcima	stavak	Ncmpl
1.	1.	Mdo
i	i	Cc
4.	4.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
ne	ne	Qz
sprječavaju	sprječavati	Vmr3p
Pomorca	pomorac	Ncmsay
da	da	Cs
postavi	postaviti	Vmr3s
zahtjev	zahtjev	Ncmsan
za	za	Sa
naknadu	naknada	Ncfsa
štete	šteta	Ncfsg
prema	prema	Sl
Poslodavcu	poslodavac	Ncmsl
zbog	zbog	Sg
ozljede	ozljeda	Ncfsg
.	.	Z

8.	8.	Mdo
Svota	svota	Ncfsn
isplaćena	isplatiti	Appfsny
prema	prema	Sl
stavcima	stavak	Ncmpl
1.	1.	Mdo
i	i	Cc
4.	4.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
odbija	odbijati	Vmr3s
se	sebe	Px--sa
od	od	Sg
svote	svota	Ncfsg
dosuđene	dosuditi	Appfsgy
u	u	Sl
mogućem	moguć	Agpmsly
arbitražnom	arbitražni	Agpmsly

