Novorođenčad	novorođenče	Ncnpn
slučajeve	slučaj	Ncmpa
i	i	Cc
incidentna	incidentni	Agpnpay
stanja	stanje	Ncnpa
;	;	Z

•	•	Agpmsny
Upravni	upravan	Agpmsny
referent	referent	Ncmsn
u	u	Sl
službi	služba	Ncfsl
Ministarstva	ministarstvo	Ncnsg
zdravlja	zdravlje	Ncnsg
za	za	Sa
međunarodnu	međunarodni	Agpfsay
suradnju	suradnja	Ncfsa
,	,	Z
informiranje	informiranje	Ncnsa
i	i	Cc
protokol	protokol	Ncmsan
.	.	Z

Obveze	obveza	Ncfpn
nositelja	nositelj	Ncmpg
zadataka	zadatak	Ncmpg
Ministarstva	ministarstvo	Ncnsg
zdravlja	zdravlje	Ncnsg
:	:	Z

1.	1.	Mdo
Savjetnik	savjetnik	Ncmsn
ministra	ministar	Ncmsg
zdravlja	zdravlje	Ncnsg
za	za	Sa
krizne	krizan	Agpmpay
slučajeve	slučaj	Ncmpa
i	i	Cc
incidentna	incidentni	Agpnpay
stanja	stanje	Ncnpa
–	–	Z
nabavlja	nabavljati	Vmr3s
i	i	Cc
osigurava	osiguravati	Vmr3s
potreban	potreban	Agpmsann
broj	broj	Ncmsan
pripravaka	pripravak	Ncmpg
kalijevog	kalijev	Agpmsgy
jodida	jodid	Ncmsg
i	i	Cc
njihovu	njihov	Ps3fsa
raspoređenost	raspoređenost	Ncfsa
po	po	Sl
skladištima	skladište	Ncnpl
iz	iz	Sg
Priloga	prilog	Ncmsg
2	2	Mdc
ovog	ovaj	Pd-msg
SOP-a	sop-	Ncmsg
te	te	Cc
brine	brinuti	Vmr3s
o	o	Sl
obnavljanju	obnavljanje	Ncnsl
zaliha	zaliha	Ncfpg
prije	prije	Sg
isteka	istek	Ncmsg
roka	rok	Ncmsg
njihove	njihov	Ps3fsg
valjanosti	valjanost	Ncfsg
.	.	Z

2.	2.	Mdo
Upravni	upravan	Agpmsny
referent	referent	Ncmsn
u	u	Sl
službi	služba	Ncfsl
Ministarstva	ministarstvo	Ncnsg
zdravlja	zdravlje	Ncnsg
za	za	Sa
međunarodnu	međunarodni	Agpfsay
suradnju	suradnja	Ncfsa
,	,	Z
informiranje	informiranje	Ncnsa
i	i	Cc
protokol	protokol	Ncmsn
–	–	Z
brine	brinuti	Vmr3s
se	sebe	Px--sa
o	o	Sl
odgovarajućem	odgovarajući	Agpnsly
skladištenju	skladištenje	Ncnsl
pripravaka	pripravak	Ncmpg
kalijevog	kalijev	Agpmsgy
jodida	jodid	Ncmsg
i	i	Cc
osigurava	osiguravati	Vmr3s
u	u	Sl
slučaju	slučaj	Ncmsl
potrebe	potreba	Ncfsg
brzu	brz	Agpfsay
dostupnost	dostupnost	Ncfsa
pripravaka	pripravak	Ncmpg
kalijevog	kalijev	Agpmsgy
jodida	jodid	Ncmsg
u	u	Sl
skladištima	skladište	Ncnpl
.	.	Z

Provođenje	provođenje	Ncnsn
mjere	mjera	Ncfsg
primjene	primjena	Ncfsg
jodne	jodni	Agpfsgy
profilakse	profilaksa	Ncfsg
predlaže	predlagati	Vmr3s
ravnatelj	ravnatelj	Ncmsn
DZRNS-a	dzrns-	Ncmsg
ili	ili	Cc
djelatnik	djelatnik	Ncmsn
DZRNS-a	DZRNS	Npmsg
određen	odrediti	Appmsnn
od	od	Sg
strane	strana	Ncfsg
ravnatelja	ravnatelj	Ncmsg
za	za	Sa
komunikaciju	komunikacija	Ncfsa
s	sa	Si
DUZS-om	DUZS	Npmsi
.	.	Z

Provođenje	provođenje	Ncnsn
mjere	mjera	Ncfsg
jodne	jodni	Agpfsgy
profilakse	profilaksa	Ncfsg
se	sebe	Px--sa
predlaže	predlagati	Vmr3s
na	na	Sl
temelju	temelj	Ncmsl
analiza	analiza	Ncfpg
i	i	Cc
proračuna	proračun	Ncmsg
djelatnika	djelatnik	Ncmsg
DZRNS-a	DZRNS	Npmsg
.	.	Z

Mjeru	mjera	Ncfsa
jodne	jodni	Agpfsgy
profilakse	profilaksa	Ncfsg
provode	provoditi	Vmr3p
djelatnici	djelatnik	Ncmpn
Zavoda	zavod	Ncmsg
za	za	Sa
javno	javan	Agpnsay
zdravstvo	zdravstvo	Ncnsa
pogođenih	pogoditi	Agpfpgy
županija	županija	Ncfpg
,	,	Z
pod	pod	Si
nadzorom	nadzor	Ncmsi
Ministarstva	ministarstvo	Ncnsg
zdravlja	zdravlje	Ncnsg
,	,	Z
sukladno	sukladno	Rgp
vlastitim	vlastit	Agpmsiy
SOP-ovima	SOP-ov	Npmpi
.	.	Z

Djelatnici	djelatnik	Ncmpn
DZRNS-a	DZRNS	Npmsg
dokumentiraju	dokumentirati	Vmr3p
procjene	procjena	Ncfpn
područja	područje	Ncnsg
ugroženosti	ugroženost	Ncfsg
te	te	Cc
potrebnog	potreban	Agpmsgy
broja	broj	Ncmsg
pripravaka	pripravak	Ncmpg
KI	k	Agpnsiy
uvrštavanjem	uvrštavanje	Ncnsi
tih	taj	Pd-fpg
procjena	procjena	Ncfpg
u	u	Sa
ovaj	ovaj	Pd-msan
SOP	SOP	Npmsn
u	u	Sl
obliku	oblik	Ncmsl
priloga	prilog	Ncmsg
.	.	Z

Svaki	svaki	Pi-msn
prilog	prilog	Ncmsn
mora	morati	Vmr3s
imati	imati	Vmn
jasno	jasno	Rgp
istaknut	istaknuti	Vmn
datum	datum	Ncmsan
zadnje	zadnji	Agpfsgy
revizije	revizija	Ncfsg
.	.	Z

Djelatnici	djelatnik	Ncmpn
Ministarstva	ministarstvo	Ncnsg
zdravlja	zdravlje	Ncnsg
vode	voda	Ncfsg
evidenciju	evidencija	Ncfsa
o	o	Sl
broju	broj	Ncmsl
pripravaka	pripravak	Ncmpg
u	u	Sl
skladištima	skladište	Ncnpl
Ministarstva	ministarstvo	Ncnsg
zdravlja	zdravlje	Ncnsg
,	,	Z
broju	broj	Ncmsl
pripravaka	pripravak	Ncmpg
danim	dan	Agpmsiy
na	na	Sa
skladištenje	skladištenje	Ncnsa
Zavodima	zavod	Ncmpl
za	za	Sa
javno	javan	Agpnsay
zdravstvo	zdravstvo	Ncnsa
te	te	Cc
o	o	Sl
broju	broj	Ncmsl
izdanih	izdan	Agpmpgy
pripravaka	pripravak	Ncmpg
u	u	Sl
slučaju	slučaj	Ncmsl
izvanrednog	izvanredan	Agpmsgy
događaja	događaj	Ncmsg
.	.	Z

Djelatnici	djelatnik	Ncmpn
Ministarstva	ministarstvo	Ncnsg
zdravlja	zdravlje	Ncnsg
vode	voda	Ncfsg
evidenciju	evidencija	Ncfsa
o	o	Sl
roku	rok	Ncmsl
trajanja	trajanje	Ncnsg
pripravaka	pripravak	Ncmpg
te	te	Cc
o	o	Sl
nabavi	nabava	Ncfsl
novih	nov	Agpfpgy
zaliha	zaliha	Ncfpg
ili	ili	Cc
postupku	postupak	Ncmsl
produljenja	produljenje	Ncnsg
roka	rok	Ncmsg
valjanosti	valjanost	Ncfsg
postojećih	postojeći	Agpfpgy
zaliha	zaliha	Ncfpg
.	.	Z

Zavodi	zavoditi	Vmr3s
za	za	Sa
javno	javan	Agpnsay
zdravstvo	zdravstvo	Ncnsa
Krapinsko-zagorske	krapinsko-zagorski	Agpfsgy
županije	županija	Ncfsg
,	,	Z
Zagrebačke	zagrebački	Agpfsgy
županije	županija	Ncfsg
te	te	Cc
svih	sav	Agpfpgy
ostalih	ostali	Agpfpgy
pogođenih	pogoditi	Appfpgy
županija	županija	Ncfpg
nakon	nakon	Sg
izvanrednog	izvanredan	Agpmsgy
događaja	događaj	Ncmsg
dokumentiraju	dokumentirati	Vmr3p
podjelu	podjela	Ncfsa
pripravaka	pripravak	Ncmpg
KI	KI	Npmsn
–	–	Z
broj	broj	Ncmsn
podijeljenih	podijeljen	Agpmpgy
pripravaka	pripravak	Ncmpg
te	te	Cc
uspješnost	uspješnost	Ncfsn
podjele	podjela	Ncfsg
(	(	Z
koliko	koliko	Rgp
je	biti	Var3s
ljudi	čovjek	Ncmpg
bilo	biti	Vap-sn
obuhvaćeno	obuhvatiti	Appnsny
podjelom	podjela	Ncfsi
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
planirani	planiran	Agpmsayn
broj	broj	Ncmsan
ljudi	čovjek	Ncmpg
)	)	Z
.	.	Z

VIII	viii	Mrc
.	.	Z

RIZICI	rizik	Ncmpn

Glavni	glavni	Agpmsny
rizik	rizik	Ncmsn
ispunjavanja	ispunjavanje	Ncnsg
zahtjeva	zahtjev	Ncmpg
ovog	ovaj	Pd-msg
SOP-a	sop-	Ncmsg
predstavlja	predstavljati	Vmr3s
neinformiranost	neinformiranost	Ncfsa
te	te	Cc
needuciranost	needuciranost	Ncfsa
građana	građanin	Ncmpg
.	.	Z

Nedovoljno	nedovoljno	Rgp
informirani	informirati	Appmpny
i	i	Cc
needucirani	needuciran	Agpmpny
građani	građanin	Ncmpn
mogu	moći	Vmr3p
odbiti	odbiti	Vmn
uzeti	uzeti	Vmn
pripravke	pripravak	Ncmpa
,	,	Z
mogu	moći	Vmr3p
popiti	popiti	Vmn
doze	doza	Ncfpa
za	za	Sa
više	mnogo	Rgc
dana	dan	Ncmpg
odjednom	odjednom	Rgp
ili	ili	Cc
mogu	moći	Vmr3p
izbjegavati	izbjegavati	Vmn
preuzimanje	preuzimanje	Ncnsa
samih	sam	Agpmpgy
pripravaka	pripravak	Ncmpg
.	.	Z

Rizik	rizik	Ncmsn
neinformiranosti	neinformiranost	Ncfsg
i	i	Cc
needuciranosti	needuciranost	Ncfsg
građana	građanin	Ncmpg

