javnog	javan	Agpmsgy
pomoći	pomoć	Ncfsg
iz	iz	Sg
proračuna	proračun	Ncmsg
JLP	JLP	Npmsn
(	(	Z
R	R	Pq3n-n
)	)	Z
S	sa	Si
temeljem	temelj	Ncmsi
prijenosa	prijenos	Ncmsg
EU	E	Npmsg
sredstava	sredstvo	Ncnpg
,	,	Z
63813	63813	Mdc
Tekuće	tekući	Agpfsgy
pomoći	pomoć	Ncfsg
od	od	Sg
proračunskog	proračunski	Agpmsgy
korisnika	korisnik	Ncmsg
drugog	drugi	Mlomsg
proračuna	proračun	Ncmsg
temeljem	temelj	Sg
prijenosa	prijenos	Ncmsg
EU	E	Npmsg
sredstava	sredstvo	Ncnpg
,	,	Z
63814	63814	Mdc
Tekuće	tekući	Agpfsgy
pomoći	pomoć	Ncfsg
od	od	Sg
izvanproračunskog	izvanproračunski	Agpmsgy
korisnika	korisnik	Ncmsg
temeljem	temelj	Ncmsi
prijenosa	prijenos	Ncmsg
EU	E	Npmsg
sredstava	sredstvo	Ncnpg
;	;	Z

–	a	Ncfpn
dodaju	dodati	Vmr3p
se	sebe	Px--sa
osnovni	osnovan	Agpmpny
računi	račun	Ncmpn
63822	63822	Mdc
Kapitalne	kapitalan	Agpfsgy
pomoći	pomoć	Ncfsg
iz	iz	Sg
proračuna	proračun	Ncmsg
JLP	JLP	Npmsn
(	(	Z
R	R	Pq3n-n
)	)	Z
S	sa	Si
temeljem	temelj	Ncmsi
prijenosa	prijenos	Ncmsg
EU	E	Npmsg
sredstava	sredstvo	Ncnpg
,	,	Z
63823	63823	Mdc
Kapitalne	kapitalan	Agpfsgy
pomoći	pomoć	Ncfsg
od	od	Sg
proračunskog	proračunski	Agpmsgy
korisnika	korisnik	Ncmsg
drugog	drugi	Mlomsg
proračuna	proračun	Ncmsg
temeljem	temelj	Sg
prijenosa	prijenos	Ncmsg
EU	E	Npmsg
sredstava	sredstvo	Ncnpg
i	i	Cc
63824	63824	Mdc
Kapitalne	kapitalan	Agpfsgy
pomoći	pomoć	Ncfsg
od	od	Sg
izvanproračunskog	izvanproračunski	Agpmsgy
korisnika	korisnik	Ncmsg
temeljem	temelj	Ncmsi
prijenosa	prijenos	Ncmsg
EU	E	Npmsg
sredstava	sredstvo	Ncnpg
;	;	Z

–	–	Z
dodaje	dodavati	Vmr3s
se	sebe	Px--sa
podskupina	podskupina	Ncfsn
639	639	Mdc
Prijenosi	prijenos	Ncmpn
između	između	Sg
proračunskih	proračunski	Agpmpgy
korisnika	korisnik	Ncmpg
istog	isti	Agpmsgy
proračuna	proračun	Ncmsg
,	,	Z
odjeljak	odjeljak	Ncmsan
6391	6391	Mdc
Tekući	tekući	Agpmpny
prijenosi	prijenos	Ncmpn
između	između	Sg
proračunskih	proračunski	Agpmpgy
korisnika	korisnik	Ncmpg
istog	isti	Agpmsgy
proračuna	proračun	Ncmsg
,	,	Z
osnovni	osnovan	Agpmsny
račun	račun	Ncmsn
63911	63911	Mdc
Tekući	tekući	Agpmpny
prijenosi	prijenos	Ncmpn
između	između	Sg
proračunskih	proračunski	Agpmpgy
korisnika	korisnik	Ncmpg
istog	isti	Agpmsgy
proračuna	proračun	Ncmsg
,	,	Z
odjeljak	odjeljak	Ncmsan
6392	6392	Mdc
Kapitalni	kapitalan	Agpmpny
prijenosi	prijenos	Ncmpn
između	između	Sg
proračunskih	proračunski	Agpmpgy
korisnika	korisnik	Ncmpg
istog	isti	Agpmsgy
proračuna	proračun	Ncmsg
,	,	Z
osnovni	osnovan	Agpmsny
račun	račun	Ncmsn
63921	63921	Mdc
Kapitalni	kapitalan	Agpmpny
prijenosi	prijenos	Ncmpn
između	između	Sg
proračunskih	proračunski	Agpmpgy
korisnika	korisnik	Ncmpg
istog	isti	Agpmsgy
proračuna	proračun	Ncmsg
,	,	Z
odjeljak	odjeljak	Ncmsan
6393	6393	Mdc
Tekući	tekući	Agpmpny
prijenosi	prijenos	Ncmpn
između	između	Sg
proračunskih	proračunski	Agpmpgy
korisnika	korisnik	Ncmpg
istog	isti	Agpmsgy
proračuna	proračun	Ncmsg
temeljem	temelj	Sg
prijenosa	prijenos	Ncmsg
EU	E	Npmsg
sredstava	sredstvo	Ncnpg
,	,	Z
osnovni	osnovan	Agpmsny
račun	račun	Ncmsn
63931	63931	Mdc
Tekući	tekući	Agpmpny
prijenosi	prijenos	Ncmpn
između	između	Sg
proračunskih	proračunski	Agpmpgy
korisnika	korisnik	Ncmpg
istog	isti	Agpmsgy
proračuna	proračun	Ncmsg
temeljem	temelj	Sg
prijenosa	prijenos	Ncmsg
EU	E	Npmsg
sredstava	sredstvo	Ncnpg
,	,	Z
odjeljak	odjeljak	Ncmsan
6394	6394	Mdc
Kapitalni	kapitalan	Agpmpny
prijenosi	prijenos	Ncmpn
između	između	Sg
proračunskih	proračunski	Agpmpgy
korisnika	korisnik	Ncmpg
istog	isti	Agpmsgy
proračuna	proračun	Ncmsg
temeljem	temelj	Sg
prijenosa	prijenos	Ncmsg
EU	E	Npmsg
sredstava	sredstvo	Ncnpg
i	i	Cc
osnovni	osnovan	Agpmsny
račun	račun	Ncmsn
63941	63941	Mdc
Kapitalni	kapitalan	Agpmpny
prijenosi	prijenos	Ncmpn
između	između	Sg
proračunskih	proračunski	Agpmpgy
korisnika	korisnik	Ncmpg
istog	isti	Agpmsgy
proračuna	proračun	Ncmsg
temeljem	temelj	Sg
prijenosa	prijenos	Ncmsg
EU	E	Npmsg
sredstava	sredstvo	Ncnpg
;	;	Z

–	–	Pq3m-n
u	u	Sl
nazivu	naziv	Ncmsl
odjeljka	odjeljak	Ncmsg
9638	9638	Mdc
iza	iza	Sg
riječi	riječ	Ncfpg
»	»	Z
Pomoći	pomoć	Ncfsg
«	«	Z
brišu	brisati	Vmr3p
se	sebe	Px--sa
riječi	riječ	Ncfpn
»	»	Z
iz	iz	Sg
državnog	državni	Agpmsgy
proračuna	proračun	Ncmsg
«	«	Z
;	;	Z

–	a	Ncfpn
dodaju	dodati	Vmr3p
se	sebe	Px--sa
osnovni	osnovan	Agpmpny
računi	račun	Ncmpn
96383	96383	Mdc
Tekuće	tekući	Agpfsgy
pomoći	pomoć	Ncfsg
iz	iz	Sg
proračuna	proračun	Ncmsg
JLP	JLP	Npmsn
(	(	Z
R	R	Pq3n-n
)	)	Z
S	sa	Si
temeljem	temelj	Ncmsi
prijenosa	prijenos	Ncmsg
EU	E	Npmsg
sredstava	sredstvo	Ncnpg
,	,	Z
96384	96384	Mdc
Kapitalne	kapitalan	Agpfsgy
pomoći	pomoć	Ncfsg
iz	iz	Sg
proračuna	proračun	Ncmsg
JLP	JLP	Npmsn
(	(	Z
R	R	Pq3n-n
)	)	Z
S	sa	Si
temeljem	temelj	Ncmsi
prijenosa	prijenos	Ncmsg
EU	E	Npmsg
sredstava	sredstvo	Ncnpg
,	,	Z
96385	96385	Mdc
Tekuće	tekući	Agpfsgy
pomoći	pomoć	Ncfsg
od	od	Sg
proračunskog	proračunski	Agpmsgy
korisnika	korisnik	Ncmsg
drugog	drugi	Mlomsg
proračuna	proračun	Ncmsg
temeljem	temelj	Sg
prijenosa	prijenos	Ncmsg
EU	E	Npmsg
sredstava	sredstvo	Ncnpg
,	,	Z
96386	96386	Mdc
Kapitalne	kapitalan	Agpfsgy
pomoći	pomoć	Ncfsg
od	od	Sg
proračunskog	proračunski	Agpmsgy
korisnika	korisnik	Ncmsg
drugog	drugi	Mlomsg
proračuna	proračun	Ncmsg
temeljem	temelj	Sg
prijenosa	prijenos	Ncmsg
EU	E	Npmsg
sredstava	sredstvo	Ncnpg
,	,	Z
96387	96387	Mdc
Tekuće	tekući	Agpfsgy
pomoći	pomoć	Ncfsg
od	od	Sg
izvanproračunskog	izvanproračunski	Agpmsgy
korisnika	korisnik	Ncmsg
temeljem	temelj	Ncmsi
prijenosa	prijenos	Ncmsg
EU	E	Npmsg
sredstava	sredstvo	Ncnpg
i	i	Cc
96388	96388	Mdc
Kapitalne	kapitalan	Agpfsgy
pomoći	pomoć	Ncfsg
od	od	Sg
izvanproračunskog	izvanproračunski	Agpmsgy
korisnika	korisnik	Ncmsg
temeljem	temelj	Ncmsi
prijenosa	prijenos	Ncmsg
EU	E	Npmsg
sredstava	sredstvo	Ncnpg
;	;	Z

–	–	Z
briše	brisati	Vmr3s
se	sebe	Px--sa
odjeljak	odjeljak	Ncmsn
9671	9671	Mdc
Obračunati	obračunati	Agpmpny
prihodi	prihod	Ncmpn
iz	iz	Sg
proračuna	proračun	Ncmsg
za	za	Sa
financiranje	financiranje	Ncnsa
redovne	redovan	Agpfsgy
djelatnosti	djelatnost	Ncfsg
proračunskih	proračunski	Agpmpgy
korisnika	korisnik	Ncmpg
s	sa	Si
pripadajućim	pripadajući	Agpmpiy
osnovnim	osnovan	Agpmpiy
računima	račun	Ncmpi
96711	96711	Mdc
Prihodi	prihod	Ncmpn
za	za	Sa
financiranje	financiranje	Ncnsa
rashoda	rashod	Ncmpg
poslovanja	poslovanje	Ncnsg
,	,	Z
96712	96712	Mdc
Prihodi	prihod	Ncmpn
za	za	Sa
financiranje	financiranje	Ncnsa
rashoda	rashod	Ncmpg
za	za	Sa
nabavu	nabava	Ncfsa
nefinancijske	nefinancijski	Agpfsgy
imovine	imovina	Ncfsg
i	i	Cc
96714	96714	Mdc
Prihodi	prihod	Ncmpn
iz	iz	Sg
nadležnog	nadležan	Agpmsgy
proračuna	proračun	Ncmsg
za	za	Sa
financiranje	financiranje	Ncnsa
izdataka	izdatak	Ncmpg
za	za	Sa
financijsku	financijski	Agpfsay
imovinu	imovina	Ncfsa
i	i	Cc
otplatu	otplata	Ncfsa
zajmova	zajam	Ncmpg
.	.	Z

Članak	članak	Ncmsn
10.	10.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
U	u	Sl
popisu	popis	Ncmsl
stopa	stopa	Ncfsn
ispravka	ispravak	Ncmsg
vrijednosti	vrijednost	Ncfsg
dugotrajne	dugotrajan	Agpfsgy
imovine	imovina	Ncfsg
,	,	Z
koji	koji	Pi-msn
je	biti	Var3s
sastavni	sastavan	Agpmsny
dio	dio	Ncmsn
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
u	u	Sl
skupini	skupina	Ncfsl
sredstava	sredstvo	Ncnpg
II	ii	Mrc
.	.	Z

Oprema	oprema	Ncfsn
i	i	Cc
postrojenja	postrojenje	Ncnsg
dodaje	dodavati	Vmr3s
se	sebe	Px--sa
novi	nov	Agpmsny
redak	redak	Ncmsn
i	i	Cc
redni	redni	Agpmsny
broj	broj	Ncmsn
5.	5.	Mdo
:	:	Z

Red	red	Ncmsn
.	.	Z
br.	br.	Y

Naziv	naziv	Ncmsn
sredstva	sredstvo	Ncnsg
ili	ili	Cc
skupine	skupina	Ncfsg
sredstva	sredstvo	Ncnsg
Vijek	Vijek	Npmsn
trajanja	trajanje	Ncnsg
Godišnja	godišnji	Agpfsny
stopa	stopa	Ncfsn
(%)	(%)	Npfsn
5.	5.	Mdo
Znanstvena	znanstven	Agpfsny
oprema	oprema	Ncfsn
2	2	Mdc
50	50	Mdc

(	(	Z
2	2	Mdc
)	)	Z
Dosadašnji	dosadašnji	Agpmpny
redni	redni	Agpmpny
brojevi	broj	Ncmpn
5.	5.	Mdo
,	,	Z
6.	6.	Mdo
i	i	Cc
7.	7.	Mdo
postaju	postati	Vmr3p
redni	redni	Agpmpny
brojevi	broj	Ncmpn
6.	6.	Mdo
,	,	Z
7.	7.	Mdo
i	i	Cc
8.	8.	Mdo

PRIJELAZNE	prijelazan	Agpfpny
I	i	Cc
ZAVRŠNE	završan	Agpfpay
ODREDBE	odredba	Ncfpa

Članak	članak	Ncmsn
11.	11.	Mdo

Računovodstveno	računovodstveni	Agpnsny
evidentiranje	evidentiranje	Ncnsn
za	za	Sa
2016.	2016.	Mdo
godinu	godina	Ncfsa
obavit	obaviti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
prema	prema	Sl
odredbama	odredba	Ncfpl
Pravilnika	pravilnik	Ncmsg
o	o	Sl
proračunskom	proračunski	Agpnsly
računovodstvu	računovodstvo	Ncnsl
i	i	Cc
Računskom	računski	Agpmsly
planu	plan	Ncmsl
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
124/14	124/14	Mdc
i	i	Cc
115/15	115/15	Mds
)	)	Z
.	.	Z

Članak	članak	Ncmsn
12.	12.	Mdo

Ovaj	ovaj	Pd-msn
Pravilnik	pravilnik	Ncmsn
stupa	stupati	Vmr3s
na	na	Sa
snagu	snaga	Ncfsa
prvoga	prvi	Mlomsg
dana	dan	Ncmsg
od	od	Sg
dana	dan	Ncmsg
objave	objava	Ncfsg
u	u	Sl
»	»	Z
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
.	.	Z

Klasa	klasa	Ncfsn
:	:	Z
011	011	Mdc
-	-	Z
01/16	01/16	Mdc
-	-	Z
01/91	01/91	Mdc

Urbroj	urbroj	Ncmsn
:	:	Z
513	513	Mdc
-	-	Z
05	05	Mdc
-	-	Z
02	02	Mdc
-	-	Z
16	16	Mdc
-	-	Z
1	1	Mdc

Zagreb	Zagreb	Npmsn
,	,	Z
21.	21.	Mdo
rujna	rujan	Ncmsg
2016.	2016.	Mdo

Ministar	ministar	Ncmsn
financija	financije	Ncfpg
dr.	dr.	Y
sc.	sc.	Y
Zdravko	Zdravko	Npmsn
Marić	Marić	Npmsn
,	,	Z
v.	v.	Y
r.	r.	Y

