dostatno	dostatan	Agpnsny
Ustava	ustava	Ncfsn
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
člankom	članak	Ncmsi
45.	45.	Mdo
stavkom	stavak	Ncmsi
1.	1.	Mdo
Ustava	ustav	Ncmsg
)	)	Z
,	,	Z
dio	dio	Ncmsn
članka	članak	Ncmsg
14.	14.	Mdo

ZID-a	ZID	Npmsg
ZIZHS-a	ZIZHS	Npmsg
/	/	Z
2015	2015	Mdc
koji	koji	Pi-msn
se	sebe	Px--sa
odnosi	odnositi	Vmr3s
na	na	Sa
posljednju	posljednji	Agpfsay
rečenicu	rečenica	Ncfsa
stavka	stavak	Ncmsg
2.	2.	Mdo
članka	članak	Ncmsg
21.	21.	Mdo
a	a	Cc
ZIZHS-a	ZIZHS	Npmsg
.	.	Z

Odredba	odredba	Ncfsn
glasi	glasiti	Vmr3s
:	:	Z

‘	‘	Agpmsny
Članak	članak	Ncmsn
21.	21.	Mdo
a	a	Cc

(...)	(...)	I
...	...	Z

Lista	lista	Ncfsn
na	na	Sl
kojoj	koji	Pi-fsl
nije	biti	Var3s
zastupljeno	zastupiti	Appnsny
najmanje	malo	Rgs
40	40	Mdc
%	%	Z
pripadnika	pripadnik	Ncmpg
svakog	svaki	Pi-msg
spola	spol	Ncmsg
nije	biti	Var3s
pravovaljana	pravovaljan	Agpfsny
.	.	Z
«	«	Z

122.	122.	Mdo

Ustavni	ustavan	Agpmsny
sud	sud	Ncmsn
prvo	prvo	Rgp
primjećuje	primjećivati	Vmr3s
da	da	Cs
u	u	Sl
P.	P.	Y
Z.	Z.	Y
-	-	Z
u	u	Sl
br.	br.	Y
722/15	722/15	Mdc
nisu	biti	Var3p
ni	ni	Qo
jednom	jedan	Mlcfsi
riječju	riječ	Ncfsi
obrazloženi	obrazložiti	Appmpny
razlozi	razlog	Ncmpn
zbog	zbog	Sg
kojih	koji	Pi-mpg
je	biti	Var3s
predlagatelj	predlagatelj	Ncmsn
ZID-a	ZID	Npmsg
ZIZHS-a	ZIZHS	Npmsg
/	/	Z
2015	2015	Mdc
odlučio	odlučiti	Vmp-sm
predložiti	predložiti	Vmn
zakonsku	zakonski	Agpfsay
mjeru	mjera	Ncfsa
automatske	automatski	Agpfsgy
diskvalifikacije	diskvalifikacija	Ncfsg
kandidacijskih	kandidacijski	Agpfpgy
lista	lista	Ncfpg
iz	iz	Sg
izbornog	izborni	Agpnsgy
natjecanja	natjecanje	Ncnsg
ako	ako	Cs
na	na	Sl
listi	lista	Ncfsl
ne	ne	Qz
bude	biti	Var3s
zastupljeno	zastupiti	Appnsny
najmanje	malo	Rgs
40	40	Mdc
%	%	Z
pripadnika	pripadnik	Ncmpg
svakog	svaki	Pi-msg
spola	spol	Ncmsg
.	.	Z

Predlagatelj	predlagatelj	Ncmsn
ZID-a	ZID	Npmsg
ZIZHS-a	ZIZHS	Npmsg
/	/	Z
2015	2015	Mdc
to	taj	Pd-nsn
je	biti	Var3s
učinio	učiniti	Vmp-sm
tek	tek	Qo
u	u	Sl
svom	sav	Agpnsly
očitovanju	očitovanje	Ncnsl
koje	koji	Pi-nsa
je	biti	Var3s
uputio	uputiti	Vmp-sm
Ustavnom	ustavan	Agpmsdy
sudu	sud	Ncmsd
na	na	Sa
njegov	njegov	Ps3msan
zahtjev	zahtjev	Ncmsan
.	.	Z

Stoga	stoga	Rgp
se	sebe	Px--sa
i	i	Qo
kod	kod	Sg
ovog	ovaj	Pd-nsg
pitanja	pitanje	Ncnsg
treba	trebati	Vmr3s
pozvati	pozvati	Vmn
na	na	Sa
odluku	odluka	Ncfsa
Ustavnog	ustavan	Agpmsgy
suda	sud	Ncmsg
broj	broj	Ncmsn
:	:	Z
U-I-5345	U-I-5345	X
/	/	Z
2012	2012	Mdc
i	i	Cc
dr.	dr.	Y
od	od	Sg
23.	23.	Mdo
prosinca	prosinac	Ncmsg
2014.	2014.	Mdo
(	(	Z
v.	v.	Sa
točku	točka	Ncfsa
82.	82.	Mdo
)	)	Z
i	i	Cc
ponoviti	ponoviti	Vmn
da	da	Cs
je	biti	Var3s
neprihvatljivo	neprihvatljiv	Agpnsny
u	u	Sl
demokratskom	demokratski	Agpnsly
društvu	društvo	Ncnsl
utemeljenom	utemeljen	Agpmsly
na	na	Sl
vladavini	vladavina	Ncfsl
prava	pravo	Ncnpa
i	i	Cc
zaštiti	zaštita	Ncfsl
ustavnih	ustavan	Agpnpgy
prava	pravo	Ncnpg
podnositi	podnositi	Vmn
Hrvatskom	hrvatski	Agpmsdy
saboru	sabor	Ncmsd
prijedloge	prijedlog	Ncmpa
zakona	zakon	Ncmpg
koji	koji	Pi-mpn
ne	ne	Qz
sadržavaju	sadržavati	Vmr3p
dostatna	dostatan	Agpfsny
i	i	Cc
relevantna	relevantan	Agpnpay
obrazloženja	obrazloženje	Ncnpa
.	.	Z

123.	123.	Mdo

Iako	iako	Cs
nije	biti	Var3s
riječ	riječ	Ncfsn
o	o	Sl
usporedivim	usporediv	Agpmply
izborima	izbor	Ncmpl
ni	ni	Cc
institucionalno	institucionalno	Rgp
ni	ni	Cc
značenjski	značenjski	Agpmsayn
,	,	Z
na	na	Sl
ovom	ovaj	Pd-nsl
mjestu	mjesto	Ncnsl
treba	trebati	Vmr3s
podsjetiti	podsjetiti	Vmn
na	na	Sa
stajalište	stajalište	Ncnsa
ESLJP-a	ESLJP	Npmsg
izraženo	izraziti	Appnsny
u	u	Sl
njegovom	njegov	Agpnsly
Savjetodavnom	savjetodavan	Agpnsly
mišljenju	mišljenje	Ncnsl
koje	koji	Pi-nsn
se	sebe	Px--sa
odnosi	odnositi	Vmr3s
na	na	Sa
određena	određen	Agpnpay
pravna	pravni	Agpnpny
pitanja	pitanje	Ncnpn
vezana	vezan	Agpnpny
uz	uz	Sa
podnesene	podnesen	Agpfpay
liste	lista	Ncfpa
kandidata	kandidat	Ncmsg
za	za	Sa
izbor	izbor	Ncmsan
sudaca	sudac	Ncmpg
Europskog	europski	Agpmsgy
suda	sud	Ncmsg
za	za	Sa
ljudska	ljudski	Agpnpay
prava	pravo	Ncnpa
(	(	Z
Strasbourg	Strasbourg	Npmsn
,	,	Z
12.	12.	Mdo
veljače	veljača	Ncfsg
2008.	2008.	Mdo
)	)	Z
,	,	Z
jer	jer	Cs
je	biti	Var3s
riječ	riječ	Ncfsn
o	o	Sl
istom	isti	Agpnsly
principijelnom	principijelan	Agpnsly
pitanju	pitanje	Ncnsl
.	.	Z

Naime	naime	Qo
,	,	Z
kada	kada	Cs
je	biti	Var3s
ESLJP	ESLJP	Npmsn
razmatrao	razmatrati	Vmp-sm
pitanje	pitanje	Ncnsa
:	:	Z
može	moći	Vmr3s
li	li	Qq
lista	lista	Ncfsn
kandidata	kandidat	Ncmpg
za	za	Sa
dužnost	dužnost	Ncfsa
suca	sudac	Ncmsg
tog	taj	Pd-msg
suda	sud	Ncmsg
koji	koji	Pi-msn
zadovoljava	zadovoljavati	Vmr3s
mjerila	mjerilo	Ncnpa
propisana	propisati	Appfsny
člankom	članak	Ncmsi
21.	21.	Mdo

Konvencije	konvencija	Ncfsg
biti	biti	Van
odbijena	odbiti	Appfsny
samo	samo	Rgp
na	na	Sl
temelju	temelj	Ncmsl
razloga	razlog	Ncmpg
koji	koji	Pi-mpn
se	sebe	Px--sa
tiču	ticati	Vmr3p
spola	spol	Ncmsg
(	(	Z
gender-related	gender-related	Xf
issues	issues	Xf
)	)	Z
,	,	Z
odgovorio	odgovoriti	Vmp-sm
je	biti	Var3s
negativno	negativan	Agpnsny
.	.	Z

Mjerodavni	mjerodavan	Agpmsny
dio	dio	Ncmsn
mišljenja	mišljenje	Ncnsg
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
54.	54.	Mdo
...	...	Z

U	u	Sl
svakom	svaki	Pi-msl
slučaju	slučaj	Ncmsl
jasno	jasan	Agpnsny
je	biti	Var3s
da	da	Cs
nedopuštanjem	nedopuštanjati	Vmr1s
bilo	bilo	Qo
kakve	kakav	Pi-fsg
iznimke	iznimka	Ncfsg
od	od	Sg
pravila	pravilo	Ncnsg
da	da	Cs
podzastupljeni	podzastupljen	Agpmsayn
spol	spol	Ncmsan
mora	morati	Vmr3s
biti	biti	Van
zastupljen	zastupiti	Appmsnn
postojeća	postojeći	Agpfsny
praksa	praksa	Ncfsn
Parlamentarne	parlamentaran	Agpfsgy
skupštine	skupština	Ncfsg
nije	biti	Var3s
suglasna	suglasan	Agpfsny
Konvenciji	konvencija	Ncfsd
:	:	Z
gdje	gdje	Rgp
je	biti	Var3s
stranka	stranka	Ncfsn
ugovornica	ugovornica	Ncfpg
poduzela	poduzeti	Vmp-sf
sve	sav	Agpmpay
potrebne	potreban	Agpmpay
i	i	Cc
primjerene	primjeren	Agpmpay
korake	korak	Ncmpa
sa	sa	Sg
stajališta	stajalište	Ncnsg
osiguranja	osiguranje	Ncnsg
da	da	Cs
lista	lista	Ncfsn
sadržava	sadržavati	Vmr3s
kandidata	kandidat	Ncmsay
podzastupljenog	podzastupljen	Agpmsgy
spola	spol	Ncmsg
,	,	Z
ali	ali	Cc
neuspješno	neuspješno	Rgp
,	,	Z
...	...	Z

Skupština	skupština	Ncfsn
ne	ne	Qz
može	moći	Vmr3s
odbiti	odbiti	Vmn
tu	taj	Pd-fsa
listu	lista	Ncfsa
samo	samo	Rgp
na	na	Sl
osnovi	osnova	Ncfsl
toga	taj	Pd-nsg
što	što	Pi3n-a
nijedan	nijedan	Agpmsnn
kandidat	kandidat	Ncmsn
nema	nemati	Vmr3s
ta	taj	Pd-npa
obilježja	obilježje	Ncnpa
.	.	Z
«	«	Z

123.1.	123.1.	Mdo

Također	također	Rgp
treba	trebati	Vmr3s
podsjetiti	podsjetiti	Vmn
da	da	Cs
se	sebe	Px--sa
o	o	Sl
problemima	problem	Ncmpl
vezanim	vezan	Agpmply
uz	uz	Sa
spol	spol	Ncmsan
kandidata	kandidat	Ncmpg
na	na	Sl
listama	lista	Ncfpl
kandidata	kandidat	Ncmpg
za	za	Sa
dužnost	dužnost	Ncfsa
suca	sudac	Ncmsg
ESLJP-a	ESLJP	Npmsg
raspravljalo	raspravljati	Vmp-sn
i	i	Cc
u	u	Sl
tijeku	tijek	Ncmsl
postupka	postupak	Ncmsg
pripreme	priprema	Ncfsg
Protokola	Protokol	Npmsg
br.	br.	Y
14	14	Mdc
uz	uz	Sa
Konvenciju	konvencija	Ncfsa
.	.	Z

Međutim	međutim	Rgp
,	,	Z
u	u	Sl
postupku	postupak	Ncmsl
njegova	njegov	Ps3nsg
donošenja	donošenje	Ncnsg
odustalo	odustati	Vmp-sn
se	sebe	Px--sa
od	od	Sg
izmjene	izmjena	Ncfsg
članka	članak	Ncmsg
22.	22.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
Konvencije	konvencija	Ncfsg
,	,	Z
to	taj	Pd-nsn
jest	biti	Var3s
od	od	Sg
obveze	obveza	Ncfsg
da	da	Cs
lista	lista	Ncfsn
triju	trio	Ncmsd
kandidata	kandidat	Ncmpg
koje	koji	Pi-mpa
nominira	nominirati	Vmr3s
država	država	Ncfsn
stranka	stranka	Ncfsn
treba	trebati	Vmr3s
sadržavati	sadržavati	Vmn
kandidate	kandidat	Ncmpa
obaju	oba	Ncfsa
spolova	spol	Ncmpg
.	.	Z

U	u	Sl
obrazloženju	obrazloženje	Ncnsl
Protokola	Protokol	Npmsg
to	taj	Pd-nsn
je	biti	Var3s
odustajanje	odustajanje	Ncnsn
objašnjeno	objasniti	Appnsny
činjenicom	činjenica	Ncfsi
da	da	Cs
bi	biti	Vaa3s
takav	takav	Pd-msn
zahtjev	zahtjev	Ncmsn

