alate	alat	Ncmpa
ZA	za	Sa
POMORSTVO	pomorstvo	Ncnsa
I	i	Cc
RIBARSTVO	ribarstvo	Ncnsa
REPUBLIKE	republika	Ncfsg
HRVATSKE	Hrvatska	Npfsg
ZA	za	Sa
PROGRAMSKO	programski	Agpnsay
RAZDOBLJE	razdoblje	Ncnsa
2014.	2014.	Mdo
–	–	Z
2020.	2020.	Mdo

I.	I.	Pd-mpn
Opći	opći	Agpmpny
kriteriji	kriterij	Ncmpn

Broj	broj	Ncmsn
bodova	bod	Ncmpg
Segment	segment	Ncmsn
ribolova	ribolov	Ncmpg
PS	ps	Agpmsny
segment	segment	Ncmsn
8	8	Mdc
DTS	dts	Agpmsny
segment	segment	Ncmsn
5	5	Mdc
Godine	godina	Ncfsg
starosti	starost	Ncfsg
plovila	plovilo	Ncnsg
≥	≥	Z
30	30	Mdc
≤	≤	Z
50	50	Mdc
godina	godina	Ncfpg
0,5	0,5	Mdc
za	za	Sa
svaku	svaki	Pi-fsa
godinu	godina	Ncfsa
>	>	Z
50	50	Mdc
godina	godina	Ncfpg
1	1	Mdc
za	za	Sa
svaku	svaki	Pi-fsa
godinu	godina	Ncfsa
,	,	Z
najviše	mnogo	Rgs
15	15	Mdc
NAPOMENA	napomena	Ncfpg
:	:	Z
Polazna	polazan	Agpfsny
godina	godina	Ncfsn
za	za	Sa
računanje	računanje	Ncnsa
bodova	bod	Ncmpg
u	u	Sl
okviru	okvir	Ncmsl
ovog	ovaj	Pd-msg
kriterija	kriterij	Ncmsg
je	biti	Var3s
30.	30.	Mdo
godina	godina	Ncfsn
starosti	starost	Ncfsg
.	.	Z

Ukupna	ukupan	Agpfsny
ribolovna	ribolovan	Agpfsny
aktivnost	aktivnost	Ncfsn
u	u	Sl
razdoblju	razdoblje	Ncnsl
od	od	Sg
dvije	dva	Mlcf-n
kalendarske	kalendarski	Agpfsgy
godine	godina	Ncfsg
koje	koji	Pi-fpn
prethode	prethoditi	Vmr3p
godini	godina	Ncfsl
podnošenja	podnošenje	Ncnsg
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
potporu	potpora	Ncfsa
>	>	Z
360	360	Mdc
dana	dan	Ncmpg
7	7	Mdc
>	>	Z
250	250	Mdc
≤	≤	Z
360	360	Mdc
dana	dan	Ncmpg
6	6	Mdc
≥	≥	Z
180	180	Mdc
≤	≤	Z
250	250	Mdc
dana	dan	Ncmpg
5	5	Mdc

II	ii	Mrc
.	.	Z

Kriteriji	kriterij	Ncmpn
prema	prema	Sl
segmentima	segment	Ncmpl

Za	za	Sa
DTS	dts	Agpmsayn
segment	segment	Ncmsan
Segment	segment	Ncmsan
0	0	Mdc
–	–	Z
12	12	Mdc
Bruto	Brut	Npmpg
tonaža	tonaža	Ncfpg
>	>	Z
25	25	Mdc
GT	GT	Y
15	15	Mdc
>	>	Z
10	10	Mdc
≤	≤	Z
25	25	Mdc
GT	GT	Y
13	13	Mdc
≥	≥	Z
5	5	Mdc
≤	≤	Z
10	10	Mdc
GT	GT	Y
11	11	Mdc
<	<	Z
5	5	Mdc
GT	GT	Y
9	9	Mdc
Snaga	snaga	Ncfsn
pogonskog	pogonski	Agpmsgy
stroja	stroj	Ncmsg
>	>	Z
150	150	Mdc
kW	kW	Y
10	10	Mdc
>	>	Z
100	100	Mdc
≤	≤	Z
150	150	Mdc
kW	kW	Y
8	8	Mdc
≥	≥	Z
30	30	Mdc
≤	≤	Z
100	100	Mdc
kW	kW	Y
6	6	Mdc
<	<	Z
30	30	Mdc
kW	kW	Y
3	3	Mdc
Količina	količina	Ncfsn
ulova	ulov	Ncmpg
u	u	Sl
razdoblju	razdoblje	Ncnsl
dvije	dva	Mlcf-a
kalendarske	kalendarski	Agpfsgy
godine	godina	Ncfsg
(	(	Z
ukupno	ukupno	Rgp
)	)	Z
koje	koji	Pi-nsn
prethode	prethoditi	Vmr3p
godini	godina	Ncfsl
podnošenja	podnošenje	Ncnsg
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
potporu	potpora	Ncfsa
>	>	Z
25.000	25.000	Mdc
kg	kg	Ncmpg
15	15	Mdc
>	>	Z
10.000	10.000	Mdc
≤	≤	Z
25.000	25.000	Mdc
kg	kg	Ncmpg
13	13	Mdc
≥	≥	Z
4.000	4.000	Mdc
≤	≤	Z
10.000	10.000	Mdc
kg	kg	Ncmpg
11	11	Mdc
<	<	Z
4.000	4.000	Mdc
kg	kg	Y
9	9	Mdc
Segment	segment	Ncmsn
12	12	Mdc
-	-	Z
18	18	Mdc
Bruto	bruto	Agpfpgy
tonaža	tonaža	Ncfpg
>	>	Z
60	60	Mdc
GT	GT	Y
15	15	Mdc
>	>	Z
25	25	Mdc
≤	≤	Z
60	60	Mdc
GT	GT	Y
13	13	Mdc
≥	≥	Z
5	5	Mdc
≤	≤	Z
25	25	Mdc
GT	GT	Y
11	11	Mdc
<	<	Z
5	5	Mdc
GT	GT	Y
9	9	Mdc
Snaga	snaga	Ncfsn
pogonskog	pogonski	Agpmsgy
stroja	stroj	Ncmsg
>	>	Z
400	400	Mdc
kW	kW	Y
10	10	Mdc
>	>	Z
200	200	Mdc
≤	≤	Z
400	400	Mdc
kW	kW	Y
8	8	Mdc
≥	≥	Z
110	110	Mdc
≤	≤	Z
200	200	Mdc
kW	kW	Y
6	6	Mdc
<	<	Z
110	110	Mdc
kW	kW	Y
3	3	Mdc
Količina	količina	Ncfsn
ulova	ulov	Ncmpg
u	u	Sl
razdoblju	razdoblje	Ncnsl
dvije	dva	Mlcf-a
kalendarske	kalendarski	Agpfsgy
godine	godina	Ncfsg
(	(	Z
ukupno	ukupno	Rgp
)	)	Z
koje	koji	Pi-nsn
prethode	prethoditi	Vmr3p
godini	godina	Ncfsl
podnošenja	podnošenje	Ncnsg
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
potporu	potpora	Ncfsa
>	>	Z
80.000	80.000	Mdc
kg	kg	Ncmpg
15	15	Mdc
>	>	Z
50.000	50.000	Mdc
≤	≤	Z
80.000	80.000	Mdc
kg	kg	Agpmsgy
13	13	Mdc
≥	≥	Z
20.000	20.000	Mdc
≤	≤	Z
50.000	50.000	Mdc
kg	kg	Agpmsgy
11	11	Mdc
<	<	Z
20.000	20.000	Mdc
kg	kg	Y
9	9	Mdc
Segment	segment	Ncmsn
18	18	Mdc
–	–	Z
24	24	Mdc
Bruto	bruto	Agpfpgy
tonaža	tonaža	Ncfpg
>	>	Z
150	150	Mdc
GT	GT	Y
15	15	Mdc
>	>	Z
100	100	Mdc
≤	≤	Z
150	150	Mdc
GT	GT	Y
13	13	Mdc
≥	≥	Z
50	50	Mdc
≤	≤	Z
100	100	Mdc
GT	GT	Y
11	11	Mdc
<	<	Z
50	50	Mdc
GT	GT	Y
9	9	Mdc
Snaga	snaga	Ncfpg
pogonskog	pogonski	Agpmsgy
stroja	stroj	Ncmsg
>	>	Z
400	400	Mdc
kW	kW	Y
10	10	Mdc
>	>	Z
300	300	Mdc
≤	≤	Z
400	400	Mdc
kW	kW	Y
8	8	Mdc
≥	≥	Z
220	220	Mdc
≤	≤	Z
300	300	Mdc
kW	kW	Y
6	6	Mdc
<	<	Z
220	220	Mdc
kW	kW	Y
3	3	Mdc
Količina	količina	Ncfsn
ulova	ulov	Ncmpg
u	u	Sl
razdoblju	razdoblje	Ncnsl
dvije	dva	Mlcf-a
kalendarske	kalendarski	Agpfsgy
godine	godina	Ncfsg
(	(	Z
ukupno	ukupno	Rgp
)	)	Z
koje	koji	Pi-nsn
prethode	prethoditi	Vmr3p
godini	godina	Ncfsl
podnošenja	podnošenje	Ncnsg
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
potporu	potpora	Ncfsa
>	>	Z
100.000	100.000	Mdc
kg	kg	Ncmpg
15	15	Mdc
>	>	Z
50.000	50.000	Mdc
≤	≤	Z
100.000	100.000	Mdc
kg	kg	Agpmsgy
13	13	Mdc
≥	≥	Z
30.000	30.000	Mdc
≤	≤	Z
50.000	50.000	Mdc
kg	kg	Agpmsgy
11	11	Mdc
<	<	Z
30.000	30.000	Mdc
kg	kg	Ncmpg
9	9	Mdc
Segment	segment	Ncmsn
>	>	Z
24	24	Mdc
Bruto	bruto	Agpfpgy
tonaža	tonaža	Ncfpg
>	>	Z
350	350	Mdc
GT	GT	Y
15	15	Mdc
>	>	Z
200	200	Mdc
≤	≤	Z
350	350	Mdc
GT	GT	Y
13	13	Mdc
≥	≥	Z
100	100	Mdc
≤	≤	Z
200	200	Mdc
GT	GT	Y
11	11	Mdc
<	<	Z
100	100	Mdc
GT	GT	Y
9	9	Mdc
Snaga	snaga	Ncfsn
pogonskog	pogonski	Agpmsgy
stroja	stroj	Ncmsg
>	>	Z
700	700	Mdc
kW	kW	Y
10	10	Mdc
>	>	Z
550	550	Mdc
≤	≤	Z
700	700	Mdc
kW	kW	Y
8	8	Mdc
≥	≥	Z
400	400	Mdc
≤	≤	Z
550	550	Mdc
kW	kW	Y
6	6	Mdc
<	<	Z
400	400	Mdc
kW	kW	Y
3	3	Mdc
Količina	količina	Ncfsn
ulova	ulov	Ncmpg
u	u	Sl
razdoblju	razdoblje	Ncnsl
dvije	dva	Mlcf-a
kalendarske	kalendarski	Agpfsgy
godine	godina	Ncfsg
(	(	Z
ukupno	ukupno	Rgp
)	)	Z
koje	koji	Pi-nsn
prethode	prethoditi	Vmr3p
godini	godina	Ncfsl
podnošenja	podnošenje	Ncnsg
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
potporu	potpora	Ncfsa
>	>	Z
250.000	250.000	Mdc
kg	kg	Ncmpg
15	15	Mdc
>	>	Z
150.000	150.000	Mdc
≤	≤	Z
250.000	250.000	Mdc
kg	kg	Agpmsgy
13	13	Mdc
≥	≥	Z
60.000	60.000	Mdc
≤	≤	Z
150.000	150.000	Mdc
kg	kg	Agpmsgy
11	11	Mdc
<	<	Z
60.000	60.000	Mdc
kg	kg	Y
9	9	Mdc
Za	za	Sa
PS	PS	Npmsan
Segment	segment	Ncmsan
0	0	Mdc
–	–	Z
12	12	Mdc
Bruto	Brut	Npmpg
tonaža	tonaža	Ncfpg
>	>	Z
25	25	Mdc
GT	GT	Y
15	15	Mdc
>	>	Z
10	10	Mdc
≤	≤	Z
25	25	Mdc
GT	GT	Y
13	13	Mdc
≥	≥	Z
5	5	Mdc
≤	≤	Z
10	10	Mdc
GT	GT	Y
11	11	Mdc
<	<	Z
5	5	Mdc
GT	GT	Y
9	9	Mdc
Snaga	snaga	Ncfsn
pogonskog	pogonski	Agpmsgy
stroja	stroj	Ncmsg
>	>	Z
150	150	Mdc
kW	kW	Y
10	10	Mdc
>	>	Z
100	100	Mdc
≤	≤	Z
150	150	Mdc
kW	kW	Y
8	8	Mdc
≥	≥	Z
30	30	Mdc
≤	≤	Z
100	100	Mdc
kW	kW	Y
6	6	Mdc
<	<	Z
30	30	Mdc
kW	kW	Y
3	3	Mdc
Količina	količina	Ncfsn
ulova	ulov	Ncmpg
u	u	Sl
razdoblju	razdoblje	Ncnsl
dvije	dva	Mlcf-a
kalendarske	kalendarski	Agpfsgy
godine	godina	Ncfsg
(	(	Z
ukupno	ukupno	Rgp
)	)	Z
koje	koji	Pi-nsn
prethode	prethoditi	Vmr3p
godini	godina	Ncfsl
podnošenja	podnošenje	Ncnsg
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
potporu	potpora	Ncfsa
>	>	Z
50.000	50.000	Mdc
kg	kg	Ncmpg
15	15	Mdc
>	>	Z
20.000	20.000	Mdc
≤	≤	Z
50.000	50.000	Mdc
kg	kg	Ncmpg
13	13	Mdc
≥	≥	Z
5.000	5.000	Mdc
≤	≤	Z
20.000	20.000	Mdc
kg	kg	Ncmpg
11	11	Mdc
<	<	Z
5.000	5.000	Mdc
kg	kg	Y
9	9	Mdc
Segment	segment	Ncmsn
12	12	Mdc
–	–	Z
18	18	Mdc
Bruto	bruto	Agpfpgy
tonaža	tonaža	Ncfpg
>	>	Z
60	60	Mdc
GT	GT	Y
15	15	Mdc
>	>	Z
45	45	Mdc
≤	≤	Z
60	60	Mdc
GT	GT	Y
13	13	Mdc
≥	≥	Z
15	15	Mdc
≤	≤	Z
45	45	Mdc
GT	GT	Y
11	11	Mdc
<	<	Z
15	15	Mdc
GT	GT	Y
9	9	Mdc
Snaga	snaga	Ncfpg
pogonskog	pogonski	Agpmsgy
stroja	stroj	Ncmsg
>	>	Z
300	300	Mdc
kW	kW	Y
10	10	Mdc
>	>	Z
200	200	Mdc
≤	≤	Z
300	300	Mdc
kW	kW	Y
8	8	Mdc
≥	≥	Z
100	100	Mdc
≤	≤	Z
200	200	Mdc
kW	kW	Y
6	6	Mdc
<	<	Z
100	100	Mdc
kW	kW	Y
3	3	Mdc
Količina	količina	Ncfsn
ulova	ulov	Ncmpg
u	u	Sl
razdoblju	razdoblje	Ncnsl
dvije	dva	Mlcf-a
kalendarske	kalendarski	Agpfsgy
godine	godina	Ncfsg
(	(	Z
ukupno	ukupno	Rgp
)	)	Z
koje	koji	Pi-nsn
prethode	prethoditi	Vmr3p
godini	godina	Ncfsl
podnošenja	podnošenje	Ncnsg
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
potporu	potpora	Ncfsa
>	>	Z
1.500.000	1.500.000	Mdc
kg	kg	Agpmsgy
15	15	Mdc
>	>	Z
500.000	500.000	Mdc
≤	≤	Z
1.500.000	1.500.000	Mdc
kg	kg	Agpmsgy
13	13	Mdc
≥	≥	Z
100.000	100.000	Mdc
≤	≤	Z
500.000	500.000	Mdc
kg	kg	Ncmpg
11	11	Mdc
<	<	Z
100.000	100.000	Mdc
kg	kg	Y
9	9	Mdc
Segment	segment	Ncmsn
18	18	Mdc
–	–	Z
24	24	Mdc
Bruto	bruto	Agpfpgy
tonaža	tonaža	Ncfpg
>	>	Z
150	150	Mdc
GT	GT	Y
15	15	Mdc
>	>	Z
100	100	Mdc
≤	≤	Z
150	150	Mdc
GT	GT	Y
13	13	Mdc
≥	≥	Z
50	50	Mdc
≤	≤	Z
100	100	Mdc
GT	GT	Y
11	11	Mdc
<	<	Z
50	50	Mdc
GT	GT	Y
9	9	Mdc
Snaga	snaga	Ncfpg
pogonskog	pogonski	Agpmsgy
stroja	stroj	Ncmsg
>	>	Z
1.000	1.000	Mdc
kW	kW	Y
10	10	Mdc
>	>	Z
500	500	Mdc
≤	≤	Z
1.000	1.000	Mdc
kW	kW	Y
8	8	Mdc
≥	≥	Z
250	250	Mdc
≤	≤	Z
500	500	Mdc
kW	kW	Y
6	6	Mdc
<	<	Z
250	250	Mdc
kW	kW	Y
3	3	Mdc
Količina	količina	Ncfsn
ulova	ulov	Ncmpg
u	u	Sl
razdoblju	razdoblje	Ncnsl
dvije	dva	Mlcf-a
kalendarske	kalendarski	Agpfsgy
godine	godina	Ncfsg
(	(	Z
ukupno	ukupno	Rgp
)	)	Z
koje	koji	Pi-nsn
prethode	prethoditi	Vmr3p
godini	godina	Ncfsl
podnošenja	podnošenje	Ncnsg
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
potporu	potpora	Ncfsa
>	>	Z
1.800.000	1.800.000	Mdc
kg	kg	Agpmsgy
15	15	Mdc
>	>	Z
1.200.000	1.200.000	Mdc
≤	≤	Z
1.800.000	1.800.000	Mdc
kg	kg	Agpmsgy
13	13	Mdc
≥	≥	Z
600.000	600.000	Mdc
≤	≤	Z
1.200.000	1.200.000	Mdc
kg	kg	Agpmsgy
11	11	Mdc
<	<	Z
600.000	600.000	Mdc
kg	kg	Y
9	9	Mdc
Segment	segment	Ncmsn
>	>	Z
24	24	Mdc
Bruto	bruto	Agpfpgy
tonaža	tonaža	Ncfpg
>	>	Z
350	350	Mdc
GT	GT	Y
15	15	Mdc
>	>	Z
220	220	Mdc
≤	≤	Z
350	350	Mdc
GT	GT	Y
13	13	Mdc
≥	≥	Z
120	120	Mdc
≤	≤	Z
220	220	Mdc
GT	GT	Y
11	11	Mdc
<	<	Z
120	120	Mdc
GT	GT	Y
9	9	Mdc
Snaga	snaga	Ncfsn
pogonskog	pogonski	Agpmsgy
stroja	stroj	Ncmsg
>	>	Z
1.500	1.500	Mdc
kW	kW	Y
10	10	Mdc
>	>	Z
900	900	Mdc
≤	≤	Z
1.500	1.500	Mdc
kW	kW	Y
8	8	Mdc
≥	≥	Z
300	300	Mdc
≤	≤	Z
900	900	Mdc
kW	kW	Y
6	6	Mdc
<	<	Z
300	300	Mdc
kW	kW	Y
3	3	Mdc
Količina	količina	Ncfsn
ulova	ulov	Ncmpg
u	u	Sl
razdoblju	razdoblje	Ncnsl
dvije	dva	Mlcf-a
kalendarske	kalendarski	Agpfsgy
godine	godina	Ncfsg
(	(	Z
ukupno	ukupno	Rgp
)	)	Z
koje	koji	Pi-nsn
prethode	prethoditi	Vmr3p
godini	godina	Ncfsl
podnošenja	podnošenje	Ncnsg
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
potporu	potpora	Ncfsa
>	>	Z

