raspisuje	raspisivati	Vmr3s
se	sebe	Px--sa
vrijeme	vrijeme	Ncnsn
zaprimanja	zaprimanje	Ncnsg
u	u	Sl
Agenciji	agencija	Ncfsl
za	za	Sa
plaćanja	plaćanje	Ncnpa
.	.	Z

Obrazac	obrazac	Ncmsn
zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa

Članak	članak	Ncmsn
13.	13.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Zahtjev	zahtjev	Ncmsan
za	za	Sa
potporu	potpora	Ncfsa
mora	morati	Vmr3s
biti	biti	Van
dostavljen	dostaviti	Appmsnn
na	na	Sl
obrascu	obrazac	Ncmsl
propisanom	propisati	Appmsly
u	u	Sl
tekstu	tekst	Ncmsl
natječaja	natječaj	Ncmsg
i	i	Cc
u	u	Sl
formatu	format	Ncmsl
preuzetom	preuzet	Agpmsly
na	na	Sl
mrežnim	mrežni	Agpfply
stranicama	stranica	Ncfpl
Agencije	agencija	Ncfsg
za	za	Sa
plaćanja	plaćanje	Ncnpa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Zahtjev	zahtjev	Ncmsan
za	za	Sa
potporu	potpora	Ncfsa
mora	morati	Vmr3s
biti	biti	Van
potpisan	potpisati	Appmsnn
od	od	Sg
strane	strana	Ncfsg
odgovorne	odgovoran	Agpfsgy
osobe	osoba	Ncfsg
korisnika	korisnik	Ncmpg
.	.	Z

Administrativna	administrativan	Agpfsny
kontrola	kontrola	Ncfsn
zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa

Članak	članak	Ncmsn
14.	14.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Zahtjevi	zahtjev	Ncmpn
za	za	Sa
potporu	potpora	Ncfsa
pristigli	pristići	Vmp-pm
po	po	Sl
objavljenom	objavljen	Agpmsly
natječaju	natječaj	Ncmsl
iz	iz	Sg
članka	članak	Ncmsg
12.	12.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
obrađuju	obrađivati	Vmr3p
se	sebe	Px--sa
po	po	Sl
redoslijedu	redoslijed	Ncmsl
zaprimanja	zaprimanje	Ncnsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Prilikom	prilikom	Sg
administrativne	administrativan	Agpfsgy
kontrole	kontrola	Ncfsg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
utvrđuje	utvrđivati	Vmr3s
se	sebe	Px--sa
pravovremenost	pravovremenost	Ncfsn
,	,	Z
potpunost	potpunost	Ncfsn
,	,	Z
udovoljavanje	udovoljavanje	Ncnsa
propisanim	propisati	Agpmpiy
uvjetima	uvjet	Ncmpi
i	i	Cc
kriterijima	kriterij	Ncmpi
,	,	Z
broj	broj	Ncmsn
bodova	bod	Ncmpg
sukladno	sukladno	Rgp
kriterijima	kriterij	Ncmpd
odabira	odabir	Ncmsg
te	te	Cc
maksimalni	maksimalan	Agpmsayn
iznos	iznos	Ncmsan
prihvatljivih	prihvatljiv	Agpmpgy
troškova	trošak	Ncmpg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Nakon	nakon	Sg
administrativne	administrativan	Agpfsgy
kontrole	kontrola	Ncfsg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
izradit	izraditi	Vmn
će	htjeti	Var3s
rang-listu	rang-lista	Ncfsa
sukladno	sukladno	Rgp
članku	članak	Ncmsd
15.	15.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Nepravovremeni	nepravovremen	Agpmpny
zahtjevi	zahtjev	Ncmpn
za	za	Sa
potporu	potpora	Ncfsa
neće	htjeti	Var3s
se	sebe	Px--sa
razmatrati	razmatrati	Vmn
.	.	Z

Ukoliko	ukoliko	Cs
je	biti	Var3s
zahtjev	zahtjev	Ncmsn
za	za	Sa
potporu	potpora	Ncfsa
nepravovremen	nepravovremen	Agpmsnn
,	,	Z
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
donijet	donijeti	Vmn
će	htjeti	Var3p
sukladno	sukladno	Rgp
članku	članak	Ncmsd
14.	14.	Mdo
stavku	stavak	Ncmsl
1.	1.	Mdo
Zakona	zakon	Ncmsg
o	o	Sl
poljoprivredi	poljoprivreda	Ncfsl
odluku	odluka	Ncfsa
o	o	Sl
odbijanju	odbijanje	Ncnsl
zahtjeva	zahtjev	Ncmpg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Za	za	Sa
zahtjeve	zahtjev	Ncmpa
za	za	Sa
potporu	potpora	Ncfsa
koji	koji	Pi-mpn
nisu	biti	Var3p
podneseni	podnijeti	Appmpny
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
13.	13.	Mdo

Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
će	htjeti	Var3s
donijeti	donijeti	Vmn
odluku	odluka	Ncfsa
o	o	Sl
odbijanju	odbijanje	Ncnsl
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Ako	ako	Cs
je	biti	Var3s
zahtjev	zahtjev	Ncmsn
za	za	Sa
potporu	potpora	Ncfsa
nepotpun	nepotpun	Agpmsnn
ili	ili	Cc
ako	ako	Cs
je	biti	Var3s
potrebno	potreban	Agpnsny
tražiti	tražiti	Vmn
dodatna	dodatan	Agpnpay
obrazloženja	obrazloženje	Ncnpa
/	/	Z
ispravke	ispravka	Ncfsg
vezane	vezan	Agpfsgy
uz	uz	Sa
dostavljenu	dostaviti	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
,	,	Z
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
će	htjeti	Var3s
korisniku	korisnik	Ncmsd
uputiti	uputiti	Vmn
zahtjev	zahtjev	Ncmsan
za	za	Sa
dopunu	dopuna	Ncfsa
/	/	Z
obrazloženje	obrazloženje	Ncnsa
/	/	Z
ispravak	ispravak	Ncmsan
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
zahtjev	zahtjev	Ncmsn
za	za	Sa
dopunu	dopuna	Ncfsa
)	)	Z
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Korisnik	korisnik	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
dostaviti	dostaviti	Vmn
traženu	tražen	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
preporučenom	preporučiti	Agpfsiy
pošiljkom	pošiljka	Ncfsi
s	sa	Si
povratnicom	povratnica	Ncfsi
ili	ili	Cc
osobno	osobno	Rgp
u	u	Sa
Agenciju	agencija	Ncfsa
za	za	Sa
plaćanja	plaćanje	Ncnpa
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
deset	deset	Mlc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
zaprimanja	zaprimanje	Ncnsg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
dopunu	dopuna	Ncfsa
.	.	Z

(	(	Z
8	8	Mdc
)	)	Z
Danom	dan	Agpnsly
zaprimanja	zaprimanje	Ncnsg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
dopunu	dopuna	Ncfsa
iz	iz	Sg
stavka	stavak	Ncmsg
6.	6.	Mdo
ovog	ovaj	Pd-msg
članka	članak	Ncmsg
smatra	smatrati	Vmr3s
se	sebe	Px--sa
dan	dan	Ncmsn
koji	koji	Pi-msn
je	biti	Var3s
naznačen	naznačiti	Appmsnn
na	na	Sl
povratnici	povratnica	Ncfsl
o	o	Sl
zaprimanju	zaprimanje	Ncnsl
preporučene	preporučiti	Agpfsgy
pošiljke	pošiljka	Ncfsg
.	.	Z

(	(	Z
9	9	Mdc
)	)	Z
Ako	ako	Cs
korisnik	korisnik	Ncmsn
nije	biti	Var3s
preuzeo	preuzeti	Vmp-sm
zahtjev	zahtjev	Ncmsan
za	za	Sa
dopunu	dopuna	Ncfsa
prilikom	prilikom	Sg
prve	prvi	Mlofsg
dostave	dostava	Ncfsg
,	,	Z
dostava	dostava	Ncfsn
preporučene	preporučiti	Agpfsgy
pošiljke	pošiljka	Ncfsg
bit	biti	Van
će	htjeti	Var3s
ponovljena	ponoviti	Appfsny
još	još	Rgp
jednom	jednom	Rgp
.	.	Z

Ako	ako	Cs
korisnik	korisnik	Ncmsn
ne	ne	Qz
preuzme	preuzeti	Vmr3s
zahtjev	zahtjev	Ncmsan
za	za	Sa
dopunu	dopuna	Ncfsa
niti	niti	Cc
nakon	nakon	Sg
ponovljene	ponoviti	Agpfsgy
dostave	dostava	Ncfsg
,	,	Z
zahtjev	zahtjev	Ncmsan
za	za	Sa
dopunu	dopuna	Ncfsa
će	htjeti	Var3s
se	sebe	Px--sa
objaviti	objaviti	Vmn
na	na	Sl
oglasnoj	oglasni	Agpfsly
ploči	ploča	Ncfsl
u	u	Sl
sjedištu	sjedište	Ncnsl
Agencije	agencija	Ncfsg
za	za	Sg
plaćanja	plaćanje	Ncnsg
te	te	Cc
će	htjeti	Var3s
se	sebe	Px--sa
dostava	dostava	Ncfsn
smatrati	smatrati	Vmn
obavljenom	obaviti	Ncfsi
istekom	istek	Sg
osmoga	osmi	Mlomsg
dana	dan	Ncmsg
od	od	Sg
dana	dan	Ncmsg
stavljanja	stavljanje	Ncnsg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
dopunu	dopuna	Ncfsa
na	na	Sa
oglasnu	oglasni	Agpfsay
ploču	ploča	Ncfsa
Agencije	agencija	Ncfsg
za	za	Sa
plaćanja	plaćanje	Ncnpa
.	.	Z

(	(	Z
10	10	Mdc
)	)	Z
Danom	dan	Agpnsly
podnošenja	podnošenje	Ncnsg
potpunog	potpun	Agpmsgy
zahtjeva	zahtjev	Ncmsg
za	za	Sa
potporu	potpora	Ncfsa
smatra	smatrati	Vmr3s
se	sebe	Px--sa
dan	dan	Ncmsn
dostave	dostava	Ncfsg
propisane	propisati	Appfsgy
dokumentacije	dokumentacija	Ncfsg
i	i	Cc
/	/	Z
ili	ili	Cc
propisanih	propisati	Appmpgy
podataka	podatak	Ncmpg
iz	iz	Sg
stavka	stavak	Ncmsg
6.	6.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

(	(	Z
11	11	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
korisnik	korisnik	Ncmsn
ne	ne	Qz
postupi	postupiti	Vmr3s
sukladno	sukladno	Rgp
stavku	stavak	Ncmsl
7.	7.	Mdo
ovog	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
donijet	donijeti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
odluka	odluka	Ncfsn
o	o	Sl
odbijanju	odbijanje	Ncnsl
.	.	Z

Rangiranje	rangiranje	Ncnsn
zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa

Članak	članak	Ncmsn
15.	15.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Nakon	nakon	Sg
administrativne	administrativan	Agpfsgy
kontrole	kontrola	Ncfsg
pristiglih	pristigao	Agpmpgy
zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
,	,	Z
za	za	Sa
sve	sav	Agpmpay
potpune	potpun	Agpmpay
,	,	Z
pravovremene	pravovremen	Agpmpay
i	i	Cc
prihvatljive	prihvatljiv	Agpmpay
zahtjeve	zahtjev	Ncmpa
za	za	Sa
potporu	potpora	Ncfsa
formira	formirati	Vmr3s
se	sebe	Px--sa
rang-lista	rang-lista	Ncfsn
sukladno	sukladno	Rgp
kriterijima	kriterij	Ncmpd
odabira	odabir	Ncmsg
koji	koji	Pi-mpn
su	biti	Var3p
navedeni	navesti	Appmpny
u	u	Sl
Prilogu	Prilog	Npmsl
I.	ia	Ncfsl
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
da	da	Cs
dva	dva	Mlc
ili	ili	Cc
više	mnogo	Rgc
zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
imaju	imati	Vmr3p
jednaki	jednak	Agpmsayn
broj	broj	Ncmsan
bodova	bod	Ncmpg
,	,	Z
prednost	prednost	Ncfsn
na	na	Sl
rang-listi	rang-lista	Ncfsl
imaju	imati	Vmr3p
zahtjevi	zahtjev	Ncmpn
s	sa	Si
ranijim	raniji	Agpnsiy
vremenom	vrijeme	Ncnsi
podnošenja	podnošenje	Ncnsg
potpunog	potpun	Agpmsgy
zahtjeva	zahtjev	Ncmsg
za	za	Sa
potporu	potpora	Ncfsa
na	na	Sa
natječaj	natječaj	Ncmsan
(	(	Z
datum	datum	Ncmsan
,	,	Z
sat	sat	Ncmsn
,	,	Z
minuta	minuta	Ncfsn
,	,	Z
sekunda	sekunda	Ncfsn
)	)	Z
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
dva	dva	Mlc
ili	ili	Cc
više	mnogo	Rgc
zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
imaju	imati	Vmr3p
jednaki	jednak	Agpmsayn
broj	broj	Ncmsan
bodova	bod	Ncmpg
i	i	Cc
isto	isti	Agpnsay
vrijeme	vrijeme	Ncnsa
podnošenja	podnošenje	Ncnsg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
,	,	Z
a	a	Cc
navedeno	navedeno	Rgp
uvjetuje	uvjetovati	Vmr3s
dodjelu	dodjela	Ncfsa
potpore	potpora	Ncfsg
,	,	Z
provest	provesti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa

