identične	identičan	Agpfpny
smanjenje	smanjenje	Ncnsa
se	sebe	Px--sa
u	u	Sl
svim	sav	Agpmply
stupcima	stupac	Ncmpl
iskazuje	iskazivati	Vmr3s
brojčano	brojčani	Agpnsay
s	sa	Si
tim	taj	Pd-nsi
da	da	Cs
se	sebe	Px--sa
za	za	Sa
očekivano	očekivati	Agpnsay
smanjenje	smanjenje	Ncnsa
upisuje	upisivati	Vmr3s
predznak	predznak	Ncmsan
»	»	Z
-	-	Z
«	«	Z
minus	minus	Ncmsn
.	.	Z

U	u	Sa
prvi	prvi	Mlomsan
stupac	stupac	Ncmsan
se	sebe	Px--sa
upisuje	upisivati	Vmr3s
postojeći	postojeći	Agpmsny
broj	broj	Ncmsn
sistematiziranih	sistematiziran	Agpmpgy
i	i	Cc
stvarno	stvarno	Rgp
zaposlenih	zaposlen	Agpmpgy
službenika	službenik	Ncmpg
i	i	Cc
namještenika	namještenik	Ncmpg
u	u	Sl
tekućoj	tekući	Agpfsly
godini	godina	Ncfsl
(	(	Z
t	t	X
)	)	Z
i	i	Cc
to	taj	Pd-nsn
za	za	Sa
svaku	svaki	Pi-fsa
kategoriju	kategorija	Ncfsa
.	.	Z

U	u	Sa
drugi	drugi	Mlomsan
stupac	stupac	Ncmsan
se	sebe	Px--sa
upisuje	upisivati	Vmr3s
očekivano	očekivati	Agpnsny
povećanje	povećanje	Ncnsn
/	/	Z
smanjenje	smanjenje	Ncnsa
broja	broj	Ncmsg
sistematiziranih	sistematiziran	Agpmpgy
i	i	Cc
stvarno	stvarno	Rgp
zaposlenih	zaposlen	Agpmpgy
službenika	službenik	Ncmpg
i	i	Cc
namještenika	namještenik	Ncmpg
kao	kao	Cs
rezultat	rezultat	Ncmsn
provedbe	provedba	Ncfsg
predloženog	predložen	Agpmsgy
propisa	propis	Ncmsg
/	/	Z
akta	akt	Ncmsg
planiranja	planiranje	Ncnsg
u	u	Sl
tekućoj	tekući	Agpfsly
godini	godina	Ncfsl
(	(	Z
t	t	X
)	)	Z
.	.	Z

Treći	treći	Mlomsn
stupac	stupac	Ncmsn
predstavlja	predstavljati	Vmr3s
zbroj	zbroj	Ncmsan
postojećeg	postojeći	Agpmsgy
broja	broj	Ncmsg
sistematiziranih	sistematiziran	Agpmpgy
i	i	Cc
stvarno	stvarno	Rgp
zaposlenih	zaposlen	Agpmpgy
službenika	službenik	Ncmpg
i	i	Cc
namještenika	namještenik	Ncmpg
te	te	Cc
očekivanog	očekivati	Agpnsgy
povećanja	povećanje	Ncnsg
/	/	Z
smanjenja	smanjenje	Ncnsg
u	u	Sl
tekućoj	tekući	Agpfsly
godini	godina	Ncfsl
(	(	Z
t	t	X
)	)	Z
,	,	Z
a	a	Cc
popunjava	popunjavati	Vmr3s
se	sebe	Px--sa
automatski	automatski	Rgp
unosom	unos	Ncmsi
podataka	podatak	Ncmpg
u	u	Sa
prvi	prvi	Mlomsan
i	i	Cc
drugi	drugi	Mlomsan
stupac	stupac	Ncmsan
.	.	Z

U	u	Sl
četvrti	četvrt	Ncfsl
stupac	stupac	Ncmsn
se	sebe	Px--sa
upisuje	upisivati	Vmr3s
očekivano	očekivati	Agpnsny
povećanje	povećanje	Ncnsn
/	/	Z
smanjenje	smanjenje	Ncnsa
broja	broj	Ncmsg
sistematiziranih	sistematiziran	Agpmpgy
i	i	Cc
stvarno	stvarno	Rgp
zaposlenih	zaposlen	Agpmpgy
službenika	službenik	Ncmpg
i	i	Cc
namještenika	namještenik	Ncmpg
kao	kao	Cs
rezultat	rezultat	Ncmsn
provedbe	provedba	Ncfsg
predloženog	predložen	Agpmsgy
propisa	propis	Ncmsg
/	/	Z
akta	akt	Ncmsg
planiranja	planiranje	Ncnsg
u	u	Sl
sljedećoj	sljedeći	Agpfsly
godini	godina	Ncfsl
(	(	Z
t	t	X
+1	+1	X
)	)	Z
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
postojeći	postojeći	Agpmsayn
broj	broj	Ncmsan
u	u	Sl
tekućoj	tekući	Agpfsly
godini	godina	Ncfsl
(	(	Z
stupac	stupac	Ncmsn
1	1	Mdc
)	)	Z
.	.	Z

Peti	peti	Mlomsn
stupac	stupac	Ncmsn
predstavlja	predstavljati	Vmr3s
zbroj	zbroj	Ncmsan
postojećeg	postojeći	Agpmsgy
broja	broj	Ncmsg
sistematiziranih	sistematiziran	Agpmpgy
i	i	Cc
stvarno	stvarno	Rgp
zaposlenih	zaposlen	Agpmpgy
službenika	službenik	Ncmpg
i	i	Cc
namještenika	namještenik	Ncmpg
u	u	Sl
tekućoj	tekući	Agpfsly
godini	godina	Ncfsl
(	(	Z
stupac	stupac	Ncmsn
1	1	Mdc
)	)	Z
i	i	Cc
očekivanog	očekivati	Agpnsgy
povećanja	povećanje	Ncnsg
/	/	Z
smanjenja	smanjenje	Ncnsg
broja	broj	Ncmsg
sistematiziranih	sistematiziran	Agpmpgy
i	i	Cc
stvarno	stvarno	Rgp
zaposlenih	zaposlen	Agpmpgy
službenika	službenik	Ncmpg
i	i	Cc
namještenika	namještenik	Ncmpg
kao	kao	Cs
rezultat	rezultat	Ncmsn
provedbe	provedba	Ncfsg
predloženog	predložen	Agpmsgy
propisa	propis	Ncmsg
/	/	Z
akta	akt	Ncmsg
planiranja	planiranje	Ncnsg
u	u	Sl
sljedećoj	sljedeći	Agpfsly
godini	godina	Ncfsl
(	(	Z
t	t	X
+1	+1	X
)	)	Z
,	,	Z
a	a	Cc
popunjava	popunjavati	Vmr3s
se	sebe	Px--sa
automatski	automatski	Rgp
unosom	unos	Ncmsi
podataka	podatak	Ncmpg
u	u	Sa
prvi	prvi	Mlomsan
i	i	Cc
četvrti	četvrt	Ncfsl
stupac	stupac	Ncmsn
.	.	Z

U	u	Sa
šesti	šesti	Mlomsan
stupac	stupac	Ncmsan
se	sebe	Px--sa
upisuje	upisivati	Vmr3s
očekivano	očekivati	Agpnsny
povećanje	povećanje	Ncnsn
/	/	Z
smanjenje	smanjenje	Ncnsa
broja	broj	Ncmsg
sistematiziranih	sistematiziran	Agpmpgy
i	i	Cc
stvarno	stvarno	Rgp
zaposlenih	zaposlen	Agpmpgy
službenika	službenik	Ncmpg
i	i	Cc
namještenika	namještenik	Ncmpg
kao	kao	Cs
rezultat	rezultat	Ncmsn
provedbe	provedba	Ncfsg
predloženog	predložen	Agpmsgy
propisa	propis	Ncmsg
/	/	Z
akta	akt	Ncmsg
planiranja	planiranje	Ncnsg
u	u	Sl
godini	godina	Ncfsl
(	(	Z
t	t	X
+2	+2	X
)	)	Z
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
postojeći	postojeći	Agpmsayn
broj	broj	Ncmsan
u	u	Sl
tekućoj	tekući	Agpfsly
godini	godina	Ncfsl
(	(	Z
stupac	stupac	Ncmsn
1	1	Mdc
)	)	Z
.	.	Z

Sedmi	sedmi	Mlomsn
stupac	stupac	Ncmsn
predstavlja	predstavljati	Vmr3s
zbroj	zbroj	Ncmsan
postojećeg	postojeći	Agpmsgy
broja	broj	Ncmsg
sistematiziranih	sistematiziran	Agpmpgy
i	i	Cc
stvarno	stvarno	Rgp
zaposlenih	zaposlen	Agpmpgy
službenika	službenik	Ncmpg
i	i	Cc
namještenika	namještenik	Ncmpg
u	u	Sl
tekućoj	tekući	Agpfsly
godini	godina	Ncfsl
(	(	Z
stupac	stupac	Ncmsn
1	1	Mdc
)	)	Z
i	i	Cc
očekivanog	očekivati	Agpnsgy
povećanja	povećanje	Ncnsg
/	/	Z
smanjenja	smanjenje	Ncnsg
broja	broj	Ncmsg
sistematiziranih	sistematiziran	Agpmpgy
i	i	Cc
stvarno	stvarno	Rgp
zaposlenih	zaposlen	Agpmpgy
službenika	službenik	Ncmpg
i	i	Cc
namještenika	namještenik	Ncmpg
kao	kao	Cs
rezultat	rezultat	Ncmsn
provedbe	provedba	Ncfsg
predloženog	predložen	Agpmsgy
propisa	propis	Ncmsg
/	/	Z
akta	akt	Ncmsg
planiranja	planiranje	Ncnsg
u	u	Sl
godini	godina	Ncfsl
(	(	Z
t	t	X
+2	+2	X
)	)	Z
,	,	Z
a	a	Cc
popunjava	popunjavati	Vmr3s
se	sebe	Px--sa
automatski	automatski	Rgp
unosom	unos	Ncmsi
podataka	podatak	Ncmpg
u	u	Sa
prvi	prvi	Mlomsan
i	i	Cc
šesti	šesti	Mlomsn
stupac	stupac	Ncmsn
.	.	Z

5.3.	5.3.	Mdo

OBRAZLOŽENJE	obrazloženje	Ncnsn
ELEMENATA	element	Ncmpg
ZA	za	Sa
IZRAČUN	izračun	Ncmsan

Ako	ako	Cs
je	biti	Var3s
potrebno	potreban	Agpnsny
,	,	Z
navodi	navoditi	Vmr3s
se	sebe	Px--sa
obrazloženje	obrazloženje	Ncnsn
prethodno	prethodno	Rgp
korištenih	koristiti	Agpmpgy
elementa	element	Ncmpg
.	.	Z

6.	6.	Mdo
POTENCIJALNE	potencijalan	Agpfpny
OBVEZE	obveza	Ncfpn
ZA	za	Sa
DRŽAVNI	državni	Agpmsayn
PRORAČUN	proračun	Ncmsan

Ispunjava	ispunjavati	Vmr3s
se	sebe	Px--sa
ukoliko	ukoliko	Cs
zbog	zbog	Sg
provedbe	provedba	Ncfsg
predloženog	predložen	Agpmsgy
propisa	propis	Ncmsg
/	/	Z
akta	akt	Ncmsg
planiranja	planiranje	Ncnsg
postoji	postojati	Vmr3s
mogućnost	mogućnost	Ncfsn
nastanka	nastanak	Ncmsg
obveze	obveza	Ncfsg
za	za	Sa
državni	državni	Agpmsayn
proračun	proračun	Ncmsan
.	.	Z

Potencijalne	potencijalan	Agpfpny
obveze	obveza	Ncfpn
podijeljene	podijeliti	Appfpny
su	biti	Var3p
na	na	Sa
Jamstva	jamstvo	Ncnpa
i	i	Cc
Ostalo	ostali	Agpnsny
(	(	Z
akreditivi	akreditiv	Ncmpn
,	,	Z
kreditne	kreditan	Agpfpny
linije	linija	Ncfpn
,	,	Z
dugovanja	dugovanje	Ncnsg
na	na	Sl
osnovi	osnova	Ncfsl
odštetnih	odštetni	Agpmpgy
zahtjeva	zahtjev	Ncmpg
i	i	Cc
neriješenih	neriješen	Agpmpgy
sporova	spor	Ncmpg
po	po	Sl
sklopljenim	sklopiti	Agpmply
ugovorima	ugovor	Ncmpl
)	)	Z
.	.	Z

7.	7.	Mdo
FISKALNI	fiskalan	Agpmsny
UČINAK	učinak	Ncmsn
NA	na	Sa
DRUGE	drugi	Agpmpay
PRORAČUNE	proračun	Ncmpa

Ako	ako	Cs
provedba	provedba	Ncfsn
predloženog	predložen	Agpmsgy
propisa	propis	Ncmsg
/	/	Z
akta	akt	Ncmsg
planiranja	planiranje	Ncnsg
ima	imati	Vmr3s
financijske	financijski	Agpfpay
posljedice	posljedica	Ncfpa
na	na	Sa
financijske	financijski	Agpmpay
planove	plan	Ncmpa
izvanproračunskih	izvanproračunski	Agpmpgy
korisnika	korisnik	Ncmpg
i	i	Cc
/	/	Z
ili	ili	Cc
na	na	Sa
proračun	proračun	Ncmsan
županije	županija	Ncfsg
i	i	Cc
/	/	Z
ili	ili	Cc
općine	općina	Ncfsg
/	/	Z
grada	grad	Ncmsg
predlagatelj	predlagatelj	Ncmsn
ih	oni	Pp3-pg
je	biti	Var3s
dužan	dužan	Agpmsnn
procijeniti	procijeniti	Vmn
i	i	Cc
opisati	opisati	Vmn
.	.	Z

Izvanproračunski	izvanproračunski	Agpmpny
korisnici	korisnik	Ncmpn
državnog	državni	Agpmsgy
proračuna	proračun	Ncmsg
su	biti	Var3p
Hrvatske	hrvatski	Agpfsgy
ceste	cesta	Ncfsg
,	,	Z
Hrvatske	hrvatski	Agpfsgy
vode	voda	Ncfsg
,	,	Z
Hrvatski	hrvatski	Agpmsny
zavod	zavod	Ncmsn
za	za	Sa
zdravstveno	zdravstven	Agpnsay
osiguranje	osiguranje	Ncnsa
,	,	Z
Centar	centar	Ncmsn
za	za	Sa
restrukturiranje	restrukturiranje	Ncnsa
i	i	Cc
prodaju	prodati	Vmr3p
,	,	Z
Državna	državni	Agpfsny
agencija	agencija	Ncfsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
štednih	štedni	Agpfpgy
uloga	uloga	Ncfpg
i	i	Cc
sanaciju	sanacija	Ncfsa
banaka	banka	Ncfpg
te	te	Cc
Fond	fond	Ncmsan
za	za	Sa
zaštitu	zaštita	Ncfsa
okoliša	okoliš	Ncmsg
i	i	Cc
energetsku	energetski	Agpfsay
učinkovitost	učinkovitost	Ncfsa
,	,	Z
a	a	Cc
izvanproračunski	izvanproračunski	Agpmpny
korisnici	korisnik	Ncmpn
jedinica	jedinica	Ncfpg
lokalne	lokalan	Agpfsgy
i	i	Cc
područne	područni	Agpfsgy
(	(	Z
regionalne	regionalan	Agpfpay
)	)	Z
samouprave	samouprava	Ncfpn
su	biti	Var3p
županijske	županijski	Agpfsgy
uprave	uprava	Ncfsg
za	za	Sa
ceste	cesta	Ncfpa
.	.	Z

Procjena	procjena	Ncfsn
se	sebe	Px--sa
daje	davati	Vmr3s
u	u	Sl
obliku	oblik	Ncmsl
tekućeg	tekući	Agpmsgy
plana	plan	Ncmsg
rashoda	rashod	Ncmpg
i	i	Cc
izdataka	izdatak	Ncmpg
u	u	Sl
prvom	prvi	Mlomsl
retku	redak	Ncmsl
te	te	Cc
plana	plan	Ncmsg
prihoda	prihod	Ncmpg
i	i	Cc
primitaka	primitak	Ncmpg
u	u	Sl
drugom	drugi	Mlomsl
retku	redak	Ncmsl
dok	dok	Cs
se	sebe	Px--sa
u	u	Sl
stupcima	stupac	Ncmpl
povećanje	povećanje	Ncnsa
/	/	Z
smanjenje	smanjenje	Ncnsa
u	u	Sl
tekućoj	tekući	Agpfsly
godini	godina	Ncfsl
(	(	Z
t	t	X
)	)	Z
,	,	Z
godini	godina	Ncfsl
(	(	Z
t	t	X
+1	+1	X
)	)	Z
i	i	Cc
godini	godina	Ncfsl
(	(	Z
t	t	X
+2	+2	X
)	)	Z
upisuje	upisivati	Vmr3s
procjena	procjena	Ncfsn
očekivanog	očekivati	Agpnsgy
povećanja	povećanje	Ncnsg
/	/	Z
smanjenja	smanjenje	Ncnsg
kao	kao	Cs
rezultata	rezultat	Ncmsg
provedbe	provedba	Ncfsg
predloženog	predložen	Agpmsgy
propisa	propis	Ncmsg
/	/	Z
akta	akt	Ncmsg
planiranja	planiranje	Ncnsg
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
plan	plan	Ncmsan
u	u	Sl
tekućoj	tekući	Agpfsly
godini	godina	Ncfsl
.	.	Z

Očekivano	očekivati	Agpnsny
povećanje	povećanje	Ncnsn
/	/	Z
smanjenje	smanjenje	Ncnsa
se	sebe	Px--sa
u	u	Sl
svim	sav	Agpmply
stupcima	stupac	Ncmpl
iskazuje	iskazivati	Vmr3s
brojčano	brojčani	Agpnsay
s	sa	Si
tim	taj	Pd-nsi

