6.3	6.3	Mdc
EU-pregledu	eu-pregled	Ncmsl
tipa	tip	Ncmsg
i	i	Cc
da	da	Cs
ispunjava	ispunjavati	Vmr3s
zahtjeve	zahtjev	Ncmpa
ovoga	ovaj	Pd-nsg
Pravilnika	pravilnik	Ncmpg
koji	koji	Pi-mpn
se	sebe	Px--sa
na	na	Sa
nju	on	Pp3fsa
odnose	odnositi	Vmr3p
.	.	Z

2.	2.	Mdo
Proizvodnja	proizvodnja	Ncfsn

Proizvođač	proizvođač	Ncmsn
provodi	provoditi	Vmr3s
odobreni	odobren	Agpmsayn
sustav	sustav	Ncmsan
kvalitete	kvaliteta	Ncfsg
za	za	Sa
završnu	završan	Agpfsay
inspekciju	inspekcija	Ncfsa
proizvoda	proizvod	Ncmpg
i	i	Cc
ispitivanje	ispitivanje	Ncnsa
dotične	dotičan	Agpfsgy
tlačne	tlačni	Agpfsgy
opreme	oprema	Ncfsg
kako	kako	Cs
je	biti	Var3s
utvrđeno	utvrditi	Appnsny
u	u	Sl
točki	točka	Ncfsl
3.	3.	Mdo
te	te	Cc
je	biti	Var3s
podložan	podložan	Agpmsnn
nadzoru	nadzor	Ncmsd
kako	kako	Cs
je	biti	Var3s
utvrđeno	utvrditi	Appnsny
u	u	Sl
točki	točka	Ncfsl
4.	4.	Mdo

3.	3.	Mdo
Sustav	sustav	Ncmsn
kvalitete	kvaliteta	Ncfsg

3.1.	3.1.	Mdo

Proizvođač	proizvođač	Ncmsn
podnosi	podnositi	Vmr3s
zahtjev	zahtjev	Ncmsan
za	za	Sa
procjenu	procjena	Ncfsa
svog	svoj	Px-msg
sustava	sustav	Ncmsg
kvalitete	kvaliteta	Ncfsg
prijavljenom	prijaviti	Agpnsly
tijelu	tijelo	Ncnsl
po	po	Sl
svom	svoj	Px-msl
izboru	izbor	Ncmsl
za	za	Sa
dotičnu	dotičan	Agpfsay
tlačnu	tlačni	Agpfsay
opremu	oprema	Ncfsa
.	.	Z

Zahtjev	zahtjev	Ncmsn
uključuje	uključivati	Vmr3s
:	:	Z

–	–	Agpmsny
naziv	naziv	Ncmsn
i	i	Cc
adresu	adresa	Ncfsa
proizvođača	proizvođač	Ncmpg
te	te	Cc
naziv	naziv	Ncmsn
i	i	Cc
adresu	adresa	Ncfsa
ovlaštenog	ovlašten	Agpmsgy
zastupnika	zastupnik	Ncmsg
ako	ako	Cs
je	biti	Var3s
on	on	Pp3msn
podnio	podnijeti	Vmp-sm
zahtjev	zahtjev	Ncmsan
;	;	Z

–	–	Pd-fsa
pisanu	pisan	Agpfsay
izjavu	izjava	Ncfsa
da	da	Cs
isti	isti	Agpmsayn
zahtjev	zahtjev	Ncmsan
nije	biti	Var3s
podnio	podnijeti	Vmp-sm
nijednom	nijedan	Agpfsiy
drugom	drugi	Mlofsi
prijavljenom	prijaviti	Agpnsly
tijelu	tijelo	Ncnsl
;	;	Z

–	–	Sa
sve	sav	Agpmpay
potrebne	potreban	Agpmpay
podatke	podatak	Ncmpa
o	o	Sl
predviđenom	predvidjeti	Agpmsly
tipu	tip	Ncmsl
tlačne	tlačni	Agpfsgy
opreme	oprema	Ncfsg
;	;	Z

–	i	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
koja	koji	Pi-fsn
se	sebe	Px--sa
odnosi	odnositi	Vmr3s
na	na	Sa
sustav	sustav	Ncmsan
kvalitete	kvaliteta	Ncfsg
;	;	Z

–	i	Agpfsay
tehničku	tehnički	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
za	za	Sa
odobreni	odobren	Agpmsayn
tip	tip	Ncmsan
i	i	Cc
presliku	preslika	Ncfsa
certifikata	certifikat	Ncmpg
o	o	Sl
EU-pregledu	eu-pregled	Ncmsl
tipa	tip	Ncmsg
.	.	Z

3.2.	3.2.	Mdo

Sustav	sustav	Ncmsn
kvalitete	kvaliteta	Ncfsg
jamči	jamčiti	Vmr3s
sukladnost	sukladnost	Ncfsa
proizvoda	proizvod	Ncmpg
s	sa	Si
tipom	tip	Ncmsi
kako	kako	Cs
je	biti	Var3s
opisan	opisati	Appmsnn
u	u	Sl
certifikatu	certifikat	Ncmsl
o	o	Sl
EU	E	Npmsl
tipskom	tipski	Agpnsly
ispitivanju	ispitivanje	Ncnsl
i	i	Cc
sa	sa	Si
zahtjevima	zahtjev	Ncmpi
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
koji	koji	Pi-msn
se	sebe	Px--sa
na	na	Sa
njih	oni	Pp3-pa
odnose	odnositi	Vmr3p
.	.	Z

Svi	sav	Agpmpny
elementi	element	Ncmpn
,	,	Z
zahtjevi	zahtjev	Ncmpn
i	i	Cc
odredbe	odredba	Ncfpn
koje	koji	Pi-fpa
proizvođač	proizvođač	Ncmsn
donese	donijeti	Vmr3s
dokumentiraju	dokumentirati	Vmr3p
se	sebe	Px--sa
na	na	Sa
sustavan	sustavan	Agpmsann
i	i	Cc
logičan	logičan	Agpmsann
način	način	Ncmsan
u	u	Sl
obliku	oblik	Ncmsl
pisanih	pisan	Agpfpgy
politika	politika	Ncfpg
,	,	Z
postupaka	postupak	Ncmpg
i	i	Cc
uputa	uputa	Ncfpg
.	.	Z

Dokumentacija	dokumentacija	Ncfsn
o	o	Sl
sustavu	sustav	Ncmsl
kvalitete	kvaliteta	Ncfsg
omogućuje	omogućivati	Vmr3s
dosljedno	dosljedan	Agpnsay
tumačenje	tumačenje	Ncnsa
programa	program	Ncmsg
kvalitete	kvaliteta	Ncfsg
,	,	Z
planova	plan	Ncmpg
,	,	Z
priručnika	priručnik	Ncmpg
i	i	Cc
zapisa	zapis	Ncmpg
.	.	Z

Ista	isti	Agpfsny
posebno	posebno	Rgp
sadržava	sadržavati	Vmr3s
primjeren	primjeren	Agpmsann
opis	opis	Ncmsan
:	:	Z

–		Agpmpgy
ciljeva	cilj	Ncmpg
kvalitete	kvaliteta	Ncfsg
i	i	Cc
organizacijskog	organizacijski	Agpnsgy
ustrojstva	ustrojstvo	Ncnsg
,	,	Z
odgovornosti	odgovornost	Ncfsg
i	i	Cc
ovlaštenja	ovlaštenje	Ncnsg
uprave	uprava	Ncfsg
s	sa	Si
obzirom	obzir	Ncmsi
na	na	Sa
kvalitetu	kvaliteta	Ncfsa
proizvoda	proizvod	Ncmpg
;	;	Z

–	–	Z
pregleda	pregled	Ncmsg
i	i	Cc
ispitivanja	ispitivanje	Ncnpg
koja	koji	Pi-npn
su	biti	Var3p
izvršena	izvršiti	Appnpny
nakon	nakon	Sg
proizvodnje	proizvodnja	Ncfsg
;	;	Z

–		Aspmsgn
zapisa	zapis	Ncmsg
o	o	Sl
kvaliteti	kvaliteta	Ncfsl
,	,	Z
kao	kao	Cs
što	što	Cs
su	biti	Var3p
inspekcijska	inspekcijski	Agpnpny
izvješća	izvješće	Ncnpn
i	i	Cc
podaci	podatak	Ncmpn
o	o	Sl
ispitivanjima	ispitivanje	Ncnpl
,	,	Z
podaci	podatak	Ncmpn
o	o	Sl
umjeravanju	umjeravanj	Ncmsl
te	te	Cc
izvješća	izvješće	Ncnsg
o	o	Sl
kvalifikacijama	kvalifikacija	Ncfpl
i	i	Cc
odobrenjima	odobrenje	Ncnpi
predmetnog	predmetni	Agpnsgy
osoblja	osoblje	Ncnsg
,	,	Z
a	a	Cc
posebno	posebno	Rgp
osoblja	osoblje	Ncnsg
koje	koji	Pi-nsn
je	biti	Var3s
zaduženo	zadužiti	Appnsny
za	za	Sa
nerastavljive	nerastavljiv	Agpmpay
spojeve	spoj	Ncmpa
i	i	Cc
provođenje	provođenje	Ncnsa
ispitivanja	ispitivanje	Ncnsg
bez	bez	Sg
razaranja	razaranje	Ncnsg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
točkama	točka	Ncfpi
3.1.2.	3.1.	Agpfpiy
i	i	Cc
3.1.3.	3.1.3.	Mds

Dodatka	dodatak	Ncmsg
I.	I.	Mro
;	;	Z

–	–	Sg
načina	način	Ncmpg
praćenja	praćenje	Ncnsg
djelotvornog	djelotvoran	Agpnsgy
djelovanja	djelovanje	Ncnsg
sustava	sustav	Ncmsg
kvalitete	kvaliteta	Ncfsg
.	.	Z

3.3.	3.3.	Mdo

Prijavljeno	prijaviti	Appnsny
tijelo	tijelo	Ncnsn
ocjenjuje	ocjenjivati	Vmr3s
sustav	sustav	Ncmsn
kvalitete	kvaliteta	Ncfsg
kako	kako	Cs
bi	biti	Vaa3s
utvrdilo	utvrditi	Vmp-sn
zadovoljava	zadovoljavati	Vmr3s
li	li	Qq
on	on	Agpmpay
zahtjeve	zahtjev	Ncmpa
iz	iz	Sg
točke	točka	Ncfsg
3.2.	3.2.	Mds

Ono	onaj	Pd-nsn
pretpostavlja	pretpostavljati	Vmr3s
sukladnost	sukladnost	Ncfsn
s	sa	Si
tim	taj	Pd-mpi
zahtjevima	zahtjev	Ncmpi
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
elemente	element	Ncmpa
sustava	sustav	Ncmsg
kvalitete	kvaliteta	Ncfsg
koji	koji	Pi-mpn
su	biti	Var3p
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odgovarajućim	odgovarajući	Agpfpiy
specifikacijama	specifikacija	Ncfpi
relevantnih	relevantan	Agpfpgy
usklađenih	uskladiti	Agpfpgy
norma	norma	Ncfpg
.	.	Z

Uz	uz	Sa
iskustvo	iskustvo	Ncnsa
sa	sa	Si
sustavima	sustav	Ncmpi
upravljanja	upravljanje	Ncnsg
kvalitetom	kvaliteta	Ncfsi
,	,	Z
revizorski	revizorski	Agpmsny
tim	tim	Ncmsn
mora	morati	Vmr3s
imati	imati	Vmn
najmanje	malo	Rgs
jednog	jedan	Mlcmsg
člana	član	Ncmsg
s	sa	Si
iskustvom	iskustvo	Ncnsi
u	u	Sl
ocjenjivanju	ocjenjivanje	Ncnsl
na	na	Sl
odgovarajućem	odgovarajući	Agpnsly
području	područje	Ncnsl
tlačne	tlačni	Agpfsgy
opreme	oprema	Ncfsg
i	i	Cc
dotičnoj	dotičan	Agpfsly
tehnologiji	tehnologija	Ncfsl
tlačne	tlačni	Agpfsgy
opreme	oprema	Ncfsg
te	te	Cc
znanjem	znanje	Ncnsi
o	o	Sl
primjenjivim	primjenjiv	Agpmply
zahtjevima	zahtjev	Ncmpl
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

Revizija	revizija	Ncfsn
uključuje	uključivati	Vmr3s
obilazak	obilazak	Ncmsan
pogona	pogon	Ncmsg
proizvođača	proizvođač	Ncmsg
s	sa	Si
ciljem	cilj	Ncmsi
obavljanja	obavljanje	Ncnsg
ocjene	ocjena	Ncfsg
.	.	Z

Revizorski	revizorski	Agpmsny
tim	tim	Ncmsn
pregledava	pregledavati	Vmr3s
tehničku	tehnički	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
iz	iz	Sg
pete	peta	Ncfsg
alineje	alineja	Ncfsg
točke	točka	Ncfsg
3.1.	3.1.	Mds
kako	kako	Cs
bi	biti	Vaa3s
potvrdio	potvrditi	Vmp-sm
sposobnost	sposobnost	Ncfsa
proizvođača	proizvođač	Ncmsg
da	da	Cs
utvrdi	utvrditi	Vmr3s
odgovarajuće	odgovarajući	Agpmpay
zahtjeve	zahtjev	Ncmpa
ovoga	ovaj	Pd-nsg
Pravilnika	pravilnik	Ncmpg
te	te	Cc
kako	kako	Cs
bi	biti	Vaa3s
izvršio	izvršiti	Vmp-sm
nužne	nužan	Agpmpay
preglede	pregled	Ncmpa
za	za	Sa
osiguranje	osiguranje	Ncnsa
sukladnosti	sukladnost	Ncfsg
tlačne	tlačni	Agpfsgy
opreme	oprema	Ncfsg
s	sa	Si
tim	taj	Pd-mpi
zahtjevima	zahtjev	Ncmpi
.	.	Z

Proizvođač	proizvođač	Ncmsn
se	sebe	Px--sa
izvješćuje	izvješćivati	Vmr3s
o	o	Sl
odluci	odluka	Ncfsl
.	.	Z

Obavijest	obavijest	Ncfsn
sadržava	sadržavati	Vmr3s
zaključke	zaključak	Ncmpa
revizije	revizija	Ncfsg
i	i	Cc
obrazloženje	obrazloženje	Ncnsa
odluke	odluka	Ncfsg
o	o	Sl
ocjeni	ocjena	Ncfsl
.	.	Z

3.4.	3.4.	Mdo

Proizvođač	proizvođač	Ncmsn
poduzima	poduzimati	Vmr3s
mjere	mjera	Ncfpa
kako	kako	Cs
bi	biti	Vaa3s
ispunio	ispuniti	Vmp-sm
obveze	obveza	Ncfpa
koje	koji	Pi-fpn
proizlaze	proizlaziti	Vmr3p
iz	iz	Sg
sustava	sustav	Ncmsg
kvalitete	kvaliteta	Ncfsg
kako	kako	Cs
je	biti	Var3s
odobren	odobriti	Appmsnn
i	i	Cc
kako	kako	Cs

