Korisnička	korisnički	Agpfsny
troškove	trošak	Ncmpa
ogrjeva	ogrjev	Ncmpg
.	.	Z

Podaci	podatak	Ncmpn
o	o	Sl
pravu	pravo	Ncnsl
na	na	Sa
naknadu	naknada	Ncfsa
za	za	Sa
troškove	trošak	Ncmpa
stanovanja	stanovanje	Ncnsg
su	biti	Var3p
:	:	Z

1.	1.	Mdo
Iznos	iznos	Ncmsn
proračunskih	proračunski	Agpnpgy
sredstava	sredstvo	Ncnpg
na	na	Sl
poziciji	pozicija	Ncfsl
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
jedinice	jedinica	Ncfsg
lokalne	lokalan	Agpfsgy
samouprave	samouprava	Ncfsg
(	(	Z
po	po	Sl
donošenju	donošenje	Ncnsl
proračuna	proračun	Ncmsg
)	)	Z

2.	2.	Mdo
Iznos	iznos	Ncmsn
proračunskih	proračunski	Agpnpgy
sredstva	sredstvo	Ncnpg
na	na	Sl
poziciji	pozicija	Ncfsl
za	za	Sa
pomoć	pomoć	Ncfsa
za	za	Sa
podmirenje	podmirenje	Ncnsa
troškova	trošak	Ncmpg
stanovanja	stanovanje	Ncnsg
korisnicima	korisnik	Ncmpd
zajamčene	zajamčiti	Appfpny
minimalne	minimalan	Agpfpny
naknade	naknada	Ncfpn
(	(	Z
po	po	Sl
donošenju	donošenje	Ncnsl
proračuna	proračun	Ncmsg
)	)	Z

3.	3.	Mdo
Broj	broj	Ncmsn
korisnika	korisnik	Ncmpg
zajamčene	zajamčiti	Appfpny
minimalne	minimalan	Agpfsgy
naknade	naknada	Ncfsg
koji	koji	Pi-mpn
ostvaruju	ostvarivati	Vmr3p
pravo	pravo	Ncnsa
na	na	Sa
naknadu	naknada	Ncfsa
troškova	trošak	Ncmpg
stanovanja	stanovanje	Ncnsg
(	(	Z
ukupno	ukupno	Rgp
,	,	Z
broj	broj	Ncmsn
samaca	samac	Ncmpg
,	,	Z
broj	broj	Ncmsn
kućanstava	kućanstvo	Ncnpg
)	)	Z

4.	4.	Mdo
Broj	broj	Ncmsn
zaprimljenih	zaprimiti	Appmpgy
zahtjeva	zahtjev	Ncmpg
za	za	Sa
priznavanje	priznavanje	Ncnsa
prava	pravo	Ncnpg
na	na	Sa
naknadu	naknada	Ncfsa
za	za	Sa
troškove	trošak	Ncmpa
stanovanja	stanovanje	Ncnsg

5.	5.	Mdo
Broj	broj	Ncmsn
usvojenih	usvojen	Agpmpgy
zahtjeva	zahtjev	Ncmpg
za	za	Sa
priznavanje	priznavanje	Ncnsa
prava	pravo	Ncnpg
na	na	Sa
naknadu	naknada	Ncfsa
za	za	Sa
troškove	trošak	Ncmpa
stanovanja	stanovanje	Ncnsg

6.	6.	Mdo
Broj	broj	Ncmsn
odbijenih	odbiti	Appmpgy
zahtjeva	zahtjev	Ncmpg
za	za	Sa
priznavanje	priznavanje	Ncnsa
prava	pravo	Ncnpg
na	na	Sa
naknadu	naknada	Ncfsa
za	za	Sa
troškove	trošak	Ncmpa
stanovanja	stanovanje	Ncnsg

7.	7.	Mdo
Broj	broj	Ncmsn
odbačenih	odbaciti	Appmpgy
zahtjeva	zahtjev	Ncmpg
za	za	Sa
priznavanje	priznavanje	Ncnsa
prava	pravo	Ncnpg
na	na	Sa
naknadu	naknada	Ncfsa
za	za	Sa
troškove	trošak	Ncmpa
stanovanja	stanovanje	Ncnsg

8.	8.	Mdo
Broj	broj	Ncmsn
zaprimljenih	zaprimiti	Appfpgy
žalbi	žalba	Ncfpg
na	na	Sa
rješenja	rješenje	Ncnpa
za	za	Sa
priznavanje	priznavanje	Ncnsa
prava	pravo	Ncnpg
na	na	Sa
naknadu	naknada	Ncfsa
za	za	Sa
troškove	trošak	Ncmpa
stanovanja	stanovanje	Ncnsg

9.	9.	Mdo
Iznos	iznos	Ncmsn
utrošenih	utrošiti	Appmpgy
proračunskih	proračunski	Agpnpgy
sredstava	sredstvo	Ncnpg
za	za	Sa
prvih	prvi	Mlompg
šest	šest	Mlc
mjeseci	mjesec	Ncmpg
tekuće	tekući	Agpfsgy
godine	godina	Ncfsg
za	za	Sa
pomoć	pomoć	Ncfsa
za	za	Sa
podmirenje	podmirenje	Ncnsa
troškova	trošak	Ncmpg
stanovanja	stanovanje	Ncnsg

10.	10.	Mdo

Ukupan	ukupan	Agpmsnn
iznos	iznos	Ncmsn
utrošenih	utrošiti	Appmpgy
proračunskih	proračunski	Agpnpgy
sredstava	sredstvo	Ncnpg
za	za	Sa
pomoć	pomoć	Ncfsa
za	za	Sa
podmirenje	podmirenje	Ncnsa
troškova	trošak	Ncmpg
stanovanja	stanovanje	Ncnsg
na	na	Sl
godišnjoj	godišnji	Agpfsly
razini	razina	Ncfsl

11.	11.	Mdo

Broj	broj	Ncmsn
osoba	osoba	Ncfpg
koje	koji	Pi-fpa
nisu	biti	Var3p
korisnici	korisnik	Ncmpn
zajamčene	zajamčiti	Appfpny
minimalne	minimalan	Agpfpny
naknade	naknada	Ncfpn
,	,	Z
a	a	Cc
koji	koji	Pi-mpn
ostvaruju	ostvarivati	Vmr3p
pravo	pravo	Ncnsa
na	na	Sa
naknadu	naknada	Ncfsa
troškova	trošak	Ncmpg
stanovanja	stanovanje	Ncnsg
(	(	Z
ukupno	ukupno	Rgp
,	,	Z
broj	broj	Ncmsn
samaca	samac	Ncmpg
,	,	Z
broj	broj	Ncmsn
kućanstava	kućanstvo	Ncnpg
)	)	Z

12.	12.	Mdo

Ukupan	ukupan	Agpmsnn
iznos	iznos	Ncmsn
utrošenih	utrošiti	Appmpgy
proračunskih	proračunski	Agpnpgy
sredstava	sredstvo	Ncnpg
za	za	Sa
pomoć	pomoć	Ncfsa
za	za	Sa
podmirenje	podmirenje	Ncnsa
troškova	trošak	Ncmpg
stanovanja	stanovanje	Ncnsg
osobama	osoba	Ncfpd
koje	koji	Pi-fpa
nisu	biti	Var3p
korisnici	korisnik	Ncmpn
zajamčene	zajamčiti	Appfpny
minimalne	minimalan	Agpfpny
naknade	naknada	Ncfpn
za	za	Sa
prvih	prvi	Mlompg
šest	šest	Mlc
mjeseci	mjesec	Ncmpg
tekuće	tekući	Agpfsgy
godine	godina	Ncfsg

13.	13.	Mdo

Ukupan	ukupan	Agpmsnn
iznos	iznos	Ncmsn
utrošenih	utrošiti	Appmpgy
proračunskih	proračunski	Agpnpgy
sredstava	sredstvo	Ncnpg
za	za	Sa
pomoć	pomoć	Ncfsa
za	za	Sa
podmirenje	podmirenje	Ncnsa
troškova	trošak	Ncmpg
stanovanja	stanovanje	Ncnsg
osobama	osoba	Ncfpd
koje	koji	Pi-fpa
nisu	biti	Var3p
korisnici	korisnik	Ncmpn
zajamčene	zajamčiti	Appfpny
minimalne	minimalan	Agpfpny
naknade	naknada	Ncfpn
na	na	Sl
godišnjoj	godišnji	Agpfsly
razini	razina	Ncfsl
.	.	Z

Podaci	podatak	Ncmpn
o	o	Sl
pravu	pravo	Ncnsl
na	na	Sa
naknadu	naknada	Ncfsa
za	za	Sa
troškove	trošak	Ncmpa
prijevoza	prijevoz	Ncmsg
su	biti	Var3p
:	:	Z

1.	1.	Mdo
Iznos	iznos	Ncmsn
proračunskih	proračunski	Agpnpgy
sredstava	sredstvo	Ncnpg
predviđen	predvidjeti	Appmsnn
za	za	Sa
naknadu	naknada	Ncfsa
za	za	Sa
troškove	trošak	Ncmpa
prijevoza	prijevoz	Ncmsg
osobama	osoba	Ncfpd
s	sa	Si
invaliditetom	invaliditet	Ncmsi
i	i	Cc
djece	dijete	Ncnpg
s	sa	Si
teškoćama	teškoća	Ncfpi
u	u	Sl
razvoju	razvoj	Ncmsl
koji	koji	Pi-msan
pohađaju	pohađati	Vmr3p
nastavu	nastava	Ncfsa
radi	radi	Sg
stjecanja	stjecanje	Ncnsg
srednjoškolskog	srednjoškolski	Agpnsgy
obrazovanja	obrazovanje	Ncnsg
u	u	Sl
mjestu	mjesto	Ncnsl
prebivališta	prebivalište	Ncnsg
,	,	Z
a	a	Cc
koji	koji	Pi-mpn
nemaju	nemati	Vmr3p
osiguran	osigurati	Agpmsayn
prijevoz	prijevoz	Ncmsan
po	po	Sl
nekoj	neki	Pi-fsl
drugoj	drugi	Mlofsl
osnovi	osnova	Ncfsl
(	(	Z
po	po	Sl
donošenju	donošenje	Ncnsl
proračuna	proračun	Ncmsg
)	)	Z

2.	2.	Mdo
Broj	broj	Ncmsn
korisnika	korisnik	Ncmpg
prava	pravo	Ncnsg
na	na	Sa
naknadu	naknada	Ncfsa
za	za	Sa
troškove	trošak	Ncmpa
prijevoza	prijevoz	Ncmsg
(	(	Z
ukupno	ukupno	Rgp
,	,	Z
broj	broj	Ncmsn
osoba	osoba	Ncfpg
s	sa	Si
invaliditetom	invaliditet	Ncmsi
,	,	Z
broj	broj	Ncmsn
djece	dijete	Ncnpg
s	sa	Si
teškoćama	teškoća	Ncfpi
u	u	Sl
razvoju	razvoj	Ncmsl
)	)	Z

3.	3.	Mdo
Iznos	iznos	Ncmsn
utrošenih	utrošiti	Appmpgy
proračunskih	proračunski	Agpnpgy
sredstava	sredstvo	Ncnpg
za	za	Sa
prvih	prvi	Mlompg
šest	šest	Mlc
mjeseci	mjesec	Ncmpg
tekuće	tekući	Agpfsgy
godine	godina	Ncfsg
za	za	Sa
naknadu	naknada	Ncfsa
za	za	Sa
troškove	trošak	Ncmpa
prijevoza	prijevoz	Ncmsg

4.	4.	Mdo
Ukupni	ukupan	Agpmsny
iznos	iznos	Ncmsn
utrošenih	utrošiti	Appmpgy
proračunskih	proračunski	Agpnpgy
sredstava	sredstvo	Ncnpg
za	za	Sa
naknadu	naknada	Ncfsa
za	za	Sa
troškove	trošak	Ncmpa
prijevoza	prijevoz	Ncmsg
na	na	Sl
godišnjoj	godišnji	Agpfsly
razini	razina	Ncfsl
.	.	Z

Podaci	podatak	Ncmpn
o	o	Sl
pravu	pravo	Ncnsl
na	na	Sa
troškove	trošak	Ncmpa
ogrjeva	ogrjev	Ncmpg
su	biti	Var3p
:	:	Z

1.	1.	Mdo
Iznos	iznos	Ncmsn
proračunskih	proračunski	Agpnpgy
sredstava	sredstvo	Ncnpg
predviđen	predvidjeti	Appmsnn
za	za	Sa
troškove	trošak	Ncmpa
ogrjeva	ogrjev	Ncmpg

2.	2.	Mdo
Broj	broj	Ncmsn
korisnika	korisnik	Ncmpg
zajamčene	zajamčiti	Appfpny
minimalne	minimalan	Agpfpny
naknade	naknada	Ncfpn
kojima	koji	Pi-fpi
je	biti	Var3s
priznato	priznati	Agpnsny
pravo	pravo	Ncnsn
na	na	Sa
troškove	trošak	Ncmpa
ogrjeva	ogrjev	Ncmpg
(	(	Z
ukupno	ukupno	Rgp
,	,	Z
broj	broj	Ncmsn
korisnika	korisnik	Ncmpg
kojima	koji	Pi-mpd
je	biti	Var3s
odobren	odobriti	Appmsnn
novčani	novčan	Agpmsny
iznos	iznos	Ncmsn
,	,	Z
broj	broj	Ncmsn
korisnika	korisnik	Ncmpg
kojima	koji	Pi-mpd
su	biti	Var3p
odobrena	odobriti	Appnpny
3	3	Mdc
m3	m3	Sg
drva	drvo	Ncnsg
)	)	Z

3.	3.	Mdo
Ukupan	ukupan	Agpmsann
iznos	iznos	Ncmsan
utrošenih	utrošiti	Appmpgy
proračunskih	proračunski	Agpnpgy
sredstava	sredstvo	Ncnpg
za	za	Sa
troškove	trošak	Ncmpa
ogrjeva	ogrjev	Ncmpg

4.	4.	Mdo
Broj	broj	Ncmsn
osoba	osoba	Ncfpg
koje	koji	Pi-fpa
nisu	biti	Var3p
korisnici	korisnik	Ncmpn
zajamčen	zajamčiti	Appmsnn
minimalne	minimalan	Agpfsgy
naknade	naknada	Ncfsg
,	,	Z
a	a	Cc
kojima	koji	Pi-mpd
je	biti	Var3s
odobreno	odobren	Agpnsny
pravo	pravo	Ncnsn
na	na	Sa
troškove	trošak	Ncmpa
ogrjeva	ogrjev	Ncmpg

5.	5.	Mdo
Ukupan	ukupan	Agpmsann
iznos	iznos	Ncmsan
utrošenih	utrošiti	Appmpgy
proračunskih	proračunski	Agpnpgy
sredstava	sredstvo	Ncnpg
za	za	Sa
troškove	trošak	Ncmpa
ogrjeva	ogrjev	Ncmpg

6.	6.	Mdo
Ukupan	ukupan	Agpmsann
iznos	iznos	Ncmsan
utrošenih	utrošiti	Appmpgy
proračunskih	proračunski	Agpnpgy
sredstava	sredstvo	Ncnpg
za	za	Sa
troškove	trošak	Ncmpa
ogrjeva	ogrjev	Ncmpg
za	za	Sa
korisnike	korisnik	Ncmpa
zajamčene	zajamčiti	Appmpay
minimalne	minimalan	Agpfpay
naknade	naknada	Ncfpa

7.	7.	Mdo
Ukupan	ukupan	Agpmsann
iznos	iznos	Ncmsan
utrošenih	utrošiti	Appmpgy
proračunskih	proračunski	Agpnpgy
sredstava	sredstvo	Ncnpg
za	za	Sa
troškove	trošak	Ncmpa
ogrjeva	ogrjev	Ncmpg
za	za	Sa
osobe	osoba	Ncfpa
koje	koji	Pi-fpa
nisu	biti	Var3p
korisnici	korisnik	Ncmpn
zajamčene	zajamčiti	Appfpny
minimalne	minimalan	Agpfpny
naknade	naknada	Ncfpn
.	.	Z

UNOS	unos	Ncmsn
PODATAKA	podatak	Ncmpg
I	i	Cc
NAČIN	način	Ncmsan
VOĐENJA	vođenje	Ncnsg
EVIDENCIJE	evidencija	Ncfsg

Članak	članak	Ncmsn
5.	5.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Evidencija	evidencija	Ncfsn
prava	pravo	Ncnpg
u	u	Sl
sustavu	sustav	Ncmsl
socijalne	socijalan	Agpfsgy
skrbi	skrb	Ncfsg
vodi	voditi	Vmr3s
se	sebe	Px--sa
u	u	Sl
elektronskom	elektronski	Agpmsly
obliku	oblik	Ncmsl
sukladno	sukladno	Rgp
tablicama	tablica	Ncfpl
o	o	Sl
evidenciji	evidencija	Ncfsl
prava	pravo	Ncnpg
u	u	Sl
sustavu	sustav	Ncmsl
socijalne	socijalan	Agpfsgy
skrbi	skrb	Ncfsg
koje	koji	Pi-fpn
su	biti	Var3p
sastavni	sastavan	Agpmsny
dio	dio	Ncmsn
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
(	(	Z
Prilog	prilog	Ncmsn
1.	1.	Mdo
i	i	Cc
Prilog	prilog	Ncmsn
2.	2.	Mdo
)	)	Z
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Jedinica	jedinica	Ncfsn
lokalne	lokalan	Agpfsgy
i	i	Cc
područne	područni	Agpfsgy
(	(	Z
regionalne	regionalan	Agpfpay
)	)	Z
samouprave	samouprava	Ncfsg
,	,	Z
odnosno	odnosno	Rgp
Grad	grad	Ncmsn
Zagreb	Zagreb	Npmsn
dužna	dužan	Agpfsny
je	biti	Var3s
redovito	redovito	Rgp
ažurirati	ažurirati	Vmn
,	,	Z
odnosno	odnosno	Rgp
unositi	unositi	Vmn
podatke	podatak	Ncmpa
o	o	Sl
pravima	pravo	Ncmpl
u	u	Sl
sustavu	sustav	Ncmsl

