Hrvatske	Hrvatska	Npfsg
mjerama	mjera	Ncfpi
opreza	oprez	Ncmsg
.	.	Z

25.	25.	Mdo

Podnositelj	podnositelj	Ncmsn
ističe	isticati	Vmr3s
da	da	Cs
je	biti	Var3s
Vrhovni	vrhovni	Agpmsny
sud	sud	Ncmsn
propustio	propustiti	Vmp-sm
ocijeniti	ocijeniti	Vmn
jesu	biti	Var3p
li	li	Qq
razlozi	razlog	Ncmpn
koji	koji	Pi-mpn
opravdavaju	opravdavati	Vmr3p
zaključak	zaključak	Ncmsan
o	o	Sl
postojanju	postojanje	Ncnsl
opasnosti	opasnost	Ncfsg
od	od	Sg
bijega	bijeg	Ncmsg
»	»	Z
i	i	Cc
dalje	daleko	Rgc
'	'	Z
relevantni	relevantan	Agpmpny
i	i	Cc
dostatni	dostatan	Agpmpny
'	'	Z
,	,	Z
čime	što	Pi3n-i
je	biti	Var3s
postupio	postupiti	Vmp-sm
suprotno	suprotno	Rgp
praksi	praksa	Ncfsl
Europskog	europski	Agpmsgy
suda	sud	Ncmsg
za	za	Sa
ljudska	ljudski	Agpnpay
prava	pravo	Ncnpa
koji	koji	Pi-msn
ustanovljuje	ustanovljivati	Vmr3s
ovakav	ovakav	Pd-msan
pristup	pristup	Ncmsan
«	«	Z
.	.	Z

U	u	Sl
tom	taj	Pd-msl
smislu	smisao	Ncmsl
dodaje	dodavati	Vmr3s
kako	kako	Cs
je	biti	Var3s
sud	sud	Ncmsn
bio	biti	Vap-sm
dužan	dužan	Agpmsnn
»	»	Z
pomno	pomno	Rgp
i	i	Cc
sistematski	sistematski	Rgp
procijeniti	procijeniti	Vmn
sve	sav	Agpfpay
okolnosti	okolnost	Ncfpa
«	«	Z
koje	koji	Pi-fpn
utječu	utjecati	Vmr3p
na	na	Sa
njegovu	njegov	Ps3fsa
odluku	odluka	Ncfsa
te	te	Cc
»	»	Z
bojazan	bojazan	Ncfsa
od	od	Sg
bijega	bijeg	Ncmsg
sagledavati	sagledavati	Vmn
u	u	Sl
sadašnjem	sadašnji	Agpmsly
vremenskom	vremenski	Agpmsly
kontekstu	kontekst	Ncmsl
te	te	Cc
navesti	navesti	Vmn
koje	koji	Pi-fpa
to	taj	Pd-nsn
okolnosti	okolnost	Ncfpn
danas	danas	Rgp
opravdavaju	opravdavati	Vmr3p
takvo	takav	Pd-nsa
rješenje	rješenje	Ncnsa
«	«	Z
.	.	Z

U	u	Sl
ustavnoj	ustavan	Agpfsly
tužbi	tužba	Ncfsl
dalje	daleko	Rgc
se	sebe	Px--sa
navodi	navoditi	Vmr3s
:	:	Z

»	»	Z
...	...	Z

Posebno	posebno	Rgp
iz	iz	Sg
razloga	razlog	Ncmsg
što	što	Cs
su	biti	Var3p
se	sebe	Px--sa
prvobitne	prvobitan	Agpfpny
okolnosti	okolnost	Ncfpn
u	u	Sl
međuvremenu	međuvrijeme	Ncnsl
izmijenile	izmijeniti	Vmp-pf
i	i	Cc
de	dati	Vmr3s
facto	facto	Cs
nijedna	nijedan	Agpfsny
okolnost	okolnost	Ncfsn
ne	ne	Qz
upućuje	upućivati	Vmr3s
na	na	Sa
bojazan	bojazan	Ncfsa
od	od	Sg
bijega	bijeg	Ncmsg
.	.	Z

Pri	pri	Sl
tome	taj	Pd-nsl
sud	sud	Ncmsn
propušta	propuštati	Vmr3s
cijeniti	cijeniti	Vmn
nesporne	nesporan	Agpfpay
okolnosti	okolnost	Ncfpa
kao	kao	Cs
što	što	Cs
su	biti	Var3p
:	:	Z
činjenica	činjenica	Ncfsn
da	da	Cs
je	biti	Var3s
podnositelju	podnositelj	Ncmsd
ove	ovaj	Pd-fsg
ustavne	ustavan	Agpfsgy
tužbe	tužba	Ncfsg
oduzeta	oduzeti	Appfsny
putna	putni	Agpfsny
isprava	isprava	Ncfsn
,	,	Z
da	da	Cs
su	biti	Var3p
mu	on	Pp3msd
odlukom	odluka	Ncfsi
suda	sud	Ncmsg
blokirana	blokirati	Appfsny
sva	sav	Agpnpay
novčana	novčan	Agpnpay
sredstva	sredstvo	Ncnpa
i	i	Cc
cjelokupna	cjelokupan	Agpfsny
imovina	imovina	Ncfsn
,	,	Z
da	da	Cs
mu	on	Pp3msd
je	biti	Var3s
uskraćena	uskratiti	Appfsny
viza	viza	Ncfsn
za	za	Sa
SAD	SAD	Ncmsan
te	te	Cc
obzirom	obzir	Ncmsi
na	na	Sa
danas	danas	Rgp
gotovo	gotovo	Rgp
notoran	notoran	Agpmsnn
slučaj	slučaj	Ncmsn
vezan	vezan	Agpmsnn
za	za	Sa
pravnu	pravni	Agpfsay
situaciju	situacija	Ncfsa
njega	on	Pp3msa
kao	kao	Cs
bivšeg	bivši	Agpmsayy
premijera	premijer	Ncmsay
bilo	biti	Vap-sn
bi	biti	Vaa3s
iluzorno	iluzoran	Agpnsny
i	i	Cc
pokušati	pokušati	Vmn
pobjeći	pobjeći	Vmn
i	i	Cc
uspješno	uspješno	Rgp
se	sebe	Px--sa
sakriti	sakriti	Vmn
bilo	bilo	Qo
gdje	gdje	Cs
pa	pa	Cc
niti	niti	Qo
u	u	Sl
nekoj	neki	Pi-fsl
drugoj	drugi	Mlofsl
zemlji	zemlja	Ncfsl
.	.	Z

Prema	prema	Sl
praksi	praksa	Ncfsl
Europskog	europski	Agpmsgy
suda	sud	Ncmsg
za	za	Sa
ljudska	ljudski	Agpnpay
prava	pravo	Ncnpa
nadležni	nadležan	Agpmsny
domaći	domaći	Agpmsny
sud	sud	Ncmsn
prilikom	prilikom	Sg
odluke	odluka	Ncfsg
o	o	Sl
produljenju	produljenje	Ncnsl
zbog	zbog	Sg
mogućnosti	mogućnost	Ncfsg
bijega	bijeg	Ncmsg
osobe	osoba	Ncfsg
treba	trebati	Vmr3s
imati	imati	Vmn
u	u	Sl
vidu	vid	Ncmsl
i	i	Cc
karakter	karakter	Ncmsan
i	i	Cc
osobnost	osobnost	Ncfsn
okrivljenika	okrivljenik	Ncmpg
,	,	Z
imovinu	imovina	Ncfsa
okrivljenika	okrivljenik	Ncmpg
,	,	Z
obiteljske	obiteljski	Agpfsgy
veze	veza	Ncfsg
okrivljenika	okrivljenik	Ncmpg
,	,	Z
kontakte	kontakt	Ncmpa
okrivljenika	okrivljenik	Ncmpg
u	u	Sl
inozemstvu	inozemstvo	Ncnsl
,	,	Z
težinu	težina	Ncfsa
presude	presuda	Ncfsg
koja	koji	Pi-fsn
se	sebe	Px--sa
očekuje	očekivati	Vmr3s
,	,	Z
konkretno	konkretan	Agpnsny
stanje	stanje	Ncnsn
detencije	detencija	Ncfsg
okrivljenika	okrivljenik	Ncmpg
,	,	Z
/	/	Z
ne	ne	Qz
/	/	Z
postojanje	postojanje	Ncnsa
jakih	jak	Agpfpgy
veza	veza	Ncfpg
okrivljenika	okrivljenik	Ncmpg
unutar	unutar	Sg
zemlje	zemlja	Ncfsg
kao	kao	Cs
i	i	Cc
veze	veza	Ncfpn
okrivljenika	okrivljenik	Ncmpg
s	sa	Si
državom	država	Ncfsi
u	u	Sl
kojoj	koji	Pi-fsl
je	biti	Var3s
on	on	Pp3msn
procesuiran	procesuirati	Appmsnn
.	.	Z
«	«	Z

U	u	Sl
tom	taj	Pd-msl
smislu	smisao	Ncmsl
podnositelj	podnositelj	Ncmsn
navodi	navoditi	Vmr3s
da	da	Cs
je	biti	Var3s
sud	sud	Ncmsn
pri	pri	Sl
odlučivanju	odlučivanje	Ncnsl
o	o	Sl
produljenju	produljenje	Ncnsl
istražnog	istražni	Agpmsgy
zatvora	zatvor	Ncmsg
propustio	propustiti	Vmp-sm
cijeniti	cijeniti	Vmn
sljedeće	sljedeći	Agpfpay
okolnosti	okolnost	Ncfpa
:	:	Z
da	da	Cs
je	biti	Var3s
podnositelj	podnositelj	Ncmsn
do	do	Sg
sada	sada	Rgp
neosuđivana	neosuđivan	Agpfsny
osoba	osoba	Ncfsn
urednog	uredan	Agpnsgy
građanskog	građanski	Agpnsgy
ponašanja	ponašanje	Ncnsg
i	i	Cc
prošlosti	prošlost	Ncfsg
,	,	Z
koja	koji	Pi-fsn
je	biti	Var3s
zbog	zbog	Sg
svojih	svoj	Px-fpg
kvaliteta	kvaliteta	Ncfpg
i	i	Cc
sposobnosti	sposobnost	Ncfsg
obnašala	obnašati	Vmp-sf
najviše	mnogo	Rgs
i	i	Cc
najodgovornije	odgovoran	Agsmpay
društvene	društven	Agpfsgy
i	i	Cc
državničke	državnički	Agpfsgy
dužnosti	dužnost	Ncfsg
;	;	Z
da	da	Cs
nije	biti	Var3s
imao	imati	Vmp-sm
nikakve	nikakav	Agpfsgy
veze	veza	Ncfsg
niti	niti	Cc
je	biti	Var3s
pripadao	pripadati	Vmp-sm
kriminalnom	kriminalan	Agpmsly
miljeu	milje	Ncmsl
,	,	Z
a	a	Cc
po	po	Sl
prirodi	priroda	Ncfsl
nije	biti	Var3s
osoba	osoba	Ncfsn
koja	koji	Pi-fsn
bi	biti	Vaa3s
imala	imati	Vmp-sf
ikakve	ikakav	Agpfpay
avanturističke	avanturistički	Agpfpay
karakteristike	karakteristika	Ncfpa
;	;	Z
da	da	Cs
su	biti	Var3p
brojne	brojan	Agpfpny
društvene	društven	Agpfpny
veze	veza	Ncfpn
u	u	Sl
zemlji	zemlja	Ncfsl
i	i	Cc
inozemstvu	inozemstvo	Ncnsl
stečene	steći	Appfpny
tijekom	tijekom	Sg
obavljanja	obavljanje	Ncnsg
funkcija	funkcija	Ncfpg
zamjenika	zamjenik	Ncmpg
ministra	ministar	Ncmsg
vanjskih	vanjski	Agpmpgy
poslova	posao	Ncmpg
i	i	Cc
predsjednika	predsjednik	Ncmsg
Vlade	vlada	Ncfsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
,	,	Z
pri	pri	Sl
čemu	što	Pi3n-l
bi	biti	Vaa3s
bilo	biti	Vap-sn
»	»	Z
posve	posve	Rgp
deplasirano	deplasirano	Rgp
«	«	Z
očekivati	očekivati	Vmn
da	da	Cs
bi	biti	Vaa3s
osobe	osoba	Ncfpn
takvog	takav	Pd-msg
statusa	status	Ncmsg
i	i	Cc
društvenih	društven	Agpfpgy
pozicija	pozicija	Ncfpg
pomogle	pomoći	Vmp-pf
podnositelju	podnositelj	Ncmsd
u	u	Sl
njegovom	njegov	Ps3msl
eventualnom	eventualan	Agpmsly

