uvjetom	uvjet	Ncmsi
mirovinsko	mirovinski	Agpnsny
i	i	Cc
zdravstveno	zdravstven	Agpnsny
osiguranje	osiguranje	Ncnsn
)	)	Z
po	po	Sl
osnovi	osnova	Ncfsl
poljoprivrede	poljoprivreda	Ncfsg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
nacionalnim	nacionalan	Agpnsiy
zakonodavstvom	zakonodavstvo	Ncnsi
najmanje	malo	Rgs
pet	pet	Mlc
godina	godina	Ncfpg
nakon	nakon	Sg
konačne	konačan	Agpfsgy
isplate	isplata	Ncfsg
potpore	potpora	Ncfsg
iz	iz	Sg
ove	ovaj	Pd-fsg
mjere	mjera	Ncfsg
.	.	Z

p	p	Npmsn
)	)	Z
Korisnik	korisnik	Ncmsn
mora	morati	Vmr3s
imati	imati	Vmn
uspostavljeno	uspostaviti	Appnsny
knjigovodstvo	knjigovodstvo	Ncnsa
/	/	Z
poslovne	poslovan	Agpfpay
knjige	knjiga	Ncfpa
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
nacionalnim	nacionalan	Agpnsiy
zakonodavstvom	zakonodavstvo	Ncnsi
i	i	Cc
baviti	baviti	Vmn
se	sebe	Px--sa
poljoprivrednim	poljoprivredni	Agpfpdy
aktivnostima	aktivnost	Ncfpd
kao	kao	Cs
glavnim	glavni	Agpnsiy
zanimanjem	zanimanje	Ncnsi
najkasnije	kasno	Rgs
prilikom	prilikom	Sg
podnošenja	podnošenje	Ncnsg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
isplatu	isplata	Ncfsa
treće	treći	Mlofsg
rate	rata	Ncfsg
.	.	Z

PODMJERA	PODMJERA	Npfsn
6.2.	6.2.	Mds

POTPORA	potpora	Ncfsn
ULAGANJU	ulaganje	Ncnsl
U	u	Sa
POKRETANJE	pokretanje	Ncnsa
NEPOLJOPRIVREDNIH	nepoljoprivredni	Agpfpgy
DJELATNOSTI	djelatnost	Ncfpg
U	u	Sl
RURALNIM	ruralan	Agpnply
PODRUČJIMA	područje	Ncnpl

Vrsta	vrsta	Ncfsn
potpore	potpora	Ncfsg

Članak	članak	Ncmsn
9.	9.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
U	u	Sl
okviru	okvir	Ncmsl
Podmjere	Podmjera	Npfsg
6.2.	6.2.	Mdo
potpora	potpora	Ncfsn
se	sebe	Px--sa
dodjeljuje	dodjeljivati	Vmr3s
za	za	Sa
tip	tip	Ncmsan
operacije	operacija	Ncfsg
6.2.1.	6.2.1.	Mds

Potpora	potpora	Ncfsn
ulaganju	ulaganje	Ncnsd
u	u	Sa
pokretanje	pokretanje	Ncnsa
nepoljoprivrednih	nepoljoprivredni	Agpfpgy
djelatnosti	djelatnost	Ncfpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Potpora	potpora	Ncfsn
se	sebe	Px--sa
dodjeljuje	dodjeljivati	Vmr3s
obliku	oblik	Ncmsd
bespovratnih	bespovratan	Agpnpgy
financijskih	financijski	Agpnpgy
sredstava	sredstvo	Ncnpg
.	.	Z
za	za	Sa
provođenje	provođenje	Ncnsa
prihvatljivih	prihvatljiv	Agpfpgy
aktivnosti	aktivnost	Ncfpg
navedenih	naveden	Agpfpgy
u	u	Sl
poslovnom	poslovan	Agpmsly
planu	plan	Ncmsl
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Sredstva	sredstvo	Ncnpn
potpore	potpora	Ncfsg
osiguravaju	osiguravati	Vmr3p
se	sebe	Px--sa
iz	iz	Sg
proračuna	proračun	Ncmsg
Europske	europski	Agpfsgy
unije	unija	Ncfsg
i	i	Cc
državnog	državni	Agpmsgy
proračuna	proračun	Ncmsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
,	,	Z
od	od	Sg
čega	što	Pi3n-g
Europska	europski	Agpfsny
unija	unija	Ncfsn
sudjeluje	sudjelovati	Vmr3s
sa	sa	Si
85	85	Mdc
%	%	Z
udjela	udjel	Ncmsg
,	,	Z
a	a	Cc
Republika	republika	Ncfsn
Hrvatska	Hrvatska	Npfsn
s	sa	Si
15	15	Mdc
%	%	Z
udjela	udjel	Ncmsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Visina	visina	Ncfsn
potpore	potpora	Ncfsg
po	po	Sl
korisniku	korisnik	Ncmsl
iznosi	iznositi	Vmr3s
50.000	50.000	Mdc
eura	euro	Ncmpg
u	u	Sl
kunskoj	kunski	Agpfsly
protuvrijednosti	protuvrijednost	Ncfsl
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Isplata	isplata	Ncfsn
se	sebe	Px--sa
vrši	vršiti	Vmr3s
u	u	Sa
dvije	dva	Mlc
rate	rata	Ncfsg
u	u	Sl
razdoblju	razdoblje	Ncnsl
od	od	Sg
najviše	mnogo	Rgs
3	3	Mdc
godine	godina	Ncfsg
kako	kako	Cs
slijedi	slijediti	Vmr3s
:	:	Z

–	i	Agpfsny
isplata	isplata	Ncfsn
prve	prvi	Mlofsg
rate	rata	Ncfsg
u	u	Sl
iznosu	iznos	Ncmsl
od	od	Sg
50	50	Mdc
%	%	Z
ukupno	ukupno	Rgp
odobrene	odobren	Agpfsgy
javne	javan	Agpfsgy
potpore	potpora	Ncfsg
nakon	nakon	Sg
odluke	odluka	Ncfsg
o	o	Sl
dodjeli	dodjela	Ncfsl
potpore	potpora	Ncfsg
,	,	Z

–	–	Z
isplata	isplata	Ncfsn
druge	drugi	Mlofsg
/	/	Z
zadnje	zadnji	Agpfsgy
rate	rata	Ncfsg
će	htjeti	Var3s
se	sebe	Px--sa
slijediti	slijediti	Vmn
nakon	nakon	Sg
provedenih	provesti	Agpfpgy
aktivnosti	aktivnost	Ncfpg
prikazanih	prikazan	Agpmpgy
u	u	Sl
poslovnom	poslovan	Agpmsly
planu	plan	Ncmsl
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Potpora	potpora	Ncfsn
za	za	Sa
pokretanje	pokretanje	Ncnsa
nepoljoprivredne	nepoljoprivredni	Agpfsgy
djelatnosti	djelatnost	Ncfsg
unutar	unutar	Sg
ovoga	ovaj	Pd-msg
tipa	tip	Ncmsg
operacije	operacija	Ncfsg
može	moći	Vmr3s
se	sebe	Px--sa
dodijeliti	dodijeliti	Vmn
za	za	Sa
jednu	jedan	Agpfsay
nepoljoprivrednu	nepoljoprivredni	Agpfsay
djelatnost	djelatnost	Ncfsa
po	po	Sl
jednom	jedan	Mlcmsl
korisniku	korisnik	Ncmsl
u	u	Sl
cijelom	cijel	Agpnsly
programskom	programski	Agpnsly
razdoblju	razdoblje	Ncnsl
2014.	2014.	Mdo
–	–	Z
2020.	2020.	Mdo

(	(	Z
7	7	Mdc
)	)	Z
Potpora	potpora	Ncfsn
se	sebe	Px--sa
dodjeljuje	dodjeljivati	Vmr3s
za	za	Sa
novu	nov	Agpfsay
nepoljoprivrednu	nepoljoprivredni	Agpfsay
djelatnost	djelatnost	Ncfsa
koja	koji	Pi-fsn
nije	biti	Var3s
započeta	započeti	Appfsny
do	do	Sg
vremena	vrijeme	Ncnsg
podnošenja	podnošenje	Ncnsg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
.	.	Z

(	(	Z
8	8	Mdc
)	)	Z
Zahtjev	zahtjev	Ncmsan
za	za	Sa
potporu	potpora	Ncfsa
unutar	unutar	Sg
ovoga	ovaj	Pd-msg
tipa	tip	Ncmsg
operacije	operacija	Ncfsg
može	moći	Vmr3s
se	sebe	Px--sa
podnijeti	podnijeti	Vmn
tek	tek	Rgp
nakon	nakon	Sg
izvršene	izvršen	Agpfsgy
konačne	konačan	Agpfsgy
isplate	isplata	Ncfsg
potpore	potpora	Ncfsg
po	po	Sl
prethodnom	prethodan	Agpmsly
zahtjevu	zahtjev	Ncmsl
za	za	Sa
potporu	potpora	Ncfsa
.	.	Z

Prihvatljivi	prihvatljiv	Agpmpny
korisnici	korisnik	Ncmpn

Članak	članak	Ncmsn
10.	10.	Mdo

Korisnici	korisnik	Ncmpn
su	biti	Var3p
poljoprivredna	poljoprivredni	Agpnpny
gospodarstva	gospodarstvo	Ncnpn
upisana	upisati	Appfsny
u	u	Sa
Upisnik	upisnik	Ncmsan
poljoprivrednih	poljoprivredni	Agpnpgy
gospodarstava	gospodarstvo	Ncnpg
te	te	Cc
fizičke	fizički	Agpfpay
osobe	osoba	Ncfpa
u	u	Sl
svojstvu	svojstvo	Ncnsl
nositelja	nositelj	Ncmsg
ili	ili	Cc
člana	član	Ncmsay
obiteljskog	obiteljski	Agpnsgy
poljoprivrednog	poljoprivredni	Agpnsgy
gospodarstva	gospodarstvo	Ncnsg
koji	koji	Pi-mpn
pokreću	pokretati	Vmr3p
novu	nov	Agpfsay
nepoljoprivrednu	nepoljoprivredni	Agpfsay
djelatnost	djelatnost	Ncfsa
u	u	Sl
ruralnim	ruralan	Agpnply
područjima	područje	Ncnpl
.	.	Z

Prihvatljive	prihvatljiv	Agpfpny
aktivnosti	aktivnost	Ncfpn

Članak	članak	Ncmsn
11.	11.	Mdo

Prihvatljive	prihvatljiv	Agpfpny
aktivnosti	aktivnost	Ncfpn
iz	iz	Sg
članka	članak	Ncmsg
9.	9.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
odnose	odnositi	Vmr3p
se	sebe	Px--sa
na	na	Sa
:	:	Z

a	a	Cc
)	)	Z
turizam	turizam	Ncmsan
u	u	Sl
ruralnom	ruralan	Agpnsly
području	područje	Ncnsl
(	(	Z
građenje	građenje	Ncnsn
i	i	Cc
/	/	Z
ili	ili	Cc
opremanje	opremanje	Ncnsa
objekata	objekt	Ncmpg
i	i	Cc
/	/	Z
ili	ili	Cc
turističke	turistički	Agpfsgy
infrastrukture	infrastruktura	Ncfsg
za	za	Sa
pružanje	pružanje	Ncnsa
turističkih	turistički	Agpmpgy
i	i	Cc
/	/	Z
ili	ili	Cc
ugostiteljskih	ugostiteljski	Agpfpgy
usluga	usluga	Ncfpg
sukladno	sukladno	Rgp
propisima	propis	Ncmpi
iz	iz	Sg
područja	područje	Ncnsg
turizma	turizam	Ncmsg
i	i	Cc
ugostiteljstva	ugostiteljstvo	Ncnsg
)	)	Z
,	,	Z

b	b	Npfsn
)	)	Z
tradicijske	tradicijski	Agpfsgy
,	,	Z
umjetničke	umjetnički	Agpmpay
obrte	obrt	Ncmpa
,	,	Z
izradu	izrada	Ncfsa
suvenira	suvenir	Ncmpg
(	(	Z
građenje	građenje	Ncnsn
i	i	Cc
/	/	Z
ili	ili	Cc
opremanje	opremanje	Ncnsa
objekata	objekt	Ncmpg
u	u	Sl
kojima	koji	Pi-mpl
se	sebe	Px--sa
obavlja	obavljati	Vmr3s
djelatnost	djelatnost	Ncfsn
tradicijskih	tradicijski	Agpmpgy
obrta	obrt	Ncmpg
,	,	Z
uključujući	uključivati	Rr
objekte	objekt	Ncmpa
u	u	Sl
kojima	koji	Pi-fpl
se	sebe	Px--sa
obavlja	obavljati	Vmr3s
pakiranje	pakiranje	Ncnsa
i	i	Cc
trženje	trženje	Ncnsa
proizvoda	proizvod	Ncmpg
tradicijskih	tradicijski	Agpmpgy
obrta	obrt	Ncmpg
)	)	Z
,	,	Z

c	C	Npmsn
)	)	Z
pružanje	pružanje	Ncnsa
usluga	usluga	Ncfpg
u	u	Sl
ruralnim	ruralan	Agpnply
područjima	područje	Ncnpl
,	,	Z
poljoprivredi	poljoprivreda	Ncfsl
i	i	Cc
šumarstvu	šumarstvo	Ncnsl
(	(	Z
građenje	građenje	Ncnsn
i	i	Cc
/	/	Z
ili	ili	Cc
opremanje	opremanje	Ncnsa
objekata	objekt	Ncmpg
za	za	Sa
pružanje	pružanje	Ncnsa
usluga	usluga	Ncfpg
u	u	Sl
ruralnim	ruralan	Agpnply
područjima	područje	Ncnpl
)	)	Z
,	,	Z

d	d	Npmsn
)	)	Z
preradu	prerada	Ncfsa
,	,	Z
marketing	marketing	Ncmsan
i	i	Cc
izravnu	izravan	Agpfsay
prodaju	prodaja	Ncfsa
lokalnih	lokalan	Agpmpgy
proizvoda	proizvod	Ncmpg
(	(	Z
građenje	građenje	Ncnsn
i	i	Cc
/	/	Z
ili	ili	Cc
opremanje	opremanje	Ncnsa
objekata	objekt	Ncmpg
za	za	Sa
preradu	prerada	Ncfsa
,	,	Z
skladištenje	skladištenje	Ncnsa
,	,	Z
pakiranje	pakiranje	Ncnsa
i	i	Cc
/	/	Z
ili	ili	Cc
izravnu	izravan	Agpfsay
prodaju	prodaja	Ncfsa
lokalnih	lokalan	Agpmpgy
proizvoda	proizvod	Ncmpg
)	)	Z
.	.	Z

Uvjeti	uvjet	Ncmpn
prihvatljivosti	prihvatljivost	Ncfsg

Članak	članak	Ncmsn
12.	12.	Mdo

a	a	Cc
)	)	Z
Korisnik	korisnik	Ncmsn
mora	morati	Vmr3s
biti	biti	Van
upisan	upisati	Appmsnn
u	u	Sa
Upisnik	upisnik	Ncmsan
poljoprivrednih	poljoprivredni	Agpnpgy
gospodarstava	gospodarstvo	Ncnpg
najmanje	malo	Rgs
jednu	jedan	Mlcfsa
godinu	godina	Ncfsa
prije	prije	Sg
podnošenja	podnošenje	Ncnsg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
.	.	Z

b	b	Npmsn
)	)	Z
Poljoprivredno	poljoprivredni	Agpnsny
gospodarstvo	gospodarstvo	Ncnsn
u	u	Sl
trenutku	trenutak	Ncmsl
podnošenja	podnošenje	Ncnsg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
pripada	pripadati	Vmr3s
ekonomskoj	ekonomski	Agpfsly
veličini	veličina	Ncfsl
iskazanoj	iskazati	Appfsly
u	u	Sl
ukupnom	ukupan	Agpmsly
standardnom	standardan	Agpmsly
ekonomskom	ekonomski	Agpmsly
rezultatu	rezultat	Ncmsl

