osiguran	osigurati	Appmsnn
signalu	signal	Ncmsl
na	na	Sa
rasputnici	rasputnic	Agpmsayn
vozni	vozan	Agpmsayn
put	put	Ncmsan
završava	završavati	Vmr3s
na	na	Sl
posljednjem	posljednji	Agpmsly
kontroliranom	kontrolirati	Agpmsly
odsjeku	odsjek	Ncmsl
kod	kod	Sg
suprotnog	suprotan	Agpmsgy
zaštitnog	zaštitni	Agpmsgy
signala	signal	Ncmsg
.	.	Z

Vrsta	vrsta	Ncfsn
voznog	vozan	Agpmsgy
puta	put	Ncmsg

Članak	članak	Ncmsn
23.	23.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Složeni	složen	Agpmsny
vozni	vozan	Agpmsny
put	put	Ncmsn
sastoji	sastojati	Vmr3s
se	sebe	Px--sa
od	od	Sg
dva	dva	Mlc
ili	ili	Cc
više	mnogo	Rgc
istovremeno	istovremeno	Rgp
postavljenih	postavljen	Agpmpgy
voznih	vozan	Agpmpgy
puteva	put	Ncmpg
za	za	Sa
isti	isti	Agpmsayn
vlak	vlak	Ncmsan
koji	koji	Pi-msn
se	sebe	Px--sa
nastavljaju	nastavljati	Vmr3p
jedan	jedan	Mlcmsn
na	na	Sa
drugi	drugi	Mlomsan
.	.	Z

Prolazni	prolazan	Agpmsny
vozni	vozan	Agpmsny
put	put	Ncmsn
su	biti	Var3p
istovremeno	istovremeno	Rgp
postavljeni	postavljen	Agpmpny
vozni	vozan	Agpmpny
putevi	put	Ncmpn
za	za	Sa
prolazak	prolazak	Ncmsan
istog	isti	Agpmsgy
vlaka	vlak	Ncmsg
kroz	kroz	Sa
kolodvor	kolodvor	Ncmsan
ili	ili	Cc
postavljeni	postavljen	Agpmsayn
vozni	vozan	Agpmsayn
put	put	Ncmsan
za	za	Sa
vožnju	vožnja	Ncfsa
preko	preko	Sg
rasputnice	rasputnica	Ncfsg
.	.	Z

Projektnim	projektni	Agpfpiy
tablicama	tablica	Ncfpi
moraju	morati	Vmr3p
se	sebe	Px--sa
predvidjeti	predvidjeti	Vmn
željeni	željeti	Appmpny
prolazni	prolazan	Agpmpny
vozni	vozan	Agpmpny
putevi	put	Ncmpn
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
ESSU	ess	Ncmsl
mora	morati	Vmr3s
omogućiti	omogućiti	Vmn
postavljanje	postavljanje	Ncnsa
prolaznog	prolazan	Agpmsgy
voznog	vozan	Agpmsgy
puta	put	Ncmsg
izvršenjem	izvršenje	Ncnsi
jedne	jedan	Mlcfsg
ili	ili	Cc
dvije	dva	Mlcf-n
naredbe	naredba	Ncfsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Obilazni	obilazan	Agpmsny
vozni	vozan	Agpmsny
put	put	Ncmsn
je	biti	Var3s
vrsta	vrsta	Ncfsn
voznog	vozan	Agpmsgy
puta	put	Ncmsg
kod	kod	Sg
kojeg	koji	Pi-msg
se	sebe	Px--sa
osigurava	osiguravati	Vmr3s
alternativna	alternativan	Agpfsny
trasa	trasa	Ncfsn
između	između	Sg
»	»	Z
starta	startati	Vmr3s
«	«	Z
i	i	Cc
»	»	Z
cilja	cilj	Ncmsg
«	«	Z
voznog	vozan	Agpmsgy
puta	put	Ncmsg
,	,	Z
ako	ako	Cs
postoji	postojati	Vmr3s
.	.	Z

Projektnim	projektni	Agpfpiy
tablicama	tablica	Ncfpi
odabire	odabirati	Vmr3s
se	sebe	Px--sa
redovni	redovan	Agpmsny
vozni	vozan	Agpmsny
put	put	Ncmsn
,	,	Z
u	u	Sl
pravilu	pravilo	Ncnsl
kao	kao	Cs
najbrža	brz	Agsfsny
mogućnost	mogućnost	Ncfsn
vožnje	vožnja	Ncfsg
između	između	Sg
starta	start	Ncmsg
i	i	Cc
cilja	cilj	Ncmsg
.	.	Z

Ako	ako	Cs
redovni	redovan	Agpmsayn
vozni	vozan	Agpmsayn
put	put	Ncmsan
nije	biti	Var3s
moguće	moguć	Agpnsny
postaviti	postaviti	Vmn
,	,	Z
onda	onda	Rgp
projektnim	projektni	Agpfpiy
tablicama	tablica	Ncfpi
treba	trebati	Vmr3s
predvidjeti	predvidjeti	Vmn
alternativne	alternativan	Agpmpay
vozne	vozan	Agpmpay
putove	put	Ncmpa
,	,	Z
što	što	Pi3n-n
ESSU	ESSU	Pp2-sa
mora	morati	Vmr3s
omogućiti	omogućiti	Vmn
.	.	Z

Signalizacija	signalizacija	Ncfsn
na	na	Sl
pripadnom	pripadan	Agpmsly
glavnom	glavni	Agpmsly
signalu	signal	Ncmsl
mora	morati	Vmr3s
odgovarati	odgovarati	Vmn
postavljenom	postavljen	Agpmsdy
voznom	vozan	Agpmsly
putu	put	Ncmsl
(	(	Z
redovna	redovan	Agpfsny
ili	ili	Cc
ograničena	ograničiti	Agpfsny
brzina	brzina	Ncfsn
)	)	Z
.	.	Z

Razrješenje	razrješenje	Ncnsn
obilaznog	obilazan	Agpmsgy
voznog	vozan	Agpmsgy
puta	put	Ncmsg
odvija	odvijati	Vmr3s
se	sebe	Px--sa
uz	uz	Sa
iste	isti	Agpmpay
uvjete	uvjet	Ncmpa
kao	kao	Cs
za	za	Sa
redovni	redovan	Agpmsayn
vozni	vozan	Agpmsayn
put	put	Ncmsan
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Ulazak	ulazak	Ncmsan
vlaka	vlak	Ncmsg
na	na	Sa
prvi	prvi	Mlomsan
odsjek	odsjek	Ncmsan
podijeljenog	podijeljen	Agpmsgy
kolosijeka	kolosijek	Ncmsg
naziva	nazivati	Vmr3s
se	sebe	Px--sa
»	»	Z
kratki	kratak	Agpmpny
«	«	Z
ulaz	ulaz	Ncmsan
.	.	Z

Ako	ako	Cs
je	biti	Var3s
kolosijek	kolosijek	Ncmsn
podijeljen	podijeliti	Appmsnn
na	na	Sa
više	mnogo	Rgc
od	od	Sg
dva	dva	Mlc
odsjeka	odsjek	Ncmsg
,	,	Z
onda	onda	Rgp
se	sebe	Px--sa
i	i	Qo
ulazak	ulazak	Ncmsn
vlaka	vlak	Ncmsg
na	na	Sa
sve	sav	Agpfpay
odsjeke	odsjeka	Ncfpa
osim	osim	Sg
posljednjeg	posljednji	Agpmsgy
također	također	Rgp
naziva	nazivati	Vmr3s
»	»	Z
kratki	kratak	Agpmpny
«	«	Z
ulaz	ulaz	Ncmsan
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Ulazak	ulazak	Ncmsan
vlaka	vlak	Ncmsg
na	na	Sa
posljednji	posljednji	Agpmsayn
odsjek	odsjek	Ncmsan
podijeljenog	podijeljen	Agpmsgy
kolosijeka	kolosijek	Ncmsg
naziva	nazivati	Vmr3s
se	sebe	Px--sa
»	»	Z
dugi	dug	Agpmpny
«	«	Z
ulaz	ulaz	Ncmsan
.	.	Z

Granični	graničan	Agpmpny
kolosiječni	kolosiječan	Agpmpny
signali	signal	Ncmpn
u	u	Sl
voznom	vozan	Agpmsly
putu	put	Ncmsl
u	u	Sl
ovom	ovaj	Pd-msl
slučaju	slučaj	Ncmsl
su	biti	Var3p
međusignali	međusignati	Vmp-pm
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Izlazak	izlazak	Ncmsan
vlaka	vlak	Ncmsg
od	od	Sg
izlaznog	izlazni	Agpmsgy
signala	signal	Ncmsg
na	na	Sl
podijeljenom	podijeljen	Agpmsly
kolosijeku	kolosijek	Ncmsl
naziva	nazivati	Vmr3s
se	sebe	Px--sa
»	»	Z
kratki	kratak	Agpmpny
«	«	Z
izlaz	izlaz	Ncmsn
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Izlazak	izlazak	Ncmsan
vlaka	vlak	Ncmsg
od	od	Sg
graničnog	graničan	Agpmsgy
kolosiječnog	kolosiječan	Agpmsgy
signala	signal	Ncmsg
na	na	Sl
podijeljenom	podijeljen	Agpmsly
kolosijeku	kolosijek	Ncmsl
naziva	nazivati	Vmr3s
se	sebe	Px--sa
»	»	Z
dugi	dug	Agpmpny
«	«	Z
izlaz	izlaz	Ncmsn
.	.	Z

Kolosiječni	kolosiječan	Agpmsny
izlazni	izlazni	Agpmsny
signal	signal	Ncmsn
u	u	Sl
ovom	ovaj	Pd-msl
slučaju	slučaj	Ncmsl
naziva	nazivati	Vmr3s
se	sebe	Px--sa
međusignal	međusignal	Ncmsn
.	.	Z

Izlazak	izlazak	Ncmsn
vlaka	vlak	Ncmsg
od	od	Sg
graničnog	graničan	Agpmsgy
kolosiječnog	kolosiječan	Agpmsgy
signala	signal	Ncmsg
pored	pored	Sg
skupinskog	skupinski	Agpmsgy
signala	signal	Ncmsg
također	također	Rgp
je	biti	Var3s
»	»	Z
dugi	dug	Agpmsny
«	«	Agpmsny
izlaz	izlaz	Ncmsn
.	.	Z

1.2.2	1.2.i	Agpnsny
Osiguranje	osiguranje	Ncnsn
voznog	vozan	Agpmsgy
puta	put	Ncmsg
vlaka	vlak	Ncmsg

Članak	članak	Ncmsn
24.	24.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Vozni	vozan	Agpmsny
put	put	Ncmsn
vlaka	vlak	Ncmsg
tehnički	tehnički	Agpmsny
je	biti	Var3s
osiguran	osigurati	Appmsnn
ako	ako	Cs
:	:	Z

–	–	Z
nema	nemati	Vmr3s
nesukladnih	nesukladan	Agpmpgy
(	(	Z
nekompatibilnih	nekompatibilan	Agpmpgy
)	)	Z
voznih	vozan	Agpmpgy
puteva	put	Ncmpg
ili	ili	Cc
manevarskih	manevarski	Agpmpgy
voznih	vozan	Agpmpgy
puteva	put	Ncmpg
,	,	Z

–	–	Z
postoji	postojati	Vmr3s
put	put	Ncmsn
proklizavanja	proklizavanje	Ncnsg
,	,	Z

–	–	Z
slobodni	slobodan	Agpmpny
su	biti	Var3p
kontrolirani	kontrolirati	Appmpny
odsjeci	odsjeći	Vmm2s
vlakovnog	vlakovan	Agpmsgy
voznog	vozan	Agpmsgy
puta	put	Ncmsg
,	,	Z

–	i	Agpfpny
su	biti	Var3p
skretnice	skretnica	Ncfpn
u	u	Sl
pravilnom	pravilan	Agpmsly
položaju	položaj	Ncmsl
,	,	Z

–	–	Z
postoji	postojati	Vmr3s
bočna	bočni	Agpfsny
zaštita	zaštita	Ncfsn
,	,	Z

–	–	Z
postoji	postojati	Vmr3s
čelna	čelni	Agpfsny
zaštita	zaštita	Ncfsn
,	,	Z

–	–	Z
postoji	postojati	Vmr3s
zaštita	zaštita	Ncfsn
od	od	Sg
sustizanja	sustizanje	Ncnsg
,	,	Z

–	–	Vap-sn
je	biti	Var3s
ispravno	ispravan	Agpnsny
signaliziranje	signaliziranje	Ncnsn
i	i	Cc
predsignaliziranje	predsignaliziranje	Ncnsa
,	,	Z

–	–	Pd-nsn
je	biti	Var3s
uređaj	uređaj	Ncmsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
ŽCP-a	ŽCP	Npmsg
u	u	Sl
zaštitnom	zaštitni	Agpnsly
stanju	stanje	Ncnsl
.	.	Z

Ako	ako	Cs
se	sebe	Px--sa
radi	raditi	Vmr3s
o	o	Sl
uređajima	uređaj	Ncmpl
za	za	Sa
osiguranje	osiguranje	Ncnsa
ŽCP-a	ŽCP	Npmsg
koji	koji	Pi-mpn
prelaze	prelaziti	Vmr3p
u	u	Sa
zaštitno	zaštitni	Agpnsay
stanje	stanje	Ncnsa
nailaskom	nailazak	Ncmsi
vlaka	vlak	Ncmsg
,	,	Z
onda	onda	Rgp
nakon	nakon	Sg
potvrde	potvrda	Ncfsg
istih	isti	Agpfpgy
da	da	Cs
su	biti	Var3p
ispravni	ispravan	Agpmpny
ili	ili	Cc
u	u	Sl
stanju	stanje	Ncnsl
smetnje	smetnja	Ncfsg
i	i	Cc
da	da	Cs
su	biti	Var3p
prihvatili	prihvatiti	Vmp-pm
informaciju	informacija	Ncfsa
o	o	Sl
blokiranju	blokiranje	Ncnsl
voznog	vozan	Agpmsgy
puta	put	Ncmsg
,	,	Z

–	i	Agpnsay
blokiranje	blokiranje	Ncnsa
elemenata	element	Ncmpg
voznog	vozan	Agpmsgy
puta	put	Ncmsg
i	i	Cc
voznog	vozan	Agpmsgy
puta	put	Ncmsg
,	,	Z

(	(	Z
2	2	Mdc
)	)	Z
U	u	Sl
vlakovnom	vlakovan	Agpmsly
voznom	vozan	Agpmsly
putu	put	Ncmsl
ne	ne	Qz
smije	smjeti	Vmr3s
se	sebe	Px--sa
nalaziti	nalaziti	Vmn
iskliznica	iskliznica	Ncfsn
.	.	Z

Nesukladni	nesukladan	Agpmpny
(	(	Z
nekompatibilni	nekompatibilan	Agpmpny
)	)	Z
vozni	vozan	Agpmsayn
put	put	Ncmsan
vlaka	vlak	Ncmsg
ili	ili	Cc
manevarski	manevarski	Agpmsayn
vozni	vozan	Agpmsayn
put	put	Ncmsan

Članak	članak	Ncmsn
25.	25.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Nesukladni	nesukladan	Agpmsny
(	(	Z
nekompatibilni	nekompatibilan	Agpmpny
)	)	Z
vozni	vozan	Agpmsayn
put	put	Ncmsan
vlaka	vlak	Ncmsg
ili	ili	Cc
manevarski	manevarski	Agpmsayn
vozni	vozan	Agpmsayn
put	put	Ncmsan
je	biti	Var3s
onaj	onaj	Pd-msn
koji	koji	Pi-msn
u	u	Sa
bilo	bilo	Qo
kojoj	koji	Pi-fsl
točki	točka	Ncfsl
sječe	sječa	Ncfsg
,	,	Z
dodiruje	dodirivati	Vmr3s
ili	ili	Cc
preklapa	preklapati	Vmr3s
postavljeni	postavljen	Agpmsayn
vozni	vozan	Agpmsayn
put	put	Ncmsan
vlak	vlak	Ncmsn
(	(	Z
osim	osim	Sg
puta	put	Ncmsg
proklizavanja	proklizavanje	Ncnsg
)	)	Z
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Put	put	Sg
proklizavanja	proklizavanje	Ncnsg
jednog	jedan	Agpnsgy
vlakovnog	vlakovan	Agpmsgy
voznog	vozan	Agpmsgy
puta	put	Ncmsg
ne	ne	Qz
smije	smjeti	Vmr3s
se	sebe	Px--sa
sjeći	sjeći	Vmn
,	,	Z
dodirivati	dodirivati	Vmn
ili	ili	Cc

