Napomena	napomena	Ncfsn
ispitivanja	ispitivanje	Ncnsg
Sokovi	sok	Ncmpn
od	od	Sg
voća	voće	Ncnsg
i	i	Cc
povrća	povrće	Ncnsg
Određivanje	određivanje	Ncnsn
količine	količina	Ncfsg
natrija	natrij	Ncmsg
,	,	Z
kalija	kalij	Ncmsg
,	,	Z
kalcija	kalcij	Ncmsg
i	i	Cc
magnezija	magnezij	Ncmsg
atomskom	atomski	Agpfsiy
apsorpcijskom	apsorpcijski	Agpfsiy
spektrometrijom	spektrometrija	Ncfsi
(	(	Z
AAS	AAS	Npmsn
)	)	Z
HRN	HRN	Npmsn
EN	EN	Npmsn
1134:2001	1134:2001	Mdc
Hrana	hrana	Ncfsn
Određivanje	određivanje	Ncnsn
ukupnog	ukupan	Agpmsgy
kositra	kositar	Ncmsg
u	u	Sl
voću	voće	Ncnsl
i	i	Cc
povrću	povrće	Ncnsl
konzerviranom	konzerviran	Agpnsly
u	u	Sl
limenkama	limenka	Ncfpl
tehnikom	tehnika	Ncfsi
plamene	plamen	Agpfsgy
atomske	atomski	Agpfsgy
apsorpcijske	apsorpcijski	Agpfsgy
spektrometrije	spektrometrija	Ncfsg
(	(	Z
AAS	AAS	Npmsn
)	)	Z
HRN	HRN	Npmsn
CEN	CEN	Npmsn
/	/	Z
TS	TS	Y
15506:2007	15506:200i	Agpnsny
Određivanje	određivanje	Ncnsn
ukupnog	ukupan	Agpmsgy
udjela	udjel	Ncmsg
žive	živa	Ncfsg
u	u	Sl
hrani	hrana	Ncfsl
Analizatorom	analizator	Ncmsi
žive	živjeti	Vmr3p
AMA	ama	Ncmpd
254	254	Mdc
Prilagođena	prilagoditi	Appfsny
metoda	metoda	Ncfsn
prema	prema	Sl
uputi	uputa	Ncfsl
proizvođača	proizvođač	Ncmsg
opreme	oprema	Ncfsg
AMA	AM	Npmsg
254	254	Mdc
Advanced	Advanced	Xf
Mercury	Mercury	Xf
Analyser	Analyser	Xf
Operating	Operating	Xf
manual	manual	Ncmsan
,	,	Z
2002	2002	Mdc
,	,	Z
Altec	Altec	Npmsn
Ltd.	Ltd.	Y

Oznaka	oznaka	Ncfsn
-	-	Z
MET-10	met-1i	Agpnsny
Izdanje	izdanje	Ncnsn
:	:	Z
1/2	1/2	Mdc
,	,	Z
Datum	datum	Ncmsn
:	:	Z
2.5.2006.	2.5.2006.	Mdo

Određivanje	određivanje	Ncnsn
natrija	natrij	Ncmsg
,	,	Z
magnezija	magnezij	Ncmsg
i	i	Cc
kalcija	kalcij	Ncmsg
atomskom	atomski	Agpfsiy
apsorpcijskom	apsorpcijski	Agpfsiy
spektrometrijom	spektrometrija	Ncfsi
nakon	nakon	Sg
mikrovalne	mikrovalan	Agpfsgy
razgradnje	razgradnja	Ncfsg
HRN	HRN	Npfsg
EN	EN	Npfsg
15505:2008	15505:200i	Agpnsny
Određivanje	određivanje	Ncnsn
cinka	cink	Ncmsg
,	,	Z
bakra	bakar	Ncmsg
i	i	Cc
željeza	željezo	Ncnsg
atomskom	atomski	Agpfsiy
apsorpcijskom	apsorpcijski	Agpfsiy
spektrometrijom	spektrometrija	Ncfsi
nakon	nakon	Sg
mikrovalne	mikrovalan	Agpfsgy
razgradnje	razgradnja	Ncfsg
HRN	HRN	Npmsn
EN	EN	Npmsn
14084:2005	14084:2005	Mdc

II	ii	Mrc
.	.	Z

Objavom	objava	Ncfsi
ovoga	ovaj	Pd-msg
Popisa	popis	Ncmsg
prestaje	prestajati	Vmr3s
važiti	važiti	Vmn
Popis	popis	Ncmsan
referentnih	referentan	Agpmpgy
laboratorija	laboratorij	Ncmpg
za	za	Sa
hranu	hrana	Ncfsa
i	i	Cc
hranu	hrana	Ncfsa
za	za	Sa
životinje	životinja	Ncfpa
objavljen	objaviti	Appmsnn
u	u	Sl
»	»	Z
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
,	,	Z
broj	broj	Ncmsn
122	122	Mdc
od	od	Sg
2.	2.	Mdo
listopada	listopad	Ncmsg
2013.	2013.	Mdo
godine	godina	Ncfsg
.	.	Z

Klasa	klasa	Ncfsn
:	:	Z
322	322	Mdc
-	-	Z
01/15	01/15	Mdc
-	-	Z
01/177	01/177	Mdc

Urbroj	urbroj	Ncmsn
:	:	Z
525	525	Mdc
-	-	Z
10/1308	10/1308	Mdc
-	-	Z
15	15	Mdc
-	-	Z
2	2	Mdc

Zagreb	Zagreb	Npmsn
,	,	Z
23.	23.	Mdo
veljače	veljača	Ncfsg
2015.	2015.	Mdo

Ministar	ministar	Ncmsn
Tihomir	Tihomir	Npmsn
Jakovina	Jakovina	Npmsn
,	,	Z
v.	v.	Y
r.	r.	Y

