opravdana	opravdati	Appfsny
iz	iz	Sg
članka	članak	Ncmsg
21.	21.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

Pružatelji	pružatelj	Ncmpn
medijskih	medijski	Agpfpgy
usluga	usluga	Ncfpg
koji	koji	Pi-mpn
su	biti	Var3p
ishodili	ishoditi	Vmp-pm
odobrenje	odobrenje	Ncnsa
za	za	Sa
provedbu	provedba	Ncfsa
nagradne	nagradni	Agpfsgy
igre	igra	Ncfsg
od	od	Sg
Ministarstva	ministarstvo	Ncnsg
financija	financije	Ncfpg
dužni	dužan	Agpmpny
su	biti	Var3p
isto	isto	Rgp
odmah	odmah	Rgp
dostaviti	dostaviti	Vmn
Vijeću	vijeće	Ncnsd
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Vijeće	vijeće	Ncnsn
za	za	Sa
elektroničke	elektronički	Agpmpay
medije	medij	Ncmpa
će	htjeti	Var3s
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
15	15	Mdc
dana	dan	Ncmpg
od	od	Sg
zaprimanja	zaprimanje	Ncnsg
zahtjeva	zahtjev	Ncmpg
izdati	izdati	Vmn
svoju	svoj	Px-fsa
suglasnost	suglasnost	Ncfsa
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Ako	ako	Cs
Vijeće	vijeće	Ncnsn
utvrdi	utvrda	Ncfpg
da	da	Cs
su	biti	Var3p
pravila	pravilo	Ncnpn
suprotna	suprotan	Agpnpny
zakonskim	zakonski	Agpmpdy
propisima	propis	Ncmpl
kao	kao	Cs
i	i	Cc
odredbama	odredba	Ncfpi
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
izvijestit	izvijestiti	Vmn
će	htjeti	Var3s
o	o	Sl
tome	taj	Pd-nsl
pružatelja	pružatelj	Ncmpg
medijskih	medijski	Agpfpgy
usluga	usluga	Ncfpg
te	te	Cc
mu	on	Pp3msd
dati	dati	Vmn
primjereni	primjeren	Agpmsayn
rok	rok	Ncmsan
za	za	Sa
otklanjanje	otklanjanje	Ncnsa
uočenih	uočiti	Agpmpgy
nedostataka	nedostatak	Ncmpg
.	.	Z

III	III	Mrc
.	.	Z

OZNAČAVANJE	označavanje	Ncnsn
REPRIZA	repriza	Ncfpg
I	i	Cc
OSTALIH	ostali	Agpmpgy
PROGRAMA	program	Ncmpg

Članak	članak	Ncmsn
22.	22.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Pod	pod	Si
reprizom	repriza	Ncfsi
se	sebe	Px--sa
smatra	smatrati	Vmr3s
ponovno	ponovan	Agpnsay
objavljivanje	objavljivanje	Ncnsa
programa	program	Ncmpg
nakon	nakon	Sg
proteka	protek	Ncmsg
perioda	period	Ncmsg
od	od	Sg
sedam	sedam	Mlc
(	(	Z
7	7	Mdc
)	)	Z
dana	dan	Ncmpg
.	.	Z

Ponovno	ponovan	Agpnsny
objavljivanje	objavljivanje	Ncnsn
individualnih	individualan	Agpmpgy
glazbenih	glazben	Agpmpgy
spotova	spot	Ncmpg
odnosno	odnosno	Rgp
pjesama	pjesma	Ncfpg
ne	ne	Qz
smatra	smatrati	Vmr3s
se	sebe	Px--sa
reprizom	repriza	Ncfsi
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Reprize	repriza	Ncfsg
audiovizualnog	audiovizualan	Agpmsgy
programa	program	Ncmsg
koji	koji	Pi-msn
u	u	Sl
sebi	sebe	Px--sl
sadrže	sadržati	Vmr3p
elemente	element	Ncmpa
interakcije	interakcija	Ncfsg
s	sa	Si
gledateljima	gledatelj	Ncmpi
i	i	Cc
/	/	Z
ili	ili	Cc
poziv	poziv	Ncmsan
gledateljima	gledatelj	Ncmpd
na	na	Sa
akciju	akcija	Ncfsa
ili	ili	Cc
ih	oni	Pp3-pa
mogu	moći	Vmr3p
dovesti	dovesti	Vmn
u	u	Sa
zabunu	zabuna	Ncfsa
(	(	Z
reality	reality	Xf
show	show	Ncmsn
i	i	Cc
druga	drugi	Mlonpa
natjecanja	natjecanje	Ncnpa
s	sa	Si
pozivom	poziv	Ncmsi
na	na	Sa
glasovanje	glasovanje	Ncnsa
,	,	Z
interaktivni	interaktivan	Agpmpny
kvizovi	kviz	Ncmpn
,	,	Z
rasprava	rasprava	Ncfsn
o	o	Sl
političkim	politički	Agpfply
i	i	Cc
/	/	Z
ili	ili	Cc
društvenim	društven	Agpfpiy
temama	tema	Ncfpi
,	,	Z
i	i	Cc
sl.	sl.	Y
)	)	Z
označeni	označiti	Appmpny
su	biti	Var3p
slovom	slovo	Ncnsi
R	ti	Appfpny
u	u	Sl
gornjem	gornji	Agpmsly
kutu	kut	Ncmsl
ekrana	ekran	Ncmsg
,	,	Z
veličine	veličina	Ncfsg
ne	ne	Qz
manje	malo	Rgc
od	od	Sg
logotipa	logotip	Ncmsg
pružatelja	pružatelj	Ncmpg
medijske	medijski	Agpfsgy
usluge	usluga	Ncfsg
,	,	Z
i	i	Cc
to	taj	Pd-nsa
cijelo	cijel	Agpnsay
vrijeme	vrijeme	Ncnsa
objavljivanja	objavljivanje	Ncnsg
bez	bez	Sg
obzira	obzir	Ncmsg
na	na	Sa
vrijeme	vrijeme	Ncnsa
koje	koji	Pi-nsn
je	biti	Var3s
proteklo	proteći	Vmp-sn
od	od	Sg
premijernog	premijerni	Agpnsgy
objavljivanja	objavljivanje	Ncnsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Reprize	repriza	Ncfsg
i	i	Cc
snimke	snimka	Ncfsg
sportskih	sportski	Agpmpgy
prijenosa	prijenos	Ncmpg
obavezno	obavezno	Rgp
se	sebe	Px--sa
označavaju	označavati	Vmr3p
riječju	riječ	Ncfsi
SNIMKA	snimka	Ncfsn
tijekom	tijekom	Sg
cijelog	cijel	Agpnsgy
trajanja	trajanje	Ncnsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Audiovizualni	audiovizualan	Agpmpny
sadržaji	sadržaj	Ncmpn
čiji	čiji	Pi-mpn
se	sebe	Px--sa
dijelovi	dio	Ncmpn
ponovno	ponovno	Rgp
objavljuju	objavljivati	Vmr3p
u	u	Sl
sklopu	sklop	Ncmsl
novoproizvedenih	novoproizveden	Agpfpgy
emisija	emisija	Ncfpg
,	,	Z
a	a	Cc
mogu	moći	Vmr3p
se	sebe	Px--sa
povezati	povezati	Vmn
s	sa	Si
aktualnim	aktualan	Agpnpiy
događanjima	događanje	Ncnpi
ili	ili	Cc
ilustriraju	ilustrirati	Vmr3p
aktualni	aktualan	Agpmsayn
događaj	događaj	Ncmsan
,	,	Z
obvezno	obvezno	Rgp
se	sebe	Px--sa
moraju	morati	Vmr3p
označiti	označiti	Vmn
riječima	riječ	Ncfpi
ARHIVA	arhiv	Ncmsg
ili	ili	Cc
ARHIVSKI	arhivski	Agpmsayn
MATERIJAL	materijal	Ncmsan
tijekom	tijekom	Sg
cjelokupnog	cjelokupan	Agpnsgy
trajanja	trajanje	Ncnsg
tog	taj	Pd-msg
dijela	dio	Ncmsg
emisije	emisija	Ncfsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Svaku	svaki	Pi-fsa
reprizu	repriza	Ncfsa
kod	kod	Sg
koje	koji	Pi-fsg
je	biti	Var3s
od	od	Sg
premijernog	premijerni	Agpnsgy
objavljivanja	objavljivanje	Ncnsg
proteklo	proteklo	Rgp
manje	malo	Rgc
od	od	Sg
12	12	Mdc
mjeseci	mjesec	Ncmpg
,	,	Z
osim	osim	Cs
u	u	Sl
slučajevima	slučaj	Ncmpl
iz	iz	Sg
stavaka	stavak	Ncmpg
3.	3.	Mdo
i	i	Cc
4.	4.	Mdo
,	,	Z
označava	označavati	Vmr3s
se	sebe	Px--sa
slovom	slovo	Ncnsi
R	r	Agpmsnn
i	i	Cc
prilikom	prilikom	Sg
svake	svaki	Pi-fsg
najave	najava	Ncfsg
i	i	Cc
u	u	Sl
rasporedu	raspored	Ncmsl
programa	program	Ncmpg
na	na	Sl
teletekstu	teletekst	Ncmsl
,	,	Z
elektroničkom	elektronički	Agpmsly
programskom	programski	Agpmsly
vodiču	vodič	Ncmsl
,	,	Z
webu	web	Ncmsl
i	i	Cc
u	u	Sl
drugim	drugi	Agpmply
oblicima	oblik	Ncmpl
komuniciranja	komuniciranje	Ncnsg
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Najave	najava	Ncfsg
i	i	Cc
raspored	raspored	Ncmsan
programa	program	Ncmsg
na	na	Sl
teletekstu	teletekst	Ncmsl
,	,	Z
elektroničkim	elektronički	Agpmsiy
programskom	programski	Agpmsly
vodiču	vodič	Ncmsl
,	,	Z
webu	web	Ncmsl
i	i	Cc
u	u	Sl
drugim	drugi	Agpmply
oblicima	oblik	Ncmpl
komuniciranja	komuniciranje	Ncnsg
za	za	Sa
serijski	serijski	Agpmsayn
program	program	Ncmsan
obavezno	obavezno	Rgp
mora	morati	Vmr3s
sadržavati	sadržavati	Vmn
redni	redni	Agpmsayn
broj	broj	Ncmsan
epizode	epizoda	Ncfsg
i	i	Cc
sezonu	sezona	Ncfsa
serije	serija	Ncfsg
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Obveza	obveza	Ncfsn
iz	iz	Sg
stavka	stavak	Ncmsg
5.	5.	Mdo
i	i	Cc
6.	6.	Mdo
ovoga	ovaj	Pd-nsg
članka	članak	Ncmsg
na	na	Sa
odgovarajući	odgovarajući	Agpmsayn
se	sebe	Px--sa
način	način	Ncmsan
primjenjuje	primjenjivati	Vmr3s
i	i	Cc
na	na	Sa
pružatelje	pružatelj	Ncmpa
medijske	medijski	Agpfpay
usluge	usluga	Ncfpa
radija	radio	Ncmpg
.	.	Z

Članak	članak	Ncmsn
23.	23.	Mdo

Pružatelji	pružatelj	Ncmpn
medijskih	medijski	Agpfpgy
usluga	usluga	Ncfpg
odgovorni	odgovoran	Agpmpny
su	biti	Var3p
za	za	Sa
primjenu	primjena	Ncfsa
odredaba	odredba	Ncfpg
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
a	a	Cc
krajnja	krajnji	Agpfsny
odgovornost	odgovornost	Ncfsn
za	za	Sa
ono	onaj	Pd-nsa
što	što	Pi3n-a
maloljetnici	maloljetnik	Ncmpn
gledaju	gledati	Vmr3p
i	i	Cc
slušaju	slušati	Vmr3p
počiva	počivati	Vmr3s
na	na	Sl
roditeljima	roditelj	Ncmpl
i	i	Cc
starateljima	staratelj	Ncmpl
.	.	Z

Članak	članak	Ncmsn
24.	24.	Mdo

Do	do	Sg
kraja	kraj	Ncmsg
2015.	2015.	Mdo
godine	godina	Ncfsg
Vijeće	vijeće	Ncnsn
će	htjeti	Var3s
donijeti	donijeti	Vmn
detaljne	detaljan	Agpfpay
preporuke	preporuka	Ncfpa
za	za	Sa
provedbu	provedba	Ncfsa
odredaba	odredba	Ncfpg
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

Članak	članak	Ncmsn
25.	25.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Pružatelji	pružatelj	Ncmpn
medijskih	medijski	Agpfpgy
usluga	usluga	Ncfpg
dužni	dužan	Agpmpny
su	biti	Var3p
uskladiti	uskladiti	Vmn
emitiranje	emitiranje	Ncnsa
programa	program	Ncmpg
s	sa	Si
odredbama	odredba	Ncfpi
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
trideset	trideset	Mlc
(	(	Z
30	30	Mdc
)	)	Z
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmpg
stupanja	stupanje	Ncnsg
Pravilnika	pravilnik	Ncmsg
na	na	Sa
snagu	snaga	Ncfsa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Izuzetno	izuzetno	Rgp
od	od	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
pružatelji	pružatelj	Ncmpn
medijskih	medijski	Agpfpgy
usluga	usluga	Ncfpg
dužni	dužan	Agpmpny
su	biti	Var3p
zvučnu	zvučan	Agpfsay
najavu	najava	Ncfsa
propisanu	propisati	Appfsay

