dužan	dužan	Agpmsnn
EZP	EZP	Npmsn
se	sebe	Px--sa
nalazi	nalaziti	Vmr3s
na	na	Sl
obradivom	obradiv	Agpnsly
zemljištu	zemljište	Ncnsl
,	,	Z
osim	osim	Sg
površina	površina	Ncfsn
s	sa	Si
kulturama	kultura	Ncfpi
kratkih	kratak	Agpfpgy
ophodnji	ophodnja	Ncfpg
.	.	Z

Rubni	rubni	Agpmpny
pojasevi	pojas	Ncmpn
duž	duž	Sg
vodotoka	vodotok	Ncmsg
,	,	Z
pojasevi	pojas	Ncmpn
prihvatljivih	prihvatljiv	Agpmpgy
hektara	hektar	Ncmpg
uz	uz	Sa
rubove	rub	Ncmpa
šuma	šum	Ncmsg
te	te	Cc
pojedina	pojedini	Agpnpay
obilježja	obilježje	Ncnpa
krajobraza	krajobraza	Pi-mpn
mogu	moći	Vmr3p
se	sebe	Px--sa
nalaziti	nalaziti	Vmn
na	na	Sl
granici	granica	Ncfsl
obradivog	obradiv	Agpnsgy
zemljišta	zemljište	Ncnsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Izračuni	Izračun	Npmpn
površina	površina	Ncfsn
potencijalnih	potencijalan	Agpmpgy
EZP	ez	Ncmpg
stabilnih	stabilan	Agpmpgy
elemenata	element	Ncmpg
dobivaju	dobivati	Vmr3p
se	sebe	Px--sa
umnoškom	umnožak	Ncmsi
faktora	faktor	Ncmsg
i	i	Cc
vrijednosti	vrijednost	Ncfsg
elemenata	element	Ncmpg
EZP-a	EZP	Npmsg
iz	iz	Sg
Priloga	prilog	Ncmsg
II	II	Npmsn
koji	koji	Pi-msn
je	biti	Var3s
sastavni	sastavan	Agpmsny
dio	dio	Ncmsn
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Zemljište	zemljište	Ncnsn
na	na	Sl
ugaru	ugar	Ncmsl
postaje	postajati	Vmr3s
sastavni	sastavan	Agpmsny
dio	dio	Ncmsn
EZP	EZP	Npmsn
stabilnih	stabilan	Agpmpgy
elemenata	element	Ncmpg
,	,	Z
ukoliko	ukoliko	Cs
je	biti	Var3s
tri	tri	Mlc
uzastopne	uzastopni	Agpfsgy
godine	godina	Ncfsg
na	na	Sl
istoj	isti	Agpfsly
poljoprivrednoj	poljoprivredni	Agpfsly
površini	površina	Ncfsl
evidentirano	evidentirati	Appnsny
kroz	kroz	Sa
aplikaciju	aplikacija	Ncfsa
za	za	Sa
grafičko	grafički	Agpnsay
podnošenje	podnošenje	Ncnsa
Jedinstvenog	jedinstven	Agpmsgy
zahtjeva	zahtjev	Ncmsg
.	.	Z

Obilježja	obilježje	Ncnpn
krajobraza	krajobraz	Ncmsg

Članak	članak	Ncmsn
11.	11.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Unutar	unutar	Sg
ARKOD	ARKO	Npmsg
sustava	sustav	Ncmsg
vodi	voditi	Vmr3s
se	sebe	Px--sa
evidencija	evidencija	Ncfsn
obilježja	obilježje	Ncnsg
krajobraza	krajobraz	Ncmpg
.	.	Z

Ukoliko	ukoliko	Cs
su	biti	Var3p
sastavni	sastavan	Agpmsny
dio	dio	Ncmsn
ARKOD	ARKOD	Sa
parcele	parcela	Ncfpa
i	i	Cc
nalaze	nalaziti	Vmr3p
se	sebe	Px--sa
na	na	Sl
poljoprivrednom	poljoprivredni	Agpnsly
zemljištu	zemljište	Ncnsl
ili	ili	Cc
na	na	Sl
njegovoj	njegov	Ps3fsl
granici	granica	Ncfsl
,	,	Z
potrebno	potreban	Agpnsny
je	biti	Var3s
označiti	označiti	Vmn
navedene	naveden	Agpmpay
elemente	element	Ncmpa
obilježja	obilježje	Ncnsg
krajobraza	krajobraz	Ncmsg
iz	iz	Sg
članka	članak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
su	biti	Var3p
obilježja	obilježje	Ncnpn
krajobraza	krajobraz	Ncmsg
iz	iz	Sg
članka	članak	Ncmsg
2.	2.	Mdo
točaka	točka	Ncfpg
17.	17.	Mdo
,	,	Z
19.	19.	Mdo
i	i	Cc
21.	21.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
tradicionalno	tradicionalno	Rgp
dio	dio	Ncmsn
dobre	dobar	Agpfsgy
poljoprivredne	poljoprivredni	Agpfsgy
prakse	praksa	Ncfsg
u	u	Sl
određenoj	određen	Agpfsly
regiji	regija	Ncfsl
,	,	Z
njihova	njihov	Ps3fsn
širina	širina	Ncfsn
može	moći	Vmr3s
izuzetno	izuzetno	Rgp
biti	biti	Van
do	do	Sg
4	4	Mdc
metra	metar	Ncmsg
,	,	Z
ako	ako	Cs
se	sebe	Px--sa
nalaze	nalaziti	Vmr3p
između	između	Sg
dvije	dva	Mlcf-n
poljoprivredne	poljoprivredni	Agpfsgy
parcele	parcela	Ncfsg
istoga	isti	Agpmsgy
ili	ili	Cc
različitoga	različit	Agpnsgy
poljoprivrednog	poljoprivredni	Agpnsgy
gospodarstva	gospodarstvo	Ncnsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
se	sebe	Px--sa
obilježje	obilježje	Ncnsn
krajobraza	krajobraz	Ncmsg
nalazi	nalaziti	Vmr3s
na	na	Sl
granici	granica	Ncfsl
ili	ili	Cc
između	između	Sg
više	mnogo	Rgc
ARKOD	arko	Agpfpgy
parcela	parcela	Ncfpg
,	,	Z
tada	tada	Rgp
njegova	njegov	Ps3fsn
površina	površina	Ncfsn
ulazi	ulaziti	Vmr3s
u	u	Sa
ukupnu	ukupan	Agpfsay
prihvatljivu	prihvatljiv	Agpfsay
površinu	površina	Ncfsa
ARKOD	ARKOD	Sg
parcele	parcela	Ncfsg
sukladno	sukladno	Rgp
dogovorenoj	dogovoriti	Agpfsly
podjeli	podjela	Ncfsl
između	između	Sg
korisnika	korisnik	Ncmpg
.	.	Z

Zapisnik	zapisnik	Ncmsn

Članak	članak	Ncmsn
12.	12.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Nakon	nakon	Sg
unosa	unos	Ncmsg
podataka	podatak	Ncmpg
,	,	Z
ARKOD	arkod	Agpmsny
sustav	sustav	Ncmsn
generira	generirati	Vmr3s
zapisnik	zapisnik	Ncmsan
o	o	Sl
uporabi	uporaba	Ncfsl
poljoprivrednih	poljoprivredni	Agpfpgy
površina	površina	Ncfpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Svojim	svoj	Px-msi
potpisom	potpis	Ncmsi
na	na	Sl
Zapisniku	Zapisnik	Npmsl
,	,	Z
poljoprivrednik	poljoprivrednik	Ncmsn
potvrđuje	potvrđivati	Vmr3s
istinitost	istinitost	Ncfsa
i	i	Cc
vjerodostojnost	vjerodostojnost	Ncfsa
unesenih	unijeti	Appmpgy
podataka	podatak	Ncmpg
.	.	Z

ARKOD	arkoi	Agpfpay
parcele	parcela	Ncfpa
u	u	Sl
preklapanju	preklapanje	Ncnsl

Članak	članak	Ncmsn
13.	13.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
se	sebe	Px--sa
poljoprivrednik	poljoprivrednik	Ncmsn
izjasnio	izjasniti	Vmp-sm
da	da	Cs
koristi	koristiti	Vmr3s
parcelu	parcela	Ncfsa
koja	koji	Pi-fsn
je	biti	Var3s
već	već	Rgp
pridružena	pridružiti	Appfsny
drugom	drugi	Mlomsl
poljoprivredniku	poljoprivrednik	Ncmsl
,	,	Z
parcela	parcela	Ncfsn
se	sebe	Px--sa
evidentira	evidentirati	Vmr3s
kao	kao	Cs
parcela	parcela	Ncfsn
u	u	Sl
preklapanju	preklapanje	Ncnsl
i	i	Cc
kao	kao	Cs
takva	takav	Pd-fsn
neće	htjeti	Var3s
se	sebe	Px--sa
pridružiti	pridružiti	Vmn
niti	niti	Qo
jednom	jednom	Rgp
od	od	Sg
njih	oni	Pp3-pg
do	do	Sg
trenutka	trenutak	Ncmsg
rješavanja	rješavanje	Ncnsg
preklapanja	preklapanje	Ncnsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Parcela	parcela	Ncfsn
u	u	Sl
preklapanju	preklapanje	Ncnsl
evidentira	evidentirati	Vmr3s
se	sebe	Px--sa
u	u	Sl
Zapisniku	Zapisnik	Npmsl
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Poljoprivrednici	poljoprivrednik	Ncmpn
kojima	koji	Pi-mpi
je	biti	Var3s
evidentirano	evidentirati	Agpnsny
preklapanje	preklapanje	Ncnsn
ARKOD	ARKOD	Sg
parcela	parcela	Ncfpg
pozivaju	pozivati	Vmr3p
se	sebe	Px--sa
na	na	Sa
sastanak	sastanak	Ncmsan
za	za	Sa
rješavanje	rješavanje	Ncnsa
preklapanja	preklapanje	Ncnsg
tj.	tji	Agpnsay
usklađivanje	usklađivanje	Ncnsa
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
se	sebe	Px--sa
poljoprivrednici	poljoprivrednik	Ncmpn
ne	ne	Qz
mogu	moći	Vmr3p
dogovoriti	dogovoriti	Vmn
oko	oko	Sg
korištenja	korištenje	Ncnsg
parcele	parcela	Ncfsg
,	,	Z
Agencija	agencija	Ncfsn
će	htjeti	Var3s
nakon	nakon	Sg
provedene	provesti	Agpfsgy
administrativne	administrativan	Agpfsgy
kontrole	kontrola	Ncfsg
pridružiti	pridružiti	Vmn
ARKOD	ar	Agcfpay
parcele	parcela	Ncfpa
u	u	Sl
preklopu	preklop	Ncmsl
onom	onaj	Pd-msl
poljoprivredniku	poljoprivrednik	Ncmsl
koje	koji	Ncnsn
svoje	svoj	Px-nsa
pravo	pravo	Ncnsa
korištenja	korištenje	Ncnsg
ili	ili	Cc
vlasništva	vlasništvo	Ncnsg
može	moći	Vmr3s
potkrijepiti	potkrijepiti	Vmn
dokumentacijom	dokumentacija	Ncfsi
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
se	sebe	Px--sa
jedan	jedan	Mlcmsn
od	od	Sg
poljoprivrednika	poljoprivrednik	Ncmpg
čije	čiji	Pi-mpa
su	biti	Var3p
ARKOD	ar	Agcfpny
parcele	parcela	Ncfpn
u	u	Sl
preklapanju	preklapanje	Ncnsl
ne	ne	Qz
odazove	odazvati	Vmr3s
na	na	Sa
sastanak	sastanak	Ncmsan
za	za	Sa
rješavanje	rješavanje	Ncnsa
preklapanja	preklapanje	Ncnsg
,	,	Z
preklapanje	preklapanje	Ncnsn
se	sebe	Px--sa
rješava	rješavati	Vmr3s
sukladno	sukladno	Rgp
dokumentaciji	dokumentacija	Ncfsd
(	(	Z
izvatkom	izvadak	Ncmsi
iz	iz	Sg
zemljišnih	zemljišni	Agpfpgy
knjiga	knjiga	Ncfpg
,	,	Z
izvatkom	izvadak	Ncmsi
iz	iz	Sg
katastra	katastar	Ncmsg
,	,	Z
ovjerenim	ovjeriti	Agpmsiy
ugovorom	ugovor	Ncmsi
o	o	Sl
zakupu	zakup	Ncmsl
,	,	Z
dugogodišnjem	dugogodišnji	Agpmsly
zakupu	zakup	Ncmsl
,	,	Z
prodaji	prodaja	Ncfsl
,	,	Z
koncesiji	koncesija	Ncfsl
ili	ili	Cc
plodouživanju	plodouživanje	Ncnsl
,	,	Z
služnosti	služnost	Ncfsl
šumskog	šumski	Agpnsgy
zemljišta	zemljište	Ncnsg
ili	ili	Cc
darovanju	darovanje	Ncnsl
,	,	Z
pravomoćnom	pravomoćan	Agpfsiy
sudskom	sudski	Agpfsiy
odlukom	odluka	Ncfsi
ili	ili	Cc
drugim	drugi	Mlonpl
pravomoćnim	pravomoćan	Agpnply
rješenjima	rješenje	Ncnpl
nadležnog	nadležan	Agpnsgy
tijela	tijelo	Ncnsg
i	i	Cc
drugo	drugi	Mlonsn
)	)	Z
na	na	Sl
temelju	temelj	Ncmsl
koje	koji	Pi-fpa
poljoprivrednik	poljoprivrednik	Ncmsn
koji	koji	Pi-msn
se	sebe	Px--sa
odazvao	odazvati	Vmp-sm
na	na	Sa
sastanak	sastanak	Ncmsan
ima	imati	Vmr3s
pravo	pravo	Ncnsa
na	na	Sa
pridruživanje	pridruživanje	Ncnsa
parcele	parcela	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

O	o	Sl
provedenoj	provesti	Agpfsly
promjeni	promjena	Ncfsl
Agencija	agencija	Ncfsn
dostavlja	dostavljati	Vmr3s
obavijest	obavijest	Ncfsa
poljoprivredniku	poljoprivrednik	Ncmsd
koji	koji	Pi-msn
se	sebe	Px--sa
nije	biti	Var3s
odazvao	odazvati	Vmp-sm

