neuromuskularnim	neuromuskularan	Agpfpiy
PE020	PE020	Mdc
VEP	VEP	Y
–	–	Z
pattern-shift	pattern-shift	Ncfsn
djeteta	dijete	Ncnsg
7,33	7,33	Mdc
1.612,60	1.612,60	Mdc
PE021	PE021	Mdc
AEP	AEP	Y
–	–	Z
EOAE	eoa	Ncmpa
djeteta	dijete	Ncnsg
3,09	3,09	Mdc
679,80	679,80	Mdc
PE022	PE022	Mdc
AEP	AEP	Y
–	–	Z
ASSR	ASSR	Npmsn
djeteta	dijete	Ncnsg
5,93	5,93	Mdc
1.304,60	1.304,60	Mdc
PE023	PE023	Mdc
AEP	AEP	Y
–	–	Z
ABR	ABR	Npmsn
djeteta	dijete	Ncnsg
5,18	5,18	Mdc
1.139,60	1.139,60	Mdc
PE024	PE024	Mdc
AEP	AEP	Y
–	–	Z
MLR	MLR	Npmsn
djeteta	dijete	Ncnsg
5,83	5,83	Mdc
1.282,60	1.282,60	Mdc
PE025	PE025	Mdc
SEP	si	Agpnsgy
djeteta	dijete	Ncnsg
Obračunava	obračunavati	Vmr3s
se	sebe	Px--sa
po	po	Sl
broju	broj	Ncmsl
ispitivanih	ispitivati	Agpmpgy
živaca	živac	Ncmpg
4,00	4,00	Mdc
880,00	880,00	Mdc
PE026	PE026	Mdc
Lumbalna	lumbalan	Agpfsny
punkcija	punkcija	Ncfsn
kod	kod	Sg
djeteta	dijete	Ncnsg
mlađeg	mlad	Agcmsgy
od	od	Sg
3	3	Mdc
mjeseca	mjesec	Ncmsg
ili	ili	Cc
starijeg	star	Agcmsgy
od	od	Sg
10	10	Mdc
godina	godina	Ncfpg
2,29	2,29	Mdc
503,80	503,80	Mdc
PE027	PE027	Mdc
Lumbalna	lumbalan	Agpfsny
punkcija	punkcija	Ncfsn
kod	kod	Sg
djeteta	dijete	Ncnsg
starijeg	star	Agcmsgy
od	od	Sg
3	3	Mdc
mjeseca	mjesec	Ncmsg
i	i	Cc
mlađeg	mlad	Agcmsgy
od	od	Sg
10	10	Mdc
godina	godina	Ncfpg
3,02	3,02	Mdc
664,40	664,40	Mdc
PE028	PE028	Mdc
Prostigminski	prostigminski	Agpmsny
test	test	Ncmsn
kod	kod	Sg
djeteta	dijete	Ncnsg
1,53	1,53	Mdc
336,60	336,60	Mdc
PE029	PE029	Mdc
PPD	ppi	Agpnsny
testiranje	testiranje	Ncnsn
djece	dijete	Ncnpg
0,68	0,68	Mdc
149,60	149,60	Mdc
PE030	PE030	Mdc
Baby	Baby	Xf
bodi	bodi	Ncmsan
pletizmografija	pletizmografija	Ncfpg
Uključuje	uključivati	Vmr3s
i.	i.	Ncnsa
v.	v.	Sa
sedaciju	sedacija	Ncfsa
,	,	Z
sva	sav	Agpnpny
mjerenja	mjerenje	Ncnpn
i	i	Cc
nadzor	nadzor	Ncmsan
anesteziologa	anesteziolog	Ncmpg
i	i	Cc
pulmologa	pulmolog	Ncmpg
.	.	Z

Uključuje	uključivati	Vmr3s
spirometriju	spirometrija	Ncfsa
,	,	Z
mjerenje	mjerenje	Ncnsa
svih	sav	Agpmpgy
plućnih	plućni	Agpmpgy
volumena	volumen	Ncmpg
,	,	Z
kapaciteta	kapacitet	Ncmsg
i	i	Cc
otpora	otpor	Ncmpg
dišnih	dišni	Agpmpgy
puteva	put	Ncmpg
–	–	Z
uključuje	uključivati	Vmr3s
lijekove	lijek	Ncmpa
i	i	Cc
potrošni	potrošan	Agpmsayn
materijal	materijal	Ncmsan
.	.	Z

Ne	ne	Qz
uključuje	uključivati	Vmr3s
difuzijski	difuzijski	Agpmsny
kapacitet	kapacitet	Ncmsn
pluća	pluća	Ncnpg
.	.	Z
29,01	29,01	Mdc
6.382,20	6.382,20	Mdc
PE031	PE031	Mdc
Spirometrija	spirometrija	Ncfpg
djeteta	dijete	Ncnsg
do	do	Sg
6	6	Mdc
godina	godina	Ncfpg
Uključuje	uključivati	Vmr3s
krivulju	krivulja	Ncfsa
disanja	disanje	Ncnsg
,	,	Z
protok	protok	Ncmsn
/	/	Z
volumen	volumen	Ncmsan
i	i	Cc
volumen	volumen	Ncmsn
/	/	Z
vrijeme	vrijeme	Ncnsa
–	–	Z
uključuje	uključivati	Vmr3s
potrošni	potrošan	Agpmsayn
materijal	materijal	Ncmsan
1,73	1,73	Mdc
380,60	380,60	Mdc
PE032	PE032	Mdc
Bronhoskopija	bronhoskopij	Agpnpgy
djece	dijete	Ncnpg
3,25	3,25	Mdc
715,00	715,00	Mdc
PE033	PE033	Mdo
Biopsija	biopsija	Ncfsn
pluća	pluća	Ncnpg
djeteta	dijete	Ncnsg
5,42	5,42	Mdc
1.192,40	1.192,40	Mdc
PE034	PE034	Mdc
Inhalacijska	inhalacijski	Agpfsny
terapija	terapija	Ncfsn
djeteta	dijete	Ncnsg
Ne	ne	Qz
može	moći	Vmr3s
se	sebe	Px--sa
obračunati	obračunati	Vmn
u	u	Sl
dnevnoj	dnevni	Agpfsly
bolnici	bolnica	Ncfsl
i	i	Cc
u	u	Sl
JDK	JD	Npmsl
.	.	Z
2,12	2,12	Mdc
466,40	466,40	Mdc
PE035	PE035	Mdc
Fizikalna	fizikalan	Agpfsny
terapija	terapija	Ncfsn
djece	dijete	Ncnpg
individualna	individualan	Agpfsny
–	–	Z
pedijatrijska	pedijatrijski	Agpfsny
pulmologija	pulmologija	Ncfsn
1,13	1,13	Mdc
248,60	248,60	Mdc
PE036	PE036	Mdc
Hiposenzibilizacija	Hiposenzibilizacij	Npmsay
na	na	Sa
inhalacijske	inhalacijski	Agpmpay
alergene	alergeni	Agpmpay
/	/	Z
opnokrilce	opnokrilac	Ncmpa
djeteta	dijete	Ncnsg
15,35	15,35	Mdc
3.377,00	3.377,00	Mdc
PE037	PE037	Mdc
Dijagnostička	dijagnostički	Agpfsny
punkcija	punkcija	Ncfsn
zglobova	zglob	Ncmpg
djeteta	dijete	Ncnsg
3,23	3,23	Mdc
710,60	710,60	Mdc
PE038	PE038	Mdc
Terapijska	terapijski	Agpfsny
punkcija	punkcija	Ncfsn
zgloba	zglob	Ncmsg
uz	uz	Sa
aplikaciju	aplikacija	Ncfsa
kortikosteroida	kortikosteroid	Ncmsg
kod	kod	Sg
djeteta	dijete	Ncnsg
2,03	2,03	Mdc
446,60	446,60	Mdc
PE039	PE039	Mdc
EKG	ei	Agpnsgy
djeteta	dijete	Ncnsg
do	do	Sg
7	7	Mdc
godina	godina	Ncfpg
ili	ili	Cc
u	u	Sl
težim	težak	Agpmply
uvjetima	uvjet	Ncmpl
1,29	1,29	Mdc
283,80	283,80	Mdc
PE040	PE040	Mdc
Fetalna	fetalan	Agpfsny
ehokardiografija	ehokardiografija	Ncfsn
Po	po	Sl
plodu	plod	Ncmsl
.	.	Z

Uključuje	uključivati	Vmr3s
analizu	analiza	Ncfsa
fetomateralne	fetomateralan	Agpfsgy
cirkulacije	cirkulacija	Ncfsg
.	.	Z

Uz	uz	Sa
medicinsku	medicinski	Agpfsay
indikaciju	indikacija	Ncfsa
ne	ne	Qz
uključuje	uključivati	Vmr3s
PE070	pe07a	Ncfpa
.	.	Z
4,50	4,50	Mdc
990,00	990,00	Mdc
PE041	PE041	Mdc
Mikciometrija	Mikciometri	Npmsay
–	–	Z
Uroflow	Uroflow	Npmsn
djeteta	dijete	Ncnsg
2,66	2,66	Mdc
585,20	585,20	Mdc
PE042	pe04i	Agpnsny
Utvrđivanje	utvrđivanje	Ncnsn
profila	profil	Ncmsg
uretre	uretra	Ncfsg
djeteta	dijete	Ncnsg
2,30	2,30	Mdc
506,00	506,00	Mdc
PE043	pe04i	Agpnsny
Mjerenje	mjerenje	Ncnsn
abdominalnog	abdominalan	Agpmsgy
pritiska	pritisak	Ncmsg
ili	ili	Cc
abdominalnog	abdominalan	Agpmsgy
sfinktera	sfinkter	Ncmsg
kod	kod	Sg
djeteta	dijete	Ncnsg
3,02	3,02	Mdc
664,40	664,40	Mdc
PE044	PE044	Mdc
Kombinirano	kombiniran	Agpnsny
mjerenje	mjerenje	Ncnsn
intraabdominalnog	intraabdominalan	Agpmsgy
pritiska	pritisak	Ncmsg
,	,	Z
cistometrija	cistometrij	Ncmsg
,	,	Z
profil	profil	Ncmsn
pritiska	pritisak	Ncmsg
uretre	uretra	Ncfsg
,	,	Z
elektromioneurografija	elektromioneurografija	Ncfsn
sfinktera	sfinkter	Ncmpg
kod	kod	Sg
djeteta	dijete	Ncnsg
7,36	7,36	Mdc
1.619,20	1.619,20	Mdc
PE045	pe04i	Agpnsny
Testiranje	testiranje	Ncnsn
osjetljivosti	osjetljivost	Ncfsg
mjehura	mjehur	Ncmsg
kod	kod	Sg
djeteta	dijete	Ncnsg
2,18	2,18	Mdc
479,60	479,60	Mdc
PE046	PE046	Pi-fsn
Cistoskopija	cistoskopija	Ncfsn
s	sa	Si
uretroskopijom	uretroskopija	Ncfsi
kod	kod	Sg
djeteta	dijete	Ncnsg
4,35	4,35	Mdc
957,00	957,00	Mdc
PE047	PE047	Mdc
Endoskopsko	endoskopski	Agpnsny
liječenje	liječenje	Ncnsn
vezikoureteralnog	vezikoureteralan	Agpmsgy
refluksa	refluks	Ncmsg
VUR-a	VUR	Npmsg
(	(	Z
Deflux	Deflux	Npmsn
)	)	Z
djeteta	dijete	Ncnsg
3,63	3,63	Mdc
798,60	798,60	Mdc
PE048	PE048	Mdo
Biopsija	biopsija	Ncfsn
mjehura	mjehur	Ncmsg
kod	kod	Sg
djeteta	dijete	Ncnsg
2,92	2,92	Mdc
642,40	642,40	Mdc
PE049	pe04i	Agpnsny
Ispiranje	ispiranje	Ncnsn
mokraćnog	mokraćni	Agpmsgy
mjehura	mjehur	Ncmsg
kod	kod	Sg
djeteta	dijete	Ncnsg
4,34	4,34	Mdc
954,80	954,80	Mdc
PE050	PE050	Mdc
Genetičko	genetički	Agpnsny
savjetovanje	savjetovanje	Ncnsn
(	(	Z
9	9	Mdc
)	)	Z
Uključuje	uključivati	Vmr3s
analizu	analiza	Ncfsa
rezultata	rezultat	Ncmpg
citogenetskih	citogenetski	Agpfpgy
pretraga	pretraga	Ncfpg
,	,	Z
mišljenje	mišljenje	Ncnsn
i	i	Cc
pisani	pisan	Agpmsayn
nalaz	nalaz	Ncmsan
.	.	Z
4,83	4,83	Mdc
1.062,60	1.062,60	Mdc
PE051	pe0i	Agpmsgy
Manometrija	Manometri	Npmsg
probavnog	probavni	Agpmsgy
sustava	sustav	Ncmsg
–	–	Z
jednjaka	jednjak	Ncmsg
djeteta	dijete	Ncnsg
32,64	32,64	Mdc
7.180,80	7.180,80	Mdc
PE052	PE05	Npmsg
Manometrija	Manometri	Npmsg
anorektalna	anorektalan	Agpfsny
kod	kod	Sg
djeteta	dijete	Ncnsg
Uključuje	uključivati	Vmr3s
mjerenje	mjerenje	Ncnsa
abdominalnog	abdominalan	Agpmsgy
pritiska	pritisak	Ncmsg
,	,	Z
manometriju	manometrija	Ncfsa
anorektuma	anorektum	Ncmpg
,	,	Z
EMG	ema	Ncfpn
sfinktera	sfinkter	Ncmpg
i	i	Cc
tehnike	tehnika	Ncfsg
opuštanja	opuštanje	Ncnsg
.	.	Z
15,96	15,96	Mdc
3.511,20	3.511,20	Mdc
PE053	PE053	Mdc
Elektrogagstrografija	Elektrogagstrografi	Npmsg
(	(	Z
EGG	EGG	Npmsn
)	)	Z
djeteta	dijete	Ncnsg
7,73	7,73	Mdc
1.700,60	1.700,60	Mdc
PE054	PE054	Mdc
Enteralna	enteralan	Agpfsny
prehrana	prehrana	Ncfsn
djeteta	dijete	Ncnsg
3,48	3,48	Mdc
765,60	765,60	Mdc
PE055	PE05	Npmsg
Lavaža	Lavaž	Npmsg
želuca	želudac	Ncmsg
djeteta	dijete	Ncnsg
2,69	2,69	Mdc
591,80	591,80	Mdc
PE056	PE056	Mdc
Klizma	Klizm	Npmsg
kod	kod	Sg
djeteta	dijete	Ncnsg
1,47	1,47	Mdc
323,40	323,40	Mdc
PE057	PE057	Mdc
Lavaža	lavi	Agpnsgy
crijeva	crijevo	Ncnsg
djeteta	dijete	Ncnsg
8,75	8,75	Mdc
1.925,00	1.925,00	Mdc
PE058	PE058	Mdc
UZV	ui	Agpmsgy
testisa	testis	Ncmsg
djeteta	dijete	Ncnsg
2,44	2,44	Mdc
536,80	536,80	Mdc
PE059	PE059	Mdo
Edukacija	edukacija	Ncfsn
o	o	Sl
primjeni	primjena	Ncfsl
inzulinske	inzulinski	Agpfsgy
pumpe	pumpa	Ncfsg
kod	kod	Sg
djeteta	dijete	Ncnsg
0,50	0,50	Mdc
110,00	110,00	Mdc
PE060	PE060	Mdo
Terapija	terapija	Ncfsn
pravog	prav	Agpmsgy
preuranjenog	preuranjen	Agpmsgy
puberteta	pubertet	Ncmsg
LHRH	lh	Agpmpiy
agonistima	agonist	Ncmpi
16,84	16,84	Mdc
3.704,80	3.704,80	Mdc
PE061	PE061	Mdc
Prenatalna	prenatalni	Agpfsny
terapija	terapija	Ncfsn
kongenitalne	kongenitalan	Agpfsgy
adrenalne	adrenalni	Agpfsgy
hiperplazije	hiperplazija	Ncfsg
primjenom	primjena	Ncfsi
deksametazona	deksametazon	Ncmsg
u	u	Sa
majke	majka	Ncfpa
4,00	4,00	Mdc
880,00	880,00	Mdc
PE062	PE062	Mdc
Citološka	citološki	Agpfsny
punkcija	punkcija	Ncfsn
koštane	koštan	Agpfsgy
srži	srž	Ncfsg
i	i	Cc

