izvanrednoj	izvanredan	Agpfsly
radijske	radijski	Agpfsgy
opreme	oprema	Ncfsg
snosi	snositi	Vmr3s
podnositelj	podnositelj	Ncmsn
zahtjeva	zahtjev	Ncmpg
prema	prema	Sl
cjeniku	cjenik	Ncmsl
prijavljenog	prijaviti	Appnsgy
tijela	tijelo	Ncnsg
za	za	Sa
ocjenjivanje	ocjenjivanje	Ncnsa
sukladnosti	sukladnost	Ncfsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Prijavljeno	prijaviti	Appnsny
tijelo	tijelo	Ncnsn
za	za	Sa
ocjenjivanje	ocjenjivanje	Ncnsa
sukladnosti	sukladnost	Ncfsg
objavljuje	objavljivati	Vmr3s
i	i	Cc
redovito	redovito	Rgp
obnavlja	obnavljati	Vmr3s
cjenik	cjenik	Ncmsan
svojih	svoj	Px-fpg
usluga	usluga	Ncfpg
na	na	Sl
svojim	svoj	Ncmsl
internetskim	internetski	Agpfply
stranicama	stranica	Ncfpl
.	.	Z

V.	V.	Y
NADZOR	nadzor	Ncmsan
TRŽIŠTA	tržište	Ncnsg
,	,	Z
KONTROLA	kontrola	Ncfsn
RADIJSKE	radijski	Agpfsgy
OPREME	oprema	Ncfsg
KOJA	koji	Pi-fsn
SE	sebe	Px--sa
STAVLJA	stavljati	Vmr3s
NA	na	Sa
TRŽIŠTE	tržište	Ncnsa
I	i	Cc
MJERE	mjera	Ncfpn
ZAŠTITE	zaštita	Ncfsg

Primjena	primjena	Ncfsn
Uredbe	uredba	Ncfsg
(	(	Z
EZ	EZ	Npmsn
)	)	Z
br.	br.	Y
765/2008	765/2008	Mdc

Članak	članak	Ncmsn
26.	26.	Mdo

Članak	članak	Ncmsn
15.	15.	Mdo
stavak	stavak	Ncmsn
3.	3.	Mdo
i	i	Cc
članci	članak	Ncmpn
16.	16.	Mdo
do	do	Sg
29.	29.	Mdo

Uredbe	uredba	Ncfpn
(	(	Z
EZ	EZ	Npmsn
)	)	Z
br.	br.	Y
765/2008	765/2008	Mdc
primjenjuju	primjenjivati	Vmr3p
se	sebe	Px--sa
na	na	Sa
radijsku	radijski	Agpfsay
opremu	oprema	Ncfsa
.	.	Z

Nadzor	nadzor	Ncmsn
i	i	Cc
mjere	mjera	Ncfpn
zaštite	zaštita	Ncfsg

Članak	članak	Ncmsn
27.	27.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Poslove	posao	Ncmpa
inspekcijskog	inspekcijski	Agpmsgy
nadzora	nadzor	Ncmsg
nad	nad	Si
primjenom	primjena	Ncfsi
odredaba	odredba	Ncfpg
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
koje	koji	Pi-fpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
nadzor	nadzor	Ncmsan
radijske	radijski	Agpfsgy
opreme	oprema	Ncfsg
na	na	Sl
tržištu	tržište	Ncnsl
,	,	Z
provodi	provoditi	Vmr3s
nadležni	nadležan	Agpmsny
inspektor	inspektor	Ncmsn
u	u	Sl
skladu	sklad	Ncmsl
sa	sa	Si
Zakonom	zakon	Ncmsi
i	i	Cc
posebnim	poseban	Agpmsiy
zakonom	zakon	Ncmsi
kojim	koji	Pi-msi
je	biti	Var3s
uređeno	urediti	Appnsny
područje	područje	Ncnsn
elektroničkih	elektronički	Agpfpgy
komunikacija	komunikacija	Ncfpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
O	o	Sl
obavljenom	obaviti	Agpmsly
nadzoru	nadzor	Ncmsl
radijske	radijski	Agpfsgy
opreme	oprema	Ncfsg
na	na	Sl
tržištu	tržište	Ncnsl
nadležni	nadležan	Agpmsny
inspektor	inspektor	Ncmsn
vodi	voditi	Vmr3s
zapisnik	zapisnik	Ncmsan
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Ako	ako	Cs
u	u	Sl
obavljanju	obavljanje	Ncnsl
inspekcijskog	inspekcijski	Agpmsgy
nadzora	nadzor	Ncmsg
utvrdi	utvrditi	Vmr3s
postojanje	postojanje	Ncnsa
osnovane	osnovati	Agpfsgy
sumnje	sumnja	Ncfsg
da	da	Cs
radijska	radijski	Agpfsny
oprema	oprema	Ncfsn
predstavlja	predstavljati	Vmr3s
rizik	rizik	Ncmsan
za	za	Sa
zdravlje	zdravlje	Ncnsa
i	i	Cc
sigurnost	sigurnost	Ncfsa
ljudi	čovjek	Ncmpg
,	,	Z
životinja	životinja	Ncfpg
i	i	Cc
biljaka	biljka	Ncfpg
,	,	Z
okoliša	okoliš	Ncmsg
i	i	Cc
imovine	imovina	Ncfsg
,	,	Z
nadležni	nadležan	Agpmsny
inspektor	inspektor	Ncmsn
ocjenjuje	ocjenjivati	Vmr3s
ispunjava	ispunjavati	Vmr3s
li	li	Qq
radijska	radijski	Agpfsny
oprema	oprema	Ncfsn
sve	sav	Agpmpay
zahtjeve	zahtjev	Ncmpa
iz	iz	Sg
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

Gospodarski	gospodarski	Agpmpny
subjekti	subjekt	Ncmpn
obvezni	obvezan	Agpmpny
su	biti	Var3p
surađivati	surađivati	Vmn
s	sa	Si
nadležnim	nadležan	Agpmsiy
inspektorom	inspektor	Ncmsi
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Ako	ako	Cs
tijekom	tijekom	Sg
ocjenjivanja	ocjenjivanje	Ncnsg
iz	iz	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
nadležni	nadležan	Agpmsny
inspektor	inspektor	Ncmsn
utvrdi	utvrditi	Vmr3s
da	da	Cs
radijska	radijski	Agpfsny
oprema	oprema	Ncfsn
nije	biti	Var3s
u	u	Sl
skladu	sklad	Ncmsl
sa	sa	Si
zahtjevima	zahtjev	Ncmpi
iz	iz	Sg
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
bez	bez	Sg
odgode	odgoda	Ncfsg
će	htjeti	Var3s
zahtijevati	zahtijevati	Vmn
da	da	Cs
gospodarski	gospodarski	Agpmsny
subjekt	subjekt	Ncmsn
provede	provesti	Vmr3s
sve	sav	Agpfpay
odgovarajuće	odgovarajući	Agpfpay
popravne	popravni	Agpfpay
radnje	radnja	Ncfpa
kako	kako	Cs
bi	biti	Vaa3s
radijsku	radijski	Agpfsay
opremu	oprema	Ncfsa
uskladio	uskladiti	Vmp-sm
s	sa	Si
tim	taj	Pd-nsi
zahtjevima	zahtjev	Ncmpi
,	,	Z
povukao	povući	Vmp-sm
radijsku	radijski	Agpfsay
opremu	oprema	Ncfsa
s	sa	Sg
tržišta	tržište	Ncnsg
ili	ili	Cc
izvršio	izvršiti	Vmp-sm
njezin	njezin	Agpmsayn
povrat	povrat	Ncmsan
u	u	Sl
primjerenom	primjeren	Agpmsly
roku	rok	Ncmsl
,	,	Z
određenom	određen	Agpmsly
s	sa	Si
obzirom	obzir	Ncmsi
na	na	Sa
vrstu	vrsta	Ncfsa
rizika	rizik	Ncmpg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Nadležni	nadležan	Agpmsny
inspektor	inspektor	Ncmsn
može	moći	Vmr3s
,	,	Z
u	u	Sl
okviru	okvir	Ncmsl
mjera	mjera	Ncfpg
koje	koji	Pi-fpa
je	biti	Var3s
ovlašten	ovlastiti	Appmsnn
poduzimati	poduzimati	Vmn
,	,	Z
narediti	narediti	Vmn
gospodarskom	gospodarski	Agpmsly
subjektu	subjekt	Ncmsl
ispitivanje	ispitivanje	Ncnsn
radijske	radijski	Agpfsgy
opreme	oprema	Ncfsg
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Ako	ako	Cs
utvrdi	utvrditi	Vmr3s
da	da	Cs
radijska	radijski	Agpfsny
oprema	oprema	Ncfsn
stavljena	staviti	Appfsny
na	na	Sa
tržište	tržište	Ncnsa
i	i	Cc
/	/	Z
ili	ili	Cc
u	u	Sa
pogon	pogon	Ncmsan
ima	imati	Vmr3s
formalni	formalan	Agpmsayn
nedostatak	nedostatak	Ncmsan
iz	iz	Sg
članka	članak	Ncmsg
29.	29.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
nadležni	nadležan	Agpmsny
inspektor	inspektor	Ncmsn
naredit	narediti	Vmn
će	htjeti	Var3s
gospodarskom	gospodarski	Agpmsdy
subjektu	subjekt	Ncmsd
uklanjanje	uklanjanje	Ncnsn
utvrđenih	utvrditi	Agpfsgy
nepravilnosti	nepravilnost	Ncfsg
i	i	Cc
odrediti	odrediti	Vmn
primjereni	primjeren	Agpmsayn
rok	rok	Ncmsan
u	u	Sl
kojem	koji	Pi-msl
se	sebe	Px--sa
nepravilnosti	nepravilnost	Ncfpn
moraju	morati	Vmr3p
ukloniti	ukloniti	Vmn
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Ako	ako	Cs
se	sebe	Px--sa
ispitivanjem	ispitivanje	Ncnsi
iz	iz	Sg
stavka	stavak	Ncmsg
5.	5.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
utvrdi	utvrditi	Vmr3s
da	da	Cs
radijska	radijski	Agpfsny
oprema	oprema	Ncfsn
ne	ne	Qz
udovoljava	udovoljavati	Vmr3s
bitnim	bitan	Agpmpiy
zahtjevima	zahtjev	Ncmpi
iz	iz	Sg
članka	članak	Ncmsg
5.	5.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
nadležni	nadležan	Agpmsny
inspektor	inspektor	Ncmsn
odredit	odrediti	Vmn
će	htjeti	Var3s
mjere	mjera	Ncfpa
gospodarskom	gospodarski	Agpmsdy
subjektu	subjekt	Ncmsd
radi	radi	Sg
uklanjanja	uklanjanje	Ncnsg
utvrđene	utvrditi	Agpfsgy
nesukladnosti	nesukladnost	Ncfsg
,	,	Z
povlačenja	povlačenje	Ncnsg
radijske	radijski	Agpfsgy
opreme	oprema	Ncfsg
s	sa	Sg
tržišta	tržište	Ncnsg
ili	ili	Cc
povrata	povrat	Ncmpg
od	od	Sg
krajnjih	krajnji	Agpmpgy
korisnika	korisnik	Ncmpg
u	u	Sl
primjerenom	primjeren	Agpmsly
roku	rok	Ncmsl
,	,	Z
određenom	određen	Agpmsly
s	sa	Si
obzirom	obzir	Ncmsi
na	na	Sa
vrstu	vrsta	Ncfsa
rizika	rizik	Ncmpg
.	.	Z

(	(	Z
8	8	Mdc
)	)	Z
Ako	ako	Cs
se	sebe	Px--sa
ispitivanjem	ispitivanje	Ncnsi
iz	iz	Sg
stavka	stavak	Ncmsg
5.	5.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
utvrdi	utvrditi	Vmr3s
da	da	Cs
radijska	radijski	Agpfsny
oprema	oprema	Ncfsn
,	,	Z
za	za	Sa
koju	koji	Pi-fsa
je	biti	Var3s
utvrđena	utvrditi	Appfsny
sukladnost	sukladnost	Ncfsn
,	,	Z
predstavlja	predstavljati	Vmr3s
rizik	rizik	Ncmsan
za	za	Sa
zdravlje	zdravlje	Ncnsa
i	i	Cc
sigurnost	sigurnost	Ncfsa
ljudi	čovjek	Ncmpg
ili	ili	Cc
za	za	Sa
druge	drugi	Mlompa
vidove	vid	Ncmpa
zaštite	zaštita	Ncfsg
javnog	javan	Agpmsgy
interesa	interes	Ncmsg
,	,	Z
nadležni	nadležan	Agpmsny
inspektor	inspektor	Ncmsn
odredit	odrediti	Vmn
će	htjeti	Var3s
mjere	mjera	Ncfpa
gospodarskom	gospodarski	Agpmsdy
subjektu	subjekt	Ncmsd
radi	radi	Sg
uklanjanja	uklanjanje	Ncnsg
utvrđenog	utvrditi	Agpmsgy
rizika	rizik	Ncmsg
,	,	Z
povlačenja	povlačenje	Ncnsg
radijske	radijski	Agpfsgy
opreme	oprema	Ncfsg
s	sa	Sg
tržišta	tržište	Ncnsg
ili	ili	Cc
povrata	povrat	Ncmpg
od	od	Sg
krajnjih	krajnji	Agpmpgy
korisnika	korisnik	Ncmpg
u	u	Sl
primjerenom	primjeren	Agpmsly
roku	rok	Ncmsl
,	,	Z
određenom	određen	Agpmsly
s	sa	Si
obzirom	obzir	Ncmsi
na	na	Sa
vrstu	vrsta	Ncfsa
rizika	rizik	Ncmpg
.	.	Z

(	(	Z
9	9	Mdc
)	)	Z
Nadležni	nadležan	Agpmsny
inspektor	inspektor	Ncmsn
obvezan	obvezati	Appmsnn
je	biti	Var3s
o	o	Sl
poduzetim	poduzet	Agpfply
mjerama	mjera	Ncfpl
iz	iz	Sg

