stavci	stavak	Ncmpn
kojem	koji	Pi-msl
se	sebe	Px--sa
glasuje	glasovati	Vmr3s
u	u	Sl
izbornoj	izborni	Agpfsly
jedinici	jedinica	Ncfsl
u	u	Sl
kojoj	koji	Pi-fsl
se	sebe	Px--sa
bira	birati	Vmr3s
zastupnik	zastupnik	Ncmsn
nacionalne	nacionalan	Agpfsgy
manjine	manjina	Ncfsg
i	i	Cc
njegov	njegov	Ps3msn
zamjenik	zamjenik	Ncmsn
sadrži	sadržati	Vmr3s
:	:	Z

1.	1.	Mdo
ime	ime	Ncnsa
i	i	Cc
prezime	prezime	Ncnsa
kandidata	kandidat	Ncmsg
i	i	Cc
njegovog	njegov	Ps3msg
zamjenika	zamjenik	Ncmsg
,	,	Z

2.	2.	Mdo
puni	pun	Agpmpny
i	i	Cc
skraćeni	skratiti	Appmsny
naziv	naziv	Ncmsn
političke	politički	Agpfsgy
stranke	stranka	Ncfsg
,	,	Z
odnosno	odnosno	Rgp
dviju	dva	Mlcf-g
ili	ili	Cc
više	mnogo	Rgc
stranaka	stranka	Ncfpg
koje	koji	Pi-fpn
su	biti	Var3p
predložile	predložiti	Vmp-pf
kandidata	kandidat	Ncmpg
.	.	Z

Ako	ako	Cs
je	biti	Var3s
kandidat	kandidat	Ncmsn
predložen	predložiti	Appmsnn
od	od	Sg
grupe	grupa	Ncfsg
birača	birač	Ncmpg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbama	odredba	Ncfpi
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
uz	uz	Sa
njegovo	njegov	Agpnsay
se	sebe	Agpnsay
ime	ime	Ncnsa
i	i	Cc
prezime	prezime	Ncnsa
navodi	navoditi	Vmr3s
i	i	Cc
naznaka	naznaka	Ncfsn
»	»	Z
kandidat	kandidat	Ncmsn
grupe	grupa	Ncfsg
birača	birač	Ncmpg
«	«	Z
,	,	Z

Odredbom	odredba	Ncfsi
članka	članak	Ncmsg
36.	36.	Mdo

Zakona	zakon	Ncmsg
o	o	Sl
izmjenama	izmjena	Ncfpl
i	i	Cc
dopunama	dopuna	Ncfpl
Zakona	zakon	Ncmsg
o	o	Sl
izborima	izbor	Ncmpl
zastupnika	zastupnik	Ncmpg
u	u	Sa
Hrvatski	hrvatski	Agpmsayn
sabor	sabor	Ncmsan
»	»	Z
Narodne	narodni	Agpfsgy
novine	novina	Ncfsg
«	«	Z
,	,	Z
br.	br.	Y
19/15.	19/15.	Mds
,	,	Z
stupio	stupiti	Vmp-sm
na	na	Sa
snagu	snaga	Ncfsa
25.	25.	Mdo
veljače	veljača	Ncfsg
2015.	2015.	Mdo
,	,	Z
u	u	Sl
stavku	stavak	Ncmsl
1.	1.	Mdo
izmijenjena	izmijeniti	Appfsny
točka	točka	Ncfsn
2.	2.	Mdo

3.	3.	Mdo
serijski	serijski	Agpmsayn
broj	broj	Ncmsan
.	.	Z

Na	na	Sl
glasačkom	glasački	Agpmsly
listiću	listić	Ncmsl
navode	navoditi	Vmr3p
se	sebe	Px--sa
kandidati	kandidat	Ncmpn
onim	onaj	Pd-msi
redom	red	Ncmsi
kojim	koji	Pi-msi
su	biti	Var3p
navedeni	navesti	Appmpny
na	na	Sl
listi	lista	Ncfsl
kandidata	kandidat	Ncmpg
za	za	Sa
izbor	izbor	Ncmsan
zastupnika	zastupnik	Ncmpg
nacionalnih	nacionalan	Agpfpgy
manjina	manjina	Ncfpg
.	.	Z

Ispred	ispred	Sg
imena	ime	Ncnsg
i	i	Cc
prezimena	prezime	Ncnsg
svakog	svaki	Pi-msg
kandidata	kandidat	Ncmsg
stavlja	stavljati	Vmr3s
se	sebe	Px--sa
redni	redni	Agpmsny
broj	broj	Ncmsn
.	.	Z

Glasuje	glasovati	Vmr3s
se	sebe	Px--sa
samo	samo	Rgp
za	za	Sa
kandidate	kandidat	Ncmpa
za	za	Sa
izbor	izbor	Ncmsan
zastupnika	zastupnik	Ncmpg
nacionalnih	nacionalan	Agpfpgy
manjina	manjina	Ncfpg
navedene	naveden	Agpfsgy
na	na	Sl
glasačkom	glasački	Agpmsly
listiću	listić	Ncmsl
i	i	Cc
to	to	Qo
zaokruživanjem	zaokruživanje	Ncnsi
rednog	redni	Agpmsgy
broja	broj	Ncmsg
ispred	ispred	Sg
imena	ime	Ncnsg
kandidata	kandidat	Ncmpg
.	.	Z

Odredbom	odredba	Ncfsi
članka	članak	Ncmsg
54.	54.	Mdo

ZIDZIZHDS	ZIDZIZHDS	Npmsn
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
53/03.	53/03.	Mdo
,	,	Z
koji	koji	Pi-msn
je	biti	Var3s
stupio	stupiti	Vmp-sm
na	na	Sa
snagu	snaga	Ncfsa
2.	2.	Mdo
travnja	travanj	Ncmsg
2003.	2003.	Mdo
,	,	Z
u	u	Sl
stavku	stavak	Ncmsl
1.	1.	Mdo
riječ	riječ	Ncfsn
:	:	Z
»	»	Z
autohtone	autohton	Agpfpny
«	«	Z
je	biti	Var3s
brisana	brisati	Appfsny
,	,	Z
a	a	Cc
u	u	Sl
stavku	stavak	Ncmsl
2.	2.	Mdo
i	i	Cc
3.	3.	Mdo
riječ	riječ	Ncfsn
:	:	Z
»	»	Z
autohtonih	autohton	Agpmpgy
«	«	Z
je	biti	Var3s
brisana	brisati	Appfsny
.	.	Z

Članak	članak	Ncmsn
78.	78.	Mdo

Važeći	važeći	Agpmsny
glasački	glasački	Agpmsny
listić	listić	Ncmsn
jest	biti	Var3s
onaj	onaj	Pd-msn
iz	iz	Sg
kojega	koji	Pi-nsg
se	sebe	Px--sa
na	na	Sa
siguran	siguran	Agpmsann
i	i	Cc
nedvojben	nedvojben	Agpmsann
način	način	Ncmsan
može	moći	Vmr3s
utvrditi	utvrditi	Vmn
volja	volja	Ncfsn
birača	birač	Ncmpg
i	i	Cc
okolnost	okolnost	Ncfsn
za	za	Sa
koju	koji	Pi-fsa
je	biti	Var3s
listu	lista	Ncfsa
ili	ili	Cc
kandidata	kandidat	Ncmpg
birač	birač	Ncmsn
glasovao	glasovati	Vmp-sm
.	.	Z

Članak	članak	Ncmsn
79.	79.	Mdo

Nevažeći	nevažeći	Agpmsny
glasački	glasački	Agpmsny
listić	listić	Ncmsn
jest	biti	Var3s
:	:	Z

1.	1.	Mdo
neispunjeni	neispunjen	Agpmsayn
glasački	glasački	Agpmsayn
listić	listić	Ncmsan
,	,	Z

2.	2.	Mdo
glasački	glasački	Agpmsny
listić	listić	Ncmsn
popunjen	popuniti	Appmsnn
na	na	Sa
način	način	Ncmsan
da	da	Cs
se	sebe	Px--sa
ne	ne	Qz
može	moći	Vmr3s
sa	sa	Si
sigurnošću	sigurnost	Ncfsi
utvrditi	utvrditi	Vmn
volja	volja	Ncfsn
birača	birač	Ncmpg
i	i	Cc
okolnost	okolnost	Ncfsn
za	za	Sa
koju	koji	Pi-fsa
je	biti	Var3s
listu	lista	Ncfsa
,	,	Z
odnosno	odnosno	Rgp
kandidata	kandidat	Ncmpg
,	,	Z
glasovao	glasovati	Vmp-sm
,	,	Z

3.	3.	Mdo
glasački	glasački	Agpmsayn
listić	listić	Ncmsan
na	na	Sl
kojem	koji	Pi-msl
je	biti	Var3s
birač	birač	Ncmsn
glasovao	glasovati	Vmp-sm
za	za	Sa
dvije	dva	Mlcf-a
ili	ili	Cc
više	mnogo	Rgc
lista	listati	Vmr3s
,	,	Z
odnosno	odnosno	Rgp
kandidata	kandidat	Ncmpg
.	.	Z

4.	4.	Mdo
glasački	glasački	Agpmsayn
listić	listić	Ncmsan
na	na	Sl
kojem	koji	Pi-msl
je	biti	Var3s
birač	birač	Ncmsn
glasovao	glasovati	Vmp-sm
za	za	Sa
kandidate	kandidat	Ncmpa
s	sa	Sg
različitih	različit	Agpfpgy
lista	lista	Ncfpg
,	,	Z
a	a	Cc
nije	biti	Var3s
zaokružio	zaokružiti	Vmp-sm
jednu	jedan	Mlcfsa
od	od	Sg
lista	list	Ncmsg
.	.	Z

Odredbom	odredba	Ncfsi
članka	članak	Ncmsg
37.	37.	Mdo

Zakona	zakon	Ncmsg
o	o	Sl
izmjenama	izmjena	Ncfpl
i	i	Cc
dopunama	dopuna	Ncfpl
Zakona	zakon	Ncmsg
o	o	Sl
izborima	izbor	Ncmpl
zastupnika	zastupnik	Ncmpg
u	u	Sa
Hrvatski	hrvatski	Agpmsayn
sabor	sabor	Ncmsan
»	»	Z
Narodne	narodni	Agpfsgy
novine	novina	Ncfsg
«	«	Z
,	,	Z
br.	br.	Y
19/15.	19/15.	Mds
,	,	Z
stupio	stupiti	Vmp-sm
na	na	Sa
snagu	snaga	Ncfsa
25.	25.	Mdo
veljače	veljača	Ncfsg
2015.	2015.	Mdo
,	,	Z
dodana	dodati	Appfsny
točka	točka	Ncfsn
4.	4.	Mdo

Članak	članak	Ncmsn
79.	79.	Mdo
a	a	Cc

Ako	ako	Cs
birač	birač	Ncmsn
zaokruži	zaokružiti	Vmr3s
samo	samo	Rgp
redni	redni	Agpmsny
broj	broj	Ncmsn
ispred	ispred	Sg
naziva	naziv	Ncmsg
liste	lista	Ncfsg
,	,	Z
a	a	Cc
nije	biti	Var3s
dao	dati	Vmp-sm
preferirani	preferirati	Appmsayn
glas	glas	Ncmsan
kandidatu	kandidat	Ncmsd
,	,	Z
glasački	glasački	Agpmsny
listić	listić	Ncmsn
je	biti	Var3s
važeći	važeći	Agpmsny
.	.	Z

Ako	ako	Cs
birač	birač	Ncmsn
zaokruži	zaokružiti	Vmr3s
redni	redni	Agpmsayn
broj	broj	Ncmsan
za	za	Sa
jednu	jedan	Agpfsay
listu	lista	Ncfsa
,	,	Z
a	a	Cc
dao	dati	Vmp-sm
je	biti	Var3s
preferirani	preferirati	Agpmsny
glas	glas	Ncmsn
kandidatu	kandidat	Ncmsl
s	sa	Sg
druge	drugi	Mlofsg
liste	lista	Ncfsg
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
glas	glas	Ncmsan
za	za	Sa
listu	lista	Ncfsa
,	,	Z
glasački	glasački	Agpmsny
listić	listić	Ncmsn
je	biti	Var3s
važeći	važeći	Agpmsny
,	,	Z
dok	dok	Cs
se	sebe	Px--sa
preferirani	preferirati	Agpmsny
glas	glas	Ncmsn
kandidata	kandidat	Ncmsg
neće	htjeti	Var3s
uvažiti	uvažiti	Vmn
.	.	Z

Ako	ako	Cs
je	biti	Var3s
birač	birač	Ncmsn
dao	dati	Vmp-sm
preferirani	preferirati	Appmsayn
glas	glas	Ncmsan
za	za	Sa
dva	dva	Mlc
ili	ili	Cc
više	mnogo	Rgc
kandidata	kandidat	Ncmpg
na	na	Sl
istoj	isti	Agpfsly
listi	lista	Ncfsl
,	,	Z
glasački	glasački	Agpmsny
listić	listić	Ncmsn
je	biti	Var3s
važeći	važeći	Agpmsny
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
glas	glas	Ncmsan
za	za	Sa
listu	lista	Ncfsa
,	,	Z
bez	bez	Sg

